#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	hemL//cysU//
CysB-N-acetyl-L-serine_neg	napD//ascF//agaA//narX//ilvX//abgA//fliZ//
CysB-N-acetyl-L-serine_pos	garK//appX//uidB//rutD//ung//fecB//alaS//ybdZ//cysD//phnI//paaJ//yneM//frdA//trxA//flhD//fumC//kbl//cysJ//paaF//glpB//paaB//livK//xdhC//
CysB-O-acetyl-L-serine_neg	ybjG//chbF//phnL//prpR//guaA//mhpT//gatZ//
CysB-O-acetyl-L-serine_pos	gatC//miaA//ygiA//tadA//ydeM//paaG//malY//aroL//lpxD//nikD//cadB//asr//guaB//hycH//ileT//dcuS//ilvL//xylB//garK//alaU//phnE_2//grcA//ykgO//entF//
DcuR-Phosphorylated_pos	ydbD//ydhX//hdeB//crp//lldD//ytfE//infB//mhpD//ynfF//
DnaA-ATP_neg	thrS//cysD//alkB//paaC//guaB//yeiP//pagP//rplI//bcsZ//tdcG//sxy//
DnaA-ATP_pos	mltC//tdcD//pgaD//gyrA//ubiX//hyaB//ulaD//
DpiA-Pasp_neg	ispE//
DpiA-Pasp_pos	pitB//hyaD//lsrA//dppB//ccmD//rrsD//fabZ//cstA//glcD//gatD//
DsdC-D-serine_neg	melB//
DsdC-D-serine_pos	sucC//ykgM//
EvgA-Phosphorylated_pos	azuC//srlB//fucO//hycD//yeiW//gspJ//nrdB//ydhU//phnO//hisM//rseB//hycB//torC//trg//ubiC//
FNR-[4Fe-4S]2+ reduced_neg	glnL//lysO//dsbA//artQ//gltT//spy//pyrC//ydhU//gspF//cyoC//argH//ynfH//hycD//hyaA//lsrC//cyoC//araJ//glpB//znuA//glpX//dnaE//avtA//rplS//pheT//sucD//nagE//fdnG//hdeA//baeS//hflK//malK//nikD//lhgO//metB//cheB//gatD//oppB//malS//ilvL//dsdA//glrR//atoE//rybB//nrdB//aroG//metY//hybC//hyfE//focA//purH//yegR//rnlB//rhaS//rhaR//nrdE//ykgO//hyaE//citG//mglB//cas2//nrfD//modC//garL//alkB//aroA//appC//nuoC//glcG//slt//metA//gatA//rhaT//pgaA//hflD//purM//metA//paaF//hyaD//cusS//gspO//nuoL//purM//cheR//cas2//acrA//purN//norR//fimH//hdeD//uxuR//betT//pdhR//trpD//rhaD//ssuC//pflB//udp//srlE//rof//narH//srlB//nrdH//actP//glpC//feaR//hofC//oppB//fecA//gltD//cynS//mtr//gntT//infB//malS//glnB//napB//livM//cusA//nuoC//tauC//
FNR-[4Fe-4S]2+ reduced_pos	lsrB//hlyE//xylA//fimC//gutM//arcZ//argC//gntX//nrdG//fimH//sbcC//hisQ//hofP//emrK//yfdV//putP//srlR//znuC//ahpC//ygiA//argH//carA//appY//dppC//gntP//napC//ulaA//flhD//cysP//ompX//livG//uxaB//rcnB//artI//ryhB//ubiC//betT//ccmH//aaeX//dppB//pflB//pgaD//narL//fepD//acrD//metI//creD//ilvG_2//galP//rimM//glpK//rpmC//rplP//metK//trg//bioA//ccmF//trpL//dps//yaeQ//amn//pgaD//rplW//metK//nuoH//glgA//bglF//dps//hycF//acrF//pflB//hisQ//argD//lpxA//ilvX//ygbA//gabP//guaA//rpoH//argA//rrlC//paaC//narJ//artP//atoD//pheM//cspE//glgX//malT//rplT//pheM//mhpA//bcsC//atoA//evgA//idnK//manA//treC//flhD//ugpQ//hydN//degP//fhlA//mlc//torC//gspG//hyfC//gatD//dppA//cydB//bioC//narG//gltW//alaT//exbD//zntA//hypB//ompC//allC//rpsC//melB//artP//bglF//phoP//rplC//fixX//cas2//caiF//edd//ydiU//rrsE//nikD//tyrB//ycjX//tdcF//yneM//deoA//yciW//mepH//malZ//aaeR//fhuA//uxuB//ytfE//cusS//phnK//uhpT//lacI//yggX//aldA//ampD//lsrB//yaiW//cheY//fimD//hisP//patZ//asr//rutA//narI//aroA//malY//cas2//caiE//nohA//cysN//mhpD//garP//tdcC//argE//cheY//bioA//cysC//astA//ydeO//argG//glpB//ptsG//rpoE//tonB//rbsB//nac//fucI//melB//tauA//ychH//fepB//rmf//ptsH//gcvP//hycG//tyrA//fixC//ycjF//polA//hyaA//tdcD//malF//tsgA//ssuC//mdh//rpoS//
FhlA-Formate_pos	yeaR//nikC//paaE//ulaF//tolC//melB//mntS//mgrB//malI//manA//carB//uvrA//gltV//marA//rpmC//cusF//nirD//mntH//nagE//ftnA//yeaR//aroM//feaR//aaeB//rutG//grxC//ivbL//ccmC//argA//mdtD//
FucR-L-fuculose-1-phosphate_pos	agaW//nuoK//melR//phoQ//nrdB//codA//prpE//
Fur-Fe2+_neg	ompR//dmsC//uof//slyB//lsrK//gntU//fnrS//cynR//arcZ//iscA//galK//yfeW//rpsR//caiD//ydeO//ubiC//fucU//alaT//modC//ldtC//priB//erpA//bioD//aroL//atoE//rhaB//degP//pgaC//pitB//moaD//pgaB//nrfG//bglG//rmf//cysI//focA//cyoC//bamA//hydN//fimF//feaB//ccmG//gpsA//fimE//aroM//rrsG//znuA//gatA//rpsQ//melA//gatY//slyB//hemA//malE//hfq//osmC//aaeA//chbG//gltB//cyoE//hdeD//tyrB//entD//narG//aaeR//mntS//fabZ//aroF//phnL//hfq//sdhA//mgtL//dps//cysN//creB//iraD//ilvH//malM//betB//malI//ulaE//torC//xdhB//ssuE//ydhV//nanA//cusF//zraS//ryhB//hypB//focB//chbF//acrB//dps//cydC//yeiB//treB//dppD//lrp//srlB//pheT//ysgA//rrsB//abgB//zraS//purN//puuA//fhuE//ahpF//cueO//alkB//pdeF//lacY//cusA//glpQ//alaS//ykgO//patZ//gatY//hofC//feaR//grcA//tyrR//rpsQ//
Fur-Fe2+_pos	rbsB//ydhT//iscS//rrfH//pdeF//aroA//ycjF//rmf//hybO//abgT//pstC//aceA//hdeD//lysC//hyaB//rplM//dadX//crl//uhpB//napD//mtlD//tyrR//xapB//bhsA//trg//
Fur-Mn2+_neg	znuB//spy//cynT//srlB//malX//glmY//mlc//ccmC//fadJ//hflK//artM//fldA//hycD//cas1//yhjC//rrfE//xdhA//hcp//aroG//moeB//crl//hofO//ynfF//pgpC//rnhB//uhpC//dmsC//fecR//purB//moeA//tsgA//katE//bcsA//dcuA//paaA//ulaC//sufB//puuA//ebgA//gspK//hisP//xylA//zinT//argH//phoP//rpsI//malK//pyrC//ebgC//motA//yjjZ//phoB//caiE//malE//nupG//yidQ//ilvA//dppC//ysgA//fabZ//dapB//nfuA//mgtL//dcuB//gutQ//dcuB//alkA//nupG//narX//fadB//lpxD//cusR//cheA//yeaR//ssuC//citD//glgA//mhpR//ppdD//entH//cynX//pstA//mipA//dppB//ynfK//tauD//metC//acrF//metF//csgB//glcF//nrdH//fhuB//araB//purD//casB//hypE//nuoH//hyfI//citG//yjcH//cstA//chbF//adhE//ynfF//exbB//tfaQ//yfeW//yaiA//gntX//glcG//lacZ//pncB//chbF//znuB//pgaC//hybO//tdcB//rseA//lldR//bcsB//yciW//yegZ//cpdB//
Fur-Mn2+_pos	sdhA//atoE//acrB//paaC//glcE//gatD//acrB//csgB//appY//ubiA//tap//allE//ilvY//metJ//ppdD//oxyR//nrdA//uidB//fecB//sdhB//ychH//nrdF//lhgO//ilvY//pncB//
GlcC-Acetate_neg	araE//
GlcC-Acetate_pos	uhpT//glnD//flhC//nanT//srlB//rseA//
GlcC-Glycolate_neg	rrfA//
GlcC-Glycolate_pos	cydB//cadC//fiu//purC//alaV//srlR//
GlrR-Pasp56_pos	nanK//
IclR-pyruvate_neg	ppiD//frdA//fhuE//chbF//
IdnR-5-ketogluconate_neg	murP//katG//ileV//
IdnR-5-ketogluconate_pos	cusS//ssuA//talA//glpE//napB//
IdnR-Idonate_neg	yeiW//bdcA//tyrA//
IdnR-Idonate_pos	fadJ//csgA//speB//yfeW//cysA//
IlvY-2-acetolactate_neg	rpmI//
IlvY-2-acetolactate_pos	paaJ//
IlvY-Alfa-acetohydroxybutirate_neg	secB//
IlvY-Alfa-acetohydroxybutirate_pos	livK//
IscR-[2Fe-2S]1+_neg	nuoG//dusB//ydeA//yjjZ//dcuA//fimA//ssuE//lldD//mtlA//oxc//phnP//cysI//hycD//iscU//rseC//aaeX//rnlB//cydC//pitB//cysM//cusC//ilvX//mepH//napG//yhjA//ykgM//glcC//thrS//gltB//rrlA//
IscR-[2Fe-2S]1+_pos	pgaC//chbG//rimM//astB//copA//glcG//soxR//pck//malS//ccmB//nrdB//
LldR-L-lactate_neg	ccmC//glnK//gspH//
LldR-L-lactate_pos	yeiL//ascF//uidC//
Lrp-Leucine_neg	bioD//idnR//ccmD//hpt//fumC//dppC//xdhA//psiE//tyrP//cysH//pagP//hha//cysN//aldB//dpiA//tyrR//nikC//uvrA//fecA//manX//sodB//mdtA//hlyE//purR//raiA//marR//prpR//hisQ//lysP//ybdN//polA//rprA//atoB//dapD//uxaC//phnL//rrlA//zraS//citX//hlyE//nfuA//hydN//ykgO//galK//ubiA//cadC//hycI//fimD//putP//tauB//fiu//trpB//metA//garK//glcD//yrbL//agaV//nrfF//fabZ//nac//astC//glgA//malF//tauC//feoB//envY//lsrR//mltC//ogt//cynR//garR//aceF//dnaA//hyaB//chbG//
Lrp-Leucine_pos	purN//hisQ//hdeD//epd//trpA//glpQ//ssuD//aspC//ycjX//argR//cytR//casC//nupG//rseB//yeiW//iscU//araE//rhaD//moeA//rrlC//cstA//trpA//tyrP//hupA//hyaB//cysG//ygeH//entA//mutL//nikB//tsr//tdcF//xylA//zwf//alaV//
LsrR_neg	hyaC//yegZ//ulaC//cysH//uhpA//uhpB//rpoS//purE//fimC//
MalT-ADP-Maltotriose_pos	murP//fepG//ynfE//artJ//gatC//sufB//crr//mtlD//ygeH//tauB//
MalT-Maltotriose-ATP_pos	glmY//glcB//rybB//creB//argP//artI//hyfA//ydeJ//idnR//malF//
MelR-Melibiose_neg	murQ//uxuB//amtB//
MelR-Melibiose_pos	feaB//yccA//napB//
MetJ-S-adenosylmethionine_neg	melA//rhaD//rpoE//glyA//mhpB//ompC//malP//gadB//pgaB//hofM//artQ//fucU//cheB//uxuR//cydC//
MetR-L-homocysteine_neg	torC//efeU_2//
MetR-L-homocysteine_pos	yqjA//csgG//ansB//fepG//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	ychH//napD//gltW//cusF//ygiB//agaW//
MhpR-3HPP_pos	nagA//hycH//ydhX//garK//ycjX//garP//
MntR-Cd2+_neg	caiE//gpmA//garP//cynT//
MntR-Cd2+_pos	rpsQ//
ModE-MoO42-_neg	sdhB//artP//hybB//cysA//rutA//fur//malP//nrdG//cysM//nuoE//allE//purA//ccmC//hyfA//mgrB//
ModE-MoO42-_pos	rrlE//cheW//ssuD//yeiW//nrfA//tsr//efeU_1//ssuC//uxaB//rplV//rpsS//mhpD//mhpD//prs//hycF//rhaD//ydeP//exbB//casC//atoA//yjcH//ahpC//glcD//yrbL//fhuD//hybA//asr//ugpB//glcF//sbmA//phnL//
NarL-Phosphorylated_neg	araD//ugpB//mdtB//uidA//cheA//ilvG_2//astD//nohA//sufC//fdnH//hybD//nuoG//priB//malM//hyaC//speC//fdnI//ytfE//ubiA//metQ//cysB//lsrA//cdd//idnO//ycjF//ccmE//hycF//fnrS//tsgA//paaG//fixA//recF//dsdA//cyoD//hflK//citD//lrp//argR//cynX//crl//yfdV//ygeH//livH//phoH//hybC//moeA//artI//yqjA//nrdB//nadC//glnD//aldA//iraM//mutL//pstC//rpsQ//frdB//codA//oxc//cyoC//mdtA//adhE//rrfB//acs//appX//hypB//nanK//ybjG//fimF//rutC//dnaE//phnE_2//hypA//aaeA//amtB//alaV//trpE//gspL//purL//arcZ//preT//pyrC//yeiB//rpsR//purE//ilvB//
NarL-Phosphorylated_pos	emrY//sdhB//narQ//mlc//ychO//proP//yrbL//fhuE//hybA//evgS//oppB//cpxR//agaW//ydhT//puuR//rcnA//fadB//folE//katE//lpxB//glnL//hofP//prpD//hemL//gspI//osmC//mgrB//bcsB//ynfK//rhaB//cysG//napH//moaC//trmD//emrY//glnD//nrfD//mzrA//galT//iclR//xylB//yneM//moeA//micF//feoB//ptsI//
NarP-Phosphorylated_neg	allE//hisQ//moaA//ugpQ//glpA//gabP//norV//cvpA//manX//speB//hemA//gltF//glnB//pncB//livF//yqjH//aceB//purA//yneM//ahpF//bioA//rbfA//dppC//moeB//ccmF//rybA//znuC//xseA//rplC//livM//priB//gspC//lacI//
NarP-Phosphorylated_pos	comR//micF//fdhF//xylF//glgA//phnE_1//nanC//rpsF//alaS//hmp//rhaS//ndh//phnH//nupG//rseC//rhaB//hycE//gpsA//lldR//trpE//cusS//yaeQ//ybfN//sucD//uhpC//ppiA//metY//adiC//glcC//cysA//ssuC//sdhC//
NhaR-Na+_pos	cpxR//ybdZ//gspG//metB//ysgA//
NikR-Cd2+_neg	nrdA//pdeF//rrfF//malI//acrD//cirA//
NikR-Co2+_neg	rrsG//hfq//cpxA//fhuF//gspI//exuT//
NikR-Cu2+_neg	malS//hyaC//ccmD//glyA//metL//cusB//
NikR-Ni2+_neg	allC//glnL//truB//rnhB//iscR//pgaD//
NikR-Zn2+_neg	caiA//astD//tsaE//fhuF//tyrB//trxA//
NrdR-ATP_neg	nanA//yhjA//yegR//nuoN//fepG//hofC//dusB//fimC//yegR//
NrdR-Zn2+_neg	frdA//yccA//mdh//cysA//gltF//entA//tdcE//prfA//bcsZ//
NrdR-dATP_neg	acrA//hyfJ//iscA//pstA//tdcC//betA//narQ//xapB//rnhB//
NsrR-[2Fe-2S]reduced_neg	mscM//lolB//glcC//yggX//cyaA//rrlD//rpsR//ydhU//yojI//gltB//artM//argA//tyrA//lysO//alaV//hofN//narQ//nusA//hflC//cheZ//csgF//trpA//artM//pepT//argI//dmsB//metF//cirA//yedX//cheZ//rof//mdtA//lldP//cdd//betT//gspH//atoE//mhpA//rpsR//aceB//bcsA//ygiC//katG//phoH//ompF//appA//cydB//fadA//rybA//bioF//rpsJ//ccmH//bdcA//pagP//mglC//yoaC//fbaA//carA//gntR//treR//sbcD//ydhY//qseB//adiC//chbR//dsbA//ssuB//baeR//gapA//entS//mtlR//yeiW//ppiA//
PhoB-Phosphorylated_neg	ldtB//fhuC//yeaE//argT//chiP//agaW//ychH//rplI//allC//tadA//grxC//rrsH//gspM//
PhoB-Phosphorylated_pos	narK//nagA//lacA//gspM//ychH//purE//aroM//rhaT//rrfF//aceE//fadD//fbaA//narL//torC//hypD//fimD//nrfD//actP//rplD//nuoG//alaA//lysU//motA//ebgC//casE//fhuE//abgB//copA//narH//rplM//zraP//artM//cspE//fimE//nrdB//tdcF//paaF//phnK//nrfC//hypB//aceK//zntA//paaA//cysB//srlR//yegR//skp//gspH//gntK//zraS//rrlB//evgS//malY//
PhoP-Phosphorylated_neg	ackA//gadC//cyoA//ada//narJ//gadC//napC//yeaR//cysB//rutG//pgk//
PhoP-Phosphorylated_pos	lacI//yeiB//glcC//ybjG//nlpD//yhcH//hybA//dnaN//fixA//upp//lldP//purM//glpT//puuE//sucD//ilvX//prpD//rrfD//fdhF//nuoH//speC//micF//entS//yggX//argG//cysA//yhiD//ileU//sodB//betA//hyfF//ilvI//gntT//manX//ydhX//rutF//aceA//csgC//lsrR//lsrF//gntT//phnD//hmp//araB//tdcG//cydC//uxaC//mltC//rybB//
PrpR-2-methylcitrate_neg	pta//
PrpR-2-methylcitrate_pos	tdcE//rseB//epd//aroG//
PurR-Guanine_neg	malT//hypE//gutM//rseC//prfA//caiD//nrfF//ulaA//upp//tfaQ//hcr//icd//lacA//mglC//araG//ilvL//citX//iraM//marB//pflB//fepE//nrdB//mhpE//galS//uhpB//rutD//purD//yoaG//cspE//adhE//lpd//rhaT//rbsC//uidA//
PurR-Hypoxanthine_neg	lysO//nirC//osmC//ompF//kbl//fadL//ilvE//yfdE//fadJ//yegZ//motB//nuoH//glnL//lldP//galM//rrfE//sxy//gspI//fecD//allC//marR//pheT//glpT//fhuA//nuoN//mgtA//prs//cas1//tpx//gcvP//fixX//rbsB//csgE//casC//
QseB-Phosphorylated_pos	argB//metE//raiA//aroG//
RhaR-L-rhamnose_pos	rrlB//gapA//
RhaS-L-rhamnose_pos	envY//hcp//araA//
RstA-Phosphorylated_neg	glnA//pheM//chbF//paaF//oppA//
RstA-Phosphorylated_pos	micF//sufD//casD//rplD//sufC//
SoxR-[2Fe-2S]3+ oxydized_neg	nuoM//
SoxR-[2Fe-2S]3+ oxydized_pos	yojI//atoE//csgB//
TorR-Phosphorylated_neg	fecC//
TorR-Phosphorylated_pos	rhaD//rpsJ//hflC//avtA//creA//malQ//puuD//cpxA//rrsD//
TrpR-Tryptophan_neg	cysG//rseB//rbsK//rpsP//ebgC//fecB//mglB//aceF//aspC//ebgA//dps//cusC//
TyrR-L-tryptophan_neg	osmC//ygeA//ulaA//tsaE//alaT//dgcZ//ompX//ompT//glcB//gspC//astB//slyB//
TyrR-L-tryptophan_pos	hdeB//astB//prs//
TyrR-Phenylalanine_neg	nrfG//gcvP//fhuE//ilvA//gatB//dcuR//gatC//ubiC//fixC//cysK//mhpF//hycA//
TyrR-Phenylalanine_pos	narX//yojI//yhiD//
TyrR-Tyrosine_neg	deoC//cusB//miaA//rplD//yrbL//cydC//rrsE//hycD//aldB//idnR//envY//mntS//
TyrR-Tyrosine_pos	nikE//fecD//hflX//
UhpA-Phosphorylated_pos	gnd//
XapR-xanthosine_pos	hisM//purK//
XylR-Xylose_pos	hofB//nanE//ileV//garP//cheR//rutE//
ZntR-Cd2+_pos	purF//
ZntR-Hg_pos	oppD//
ZntR-Zn2+_pos	glnD//
ZraR-Phosphorylated_pos	nirB//cysU//dpiA//
Zur-Zn2+_neg	fepG//aldB//emrK//atoA//ilvE//ugpC//
