#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	metR//amtB//
CRP-cAMP_pos	tyrA//gatY//feoA//cpxA//nanA//allC//psiE//lysO//phnL//ompW//glpC//casB//csgD//rpsF//mpl//ssrS//metE//appA//paaE//nrdE//glnG//glcE//entS//rpsR//cheY//ubiX//fimD//entH//sufB//zraS//entC//livJ//yoaG//caiC//slyB//guaA//tsaE//cirA//cheA//alaV//ilvG_2//nrfC//cynR//adhE//fepG//cynR//betI//nirD//nikE//iscU//fepC//malK//ugpQ//fecR//nmpC//rseA//znuC//glnD//ychO//rhaD//araB//narL//abgB//rybB//dsdC//bacA//speB//oppD//trpB//dppF//purM//micF//ydeP//hyfG//yfdE//ubiX//argP//nanK//phoE//kbaZ//tdcG//puuD//stpA//xylA//puuR//hupA//feoB//mscM//lamB//rrlH//mntS//ubiX//cyoE//xseA//nirB//malI//gltT//feaB//pnp//fepB//aceB//ptsG//ychO//fumC//dppC//metL//copA//fhlA//glcE//hyaB//ompA//nlpE//purR//rbsC//tdcE//erpA//csgG//nikA//fadI//putP//ilvG_2//yegH//moaB//cadC//entF//rrlG//livF//ykgR//nuoB//slyB//crp//qseB//hyfR//fimE//gntR//rpsO//srlB//dadX//carB//znuC//fumA//idnT//narJ//garK//tcyJ//ugpQ//exbD//tomB//fecR//csgD//ydhY//rpoS//rutB//prpE//nrdD//gpsA//lsrK//gspL//iscU//rbsC//ptsG//metQ//deoC//sdhD//prpB//exbD//xylH//norR//fnr//fadL//mntP//mtlR//cydD//bdcA//yeaD//entS//creB//hupA//nanK//fimH//gntR//fadL//lysU//cyaR//pitB//mgrB//rpsR//argC//citD//creB//dmsA//nanM//uhpC//cusF//malK//feaR//araB//ygaC//phnG//hyaB//tap//fucO//serA//torR//mdtC//pitA//lacI//slyB//rhaS//caiD//hyaA//rseA//hybE//yqjH//fumC//ugpQ//hisM//gadB//hflX//rpoH//gabT//cysM//glnK//alaV//agaA//ybjG//psiE//ydhV//csiD//mtr//ompT//dppD//araF//fnr//hypE//nikA//bcsZ//gntK//sdaA//udp//udp//aldB//fepC//fadL//yjiY//fur//hcp//hypA//citD//zraS//mcaS//rplP//agaA//caiC//ilvG_2//ydeP//fhuB//pgaA//purN//chbF//phnE_2//yebE//ydeA//bamE//rbsC//dmsA//glpA//idnT//metY//exbD//tdcB//glcB//ompX//hupB//lsrC//metB//oxyR//ebgC//yibN//metI//ygiC//gspI//ubiG//sucD//nagE//sucB//puuB//fnrS//tsr//fecE//chbR//ada//bcsB//aaeA//tdcE//mdtB//bacA//dpiA//fixA//zraP//rhaS//cusS//edd//gspD//dmsB//micF//crl//proP//betB//cysD//gntK//fumC//rutG//araD//betA//mdtC//dadA//entA//paaD//ygbA//alkA//cas2//ycdZ//lolB//uhpA//aldA//trpD//agaW//lpxB//rhaT//rpsO//fimE//fecC//nanE//ftnB//tdcC//dppC//prmC//grxC//dcuB//mlc//xylA//appC//fau//ygiA//ubiC//acs//rplC//glgC//chbG//hslJ//prpB//nupG//yaeQ//tsr//iraD//fimI//rbsC//mzrA//aroM//cusS//tauD//exbB//nuoB//lacI//ccmE//zraS//entA//agaA//sodA//mepH//guaB//rutG//arcZ//tsx//zraP//nrdE//qseC//argH//dmsB//speB//torD//hyfD//yedX//dsdC//glmY//copA//glcB//nikB//araA//fhuA//ogt//yeiB//narI//yojI//mhpA//kbaZ//tauD//moaC//fnr//rrlH//ssuE//rplP//marB//ugpE//gspF//rrsC//xdhC//glgA//galE//cspE//cysK//ygiA//ada//paaG//metK//csgE//gcvP//hycH//acnB//ryhB//ompT//glcD//hmp//moeB//hfq//dcuD//mtlA//ilvG_2//
ChbR-Monoacetylchitobiose-6P_neg	idnD//alkA//udp//yeaR//rplS//dnaA//
ChbR-Monoacetylchitobiose-6P_pos	cra//ybdZ//glcC//rhaD//alaS//feoB//
CpxR-Phosphorylated_neg	feoA//nrfF//agp//hyfG//acnA//gutM//astE//pstS//guaA//moaE//ydhW//ycjX//nuoL//araC//putP//ccmA//hybF//pgaC//nfuA//hybG//iscR//trpA//chbA//rprA//
CpxR-Phosphorylated_pos	rimP//modC//nrdH//moaA//ydhW//glgC//fucO//pheS//hycI//chiP//appA//hyaE//hypD//araG//glpQ//hisJ//lacZ//murQ//gnd//aspA//aroL//dgcZ//fau//stpA//rrfC//prpB//cueO//cysI//cyoB//fimC//argC//zinT//entS//ccmE//gntP//glnK//nuoG//cyoE//pitB//nrdF//rrfG//amiB//fimD//dgcZ//paaZ//
CreB-Phosphorylated_neg	slt//katG//fepB//
CreB-Phosphorylated_pos	rpsQ//glcA//creD//hflX//tadA//modA//
CueR-Ag_neg	nanS//ptsI//rnhB//fau//tdcG//
CueR-Ag_pos	ygiB//gspI//
CueR-Cu+_neg	mhpD//casC//caiF//uraA//rhaR//
CueR-Cu+_pos	pagP//dapB//
CuerR-Au_neg	fimD//katE//pgaB//rutA//malI//
CuerR-Au_pos	phnG//ygeH//
CusR-Pasp_pos	stpA//glgX//glpD//bglB//phoU//ilvX//purK//glnK//metE//fnrS//fucA//ilvC//
CynR-Cyanate_neg	chbC//
CynR-Cyanate_pos	nrdF//phoH//ssuC//
CysB-N-acetyl-L-serine_neg	uidA//mhpD//malS//hofN//gltB//uidB//phoQ//
CysB-N-acetyl-L-serine_pos	cas2//bacA//edd//yegZ//ilvI//yojI//napD//fepB//osmY//hemA//nuoF//nuoJ//ilvE//ybdN//ydhY//lsrD//phnO//ampE//cheZ//livH//hha//nrfC//cadB//
CysB-O-acetyl-L-serine_neg	borD//fadE//argH//rpsI//casB//ybdZ//ssb//
CysB-O-acetyl-L-serine_pos	garR//ebgC//fixB//fliZ//casE//nrdF//puuR//ssuC//ebgC//ydeN//uof//pstA//cysW//iscS//srlA//grxC//uxuB//fepD//cytR//yaeQ//trxA//artM//glpG//argC//
DcuR-Phosphorylated_pos	entF//ycjX//sdhB//phnD//fes//trg//galT//ygiB//glnK//
DnaA-ATP_neg	crp//metR//cydA//galP//glgX//hyfR//adiC//uxuA//ygeA//metA//gatC//
DnaA-ATP_pos	aaeB//treB//flhD//dapD//araF//fhuD//rpsJ//
DpiA-Pasp_neg	hycG//
DpiA-Pasp_pos	rybA//nuoM//uidA//cydD//acs//nikR//glcF//alaA//tdcC//tdcB//
DsdC-D-serine_neg	cysM//
DsdC-D-serine_pos	norV//rpsP//
EvgA-Phosphorylated_pos	alaV//aaeR//mpl//hofC//serA//hflK//hfq//rnpB//moaA//rplI//yaiW//alaS//yfbR//aspC//metL//
FNR-[4Fe-4S]2+ reduced_neg	cra//yeiL//tauD//ulaE//fhuF//nuoN//rpmI//ydeM//malE//ileU//livJ//araJ//purF//paaH//mhpC//alaT//fimE//rmf//lldR//glmY//gspI//casE//norW//ompF//manZ//gntU//pgaA//creD//yebE//ydfH//argC//cyoB//rrlB//ulaC//sodB//rnhB//emrY//dapB//rutA//alaS//recF//rutF//tauB//rplV//mtlA//bdcA//cusB//metI//fdnH//agaA//ryhB//dpiA//yneM//cpxR//tfaQ//rrsG//rdoA//hycF//ccmH//pnp//dmsD//aroG//csiD//yeaD//hyfG//ybdN//hflK//alaA//sbmC//yjeV//fadJ//pheM//crr//galT//cysA//emrY//galE//gutQ//tpx//rrsE//fis//gltF//crr//baeR//glpA//fimG//dgcZ//ycdZ//caiT//phoU//tktB//mutY//hyfF//cas1//galE//dnaE//ilvB//rplI//rmf//entE//glgP//xapA//nuoI//uraA//melR//ilvI//bamE//aidB//hslJ//ynfG//cynS//citX//pgk//fimH//allC//cheR//aceK//rutD//araJ//hofN//
FNR-[4Fe-4S]2+ reduced_pos	phnJ//glpA//fixX//hyaF//rplB//yeiP//ilvL//srlR//rpmI//feoC//trpE//betB//purF//alkB//sufE//yecR//gabT//folA//glgB//ydhX//entA//rpsS//gyrA//kbl//fucO//livM//xylA//argH//znuC//caiC//entD//yibN//glnD//dapD//hyaE//nuoG//rrsE//ilvM//fixA//cydA//nrfA//arcA//rybA//ulaD//ycjF//fimC//argC//paaE//sufE//nrfB//xdhB//pheT//rpoH//dmsC//acs//ykgO//motA//dkgB//gntU//caiB//katE//fdnI//yhiD//ulaB//ydfN//frdB//fdhF//srlA//metQ//tcyJ//rplS//lsrK//pgaD//purL//phoH//fhuB//iclR//envZ//ynfG//norR//ydiU//dcuC//nirC//sufB//napB//tdcD//metR//avtA//fucP//dmsA//creA//spf//mcaS//rplS//mhpD//ssrS//ydhW//eda//argP//mhpE//tauB//cirA//tdcA//mdtA//fliZ//fecI//modC//cueO//gntR//norV//putP//lysA//fimI//frdB//gutQ//fdnI//phnC//torC//lhgO//bioC//ydhW//deoC//hyfC//tar//nikR//tdcC//carA//rpoE//grpE//lldD//dctA//rnlB//icd//glpC//hofB//nagE//napF//cueO//hmp//garL//torA//fhuC//ftnA//iscU//ldtB//fur//fumA//ychH//cydB//fes//yjjZ//pflB//sucC//cheZ//dppD//ydhW//hisM//fhuB//ykgO//araC//ampD//stpA//yibN//fnr//puuB//argB//astA//hycA//gcvT//manY//trpC//ftnB//ebgC//rbsD//xylF//amtB//ilvM//hyaC//narK//fucA//gabT//dppD//trg//mhpE//ygaC//mhpC//bdcA//rrfD//fdhF//artJ//hypA//ilvE//hofM//bhsA//uxuR//zraR//pgaC//fadH//ygeH//dapB//puuA//ndh//
FhlA-Formate_pos	zinT//pyrC//rrsD//fimH//trpR//rhaB//rrlE//tdcA//sdhD//fdnG//xapB//fucU//hydN//yhfA//gspG//uxuA//argP//dgcZ//yciW//aidB//efeU_1//sodB//rplC//ilvG_1//umpH//tap//creD//gatC//cyoD//phnG//
FucR-L-fuculose-1-phosphate_pos	ugpA//bglF//ydhW//csgA//agaV//gcd//yeiP//
Fur-Fe2+_neg	mglB//hslJ//gadC//livM//raiA//fadI//ysgA//oxyR//fadH//hycG//caiE//nuoK//sbcC//hycI//yfaE//fepD//purN//cynS//entF//pgk//gltD//treB//yjeV//cyaR//pnp//ampE//ccmH//dpiA//cydD//tauD//mepH//pgk//dadX//adhE//citG//lldR//malM//bhsA//hybG//ydeP//fumC//ydhV//hlyE//hypA//glcE//kbaZ//tam//glpA//metJ//oppC//metQ//malQ//tar//flhC//tfaQ//puuC//ugpB//hofO//paaK//hyfE//tdh//feaR//appA//tdcD//pstC//sufD//rpsF//tyrA//gnd//livH//gntU//cadC//glpA//pyrD//galT//ybiT//grcA//baeR//nuoE//thrS//nupC//sbcC//tnaA//azuC//ptsH//acrD//qseC//ynfE//bioB//dppB//ynfG//aroH//glyA//hybF//srlA//hofO//artI//srlB//cynT//yggX//alkA//lrp//codA//hypD//hemL//tap//purH//xapA//atoB//tsgA//paaZ//zraP//nrdD//rrsH//xylF//rplV//ulaE//ihfA//mdtA//yqjA//csgF//zinT//idnK//mhpA//
Fur-Fe2+_pos	fepB//bamA//ulaE//chiP//rrfF//hisQ//slt//hyfB//araC//hycC//fimF//fadI//glpD//fdnG//metB//stpA//xdhC//glpR//fecE//pgaB//argH//yggX//rrsA//aroA//aspA//
Fur-Mn2+_neg	modC//argP//yeiB//rhaS//prfA//hupB//norW//glgS//uidA//fadH//glgB//norV//codA//xylR//glgX//argH//aroP//ahpC//gnd//gutM//glcA//argF//betI//acnA//polA//ilvD//fliA//metE//waaH//gltV//nuoN//hflC//argB//acrE//garR//hyfB//glrR//araE//putP//dmsC//creC//amn//arcZ//hlyE//rrsD//pstC//araE//marB//ada//chbF//puuC//rpoH//ssuB//azuC//hycB//ilvI//ynfK//argA//fixA//rrsB//rybA//fimA//rrsA//mutL//mgtL//xapA//rnhB//speB//fucP//modB//tnaA//deoB//rplC//fdnH//borD//frdD//nrdA//araC//puuB//aldB//flhD//gltA//caiB//alaU//acnA//sucA//ihfA//idnK//miaA//ynfK//lpxD//truB//galS//puuD//cysN//argI//ssuC//lpxA//paaD//leuE//trmD//nrdH//hisP//abgA//trpD//nohA//metN//bioB//mhpT//rhaR//folA//rbsR//pgaD//pagP//mhpE//hyfJ//rplV//rrfD//gltD//phoQ//fepC//fepE//lrp//dpiA//
Fur-Mn2+_pos	hypC//fau//phnE_2//guaB//ytfE//zntA//cusA//entB//grpE//entS//nuoK//phnD//phoR//dmsB//yeiB//hyfB//metC//narJ//lpxB//feoA//gspG//argC//sucD//yeiW//ilvC//
GlcC-Acetate_neg	purD//
GlcC-Acetate_pos	tauB//sodB//paaE//alaA//paaB//sufA//
GlcC-Glycolate_neg	casB//
GlcC-Glycolate_pos	pstC//yeiW//lpd//dusB//ccmE//metQ//
GlrR-Pasp56_pos	purE//
IclR-pyruvate_neg	gltV//ccmB//efeU_1//bacA//
IdnR-5-ketogluconate_neg	glgC//miaA//envY//
IdnR-5-ketogluconate_pos	treB//yeiP//fimC//metR//creB//
IdnR-Idonate_neg	moaB//pck//malZ//
IdnR-Idonate_pos	ycdZ//oppB//lsrC//uidA//nagB//
IlvY-2-acetolactate_neg	avtA//
IlvY-2-acetolactate_pos	nrdA//
IlvY-Alfa-acetohydroxybutirate_neg	nanA//
IlvY-Alfa-acetohydroxybutirate_pos	rrsA//
IscR-[2Fe-2S]1+_neg	ydhU//glnD//narK//zwf//cusR//cynT//gltF//citD//cspE//nagA//xapA//argR//ydbD//agaW//argB//ogt//ebgA//mhpT//nanS//cheW//ydhX//lacZ//glpQ//sbmA//serA//hofC//nuoN//cyaR//sdhA//galS//
IscR-[2Fe-2S]1+_pos	livM//alkA//umpH//gabD//hyaC//puuR//ybjG//alaU//ydhT//purF//mgtA//
LldR-L-lactate_neg	actP//speC//metB//
LldR-L-lactate_pos	gatZ//caiA//napG//
Lrp-Leucine_neg	mntP//xylH//tfaQ//yfdE//cysA//rpoE//feoA//frdD//citD//rrfB//bioB//prfA//ygiA//arfB//tdcG//citG//purD//aroF//marA//ytfE//mhpB//grpE//nikR//fecC//astD//nanK//ssuC//rpsI//napA//nuoB//carA//gcvT//gltB//caiC//cynR//purE//uxuA//glpC//nanE//napG//prpE//rhaT//gabD//araG//fixB//leuE//purD//rdoA//phnE_1//rpsP//gyrA//dadA//hyfH//fixC//idnR//nuoN//narL//rplS//fepG//agaW//mzrA//tdcE//cusA//gatC//yqjH//bamA//hyfB//dppC//argB//rplB//yciW//aroP//melB//ydeP//nuoM//
Lrp-Leucine_pos	galT//glcB//pitA//rrlH//caiD//argG//artP//sdhA//tdcA//citE//casE//casB//ppiD//casB//ykgR//chbF//tap//miaA//rrfA//cysK//cusR//paaD//ssuD//rimP//hisP//frdA//hflD//mhpT//yeaE//tnaB//aroP//chbB//fdhF//ydbD//sucB//
LsrR_neg	ynfE//grxC//creC//osmY//glnB//ytfE//ansB//fucK//ydeN//
MalT-ADP-Maltotriose_pos	hpt//leuE//csiD//ccmH//cadC//fepC//tauA//katE//hpt//bioF//
MalT-Maltotriose-ATP_pos	napC//rimM//bcsC//argG//argB//dctA//tdcB//phnN//fliA//phnF//
MelR-Melibiose_neg	rpsI//rutC//hofP//
MelR-Melibiose_pos	agaW//cueO//aidB//
MetJ-S-adenosylmethionine_neg	ileU//rpsP//ompW//bcsC//dpiA//tnaC//dcuD//cpxR//purL//lsrC//gadC//puuD//gntR//malK//marR//
MetR-L-homocysteine_neg	fadL//treB//
MetR-L-homocysteine_pos	cbl//idnK//znuA//nrdF//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	dppB//sucC//yeiB//fecE//ahpC//prpR//
MhpR-3HPP_pos	dps//ydhU//uxaA//yhjA//acrF//thrV//
MntR-Cd2+_neg	uxuR//nuoB//yhhY//ldtB//
MntR-Cd2+_pos	mhpF//
ModE-MoO42-_neg	aaeX//iraD//nrdI//tdh//znuA//cynS//hfq//rrfA//lysA//fimC//melA//ydhU//rrfB//lysO//nuoJ//
ModE-MoO42-_pos	marB//glpB//glpR//pstB//fnrS//allE//metJ//gltV//ilvA//tsaE//phnF//prs//kbaZ//acnB//rrlG//ompC//cysH//malQ//rprA//ppiD//ptsG//metY//hflK//micF//mntH//phnG//umpH//fliA//csgC//hdeD//aroH//
NarL-Phosphorylated_neg	tsgA//bglG//fadB//melR//xdhC//hdeD//pitA//gabP//pgaA//tnaB//cspD//metF//malQ//fhuA//puuC//gyrA//cueO//ilvX//bioF//mdtD//hycD//yeiP//srlB//patZ//sucC//ilvM//nanM//tktB//mdtB//ydeP//glpK//sucA//phnK//yoaC//astB//hfq//hofM//zwf//yciW//ugpE//nirB//gltD//cydD//glgB//paaE//murQ//puuA//rpsS//mdtD//casD//ccmG//cstA//rseB//argO//phnH//tomB//chbF//aaeA//hdeD//hybA//gatY//argC//fis//azuC//betA//rybB//paaF//glpQ//avtA//glcA//entH//udp//torR//artQ//cadA//dsdX//focB//ihfA//dcuS//safA//yeiL//uxuA//ydeP//gatZ//ulaA//feaB//
NarL-Phosphorylated_pos	pflB//ampD//grxD//fucI//gltV//zraS//livK//agp//gntK//fumC//rseB//glmY//aroA//envY//uidB//dcuC//ynfG//cpdB//motB//cysG//codB//codB//feoA//entS//mhpF//ulaE//rimM//pflB//hyaC//galK//chbA//znuA//caiF//ilvA//csgC//fixA//casB//iscR//cyaA//cvpA//norR//narQ//fecI//yeiW//purH//metR//
NarP-Phosphorylated_neg	paaC//focA//xylG//tdcB//dcuB//dapB//murQ//ybdZ//lolB//mutY//gspL//tam//nirB//srlD//chbF//phnF//dcuD//xdhC//hyfC//nuoH//acrB//lrp//bioD//acrD//dcuR//ygaC//aidB//nikC//hypE//gcvP//eda//uhpT//pitA//
NarP-Phosphorylated_pos	cysK//norW//ssuC//glgA//dsdA//rrlC//alaS//dmsC//ssuB//raiA//fadE//hyfH//dppF//ptsI//yhcH//chbC//araA//edd//acnB//fecR//gpsA//napD//rutD//tehB//cyoE//focB//uhpT//preT//fhuF//upp//betA//nupC//
NhaR-Na+_pos	bioF//rhaR//phnP//speB//katE//
NikR-Cd2+_neg	uvrA//rplW//fepD//rstA//ygeA//preT//
NikR-Co2+_neg	rrlE//nusA//guaB//yfdE//pnp//nikC//
NikR-Cu2+_neg	mgtL//nikA//gutQ//yeiP//abgT//fixB//
NikR-Ni2+_neg	rpoE//osmY//zraR//aldB//metI//ampE//
NikR-Zn2+_neg	mgrB//yjiY//hha//citX//yqaE//argT//
NrdR-ATP_neg	ompW//cysU//gatA//mntP//trpC//degP//hyfJ//kbaZ//alaV//
NrdR-Zn2+_neg	ynfF//rplS//feoA//sufD//hypF//osmY//gltT//fnrS//purF//
NrdR-dATP_neg	ubiG//ssuD//tonB//micF//safA//mhpA//yhiD//xylA//ccmA//
NsrR-[2Fe-2S]reduced_neg	mhpT//malE//alaA//ompT//malI//lpxA//yibN//ykgO//mzrA//codA//ispE//soxR//casE//rimM//pstA//appX//glmY//ydeP//abgA//yggX//bglG//glpB//artI//paaF//nagE//fhuC//mdh//ispE//fiu//nanM//ilvX//agaA//aldA//astC//dnaE//cas1//deoC//gpmA//arcA//glnL//lsrC//pdhR//yibN//amn//nuoA//argT//glpA//garK//puuP//edd//torR//rpsP//citF//mtlR//rstA//treC//amn//hdeB//fecB//pyrD//moaB//fecE//ilvG_1//fucP//safA//fiu//aer//nanE//kbaZ//malQ//prpB//exuT//ytfE//
PhoB-Phosphorylated_neg	cpxA//araE//trpR//mdtB//sxy//pgaB//rbsA//hydN//gntK//adiC//sucA//gspK//gltB//
PhoB-Phosphorylated_pos	glgA//cysK//dsdX//phoA//nanT//narI//fucI//spf//patZ//creD//oppC//yegR//glmY//cas2//pyrC//fepA//artP//mgtL//fbaA//galP//ybdN//glpQ//bioF//envZ//agaA//nanE//hemA//prfA//fucA//nanM//glcB//nrfB//tnaB//gspL//ilvC//nuoA//rbsR//artJ//gltV//chbC//glmY//livG//marA//pyrC//gatC//mhpD//xdhC//rpmI//serC//cdd//prs//flhD//cas2//
PhoP-Phosphorylated_neg	pstA//pheM//recF//ampD//ybiT//nrdE//thrS//cstA//mhpB//csgD//galM//
PhoP-Phosphorylated_pos	puuR//malI//hcp//uhpB//phoP//fhuF//mhpE//nfuA//tyrR//aidB//cyoD//psiE//dcuD//gadB//glgX//araA//mcaS//pflB//osmC//fixC//fur//tcyJ//gpmA//ileV//dcuD//glpE//glpK//nohA//hlyE//livK//ilvG_2//fur//pstS//pitB//carA//metJ//hisP//phnF//ssuD//rhaA//spf//ppiA//ilvH//preT//purC//ccmB//idnK//cyoD//priB//
PrpR-2-methylcitrate_neg	cysN//
PrpR-2-methylcitrate_pos	gspE//creB//bglF//nuoN//
PurR-Guanine_neg	mdtD//ydhV//hycH//idnT//infB//yoaC//uidA//fucU//cysA//fliZ//ugpC//iraM//tehB//yciW//hybD//crr//rnpB//mtlR//bhsA//serA//agp//nanE//rutF//betT//chbA//agaV//gspI//hycI//ugpB//znuC//lldP//rrsG//lpxD//lsrD//
PurR-Hypoxanthine_neg	lacY//pagP//fixX//mpl//sdaA//norR//ugpA//hupB//cusF//dpiA//tnaA//aldA//phnE_2//rybB//hisM//glpD//rrfB//hyfG//dnaA//yecR//arfB//purD//hyfD//chbB//nohA//cusC//pgaC//puuR//znuB//sufD//uidA//nuoL//lysA//narI//
QseB-Phosphorylated_pos	glcC//norR//envY//mdtB//
RhaR-L-rhamnose_pos	ubiG//iraD//
RhaS-L-rhamnose_pos	rpsS//nlpE//argC//
RstA-Phosphorylated_neg	dnaA//manX//hyaB//paaB//frdD//
RstA-Phosphorylated_pos	fadB//artJ//hupA//evgS//gntT//
SoxR-[2Fe-2S]3+ oxydized_neg	ihfA//
SoxR-[2Fe-2S]3+ oxydized_pos	hycD//leuE//cpxR//
TorR-Phosphorylated_neg	xylB//
TorR-Phosphorylated_pos	nuoA//fixB//glcC//pitB//iscA//metL//dmsB//lpxD//ccmE//
TrpR-Tryptophan_neg	ccmB//mntS//yqjA//ydhT//livG//ykgM//cusC//aspC//pitA//fadH//puuC//spy//
TyrR-L-tryptophan_neg	dcuB//livK//yqjI//idnD//fecC//adiC//gspC//hyfE//pgaB//frdC//fimE//phoE//
TyrR-L-tryptophan_pos	gcvT//cyaR//purB//
TyrR-Phenylalanine_neg	lysP//acrD//tehA//rbsC//ppiA//dsdX//lsrF//znuC//codB//cstA//lrp//agaA//
TyrR-Phenylalanine_pos	dcuS//artJ//ugpC//
TyrR-Tyrosine_neg	rrlD//narG//mtlA//tdcF//gltT//tsr//eda//hemA//ptsH//agp//lsrG//appC//
TyrR-Tyrosine_pos	rplD//ubiC//ygiA//
UhpA-Phosphorylated_pos	lysA//
XapR-xanthosine_pos	ydeA//yfaE//
XylR-Xylose_pos	sufS//cysD//ampE//glnK//rpsJ//hofC//
ZntR-Cd2+_pos	bioC//
ZntR-Hg_pos	ychH//
ZntR-Zn2+_pos	aaeR//
ZraR-Phosphorylated_pos	fadE//csgC//rimP//
Zur-Zn2+_neg	polA//hycC//uxuB//fadB//argH//yibN//
