#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	ybiT//galP//
CRP-cAMP_pos	torA//bioA//chiP//moaB//uxuB//yjeF//hycD//grxC//rpsQ//gpsA//cusB//prmC//prfA//hybF//rrlA//mtlD//aspA//gapA//mhpF//bioB//rrsE//purR//hupB//ascF//rhaA//mtr//artJ//ompX//ulaC//mdtA//hybB//cas1//sucA//torC//nrfE//astC//yaiA//puuB//sbcD//metN//fnrS//iscA//mepH//rpsS//acnB//hcr//ydhW//grxD//cra//tcyJ//artJ//dcuD//nuoE//yfaE//glnA//soxS//mlc//lacY//cyoC//acrB//epd//mhpA//truB//tadA//nuoA//gdhA//yaiA//cydA//entC//asr//hyaA//entC//xylH//nanK//yeaE//dgcZ//argI//aldB//moaA//cas2//lysP//pta//hyaD//phoA//azuC//fliZ//rhaS//dsdA//rrlC//glcD//motB//ilvG_1//ccmC//lpxD//cadB//phnF//mdtD//cspD//umpH//yfdX//narG//nuoH//uxaB//rrlE//araG//hycB//araE//carB//glpC//gspM//hycI//hyfE//fimC//cysD//marA//gatB//nanS//pheM//upp//psiF//yhjA//norW//ydeO//ompC//betT//waaH//pgk//dps//yqjI//casE//lysU//ccmH//cysP//nanC//aceB//infB//rbsA//aroH//glnG//mgrR//trpL//secB//ugpA//pagP//sucC//ychO//tpx//rcnA//rcnA//gutM//creC//dgcZ//xdhA//emrY//tdcF//ilvN//ycdZ//phoB//prpC//artI//chbG//xylG//uhpA//trpA//garP//aroP//speB//ccmE//bcsB//malT//puuC//fixX//cyoA//grpE//ynfG//gntR//kbl//efeU_1//cstA//ybdN//tauC//rpsS//alkA//pagP//rrlH//fdhF//nlpE//metL//rutF//ompA//rpsJ//hcp//entF//miaA//yaeQ//trmD//ihfA//amtB//qseC//ldtB//codA//bglG//appX//hyaC//rbsR//ygiC//uxaA//cytR//nikD//dsbA//sdhB//araA//cynT//cyoA//nikD//nikC//cyoC//pstC//rnpB//yebE//gspD//glnA//trxA//ilvD//glnB//csiD//ygiA//ilvI//modC//arfB//ampD//pnp//xapB//csiE//nanA//ygiB//hybC//alaU//truB//nikC//puuP//glcC//hflD//ydeJ//tap//dpiA//dppA//gntK//trpD//fepD//ydeM//xylF//hyfG//hyaD//cysJ//gntK//hcr//secB//fucA//ftnA//nupG//fucI//treB//lsrG//dppC//cyaR//ydhX//tdcA//mgtL//gltU//tdcB//iclR//yeaD//gcvH//rbsR//rpoE//gadC//patZ//rpsP//fumB//argH//nagA//fau//puuB//uhpA//ccmC//rpmI//cspE//borD//puuP//infC//ycjX//ahpF//hisM//hypB//prfA//nrfF//cvpA//ubiC//evgS//arcA//yeaE//ygiA//uidC//cusS//uxaC//narH//phnN//tomB//cyoA//lsrD//fepG//tnaA//lacY//hyaF//bamA//rutD//allE//ssuE//metF//nrdG//yjeV//rhaB//livK//malK//metR//ybfN//lldD//umpH//mipA//hydN//livK//araJ//garR//yeiW//ugpQ//livJ//ampD//nikC//mntH//rrfF//idnD//erpA//glpE//feaR//lysA//gntR//pgaC//ebgC//hycD//grpE//tyrA//exuT//puuP//aspC//yeaD//cusS//kbaZ//spy//fadE//frdD//creC//nikB//glmY//argA//waaH//rutE//yjiY//prpD//uxaB//nagB//secB//creD//cysB//baeS//lldP//xylF//fabZ//metB//cueO//lsrB//abgT//tonB//mdh//ugpQ//gabD//rplW//phnK//purK//gntP//guaA//ssuE//srlR//araF//aroG//hdeA//tyrB//hyfB//allD//araJ//hyfB//napD//ssuE//norV//agp//gspI//gltU//phnF//glcG//narH//caiT//rutA//amiB//hypE//ftnA//codA//hofP//sbmC//trpB//cheR//yecR//fbaA//xapB//rplW//ssb//amtB//fadD//fnr//gltU//
ChbR-Monoacetylchitobiose-6P_neg	skp//idnK//phoU//pgaC//aer//alkB//
ChbR-Monoacetylchitobiose-6P_pos	ssrS//paaZ//atoD//gntX//hcp//agaW//
CpxR-Phosphorylated_neg	chbR//nuoF//nanA//caiE//sucA//ychH//casB//gabP//yfbR//pheT//glgB//trpL//rrlG//pgaC//entS//gltD//nlpD//agp//bioD//ugpB//atoE//dps//rrlD//nadC//
CpxR-Phosphorylated_pos	nlpD//cysP//mntH//dpiB//fadB//idnR//ompR//nrdI//nuoA//phoR//grpE//srlB//fecE//bglB//psd//phnF//trpA//citE//fur//trpE//pitB//idnO//alaU//ilvL//rrlA//mhpT//dpiB//hmp//hybB//hyfR//rrlE//rseC//gntR//aspA//mdtC//glgS//yfdE//uidA//cysM//tpx//arcA//acrE//mdtC//malP//malY//
CreB-Phosphorylated_neg	cydC//ilvH//yccA//
CreB-Phosphorylated_pos	fur//rrfF//phoB//argA//ccmD//ilvY//
CueR-Ag_neg	agaA//fucU//artP//iraD//fldA//
CueR-Ag_pos	yqjI//tktB//
CueR-Cu+_neg	prmC//polA//cusB//ilvB//raiA//
CueR-Cu+_pos	nadC//glgA//
CuerR-Au_neg	feoC//purL//glgB//narL//tsaE//
CuerR-Au_pos	hisP//phnE_1//
CusR-Pasp_pos	lpxA//ychH//metC//entE//cpxA//malE//ilvI//fucK//ccmA//cusA//dcuS//cyoD//
CynR-Cyanate_neg	fadI//
CynR-Cyanate_pos	iscU//cusS//agaV//
CysB-N-acetyl-L-serine_neg	cheY//pflB//hyaA//idnD//cyaA//cusF//glcF//
CysB-N-acetyl-L-serine_pos	bioB//rrfD//gcvP//purC//codB//hyfI//acrD//ytfE//fecE//nanM//gatZ//soxS//glcF//sdhD//fepE//phnI//fhuE//iscU//mpl//gpmA//nrdA//ycdZ//glmY//
CysB-O-acetyl-L-serine_neg	creB//sufA//creD//envZ//ydeA//mcaS//ilvH//
CysB-O-acetyl-L-serine_pos	cysW//slyB//cysM//hycA//prpD//gabP//rhaA//fumC//bglB//yegH//phoA//metY//rutA//fepE//uraA//cspE//napB//frdA//cadC//glnG//phoH//cyoD//carA//ryhB//
DcuR-Phosphorylated_pos	argA//patZ//cysH//yoaG//motB//rrfE//agaV//purH//uhpC//
DnaA-ATP_neg	nikB//argF//pstC//purK//treB//hybA//rpsP//ygiA//xdhC//mgtL//ccmH//
DnaA-ATP_pos	rcnA//nrdG//rrsA//dsdX//araJ//ldtC//rpsR//
DpiA-Pasp_neg	rrfF//
DpiA-Pasp_pos	aidB//yfeW//csiE//csgG//comR//phnH//ompT//citX//fes//efeU_2//
DsdC-D-serine_neg	cspD//
DsdC-D-serine_pos	sufD//rrfB//
EvgA-Phosphorylated_pos	moaD//hydN//ubiG//feoB//argC//treR//lpxB//rrsD//dmsC//malK//hybF//paaJ//yjjZ//gspF//xseA//
FNR-[4Fe-4S]2+ reduced_neg	puuB//rrsH//moaA//idnR//purN//araF//lhgO//rrfB//ccmH//ptsG//alkB//iscU//pyrD//rpmC//carB//cyoD//pyrD//hupB//rrfD//nagE//rrsA//gatZ//ykgM//ygiB//fadB//pstC//hycC//betI//bcsC//hisQ//yaiW//rbsC//tehB//nuoB//cytR//hyaD//mgrR//modA//ybjG//uraA//hyaF//mtr//exbB//alaS//ompT//hisQ//yegZ//napA//raiA//kbl//tyrP//dsdC//rplB//alkB//hcr//moeA//iraD//prmC//aroL//ogt//fadE//yqjI//adiC//ompX//rplP//prpD//lysO//rplS//paaJ//bioD//nikE//srlR//epd//hycG//glpE//purE//hyfE//rutA//tfaQ//marR//idnK//fixC//ackA//acrD//metE//crl//dsdC//rplW//hdeA//torA//leuE//lysO//murQ//preA//mdh//eda//phoP//citD//yqjH//phnF//argH//trpB//rhaT//dctA//dppA//nrdI//rpsC//hypC//ileT//phnE_2//rrsE//ispE//uxuR//ascF//aroM//caiA//bcsZ//trpB//argE//ytfE//
FNR-[4Fe-4S]2+ reduced_pos	adiC//skp//yeaE//motB//torD//motB//slyB//yibN//nikR//ugpC//fucI//hflX//uidB//fucP//cyoA//betA//acrD//zntA//glpC//lacZ//zraR//cusB//fhuD//hycF//micF//ampE//acnB//fecB//oppD//talA//nrdG//paaG//ppiA//fucP//malQ//cas1//tehA//yedX//yeaR//glgS//exuT//nanM//fliZ//yaeP//qseC//narG//torC//gspG//nrdA//codB//fhuE//sucA//aer//hypB//ykgR//galM//nupC//icd//argG//ycjX//ackA//casC//mzrA//ilvM//guaB//ulaD//ubiC//putP//purA//pnp//aceK//yecR//tdcD//rbsA//psd//torR//phoH//hyfA//prpR//ycjX//ilvX//dnaA//astE//bhsA//galM//ihfA//uxaA//hslJ//napF//nuoN//rstA//gspD//cvpA//pitB//purR//mglB//ydeN//glpC//cyoA//gpmA//cysJ//yaeQ//casA//gspM//gatY//hypE//yjiY//glgB//yqjA//rpsF//znuC//rrfF//ebgC//cysW//yhiD//cysW//lysA//bacA//phnL//oxc//moaC//ilvM//nusA//fecB//fepB//ybjG//sucB//cynX//fhuF//fumC//puuD//bcsZ//dmsD//argE//nikE//fucU//ilvB//mdtA//tdcE//chbC//metK//cydD//mepH//hisP//hfq//psiF//citC//caiA//fucR//glpF//mltC//gadB//yeaD//fepE//deoD//ulaD//znuC//fecI//ygiC//hflX//fadE//ulaF//glpD//cysA//hflD//tyrA//mgtL//yaiA//acrE//dpiA//tehA//zntA//glnK//yeaD//ycdZ//allE//evgS//serA//phnF//erpA//mlc//hisQ//fecD//crp//rrsG//glcE//citX//borD//lpd//cheR//ilvE//ykgO//ybjG//katG//ssuC//pflB//xdhB//fadB//astD//evgA//hflX//ssrS//
FhlA-Formate_pos	argT//hslJ//glnD//cadB//araA//ahpF//oxyR//dsbA//napG//aroA//hfq//carA//purF//fnr//manZ//araC//idnO//dadA//malY//borD//cysB//cydD//hyfB//pyrC//prfA//sucD//phnE_1//malP//mdtB//ygeA//
FucR-L-fuculose-1-phosphate_pos	narK//lacY//oppD//lldR//zntA//aspA//livJ//
Fur-Fe2+_neg	rutB//csgG//nirB//narG//adhE//cirA//fucP//cheY//tyrR//uidC//rplI//rcnA//puuP//bioA//ynfG//ssb//tyrB//citG//ndh//mntH//manZ//dppF//ybiT//rseA//aaeR//rnlA//ccmC//nrdH//nikB//hdeB//rpsQ//cydC//aaeA//gadC//ilvM//comR//arfB//trpL//znuB//tnaC//nikE//sdhD//hypC//ompX//cysD//hflD//phoE//aceK//feoC//safA//lpxA//uxuB//tauC//crp//casC//tsgA//bamA//casC//gatA//zraP//amtB//phoU//uidC//pdeF//cydA//metH//yaiW//trxA//purD//gatZ//glgB//yeiW//gadB//hypB//moeA//dnaE//yjeV//acrA//creC//glpC//uhpT//idnD//lrp//phoQ//ascB//narQ//fis//ryhB//idnD//chiP//napA//alkA//citF//gltT//ivbL//dppB//cdd//yjjZ//csgA//rmf//acnB//paaZ//envZ//carB//atoB//paaI//rpsJ//dnaA//paaA//thrS//osmC//sohB//argF//galK//galM//araB//oppD//gspI//livM//hha//cysD//yjjZ//ydfN//cspE//
Fur-Fe2+_pos	agaW//ydhT//tonB//mhpR//gltV//motB//hupA//uxaC//rrsG//infB//lolB//psiE//fadL//tauA//gyrA//uxuA//rybB//rnlB//aroH//lpd//lsrD//pstC//rrsH//dcuC//garK//
Fur-Mn2+_neg	ccmG//fimC//spf//serA//ydhY//yfdE//cysN//gntT//feoC//appC//tyrB//mdtB//thrV//garP//lysO//gspD//ydeO//ycjF//sdaA//nagC//metQ//folA//malS//erpA//rpsJ//paaH//nfuA//lldP//ihfA//treC//lsrR//srlA//gspE//lrp//lsrF//cspE//csiD//pck//prs//ygiA//fimE//ykgR//xapA//marR//appY//cas1//srlR//ulaD//nirC//csgE//hycI//pheT//prpR//hyfA//nikE//phoP//hycI//zinT//dsdC//yojI//ptsG//ilvN//ycjX//zinT//csgC//ptsI//bioA//yaeQ//fadI//bioB//carA//ugpQ//dsbA//bioB//hybD//argI//paaK//fimA//yidQ//nupG//dps//dcuC//cheW//araB//hyfC//rplS//phoE//yoaC//ugpA//nrdG//trpB//fdnI//glnG//lysP//tauB//fadD//tnaC//livF//mlc//chbB//cydC//aroM//argO//nrfG//pck//rhaR//hypC//nmpC//metK//sodA//evgS//glpQ//borD//ulaA//yhfA//yneM//ptsI//lamB//emrY//cra//nadC//pdhR//ygiA//napF//
Fur-Mn2+_pos	yaiW//gyrA//mltC//fhuB//ydeO//nuoB//aldB//purN//mglA//gspH//oxc//rpsQ//dppD//sucB//ydhT//ahpF//ilvD//gapA//gltB//allC//fes//rutB//preT//galM//ogt//
GlcC-Acetate_neg	lpxA//
GlcC-Acetate_pos	metH//motA//xylH//melR//cyoC//sucD//
GlcC-Glycolate_neg	mntH//
GlcC-Glycolate_pos	trpE//narI//adhE//nuoH//zraP//glnD//
GlrR-Pasp56_pos	gntR//
IclR-pyruvate_neg	tnaB//rhaD//metR//idnD//
IdnR-5-ketogluconate_neg	manZ//ugpE//atoE//
IdnR-5-ketogluconate_pos	ychH//nuoE//rpsJ//rrsH//epd//
IdnR-Idonate_neg	fbaA//agaV//adhE//
IdnR-Idonate_pos	astE//livH//lpd//bcsC//nirD//
IlvY-2-acetolactate_neg	nikC//
IlvY-2-acetolactate_pos	frdA//
IlvY-Alfa-acetohydroxybutirate_neg	sufE//
IlvY-Alfa-acetohydroxybutirate_pos	aceA//
IscR-[2Fe-2S]1+_neg	atoB//galP//fucR//ompT//torD//slt//zinT//ulaA//yggX//trpL//hypF//nrfF//ssuE//tsx//rstA//aceA//yaeQ//cydB//ubiX//cysW//astA//yccA//narK//nikB//nfuA//bioB//mntH//hupA//crr//rpmI//
IscR-[2Fe-2S]1+_pos	ubiG//sufA//osmC//malX//aceK//narX//puuD//artP//hslJ//rnhB//mntH//
LldR-L-lactate_neg	narX//yaeP//gspI//
LldR-L-lactate_pos	cydA//cas1//secB//
Lrp-Leucine_neg	hisP//fur//dcuS//cysW//metY//exbD//paaJ//rhaD//dppA//tdcG//hlyE//kbl//glpC//phoQ//tyrA//nrdI//appY//psiE//hofM//mdh//livM//yggX//bglF//lpxD//hyaF//rrfH//ubiX//rrsH//rhaA//znuA//marA//sufE//dppC//rrlB//sdhB//napC//ydhV//csiD//ptsI//rplS//dcuR//aceK//cynR//gcvP//fepC//rnlA//tyrB//lysC//chbC//cvpA//yhcH//xapA//ubiG//metI//cysG//pck//dkgB//serC//narK//lacI//sbmA//arcZ//purM//fucR//yjeV//rrfD//puuE//rstA//dcuR//glcG//sbmA//gatY//astE//cusC//yegZ//
Lrp-Leucine_pos	caiE//frdA//ycdZ//mhpD//sdhA//glpE//gspK//ilvH//sbcC//thrS//yaiA//ilvB//paaC//trpD//yfiP//gspF//cbl//tsx//acnA//cspE//cyoE//hmp//ilvN//abgA//puuE//pflB//fur//arcZ//tauA//metK//zwf//dmsB//gltD//lysP//nagB//
LsrR_neg	agaA//argI//cysB//phnL//bioA//nikB//iraD//mtlD//mdtD//
MalT-ADP-Maltotriose_pos	gntP//motA//hupA//mhpR//nuoL//ilvL//hemA//tauB//paaZ//cydA//
MalT-Maltotriose-ATP_pos	frdC//tomB//fimC//malE//astB//dadA//nuoF//ulaD//moaE//ygeA//
MelR-Melibiose_neg	ampE//trpC//tonB//
MelR-Melibiose_pos	arfB//pitA//araB//
MetJ-S-adenosylmethionine_neg	xdhA//xapB//hisP//rpmC//zraS//cyoD//fadE//cra//mdh//aceB//glnL//ycjX//cusR//phnI//ackA//
MetR-L-homocysteine_neg	appY//hybB//
MetR-L-homocysteine_pos	tam//comR//uvrA//cdd//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	gdhA//rrlG//trpA//rstA//glcG//hybC//
MhpR-3HPP_pos	emrK//folE//metN//stpA//mhpA//ilvE//
MntR-Cd2+_neg	ulaF//narK//mhpF//fumB//
MntR-Cd2+_pos	aroG//
ModE-MoO42-_neg	iclR//yhjA//ilvX//rplT//entE//gspD//astD//rybB//dmsA//bacA//fabZ//fepG//hybA//metE//nac//
ModE-MoO42-_pos	leuE//cusS//psd//lolB//tdcB//cadC//yaeP//ompX//pstC//rstB//astE//gspF//pgpC//mdtD//hyaE//purA//astE//frc//rrlG//xylB//cyaR//rrfA//uhpB//chbR//yrbL//sufS//phnM//yjeF//ynfF//fixA//qseC//
NarL-Phosphorylated_neg	envZ//speA//rutB//rbfA//citE//iscR//phnG//fhlA//nanA//acrF//flhD//borD//treC//malZ//bacA//lsrG//rrsD//gdhA//chbF//ybdZ//allC//amiB//yegH//talA//rutA//phoR//uhpT//ascF//glcG//ydeN//yeiL//nrfD//rrlA//uxaB//oppC//glcA//rplW//moaB//cysM//hybG//fdnI//astA//idnR//nagB//hupA//speC//galS//deoD//hycD//edd//agaA//entB//lacY//udp//paaH//artJ//arcA//mhpT//ydeP//rpsI//mhpR//uxaA//ndh//sodB//rrlA//rrlE//skp//hycH//fur//sbcD//oppF//rrfD//appY//hybC//nirB//cheR//garP//mutY//lsrK//rcnA//fecD//gspE//yeaE//hyfC//galE//yoaG//
NarL-Phosphorylated_pos	abgB//sdhB//fliZ//pncB//nikA//nrdE//gspO//uidA//tyrR//phnC//baeR//uof//ccmA//rrlH//ssuE//yhhY//argH//gntT//fecR//ulaA//tfaQ//hisP//trg//fumC//rbsK//livJ//nfuA//ssuE//fadI//ilvG_2//ynfF//rutG//fepA//argA//pgpC//tyrR//rstA//mgrB//paaF//glcD//bioC//lysP//glpG//puuE//malF//yfdV//
NarP-Phosphorylated_neg	paaF//rutF//argH//malI//glnK//znuB//hypD//yhhY//malF//erpA//malM//hyaA//tomB//rpsP//frdC//malM//ybdZ//paaH//metC//speC//xseA//nuoI//emrY//phnK//cynR//cusC//gyrA//ygaC//feoB//fecD//cpxR//gltD//araD//
NarP-Phosphorylated_pos	cysN//hypB//treC//lysP//mgtA//narI//cas2//hisP//xylA//deoC//casC//glcB//paaF//rutE//nikB//yfdV//mhpA//ychH//baeS//nanS//rplW//casB//metL//dpiB//hybO//citD//yibN//idnO//dps//uxuR//motA//dpiA//
NhaR-Na+_pos	ycdZ//putP//gabT//grpE//argP//
NikR-Cd2+_neg	napB//rrsB//fucK//glgC//prpD//slt//
NikR-Co2+_neg	ppiA//rpsF//csgG//nuoM//narG//modC//
NikR-Cu2+_neg	zwf//codB//gcvP//thrV//zraP//copA//
NikR-Ni2+_neg	argR//dcuC//rutA//appB//tdcD//uhpA//
NikR-Zn2+_neg	citE//ydiU//tauA//srlR//rrsA//gutM//
NrdR-ATP_neg	mntH//alkA//rpsF//ydhU//idnK//norW//speA//atoE//napB//
NrdR-Zn2+_neg	malE//ydhU//hisJ//gatC//abgA//appX//nrdG//cpdB//ulaE//
NrdR-dATP_neg	fhuF//ychH//atoB//rplT//gabD//pitA//phoH//alaS//dmsA//
NsrR-[2Fe-2S]reduced_neg	ulaC//metQ//hybD//acs//hyfD//dcuR//iscR//purK//rplB//uof//entH//dcuA//lldP//ydeN//cysJ//glpF//cynR//epd//nuoJ//betA//gcd//fnrS//ygiB//aaeR//chbB//slyB//fbaA//gatB//osmC//citD//gspM//rdoA//paaD//ybiT//nrdA//slyB//metC//epd//dsdX//nanK//ampD//ygiB//carB//hflD//guaA//ybdZ//ydeN//cas1//ackA//rhaD//galK//rrlH//ompX//srlR//iclR//purC//gcvT//rseB//rrlC//agp//glcB//astB//glgC//cadC//yebE//artJ//folA//glpT//argG//hyfE//glpC//gntP//tauB//
PhoB-Phosphorylated_neg	raiA//lacI//ssb//modB//idnR//dnaE//melR//lsrK//casD//paaZ//rrfA//betI//gcd//
PhoB-Phosphorylated_pos	gnd//ulaD//galP//mntS//evgA//nfuA//ygaC//cysM//livJ//csiE//lysO//sufE//mipA//uidC//sdhD//yjeV//appB//hybE//argD//iscR//dctA//fldA//safA//carA//uxuB//deoA//phoP//oxyR//zinT//atoB//nuoE//ivbL//hyaC//mscM//ldtB//allD//trpA//malX//glcA//glpX//purC//aldA//rplV//glcD//nlpE//trpA//malK//argG//bioA//frdC//nfuA//malX//fau//
PhoP-Phosphorylated_neg	glpA//aer//malX//rrlG//uof//entA//nrfE//rpsO//glpX//rhaA//frc//
PhoP-Phosphorylated_pos	uxaB//rhaB//frdA//ugpC//ascF//sufA//glcA//mglC//marB//glnG//glpT//hycF//ubiC//bamA//qseC//ileV//fnr//pheM//fhuD//ccmD//patZ//xylH//araG//paaA//ccmF//gntK//baeR//treR//ryhB//mtlA//malE//gabD//glmY//bioB//gntP//metH//osmY//chbR//cpxR//gntX//pgk//fabZ//alaS//rrlC//rrsC//purB//ynfE//preT//rplB//
PrpR-2-methylcitrate_neg	glcC//
PrpR-2-methylcitrate_pos	hybA//cyoA//nrdA//yeaR//
PurR-Guanine_neg	xdhA//norW//fdnG//rplS//napC//aldB//csgB//pgk//ychO//xylA//rbfA//atoE//yfbR//glnG//frdA//kbaZ//hdeD//fumA//rpsI//hemL//garR//fhuD//chbR//nuoI//psiF//hycC//fadJ//puuB//cvpA//mhpB//casC//cysG//yaiW//galT//
PurR-Hypoxanthine_neg	csgF//nupG//ydhX//carA//mutY//xseA//gcvT//carB//thrS//fumB//nrdH//ptsI//xylG//cysH//folA//gspL//acs//uhpA//prpD//tdcC//psd//cyoE//hflK//rrsE//napF//yeaE//edd//lysP//nrfF//lldR//rutE//pflB//pstC//rrlD//
QseB-Phosphorylated_pos	aceA//fucO//hemL//entE//
RhaR-L-rhamnose_pos	argT//rrfD//
RhaS-L-rhamnose_pos	nanT//fucU//fucR//
RstA-Phosphorylated_neg	dmsA//preT//csgD//gapA//nrfB//
RstA-Phosphorylated_pos	murQ//hyfF//thrS//tauC//ivbL//
SoxR-[2Fe-2S]3+ oxydized_neg	hupA//
SoxR-[2Fe-2S]3+ oxydized_pos	hisP//nanM//dpiB//
TorR-Phosphorylated_neg	cheZ//
TorR-Phosphorylated_pos	mhpR//acnA//pgaB//rbsC//nagB//exbB//prpE//cheZ//xylA//
TrpR-Tryptophan_neg	hisJ//tdcF//acs//gadC//acrE//ilvG_1//yccA//glgP//thrS//phoH//abgA//rrfE//
TyrR-L-tryptophan_neg	prpB//mhpE//ssuD//argE//tehA//csiD//glgX//tdh//fucU//rimM//tnaA//emrK//
TyrR-L-tryptophan_pos	caiA//bglF//pgaC//
TyrR-Phenylalanine_neg	sufS//yojI//exuT//aroP//glnA//melB//narI//fhuD//ahpF//lsrK//metH//fhuE//
TyrR-Phenylalanine_pos	appC//znuC//ubiX//
TyrR-Tyrosine_neg	ydfN//nrfD//nuoM//ptsH//ileV//rbsK//katG//tcyJ//dcuB//ycdZ//fepA//talA//
TyrR-Tyrosine_pos	zwf//nuoC//ugpQ//
UhpA-Phosphorylated_pos	fdnI//
XapR-xanthosine_pos	gatC//cheR//
XylR-Xylose_pos	tdcB//yqjH//glcA//betA//nrfC//galT//
ZntR-Cd2+_pos	chbC//
ZntR-Hg_pos	glnB//
ZntR-Zn2+_pos	lsrA//
ZraR-Phosphorylated_pos	ulaC//allD//hydN//
Zur-Zn2+_neg	dcuB//acrE//cytR//hyfE//deoD//xdhC//
