#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	mtr//fes//
ArgR-L-arginine_pos	prpR//mglB//phoQ//acrD//srlD//
AtoC-phosphorylated_pos	oppC//paaF//trpA//gcd//
BaeR-Phosphorylated_pos	pagP//lamB//lysU//fepB//guaB//hisM//nrfE//glnK//
BirA-bio-5'-AMP_neg	fimF//rprA//glnG//uxuR//rrsD//
CRP-cAMP_neg	mtlA//dusB//rdoA//tauC//dkgB//metR//araA//hyfA//fnrS//yhjC//mhpA//norW//gatC//fumA//tap//amiB//manA//gpmA//manY//hflK//hdeD//norV//nikB//glnG//manZ//arcZ//moaD//phnF//fimC//lpxA//hslJ//rrlD//hypA//motB//acnB//yoaG//lacA//ihfA//cpxA//nanS//mntP//gspC//nrfB//infB//aspA//rnlB//ydeN//ascB//ogt//mtr//yfbR//argG//ilvL//dmsD//narK//guaA//yojI//nuoE//lacI//xylF//marA//glgC//cheZ//rdoA//mntH//glpT//hisJ//fnr//yjeV//acnA//agp//frdD//fimF//narL//entB//ldtC//narG//ccmD//sdhB//nrdI//glcD//uidC//sdhC//ykgR//tdcG//rrsC//betI//creC//nrfC//aldB//phnD//entB//fadJ//ldtB//nuoJ//sdaA//cas1//ulaA//livJ//rrsA//glpA//aspA//dmsC//glpC//fimA//xseA//trpE//nupC//frdA//yaeQ//ileU//tonB//tyrA//lysU//ychO//argR//lsrB//nadC//kbaZ//bglF//alaA//ilvB//rrsC//ubiX//eda//xylR//tadA//dkgB//carB//sucC//uhpC//yeiL//argF//
CRP-cAMP_pos	yegH//manZ//gspJ//mipA//purD//argB//galK//argA//srlA//exbB//ccmH//nirD//sbmC//rbsC//hupB//abgT//ptsH//codA//evgS//entD//fliZ//rplV//trxA//cheA//hisP//iclR//metB//fixA//bcsZ//aaeB//ivbL//ompR//fepB//glnB//hpt//ynfH//priB//phnD//dsdC//hfq//metC//amn//fecD//metK//ydeN//ybdZ//truB//fixX//tsr//zntA//cstA//rrsD//talA//ugpC//hflD//trpC//nrfA//gdhA//abgT//rrfD//paaK//arcA//uidB//fnrS//sucB//hfq//bacA//ubiX//caiD//metH//upp//tfaQ//rutA//pgpC//fldA//hdeD//srlB//leuE//hybB//livM//dppC//ybjG//argB//argC//glyA//pheT//yegH//cadB//yedX//entF//psiE//citG//nrfG//nirC//codB//galK//fdnG//amiB//phnC//nrfC//pstS//nagA//sbmA//ykgR//nuoH//ompW//rrfG//gatZ//hofB//nagC//arfB//mutY//pagP//focB//rpsO//artQ//upp//sdaA//uxuR//hdeB//hupA//malM//rmf//sbcD//rpsP//phnE_2//cysK//ydeA//rplS//thrV//rutA//pgaB//ydeA//oxc//iscA//srlE//pstA//znuA//hycC//cynR//borD//hflK//mhpB//mgtA//deoA//lldR//cadB//rstB//fimA//sucA//galT//treR//aroM//ulaB//galT//appX//pgk//zntA//amiB//nrfC//cydD//bglB//iclR//metY//oppA//nikE//entA//citE//hmp//malQ//zinT//hdeB//hybC//astB//yibN//lsrG//fecI//livK//cheA//malP//yedX//acrD//glrR//gntP//mhpB//ilvA//prpC//glcE//dsdX//cadA//creB//creD//fau//csgF//pheM//fucA//glpF//nrdB//phnD//cysI//ycjF//proP//ydeM//fucI//hyaC//uidB//hycD//fumA//dapD//ilvB//ssb//speB//rpsO//agaV//prpC//gntR//ynfH//nrfA//hflC//ycdZ//purL//puuP//metK//gutQ//ppdD//rrfH//ppiA//carB//frdB//yfdV//entA//hofM//cirA//prpB//aaeA//gpmA//yeaR//mepH//mdtC//acrE//atoE//tehB//napA//hdeB//napA//prpE//yeiW//purR//motA//ampE//acrE//glcF//idnD//ygbA//cyoA//hybA//lpxD//lysA//cadB//livK//uhpT//mdtA//purH//idnD//cstA//fabZ//rrlD//napC//infC//ompW//ydhT//phoH//paaF//torR//motA//nikD//metK//rnhB//sxy//artJ//napH//udp//rbsR//uxaB//rplW//rbsR//carB//rpsC//lysO//nupG//yqjA//cydC//metR//mipA//mtr//appY//fliA//allC//yneM//yfbR//lysO//yfdV//exbB//ulaF//infC//deoC//phnP//amiB//fixA//ampE//dcuC//mhpD//bglG//ssuE//ubiC//ompF//secB//ugpA//hofO//puuB//cyaA//rpoE//arcZ//baeR//ptsI//ycjF//cyoB//cadA//rpoS//fimI//gltT//xylF//phoB//srlA//paaZ//sxy//ompW//tdcD//glcD//galK//iscR//manA//dmsB//flhD//fepD//ldtC//folE//rrfC//degP//glcA//lpxA//degP//ydeO//araF//yaiW//bglG//mepH//pgaB//rutB//metE//ydfH//galS//acrD//ynfH//dapD//mipA//torD//narJ//tadA//nrfC//ugpB//gpsA//fhuD//acrF//lolB//gspJ//ccmF//osmY//fhlA//malY//glcC//glnL//rbfA//modA//ygaC//mtr//betA//entD//ybjG//mgtL//norR//glyA//phnN//ydhY//gspJ//uxuA//yedX//rpsF//phnE_1//ccmF//appB//napC//ldtC//rrsH//nrdD//fadI//rrlH//ubiA//nuoI//ackA//prpE//dadA//hofC//yhjC//patZ//tomB//ilvB//malP//tktB//rrlG//chbR//nagB//agaA//acrA//hybE//phnH//aroM//prpB//hisP//
ChbR-Monoacetylchitobiose-6P_neg	codB//galP//dcuB//tadA//hcp//uxuB//
ChbR-Monoacetylchitobiose-6P_pos	mltC//nrdH//cusC//ulaD//sucD//atoD//
CpxR-Phosphorylated_neg	fhlA//norW//spf//bcsB//fimD//nikB//betI//ascB//ilvI//gpsA//yhhY//hybE//phnH//creD//pgaD//lamB//rhaD//sufS//ompF//pck//sucB//fepG//rhaR//gpmA//
CpxR-Phosphorylated_pos	ydhW//ynfG//araC//hycI//cysI//malM//dsdC//cas2//ftnB//xdhB//gutM//purB//rcnB//alaV//ybiT//ydfN//gapA//gcvH//bglF//cdd//cheW//alaT//bdcA//hycF//ychO//malE//mgtL//hyfF//araH//glpX//sohB//glnL//hyaF//exbD//frdB//phnI//csgG//acrD//trpD//guaB//phnI//livG//fhlA//tdcG//rnpB//
CreB-Phosphorylated_neg	aroG//sbcC//nuoG//
CreB-Phosphorylated_pos	purR//iscR//ispE//guaA//copA//hofC//
CueR-Ag_neg	tauC//rrfF//acnB//ssb//srlD//
CueR-Ag_pos	yegH//sohB//
CueR-Cu+_neg	acs//hybG//entE//metK//paaD//
CueR-Cu+_pos	malQ//metH//
CuerR-Au_neg	cheB//argE//aroH//sufD//hyfR//
CuerR-Au_pos	dadX//upp//
CusR-Pasp_pos	purL//azuC//hyfG//aaeA//exbB//pgaD//envY//gspG//pyrC//metE//cheY//fdhF//
CynR-Cyanate_neg	ygbA//
CynR-Cyanate_pos	mdtC//gltW//rhaB//
CysB-N-acetyl-L-serine_neg	ynfF//hyfF//atoA//hslJ//fimC//hflD//malT//
CysB-N-acetyl-L-serine_pos	cyoC//ompC//sbcC//soxS//nuoI//argT//paaF//paaB//phoP//ompF//purD//nuoH//ccmC//nikB//hofN//rrsE//araD//artP//ompA//hyfH//mdtD//cyoB//puuE//
CysB-O-acetyl-L-serine_neg	dcuD//malY//cysC//lsrB//napB//cheZ//copA//
CysB-O-acetyl-L-serine_pos	metB//fepG//rpmC//fadH//fepD//rplM//lacI//yojI//dmsD//hydN//caiD//rstB//metH//hypE//alkB//hyfF//ileT//rseA//casD//ydhT//hyfD//tcyJ//gcvT//mdtB//
DcuR-Phosphorylated_pos	cydC//fldA//livM//ilvC//yoaG//argA//ampE//rbsR//ssuB//
DnaA-ATP_neg	phnD//pstC//qseB//gyrA//xylF//xseA//ihfA//glyA//comR//cysM//puuP//
DnaA-ATP_pos	ilvM//araJ//oxc//hofO//yegH//cusB//ulaD//
DpiA-Pasp_neg	aidB//
DpiA-Pasp_pos	iscU//hdeA//ulaF//araB//zntA//glpA//glpQ//murP//sufC//exuT//
DsdC-D-serine_neg	gspI//
DsdC-D-serine_pos	malZ//focA//
EvgA-Phosphorylated_pos	modA//rstB//puuP//fumC//fecR//purD//rimP//rbsA//cas2//gcvT//rbsK//arcZ//ynfE//nagA//glpD//
FNR-[4Fe-4S]2+ reduced_neg	phnP//gntR//rbfA//rbsK//serA//atoE//cysJ//araH//glpE//caiT//ugpA//phnK//phnG//cyaA//pstC//nanE//gadB//rpsC//mhpR//nrdB//cysH//yfaE//rplW//metH//tcyJ//psiF//metR//rybB//ryhB//flhD//fimA//mdtC//amiB//paaF//hyfI//ynfH//glyA//trpB//ychO//oppF//ubiX//glpG//narX//tonB//ydeO//ackA//rrsA//hlyE//ilvY//ldtB//patZ//glgS//uhpA//glgP//garP//puuR//gltD//glnL//evgS//hflK//ygiC//glpT//nuoK//rrlH//cadA//livF//nagE//aaeR//lhgO//caiF//ugpC//csgD//yibN//sbmC//dadA//gspG//yibN//fhuB//lysP//tauD//gltW//xylR//astE//ssuA//ampD//nanK//cirA//ydeN//hycG//cynS//narJ//cheB//phnF//metQ//fepA//hofO//yibN//nfuA//ompT//efeU_1//sxy//yjeV//phoQ//rnpB//tonB//deoD//argI//cra//cysB//yfbR//lpd//yrbL//dnaA//tadA//argI//citD//cusB//crl//ampD//yjjZ//
FNR-[4Fe-4S]2+ reduced_pos	spy//srlA//glpE//livJ//rpmI//xdhB//yhiD//hycE//paaI//fucI//slt//rutF//napG//fimH//lacA//yeiL//caiA//ftnB//cysM//bioF//ykgO//fimI//gltB//cytR//nfuA//udp//pgaD//cusA//glnD//cysC//uraA//lysO//csgA//puuE//oxyR//secB//aroP//fepG//hycH//lolB//hybA//ychH//evgA//casC//cusS//treR//hyaD//oxyR//idnR//metK//fbaA//gatC//hemA//mepH//nagE//allD//livM//nagC//ada//ilvA//yfdV//galK//tdcC//aroF//hyaC//srlE//hflC//argT//lacI//cyoA//dusB//ulaB//sdhB//pyrD//malF//mdh//torA//fepB//ldtC//livF//trpC//gltV//yhjC//rrlB//artQ//ydeO//trpD//nrdI//metE//rseC//fhuC//purL//ydhX//cysP//pgaB//tolC//ilvA//manX//casA//galS//lacI//kbaZ//lsrR//uxaC//hslJ//moaD//nanM//metE//glcA//metB//fiu//ydeN//malS//hyfD//recF//glnG//citE//galE//gspL//rpsJ//ccmC//purC//agp//chbB//acnA//lpxA//entE//hemL//norV//mcaS//rybB//pstB//malY//rpsJ//metC//ssuB//ebgA//rstA//csgC//norR//tdcF//nikE//ppiA//baeR//fepC//ssuE//trpA//yaeP//alkA//feoB//metJ//ygeA//yfdV//ptsG//priB//puuR//hybA//rrsA//nrdF//modB//galE//gltB//fdnH//gspL//xylG//ompA//gspK//napD//aldA//ydeO//livH//ychO//entA//gadC//pgaB//ychO//tyrR//ybfN//gcvT//moaC//yaiA//nuoL//yfdX//yoaG//tehA//ryhB//hybE//ampE//srlA//yeiL//trpA//nrdF//ycjX//aceA//narL//malY//rplT//ompT//yeiL//ybfN//araA//yjjZ//
FhlA-Formate_pos	rcnB//rrsC//manX//bglB//puuD//rybB//fucA//nagE//ugpB//gspO//purH//aidB//stpA//znuA//ugpE//paaG//aroL//puuP//betT//rplT//envY//bhsA//rnpB//nrdA//ung//cynX//malQ//rplS//crl//dppA//
FucR-L-fuculose-1-phosphate_pos	dsdC//creB//lsrF//puuR//ydfH//ysgA//aaeA//
Fur-Fe2+_neg	dpiA//manA//yneM//rrfE//tyrR//agaV//csgG//ybjG//hupA//csgA//dusB//ogt//malS//betI//psiE//nuoC//bcsB//rbsD//iraM//ydhX//ompT//nirC//infC//pgaD//paaK//ptsI//rpoE//uxuB//bioD//fucI//rpsJ//chbA//yedX//ebgA//fecE//paaG//rrlC//creB//ilvL//xylF//phnH//casE//cyoD//ychH//csgA//rpmC//gspG//gutM//malF//cheB//yaeQ//dsbA//tauB//sufS//paaF//rutC//tehA//proP//spf//ynfF//tdcD//yegZ//ydeJ//envZ//cra//bamE//ileT//frdB//xdhC//fis//proP//paaK//puuD//nuoL//gspE//casB//rpmC//casA//cusS//rpsF//betA//mdh//yeiL//ycjX//tsgA//rplV//sufA//infB//dsdX//chbC//gspC//nikC//yeiL//mhpE//fimA//gyrA//purE//hycH//preT//rhaA//frdA//fimF//ydhV//purE//csgC//paaF//argE//narG//fbaA//nlpE//ilvE//yeiP//malQ//sufC//hfq//ulaD//mtlR//hycH//tdcB//sodA//rrsB//lpxB//gltA//bcsB//
Fur-Fe2+_pos	cysB//hyaF//yneM//phnN//aroM//tdcE//fepE//efeU_1//phnE_1//rpmC//idnT//fepD//livG//dnaA//mhpR//ompT//hypF//metF//yaeP//fepB//lsrG//araA//puuC//ppiA//ilvM//
Fur-Mn2+_neg	ung//glnG//livK//citC//aroM//nrfB//slt//ppdD//yeiB//gutM//hyfF//zraR//nrdI//hofM//dcuB//ydiU//ssrS//appC//ubiA//trpD//trpE//nmpC//iclR//yqaE//gabT//yhhY//rutA//yggX//tsx//marR//tdcB//norW//qseC//fdnG//flhC//ydhT//ssuD//cydA//mdtA//hflD//glpR//dmsD//lacZ//cysM//alaV//deoB//glcG//glgB//feoB//gpmA//ndh//narK//yeiB//ebgC//gutM//hofM//hyfA//yjeV//thrS//glyA//cysP//araF//narL//tktB//malZ//fadI//marA//hypF//abgB//creC//gnd//xseA//lsrA//narI//galM//fepC//rrfA//bcsB//hycG//dnaA//glpB//tomB//rrlB//caiB//cdd//ygeA//ccmG//xylF//oppF//ulaB//nusA//nusA//rutA//srlE//dppA//casE//cynT//codB//rpsP//tyrP//gnd//aldB//nrfG//ycjX//sufC//miaA//envZ//narQ//fecR//nadC//lysO//casA//ccmH//rutG//fldA//arcZ//uhpB//rpmI//hypB//fucU//envZ//agaV//pgaD//yedX//
Fur-Mn2+_pos	napH//cysI//udp//glmY//gltW//pstS//dps//cysB//napD//yfdE//rrlD//ebgA//cirA//hemL//fau//purE//aaeB//ydeN//hdeD//yecR//arcA//cysN//entB//paaK//napF//
GlcC-Acetate_neg	yeaD//
GlcC-Acetate_pos	hybD//lldD//gntP//gntX//rybA//alaV//
GlcC-Glycolate_neg	ndh//
GlcC-Glycolate_pos	micF//katG//cysI//feaB//prmC//fucO//
GlrR-Pasp56_pos	fepA//
IclR-pyruvate_neg	yibN//cas1//mhpE//ilvL//
IdnR-5-ketogluconate_neg	motA//ilvL//csiE//
IdnR-5-ketogluconate_pos	fadH//erpA//ascB//ssuB//amtB//
IdnR-Idonate_neg	gcvH//hypF//copA//
IdnR-Idonate_pos	mntS//dusB//ynfE//mglB//flhC//
IlvY-2-acetolactate_neg	metL//
IlvY-2-acetolactate_pos	galP//
IlvY-Alfa-acetohydroxybutirate_neg	aaeB//
IlvY-Alfa-acetohydroxybutirate_pos	acs//
IscR-[2Fe-2S]1+_neg	prpE//fepE//dmsA//tsx//hyfI//garL//hyaD//nuoM//secB//malT//phnP//feoA//evgA//entE//yfeW//pyrC//mhpE//mntP//glgP//sucB//acrD//mutL//mlc//umpH//rpsP//efeU_2//ilvD//fucA//agaV//tauD//
IscR-[2Fe-2S]1+_pos	ycjX//osmY//rutB//bioC//tomB//ydhU//ssuD//ulaB//fimH//ydhY//cysM//
LldR-L-lactate_neg	caiB//carB//borD//
LldR-L-lactate_pos	hyfH//xylF//modA//
Lrp-Leucine_neg	adiC//oppD//norW//gnd//codA//araE//phnN//argR//glnB//nrfF//hfq//efeU_2//metR//ldtB//oxc//mhpF//tauD//hyaF//crl//uxaA//rrfE//csgD//gspO//ompF//cysW//rybB//yciW//mpl//yhcH//hycI//nrfA//tdcB//tyrB//ubiX//nrdI//cirA//fhlA//livG//acs//rhaA//appY//hofC//yibN//livF//appB//glrR//cysP//betA//xdhA//gspL//polA//rpoH//stpA//rrsD//agaV//mscM//fucA//glyA//feoA//mgtA//torD//rpmC//glcA//trpD//tdcB//comR//aer//trg//ykgO//paaF//glpD//uhpB//tar//dmsD//glnD//
Lrp-Leucine_pos	chbR//nrfC//ompA//yibN//rpsQ//creB//artM//ascB//araE//cadB//tauB//skp//nuoB//prfA//bioF//grxD//narL//appB//yfeW//glmY//phnK//mntH//evgS//uhpB//uhpA//priB//nuoC//nuoM//uraA//yeiP//gabD//ycjF//glmY//ssb//narH//
LsrR_neg	sufB//hyfI//melA//deoA//norR//yhcH//rbsR//csiD//metJ//
MalT-ADP-Maltotriose_pos	nanM//paaZ//aspA//exbD//yfeW//yfeW//nrdE//narL//pgaC//rplC//
MalT-Maltotriose-ATP_pos	ssuE//sdaA//ilvM//rutB//borD//znuB//hupA//fixX//trpB//rplW//
MelR-Melibiose_neg	yaeQ//yoaC//cas2//
MelR-Melibiose_pos	baeR//lacA//dmsD//
MetJ-S-adenosylmethionine_neg	ada//araA//mhpA//nrdA//glnB//ssuD//csgD//argP//livK//yhfA//malS//ileU//nanC//srlA//uvrA//
MetR-L-homocysteine_neg	gspM//udp//
MetR-L-homocysteine_pos	malE//rrlG//ulaC//aaeA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	hyaD//rpsR//glgC//rybA//ugpB//envZ//
MhpR-3HPP_pos	entC//fecE//malE//tar//narK//argG//
MntR-Cd2+_neg	sbcD//purE//cynT//upp//
MntR-Cd2+_pos	ebgA//
ModE-MoO42-_neg	lsrR//narQ//crl//dgcZ//nagB//cueO//folA//creC//hycI//rutD//lysA//eda//nanK//hybG//fepA//
ModE-MoO42-_pos	rseA//osmC//hybO//rbsK//fixC//cadB//dmsC//tyrR//entH//gntP//ygiB//ppiD//yoaC//phoQ//rpsR//appY//dmsB//ampD//rplS//rrfH//mepH//dgcZ//serC//gdhA//gatD//rseB//pgaC//rseA//lysA//bioF//gntK//
NarL-Phosphorylated_neg	araE//xylF//fucK//bioF//lamB//crp//dsdA//nmpC//rplB//yoaC//yeaD//dkgB//bglB//cysW//astB//arcZ//pgaB//fucP//polA//narH//dsdC//putP//ampD//treR//tdcB//caiE//ulaF//ompT//glcB//fecD//glpE//zinT//hha//gntK//asr//adhE//tomB//prs//garP//phnI//mhpB//deoD//ptsI//nrdF//lysO//argA//yjeV//ytfE//hybA//cydB//tsaE//nac//nuoN//trpD//hisP//xylH//fldA//hybO//appB//talA//trpE//iraM//chbB//ompW//carB//yidQ//cysJ//uxuR//rseA//ccmD//tsx//lacI//agaV//citE//dcuR//rrfG//glcG//creA//oppF//argH//cysW//yhiD//chbG//ldtB//malS//hypC//
NarL-Phosphorylated_pos	sohB//mglC//rplM//yedX//lldD//ccmH//purN//glpT//gapA//rutG//mdtB//gcvH//ppiA//ydeO//purF//hycG//pheM//yfdV//gspC//phnL//gspM//aceB//atoB//tsaE//caiT//fadB//nuoC//murQ//dpiA//ssuA//manY//tdcA//livK//fliZ//asr//dusB//rmf//psiE//metN//gspJ//iscU//cysP//gdhA//fadE//rhaR//ilvI//
NarP-Phosphorylated_neg	caiD//nagC//nuoC//csgC//ydfN//garR//dcuA//rimM//glgC//znuB//ynfK//ompF//aceB//lsrG//nuoE//amiB//cysD//puuD//cusS//chbR//hypB//iclR//dnaN//mhpB//nusA//ssuC//cyaR//ccmG//nuoE//ydfH//ulaE//ugpB//tfaQ//
NarP-Phosphorylated_pos	pck//fepB//rplW//glnB//creC//dapD//ydhV//hycC//hofB//soxR//pitA//pdeF//artP//nanT//glnA//yqaE//chbR//rnpB//phnH//mglB//pgk//fliA//hypA//atoA//rrfF//malI//napG//moeB//gcvP//cysM//metQ//cheB//
NhaR-Na+_pos	tyrA//xylF//focA//znuC//aceK//
NikR-Cd2+_neg	alkB//crr//gspF//emrK//aroM//ccmF//
NikR-Co2+_neg	purR//rpsF//gcvT//truB//malI//lacA//
NikR-Cu2+_neg	torC//galK//nirB//nirB//mglC//marB//
NikR-Ni2+_neg	dppB//acrF//nuoB//mhpF//nikC//cynT//
NikR-Zn2+_neg	ulaA//fhuC//metQ//bioB//rutB//glnL//
NrdR-ATP_neg	mntH//rseC//ompC//tauD//nlpD//ycdZ//creC//cspD//sdhD//
NrdR-Zn2+_neg	sucC//bcsZ//yaeP//ytfE//hemL//purM//citF//crl//ccmB//
NrdR-dATP_neg	rrsE//yfaE//emrK//hofN//dadA//cysJ//tauA//tehB//bglB//
NsrR-[2Fe-2S]reduced_neg	cas2//baeS//phnL//ydiU//ydhU//rrlE//leuE//gltD//lsrF//dcuD//phoA//cheR//ilvH//iscU//fabZ//phnG//aaeR//acs//gspO//rrlC//gntK//hofN//ansB//nrfC//tdcF//rnlB//phnC//tonB//znuA//hyaA//nirC//murP//acnB//uxuB//rnhB//emrK//yojI//aaeX//ugpB//prpC//malZ//gatZ//yhfA//cheZ//edd//nuoG//rrlB//metC//marA//abgA//paaB//amiB//stpA//phnE_1//malZ//lsrD//araF//yeiL//mtlA//hyfG//flhD//nusA//rplT//rpsP//pgpC//uxaC//gltW//malG//ugpE//secB//rnhB//dsbA//phnD//
PhoB-Phosphorylated_neg	glcE//araA//phnP//cysI//pgk//phnN//paaK//bcsZ//glpB//pagP//mgrR//ssuE//betB//
PhoB-Phosphorylated_pos	mtlR//fadE//rpsO//ynfG//lsrF//yojI//ilvE//nlpD//citG//glpK//nuoB//hypE//ulaC//araC//araC//trpD//azuC//aroA//paaG//mhpB//modA//metQ//livH//ydhT//iscA//prpR//ebgC//fepD//cysB//argT//nikD//argP//treB//sodA//fucI//paaE//modB//paaE//mtlA//exbB//mhpD//crl//fucK//phnJ//dpiA//napA//rpsC//rnlB//phnM//ycdZ//rcnA//rutE//ulaE//
PhoP-Phosphorylated_neg	focB//hyfJ//mglC//puuA//nadC//abgA//araJ//ykgR//fiu//glcC//pgaC//
PhoP-Phosphorylated_pos	rrsA//fhuA//tnaB//umpH//yjeF//ubiG//artQ//rrfB//rybB//ugpQ//tomB//betB//appA//mhpR//ssuE//argC//rpoH//yggX//ychH//dmsB//paaG//cysG//gdhA//rplI//ileT//metC//napA//ompX//ubiA//tdcE//artP//araG//astB//fixX//artM//xylG//glnB//katE//uidB//pncB//metN//cysW//ubiX//fepD//ynfH//ilvG_2//garR//fhuD//hisQ//
PrpR-2-methylcitrate_neg	ilvE//
PrpR-2-methylcitrate_pos	ycjF//ydhU//mglA//yfbR//
PurR-Guanine_neg	infC//ugpA//yidQ//dnaN//ugpQ//lsrF//xapB//ygbA//rbsA//dcuS//cpdB//hha//murQ//dcuS//dsdX//metH//trpD//malI//infC//torC//gspK//xylG//metI//cysI//rrlH//cysK//prpE//hyfA//galS//crl//ubiX//modC//mntP//rrsG//
PurR-Hypoxanthine_neg	cysW//betT//glmY//citF//phnE_1//mhpD//fimD//dpiA//ytfE//rrlA//feaB//serA//uhpB//cbl//arcA//rnpB//sufC//nrdD//csiD//sdhD//uhpC//umpH//tnaC//ivbL//metC//fepB//entC//hyfI//manX//thrS//metF//nmpC//hybB//hflC//
QseB-Phosphorylated_pos	dppA//gntK//yfdE//trpR//
RhaR-L-rhamnose_pos	entB//gdhA//
RhaS-L-rhamnose_pos	araD//trpA//rplM//
RstA-Phosphorylated_neg	gltB//putP//abgT//grcA//gpmA//
RstA-Phosphorylated_pos	hupB//gdhA//acnA//fucA//rplI//
SoxR-[2Fe-2S]3+ oxydized_neg	ccmE//
SoxR-[2Fe-2S]3+ oxydized_pos	ebgC//entS//hisQ//
TorR-Phosphorylated_neg	phnK//
TorR-Phosphorylated_pos	fucP//galK//frc//nrdA//ilvD//mntH//purR//glpG//argP//
TrpR-Tryptophan_neg	uraA//prs//ilvA//lysO//hybF//entB//fadA//entA//pyrC//fimE//rbsR//bioF//
TyrR-L-tryptophan_neg	ftnA//serA//rpoE//oxyR//xdhA//phnG//acrD//norR//idnK//nuoN//gatD//xylH//
TyrR-L-tryptophan_pos	yibN//gutQ//focB//
TyrR-Phenylalanine_neg	ydhW//crr//idnK//ogt//gspE//paaI//purK//ryhB//dcuR//cpxA//yfaE//pitA//
TyrR-Phenylalanine_pos	manY//fucP//rprA//
TyrR-Tyrosine_neg	tyrA//ompR//dcuR//rrlB//nusA//yjcH//ileU//cysU//yidQ//hofO//phnE_1//cheA//
TyrR-Tyrosine_pos	idnO//amtB//yeiL//
UhpA-Phosphorylated_pos	ubiX//
XapR-xanthosine_pos	gyrA//dmsB//
XylR-Xylose_pos	narH//ulaA//nanA//safA//gltW//gntP//
ZntR-Cd2+_pos	dppC//
ZntR-Hg_pos	ebgA//
ZntR-Zn2+_pos	deoB//
ZraR-Phosphorylated_pos	ydeJ//sdhC//ihfA//
Zur-Zn2+_neg	nuoN//dmsC//sdhD//idnO//gcvT//mhpB//
