#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	artM//pepT//
ArgR-L-arginine_pos	melR//sroD//lhgO//ompT//acrA//
AtoC-phosphorylated_pos	rpoS//allC//patZ//asr//
BaeR-Phosphorylated_pos	rplB//ccmA//yfeW//tam//narX//nuoI//rrfH//ubiA//
BirA-bio-5'-AMP_neg	malM//paaH//caiE//cheZ//caiA//
CRP-cAMP_neg	nanK//torC//yjiY//pyrD//tcyJ//arcZ//mtlD//cvpA//hypB//entE//cysC//bioF//deoB//speA//rplI//sohB//ycdZ//ytfE//borD//caiT//patZ//znuA//efeU_2//arfB//arfB//rpmI//ubiG//polA//cyoB//phnJ//hdeA//cas1//ilvE//rrlD//mutY//ptsI//trpL//phoB//sdaA//baeS//xylG//bcsA//sdhB//ccmG//napD//pheS//glpK//fur//nrfE//cysN//rbsK//oxc//aaeB//yaeP//mhpA//phoB//adiC//nfuA//hcp//ugpA//mglB//cusF//spf//rpsR//pgaD//glnD//rrfH//purL//gcvT//dcuA//glpQ//fepC//murP//galE//rmf//fecI//artJ//ptsI//hyfF//ascF//cyaR//mhpC//entA//gltU//uxuB//hflD//gspF//argI//lldP//hypC//mhpF//aspA//thrS//ugpB//lysA//ilvN//paaF//yeaD//yjjZ//xdhA//trpD//melR//leuE//rrsA//pheT//ampD//fbaA//rrsH//tyrR//bcsZ//caiB//rhaT//ssuA//cbl//uidA//sodA//treB//casC//ulaB//baeR//argA//xylF//betA//cas2//dpiA//pflB//chbB//hycG//dgcZ//cas1//mntS//moaB//lpd//
CRP-cAMP_pos	casE//paaF//pta//gatB//puuA//ubiG//caiE//ampE//arfB//yedX//ynfH//ygiC//rhaA//gltD//ygeH//lysO//fliA//rrfB//rcnB//torA//hflX//agaA//motB//appY//phnD//mdtC//aaeX//araC//artQ//nanM//frdC//gntT//ompX//cysP//argC//gnd//gcd//gltA//alkA//cadA//xdhC//fucK//malF//argO//yaeQ//ccmD//tsgA//fucK//sdhB//envY//phnP//phnG//ssuD//priB//tcyJ//nrfE//glgC//nuoL//hycE//artM//paaJ//cspD//tyrB//marR//trxA//rybB//ppdD//moaB//yeiB//araH//stpA//fadH//hybG//iscS//cas2//chbG//hcp//hisQ//srlD//fecD//cpxA//artM//ilvM//yggX//fbaA//crp//yeaE//dapD//gltA//bamA//hfq//creC//idnR//cynX//katG//lsrK//ldtB//mscM//hofP//hofP//dppD//nrdE//fucI//epd//pstC//mhpD//thrS//alkB//hyfF//manZ//gatA//oxyR//hisM//glrR//ykgO//sbmA//feoA//agaV//fecE//metA//cheB//malS//yjeV//nlpD//hisQ//qseC//ugpA//dcuR//araB//fixC//cadC//glcC//malE//gnd//ydhY//lolB//amn//aspA//iscU//gspH//bacA//ydeA//tnaA//fldA//baeR//sufS//dppB//soxR//fis//nac//phoH//rcnB//gspG//citC//lhgO//hycF//adhE//hybO//actP//rhaT//hofO//gabP//ynfE//gspK//rutB//artI//livH//feoB//xylR//nrfA//truB//cysD//tyrA//caiC//hofC//yeiP//cra//exuT//mntS//hdeD//pflB//frdC//fixC//oxyR//mhpD//rrsE//mdtC//citC//bioF//fixA//hybG//glmY//ilvA//fimA//cysU//ahpF//nrfC//ompW//hyfB//atoD//nuoN//lldP//ynfE//dcuB//ampE//rrsG//fhuF//nuoG//ydfN//gspH//yibN//rhaR//phnN//phnF//caiF//dnaN//dapB//dapD//uof//fadL//lsrG//ilvA//hypB//metN//ilvG_2//oppF//deoD//alaT//ampE//napG//sucD//serA//preA//hflK//fhuE//sufA//fepE//lacZ//sdaA//fimH//nlpD//sodA//yqjH//phnD//sbmC//hyfD//avtA//lysP//gltT//puuB//nusA//hisM//galT//ccmA//rrsH//ybdN//yoaG//cysP//yhcH//rplD//trpC//fecA//hycE//nanK//yegR//hisM//ulaD//tnaC//oppF//degP//purN//modC//argB//rrsD//ahpF//chbC//envY//hycG//ybjG//mglB//tdcB//gltA//rrlD//malZ//citF//nuoG//gspE//codA//cysU//bioF//motB//glcA//lacA//pck//gltT//raiA//abgB//galE//atoA//casD//hslJ//exuT//rplI//sucA//entE//erpA//uxaC//aaeB//hypB//sdhB//hycE//ftnB//gcvP//gadC//hisM//hypC//ccmH//mdtB//tyrB//nikB//rpsJ//nuoA//livF//glpE//proP//tdcG//infC//glcF//guaB//ccmE//mhpC//ssuB//purC//fucA//uhpC//yfeW//hfq//nupC//cynT//purR//purH//znuC//iscA//aceA//nanA//hybF//mgtL//xylH//phnF//ybdN//fhuB//nohA//lysC//yneM//ugpQ//cusB//fepD//focA//fepA//trpR//yfdE//zntA//dcuC//csgA//nrdF//evgA//tsgA//iscR//gntU//fiu//borD//rof//yjjZ//puuR//ykgR//atoE//gspO//treC//phnE_2//fucO//psiF//ilvC//fucU//fur//alkA//borD//treR//metE//paaB//glcA//fnrS//fimD//lpxD//ilvG_1//arcA//cyoC//pitA//yiaJ//iscU//rpoE//sdhD//tauC//trpL//yeiL//fes//hyfB//rnpB//ung//araE//osmC//hypC//ygiA//acrE//acrF//chbF//ebgC//fdnG//nuoH//pagP//metF//yibN//dmsA//fixB//rpoH//rnhB//fliA//fhuE//miaA//garP//
ChbR-Monoacetylchitobiose-6P_neg	rplW//uof//oppF//hisP//rof//oppF//
ChbR-Monoacetylchitobiose-6P_pos	tfaQ//norW//glpG//yjjZ//hyaE//cynT//
CpxR-Phosphorylated_neg	ampE//fepG//pgk//gspH//prfA//ychO//aroA//sufB//lysO//nirB//folE//csgC//recF//xapA//cirA//yneM//rhaD//ydeM//recF//rutB//casE//treC//mhpA//srlR//
CpxR-Phosphorylated_pos	yeaE//melR//ydeN//ilvX//hemL//ccmD//chbB//cysD//livG//hycA//aaeR//fepC//rstB//trg//astD//aceE//glpB//malX//lpxB//glgP//cysG//hyfH//fucA//cysC//degP//ydhW//putP//rplV//galT//livG//glcA//ompF//paaZ//araA//ileV//nuoB//sdhB//fecE//hyfE//tsaE//gcvP//iscA//entS//ydeN//mglA//
CreB-Phosphorylated_neg	aceE//creC//pta//
CreB-Phosphorylated_pos	trpB//csgG//rimP//fumA//ybiT//moeB//
CueR-Ag_neg	prs//ilvE//tktB//cydB//srlB//
CueR-Ag_pos	murQ//pncB//
CueR-Cu+_neg	argI//hdeB//mglC//rpmC//lldP//
CueR-Cu+_pos	lsrA//tfaQ//
CuerR-Au_neg	malX//cadB//artP//pitB//efeU_1//
CuerR-Au_pos	iscA//ulaE//
CusR-Pasp_pos	hycF//ileV//upp//rrsE//galS//cadC//creC//raiA//rmf//uidA//hisQ//dppD//
CynR-Cyanate_neg	dcuS//
CynR-Cyanate_pos	rybB//yrbL//ndh//
CysB-N-acetyl-L-serine_neg	mhpE//acrA//astA//lsrG//mntP//fdnH//pheT//
CysB-N-acetyl-L-serine_pos	ahpC//bamA//mepH//yhjC//chbR//hycB//nrfC//ssuE//ppdD//hflC//ilvG_1//hisM//emrY//alaV//tyrB//ssuD//malE//oxc//mscM//ampD//ilvE//trpD//lpxA//
CysB-O-acetyl-L-serine_neg	nagC//entC//talA//soxR//dcuC//fliZ//fadI//
CysB-O-acetyl-L-serine_pos	citE//tnaC//infB//nuoH//gspL//priB//glnG//ydhU//hypE//ilvN//cra//ynfK//lacI//alkA//ybdN//feoB//paaJ//recF//cytR//casE//focA//erpA//cspE//gspC//
DcuR-Phosphorylated_pos	idnD//pstB//gcvH//entH//narL//hycD//katG//napB//gltB//
DnaA-ATP_neg	rutE//mdh//rrlB//cysW//fadE//ubiC//rpsF//grcA//napB//mcaS//ydhW//
DnaA-ATP_pos	fixC//frdB//nlpD//purC//preT//malZ//galK//
DpiA-Pasp_neg	fucU//
DpiA-Pasp_pos	caiD//bcsZ//narX//mgrB//araF//nrdB//idnK//rnlB//artJ//rstB//
DsdC-D-serine_neg	hycF//
DsdC-D-serine_pos	trxA//tnaB//
EvgA-Phosphorylated_pos	ynfF//rutC//exuT//cysK//iraM//fucA//mhpR//rrfH//ydhY//lysU//ihfA//dpiA//yaeQ//citX//gnd//
FNR-[4Fe-4S]2+ reduced_neg	rpoH//nuoL//murQ//bglB//glpC//fepB//ihfA//casE//tyrB//ada//prpR//feoB//evgS//ydhT//hybO//sufB//trpA//bcsC//citD//pflB//thrV//trg//cheA//hflC//ydhU//ahpC//fadD//tyrR//glpK//manZ//rcnA//paaG//nanS//casE//iscA//cdd//rnhB//malF//iscU//betI//moeA//nrdA//argP//focA//ilvE//lsrF//trpB//aroF//gcvP//ydhU//fepD//hemA//raiA//malY//ilvH//manA//rrsH//ebgA//nrfA//yaeQ//ugpQ//pdhR//citF//dmsD//dps//yqjH//chbR//nikC//yojI//iscA//bamE//caiE//lsrA//fepD//hofM//lsrG//focB//hyfJ//ccmG//argB//srlB//slyB//sbmA//mdtC//srlB//livJ//aroA//torC//acnA//alaV//phnL//ybfN//ubiC//tauC//mipA//moaD//manA//yegR//ppiA//ygiB//uhpB//ilvI//putP//rprA//metL//yciW//fhuD//nupC//argB//dsdX//ispE//lamB//rdoA//yjcH//paaE//fabZ//ssuB//garR//malZ//cysB//
FNR-[4Fe-4S]2+ reduced_pos	argR//gltF//nuoB//katE//cysG//entB//mpl//kbl//hyfB//caiT//puuC//purF//entH//tsx//cysW//ugpQ//uxaA//uof//napC//tyrB//yegZ//ydhV//yfaE//tyrR//citF//rplM//glmY//chbR//betB//paaK//tauA//nuoL//fepC//rhaA//aaeB//hofO//zntA//caiB//caiB//nlpD//ptsH//yeaD//fepB//exuT//srlA//puuP//guaA//zraS//sufD//feoC//emrK//pagP//ackA//grxD//lysP//ascB//hha//argB//psiF//csgE//lhgO//phnH//talA//gspC//nac//dppD//aaeX//nmpC//galS//gapA//bioC//ilvA//rrfA//paaZ//argP//phoP//ychO//hypD//ygiC//cytR//lldD//idnK//ebgA//tsgA//sroD//tnaA//glgS//phoQ//yiaJ//allD//agaV//gltD//fecI//gabT//ahpF//entB//fdnG//yhjA//trpE//moeA//xylB//narG//dadA//cyoA//pck//phnE_1//nikR//dapB//napD//xylA//carA//slyB//nanT//secB//rrlB//dmsA//ilvM//lhgO//mgrB//pgaD//cbl//yaeP//cvpA//pgaC//skp//fecR//lpxB//appB//glpK//tyrA//trxA//cysI//mdtB//hyfG//artP//paaE//nirC//garR//sbcC//speA//rrfG//entC//tdh//pta//aceF//sufE//dmsC//fucK//aroG//hypB//gntU//cydD//nuoC//rrfB//galE//ompX//fecI//pdeF//fldA//glpA//tehA//cra//purC//nikC//glcC//talA//puuD//srlA//nagA//miaA//ebgC//purH//argI//nagA//nuoE//osmY//paaZ//hflD//feaB//glpE//actP//ppdD//argE//puuP//manX//phnD//arcA//glnA//treC//mgrR//tyrB//galK//ilvG_1//ssrS//prfA//puuP//ihfA//rbsK//fur//metN//prpC//mhpC//
FhlA-Formate_pos	cas2//fhuA//rrfD//arcZ//entF//treC//ilvH//ahpC//ydhU//hcp//yeaR//galM//citF//cysD//nlpE//sohB//ydeA//phnC//dpiB//hofP//sohB//mgrB//grcA//adhE//iscA//nac//fadB//folE//fecA//hflC//
FucR-L-fuculose-1-phosphate_pos	iscU//yjjZ//tam//tsgA//betT//bdcA//acnB//
Fur-Fe2+_neg	comR//fnr//alaA//osmY//mgtL//evgS//srlA//appC//adhE//ynfK//sodB//glpR//polA//ybdZ//fepC//ybdZ//rrsG//aidB//rrsE//yhhY//paaJ//hypE//entE//csgD//ychO//hdeD//yfbR//rrfA//fiu//ssuD//yjiY//bcsC//gyrA//rrsE//nanC//ryhB//fimD//tyrR//thrS//appB//frdD//rprA//hisJ//cusB//osmY//malM//fixX//galK//norW//hybF//fadD//lysU//rpsO//appB//gatB//tdcA//gntX//uof//mdtA//serA//rrlH//phnC//dsdA//norR//torA//gatA//cysU//hyfD//fes//betT//caiB//glpE//rof//rhaD//cysH//srlR//cyoB//nrfG//narH//fecD//rseC//exbD//mgtA//prpR//putP//nrfB//tdcG//chbR//moeA//mtr//glcB//norR//fepD//psiE//astA//rseC//dcuA//acrE//phoA//yqaE//glgC//phoE//zntA//metY//norV//tktB//metQ//ppdD//csiD//acrF//hemA//sodB//mutY//hemL//agaV//ftnA//tdcD//ilvI//nanS//pncB//argB//frdD//rrfA//yjeV//
Fur-Fe2+_pos	mgtA//cysG//trpL//aceE//sdhB//paaK//livG//tauC//phnM//exbB//rseB//cusR//marA//rbsA//nikC//speC//oxc//aaeX//rrlD//moaC//fdhF//rpsF//ugpC//cysK//chbR//
Fur-Mn2+_neg	glpF//phnP//phnP//tdcG//dsdA//hypC//ydhT//nrdG//sufC//aceE//rrsE//hybF//hypB//oppF//zwf//betT//psiF//pheS//yneM//cadB//ccmA//treR//cyoA//treC//paaD//fhuA//purL//hyfB//dapB//agp//prpB//glpX//mntP//gspJ//gdhA//paaC//map//narG//gcvP//atoB//rrlG//malP//yrbL//phoR//tpx//priB//hdeB//garP//speA//yhcH//fau//bglB//sbmA//yojI//gpmA//gltU//bamA//modB//aaeA//ydfH//betB//malY//hybE//ryhB//tsgA//nanM//pagP//guaB//paaI//prpC//cyoA//csgF//yeaR//efeU_1//fliZ//araH//hyaF//srlE//cusC//napF//phoE//garR//bioC//entB//torD//moaB//paaB//rpoS//rrfF//metC//rrfH//rmf//sdhA//rybA//idnD//csiD//acrF//murP//frdD//pyrC//hyfH//glnK//abgB//lpxB//rpoS//aroF//yfaE//hyaC//rbsA//dppA//cpxR//argI//glrR//tdcC//ileT//frdA//paaE//ydhY//fhuB//csiD//dnaN//pdhR//puuA//hycB//
Fur-Mn2+_pos	rrlC//mglC//alaS//ykgM//phnI//rrsC//rplV//miaA//fadH//srlD//fepG//csgB//zraS//lysU//rhaA//cadC//rutE//garR//hyfF//mzrA//srlE//hycD//cpxA//rrsE//fadI//
GlcC-Acetate_neg	nirB//
GlcC-Acetate_pos	rpsR//uxuA//rplP//deoB//aroL//speA//
GlcC-Glycolate_neg	dcuB//
GlcC-Glycolate_pos	paaH//malM//yrbL//ung//caiB//hflX//
GlrR-Pasp56_pos	rimM//
IclR-pyruvate_neg	uxaA//manZ//narX//ilvH//
IdnR-5-ketogluconate_neg	znuA//rseA//iraM//
IdnR-5-ketogluconate_pos	aroP//glcG//argT//fes//zinT//
IdnR-Idonate_neg	bioA//glnG//ompT//
IdnR-Idonate_pos	gntX//sucD//gntK//fnrS//melA//
IlvY-2-acetolactate_neg	bioF//
IlvY-2-acetolactate_pos	napF//
IlvY-Alfa-acetohydroxybutirate_neg	mscM//
IlvY-Alfa-acetohydroxybutirate_pos	talA//
IscR-[2Fe-2S]1+_neg	tomB//srlB//uidA//srlD//moaB//fhuC//nrdH//sufC//galM//ulaA//glgX//paaD//phoP//rrlB//rplC//lysP//fucU//hpt//gntT//glgS//rpoH//aspC//acnA//sufC//paaH//osmY//metA//uraA//nupC//rhaR//
IscR-[2Fe-2S]1+_pos	argC//tyrA//phnP//gcvT//treR//srlB//purK//yfdX//gspH//tdcF//codA//
LldR-L-lactate_neg	nrdA//hyfB//mglB//
LldR-L-lactate_pos	tonB//rpsP//nrdF//
Lrp-Leucine_neg	rpoS//rrsD//fadH//uxuB//yeiB//tcyJ//uidA//glcA//garK//glcG//glgS//mhpC//cysP//ybdZ//sohB//tktB//lysP//purB//hyfH//rbsD//rpsI//ydiU//araG//glcA//rpsQ//artQ//ccmD//mipA//cysU//fldA//sohB//ileV//acrA//rhaB//pitB//acrA//purH//araD//pstB//cysH//rbsK//moaD//hemA//allE//spy//cvpA//hybA//tdh//fadH//gatY//ppiD//yaiW//metL//rprA//frc//ybdZ//ivbL//entC//hyfD//ampE//tar//ahpF//tdcD//narI//pck//bcsB//xylB//fixX//glrR//phoP//nikE//hycF//nuoM//sucD//pgaD//
Lrp-Leucine_pos	ulaE//modC//cyoD//pdhR//rpsR//csgA//lldD//amn//ssuC//lsrA//slyB//aceF//fur//gnd//gcvH//csgB//pheS//envY//norW//cheA//ndh//gutM//eda//oppC//ugpE//nuoB//fis//idnR//ompT//adhE//fecC//trmD//yhcH//hycB//yhfA//
LsrR_neg	xylG//fnrS//artM//lysA//hofB//ompA//mipA//csgG//lsrF//
MalT-ADP-Maltotriose_pos	patZ//appY//ompR//aspA//yaiW//nrdF//rpoE//deoC//gntR//cysG//
MalT-Maltotriose-ATP_pos	slyB//metN//argI//glpK//oppC//cydB//csgF//rnlA//narQ//cpdB//
MelR-Melibiose_neg	rrfG//gcd//hyfA//
MelR-Melibiose_pos	yeaR//glgX//rrlH//
MetJ-S-adenosylmethionine_neg	gatA//hha//yojI//ilvG_1//yebE//nuoM//galT//uxuR//yhfA//dppC//miaA//nikE//caiC//grxD//ulaB//
MetR-L-homocysteine_neg	fadD//appB//
MetR-L-homocysteine_pos	nuoC//argI//ynfF//citF//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	gspH//folA//crl//fimH//iscS//dnaE//
MhpR-3HPP_pos	cadC//narQ//gcvT//glpB//codB//abgB//
MntR-Cd2+_neg	cusB//tyrB//borD//gcd//
MntR-Cd2+_pos	hyfH//
ModE-MoO42-_neg	feoB//rrfH//phoR//cusA//dppD//glnA//gutM//phnJ//bcsZ//dapD//lsrG//acrD//hmp//rimM//trg//
ModE-MoO42-_pos	hycG//thrV//feaB//yojI//infB//comR//modC//nrfE//yaiA//deoB//sucC//rseA//phnE_1//bglB//ynfH//nupC//hybB//narL//hofB//glcA//ubiC//dcuS//lsrA//ugpQ//lolB//lacI//hycG//yoaG//trpD//phoU//zwf//
NarL-Phosphorylated_neg	cyaR//ada//entS//lrp//acnB//galK//ssuB//cysI//acs//lsrD//yojI//ackA//nac//cysC//rhaR//spy//metL//micF//nikC//ygiA//carA//gspJ//hslJ//nlpE//phoR//rpsO//phoR//phnN//hslJ//sufA//cueO//pyrC//caiC//lsrA//rpoH//fumA//glgX//hybB//ppdD//alaA//ydeP//fecD//hupB//rutE//fnr//entC//hycA//fixB//gspF//cstA//gutQ//trpR//trxA//hyfG//yeaR//casE//dsdX//artM//dusB//gabP//gltA//tnaC//waaH//yqjA//mntP//uvrA//livM//citE//hha//lacA//manY//grcA//alkA//ompT//feaR//truB//csiE//xseA//glcD//gltV//oppA//creB//mgrR//ulaE//ubiG//fecD//
NarL-Phosphorylated_pos	ubiG//phnP//spf//dgcZ//znuB//agp//uxuB//mgrB//fecE//rpoE//ihfA//hyfF//citD//rrsH//hycB//nrdB//glpB//betA//tauB//trpB//fnrS//cdd//tyrP//gntK//ompW//emrY//ycjF//manZ//aldA//treB//gltU//rplB//mdtB//nuoB//ascB//lolB//cysW//rhaT//sdaA//uxaB//gltD//dsdA//ackA//leuE//fadB//rmf//
NarP-Phosphorylated_neg	bglG//dpiA//mutY//tyrP//lpd//dnaA//ycdZ//cspE//ykgR//ydeJ//fumC//prpB//tpx//trpA//motB//bdcA//tsaE//cadC//uhpB//gltF//cadC//slyB//fimF//ybjG//frdB//nrdB//araA//yhjC//carA//folE//frdC//nuoC//ryhB//
NarP-Phosphorylated_pos	nrfC//hyaA//glnB//sdaA//yeaE//patZ//rrlD//abgA//cydA//purF//garR//glgX//ilvG_1//ileT//envZ//fepE//nanA//ahpF//ampE//ynfH//ccmF//ilvN//gcvT//oppA//puuC//torC//ppiA//zinT//efeU_1//yaeQ//focA//ompC//
NhaR-Na+_pos	bhsA//gntP//envY//cyoE//zraS//
NikR-Cd2+_neg	mntS//ilvG_1//hofB//casB//iscR//nmpC//
NikR-Co2+_neg	recF//ebgC//guaB//manA//ssuA//ppiA//
NikR-Cu2+_neg	cysG//ndh//rrsC//prpD//csgA//psiF//
NikR-Ni2+_neg	yfaE//fumB//hflK//nirC//narX//eda//
NikR-Zn2+_neg	gpsA//hyaF//puuD//sbcC//ygiC//gabP//
NrdR-ATP_neg	hofB//rplI//gabP//purD//mutY//zwf//caiB//secB//motB//
NrdR-Zn2+_neg	rrfD//yeaD//idnO//yoaC//trpB//rrfB//sufA//hypB//cas2//
NrdR-dATP_neg	modA//lpxB//ftnA//aaeX//cheB//trpA//gatZ//rdoA//nikR//
NsrR-[2Fe-2S]reduced_neg	ubiG//yeiL//cusA//baeS//araF//hflC//lsrC//mhpB//glnA//metJ//gpsA//rstA//rrsA//uxuB//infB//atoD//serA//narX//purL//astA//cyoC//nrdA//ppiA//codA//fdnI//ygaC//sroD//cysD//marA//nirC//glpF//nrdA//ilvG_2//rhaT//hycD//hupA//cynX//manZ//aceF//rplB//hofP//ulaF//tnaA//ftnA//rrfA//ycdZ//cusA//ydeO//creA//mntS//hflC//rpoE//ccmG//betI//osmY//argA//nuoA//azuC//hflX//talA//rbsA//araF//narH//ileU//crp//lpd//phnI//uxaA//ygeH//pdeF//rutD//mepH//trpE//
PhoB-Phosphorylated_neg	purM//abgB//fepC//narH//yjcH//fnrS//baeR//lysC//dgcZ//torD//glcG//cra//fumB//
PhoB-Phosphorylated_pos	rpsF//dadX//citG//argH//rbsA//rrfE//crl//glpF//entD//metB//nrfD//fimH//ycjX//gspC//ldtB//comR//aaeA//nuoA//chbF//ynfH//rseC//uidA//cspE//frdB//purL//metH//galE//yjcH//uidB//moaA//argB//ygaC//aroA//rhaT//rpsO//metC//ydfH//trg//nagC//hisJ//hisJ//mzrA//nirC//fadA//nrdB//cheZ//rdoA//aceA//yegR//nikR//rimP//csgD//metF//
PhoP-Phosphorylated_neg	ykgO//frdA//chiP//ilvG_2//adiC//gspL//malS//rrfF//garK//metC//cheY//
PhoP-Phosphorylated_pos	amtB//cusA//pitA//citC//metQ//speA//glnK//alaV//fabZ//glpC//hyfA//rhaA//yccA//nmpC//micF//nuoM//folA//frc//moaC//agaA//mtlD//cpxR//fdnH//gltT//aldB//leuE//hyaE//hfq//phnF//gspI//betI//idnT//frdB//hypF//yneM//casD//cusA//ldtC//bhsA//dcuA//ftnB//cysI//fbaA//rpsQ//glgX//atoD//exbD//ubiG//nikE//
PrpR-2-methylcitrate_neg	gntT//
PrpR-2-methylcitrate_pos	gatY//torR//fucR//betI//
PurR-Guanine_neg	yecR//moaE//cyoE//hyaE//tsr//ivbL//tyrB//ulaA//amn//purC//prpC//ilvC//ilvH//allC//folA//actP//purN//phoH//rutA//pncB//tonB//fucO//hypC//rpsF//purE//sucA//rrlE//yqjH//sroD//fucA//gntR//pgpC//yccA//mepH//
PurR-Hypoxanthine_neg	fimD//ssuC//casB//araB//baeR//ccmH//pepT//ydiU//phnH//fau//bioC//gspD//xapB//idnD//yfiP//ssuC//talA//entS//napF//yrbL//hycD//adiC//rrsC//frdA//rseA//ytfE//cynS//sohB//ssuA//glmY//glpB//chiP//fhuD//deoB//
QseB-Phosphorylated_pos	fucI//tdcF//uvrA//hyfH//
RhaR-L-rhamnose_pos	acnB//fnrS//
RhaS-L-rhamnose_pos	iraD//fdhF//rhaS//
RstA-Phosphorylated_neg	fimC//fdnH//nrfA//ybdN//ydhT//
RstA-Phosphorylated_pos	ydhU//aspA//patZ//gltD//purM//
SoxR-[2Fe-2S]3+ oxydized_neg	entB//
SoxR-[2Fe-2S]3+ oxydized_pos	mhpF//serA//alaA//
TorR-Phosphorylated_neg	dsbA//
TorR-Phosphorylated_pos	stpA//uxuR//ldtC//narX//hyfR//ftnB//appC//leuE//uidB//
TrpR-Tryptophan_neg	sufS//aaeA//aceK//asr//cynR//ulaD//acnA//cynS//fepD//fliZ//nuoE//infB//
TyrR-L-tryptophan_neg	asr//hybE//nrfF//emrY//yqjI//gntU//allC//ompW//degP//ubiA//mcaS//hcp//
TyrR-L-tryptophan_pos	caiE//tyrR//gcd//
TyrR-Phenylalanine_neg	gabD//hemL//fhlA//tfaQ//nmpC//chbG//araE//ugpA//hofP//cysC//lsrK//bamE//
TyrR-Phenylalanine_pos	fnrS//aroP//ydhU//
TyrR-Tyrosine_neg	yqjI//ascB//uxaC//nlpE//ilvC//cheW//yhjA//hypD//cheR//rrlB//zraS//lacA//
TyrR-Tyrosine_pos	dppA//lsrK//mntS//
UhpA-Phosphorylated_pos	galP//
XapR-xanthosine_pos	sodA//folA//
XylR-Xylose_pos	tdcC//fhuF//cdd//amn//malT//gntP//
ZntR-Cd2+_pos	ydeP//
ZntR-Hg_pos	cysB//
ZntR-Zn2+_pos	tdcG//
ZraR-Phosphorylated_pos	betT//ogt//agp//
Zur-Zn2+_neg	evgS//manZ//hycF//phoH//thrS//yrbL//
