#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	mtlA//rpsO//
CRP-cAMP_neg	moaC//rrsD//ytfE//gltW//rpmC//gatZ//ssuB//mscM//nrfD//hemA//nohA//ygeH//mhpT//trpE//fepE//ychO//ygaC//crr//citD//mzrA//metN//hdeD//feaR//cspE//ybjG//nikC//malG//nanE//hybB//ybiT//bacA//narI//cysJ//rhaA//rimM//yjeV//araD//mdtB//gspO//purR//chbB//asr//yeaE//yeiP//purA//gltU//hyfE//mzrA//glrR//csgB//fliA//frdB//fumC//aldB//hybB//gltT//gatA//phoQ//pgaD//nrfA//paaA//rrsA//rrlH//nanT//pitA//yqjH//hyaD//glgB//gntT//xdhA//ulaB//tdcB//hisQ//oxc//norR//modB//dcuR//ldtC//prpD//rhaR//ccmG//priB//glgP//chbC//fimE//acnA//malY//hisQ//uxaA//metQ//hha//citC//ykgM//astA//hyfG//narH//efeU_1//ycdZ//argH//galM//feaR//metB//ldtC//mutL//paaG//nikB//betA//pgaD//ileT//casB//uhpB//puuR//exbD//ccmF//pdhR//safA//nusA//yjeF//fbaA//napG//ilvI//tauB//hyfJ//cydA//fucA//dmsD//epd//fimC//tolC//entC//paaJ//paaI//feaB//
CRP-cAMP_pos	rhaD//hyaA//glnA//ompX//bcsB//phoP//phoH//sxy//alaS//cstA//agaV//cusF//idnK//deoA//hdeA//ydeA//fhuD//feaR//rbsA//ygbA//nuoE//fixX//fnrS//yfbR//aceF//argB//lsrK//gspG//fimG//yhjC//flhD//upp//fau//argE//arcZ//narQ//tsr//rpsF//ydhY//bioC//aceA//ugpQ//envZ//xylB//chiP//tdcG//yqjI//fepD//galM//adiC//gntR//talA//aldA//rrfH//galE//ompT//entA//dnaN//lysU//aroG//bglB//ygiA//treC//edd//yjjZ//cyoA//hybO//ompR//ilvX//gspJ//cbl//baeR//yqjI//ulaA//uxuB//yhcH//yrbL//atoE//nirC//pstB//rpoH//ldtC//metR//gntP//malP//yeaR//ompF//narL//chbF//moaC//fixC//purA//mhpD//cusR//aldB//nuoL//cysJ//alaV//yfeW//fucR//micF//xapA//aroM//efeU_1//sohB//tadA//tnaB//fepD//alkB//metI//dcuR//katG//phoP//fimD//aroF//tehB//sdhC//aceF//lacA//ubiA//narJ//xylG//manZ//citD//yaiW//cynT//ung//aceA//azuC//nuoH//yjcH//glgA//deoC//melB//tonB//paaE//citG//oppC//pstS//ilvL//rpsR//iclR//citD//mdtB//tyrB//uhpC//ydhW//speB//argC//napB//cdd//dmsC//ydeJ//glcC//ygiC//creC//yegZ//glgB//thrS//gntK//cheZ//caiA//prmC//hybD//cpxR//glcB//fldA//fdhF//gntR//nirB//ptsG//pgaD//ilvI//lolB//argD//yfdV//modC//ileV//acrA//trpL//purC//ybfN//cusB//ilvL//psiE//astC//glpK//artJ//fucU//truB//betI//rutB//hemL//fecD//fadA//znuA//phoA//gntK//yeiL//mipA//mdh//micF//cheB//appY//artI//grxD//nrfC//ygeA//rpsF//nikA//ompW//marA//glcD//fumC//yciW//xylG//ccmF//pdhR//tsgA//moaB//hofM//betA//lsrD//csgA//gltW//xylA//yjeF//phoP//tcyJ//hflX//rrlG//cyoB//galS//sucC//proP//fepD//mglC//hpt//mipA//ompF//frdC//ychH//kbaZ//glgA//cra//hypD//trpE//glpE//galE//prpR//zraR//rplD//pepT//nuoJ//paaJ//pheM//chbG//hycD//ilvG_2//hycA//glcC//garR//lolB//rrsA//moeB//hyfB//pheT//gapA//trpE//gdhA//nikE//rrlC//rpsO//araC//murQ//mdh//mdh//ugpB//skp//mcaS//dcuD//srlA//evgA//atoE//emrY//rnlA//frc//lacY//phnJ//ileU//tdh//hyfC//feoA//motA//tsaE//caiB//phnC//ybiT//tar//fecC//entE//purK//hycI//phnJ//argA//xdhA//prpC//chbA//creC//iscS//hydN//gatD//cydD//pdhR//exbB//appB//yeiB//pflB//napH//acrB//fixB//araG//fimA//dppC//gutQ//fucU//hflD//ulaC//ampE//hyfG//yfdX//betB//acrD//guaB//rrsG//nrfA//gspO//ynfK//moeB//ssuE//tauD//pncB//iscU//cyoE//gltD//phnF//mcaS//gatC//fhuF//ivbL//nadC//ychO//trpL//fadH//yibN//fes//narK//cysK//phoE//zraR//tap//fimA//baeS//hycF//tdh//dnaE//uxuB//moeB//serC//pagP//yfdX//rrsG//rseC//pdhR//ackA//mltC//idnT//pgk//tadA//dmsB//fucR//bhsA//hofC//yjjZ//evgA//rcnB//yeiP//chbG//gcd//idnD//xapB//yqaE//katG//atoA//hyaB//ptsI//gcvH//fimA//ydeP//yfbR//cysJ//acrF//mhpB//ompX//ileT//tdcD//agaV//arfB//cheB//acrA//hycF//mhpA//bcsC//hmp//puuE//nmpC//cusB//nanK//aspA//rdoA//hypA//chbG//fepD//cadB//nfuA//uxuA//hycC//gnd//cysM//
ChbR-Monoacetylchitobiose-6P_neg	dusB//envY//chbB//oxyR//kbl//tdcA//
ChbR-Monoacetylchitobiose-6P_pos	phnH//rpsQ//rplM//cusF//acnB//hcr//
CpxR-Phosphorylated_neg	moeA//arcA//phoH//leuE//zinT//malQ//ubiC//nirC//rstA//rpsO//yqjI//glcG//prpR//fbaA//rnlB//cheZ//csgF//trpB//sdaA//mhpD//sdhB//lacA//rstB//fucU//
CpxR-Phosphorylated_pos	mtlD//frdC//glcC//mltC//appY//gltV//metF//phoU//appY//hyfE//torC//rutA//hypF//dpiB//glpF//exbB//safA//mgtL//acnB//dps//paaC//tsgA//rpsP//mipA//tsaE//paaA//manY//hyaC//melB//dmsD//ahpF//phnI//cynX//prpD//hydN//uidC//lacY//comR//xylB//mutL//ebgA//tam//hycE//cysH//glyA//
CreB-Phosphorylated_neg	ychH//motA//glgB//
CreB-Phosphorylated_pos	torA//araD//pitA//mcaS//tauC//hyfI//
CueR-Ag_neg	trpC//paaH//aspA//cusR//fixX//
CueR-Ag_pos	rrlH//dsdC//
CueR-Cu+_neg	rrfC//puuB//gltU//aroA//sufD//
CueR-Cu+_pos	sdhC//grxC//
CuerR-Au_neg	rnhB//ilvD//truB//tdcA//xylB//
CuerR-Au_pos	garR//phnE_2//
CusR-Pasp_pos	fucA//ileT//yciW//exuT//rcnB//trg//evgS//hycA//hypE//hyfE//sufD//cydC//
CynR-Cyanate_neg	ynfE//
CynR-Cyanate_pos	bcsC//puuE//astA//
CysB-N-acetyl-L-serine_neg	trpL//bamA//dppC//paaK//deoC//ubiC//nikC//
CysB-N-acetyl-L-serine_pos	hybC//alkB//rhaR//rhaR//oppA//rutA//entF//fis//narQ//cusC//slt//hyfJ//dsdA//cydD//hybA//nuoM//rrfC//yebE//garP//cydA//dcuD//waaH//astE//
CysB-O-acetyl-L-serine_neg	ugpQ//glnA//glgC//ugpE//caiA//rpoE//argD//
CysB-O-acetyl-L-serine_pos	puuP//casB//deoD//ydhT//yfdX//safA//ydeA//phnF//galM//glgS//icd//sucC//pitB//grxC//ynfF//galS//exbD//paaK//ivbL//bcsC//gadC//oppA//nohA//rpsJ//
DcuR-Phosphorylated_pos	crr//cusA//ydfH//hisM//hflC//tadA//rybA//aroH//idnT//
DnaA-ATP_neg	glnK//dsdX//ssrS//acrA//betT//ileT//chbG//ilvX//gspD//araC//rybA//
DnaA-ATP_pos	ptsH//ndh//comR//oppB//nusA//cynR//argH//
DpiA-Pasp_neg	fucU//
DpiA-Pasp_pos	bhsA//focB//hybG//rbsK//cheW//dps//astA//betB//hofN//galE//
DsdC-D-serine_neg	moeB//
DsdC-D-serine_pos	fhuD//oppF//
EvgA-Phosphorylated_pos	galK//dppA//cirA//fepB//emrK//moaC//dsdC//tdh//tadA//csgF//rutE//xdhC//puuR//gltV//ilvC//
FNR-[4Fe-4S]2+ reduced_neg	mepH//sbcD//fimA//dnaE//glgP//dppB//hlyE//ydfH//rpsF//melA//ilvD//malZ//sxy//oppC//moeB//fimI//ascF//puuD//ykgO//yneM//oxyR//aceE//fadD//cysD//ychH//recF//nrdD//yfaE//tdcB//cydC//iscA//sufC//fhuE//yfeW//narL//glnK//hycI//ynfF//yggX//rplI//tam//aer//cspE//cysG//rbsD//gspL//xdhC//rhaR//csgF//pyrC//rrsB//napC//secB//rnlA//dppD//cra//deoD//ompA//pgaC//phnC//yfaE//mdtB//mtlR//ompT//mdh//napD//bamA//alkB//gltB//ihfA//astC//gspF//rmf//mhpB//araB//atoA//livH//glpF//znuB//feaB//ptsI//rcnA//bioC//znuB//gyrA//phnJ//grpE//nanT//psiF//glgP//ilvB//hycH//acrD//yciW//dppC//tnaA//artQ//dadX//cyoD//rutG//rplW//uidA//cueO//argG//nupC//hycH//ydbD//murP//napG//csgC//moeA//argE//gltV//yneM//trpD//napG//rrsC//nuoG//dusB//malE//
FNR-[4Fe-4S]2+ reduced_pos	hybF//aceE//ssb//lacA//lacZ//rplI//puuA//galK//ydeN//rplB//manZ//iscS//nrdE//cusA//rpsO//yjjZ//argB//nrfC//glgS//treB//fucR//ftnA//baeR//purD//casA//serA//paaJ//napG//tyrR//pflB//glgP//cydB//aspA//agaW//purA//fecR//glcD//sucC//mgrB//nikR//ydiU//tnaC//deoD//rhaT//fiu//ssuC//epd//bcsC//napD//lysP//rdoA//arfB//malG//malY//glpE//gltA//tdcF//nanA//narG//yjiY//gyrA//fadE//dcuA//nikC//tdcE//dppC//ampE//yjiY//bioA//hypA//purK//argE//yggX//manA//fimE//galS//nanM//allE//fucO//epd//puuA//trpD//gltU//psiF//citX//ppiA//yiaJ//fucR//ilvG_2//pstB//rutF//rbsD//glgS//xylB//yhcH//pstA//citF//tolC//ccmA//rmf//yfiP//cyaR//hyfJ//fecE//rpsJ//appC//puuE//acrF//ynfF//mhpT//cyaA//moaC//xapA//exbD//abgT//mglA//cirA//malP//phnH//gspC//pyrC//cas2//rplM//atoA//argE//trxA//gspF//glpR//fucU//metI//hflK//phnK//psd//emrK//malQ//mutL//galE//sufD//ompA//emrY//azuC//fhuE//araG//cusR//tsx//aceA//citD//crl//serA//rbsB//aidB//nagE//livG//yfeW//gntX//artQ//phoE//rrlD//cynR//alaU//nrdE//rplM//sucD//appY//rplS//fldA//rpsI//pstS//rpsQ//paaK//ydfH//uhpB//aer//dcuR//nrdD//alkA//fadD//oppD//hypE//fixC//tauC//glgA//hybD//qseC//yeaE//hfq//lsrC//cysH//iraD//glgA//glpD//gdhA//tnaB//pheM//glgA//glpR//gcvP//aer//mglC//malG//gltW//gabT//
FhlA-Formate_pos	srlA//mgtA//phnM//mgrR//katE//casC//prpD//yegH//rhaA//rpoE//ybfN//aaeR//cirA//astC//psd//yfdV//murQ//talA//paaD//iscU//hemL//preT//yjeV//nusA//gspM//focB//mtlR//phnE_2//tpx//rstB//
FucR-L-fuculose-1-phosphate_pos	cpxA//csgG//glgX//tdcC//murQ//gabT//gspM//
Fur-Fe2+_neg	ugpC//chiP//hypD//uhpC//xapA//tap//hycA//citC//edd//aldB//oppD//artQ//zraR//cysH//cyoC//idnT//ackA//araB//hycG//rutG//xylF//rrlB//hycF//yaiW//arcZ//folA//ynfK//trpE//trxA//mdh//hyfE//appB//yegH//yedX//upp//hycA//argR//gatD//cysU//nikC//ihfA//hpt//lysP//pgpC//sucB//dnaA//marR//zraR//phnN//guaA//osmY//nrdD//oppD//mhpT//acrA//rutC//hybD//carA//eda//pgaA//phnD//marR//cas1//bamA//bamE//dkgB//rrfG//bamE//lysO//yaeQ//ybfN//uxaA//dppB//gcvT//fliZ//metN//sufE//glrR//pta//ygiB//znuB//marA//nuoJ//crr//ulaC//cirA//speC//cra//trpA//glpK//metJ//ilvI//infB//yggX//ompW//trpL//ydhX//entS//fucK//stpA//ccmE//uof//ydeN//gspD//grxC//galS//rybB//cadA//purK//cysJ//gspE//caiF//paaF//yedX//fepG//garL//gspI//rplC//hofP//hisJ//feaR//yibN//bglG//guaB//
Fur-Fe2+_pos	nikB//moaB//secB//rcnA//rrfF//hcr//gabD//uof//borD//fecD//cysK//ynfH//rseA//rplM//pgaD//hha//rpoE//serC//paaI//bioC//tyrP//glgP//bglB//ompW//ydbD//
Fur-Mn2+_neg	gspI//ynfK//narG//purB//phoR//nuoJ//fucR//qseB//ptsG//grcA//norW//malG//citE//mtlR//uof//exbD//atoA//glnL//ulaF//dnaE//atoE//nrfB//aaeR//fhuD//citG//fixC//nuoM//udp//cysI//evgS//purA//appX//torR//cpdB//sohB//trg//ygiC//hybO//upp//ygeH//rstB//fdhF//ccmE//malG//sbcC//hyfR//nanA//dapD//mutL//ybdZ//mtlD//pstA//edd//yegR//metN//hisP//kbaZ//baeR//fhuF//fadJ//speA//moaE//ulaE//nuoI//envZ//hemA//glnB//csiD//metB//ccmB//mepH//feoB//metC//nrfB//glpX//cynX//ychO//torD//exbB//hybO//mgtA//iscA//citE//mdtD//rutG//yciW//rplW//rrsA//sodB//yfdV//yrbL//ompA//fadL//preT//fucP//lysU//ebgA//pepT//sodB//ygeH//torR//crl//gntX//ssuD//aceE//glnG//pstA//icd//nrfA//amtB//caiD//hdeA//livK//napG//phoQ//prs//casC//prpE//cysB//glnB//ydbD//ugpE//iraM//fumC//
Fur-Mn2+_pos	cysG//rpmI//rrfF//ydbD//glgA//cynR//yjeF//codB//trpA//aaeB//cyoB//fimH//phoU//ytfE//dsdX//fdnH//actP//fhuD//dkgB//lsrG//yfdE//uidB//paaB//purF//yegZ//
GlcC-Acetate_neg	hyfJ//
GlcC-Acetate_pos	gspM//ugpE//dcuC//asr//trpC//glgP//
GlcC-Glycolate_neg	ubiX//
GlcC-Glycolate_pos	nrdE//malZ//rnlA//umpH//yeaR//gntT//
GlrR-Pasp56_pos	cadC//
IclR-pyruvate_neg	argB//kbl//grcA//yjcH//
IdnR-5-ketogluconate_neg	pgk//cadC//glpR//
IdnR-5-ketogluconate_pos	sdhA//phoR//efeU_2//astD//norR//
IdnR-Idonate_neg	agaA//hycA//ilvD//
IdnR-Idonate_pos	deoA//purR//erpA//yfbR//cstA//
IlvY-2-acetolactate_neg	livJ//
IlvY-2-acetolactate_pos	acrD//
IlvY-Alfa-acetohydroxybutirate_neg	ulaC//
IlvY-Alfa-acetohydroxybutirate_pos	argR//
IscR-[2Fe-2S]1+_neg	rrfG//acnB//dsbA//hycH//gadC//sbcD//pstB//pck//ilvD//creC//ubiC//metQ//tdcB//feoB//malI//glpE//araH//fadJ//motA//manZ//dgcZ//amtB//marA//napF//phoR//ebgA//ansB//allD//glcC//fdnI//
IscR-[2Fe-2S]1+_pos	fadE//sufD//rseC//casE//acrD//glcF//acrF//cheA//ulaC//dpiB//cytR//
LldR-L-lactate_neg	pnp//puuA//acrF//
LldR-L-lactate_pos	arfB//hofN//guaB//
Lrp-Leucine_neg	cyoB//cusR//gltF//lamB//hfq//garL//sroD//dpiB//umpH//nirD//pgk//hyaD//sbmA//trpE//edd//hpt//glyA//cysA//iscR//bdcA//betI//alkB//phnP//ilvI//acrE//asr//hofM//yecR//hupB//aroF//soxR//grcA//qseB//phnJ//chbB//prpB//aaeX//umpH//ytfE//hupB//narK//fucR//metQ//allE//ygiB//nrfD//ydeJ//argH//znuC//ftnA//patZ//citD//fucA//hyfG//rpsI//mgtL//lsrK//napH//guaB//puuD//moeB//cspD//gltW//ahpC//ydfN//speA//exuT//fhuE//malQ//lldR//ydiU//cheZ//recF//fnrS//raiA//
Lrp-Leucine_pos	appY//cydA//ilvC//codA//caiC//putP//pyrD//mntP//ulaD//frdC//hupA//phoP//osmC//dmsA//gatZ//ssuE//cydB//ydeO//mepH//araE//gntK//ydiU//dcuD//uidA//ldtC//grxC//sxy//waaH//gntK//uxaB//fhuA//nupC//pitA//rcnB//entS//
LsrR_neg	mhpR//sucB//waaH//nikC//ptsG//aspC//yhcH//phnI//manA//
MalT-ADP-Maltotriose_pos	ilvL//gatA//argH//cspD//ccmC//uxaC//hyfH//mgrB//torC//glcD//
MalT-Maltotriose-ATP_pos	narJ//caiC//cirA//trpD//grcA//pdhR//yaeP//fumC//hybE//rplT//
MelR-Melibiose_neg	hycH//mgtA//cas1//
MelR-Melibiose_pos	uvrA//hofM//uxaC//
MetJ-S-adenosylmethionine_neg	raiA//exbB//xylH//ptsG//phnM//xylF//tauD//caiB//tsgA//xylR//allE//glgX//rutC//ubiX//frdC//
MetR-L-homocysteine_neg	lysC//phnO//
MetR-L-homocysteine_pos	narK//rutC//soxS//hfq//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	napA//rrlA//argO//rrlC//lamB//lysC//
MhpR-3HPP_pos	tdcB//hcr//marB//ivbL//astE//oxc//
MntR-Cd2+_neg	cpdB//cra//tsx//murP//
MntR-Cd2+_pos	ycdZ//
ModE-MoO42-_neg	ssuB//ssuC//bglF//rhaR//gabP//bioB//hha//aldA//skp//mhpD//nirB//rrfD//glpR//glpG//hflX//
ModE-MoO42-_pos	glnB//guaB//ccmH//rrlE//pgaC//ychH//hyfG//phnM//phoB//rpsJ//efeU_1//yedX//ahpF//nikE//uidA//astC//rrfG//argA//gpsA//rpsJ//srlR//yneM//yaiA//xdhA//psd//napH//rrlE//amn//pheS//malG//trpL//
NarL-Phosphorylated_neg	hisM//atoE//rprA//aceB//ileU//dsdX//crr//mdtC//abgB//deoD//ydhV//yegR//ydiU//garK//cusF//ispE//lsrR//ssb//hofM//phnC//puuB//nusA//ada//hybA//gspE//ampD//yeiL//ryhB//ampE//csgC//glpK//iscS//qseC//csiE//malF//nikD//sroD//hupB//gntP//cheB//hofP//hyaF//glpF//rrfD//sucC//dusB//dcuS//atoE//argC//pgaD//hybC//purM//glcG//metL//oxc//metQ//artJ//nrdH//nac//nrfE//zraP//ilvC//mdtB//oppB//astC//yeiP//cydC//lysC//napA//nuoM//srlA//sroD//nuoH//nrdD//exbB//cas1//narX//ydiU//narG//citE//gutM//lysO//betA//ybiT//ulaA//hyfR//
NarL-Phosphorylated_pos	malI//ydeO//infB//ccmD//agaW//ydhU//arcA//uvrA//lpd//hypE//hupA//marR//lldR//lsrF//hybD//araG//ynfF//citE//xylR//rrfA//hha//fecE//paaE//bglG//mntS//mdtA//hdeB//nikA//rutE//dmsC//mhpB//rplS//ybdN//mdh//hyaC//bamA//dpiA//katE//creB//dcuS//nanT//rcnA//gatD//cynX//mipA//hyfI//
NarP-Phosphorylated_neg	xseA//galK//rplV//pgk//fbaA//rutB//nmpC//argE//ydhU//mntP//pta//puuC//hflD//purF//sbmC//chiP//cheA//lacA//sbmC//cheW//ydbD//hyfD//narH//betI//dusB//fhlA//prpC//flhD//entA//ldtC//ryhB//rpsR//fur//
NarP-Phosphorylated_pos	gntU//modA//rpsJ//tehA//phnI//fliA//livF//glgA//sdhC//acrA//sufE//ydhX//aroA//argP//glrR//rpmI//gspL//umpH//dppB//hyfR//phnE_1//pstC//chbF//nohA//cyaA//phoR//gltA//yoaC//abgA//narK//rcnB//hypA//
NhaR-Na+_pos	rbsB//fau//fepC//gcvT//cspD//
NikR-Cd2+_neg	narX//paaG//caiD//ykgM//ilvM//pitB//
NikR-Co2+_neg	mzrA//sufS//sucC//entF//ilvX//sbmC//
NikR-Cu2+_neg	fabZ//yhjA//gntX//mhpF//aroF//ompX//
NikR-Ni2+_neg	ahpF//argE//rutE//mglC//ydeO//nrdA//
NikR-Zn2+_neg	lsrB//lacY//trpC//nuoA//ldtB//mepH//
NrdR-ATP_neg	ydeN//cysD//fecR//araE//acs//aldA//serC//nrdH//glpC//
NrdR-Zn2+_neg	cysW//malX//serA//puuA//ynfK//napA//dkgB//acrD//aceE//
NrdR-dATP_neg	rrsH//zwf//nikR//bamA//hflK//yggX//katE//nuoH//nfuA//
NsrR-[2Fe-2S]reduced_neg	hyaB//yhiD//mtlA//aidB//fepB//rbsK//feaB//cusC//rhaS//ydeP//yneM//ytfE//rplB//oppB//hofN//metH//gltU//rrsA//fis//ptsH//sbcD//gltT//gltW//malZ//ileV//fumC//lpxA//hybE//cadC//citX//marR//sohB//aroF//fhuC//rseC//narI//rnlB//fepB//rplC//entH//garL//folA//trpA//nirB//rplD//ydhV//fecD//fadB//creB//ydfN//ompT//nrfF//yoaC//ebgC//ydeO//mglA//exbD//ileT//malQ//murP//rutC//treB//creA//paaZ//ilvB//rnlB//lhgO//dcuS//rmf//nrdI//rrfF//miaA//glpB//
PhoB-Phosphorylated_neg	ilvG_1//cusA//ydeN//prmC//ahpC//trxA//cysD//tyrP//lacA//puuD//yneM//tcyJ//atoD//
PhoB-Phosphorylated_pos	gltT//dsdC//ilvL//edd//uxaC//yegH//envZ//cysK//lysA//galM//priB//hyfB//mtlA//yjiY//oxc//hypB//gspJ//hyaA//entC//feaR//sbmA//lsrB//hofB//rstB//exbB//mutL//nac//ynfG//mgtA//ftnB//xylR//entF//miaA//pdhR//idnD//rimM//yhfA//nlpE//garR//fucI//sufD//hdeA//ogt//uxaC//nrdD//srlE//sbmA//lldR//csgE//glcA//metF//trpA//glpB//
PhoP-Phosphorylated_neg	hyaF//bcsB//cynX//nirD//deoC//appX//pncB//ackA//nanE//marR//phnP//
PhoP-Phosphorylated_pos	fucA//rutF//garR//uvrA//paaE//nmpC//fucI//entD//cheB//napH//amn//mlc//gspF//rpoH//tdcA//hfq//lacI//xapA//hflX//tpx//pstB//hyfG//zinT//fucO//hisQ//aceK//alaV//gutM//nrfA//qseB//fhuF//fepA//rpsC//chbG//mhpR//hlyE//leuE//feaB//lysP//acs//dppA//ydeO//rpsP//fumB//mhpC//fau//entB//lldD//aaeB//
PrpR-2-methylcitrate_neg	prfA//
PrpR-2-methylcitrate_pos	rplM//purC//hycB//yaeQ//
PurR-Guanine_neg	dusB//nikA//oppF//gltB//hyaC//mtlR//upp//thrV//ispE//alaT//ada//nuoH//agp//livG//sbmC//artJ//lysU//mdtB//ydbD//serA//nanC//cheY//hcr//entB//yaiW//ygiB//ldtB//nohA//idnK//cusA//umpH//csiD//metH//idnK//
PurR-Hypoxanthine_neg	nanA//araB//rrfB//mtlR//speC//cpxA//yeiP//gntR//glyA//puuB//glcG//glnB//rrlB//gspG//lsrG//hypF//ccmG//fliZ//phnF//agaV//rrsA//phnP//napG//lacI//phoA//treB//rnlA//nohA//torA//narQ//pgaD//phoE//ccmF//glpC//
QseB-Phosphorylated_pos	aceB//ryhB//creB//glpT//
RhaR-L-rhamnose_pos	copA//gcvH//
RhaS-L-rhamnose_pos	phoH//fiu//ssuA//
RstA-Phosphorylated_neg	fdnI//dcuC//ycjF//nrdE//cusA//
RstA-Phosphorylated_pos	sucC//moaC//marB//appX//rnpB//
SoxR-[2Fe-2S]3+ oxydized_neg	rybA//
SoxR-[2Fe-2S]3+ oxydized_pos	galM//xdhC//gcd//
TorR-Phosphorylated_neg	hcp//
TorR-Phosphorylated_pos	ygaC//ogt//cynS//lpxD//lysO//nrfG//melB//tdcD//yegR//
TrpR-Tryptophan_neg	napA//alkB//katG//spy//allD//hyaA//rseC//preT//gatA//ulaC//abgB//phnM//
TyrR-L-tryptophan_neg	marA//rhaR//yaeQ//acrA//galE//paaB//nrdG//ycdZ//rmf//evgS//lysU//ihfA//
TyrR-L-tryptophan_pos	hofO//ldtC//ycjX//
TyrR-Phenylalanine_neg	gcvT//atoA//gntR//ssuC//hypC//ilvY//pgk//pstB//fumC//purD//livK//dnaA//
TyrR-Phenylalanine_pos	pck//artP//glnL//
TyrR-Tyrosine_neg	hdeB//rhaS//cydA//xapA//hybB//abgB//copA//phoP//rbfA//ykgM//tnaB//glnL//
TyrR-Tyrosine_pos	spf//yoaG//gntR//
UhpA-Phosphorylated_pos	crp//
XapR-xanthosine_pos	ybdZ//mdtD//
XylR-Xylose_pos	betI//rbsC//allD//nrdI//argC//leuE//
ZntR-Cd2+_pos	zraR//
ZntR-Hg_pos	rrsG//
ZntR-Zn2+_pos	hflX//
ZraR-Phosphorylated_pos	cadB//ygeA//fimG//
Zur-Zn2+_neg	bioF//bcsB//chbG//speB//bioD//tonB//
