#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	rstA//fadJ//
CysB-N-acetyl-L-serine_neg	lsrK//cydD//dppF//trpB//rplD//hfq//copA//
CysB-N-acetyl-L-serine_pos	dcuS//ilvG_1//hyfI//atoE//lldR//nikA//lpd//purH//mhpE//metA//purM//nohA//pyrC//dsbA//glpQ//ccmE//ybfN//phnH//glcD//casB//rnpB//rrfC//trpE//
CysB-O-acetyl-L-serine_neg	cspD//azuC//qseC//pncB//cueO//xylR//dppD//
CysB-O-acetyl-L-serine_pos	yeaR//ampD//dppF//fecR//glrR//sodB//fucR//gntK//metE//hyaB//argD//creC//dnaE//nanE//iraM//puuD//gabT//bhsA//tsx//uidC//narI//cysC//araA//glnD//
DcuR-Phosphorylated_pos	mgtA//abgT//nusA//glpK//azuC//dpiA//ugpQ//phoE//ysgA//
DnaA-ATP_neg	cadB//nikE//rmf//glgS//modA//hybG//ugpC//tap//nikA//tsr//hybD//
DnaA-ATP_pos	pitA//yfiP//nlpE//fepB//ilvB//malI//citF//
DpiA-Pasp_neg	rplD//
DpiA-Pasp_pos	malX//patZ//agaA//pstA//eda//sufC//tnaA//yggX//nirC//yfaE//
DsdC-D-serine_neg	allE//
DsdC-D-serine_pos	aroH//paaZ//
EvgA-Phosphorylated_pos	mdtC//sodA//hybC//paaK//gntP//infC//fimA//acnB//appY//cpxA//fbaA//ampD//uidC//ydhX//metA//
FNR-[4Fe-4S]2+ reduced_neg	dppB//argA//gatD//iclR//lsrC//artQ//hdeD//cusB//mgtL//frdC//phnH//bioC//nuoI//ilvX//casE//araG//gspJ//narJ//acrB//ompT//infC//hdeA//citF//glgS//lysA//emrY//narK//yqjH//fumB//ynfE//hslJ//oxc//lsrK//fixX//motB//cynX//priB//guaA//ptsG//entE//gltV//sufS//rimM//cyoE//acrA//uxuA//sdhC//xylR//metE//fumC//rrfE//metJ//gltF//appB//ycjF//crr//narQ//galT//exbD//garL//mglC//xdhC//rrsH//phnF//nuoI//mgrB//entH//fadB//purL//nuoC//narK//speC//paaJ//hycE//hybG//gutQ//xylR//uxaC//trpL//ppdD//cyoB//phnL//nuoK//fhuE//glgB//frdD//yhiD//phoQ//casA//frdB//phoA//yoaC//kbl//paaB//yegH//rplD//csgE//metY//fixC//ompA//yaeQ//ivbL//modC//motB//hypB//znuB//trg//rrsE//ilvL//waaH//pheS//murQ//metL//rstA//gspJ//lysC//metE//lysA//aaeB//entS//
FNR-[4Fe-4S]2+ reduced_pos	ebgC//cysB//hofC//malI//paaG//rnlB//ykgR//ccmE//hydN//cusB//trpB//lysU//ydeM//znuA//tdcF//fimF//marR//puuR//cadC//pagP//ccmC//gspK//hyfD//ydeJ//lysP//pheT//yeaD//hupB//ftnB//entE//entD//astD//livK//nrdI//zraS//yfdX//nrfF//epd//entH//ilvG_1//uxaC//nuoA//katE//mhpA//appB//garR//lacZ//yeaE//hisJ//alkB//evgA//hisM//hisP//ilvH//hemL//map//ybfN//fadL//narX//gyrA//ssuE//puuR//napG//azuC//phoR//mtr//glgB//ydhW//gspG//cytR//yfbR//metQ//rbsD//dppA//aroP//betA//appB//hybE//yjjZ//envY//lacY//tauB//betI//uhpT//hyaA//oxc//rpoE//dctA//tdcA//citX//creD//speA//gspH//rpoH//uxaC//fumA//purC//oppC//rrsA//alaT//nrdG//abgT//tdcB//fumA//yfdV//dppF//iscU//tcyJ//glpT//fimH//hyfJ//cheR//udp//infB//fadH//aaeR//nirD//betT//phnM//rseB//gadB//nagA//yoaG//fepG//rplW//arcZ//ygiC//cysU//evgA//feoB//hofO//tsgA//rrfB//pheM//rhaR//nac//mdtB//metC//lldP//fepE//crr//ykgO//yjeV//nanK//manZ//hybB//lysA//ogt//abgB//ccmF//ynfE//rimP//degP//mntS//nikA//casA//ftnA//mzrA//rrfB//nanK//yebE//pdeF//entF//yegR//cpxR//hypB//icd//rplP//gspD//xylG//phnJ//aroP//dcuR//caiE//manA//nirC//betI//garP//cysC//hypD//sufE//aroL//gntR//fhuC//uxaB//glmY//artI//hupB//prfA//acrF//garK//cyaR//aroP//hlyE//cas2//srlA//ascB//nuoK//spf//sdhC//appC//idnR//
FhlA-Formate_pos	rpsJ//idnO//hydN//chbG//sufC//rcnA//fadB//narX//phnO//appC//ygiB//purM//nuoL//pgaC//rbsB//gltV//zinT//dmsD//araB//mhpF//astD//tnaC//glpK//efeU_2//glcE//glnL//xdhB//dnaA//dppF//rpsP//
FucR-L-fuculose-1-phosphate_pos	ydhU//rpmC//tauD//malK//aspC//phnF//nrdD//
Fur-Fe2+_neg	dadA//lldD//fepD//trpR//narG//hyfG//fadB//rpoH//hslJ//aaeB//hisP//xylA//yaiW//metB//gntT//grxC//tonB//phnI//cheR//gabT//phnD//purF//exuT//ynfG//chbC//hypC//katG//gspC//idnO//fliZ//nupC//moaA//dcuR//glpX//fecC//iscS//ychH//yjeF//ilvI//acrB//puuB//modC//iscR//pnp//rimM//hyfJ//yfaE//ugpA//iraD//glpC//uxaA//hyfC//ihfA//metH//codA//argP//frc//iraM//yaiA//yfdX//fadE//entB//ompR//katG//hofN//cysC//tsgA//hypA//tnaA//ftnA//ygaC//codA//ilvG_1//cyoB//entC//grcA//fadA//sodB//guaB//rpoH//aaeR//gatZ//ackA//caiE//nikR//nrfE//bioD//hpt//lldR//dppA//lldP//yeaD//ampD//glcF//rpoS//cas1//glnG//secB//ileT//focA//trmD//gspC//citX//nrfD//sufD//crr//dppD//mdtB//galK//pitB//ppiA//miaA//nupG//pagP//mltC//ebgC//nupC//fecB//gspE//cpdB//zntA//nagA//dmsC//cas2//
Fur-Fe2+_pos	yjcH//puuE//ccmB//nanM//ssb//yoaG//ynfK//dnaN//hlyE//cyaR//purB//mscM//pstB//rrfD//phnN//narQ//livJ//psiF//dnaN//garL//yibN//mcaS//norR//mntS//bioD//
Fur-Mn2+_neg	uidA//tdcC//garL//trpE//artJ//yeaD//ccmG//rplC//ydeO//ynfF//lsrC//dpiB//purH//zraP//glcF//ulaA//phnE_2//ssb//hybC//creA//nanT//sodB//garL//acrD//glnL//rpsQ//hofO//metI//casD//alaT//cynS//cheA//modB//motB//nagC//dadA//gltA//agp//yeiB//chbG//hemL//gatA//zntA//znuB//infB//codB//sufC//aroF//hyfD//zraS//rutA//fimG//emrY//eda//prpR//gltT//gspH//rnlA//rplS//ihfA//micF//tdcD//rplW//deoA//agaW//astC//uhpT//dsdC//hycF//dapB//purN//fecR//fhuA//crp//gutQ//hmp//pnp//oppD//lysO//cheY//bcsZ//dsdA//gltV//mltC//bcsB//hyaC//fimH//pgpC//appC//ubiG//gspI//glcC//purE//argF//malX//cyaR//glpF//ilvM//ssrS//ychO//fadB//allE//entD//nirC//phoR//fixB//yccA//tsgA//ilvX//slt//ubiG//nikE//trpR//gltW//sxy//aroM//malQ//pncB//araA//xapA//rutA//garP//ssrS//fucR//
Fur-Mn2+_pos	cas2//phoA//trpD//rrsE//map//hyfH//mdh//glcG//fucR//prfA//pgpC//lpxD//csgE//betT//rrlB//narL//trpR//prpE//gspH//arfB//glpT//ppiA//rimP//tauB//ynfK//
GlcC-Acetate_neg	rrlE//
GlcC-Acetate_pos	tolC//psiE//actP//ulaE//degP//tauD//
GlcC-Glycolate_neg	lysU//
GlcC-Glycolate_pos	fhuF//fiu//tolC//fadE//mhpA//rnpB//
GlrR-Pasp56_pos	melB//
IclR-pyruvate_neg	purM//aaeX//pflB//sdaA//
IdnR-5-ketogluconate_neg	ubiC//malK//dnaA//
IdnR-5-ketogluconate_pos	cirA//ileU//pgaD//fimG//yhjA//
IdnR-Idonate_neg	ompR//ytfE//preT//
IdnR-Idonate_pos	nrfC//hyaA//crl//actP//gdhA//
IlvY-2-acetolactate_neg	tdcA//
IlvY-2-acetolactate_pos	sucA//
IlvY-Alfa-acetohydroxybutirate_neg	livK//
IlvY-Alfa-acetohydroxybutirate_pos	cynT//
IscR-[2Fe-2S]1+_neg	ydhY//nagC//lpd//fimI//frdB//hybG//bcsB//yegZ//prs//astB//betA//malI//fimH//metY//pstS//eda//argD//mglC//mgtL//mepH//creC//hybD//cyaR//tdcD//purD//safA//narH//trpL//glnB//entH//
IscR-[2Fe-2S]1+_pos	napD//cheZ//micF//agp//paaE//idnT//hdeB//phnH//preT//malZ//purN//
LldR-L-lactate_neg	hypD//tehB//hycB//
LldR-L-lactate_pos	cyoC//narJ//fumB//
Lrp-Leucine_neg	rplS//abgA//uidB//ybdN//nrdH//ogt//cyoA//oppF//mscM//bcsC//copA//puuR//ulaC//hisQ//kbaZ//aroG//abgA//ssuA//lsrR//fadJ//csgG//gabD//glpK//ykgO//chbB//glpT//fadJ//rplI//cadA//yibN//nuoB//tsr//rrsC//rrsB//stpA//cynS//metQ//pgaB//fimC//dsbA//araA//proP//cdd//yeiP//hyfF//dkgB//ygiA//phnN//nuoN//idnR//evgA//chbR//frc//yfdX//malX//recF//fepD//caiB//glnA//hypC//phnP//glcF//acnB//entA//adiC//nagC//avtA//glnD//moaE//gspG//cheR//tyrR//rpsR//hdeA//nikC//
Lrp-Leucine_pos	sdaA//narK//phoU//sucD//phoQ//rrsB//ansB//hyfI//xylH//fucU//garK//chiP//caiB//pncB//purE//sucC//ychH//yfdE//glgB//csiD//sucB//carA//cyoD//ygaC//appA//xdhA//moaC//mtr//zraS//creC//treB//tnaB//ssuA//codB//dsbA//
LsrR_neg	carA//fadJ//oppC//astC//thrS//lysO//sodB//azuC//yjcH//
MalT-ADP-Maltotriose_pos	cysU//tar//entB//malP//bcsZ//aspC//iscU//aroM//soxR//ydhY//
MalT-Maltotriose-ATP_pos	priB//speA//crr//nrdB//fepG//glpC//gltV//yeiB//fimG//aroP//
MelR-Melibiose_neg	ychH//glgC//rmf//
MelR-Melibiose_pos	ydhU//tehB//moaB//
MetJ-S-adenosylmethionine_neg	uhpT//mtlD//borD//gltB//caiA//puuA//frdB//yeaE//csgA//secB//erpA//csgD//exuT//dnaN//ccmH//
MetR-L-homocysteine_neg	ydhV//citG//
MetR-L-homocysteine_pos	yhjC//fau//prpR//argD//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	ydeO//fecB//argH//ilvA//ubiX//rrlC//
MhpR-3HPP_pos	glcA//ssuA//mglB//glpX//csgA//nuoI//
MntR-Cd2+_neg	alkA//prfA//chbC//ydhU//
MntR-Cd2+_pos	paaJ//
ModE-MoO42-_neg	ybiT//galM//allE//gcvP//ynfK//cydA//map//rpsJ//purN//deoD//cyoE//aaeX//nrdG//fadJ//glpT//
ModE-MoO42-_pos	gutQ//tehA//nrfE//proP//yqjA//tnaA//comR//nanE//lrp//uxuA//cspD//rplW//entB//fecI//cysN//nupG//puuR//evgA//phnK//tap//tsgA//creD//treR//mhpA//hisJ//puuD//nagB//atoD//mntH//folE//aroL//
NarL-Phosphorylated_neg	feaB//napH//frdA//citX//alaV//bcsZ//livF//nrfA//aroL//ygeH//phnE_1//nrdD//livH//fimF//hybE//araB//sbcD//hyfA//feoB//motB//azuC//purD//phoP//cpxR//mgtL//ygiA//rpoE//metH//citX//ulaF//phnE_1//araH//infB//gpsA//lsrK//trpA//dadA//cyaR//ebgC//feoB//idnO//rutG//rrfB//sodB//hofP//tdcE//carA//rbsC//yojI//cysW//amn//cyoC//gntX//hycH//ung//ilvG_2//azuC//ssb//galP//yeiB//rseA//ulaF//pstC//rrfH//dsbA//cyoB//dmsC//grcA//aroA//emrY//phnF//putP//baeR//glcB//hofN//cysA//rstB//chbA//ompA//ydhY//hisM//nrdF//rbsA//lsrR//araD//idnO//
NarL-Phosphorylated_pos	dkgB//livH//cusA//glpC//gabT//infC//caiE//hmp//puuB//argP//fadB//fis//yfiP//rrfD//hisJ//fecI//cydA//hfq//metE//nlpD//ydfN//nac//lhgO//yfaE//dusB//infB//sufB//yhcH//rcnA//trmD//leuE//fabZ//appC//pnp//tauB//nanM//truB//argO//amtB//nikB//yfdX//pnp//mgtL//ychO//iscS//cynT//
NarP-Phosphorylated_neg	thrS//glgA//ileV//xdhB//gltU//fucP//hflX//pnp//argA//guaB//rutD//ynfE//ompX//hyfC//fucR//rrsH//casE//rnhB//aroH//melB//ompT//sdhA//glpB//fucA//oppD//fimD//rhaA//tdcB//fhuD//phoA//alaV//hycF//yfdV//
NarP-Phosphorylated_pos	phnE_2//uidB//cspE//glmY//comR//garK//nrfC//araD//rpsS//ilvA//hpt//exuT//citX//modA//malS//xylB//glnL//metY//entB//ilvG_2//glcD//ilvD//puuE//patZ//caiB//cydA//cysK//rrsG//mutY//rrfH//hisJ//glpD//
NhaR-Na+_pos	zntA//deoC//fhuD//phnM//cysA//
NikR-Cd2+_neg	dsdX//glpR//amn//nuoC//dadA//feaR//
NikR-Co2+_neg	hypA//acrA//gcvT//phnF//hisJ//tadA//
NikR-Cu2+_neg	hmp//phnO//rnpB//cirA//yggX//cirA//
NikR-Ni2+_neg	nrfG//nuoN//mgtA//phoA//deoA//metB//
NikR-Zn2+_neg	exbB//rrfG//bglF//fixB//uhpC//xapA//
NrdR-ATP_neg	ykgO//chbF//bdcA//hybO//dppB//nirD//hyfG//gutM//metL//
NrdR-Zn2+_neg	bdcA//cytR//cyaR//rrfF//bioB//phnP//oppA//hypF//tyrP//
NrdR-dATP_neg	aceE//phnM//ugpA//ilvN//glgS//lpd//ivbL//csgG//rrfD//
NsrR-[2Fe-2S]reduced_neg	tsgA//metI//atoD//hybB//pflB//mhpE//ygiC//ydeJ//lysU//nuoK//purN//efeU_1//rplW//chbA//argH//eda//acnA//yidQ//fepB//rbsC//ryhB//ssuA//tauB//ompA//priB//gltV//aroP//bioF//rrfE//glgB//norV//ebgA//cydC//glpR//nusA//cheR//modC//ydeP//hyaB//dppD//prpE//nohA//phnP//fecD//ytfE//mglA//safA//chbA//crr//hyfA//phnH//rpoS//norR//feoB//ubiA//alkB//frdD//spy//prfA//chbB//galP//lsrF//mipA//moeA//azuC//lsrK//cyaR//gspK//trpA//gltU//rpsP//ihfA//cydA//
PhoB-Phosphorylated_neg	gnd//nuoJ//manY//malE//lysU//fabZ//adiC//gatD//hyfG//ulaB//serA//tfaQ//paaJ//
PhoB-Phosphorylated_pos	hycG//xylA//yeiW//hfq//uxaA//sbcC//ydhU//purK//bamE//ompW//dsbA//ydbD//yegH//folE//prmC//adiC//mhpT//gspC//ssuA//dppB//tdh//yeaD//murP//ompC//slt//frdD//nagC//phoA//ahpF//csgD//casC//agaV//bamA//puuD//xylR//hycI//rpsC//grxC//hypC//fepD//gnd//yciW//srlB//tnaB//bcsC//ccmD//argT//xylF//caiF//fabZ//purM//fur//hypD//
PhoP-Phosphorylated_neg	nupC//araA//gatB//fucP//murP//ompF//priB//feoC//gatB//uxuR//trpB//
PhoP-Phosphorylated_pos	ysgA//aldB//mtlR//gltB//azuC//nanM//glnB//ansB//hycC//cysA//ynfF//oppD//melA//artP//metQ//envY//napD//emrY//ssuB//nikR//purN//lacY//putP//hybG//mdtA//metF//uidC//ilvH//bcsB//hycC//glpB//cynR//fadL//yaeP//znuC//ubiG//casE//glcA//ssuB//sufE//yeiL//alaA//fecI//hyfR//lsrD//napD//cynS//rpsP//uxuR//
PrpR-2-methylcitrate_neg	malX//
PrpR-2-methylcitrate_pos	prmC//envY//mipA//ftnA//
PurR-Guanine_neg	ycjF//pyrC//caiA//mltC//gltD//rpmC//nikE//mtlD//recF//cydC//aer//ampD//rhaD//rprA//sbcD//nuoH//trpE//torA//aceK//torR//hyaC//yeaD//uxuA//dapD//malF//caiC//hisQ//iclR//srlE//rrfD//hypD//entD//aldB//fecE//
PurR-Hypoxanthine_neg	malQ//nrdE//tdcA//envZ//fucU//glnB//atoA//ompX//rpsQ//ilvB//xylF//rrfA//ptsG//rpoE//entF//metH//csgA//hflX//amiB//cusR//nanE//lldP//metY//cysU//feoB//ugpB//gutQ//rpsQ//iscU//mhpB//nuoC//malS//gntR//galE//
QseB-Phosphorylated_pos	secB//fecC//ivbL//purF//
RhaR-L-rhamnose_pos	mdtA//rprA//
RhaS-L-rhamnose_pos	grpE//frdC//purL//
RstA-Phosphorylated_neg	bdcA//fucR//baeR//bglG//tonB//
RstA-Phosphorylated_pos	casB//phoH//pgaB//bdcA//fhlA//
SoxR-[2Fe-2S]3+ oxydized_neg	rdoA//
SoxR-[2Fe-2S]3+ oxydized_pos	ssrS//tcyJ//uhpC//
TorR-Phosphorylated_neg	ycjX//
TorR-Phosphorylated_pos	gatY//deoC//ptsH//ynfH//zraS//purF//ilvE//pitB//evgS//
TrpR-Tryptophan_neg	garR//lsrK//ccmH//ssuD//puuD//yegZ//hycF//yfaE//lysU//prpC//acrF//sodB//
TyrR-L-tryptophan_neg	azuC//lolB//chbC//hycD//glpD//fdnI//narK//zinT//aceK//trg//rrsE//mdtB//
TyrR-L-tryptophan_pos	hypA//pstA//fhuD//
TyrR-Phenylalanine_neg	nrdB//yqjI//gltF//rhaT//malM//yqjI//nuoF//citG//rdoA//ccmH//appC//gadB//
TyrR-Phenylalanine_pos	trpR//ompA//umpH//
TyrR-Tyrosine_neg	csgC//ftnB//chbR//rpoS//oppF//xapA//srlD//norV//rhaB//codA//acrA//rimP//
TyrR-Tyrosine_pos	mlc//phnM//fdnH//
UhpA-Phosphorylated_pos	leuE//
XapR-xanthosine_pos	gspO//pflB//
XylR-Xylose_pos	gabD//ubiA//nac//nuoJ//mhpA//hmp//
ZntR-Cd2+_pos	malF//
ZntR-Hg_pos	paaI//
ZntR-Zn2+_pos	stpA//
ZraR-Phosphorylated_pos	malE//spf//pdeF//
Zur-Zn2+_neg	rbsA//malK//fucK//yoaG//ydhW//feoA//
