#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	phoR//ispE//
CRP-cAMP_pos	hfq//aspC//grpE//rbsA//uhpB//cyoC//codA//sufD//cirA//rrsA//torD//mzrA//codA//putP//cvpA//torR//manY//idnT//iraD//nupC//rrsE//rplB//ubiX//hyfC//aceF//paaB//araA//hflC//tnaC//tdcB//pgaB//rrlH//ppiD//rhaS//cas2//livH//acs//pgaB//yhjC//grxD//rimP//acrE//bglG//gyrA//fepB//tyrP//ftnA//deoA//bcsB//ilvD//sohB//rybA//evgA//sucD//phnO//nanT//livM//mcaS//gpsA//dadA//lolB//nrfA//phnN//grxD//creD//narX//yjiY//acrB//gyrA//ygbA//malG//creA//sodB//gcvH//dkgB//rof//citE//cydD//gutQ//hisM//glpT//tdcB//ascF//mglB//mgrB//yeiB//dcuR//gabT//mscM//glpF//aspA//hyfE//prpD//ogt//sxy//phoU//dmsA//ompA//nac//hofP//fhuC//cra//xylH//rpoH//ppiD//lsrK//glgB//csgA//proP//cysW//argI//hyfJ//cspD//sdhD//fecR//lysU//hyaD//paaE//ydhU//hha//ileU//yfdX//hycF//marA//alkA//paaF//ygbA//dcuC//yeaE//ydhY//garP//mgtA//rrsD//ydeP//zntA//fhuE//pgaC//ykgR//bhsA//dmsC//nohA//dmsC//lsrF//appA//bioD//cueO//srlA//pagP//nuoB//rrsA//codB//nikD//glcB//dmsA//rprA//agp//ssuD//dsdC//yjjZ//slyB//csgB//dpiA//cra//fecE//hypF//hfq//mgtL//leuE//slyB//copA//rrsH//gabT//carA//rrfD//glcG//fldA//rutC//ubiC//rhaR//phoQ//mntP//truB//yneM//rof//hycB//yegR//fhuD//yhiD//argG//nrdH//nirD//fucO//lpxD//yciW//ccmG//tar//xdhA//cheW//ptsG//csgF//entS//oppB//ldtC//amtB//alkB//yaiW//cysB//entE//fucI//aspC//rrlC//gutQ//pitA//astE//glpF//rstA//prmC//gspK//rhaA//hycI//comR//rrsE//purE//yggX//agp//ogt//glpC//treR//cstA//fnrS//nagE//paaF//sohB//hyfJ//ygiB//ompR//glgC//fixA//ykgO//argA//cysB//malY//fimG//mpl//rimM//ada//pgaA//csgC//ugpA//lolB//napA//nirC//prs//nrdA//argC//rpoE//metH//uvrA//creD//phoP//malI//xylF//micF//hypB//mntP//ilvE//frdA//fadA//malE//ompR//glcC//caiB//glnB//ycjF//zraP//ptsG//aroA//araD//nanM//cytR//tonB//aroF//zraS//fadH//azuC//cyoB//artP//cysH//glnL//cdd//rrfB//nuoC//casB//hemA//yeiB//appY//tpx//hyaF//mglB//livH//cdd//preA//prpC//cysC//napA//aaeA//hyfG//hyfI//tpx//cadC//glpG//nrfE//puuR//torR//dnaA//nuoN//trpR//tap//glnG//sroD//mzrA//atoE//fhuF//sufE//malM//cpxR//torR//lsrK//sufB//puuA//cynT//rpsJ//rbsR//hha//ykgO//fadH//yidQ//priB//hflC//tcyJ//ynfG//metC//infC//codB//malM//ldtB//gspG//nrfE//ydhT//phnE_1//cyaA//aceA//casE//ugpC//nrdA//iclR//gspG//rrfG//gcd//hofM//hypC//glcG//rplP//glgP//gadC//gatD//nupC//gadB//gltT//rplW//grcA//tyrR//yqjI//betI//rpsJ//pgk//rplI//dcuR//napD//lpxA//ssb//napF//hflK//torR//evgS//malY//exuT//glpG//zraS//cirA//paaJ//tam//rrfF//speA//rhaT//folE//artP//proP//glmY//mntH//entD//rbsC//fepC//zinT//hycC//paaG//rrsC//psiF//dsbA//creC//paaH//bglB//ydeO//napD//glpB//atoA//malX//hisM//mgrB//csgG//ccmE//mhpF//dcuR//phoE//araD//sroD//fadJ//malG//feoC//
ChbR-Monoacetylchitobiose-6P_neg	rplB//nuoK//aceE//hflD//napD//rseC//
ChbR-Monoacetylchitobiose-6P_pos	aspC//hycB//flhC//rnlB//puuB//uhpB//
CpxR-Phosphorylated_neg	malM//bamE//ftnA//pgaC//mdtB//rimM//cusS//gutM//znuC//livK//xseA//gspH//yfaE//casC//mhpT//yggX//yfdE//uidA//garP//rplC//dppF//zwf//alaT//hybD//
CpxR-Phosphorylated_pos	hybF//cusS//tam//moaC//rdoA//phnE_1//uraA//phnP//yjiY//acs//dppB//cyoE//hyfR//zinT//pgaB//cynX//truB//rstB//rrlB//lhgO//ynfK//gutM//nagE//glcF//exuT//ugpC//preA//trpR//casC//feoA//lldR//hflX//cusA//acrA//cheA//frdD//glmY//fucP//phnL//marB//hyaE//ulaF//gltT//csiD//tar//
CreB-Phosphorylated_neg	fnrS//edd//yhhY//
CreB-Phosphorylated_pos	feaB//treB//fepE//murP//cheY//argA//
CueR-Ag_neg	rrlG//serA//rrlA//rrfA//fixB//
CueR-Ag_pos	fliA//rhaA//
CueR-Cu+_neg	cysW//cynR//rrsH//xylA//cysN//
CueR-Cu+_pos	phnC//nrfF//
CuerR-Au_neg	metN//slt//lpxB//entS//zraS//
CuerR-Au_pos	gatZ//uhpT//
CusR-Pasp_pos	cydB//ugpQ//napC//gabT//tonB//hyfF//proP//hemL//phnI//glcC//gspF//ccmE//
CynR-Cyanate_neg	baeS//
CynR-Cyanate_pos	skp//hycH//znuA//
CysB-N-acetyl-L-serine_neg	moeB//narX//nikC//oppB//ispE//aer//alaU//
CysB-N-acetyl-L-serine_pos	hyfE//tadA//speC//malQ//ychH//gcd//dppD//ubiG//argA//glrR//trpR//cusR//dmsD//astE//artM//nanM//livM//ulaA//glpC//trpB//aldA//caiT//yoaC//
CysB-O-acetyl-L-serine_neg	dppA//cvpA//citD//epd//astB//malI//hofM//
CysB-O-acetyl-L-serine_pos	hypF//nfuA//argI//cysJ//cadC//efeU_2//gntT//baeR//fhuE//hisP//ygiC//yrbL//pheS//nagE//mhpE//gltV//aaeA//exbD//lsrB//norW//gspK//ssuD//hycI//argR//
DcuR-Phosphorylated_pos	ychH//alkA//trpB//ulaF//livK//gntP//hisP//yeaR//phnH//
DnaA-ATP_neg	rhaS//fadD//bacA//hdeD//mhpT//gcvH//ahpF//cpxR//nac//infB//rutF//
DnaA-ATP_pos	dsdA//yeaR//caiC//yecR//aceF//nohA//glcF//
DpiA-Pasp_neg	sufB//
DpiA-Pasp_pos	ydeA//fldA//malQ//yojI//hypB//aspA//yjeV//ryhB//ygbA//hlyE//
DsdC-D-serine_neg	purN//
DsdC-D-serine_pos	iraM//prfA//
EvgA-Phosphorylated_pos	yebE//hycF//creB//fliA//ydeP//mtlD//cysA//nupC//citC//ilvX//nlpD//fdnI//uxuB//entD//prmC//
FNR-[4Fe-4S]2+ reduced_neg	aroF//yegH//ulaF//gltF//agp//metY//ilvG_2//livG//fimF//nanT//hybG//paaE//fecR//sbcC//glnL//csgE//cadA//emrY//cyoA//rrsE//cueO//phoH//hypF//purR//rmf//hybC//pstB//rpsF//mipA//paaD//nirD//lacY//murP//uhpT//tdcE//malM//gadB//nuoK//pstC//nagB//bacA//rrfC//hyaE//ileU//uhpB//ung//rprA//pyrC//nuoI//borD//pstC//fhuC//yaeQ//gutM//mgtA//agaV//chiP//znuC//ycdZ//agaW//yfeW//metB//ebgA//mutL//glgS//lldR//gatB//rrsA//bdcA//tyrA//flhD//hydN//hisP//deoA//purN//rnpB//nanK//cueO//frdA//phoR//aldA//yaiA//nuoN//hyfB//bioD//trpB//dsdC//dcuS//proP//pgk//chbF//soxR//napB//rplC//rrfB//araF//xdhC//narH//galS//rseB//glpQ//ompF//nanE//ptsI//aroF//ydhY//bamA//lysU//rplB//hcr//fucI//mgtA//nanC//malM//rplV//truB//oxyR//pgaD//rbsD//abgT//
FNR-[4Fe-4S]2+ reduced_pos	hycG//uxaA//dadX//bcsA//cysK//ycjX//yfeW//glpE//erpA//galK//entF//frc//citD//grpE//allC//rplS//dppC//yeaR//hyaD//nikB//rbsR//nupG//tauC//dcuS//efeU_1//fimH//purE//moaA//malZ//fecC//puuB//ydfH//ilvY//nuoG//modB//nuoC//tauD//ryhB//mdtD//rnlA//avtA//rrsH//borD//cyoE//livF//phnE_2//napB//nupC//fimI//sohB//rhaR//cydB//phoB//yeaE//trxA//ccmC//hflK//rrlB//envZ//stpA//hofC//rrfE//phnL//envZ//mipA//metJ//ebgA//entA//gltU//metN//fecR//livF//paaK//rpsR//casE//dnaN//ydeM//alaA//argB//tdcE//livK//ldtB//mgtL//citF//xylR//rrlD//glyA//motB//argP//abgT//ulaA//hofP//focA//slt//hisP//tauC//yrbL//hybO//purE//folA//znuA//fadD//napC//caiT//ileV//hyfG//acrF//prfA//appY//cysG//rrsH//cysA//nrdE//chbG//nmpC//rpsP//speC//yibN//rrfD//paaH//azuC//glnB//malG//mntS//rybB//tyrP//mzrA//pdeF//narG//hyfJ//argF//glcF//dpiB//rrfH//emrY//ybiT//lldP//patZ//dcuS//fadL//betT//dkgB//nagC//cysH//napC//ompF//phnD//cheR//aaeA//cysD//cheA//cusA//fhuC//grpE//rplS//glcA//cadA//glpA//yidQ//araE//rrlH//lsrB//lhgO//rplW//mtlR//nanA//narQ//purB//sbcC//entE//fucU//rcnA//sucC//atoA//trg//aroP//yfeW//phoH//lpxB//livF//fadE//artJ//cysK//cas1//abgA//hdeD//artP//hypF//nikB//acs//casD//tnaB//crr//artJ//yfeW//nrdE//hybB//fldA//tdcC//baeS//phnH//betT//
FhlA-Formate_pos	aroL//sucA//hofC//yqjH//aroL//yegR//galE//cydA//aceB//fimG//ilvX//napD//gdhA//frdD//tyrP//prpB//araJ//purA//fixA//astE//prfA//artM//purK//rbfA//motB//rrfC//hyfR//galM//dpiB//malP//
FucR-L-fuculose-1-phosphate_pos	glgP//fumA//gatD//fnrS//dppA//modC//ybiT//
Fur-Fe2+_neg	bioD//tyrP//creB//glcG//yjjZ//aaeB//modA//rpsP//glpB//moaC//ugpC//hybA//pstS//arfB//argR//moeA//rnpB//gntX//ackA//yfdV//nrdD//hisQ//phnC//napA//preA//rcnB//ihfA//proP//nrdG//cheA//caiA//prpE//bioF//rrfC//emrK//paaA//rhaT//zraP//rplP//dadA//appA//acrF//tadA//hyaE//dgcZ//nikB//hofM//dapB//ssuA//yeiB//malT//codB//csiD//gntK//hyfD//fimI//dcuA//ycdZ//pgaC//iscU//chbF//malG//pagP//puuD//rrfB//nikE//dsdA//artI//arfB//xylR//ilvB//fucU//cheR//adiC//znuB//xylA//ssuB//fucU//cra//aroA//cyoE//serC//folA//agaV//tdcA//aroA//fumB//prpC//betA//acrD//cysB//pstB//argC//nikE//sufD//argP//cytR//guaB//appC//fucI//fdhF//pncB//mhpF//alaU//purD//fiu//purB//phoQ//ydhX//glpB//gabD//glnD//lacA//lpxD//flhD//sucB//nuoA//dcuS//mltC//glpT//manA//uidA//dgcZ//lldR//
Fur-Fe2+_pos	ssrS//hofM//argA//nagE//manZ//artQ//tdcF//rybB//aaeA//dps//chbC//aroF//galT//artJ//chbB//bioF//rrfG//pgaB//rhaR//pyrD//paaD//hofB//ahpC//yggX//nikA//
Fur-Mn2+_neg	malM//purE//tauB//spf//fepD//cirA//marA//yaeP//dcuR//mntS//ilvG_2//yegZ//lamB//ybjG//gspE//lysP//fadJ//dcuA//cspD//nupG//livK//rpoS//rbfA//artJ//flhD//lysP//yfbR//deoA//uidA//rimP//ybiT//chbB//moaD//fimD//uxaA//artQ//tar//psiE//gapA//lsrB//fecD//infB//norR//cadC//narI//phnG//ileU//mhpA//xseA//aceA//glcE//metE//ccmB//metB//purH//ugpB//hyfA//nac//gspJ//hyfI//narH//gntX//evgA//gltW//hybA//rrsB//gutQ//lysP//ung//fabZ//rpoE//manA//spy//pepT//rhaA//purN//ogt//osmC//sucB//fhuE//ugpQ//carB//nagC//fixC//trpA//baeS//glpC//puuR//glcG//cysH//nuoA//gutM//xylR//pstA//truB//alaU//tdcB//lysU//ynfH//ampD//tsaE//hyaF//gnd//katG//hypF//fecA//upp//pstB//argP//yfdX//dppB//ssuD//rybA//galK//nuoK//tauC//fadA//phoU//malS//cysW//rutA//ydiU//nrdF//uhpT//
Fur-Mn2+_pos	yaeP//ebgA//mltC//fis//nikD//glpE//rrsA//lhgO//zwf//nrfA//fucU//tyrB//dppC//tyrR//glrR//melB//feaB//bglF//fiu//fnr//sdhC//rpsO//phnE_2//emrK//uof//
GlcC-Acetate_neg	frdC//
GlcC-Acetate_pos	ybiT//atoD//hisM//marB//mhpR//ydhW//
GlcC-Glycolate_neg	dapB//
GlcC-Glycolate_pos	rcnB//hycI//xylR//rmf//znuC//fucI//
GlrR-Pasp56_pos	glcE//
IclR-pyruvate_neg	ydhV//mdtB//yaeQ//hypD//
IdnR-5-ketogluconate_neg	murQ//rrlG//sucB//
IdnR-5-ketogluconate_pos	garL//gspD//phoE//hycI//rrsH//
IdnR-Idonate_neg	hyfH//thrS//emrK//
IdnR-Idonate_pos	glcD//mtlA//yjiY//nuoN//marA//
IlvY-2-acetolactate_neg	ydeN//
IlvY-2-acetolactate_pos	feoC//
IlvY-Alfa-acetohydroxybutirate_neg	evgA//
IlvY-Alfa-acetohydroxybutirate_pos	modA//
IscR-[2Fe-2S]1+_neg	lsrA//ilvM//infB//creB//dnaE//fepA//ftnB//ilvY//cyoB//aroP//ubiG//fecI//mgtL//cvpA//pnp//csiE//trpR//fadD//spf//ilvI//fepB//hflC//ccmF//uvrA//yojI//uxuB//ptsH//gntR//pflB//glcC//
IscR-[2Fe-2S]1+_pos	argR//frc//abgA//livH//chbG//argA//narK//ompT//narK//nagC//nlpD//
LldR-L-lactate_neg	ykgM//feoC//yeiL//
LldR-L-lactate_pos	uxaB//manY//tktB//
Lrp-Leucine_neg	nikR//comR//thrV//malS//fadE//hyfH//dkgB//ompX//caiD//dgcZ//rrfG//paaK//hycE//yegH//xylF//serA//rutF//idnD//paaB//alaT//evgA//hyaF//rstB//phnP//rybA//fepB//hypE//argB//ytfE//yoaG//livK//rbsB//mgrB//yfbR//nirD//astB//rhaD//tdh//acrB//hofM//phnI//lsrR//uidC//mltC//uhpA//pck//pgaD//csiE//ulaA//nuoA//yfaE//narQ//ahpF//cbl//efeU_1//ihfA//alaA//phoU//fabZ//yfaE//caiD//astD//paaE//nuoB//nrfE//yojI//ydhT//ompF//yaeP//lpxA//dps//psd//rutA//metJ//ilvE//
Lrp-Leucine_pos	acrA//glnK//fecD//ydiU//lpxB//hyaC//aceB//glcG//thrV//cynX//aidB//yiaJ//iscS//araF//gpmA//fumC//glcB//hybE//manY//ccmG//oppD//icd//aroF//avtA//argP//glnB//ada//ykgR//sdhB//rutA//rseC//bcsA//yaeQ//nlpE//abgB//
LsrR_neg	ytfE//rpmC//lsrG//cspD//ydhV//mipA//ccmC//aaeB//psiF//
MalT-ADP-Maltotriose_pos	nuoE//sdaA//oppD//efeU_1//aroL//mgtL//rpmI//ydeO//tolC//gspE//
MalT-Maltotriose-ATP_pos	ilvA//iscU//purB//deoC//rrlA//ydhV//aceA//xylF//nirC//ileU//
MelR-Melibiose_neg	napB//dsdX//gnd//
MelR-Melibiose_pos	glpD//ycjF//cyoD//
MetJ-S-adenosylmethionine_neg	crl//melA//atoE//atoB//pyrD//ssuC//mdtC//citF//rcnA//rplS//slt//ebgA//glyA//aspC//malX//
MetR-L-homocysteine_neg	cyaA//fixX//
MetR-L-homocysteine_pos	bioC//glcB//glpD//fes//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	thrS//fhuC//udp//rpsS//glcB//fecA//
MhpR-3HPP_pos	bioC//yegR//gltV//upp//uxuA//sufS//
MntR-Cd2+_neg	hcr//uof//phnI//pta//
MntR-Cd2+_pos	hslJ//
ModE-MoO42-_neg	fur//chbA//ydhW//gltB//gpmA//osmY//speB//ulaF//purC//rrsA//soxS//purE//dnaN//glpB//purH//
ModE-MoO42-_pos	napD//bcsB//aspC//ychO//ybdN//fbaA//rbsB//ydhY//rhaD//rstB//cysJ//lpd//lsrA//spf//fepB//gspH//araJ//xylF//secB//rrfE//hypA//priB//atoD//abgB//metL//csgE//sufS//ssuA//nrfE//ygbA//acrB//
NarL-Phosphorylated_neg	rseC//gabT//entA//oxc//nuoE//yegR//chbF//hofN//tehB//cysG//rutB//cysB//narI//dctA//fepG//rybB//puuE//puuP//entB//cusF//csgE//ygbA//cheR//moaC//nikR//modB//nagA//xdhB//crp//lysO//csgD//metR//yeiB//hflC//ulaA//glpQ//codA//nrfG//hofP//psd//rnlB//fadE//fucU//puuD//hupA//rplB//talA//nupC//rpsO//araE//glnK//ampD//ynfE//metI//napH//rrlD//puuP//fabZ//rhaS//rplW//frdD//malY//hyaD//chbG//dcuA//idnO//agaA//fadB//ilvG_1//aspA//dapB//marA//fhuC//trpR//dppC//secB//cysI//uof//garR//fumA//fimD//ansB//gcvP//tdcC//metL//yoaC//
NarL-Phosphorylated_pos	argC//cspD//gatA//mhpA//srlB//rpsI//hypF//yegH//miaA//frdC//atoA//fabZ//araB//glcC//baeS//ssb//aidB//gadB//rrfC//aceF//uhpT//rmf//ompF//hyfH//trg//ilvX//ebgC//nagA//lsrB//epd//rpoE//metI//hydN//rof//iscR//hmp//preA//gntP//prmC//hyaF//sbmA//gutQ//tcyJ//pepT//ygiB//lldD//
NarP-Phosphorylated_neg	hybC//yaeQ//treC//sbmA//narX//lldD//motB//dcuR//gnd//phnE_2//uxuB//cytR//mpl//alaT//rpoS//frc//fhuE//tolC//treR//prpD//rrsH//sufD//sodA//fepE//exbB//gntT//livF//fucU//mlc//modB//lacY//tdcE//cynT//
NarP-Phosphorylated_pos	ompR//cdd//recF//hha//sucC//cynS//phnI//hycD//manZ//sdaA//mdtC//hemA//cynS//caiF//grxD//spf//nikD//phnE_1//ppiD//melA//gspI//yfdE//xapB//pheM//hisQ//yedX//tnaB//rstB//cusF//citD//tadA//nikB//
NhaR-Na+_pos	cyoC//abgA//garP//phnJ//rrsH//
NikR-Cd2+_neg	gabP//tcyJ//yjjZ//cspD//phoR//rprA//
NikR-Co2+_neg	cusS//fau//nrdI//ynfH//hyfC//gadC//
NikR-Cu2+_neg	paaE//ycjF//mhpD//cheB//ydhY//trpD//
NikR-Ni2+_neg	yaiA//ycjF//rrsA//putP//fliA//sroD//
NikR-Zn2+_neg	mhpA//aroA//rpsQ//gspI//leuE//entD//
NrdR-ATP_neg	fes//oxc//ndh//nagE//hisJ//alkB//psd//rrsG//rbfA//
NrdR-Zn2+_neg	raiA//avtA//mscM//znuC//narI//glcA//ycjX//hypE//deoB//
NrdR-dATP_neg	aaeA//rpsF//nrfB//rbsA//mhpD//hcp//idnK//yjiY//osmC//
NsrR-[2Fe-2S]reduced_neg	nikR//abgT//fucK//metI//rplC//cytR//tam//nrdD//rrlC//rbsD//bcsB//serA//puuB//hflD//caiF//malE//tdcC//dcuR//metI//yhjA//moaB//patZ//rpsC//prpB//rrfB//astB//yhcH//ileT//talA//hypD//exuT//fur//narL//hlyE//yoaG//deoB//edd//nlpD//nrdH//mltC//dcuA//metJ//metN//murP//ydhX//caiE//recF//gspM//rnlB//betB//hupA//creC//hybO//caiT//citX//sbcD//ilvL//hisJ//icd//gltV//dcuS//pheS//gspF//glnA//aspA//casA//phnD//dmsA//rstA//thrV//argT//aroH//pck//
PhoB-Phosphorylated_neg	ssuA//argT//metH//cheR//purN//casB//astD//emrK//napH//bglG//rpsJ//ssuE//csgB//
PhoB-Phosphorylated_pos	gspJ//chbC//sxy//pgaD//glcB//codA//gadB//rrfE//tdcF//mdtD//priB//hybE//argI//napA//pepT//baeS//treB//grcA//rseB//hupB//speB//hofN//lsrB//melR//ynfK//acnA//ychO//lacY//sufD//ampE//nagB//gcvT//ybiT//guaB//pheM//gatZ//yfbR//cysK//psiF//fliZ//lsrC//gspM//treB//lsrB//yebE//glcD//ynfG//tadA//aroP//nuoE//carA//hisP//ccmH//
PhoP-Phosphorylated_neg	glgA//rrfH//ppiA//ygiC//prpB//napC//nirC//oppD//dusB//treC//nrdA//
PhoP-Phosphorylated_pos	nuoE//glgB//rimP//cadA//nrdI//napB//pstS//yrbL//rplC//manX//acrB//dcuR//moaD//gltU//csgE//mlc//nusA//flhD//gcvT//tnaC//tauB//iscU//mglB//cysN//srlA//livM//aaeR//rbsD//pgk//azuC//nikD//gntP//livH//phnF//ilvM//tktB//ykgM//artJ//feoA//oppA//yjjZ//arcZ//mgrB//nanC//lsrG//osmY//narQ//codA//galT//
PrpR-2-methylcitrate_neg	betT//
PrpR-2-methylcitrate_pos	mgrR//hydN//gspD//yaiA//
PurR-Guanine_neg	fimC//tnaA//fhuD//cynR//fiu//paaE//purM//ugpA//gspC//cdd//metJ//slyB//nrfA//ebgA//rcnA//uhpB//yqjI//hofC//malI//manY//rplI//hycF//cirA//pgaC//feaR//hycG//aer//uhpC//entS//cysI//yqaE//bioD//uvrA//hofM//
PurR-Hypoxanthine_neg	ihfA//dkgB//fes//entE//hflK//gltF//nuoE//murQ//ccmE//bcsC//hofB//mdh//yaiW//dppB//ssuE//nikE//ydhT//ybjG//hha//truB//argH//mntP//mgtA//trpD//pflB//zinT//map//artJ//prpC//appY//bhsA//purR//gatB//gdhA//
QseB-Phosphorylated_pos	nanE//abgA//mtlR//mutL//
RhaR-L-rhamnose_pos	rutD//glnD//
RhaS-L-rhamnose_pos	moeA//hyfI//tonB//
RstA-Phosphorylated_neg	cirA//puuB//napF//nagB//ascB//
RstA-Phosphorylated_pos	bglB//yoaG//atoE//ydfN//murP//
SoxR-[2Fe-2S]3+ oxydized_neg	ccmA//
SoxR-[2Fe-2S]3+ oxydized_pos	atoD//argT//bcsC//
TorR-Phosphorylated_neg	metB//
TorR-Phosphorylated_pos	proP//trpA//mcaS//glpE//hflD//alaT//ogt//pepT//dmsD//
TrpR-Tryptophan_neg	yegR//ydeP//ilvI//nrdI//glcF//ilvI//malS//phoR//paaG//moaE//yjjZ//gabP//
TyrR-L-tryptophan_neg	glnK//nrfC//ubiA//amtB//arfB//sbcC//recF//argI//iraM//nuoF//nrdF//rybA//
TyrR-L-tryptophan_pos	ampD//nuoH//argI//
TyrR-Phenylalanine_neg	lacA//mntH//gspE//paaI//narH//fucA//gatB//malY//malZ//ulaB//glpF//rrfE//
TyrR-Phenylalanine_pos	yedX//ycjF//glcF//
TyrR-Tyrosine_neg	hypB//araE//priB//gabT//rpoH//frdA//garP//ubiG//mpl//cpdB//purA//cusR//
TyrR-Tyrosine_pos	lamB//rrsH//rcnA//
UhpA-Phosphorylated_pos	tdcF//
XapR-xanthosine_pos	ilvM//fumB//
XylR-Xylose_pos	fadH//csgF//qseB//nlpE//chbA//actP//
ZntR-Cd2+_pos	gltD//
ZntR-Hg_pos	uvrA//
ZntR-Zn2+_pos	actP//
ZraR-Phosphorylated_pos	metH//lacI//rutF//
Zur-Zn2+_neg	fes//nlpD//aaeX//ileU//lsrB//hofM//
