#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	mglC//srlB//
CRP-cAMP_neg	grpE//rrfD//ssuD//tauD//sdhA//ulaE//narQ//cyoE//ccmD//cynR//hyaE//degP//cysD//ydiU//araH//cydC//casB//fimH//bacA//pepT//rhaB//cynS//fau//aroA//alaS//rhaS//dadA//argH//rybA//rpoS//spf//dppB//phnG//gntU//csgA//xylR//guaB//nmpC//dnaA//astC//phoA//purB//phoE//cra//cstA//rbsR//csgC//ompW//rpsS//trmD//mgtL//sdhC//lhgO//patZ//ogt//oppD//nuoJ//rutC//pagP//cynR//argB//kbaZ//motA//dadX//qseB//aroP//trpR//paaI//cysW//rimM//cheR//ackA//sufS//zraS//yfiP//oppC//fur//hupB//hypE//hyfR//mhpT//talA//soxR//ackA//dadX//pflB//xapA//dnaN//sdhD//waaH//rrfD//casD//xylA//fadA//dnaE//mgrB//ompW//fumC//xdhB//zraP//amn//cysM//gspI//ogt//fadD//gatZ//paaJ//casE//bioC//rpoS//alaA//pyrD//malM//dadA//melA//paaG//puuR//dmsB//amn//rrlE//ulaA//melB//sdhB//aceK//cyoE//uxuA//gabT//rpsQ//fucO//deoC//glpD//nuoL//fecD//
CRP-cAMP_pos	artP//cusA//cspE//cyoE//dapD//gltW//aroG//dusB//puuB//cusC//ansB//tehA//pepT//phnK//aceK//chbF//deoA//torR//rseB//nuoC//ybiT//hisJ//tehA//grxD//malG//fhuB//oxyR//fliA//yhhY//nuoJ//lpxB//speB//nrdB//nmpC//hofB//hybO//yeaR//rpsQ//aceA//araB//paaJ//fimI//fecI//gcvH//casC//yhiD//polA//fnr//gltF//fadH//mhpF//ugpC//glcA//purM//sufC//uxuA//rutG//metN//hemL//atoA//nagB//nfuA//dkgB//ubiX//evgA//cpxA//cysA//ileU//nrdE//arfB//ydhV//uhpC//gutM//ybfN//fimA//galP//rbsA//folE//hyaC//rplS//narI//hyfR//serA//feoA//yecR//sufE//cadC//glpR//fucK//ascF//araD//ampD//rnlA//cysG//glnB//dppF//iscA//mdtC//gatD//ftnB//micF//avtA//ugpE//gdhA//ydeJ//dsdX//csgD//uidC//kbaZ//pstB//bcsA//hyaD//ptsG//artP//hlyE//epd//dkgB//lolB//mhpT//ulaB//hyfR//trxA//ilvH//pstB//grpE//lsrF//cysB//ugpC//emrY//argP//artI//hdeA//deoD//pflB//rrfF//ebgC//tap//malE//creC//rpsS//bcsZ//dusB//ccmA//treB//appB//rutD//glpR//csgC//thrV//hcp//cvpA//manY//gatZ//nanA//mhpE//creC//nikC//infC//ynfK//rrfH//fhuE//melA//moaC//zntA//tyrB//dadA//gntK//soxS//lpxD//sucA//metR//yibN//yfiP//yjeF//rutA//gutM//cydD//glcG//gltA//livF//umpH//fadH//glpG//icd//nanS//osmC//bdcA//yiaJ//mcaS//rseC//purF//rpmC//uof//yaiW//sdhC//ccmG//guaB//glnD//fadH//epd//fbaA//kbaZ//acrF//ubiG//manA//icd//fepB//ydhY//aroA//sdhA//ilvH//creB//hypD//miaA//csgB//fecA//nac//ryhB//ppiD//fes//hisJ//yoaG//abgT//hcr//hycA//sucD//alaA//sufS//rrlA//torC//hyfE//gatD//glnL//ppiD//gcd//ldtC//icd//sohB//feoC//cynS//ileV//yqjA//map//hypA//carA//ompW//fadL//fliZ//borD//ssuE//hybB//nirD//mgtA//cydD//malI//tnaB//metB//folE//dmsA//bcsB//gntT//chbB//frdC//codA//chbC//xdhC//gyrA//recF//nanT//yfeW//guaB//sodA//feoC//rrfE//ydiU//nikR//modC//entE//cynX//mhpB//rrlB//xdhC//ebgA//envY//napH//citF//hyaC//dsdA//rrfF//rrsG//paaI//rpmC//frdB//mhpB//creC//evgS//tyrA//arcZ//dapB//tsgA//ebgA//folE//malM//cpxA//malG//nac//rrlA//dppA//tolC//sufA//nuoF//astB//pck//glgP//ompC//rrsA//rprA//tdcB//fecC//aspC//prpC//yhcH//appB//nrdF//ilvN//xdhA//ccmG//glgX//glgC//xapA//rybB//mntP//ycjF//rcnB//ydeP//garK//hyfB//cas1//ssb//aceF//qseB//exbD//fhuC//glcE//rplB//rmf//rrsE//fucI//ydhW//tar//csgD//nuoB//gatY//moaD//zinT//serC//efeU_2//nanA//ptsH//xapA//hycB//lysP//ulaF//mgtL//comR//idnT//manZ//ybfN//artQ//hycB//gspO//gabD//narQ//glpT//cynT//galM//oppB//csgD//aroG//casA//rhaR//glpX//dapD//bioF//pheM//fdhF//phoP//metI//truB//ilvN//phnD//mhpA//fumA//paaA//gspD//cueO//bdcA//speB//phnH//paaK//rhaS//mhpB//fecD//fumA//cysM//phnL//napB//cpxR//sodB//nohA//tyrR//motB//rplB//ileV//envZ//glnB//trmD//aldB//cirA//nrdA//modB//ptsG//livF//betI//hypD//marB//hycG//metA//yaeQ//
ChbR-Monoacetylchitobiose-6P_neg	ompX//rdoA//rrlD//yjjZ//slyB//astA//
ChbR-Monoacetylchitobiose-6P_pos	uof//entH//yqjI//livK//moaD//citX//
CpxR-Phosphorylated_neg	lsrF//hybA//hisM//cusR//ilvX//napC//eda//rhaR//phoA//dnaN//chbA//paaD//ydeM//narI//gntR//tyrA//nuoM//fhuA//trpL//aceB//lacI//entH//mgtA//cysB//
CpxR-Phosphorylated_pos	chbB//glgS//ilvA//metB//frdA//glpB//sxy//fixC//marA//artI//glcB//atoD//yggX//cysC//nrdA//tsr//bdcA//fimE//metL//gntR//csiD//manZ//metH//yqjA//rplI//ahpC//rbsR//entA//rbsB//hycD//lldR//rbsB//copA//tnaC//uidB//ppiD//xylR//hybE//glpE//dppF//ydeP//gcvH//rpsO//zraP//sufC//
CreB-Phosphorylated_neg	marA//preA//cysC//
CreB-Phosphorylated_pos	prmC//rrfE//murP//aroF//glyA//hycE//
CueR-Ag_neg	mglA//tdh//ccmA//ppdD//ubiG//
CueR-Ag_pos	fis//argR//
CueR-Cu+_neg	ahpF//oxc//nrdD//hypE//malX//
CueR-Cu+_pos	ptsG//ydhX//
CuerR-Au_neg	phnI//dsdA//pepT//argH//uxuA//
CuerR-Au_pos	dgcZ//nupG//
CusR-Pasp_pos	uhpA//marA//ybdN//ydeJ//phnK//caiB//phnE_1//aroF//nuoH//cysD//yggX//galP//
CynR-Cyanate_neg	tehA//
CynR-Cyanate_pos	lldP//fimF//rrlC//
CysB-N-acetyl-L-serine_neg	sbmA//ynfH//argT//citG//raiA//aceB//baeR//
CysB-N-acetyl-L-serine_pos	waaH//oppC//gnd//hyfI//xapB//ugpQ//dmsD//fhuD//mhpA//ykgR//hybC//oppB//yhcH//nuoJ//xapA//cusS//cpxA//thrV//eda//casA//cyoD//glgB//ynfK//
CysB-O-acetyl-L-serine_neg	livM//ilvA//ebgC//sdhD//sufB//yfeW//yegH//
CysB-O-acetyl-L-serine_pos	argH//sdhB//nagB//fis//dnaA//dcuC//tam//pagP//gspF//infC//sdaA//srlD//atoD//psd//hha//dppB//nirB//tnaC//tktB//rplM//pepT//ydeN//feoA//rrsE//
DcuR-Phosphorylated_pos	yqaE//rimP//ychH//oppF//ygaC//ssb//hybE//dadA//talA//
DnaA-ATP_neg	pgpC//ybfN//feaR//ivbL//hycC//modB//rplI//sufC//yfdE//dsbA//fixX//
DnaA-ATP_pos	ydhX//casB//abgA//bdcA//hybD//baeR//fldA//
DpiA-Pasp_neg	sbmA//
DpiA-Pasp_pos	oppC//pta//fadJ//uraA//purD//gspK//purF//chbF//mdtD//puuD//
DsdC-D-serine_neg	fecE//
DsdC-D-serine_pos	infB//treC//
EvgA-Phosphorylated_pos	ulaB//xdhA//mntH//hycC//trg//argA//purL//ccmG//fucO//betI//trpE//comR//acrE//tnaB//dnaN//
FNR-[4Fe-4S]2+ reduced_neg	ilvL//chiP//ydiU//aroM//tadA//sucC//phnE_1//ssuD//pnp//treB//metK//cspE//ascB//argG//fdnI//cheY//atoD//lysA//mepH//puuD//atoD//moeB//ccmH//nanK//phnI//yjcH//gabT//tyrP//cysC//lrp//glnD//prpR//uhpC//recF//tdcE//glpF//fepB//phnP//rhaB//fnrS//puuD//narJ//fecA//arcA//ssuD//pta//mtlD//feoC//argB//gspE//moeB//ykgM//livH//gyrA//cvpA//yeiW//bhsA//lsrK//mhpA//hdeD//ilvY//rbsR//trpC//hybD//envZ//nirD//copA//icd//puuR//lolB//appB//nuoE//deoA//ydiU//cysG//garR//argO//phnJ//araF//ccmA//tnaB//ychH//malZ//gutM//tam//ccmB//hycA//gntR//allC//malP//ydeP//fhuD//edd//gspF//ynfF//appC//pagP//fimG//nagB//rpsF//yaeQ//manZ//glgC//exbD//atoE//dapD//fixB//rrfF//araA//aceE//hyaB//emrK//folA//rplW//hlyE//ydeA//ompC//cyaA//aroA//fldA//
FNR-[4Fe-4S]2+ reduced_pos	oxc//frdA//ilvH//malY//mzrA//marR//acs//nuoB//phnK//mutL//tauD//ung//ydhU//yegZ//rrfF//secB//rbsB//rpoH//artJ//osmC//rimM//lacI//argF//yedX//uvrA//hyfB//yfdX//hypD//rbsK//hyaD//hyaE//tadA//rpsC//dmsA//gutM//paaI//rutG//osmC//sucB//ptsG//gntX//alkB//glmY//acnB//acrE//iscA//cadB//tsgA//malQ//ycjX//gcvH//fecI//yrbL//gabD//purA//gatB//aceB//tyrR//xylR//focA//glnL//ilvG_1//fecE//bamE//spf//glpK//aceF//artJ//purB//cpxR//atoB//norW//cusA//pitB//evgS//rpsS//mgtA//yiaJ//cusR//glpD//pstA//degP//astD//aroF//mepH//rutC//ycjX//hpt//fimE//paaZ//nuoN//rrfE//rpsJ//waaH//sdhA//rutA//fecR//metJ//asr//moaE//betT//crp//soxR//manZ//fhuF//iraD//araA//preT//oxc//rrsC//rrsD//gspL//phoE//copA//cpdB//rutC//crr//osmY//iscA//yfdV//fis//cydC//exbB//dgcZ//cynT//puuR//dkgB//phnD//narX//feaB//cysA//cysI//degP//argH//ppdD//ompF//preA//ilvG_1//nrfG//rrlC//gabD//azuC//nrfF//tsaE//zntA//yeaR//fhuD//tadA//gnd//xapB//arfB//gspD//srlB//fhuF//truB//paaH//hycH//zntA//rnlB//malI//araE//rof//ilvA//glcB//gutM//mntP//nrdF//waaH//oppC//nac//gutQ//hybE//flhD//rpsI//ppiD//casA//rbsC//avtA//caiB//mtlD//idnO//xapA//dppB//agaV//hyfJ//dapD//ppiD//cynS//glgB//fdhF//rutG//artI//codB//cysN//napB//chbB//lsrR//pncB//chbB//tyrP//malX//livJ//
FhlA-Formate_pos	hyaD//fadH//galS//nuoN//aidB//argE//narG//mglC//tdh//bcsB//fnrS//hybF//phoQ//hydN//malM//hycC//phoU//mhpD//yibN//sufE//rnlB//glcA//cyoD//ubiX//glcB//alaA//gltW//hofN//rimM//tauD//
FucR-L-fuculose-1-phosphate_pos	gltB//ryhB//mhpE//trg//pgaA//cpxR//ccmD//
Fur-Fe2+_neg	erpA//entD//rbfA//dcuC//rutF//rpsQ//bglF//trpB//araB//lldD//bioB//gapA//mdtB//nrdD//mgrB//argF//nirC//prfA//rhaA//emrY//lacI//ebgA//livM//baeR//gabT//hybG//ydhX//cirA//uhpC//nuoA//envY//glpD//acrD//glcB//secB//moaE//skp//mtlA//lsrK//fucU//ssuB//lsrA//glpB//gntP//psiF//xylA//cynS//livG//amtB//glpC//dmsA//hofO//rutE//cusA//nlpD//preT//nirC//pheS//hyaF//mdtA//betI//ssrS//iclR//frdB//polA//amtB//grcA//malE//ydfN//nanS//tfaQ//tsaE//mntP//rbsR//nikC//ydhY//rnhB//tauC//ykgM//yeaD//oppA//rhaB//hofC//ftnB//bacA//kbaZ//gpmA//livF//ugpA//baeS//pstS//moeB//hycB//mglB//cstA//yjeV//melR//malS//efeU_2//malZ//araF//ydbD//hycA//uxaA//napH//nrdI//bioF//ccmC//fhuE//ptsG//narG//znuA//bcsC//mdtC//caiE//argE//xylA//ampE//oxyR//ilvA//yeiB//yojI//ulaD//epd//
Fur-Fe2+_pos	oppF//caiB//phnI//frdA//ompW//rprA//ygiB//pncB//fes//metA//ccmA//agaA//uidB//fdnG//mdtB//lysO//truB//fucR//glcG//narH//gutQ//paaG//gltT//caiF//hdeB//
Fur-Mn2+_neg	yidQ//malZ//sbcD//nrdH//casC//nrdI//nanK//glpC//ydhU//sucB//grcA//artI//cra//ugpE//hyfA//csgA//aceK//yfbR//mscM//hypC//yibN//uidA//hypF//hybO//lysO//citD//pck//yeiL//araH//gltW//mglC//gltW//entC//ydhU//skp//hypB//rpmC//hyfR//cytR//xylF//caiT//ilvE//ybjG//prpD//fbaA//yfiP//glnL//phoH//garK//mutY//xdhC//nmpC//ivbL//ldtC//oppF//nrdH//fliA//yhfA//sucD//hdeA//uraA//hycF//cyaA//sdhC//tonB//iraD//mglB//lpxA//hofN//hcp//fhuF//nrdG//nanK//uidC//rseA//paaJ//upp//galM//sohB//fdnG//waaH//yqjA//srlR//ssuA//chbA//ascF//hyfR//modB//nuoF//rrfD//glnL//hybF//pncB//cydD//malZ//fixC//dmsA//thrV//ascB//ilvH//garP//hyfR//gdhA//puuR//fucO//puuD//gspM//nikD//zwf//nuoC//metJ//yjeV//ydiU//prpR//phoH//tehA//entC//uxaB//mgtL//sbcD//uhpC//phoR//srlE//trpB//
Fur-Mn2+_pos	mtr//fdhF//gltD//aceB//yneM//ompX//tsaE//glnA//nuoA//fucK//pgaD//mdtC//csgB//argT//mntH//paaJ//argD//evgS//fimG//metC//dcuA//tyrA//dsbA//yaiA//metJ//
GlcC-Acetate_neg	zntA//
GlcC-Acetate_pos	rplP//gabP//ygbA//uraA//rpoS//fdnG//
GlcC-Glycolate_neg	phnO//
GlcC-Glycolate_pos	glmY//artP//ompT//hyfF//ilvE//moeB//
GlrR-Pasp56_pos	entB//
IclR-pyruvate_neg	dcuC//malG//phnL//hyfD//
IdnR-5-ketogluconate_neg	rrfG//hycF//fumC//
IdnR-5-ketogluconate_pos	ccmB//purC//ilvD//fadD//cusC//
IdnR-Idonate_neg	psiE//crr//dgcZ//
IdnR-Idonate_pos	ada//ftnA//mltC//recF//serC//
IlvY-2-acetolactate_neg	sodA//
IlvY-2-acetolactate_pos	rimM//
IlvY-Alfa-acetohydroxybutirate_neg	pitB//
IlvY-Alfa-acetohydroxybutirate_pos	purA//
IscR-[2Fe-2S]1+_neg	hdeD//aspA//tap//znuA//nuoH//pheM//gspO//dsdC//flhC//infC//pstS//lldP//torR//sucA//ulaF//glcG//ydhU//malZ//gltU//cysP//rrsC//prpD//cheZ//hcr//torD//ompW//glrR//puuD//gltT//phoU//
IscR-[2Fe-2S]1+_pos	hflX//rimM//yiaJ//metJ//truB//micF//carB//glcE//cydC//puuD//exuT//
LldR-L-lactate_neg	infC//pdeF//cydA//
LldR-L-lactate_pos	exbB//gabP//appY//
Lrp-Leucine_neg	nrdA//pitB//bioF//ilvA//fepB//livH//comR//zraP//yebE//nagB//fecE//bcsB//yhfA//tdcE//ugpC//purA//xseA//ryhB//mtlR//ompW//csgF//ulaA//rutG//trpL//nuoL//garL//astC//ybiT//ydhX//tsx//rrfD//yqjA//rutC//glrR//gspF//phnH//ydhX//carA//purH//gspK//bioD//fldA//rrfH//cstA//ada//phnF//araJ//mgrB//qseC//lolB//thrV//cirA//napA//gspJ//ndh//ahpC//glyA//trxA//slt//mhpB//ung//cysH//ccmA//aaeR//sdhD//mdtD//narK//rpsI//nrfG//rnpB//artP//rpsR//casA//dcuA//tauC//
Lrp-Leucine_pos	flhC//hyfC//pheM//yfbR//cdd//livK//rpsJ//appB//mdtC//glnK//fepE//csiE//iclR//pheT//caiD//fumA//emrK//adhE//glpE//ileV//lsrK//fimF//gadB//grpE//yfdE//yqaE//lldP//emrY//gnd//moeB//yhjA//ilvB//rybA//glpD//phoB//
LsrR_neg	csgC//paaK//hyfF//lldR//nupC//xdhB//nuoE//ilvB//rhaD//
MalT-ADP-Maltotriose_pos	tomB//fecR//fucA//torR//tsr//emrK//yhjC//sbmA//malZ//nanK//
MalT-Maltotriose-ATP_pos	argE//fhuE//nuoF//priB//sufB//chbB//atoE//hisQ//betA//leuE//
MelR-Melibiose_neg	ydhY//gabT//aroF//
MelR-Melibiose_pos	ygeH//ccmD//rrsD//
MetJ-S-adenosylmethionine_neg	moaE//nrfC//gnd//napB//cspE//napH//tdcG//aroM//srlA//metA//lhgO//melB//rbsK//rimM//puuR//
MetR-L-homocysteine_neg	yaeQ//dmsA//
MetR-L-homocysteine_pos	mtlA//argT//glpB//ilvG_1//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	nirC//purK//ileV//fimI//ydeJ//metB//
MhpR-3HPP_pos	gltD//cheA//glnL//metC//fnr//nupC//
MntR-Cd2+_neg	infB//metF//glgB//envY//
MntR-Cd2+_pos	rrfG//
ModE-MoO42-_neg	citG//malY//preT//ppdD//mhpA//cyoD//cydC//casC//mhpT//yciW//xylB//fdnI//oxc//psiE//astB//
ModE-MoO42-_pos	efeU_2//rrsC//hofM//srlB//oppC//betA//ilvI//betI//hofB//gltF//ssuC//caiT//uraA//mutL//pgaA//metC//gspL//uxaA//dppC//xylA//hycC//appC//glpG//aroM//yhjA//fixB//ynfG//erpA//ilvX//gspC//iraD//
NarL-Phosphorylated_neg	aspA//fadD//uhpC//hyfD//lsrR//entA//tnaC//bioA//nupC//rpsC//yccA//pheS//ftnB//edd//cusF//lacI//ascB//alaS//glcB//nuoM//folA//fadI//citF//gltV//icd//deoB//nrdA//mhpT//ilvA//hycH//ydhY//xseA//araH//agaW//flhC//citC//nikD//amiB//ileU//nrdF//ybdZ//fnr//cynT//deoD//cyoA//iraD//glcF//rrfD//fimA//purH//ldtC//paaG//fhuC//galK//fabZ//paaJ//tpx//ydbD//livJ//preT//flhD//malK//rbsK//fadJ//phoB//ackA//betB//mntS//entF//yeiB//dapB//mglC//cheA//yggX//xylG//gpsA//purF//ssuA//uraA//talA//rpsO//xdhB//allC//purE//ccmG//hybF//
NarL-Phosphorylated_pos	rstB//treR//murP//phnK//patZ//fimI//purC//garP//fixA//ulaA//malM//feaR//mpl//exbD//tfaQ//paaK//araB//metY//marB//cusF//tauA//ynfG//ytfE//rpsS//bcsC//ebgA//hyfF//betA//ogt//casA//cpdB//fliZ//hdeA//nrdB//hybO//narG//phnM//paaG//pdhR//ada//ada//iscA//norR//tdcC//psiE//bioC//
NarP-Phosphorylated_neg	argF//hmp//preA//purA//hybF//malK//ychO//glrR//sucD//gatB//mglB//marR//nagB//yfdE//yegH//atoB//ung//rplV//lacY//fldA//dadA//ptsI//fepD//nuoM//argA//uxaA//cysM//ldtC//paaC//qseB//fabZ//rplD//fis//
NarP-Phosphorylated_pos	galP//rpsC//efeU_2//metB//glnA//ilvD//betI//purE//prmC//rbsD//artJ//ulaE//ytfE//cynX//amn//yecR//napG//gyrA//csgC//narK//sdhB//sbcC//uvrA//bcsZ//fadH//ydhW//phnM//yeaR//rseB//yqaE//gadB//artJ//
NhaR-Na+_pos	cysM//nikD//rpsP//gatZ//soxR//
NikR-Cd2+_neg	tnaB//yggX//gspO//glpG//fimG//manX//
NikR-Co2+_neg	marB//gltT//sufE//sbcC//sroD//appB//
NikR-Cu2+_neg	moaA//preT//rplD//yedX//pgk//yfbR//
NikR-Ni2+_neg	fimA//rcnB//hyfC//motB//efeU_1//rplS//
NikR-Zn2+_neg	motB//hyfD//ssrS//chbG//araG//xylF//
NrdR-ATP_neg	nikB//ycjF//uxuB//ldtC//livM//yqjH//hybF//bdcA//yibN//
NrdR-Zn2+_neg	hycC//napD//hofB//pyrD//dmsC//glpQ//cyoE//tdcD//ydhX//
NrdR-dATP_neg	rplC//argR//dctA//hofO//bioB//qseB//ubiC//ugpA//artI//
NsrR-[2Fe-2S]reduced_neg	hycA//hybG//hyfH//mhpB//hemL//fimC//dppC//phoR//fixC//ssuC//agaV//rpmC//galT//lpxD//sodA//idnD//oppB//mscM//idnO//araH//moeA//alkB//proP//hybA//pncB//aspC//glpE//xdhA//hyfE//cynS//modC//yjeV//yibN//glgX//csgG//sbmA//rdoA//malZ//fdnG//mzrA//ilvA//nadC//gcvH//adiC//envZ//efeU_2//glmY//aaeA//aroL//ptsI//lsrG//rbsB//gntP//fnr//phnN//gltU//metB//torC//tdcE//tdh//ycjF//glmY//fadE//nrdH//mdtA//dpiA//ileU//rcnB//sdhC//galP//rhaS//melA//yaeP//
PhoB-Phosphorylated_neg	fiu//yfdX//hflD//ygbA//paaB//gnd//glyA//hha//oxc//carA//fimF//udp//gadC//
PhoB-Phosphorylated_pos	ygeH//nuoK//cysH//yjeV//moaB//malG//fnrS//secB//nikE//dnaA//betB//purR//osmY//hypE//serA//nagB//bamA//iscA//appB//cheY//hcr//emrK//tauD//rpoE//paaJ//yaeQ//fumA//ccmG//zntA//purM//prmC//torA//zraP//rpsF//lrp//napG//fnr//ugpE//nrdH//leuE//tdcA//cspE//nikD//purD//rcnA//cbl//glgX//rrfC//ydbD//ispE//purN//fimI//fadL//
PhoP-Phosphorylated_neg	phnE_2//fadJ//nuoK//patZ//araD//fecB//yeaE//rhaA//aceA//ybiT//psiF//
PhoP-Phosphorylated_pos	deoD//baeR//phnM//artI//tfaQ//sufB//hyfE//cas1//phnI//aldB//caiA//adhE//hyaB//nuoH//lldP//metF//acrE//edd//dppB//sbmC//dapD//srlB//agaV//gatA//hybB//tadA//yeiW//ssuB//ompX//hdeD//gspF//betB//glgB//cyaA//caiD//pnp//xylB//ydhV//astA//ydfN//yegZ//paaA//ileU//nirC//mgtL//hybB//fdhF//cysI//manY//
PrpR-2-methylcitrate_neg	dsdX//
PrpR-2-methylcitrate_pos	fucR//nupC//paaD//ydfN//
PurR-Guanine_neg	mhpT//rutA//rrlE//frdA//galP//cyoD//feoC//sufD//araE//aspC//sufS//lldR//phoQ//bioC//fdnG//torA//hofM//phnJ//gcvT//abgB//fumA//dnaN//hofC//yfdX//hyfE//hyaE//hypB//pstB//argB//dadX//glnL//nanC//glnL//cheY//
PurR-Hypoxanthine_neg	lsrC//metL//purF//priB//lpxD//secB//argR//melB//cysD//azuC//gspG//ulaD//cyoB//rrfA//rrfC//gspK//prfA//cpxR//tar//ahpF//appC//artP//degP//srlE//rrsB//rrlE//hypC//fhuC//nuoF//bioF//cusA//tdcD//envZ//metB//
QseB-Phosphorylated_pos	ansB//cdd//cynX//metF//
RhaR-L-rhamnose_pos	gatC//yeiL//
RhaS-L-rhamnose_pos	ydeO//ugpC//mepH//
RstA-Phosphorylated_neg	argT//nuoB//nuoA//rrfC//gspK//
RstA-Phosphorylated_pos	ptsG//lysO//fhuB//abgT//ssrS//
SoxR-[2Fe-2S]3+ oxydized_neg	gutM//
SoxR-[2Fe-2S]3+ oxydized_pos	ada//hisJ//dpiB//
TorR-Phosphorylated_neg	tomB//
TorR-Phosphorylated_pos	dmsA//mpl//evgS//ybfN//mgrR//paaE//oppB//paaC//yegR//
TrpR-Tryptophan_neg	purA//hycH//phoQ//bglF//yedX//sufB//fimF//fepC//truB//dmsD//prs//hyfI//
TyrR-L-tryptophan_neg	carA//astA//sdaA//tsr//lldP//fepC//ssb//rseA//phnG//trpE//allC//ptsH//
TyrR-L-tryptophan_pos	hflC//nanM//paaK//
TyrR-Phenylalanine_neg	ilvL//aceK//ebgC//aceA//atoE//ilvD//betB//ihfA//norR//idnD//puuB//pepT//
TyrR-Phenylalanine_pos	osmY//fadA//bamA//
TyrR-Tyrosine_neg	ugpC//manY//allC//rcnA//yhfA//dppD//borD//zraS//frdC//yccA//nohA//gltF//
TyrR-Tyrosine_pos	gntK//lpxB//fes//
UhpA-Phosphorylated_pos	gspK//
XapR-xanthosine_pos	galK//modC//
XylR-Xylose_pos	nlpD//rhaB//ilvH//uxaB//rhaB//psiF//
ZntR-Cd2+_pos	citC//
ZntR-Hg_pos	ydhT//
ZntR-Zn2+_pos	lysA//
ZraR-Phosphorylated_pos	fumB//entS//carA//
Zur-Zn2+_neg	tauD//marA//gnd//malF//aspA//nrfD//
