#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	cysH//glyA//
ArgR-L-arginine_pos	mglB//fur//nlpD//gpmA//gspI//
AtoC-phosphorylated_pos	ydhW//hofB//sucD//cynX//
BaeR-Phosphorylated_pos	katE//glgX//aaeX//gspF//ykgR//argI//purN//rplM//
BirA-bio-5'-AMP_neg	pdeF//hybB//aceA//codB//efeU_1//
CRP-cAMP_neg	ileV//nadC//ilvH//gntX//fliZ//ydeA//mglA//rbsK//ilvH//acs//glpA//uraA//ilvM//hypC//gabP//pdeF//nikA//deoA//sucD//creA//amtB//rpmC//cspE//casA//nanA//sucC//grxD//umpH//ydeM//cysK//rplM//nrfB//uxuB//fnrS//umpH//cysD//murP//sufD//cusC//bcsB//cpxR//gspH//nanT//cheA//araF//slt//prpB//aldB//zwf//gapA//fhuC//mutY//mepH//citD//rof//zwf//acs//phnC//sucB//bioC//ptsI//nlpD//malZ//chbF//ilvN//hybD//tauD//srlD//xseA//gspI//purM//bcsB//trpA//dppD//cbl//cusC//mdtA//rybB//fhuE//pstS//rpsC//fdhF//metJ//yjeV//rplT//sbcD//oppD//yrbL//ubiG//icd//cheR//ilvY//bglB//abgB//caiT//yhhY//ahpC//astA//ftnA//glmY//ryhB//narH//rhaT//hypB//prpB//rrsD//aaeR//ihfA//pagP//rplW//entH//cheB//ampD//glyA//hybA//ydiU//glpD//paaJ//trpA//moeB//fimC//codB//cra//purA//amtB//lacZ//nac//araF//fhlA//fau//ynfF//glnK//casA//
CRP-cAMP_pos	envY//torD//glgS//ssuA//borD//tktB//raiA//purA//rplT//cpxA//caiF//phnJ//tdcB//rutA//deoA//rbsA//rutF//gspI//ilvE//chbF//argB//cirA//purM//uxaA//appC//tsr//lsrA//metE//oppC//glcD//ampD//narG//rrsH//sdhB//cheB//osmC//fdnG//feoC//metE//pyrC//ptsG//preA//glnG//oppA//yaiW//appY//upp//tdh//katG//mzrA//aspA//aroP//argA//mdtC//lpxB//ccmH//nuoH//paaA//argH//betA//hisP//ebgA//efeU_2//rutF//modC//dppA//metF//rplB//ldtB//rrfG//slt//rrfG//fadL//araE//cysG//ompC//amiB//rpmI//phnJ//ydiU//crr//yjeF//yoaG//lpxA//cyoC//stpA//rpoS//casE//gatZ//pitA//hyfF//paaZ//infC//casE//hyfD//dmsD//yoaG//rpsP//atoE//prpC//kbl//ung//tnaB//tyrB//prpR//bdcA//ugpE//fur//fecB//cysU//sucC//abgT//rnlB//yfdV//hydN//moaA//gabP//fixA//ycjF//nuoE//pyrC//cspE//gatY//gltD//rutC//hyaC//mdtC//mdh//acnA//ydfH//citC//cysA//rhaA//sroD//uxuA//acrB//dmsC//nanE//bglG//yaeP//rdoA//codB//purB//psiE//argH//ssuE//cdd//alaU//fadE//narJ//tcyJ//tsgA//gpmA//chiP//mglA//fecE//gspM//ompW//bdcA//metQ//gltU//nuoC//glcD//efeU_2//tam//nagC//gltA//rnhB//idnD//cysN//xapB//yegH//tyrB//mdh//aer//glnG//gnd//hfq//glnL//ytfE//astB//fliA//garP//glnK//purE//dpiA//caiC//focA//adhE//rbsR//nanM//cheZ//deoD//gntR//rpsQ//trpL//emrK//fixB//glrR//aroH//yjeF//cydA//yciW//mntS//rrsD//fliZ//tyrB//exbD//pnp//asr//malQ//lsrK//rbsR//pyrC//csgD//aldA//flhD//prs//ygiC//nupC//narL//uhpC//yeaD//phnF//purF//gadC//nanK//cysD//moaD//udp//yaiW//osmY//tsgA//lsrF//hyfC//ubiX//mdtC//trpR//chbF//modA//dmsD//metL//garR//feoC//lsrG//atoB//lsrA//glgA//glcA//xylG//rplS//fhuE//putP//metE//appA//ssrS//ydeP//rpsP//moaB//argC//araH//cysB//amn//citC//citE//ugpE//tap//gltV//glpQ//sucA//baeS//cbl//acrD//betI//feaB//fnrS//nlpE//atoA//uxaC//pnp//manZ//xapA//dmsC//uidC//rrlG//gltW//idnK//cyoB//ftnB//mglB//mtlR//trpE//yfdX//ivbL//appA//nrdD//dpiB//fucP//nrfD//ubiX//mtlR//fimF//fecD//gntX//rhaA//cydB//nuoC//dcuS//mcaS//abgA//malP//phnO//csgC//rplB//ugpE//rplD//glmY//glcD//bglB//rplS//argA//cdd//fepC//napF//sdhA//hypE//gatC//gspE//dapB//metL//narQ//map//zwf//livG//torA//creB//tdcG//iscA//yqjH//lsrF//citG//hyfC//flhD//nanK//malI//alaU//yeaD//dpiB//nrfD//hofB//hybE//rpmI//nrfF//spf//argC//frdC//yibN//yneM//hflC//ccmG//fepB//malI//yfdX//gntK//mdtA//dmsA//cheB//mhpF//srlR//hyfD//yedX//ccmF//tauC//moaC//glnA//ssb//mntH//ynfG//melB//xdhA//aroA//flhD//bioF//ubiG//ldtB//tauC//cydB//galE//mtlD//arcA//rplB//gatB//rutF//preT//mhpT//uxaA//tsaE//argH//fadL//alaV//rplS//ydfH//dcuS//rpoS//mzrA//exbD//csgD//cpdB//iscR//preA//csgB//fepA//garR//cusA//uxaC//rutB//oppC//ulaE//purL//uxuB//ykgR//ompW//artP//nikE//mhpT//casB//cra//zraS//nupC//
ChbR-Monoacetylchitobiose-6P_neg	glcD//ugpC//malZ//xdhC//glpQ//cyoA//
ChbR-Monoacetylchitobiose-6P_pos	rstA//aldB//pgk//alkB//malF//rhaR//
CpxR-Phosphorylated_neg	hycB//fadJ//ivbL//gltD//lpd//rseB//cydB//purA//tsx//nuoE//gatZ//hflK//ilvY//aaeB//pck//yhjC//fabZ//yfiP//lsrF//ydeJ//fhlA//rrsB//fumC//mglC//
CpxR-Phosphorylated_pos	hyfC//amtB//lsrG//mgtA//ugpA//yjcH//yeaR//atoB//ada//bacA//argG//tomB//ubiA//rhaT//livK//cpxR//speA//uidB//fixX//sufD//nirC//pagP//qseC//fucU//trpD//nrdI//hypD//mntS//sodA//envZ//fliA//gspF//hisP//fucU//ispE//ugpQ//abgT//cysW//pgk//gspG//hyfH//safA//manX//lacZ//gspJ//
CreB-Phosphorylated_neg	hypB//ydbD//gabD//
CreB-Phosphorylated_pos	rplD//yeaE//rrlE//fadB//yegR//idnR//
CueR-Ag_neg	rhaR//hofO//gltB//hisP//entB//
CueR-Ag_pos	bioF//ykgO//
CueR-Cu+_neg	acnA//nirD//caiD//sufB//hypC//
CueR-Cu+_pos	allC//rbsC//
CuerR-Au_neg	citF//pta//uraA//cheA//creC//
CuerR-Au_pos	glpA//citE//
CusR-Pasp_pos	entH//nikR//tdcG//fadH//gltV//gcvT//ugpB//ispE//cbl//hyaD//aroF//qseB//
CynR-Cyanate_neg	treR//
CynR-Cyanate_pos	yccA//rhaT//cheY//
CysB-N-acetyl-L-serine_neg	uxaC//emrK//manX//gabD//codA//yaiW//csgC//
CysB-N-acetyl-L-serine_pos	malQ//ssuD//atoD//rrsD//marR//dmsD//glpD//gspK//prpD//lysA//fimI//cyoB//fhuD//hypC//slyB//metC//fumB//glpG//cynS//ydhX//yeaE//osmY//gntR//
CysB-O-acetyl-L-serine_neg	cysH//ubiA//fnr//fhuF//hfq//ynfH//ygiA//
CysB-O-acetyl-L-serine_pos	osmC//ompW//uxaA//mzrA//ynfG//metF//hofM//gapA//pgaC//argR//lysP//rrfH//agaA//csgF//sdhA//uvrA//ftnA//caiC//ilvA//nadC//rutA//acnA//dapD//gspI//
DcuR-Phosphorylated_pos	astD//gapA//ynfF//nanK//ybfN//sufD//yfdV//tauD//nrfD//
DnaA-ATP_neg	zraP//ydeM//nagC//uxuB//sdaA//chbC//araC//ugpC//iscA//rutE//dcuC//
DnaA-ATP_pos	dppA//yfbR//rrlA//lsrK//rrfF//lsrK//yjjZ//
DpiA-Pasp_neg	atoB//
DpiA-Pasp_pos	cheA//ilvG_1//entD//ydfH//aroP//frdA//purH//argO//casB//idnR//
DsdC-D-serine_neg	yhfA//
DsdC-D-serine_pos	uxuA//gspI//
EvgA-Phosphorylated_pos	sodA//glpQ//malP//ydfH//secB//stpA//nagB//cydB//tnaB//yiaJ//gspO//tomB//hflD//fau//ilvD//
FNR-[4Fe-4S]2+ reduced_neg	ydhY//citE//metI//iscS//abgB//hyfB//galM//cysM//hybD//ssuA//hyaB//yeiB//phnO//feoA//paaJ//purN//hybC//rrsD//fabZ//ugpQ//metE//nanC//ydeM//treR//rpoE//nikE//carB//tauA//torA//fadJ//gatZ//astC//hofM//lysO//fis//yfaE//paaF//metA//astE//gspF//crp//fhuA//purK//rhaA//glpC//cvpA//puuP//fadA//adhE//allD//argR//uhpC//mdh//fixA//fimF//metK//rprA//ybdZ//folA//phnF//rcnA//marA//glrR//fbaA//exbD//sbmC//ftnA//ybiT//pgaD//lhgO//proP//hycD//putP//citX//pstB//bioF//xylB//aroM//crl//rprA//ydfH//rpsF//dcuD//metR//ndh//bglB//paaB//soxS//adiC//argB//napH//deoA//proP//rpoE//rrfA//acnB//metK//gltV//narG//fhuB//fimE//lysU//betI//gpsA//codA//sufC//hpt//nuoJ//recF//efeU_1//fixB//icd//hflK//tdcF//rcnA//yhfA//lldD//garR//serC//paaG//
FNR-[4Fe-4S]2+ reduced_pos	fhuD//rpsC//mntS//hslJ//rhaT//acrD//ftnA//malS//fhuE//tdcE//ldtC//azuC//cynR//crl//csiD//acnB//tauB//bacA//amtB//uhpT//ndh//nrdD//lpd//bglB//rplD//ugpB//cheB//appY//chbB//malY//pnp//napC//alaA//hybE//aceA//ampE//gspE//yfaE//nanK//tonB//rrsC//fliA//phoE//csiE//gabT//xseA//norV//cysJ//fepC//rpmC//glcA//zwf//sufB//sodB//cusB//napH//cysJ//skp//iraD//feoC//ryhB//hyfE//rpmI//sucA//iraD//hemA//tdcB//rrsG//mhpA//dppA//secB//caiF//ilvA//grxD//rpsF//mglB//frdD//hyaD//chbR//paaF//paaI//envZ//nuoC//rplD//aroA//preT//nirD//ulaF//pitA//aidB//rrlG//cyaR//tsaE//rrsD//lhgO//rplB//mipA//hfq//rbsC//dapD//ccmC//tar//ilvC//aspA//glpF//lsrB//chbC//cas2//avtA//hybA//nuoL//gspO//sucB//metN//fimI//cusB//rrlA//ubiC//fnr//cpxR//cheA//nrdE//sucB//amtB//asr//lhgO//nikA//epd//lldD//ydhT//fecB//sucD//lysC//artP//rpoH//alkB//malF//alaV//fis//cysD//yneM//fiu//yecR//epd//gltF//thrV//feoA//purA//iscA//yaeP//metB//fur//nagE//ppiD//ascB//motA//sdhA//rpsR//infC//glcB//hyaE//rbsK//narH//cysU//truB//melB//mdtC//purC//lysO//livG//rhaD//paaF//rbsC//ampD//ugpC//pdeF//cysB//glgB//mdtB//pta//rpsR//betA//nirC//entC//carA//entE//tdh//glpB//rbsK//yaiW//mtlA//rbsB//zwf//galK//ivbL//stpA//ybjG//motB//ulaE//dsdX//yeaR//pnp//
FhlA-Formate_pos	glgC//recF//znuA//malI//ilvY//uhpT//yeaR//bamA//soxS//glyA//araH//feoC//gspI//cspE//marR//moeB//argG//bioD//nrdI//ygeH//mzrA//evgS//fecB//asr//galP//rhaA//ykgM//rplD//fimA//csiE//
FucR-L-fuculose-1-phosphate_pos	trpB//fabZ//manZ//metB//caiA//yjeV//ampD//
Fur-Fe2+_neg	yedX//aspC//yrbL//ydhY//fau//appB//creD//aaeA//ebgC//lolB//ilvE//gdhA//rrfF//glpA//motA//rmf//rhaT//dppB//yrbL//ascB//acrE//hybE//gntP//manA//livM//lsrD//citG//gatY//tyrR//sdhC//phnL//trpC//skp//talA//zraP//ugpB//frdD//rrlH//glnA//abgT//ydhV//ygaC//nuoB//tdcF//rplD//deoC//moaA//creD//fumA//putP//rhaB//nagA//lacA//modC//nikR//ydeO//znuC//hybC//rrfD//bcsZ//tdcF//rplS//uhpC//hemL//sodA//ynfH//fiu//nrdG//gltD//ychO//gcvT//cyoB//fadL//glpQ//preA//atoB//hlyE//hycF//xapA//hyaA//sufC//dnaN//metK//dsdX//rutB//uhpA//alaU//fhuF//xdhB//psiE//truB//dpiB//modB//glpC//fepB//ydhU//gapA//srlB//lpxA//glpR//gspI//speB//ssuC//lsrR//fucU//allC//cyoD//yaiA//nuoM//cysI//fadI//yeaR//paaZ//hlyE//caiT//yeiB//yaeQ//chiP//yegH//rutB//manY//idnR//appX//fldA//
Fur-Fe2+_pos	fhuF//glcA//araF//skp//uidC//cyoC//rutF//bioB//hybF//tar//tsx//ynfE//mhpR//fldA//pnp//ftnB//napC//rstB//ykgO//uof//rpsS//yhjC//umpH//phnH//lysU//
Fur-Mn2+_neg	gltD//adhE//ftnA//csgD//tam//creB//tolC//safA//fimD//gspH//aspA//hisP//dsdC//rbsR//frdB//nuoK//nrdI//ychO//uhpT//trpR//appB//hyaF//cusS//sodA//yegZ//metA//cysI//allD//hemA//ybdN//flhC//hybD//tfaQ//ilvB//argA//phnO//qseC//nanT//gatA//micF//rpoH//glnA//appA//fhuF//nikC//mhpA//frdD//lpd//citF//aaeA//cysD//ybiT//caiT//nanE//araC//erpA//cysG//acrA//entS//hofM//lpxA//metH//nikE//paaD//modC//rbsB//rimM//tolC//purH//serC//ygiB//tauB//citX//safA//ampE//csiD//folA//sufE//yeaR//caiT//recF//yegR//lrp//hofB//ptsH//soxR//aroH//paaZ//trpC//artM//pitB//ulaC//bglG//mepH//cadB//ilvN//nuoB//ugpE//ynfE//caiF//lsrA//paaB//manY//nikD//feaB//yebE//aaeA//dppF//flhD//folA//nikR//tnaC//hypD//alaT//iscA//cueO//glnA//yeiL//carA//arcZ//tehA//uvrA//metN//fes//
Fur-Mn2+_pos	fecC//ebgC//cysU//osmC//sufC//crr//moaC//ung//talA//puuD//nrdF//caiA//rrfG//hybB//astA//nagC//gspJ//hemL//glpG//aidB//ileT//dps//mgrR//rrsA//ydiU//
GlcC-Acetate_neg	metH//
GlcC-Acetate_pos	nuoG//tauD//cyoB//rstA//crp//mdh//
GlcC-Glycolate_neg	atoB//
GlcC-Glycolate_pos	tfaQ//fdnH//crl//ubiG//astC//alaU//
GlrR-Pasp56_pos	pdhR//
IclR-pyruvate_neg	napA//cadA//ytfE//cpxR//
IdnR-5-ketogluconate_neg	napH//hybB//gltT//
IdnR-5-ketogluconate_pos	yedX//hcr//asr//nrfC//nuoC//
IdnR-Idonate_neg	rrsE//nfuA//manX//
IdnR-Idonate_pos	hyfA//nuoB//glpE//trmD//nrdD//
IlvY-2-acetolactate_neg	xdhC//
IlvY-2-acetolactate_pos	iclR//
IlvY-Alfa-acetohydroxybutirate_neg	entH//
IlvY-Alfa-acetohydroxybutirate_pos	mtlA//
IscR-[2Fe-2S]1+_neg	mgtL//ilvL//rpoE//garR//creB//acs//appA//glpD//lsrD//ptsH//bglB//feoB//cueO//garP//paaJ//feoA//ssuE//nuoE//znuA//ogt//zraS//acnA//pstC//hfq//yaiA//tolC//hyfH//yrbL//bhsA//uof//
IscR-[2Fe-2S]1+_pos	atoD//nupC//chbF//hycF//fhuC//gntK//bacA//purN//yfaE//phnP//icd//
LldR-L-lactate_neg	mscM//spy//pgaB//
LldR-L-lactate_pos	yeiL//lsrA//fdhF//
Lrp-Leucine_neg	rprA//chbB//entA//bglB//ilvN//allE//trpD//rhaT//chbF//gutQ//rpsC//rpsJ//caiE//phnC//araC//gspJ//baeS//cadB//metR//ilvN//moaC//xdhC//motB//pyrD//sroD//agaV//ryhB//uxuB//nrfA//csiE//livG//mcaS//araD//yeiW//phnD//carB//gspM//mhpD//pepT//osmY//preA//dgcZ//xdhA//ubiG//preA//preA//ebgA//gltT//melA//ysgA//bglF//prfA//trxA//fdnG//gspO//rrlE//mhpR//yeiL//cyoC//gltU//entB//rhaS//amiB//zwf//yhcH//rbsA//dsbA//tap//aaeR//glpQ//hflK//ubiA//hybA//nanM//manY//
Lrp-Leucine_pos	paaI//fhlA//exbD//ilvA//flhD//gspM//oppB//narX//ygiB//prpB//oppA//glpE//dmsC//fdnH//fepB//pheS//hflX//galM//tdcA//rimP//aroM//gltB//hofN//gspH//uhpB//ydhX//entA//tomB//fadL//tadA//trxA//crp//fliA//paaE//fadI//
LsrR_neg	pheS//dpiB//hycA//hfq//aaeX//iraD//argA//sufS//feaR//
MalT-ADP-Maltotriose_pos	phnN//narK//speB//hyfG//yaiA//psd//ygbA//xdhA//dcuS//puuC//
MalT-Maltotriose-ATP_pos	yedX//metY//ynfH//pgaD//caiD//yggX//xapB//napC//lamB//bhsA//
MelR-Melibiose_neg	trpC//aroA//rbsB//
MelR-Melibiose_pos	lldR//cusA//nuoK//
MetJ-S-adenosylmethionine_neg	truB//frdC//pdeF//gspF//araB//lpxB//truB//actP//fimE//glcC//rpsF//cysC//sufE//ompA//rplP//
MetR-L-homocysteine_neg	chbR//hydN//
MetR-L-homocysteine_pos	aroM//gpsA//csgD//rplB//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	znuB//glcF//hflC//prmC//yaiA//ilvI//
MhpR-3HPP_pos	csgA//malM//casC//ybjG//rpmC//tomB//
MntR-Cd2+_neg	purK//hdeA//rrsC//baeS//
MntR-Cd2+_pos	manX//
ModE-MoO42-_neg	gntX//ynfK//sdhA//glpB//spf//hyaB//garL//bioC//nohA//gltW//fadJ//yeaR//hisP//nikE//rseB//
ModE-MoO42-_pos	yaiA//micF//purA//zntA//glcD//cysJ//rhaA//uidB//metF//casD//rrfD//flhD//nikB//astA//lacI//rrfD//phoH//caiE//dppB//lsrK//cusB//phnO//lldP//trpB//pgaB//frdC//rstA//miaA//dgcZ//ompF//nikE//
NarL-Phosphorylated_neg	casB//sucB//bdcA//cydD//appY//glpR//hybA//psiF//glgP//rof//gspK//ilvX//grxD//metR//aceE//moeA//yeiB//pstC//arfB//fimH//mtlD//gatC//ptsI//bglG//rmf//xseA//tyrR//paaG//galT//fepA//grcA//cadB//sdaA//rrsB//betI//katG//napD//fimA//atoA//infB//fumB//glgA//araD//nlpE//ynfG//uhpB//phoR//rrsG//araH//mntP//aroM//dsdA//sucD//yhjA//pdeF//evgA//nirC//rrsA//murQ//cynS//appC//oxc//ubiC//allC//lysU//tyrP//rplI//garK//hofP//srlD//glcD//nmpC//artI//fecD//metA//metE//ydhY//cyoD//sbmA//mhpD//uraA//micF//abgA//cyoE//bdcA//purK//
NarL-Phosphorylated_pos	edd//gspM//araG//cysW//aldA//hybB//fimC//yeaE//tdcC//malX//ilvM//ybdN//cspE//rrfH//astD//yecR//abgT//ydeO//mhpB//srlD//fecB//manZ//gspD//tdh//livH//efeU_1//nrdB//fliA//alaT//dpiB//atoD//yggX//casB//metB//mltC//gutQ//xylH//garR//kbaZ//folE//ulaE//nagA//hycF//oppD//phoR//lysO//
NarP-Phosphorylated_neg	hofC//trpE//ydhV//malY//sufB//ydeM//purK//glgX//yciW//nagC//hypA//hyfD//tdcC//fepG//rrlB//rseA//glcE//chbC//hdeA//phnG//zwf//agaA//eda//tnaA//cadC//nagC//guaA//creB//citE//aroA//gspE//gspD//fnr//
NarP-Phosphorylated_pos	cadB//zraP//dusB//hycH//ilvG_1//ryhB//fepE//iraD//cspD//modC//rhaD//ykgO//ydeJ//manY//tomB//baeS//phnO//hyfF//rpsF//yebE//rplC//hisP//paaB//bioA//pta//yjeF//glrR//lsrC//hisP//rpsI//nanC//cysD//
NhaR-Na+_pos	sufB//norW//rplS//lysO//torC//
NikR-Cd2+_neg	arcA//glnD//dcuA//rrlH//rpsQ//purF//
NikR-Co2+_neg	yhfA//entD//bcsC//fdnH//mlc//modA//
NikR-Cu2+_neg	ssrS//speC//exbD//pdhR//frdC//ydhW//
NikR-Ni2+_neg	cysD//nuoH//prmC//dapB//ccmA//hisJ//
NikR-Zn2+_neg	glcD//carB//bglF//cheA//melB//hybO//
NrdR-ATP_neg	fixB//hofB//yhjA//kbaZ//azuC//dadA//citC//narJ//comR//
NrdR-Zn2+_neg	sucC//glnL//glrR//nrfG//dcuA//infC//sdhD//rrlD//ccmE//
NrdR-dATP_neg	rrlC//glpD//cynS//rbsC//ispE//napB//arcZ//rpsF//nikD//
NsrR-[2Fe-2S]reduced_neg	ompX//hyaE//hyfC//aaeR//sucD//gcvP//ydhW//fimI//sodB//gspH//ascF//ycdZ//hofB//rutB//ydfH//appB//uhpB//phnI//rrfE//narK//fadI//hmp//allE//map//entB//fixB//rrfB//hflD//skp//yjeV//alaA//deoD//fhuC//dmsC//glnG//astB//phnC//sroD//tnaB//sdaA//manA//tehA//lacY//fecC//aceK//hyaC//folE//rbsK//cheR//prs//argP//chbF//napA//soxR//patZ//aer//ybdN//ilvE//fadL//sucB//tdcA//malS//gltV//citC//ebgA//dnaA//lacA//psiE//tyrR//acrF//pgpC//argP//glpA//
PhoB-Phosphorylated_neg	glpA//yfdE//yeaR//ilvN//manZ//frdC//livF//cysU//hycE//spf//csgC//infB//gabP//
PhoB-Phosphorylated_pos	araD//casA//xseA//puuC//carA//dadA//chbA//yoaC//lsrB//narX//cdd//nuoM//tdcA//rrlG//ispE//ihfA//soxR//secB//cusC//dmsC//nac//fucP//glcB//srlE//hybF//gdhA//puuC//metJ//avtA//hcr//gltU//nlpD//ilvG_2//slt//yebE//infB//malX//lysC//yqaE//hyfC//focB//fadB//aidB//fimA//gspE//fixX//uxuB//sbcD//rhaS//malM//cydC//xylH//xapA//
PhoP-Phosphorylated_neg	rrsH//ycjF//emrY//fes//yfbR//soxS//hyfC//ydeA//mgtL//rpsO//exuT//
PhoP-Phosphorylated_pos	manZ//mhpB//purB//pncB//fbaA//grxD//citF//araD//osmY//nuoE//ompT//lsrA//yibN//nikA//udp//mhpT//ycjX//ilvL//sdhB//purA//lysA//rhaD//feaB//nuoE//pheT//mglB//mntP//yeiP//gcvH//fhuF//xapA//ygiA//gpmA//purB//ybiT//glgX//mtr//purK//rpmC//ahpF//efeU_2//purL//glnA//fimF//hycA//yfaE//yqjH//citE//ppdD//
PrpR-2-methylcitrate_neg	nlpD//
PrpR-2-methylcitrate_pos	pta//yjiY//iscA//rrlH//
PurR-Guanine_neg	nlpD//dsdA//feoA//puuE//fucI//fucO//ccmC//bcsB//dctA//hdeA//purN//znuC//pstS//sdhC//rpsJ//uxaC//fecC//nrfA//uxaA//metJ//uidC//modB//purA//fucI//tdcE//rutB//talA//rplD//lysP//ykgR//gntX//ykgR//hybO//phnJ//
PurR-Hypoxanthine_neg	osmY//paaB//hycA//rprA//glpF//metI//hypB//glnK//bglB//nagC//ssuB//tauD//ybfN//oppA//rrsD//rcnA//aroM//dsbA//rplC//xylR//gabT//dpiB//znuC//galM//gspK//gspE//metY//uxuB//hofP//efeU_2//nupG//ccmE//ydeO//rrfE//
QseB-Phosphorylated_pos	epd//trpR//casC//ulaB//
RhaR-L-rhamnose_pos	bhsA//metQ//
RhaS-L-rhamnose_pos	rprA//gspG//gcd//
RstA-Phosphorylated_neg	entE//fepA//araF//tdcD//glpD//
RstA-Phosphorylated_pos	infB//dcuA//araJ//fucO//mtlR//
SoxR-[2Fe-2S]3+ oxydized_neg	hofC//
SoxR-[2Fe-2S]3+ oxydized_pos	dsdA//glyA//araG//
TorR-Phosphorylated_neg	napC//
TorR-Phosphorylated_pos	ftnB//ynfH//lacI//adhE//fecB//ampE//cydB//trpD//hofM//
TrpR-Tryptophan_neg	yegZ//entE//cysJ//nuoM//fimI//envY//hypF//ppdD//ahpF//cusS//nuoL//rbsD//
TyrR-L-tryptophan_neg	norR//icd//sufB//hofC//prs//lsrD//dapB//ygeA//ydiU//cheA//yhjC//ccmF//
TyrR-L-tryptophan_pos	mdh//dsdA//cusA//
TyrR-Phenylalanine_neg	phnJ//gspE//entB//glpD//narL//fepE//ubiG//zwf//phoU//hfq//fhuF//metH//
TyrR-Phenylalanine_pos	hyaD//ebgA//abgT//
TyrR-Tyrosine_neg	aceE//safA//tdh//moeB//ubiC//rbsC//gntP//guaB//paaH//dpiA//mdtA//fucP//
TyrR-Tyrosine_pos	yjiY//mdh//carA//
UhpA-Phosphorylated_pos	mdtC//
XapR-xanthosine_pos	yhjC//hyaB//
XylR-Xylose_pos	dapD//alaS//focA//hypF//ansB//dctA//
ZntR-Cd2+_pos	lpxB//
ZntR-Hg_pos	nrfG//
ZntR-Zn2+_pos	aspC//
ZraR-Phosphorylated_pos	yeaE//exuT//fucO//
Zur-Zn2+_neg	bioF//gntP//uxuA//ascF//fimD//hyfD//
