#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	metA//tdcC//
CRP-cAMP_pos	dcuA//gcvP//sodA//aaeR//torD//ydeJ//hofC//adiC//rpoS//hypC//speA//yeaD//fadB//yeaD//tdcB//hisJ//ilvN//gltW//rmf//malK//katE//aer//tnaB//exuT//uof//ompC//hyaB//hyaE//purN//ydfH//hybD//fdnH//argD//aaeA//ssuA//ilvI//talA//frdA//bcsZ//fumC//atoE//hyfH//rplC//tdcD//icd//glpD//hflX//rbfA//fixB//acrE//glpE//rpsJ//cheA//hybB//gltU//metH//rrlH//lhgO//lsrA//ilvG_1//astD//lacA//gltD//mpl//rpsJ//ykgO//cspD//hdeA//yeiP//nrdF//uvrA//nuoF//glnD//glgB//yqjA//argC//udp//qseC//nupG//ilvN//tap//kbaZ//gspI//lsrC//fecD//glpB//ydeO//galE//hycE//hemL//pflB//fnr//phnL//comR//stpA//mhpF//idnD//trpA//hybF//fecI//fepE//lysC//eda//aceA//ssuC//nac//sbmA//ycjF//yrbL//yegZ//malX//trpC//purA//gutM//srlE//torR//speC//ykgM//gltV//sbcC//sucC//amn//modC//efeU_2//ivbL//rpoS//phnN//xdhB//malG//ssuD//citX//nrfD//tar//glpE//phnH//fecA//malX//paaC//lsrK//xapB//nupC//ubiA//zraR//malM//rplD//lpd//mhpT//ulaB//sucB//zntA//gcvP//marA//glpK//csgC//prpB//nrfF//caiB//hha//yegZ//acnB//prs//phnK//bcsB//galS//galK//cheB//glcB//rrfE//cheB//lsrR//nanC//leuE//hyaA//dcuR//ispE//cueO//flhC//ydhU//crr//avtA//lhgO//gltV//rrfC//aldA//hisQ//fis//gadC//envZ//phnL//nikB//hisJ//bcsC//trxA//grcA//rplD//cusF//purC//glpG//rrlA//garL//paaB//nrdB//yfaE//borD//spf//avtA//betB//araB//yojI//prfA//ubiC//phoA//feoB//fecR//fepA//creC//cynT//cysG//skp//dkgB//nrfC//fadJ//fadE//cynR//oppC//fabZ//ampD//ilvE//gntP//murP//citG//zraS//fdnG//mcaS//nanA//modA//frdB//ydeM//rpmC//ybfN//mipA//ccmH//mcaS//yibN//leuE//aceF//casE//pnp//rhaR//moaC//fecC//tdcB//rplP//fumA//narQ//ebgC//sucC//torD//pgaD//gntX//abgB//dadA//rbsR//phnH//artQ//fecR//efeU_1//hdeA//trpC//mhpB//sdhB//sufD//ydbD//fdnH//ycjF//galK//trpR//metE//rutG//serA//mgtL//speB//phnM//ilvY//rplT//motB//bglF//yhcH//purA//fau//rrsA//malP//alaS//marR//metJ//feoA//entD//iscR//oppA//metH//aspC//hcp//galK//deoC//dsdA//gabT//yneM//appA//yaeQ//ugpA//fadB//rcnB//pheM//lrp//prmC//mtlD//carA//icd//nrfC//exbB//soxS//lacY//ydfN//nrdB//gltU//srlD//nupG//rutC//betT//acnB//polA//prpR//mtr//hypD//erpA//nuoB//gspH//pflB//appC//fecI//torA//pitB//skp//xylH//fixX//uhpB//cra//hyfE//cysB//ilvB//cusC//gspI//abgB//asr//purK//tsx//tdcC//znuA//purN//moeB//avtA//paaF//abgT//phoA//ugpE//pflB//rrlD//focA//fecE//pgaC//sohB//fucU//putP//ynfF//pagP//phoH//treB//aidB//cusC//gatC//umpH//phnE_1//cas2//fimC//uxaA//ydeJ//fimC//psd//pgpC//hisM//cynR//ulaB//zraP//rhaT//tauB//ileT//galM//ycdZ//citE//cysM//manA//trpB//purK//fucK//entD//metF//citD//gspJ//mntH//gutQ//pflB//rhaA//srlA//aceK//sodA//mhpT//yrbL//mltC//zraR//aroH//malY//phoE//astE//feaB//hdeA//trpC//hemL//fixX//osmC//
ChbR-Monoacetylchitobiose-6P_neg	modC//qseC//gspI//alaU//mglC//lpd//
ChbR-Monoacetylchitobiose-6P_pos	nrdH//ahpC//purN//moaD//bglB//folE//
CpxR-Phosphorylated_neg	entS//phoP//narL//yhfA//ulaB//bioB//citG//sxy//puuB//hisQ//ilvD//fucU//hyaB//fhlA//gntX//fes//yfbR//fhuA//yhcH//aceB//ydbD//fucK//rhaB//rrlH//
CpxR-Phosphorylated_pos	ygaC//gcvH//copA//tdcG//dpiB//atoB//phnD//rmf//ssuB//sroD//rhaT//rplV//mtlA//frc//pnp//rprA//dsdC//mpl//glpX//mtlA//ygiC//tauA//tolC//abgA//garR//borD//hypA//soxR//rybA//zinT//asr//metJ//malQ//aspC//ileT//araH//fepB//bcsA//nuoL//glnG//glnA//hdeD//preT//frdD//malM//
CreB-Phosphorylated_neg	hyaA//norV//ycdZ//
CreB-Phosphorylated_pos	fecC//cusA//phnI//rpsC//nrfF//hyfC//
CueR-Ag_neg	mhpB//fhuC//glcE//argO//deoA//
CueR-Ag_pos	hybF//rnpB//
CueR-Cu+_neg	zinT//metQ//ydhT//fhuF//hisJ//
CueR-Cu+_pos	norR//flhD//
CuerR-Au_neg	thrS//lysA//gntR//nlpE//rutD//
CuerR-Au_pos	malQ//hyfF//
CusR-Pasp_pos	ptsG//soxR//metN//araF//ompT//tdcC//ydhX//moeB//ptsG//gltV//uidA//cyoA//
CynR-Cyanate_neg	glpQ//
CynR-Cyanate_pos	rrlA//cydA//glpQ//
CysB-N-acetyl-L-serine_neg	fliA//mtlD//purM//astB//nikD//aceE//csgD//
CysB-N-acetyl-L-serine_pos	metY//gspD//malI//rpoE//yjjZ//betA//ftnB//phnI//pstB//fhlA//yjeF//fabZ//hyfR//znuC//ahpC//xseA//yjiY//citC//ydhU//caiE//xylH//alaV//cysD//
CysB-O-acetyl-L-serine_neg	rpsO//livH//mhpT//tauD//hydN//mltC//hofP//
CysB-O-acetyl-L-serine_pos	folA//ubiC//mhpB//nanC//paaF//thrS//phnD//kbl//ydiU//cydB//nrfC//tsr//paaE//artQ//cydA//rplP//cpxA//cstA//rrfC//lysO//hybC//hypD//oxyR//pnp//
DcuR-Phosphorylated_pos	rnlB//gspM//cydC//glcA//artM//baeR//gcvP//nikC//agaW//
DnaA-ATP_neg	cueO//ygeH//metL//malG//artI//xdhB//mglA//agaA//ydfH//ampE//fadA//
DnaA-ATP_pos	crr//osmY//metK//hycG//qseC//motB//yebE//
DpiA-Pasp_neg	fepA//
DpiA-Pasp_pos	csgB//csgE//bioB//bamE//proP//ynfK//tadA//livG//ppiA//bamE//
DsdC-D-serine_neg	yegR//
DsdC-D-serine_pos	gspE//qseC//
EvgA-Phosphorylated_pos	kbaZ//hypB//ybiT//gltT//artQ//trmD//gnd//astC//gspJ//feoB//norV//feoA//glgB//purM//mtlD//
FNR-[4Fe-4S]2+ reduced_neg	rrsH//ygbA//mhpD//glnA//acnB//cheR//ychH//tdcE//rhaR//pnp//pgpC//ilvD//hfq//rcnA//abgA//lsrG//phoE//prpB//alaS//nikE//fucU//tnaC//skp//uraA//yfaE//nohA//fau//napG//puuE//yhhY//glgB//ompW//lysU//dcuC//torA//grpE//ccmF//ilvI//gatA//cynT//livM//yeiP//efeU_1//nagA//paaK//baeS//hybO//hyfH//tnaC//baeS//trpE//cyoE//zwf//appX//gspI//nuoI//fepB//fepD//dcuR//hha//malX//baeR//yoaG//fixA//sufA//arcA//qseC//yoaG//oxc//hmp//rrsB//ykgO//efeU_1//sodA//sufE//nirD//hybG//paaE//lpxB//yjeV//azuC//napD//tnaB//fimC//tyrR//ubiX//rybB//gspJ//glpA//adiC//xylA//hofB//malT//ccmA//trpL//cysG//rbsD//serC//umpH//caiC//ilvY//crr//galE//csgC//uvrA//hybO//proP//mgrR//rybA//serC//araG//ssuB//ompW//feoC//moaD//aceB//ilvL//glcF//gatD//aroP//
FNR-[4Fe-4S]2+ reduced_pos	abgT//melR//yccA//araD//rplM//yoaC//appA//arcZ//pnp//agaW//phnJ//purN//rnhB//srlD//tdcG//oxyR//yaiA//atoD//ldtC//phnH//gntR//agaA//acrE//rutF//fiu//cydD//torR//hdeA//sucA//manY//rpsO//ilvB//moaB//dadA//astB//yaiW//betT//ilvM//malG//uraA//yeaR//marB//gatC//cas2//cysH//cyaA//gcvP//paaZ//ulaF//fepB//purC//hybA//sufE//atoE//malY//galT//fecI//dcuB//sufS//pncB//rnpB//iscS//znuC//paaZ//gspK//astA//cynT//fadD//creC//deoB//pnp//rpoS//dmsD//feaB//acs//appB//rrfA//adiC//yegR//glgP//hyaA//srlR//purF//nanA//yhiD//dgcZ//frdB//rrsB//ynfF//mhpC//puuE//aroM//exbB//mhpT//purF//glpC//dmsA//lysP//fabZ//paaA//purN//purM//hyaD//feoB//yegZ//malT//mtlA//infC//marB//modC//fimE//rrlH//fecR//skp//aspC//chbR//cydD//sbmA//actP//focB//ompX//psiE//hyaD//lacI//baeS//aldB//iscR//trpD//yciW//nrdF//ugpA//prfA//tauC//alaS//ilvE//nanC//rrsH//rof//bhsA//casB//rrlA//puuB//guaB//ynfK//mhpC//dmsB//ptsG//nanC//dsdC//fecB//aspC//carA//rrsB//yhfA//rprA//phnO//grxC//nuoJ//malE//spf//nuoM//artM//ulaA//cysW//trpD//degP//rrlG//gapA//cyoC//yeaE//paaE//phnO//glpR//purH//rseA//sohB//fliZ//glpB//ftnA//mtlR//trpB//trpA//ileV//moaA//hyaC//glmY//hyfB//flhD//ebgC//ivbL//prmC//nupC//cynR//iraM//artP//tdcC//phnD//mipA//ung//fepG//zraS//cstA//
FhlA-Formate_pos	oppB//ahpF//gspH//ychH//rof//fucU//tomB//xapA//sodA//ygbA//fimG//cysC//fecC//glgB//rnlB//idnT//fiu//tnaC//phnC//norW//lacI//yhjC//ptsG//yfaE//citX//dppC//paaI//trxA//rpsJ//allC//
FucR-L-fuculose-1-phosphate_pos	araC//pstA//ileU//uraA//livM//frc//nirD//
Fur-Fe2+_neg	hmp//csgD//cspD//amn//tonB//caiT//glgA//rutF//mzrA//rcnA//borD//ilvX//dmsD//galK//rbfA//xylR//grpE//mdtC//lsrR//fixB//uxuB//nikD//rprA//prpD//ugpA//srlA//nuoA//caiC//hycG//cysW//xylH//sufB//agp//ydhU//fucO//mntH//slt//rrfA//glpF//arcA//fecD//uhpC//aroP//appC//cadA//pgk//fliA//ileU//rbsA//fnrS//phnI//hdeA//galP//yoaG//livG//mtr//amtB//efeU_1//araE//csgE//gcvH//rnlB//phoH//ccmH//cvpA//deoA//deoB//galT//nirC//patZ//cysC//nagE//fhuD//hybD//yeiP//glpR//bcsA//gspM//gspM//narI//yfdX//rrfF//lsrF//nuoE//hybA//fau//sucD//speA//pflB//rpsP//hcp//alaT//cysK//micF//modA//udp//fepA//hypE//melB//csgD//phnF//ilvG_2//aroG//rpsR//pnp//puuD//ydhY//rpsJ//mhpE//paaK//srlR//miaA//gabT//rrsH//gspF//rpsJ//cheR//malS//folE//nuoF//malS//tomB//avtA//dps//
Fur-Fe2+_pos	comR//araA//ssuC//paaE//bioA//pta//aceF//xapA//rbsD//yoaC//dsbA//gspM//prpD//hisJ//gspD//lldD//serA//ahpF//ftnB//hemA//glcG//sdaA//ahpC//artQ//bcsA//
Fur-Mn2+_neg	cysW//metC//hybC//bioD//sdhC//paaG//preA//fdnI//hycF//xdhC//modB//bacA//rpsC//pitA//bcsB//gltF//malI//purR//rhaD//rpoS//norV//ybiT//aroH//puuC//ccmC//infB//gatA//hisQ//ygeA//ykgR//hmp//rrfD//nikR//mglB//torD//katE//ynfF//astB//xseA//grcA//yhfA//malP//amn//mntH//phoE//dmsB//phnM//yeaE//fecE//ileU//rrsD//pagP//puuB//gcvH//chiP//hybD//dkgB//fixB//rstB//ulaF//hypF//hycI//lamB//miaA//ybdN//xylF//citD//fepC//sdhD//fnr//ascF//acrB//soxR//hyfI//mtlA//folA//nuoN//prpC//metY//mgrR//frdB//fecR//cheZ//hyfC//fucP//nrfA//tdcG//rpoH//yedX//upp//dpiB//ydhT//nrfB//ccmF//paaA//paaB//glcC//hofC//udp//abgB//lldP//cusF//hyaE//motB//galT//phnM//fadL//hypD//moeA//araJ//yegR//gpmA//yggX//rbsB//fimA//trxA//sufD//tdcB//paaD//cynR//oxyR//hflK//speB//argE//
Fur-Mn2+_pos	entD//tam//fecD//ubiC//betT//nuoB//rprA//fimH//pgaD//fecE//envZ//rrfD//caiD//fucA//aroA//dadX//fadH//pta//artQ//argC//phnP//hybD//cynT//phoE//ilvI//
GlcC-Acetate_neg	iraM//
GlcC-Acetate_pos	prpD//umpH//fadH//ampD//paaK//arfB//
GlcC-Glycolate_neg	puuE//
GlcC-Glycolate_pos	acnB//cusB//tauB//tpx//rcnB//nagC//
GlrR-Pasp56_pos	qseB//
IclR-pyruvate_neg	ydbD//fdnH//ilvE//mglA//
IdnR-5-ketogluconate_neg	waaH//alaS//fimE//
IdnR-5-ketogluconate_pos	hmp//cra//ldtB//chbA//xylB//
IdnR-Idonate_neg	prpC//ygaC//garP//
IdnR-Idonate_pos	hmp//tauC//pstS//dcuC//osmC//
IlvY-2-acetolactate_neg	ydeJ//
IlvY-2-acetolactate_pos	aaeX//
IlvY-Alfa-acetohydroxybutirate_neg	trpA//
IlvY-Alfa-acetohydroxybutirate_pos	citF//
IscR-[2Fe-2S]1+_neg	emrK//hycF//cadB//rrsA//narL//spy//rrsG//norV//fadH//phoR//kbl//amtB//kbaZ//rof//osmC//phnI//pitA//araH//yqjI//malZ//yhiD//astB//amn//modB//speB//caiE//eda//creD//trpC//ptsG//
IscR-[2Fe-2S]1+_pos	ubiX//comR//bglG//nrdG//metY//paaJ//sbmA//rpsQ//alaU//ubiX//ynfE//
LldR-L-lactate_neg	yfdX//fucP//purC//
LldR-L-lactate_pos	nusA//ydhV//idnT//
Lrp-Leucine_neg	gyrA//malY//frdB//amtB//rrfC//lacA//ugpC//glpG//hofC//malP//nikE//ilvX//ybdN//galK//focA//rplV//ompF//mutL//cyoD//rrsE//astA//allC//fliA//hypD//gatZ//lsrA//artP//rrlE//motB//allC//tdcD//tar//tauD//dnaE//yfeW//psiF//ilvC//ygiC//hemL//uxaC//lysC//flhC//ssuE//dmsA//preA//alaV//gltU//ulaF//ugpC//hycB//tauC//ynfF//yhjA//pstB//napD//serA//ihfA//carA//trpL//mcaS//nfuA//lysU//mipA//fumA//uhpC//carA//puuP//glpD//sdhA//dcuB//proP//pstC//malP//bcsA//moaE//
Lrp-Leucine_pos	uxaC//feoA//phnP//yeiL//proP//fucU//nuoG//rrlE//mipA//caiA//gatA//gpmA//garL//rseB//znuA//degP//glgS//tadA//yciW//melR//pgk//glnL//puuR//ilvA//yaiA//cysA//fdnI//ydeJ//polA//lysC//fabZ//ulaD//mgrR//cysW//rrlB//
LsrR_neg	tap//artJ//nuoH//tcyJ//yfdE//gspH//tnaA//glnD//ykgM//
MalT-ADP-Maltotriose_pos	nanA//leuE//iscU//yeaD//araA//tfaQ//spf//malQ//metN//gltT//
MalT-Maltotriose-ATP_pos	prpB//malK//yhjA//galK//mglC//aidB//rutC//nirB//tsx//ebgA//
MelR-Melibiose_neg	agp//cspD//purB//
MelR-Melibiose_pos	purA//napB//phnJ//
MetJ-S-adenosylmethionine_neg	hcp//serA//glgS//napB//ygiA//azuC//hofM//ugpC//aroP//fumA//ybdN//chbC//tauA//ydhU//casE//
MetR-L-homocysteine_neg	fimG//moeA//
MetR-L-homocysteine_pos	rbsB//dcuS//phoR//mdtD//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	ulaD//gspJ//argA//dadX//nrfB//pgpC//
MhpR-3HPP_pos	lldD//gntK//ycjF//phoQ//ygiB//abgB//
MntR-Cd2+_neg	gntP//rseC//emrK//ulaD//
MntR-Cd2+_pos	lsrK//
ModE-MoO42-_neg	fucP//rpoS//phoA//mhpE//tsr//ugpB//phnD//fimF//torC//araA//sufA//astD//ysgA//carA//appA//
ModE-MoO42-_pos	phnC//srlA//phoA//fecD//aceK//nikR//hofC//hyfB//codB//galP//glgX//hdeB//chbG//rutG//borD//ugpE//nuoL//glpK//lpxA//csgC//cyoC//glgS//cpdB//citG//tdcB//gltT//trpD//glpE//sufB//fdnI//mcaS//
NarL-Phosphorylated_neg	argO//iscA//efeU_1//malE//araH//metY//mutY//nupC//glcA//ptsH//bglF//carA//ileU//fnr//rof//aspA//ilvG_1//gltT//chbA//rof//cheY//rimP//flhD//fdnI//frdA//argD//rrsB//astC//ccmD//cynR//miaA//rrlH//gnd//phnG//dmsB//yjcH//folA//purD//napH//alaS//rrsE//sohB//gltA//guaB//cirA//metR//napA//rpmI//gspH//uxaC//dadA//cysJ//prpC//ydbD//lsrR//cheB//ynfH//puuR//nrfF//hyfC//trmD//metQ//zraP//betA//hyfA//tehB//mdtA//uxaC//entB//speA//rrfA//tdcF//sufE//tar//nrdF//iraD//bcsC//ccmA//tolC//ydhX//hyfB//gntU//torC//malE//rpsC//znuA//
NarL-Phosphorylated_pos	deoD//truB//rplS//caiA//spf//csiD//cra//dmsD//dmsA//garK//sbcC//purE//nupC//tyrR//tsx//fadE//metB//glpC//phnE_1//gapA//mscM//glcG//ompW//deoB//acs//nagA//rrfG//hyfE//upp//sbcC//xylG//trxA//gltD//nuoM//tdh//patZ//ccmD//bcsA//malZ//rrfH//gntT//fbaA//melA//betT//phoE//ampD//
NarP-Phosphorylated_neg	hyfJ//bioA//ccmG//alaV//arcA//rrfE//gdhA//hflK//napB//paaG//caiA//ampE//crl//dppF//ascB//xylH//fixC//argB//mltC//efeU_1//malX//cydC//chbF//treR//narK//fadD//secB//ccmB//gspH//rplC//cynT//metN//nmpC//
NarP-Phosphorylated_pos	cyoC//astD//ppiD//abgB//rseB//melB//truB//ilvB//nac//thrS//nuoN//ccmE//torA//puuE//cydB//citF//yjjZ//livF//lysO//appX//creC//zraS//oppA//cusB//agaW//rpsO//glpX//gspJ//phnP//rpmI//xylH//sbmC//
NhaR-Na+_pos	cyaA//talA//mhpA//lsrR//codB//
NikR-Cd2+_neg	fucP//preA//cysA//galM//copA//moeA//
NikR-Co2+_neg	sufA//malM//waaH//galE//rplW//tolC//
NikR-Cu2+_neg	tdh//glgA//ydeA//mgtL//tyrA//prfA//
NikR-Ni2+_neg	rpsQ//hydN//yeaR//sroD//gspD//aroF//
NikR-Zn2+_neg	gntP//ydhW//napA//rbsD//icd//pyrC//
NrdR-ATP_neg	cheY//hypE//manZ//cspE//moaA//nikR//ilvG_2//yfbR//fnr//
NrdR-Zn2+_neg	adhE//livM//creD//dppB//citF//zwf//narG//tdcC//rnpB//
NrdR-dATP_neg	glgP//gspI//hdeB//casE//araA//deoC//nuoG//fimC//yfeW//
NsrR-[2Fe-2S]reduced_neg	yoaC//fucA//preA//lsrA//hybB//pncB//ynfK//carB//entC//sucC//cadB//aaeA//qseC//lsrA//sbmC//ompT//prs//hflK//arcZ//yaiA//hisQ//hyaC//ccmF//yidQ//yeiP//folA//comR//argG//rpsQ//cspD//livG//idnT//puuD//mhpF//bacA//yqjA//fdnI//ydhT//xdhB//ccmA//grcA//trmD//kbl//lrp//mntH//galS//oppA//gntX//gutQ//uhpT//mgrB//gntX//ydhY//yeiB//lsrR//pncB//caiB//gutQ//ulaC//phoR//preT//ybfN//csgG//glcD//gnd//lldP//nuoF//edd//hyfF//hyfI//fnrS//hybF//ydhW//
PhoB-Phosphorylated_neg	alaT//mgrB//caiA//skp//yeiP//nmpC//agaA//dps//rnhB//treB//norR//hyfC//lhgO//
PhoB-Phosphorylated_pos	tyrR//puuB//fdhF//glnK//mglC//lysC//fumA//arcA//hyaB//fldA//dapD//tdcB//fimF//hha//cydA//nupG//gabP//phnM//araA//frc//ybjG//nanS//yidQ//yfbR//gltU//rimM//tolC//rrlA//ugpB//idnK//casE//fecC//gdhA//lysP//gabT//hypB//acrF//hofN//rrfE//glpT//araF//cydA//entS//rplI//pagP//ilvG_2//hypB//fadH//ulaC//fepC//purE//glgC//fhuA//
PhoP-Phosphorylated_neg	chiP//dsdX//glnL//fecD//frdB//fixX//evgS//norR//ftnB//rhaS//casA//
PhoP-Phosphorylated_pos	ompX//astB//bcsB//lrp//ompT//gspL//livJ//argE//tomB//rpmC//yidQ//phnH//tauB//dcuC//rrsH//ytfE//icd//hybB//citC//cpdB//hofN//baeR//katG//dmsA//hyfA//marA//codA//acnA//manX//glcC//pck//ptsI//rutE//nuoG//rbsR//polA//malS//garK//mhpR//araH//sufE//speA//hcp//ftnB//fis//bioB//zraR//moaC//tdcA//
PrpR-2-methylcitrate_neg	rplM//
PrpR-2-methylcitrate_pos	rrlA//gnd//citX//casD//
PurR-Guanine_neg	yccA//pepT//idnT//xdhB//caiF//uhpB//lysO//sucC//frdB//rrsA//malI//mdtA//melB//rplC//hyfA//ygiB//hybC//rpsS//fadJ//prmC//narH//dapB//casA//aer//gspM//araB//lacI//gcd//fabZ//norR//ydhU//hyaA//fucR//hupA//
PurR-Hypoxanthine_neg	dpiB//ssb//evgS//lsrB//dusB//ydeM//paaF//erpA//trpD//tdcA//csgD//argF//narQ//bcsB//uhpA//fabZ//paaB//pgaB//degP//melA//rof//ansB//tdcA//tauA//glpC//cysG//phnP//rstA//lysC//chbC//agaA//gspE//rrfH//tar//
QseB-Phosphorylated_pos	lacY//lacZ//amtB//livG//
RhaR-L-rhamnose_pos	fucU//sufB//
RhaS-L-rhamnose_pos	sdaA//rutB//chbF//
RstA-Phosphorylated_neg	dcuD//ssrS//ssrS//torC//sufC//
RstA-Phosphorylated_pos	ulaD//rplM//lacZ//yhjA//prpE//
SoxR-[2Fe-2S]3+ oxydized_neg	fucU//
SoxR-[2Fe-2S]3+ oxydized_pos	hycA//rrsC//phnH//
TorR-Phosphorylated_neg	nrdF//
TorR-Phosphorylated_pos	metH//ssuA//rrsB//araG//rrlA//garK//dcuA//ycjF//nagE//
TrpR-Tryptophan_neg	ptsG//cysN//truB//pgk//fucR//purA//cusS//mlc//aroL//rrfF//pyrD//yeaE//
TyrR-L-tryptophan_neg	mhpE//gltA//yaeP//araE//glpT//ykgM//yedX//ynfG//zwf//rbsC//cysM//cysU//
TyrR-L-tryptophan_pos	yqjA//ung//kbl//
TyrR-Phenylalanine_neg	fis//appC//recF//araJ//frdD//katG//azuC//rrsD//gcvP//ychH//uxaB//ugpQ//
TyrR-Phenylalanine_pos	ssuE//purF//glgA//
TyrR-Tyrosine_neg	cpxR//malP//hycH//yqjI//murQ//phoH//phnG//dsbA//rpsF//dapD//ilvL//hdeD//
TyrR-Tyrosine_pos	argR//azuC//ppiA//
UhpA-Phosphorylated_pos	mdtB//
XapR-xanthosine_pos	thrV//actP//
XylR-Xylose_pos	hofC//xapA//crr//aaeX//rpoH//napH//
ZntR-Cd2+_pos	fucK//
ZntR-Hg_pos	araD//
ZntR-Zn2+_pos	purC//
ZraR-Phosphorylated_pos	nikC//trpB//bcsA//
Zur-Zn2+_neg	galS//ybiT//gltB//gatA//yaiW//ygeA//
