#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	cyoE//fadJ//
CRP-cAMP_neg	stpA//yciW//cysM//dmsD//ppdD//ydeN//envZ//fecI//garK//paaD//rimM//gyrA//feoA//glnG//nrdG//appB//hyfB//gltA//sohB//ansB//fixA//tadA//hypF//gutQ//xylF//yoaG//psiF//ampD//ydeA//mlc//artI//yjeF//napA//creA//tfaQ//ssuC//hycA//nrdF//tnaC//glcA//ssrS//ugpE//csgD//csgD//sdhC//spf//soxS//gatB//casB//rnlB//nuoH//yrbL//motB//fldA//carA//purC//hyaE//ccmG//glpX//nrfB//tonB//fadJ//gnd//srlR//hyfD//codA//rpsF//tar//nanT//pagP//paaZ//nikB//yggX//cysB//malF//trpD//mhpB//rrfF//cheZ//tauD//pstS//rrsC//appA//xylB//phnJ//treC//pgaB//uxuB//ppdD//mglA//cysD//ydfN//pgaB//nrfD//aaeR//pgaB//ssb//fadH//aaeA//asr//csiD//lsrG//gspF//metA//speC//codA//polA//moeB//speA//nfuA//ytfE//ynfF//patZ//uof//modA//nrdA//nanE//acnB//bglF//fdhF//cusR//atoB//purA//xdhB//appB//ubiA//asr//glpQ//frdD//gabP//gspC//rpmC//micF//
CRP-cAMP_pos	ygeA//aceF//mltC//fhuC//torD//lacI//edd//acs//metA//slyB//idnK//casC//rplB//hyaF//ndh//mgrB//ftnB//acrA//hydN//caiT//idnD//rof//gatY//nuoH//yhfA//livK//phoU//nanC//nuoM//mhpE//speB//rpsO//fdnG//ulaE//actP//yiaJ//dnaE//gspE//cheB//sdhB//fhuF//acnB//rrlC//codB//acnB//fimI//fhuF//preA//gpmA//cueO//ugpB//phnI//glcA//ybdZ//pgaC//ilvN//aroF//hydN//rimP//glpE//qseB//fadL//emrK//guaA//oppA//dcuD//hisM//lamB//srlR//nanK//dnaA//gspC//nikB//oppF//rimP//rrlB//artP//copA//glcG//frdA//tdcG//gabD//yjjZ//alkA//torC//ygiC//araA//yhfA//ihfA//fimC//yqjH//malY//nrfB//argO//hyaC//creD//tdh//tomB//pstC//paaE//rplV//napF//ompA//treC//rrsE//psd//thrS//cadB//ompW//pitB//gspL//aer//abgB//dapB//manZ//ykgO//hycE//ftnA//hybB//cysU//motA//narG//gabT//nrdB//rrfA//yeaR//ilvC//hyfA//serC//cheW//nusA//ccmD//citC//fimE//nac//metI//lacA//glnG//rplM//moaD//pgpC//nmpC//yjeV//psd//fabZ//sdhC//srlR//metE//ilvG_1//xseA//rbsC//pta//mhpA//serC//ssuA//metN//cysK//codA//cydC//rpsQ//ulaA//bcsZ//uxaC//rimM//nuoM//agp//uxaC//nuoL//rbsA//fhuE//oxyR//agaW//livM//yecR//cysA//dcuB//ycdZ//ilvM//ybiT//mglA//mhpC//livG//yedX//paaK//purK//fucO//adiC//mtr//sufC//glcE//rstA//adiC//trg//cynR//srlB//hyaC//rrlG//rpsC//yhjA//creC//mglA//yojI//fucA//asr//hyaE//yfdE//tadA//lysO//csgC//uvrA//atoA//hybD//tnaB//rplT//napC//metB//mtlR//nusA//fadA//gntU//malE//puuA//uxuB//uhpB//grpE//dppF//chbG//ileT//rrsH//mscM//nuoA//metE//rhaR//yjeF//sucA//truB//rimP//aroH//acrB//pyrD//paaI//metC//ccmG//garL//nrdD//dadA//ykgM//ihfA//murP//alaT//gspK//hpt//fixB//serC//glpD//uidA//ulaD//astD//cysW//tonB//rrfD//kbaZ//rplV//glgB//idnO//zwf//citD//lsrD//gadB//csgG//glmY//cysB//rimP//pstS//treC//cusA//fimD//malG//baeR//torC//rrsE//cas1//sucB//entD//yfiP//nanM//ydhW//gatB//znuB//metB//tktB//hofC//ydfN//hycF//hyaC//znuB//cyoD//csiE//ung//lolB//fadE//sufA//acnB//psd//nanA//hypC//tyrB//osmC//cysG//glgB//hyaC//glpD//ugpC//phnO//yqjA//cydB//moaA//gcvH//hybA//tdcC//yaiA//aroM//rbsC//dmsC//caiC//ykgR//yjcH//hyfB//allD//rseB//hisM//cvpA//nanC//araF//purK//safA//hycI//ydeN//fucR//hycD//fixB//sufS//malX//rrfG//nuoI//nuoM//moeA//moeA//bamE//ssuD//hyfH//cysB//safA//cas1//malS//phnK//talA//ydeJ//oppC//chbF//rcnA//rnpB//yeiL//tsaE//nirC//purL//trpC//exbD//znuA//ilvG_2//fepD//creA//ydhT//gspI//csgD//allD//hpt//malT//caiT//fumB//aceF//prpE//ompX//livJ//lysU//nuoE//ung//ampD//araC//fimI//slyB//cynT//deoA//modB//tauC//tyrP//rhaT//livG//codA//xdhA//tsr//cysC//ivbL//prs//truB//crp//narG//casB//ompW//frdC//yeaR//fliZ//citX//atoE//ccmA//prfA//ulaF//ccmB//ilvC//cpxA//rutE//lsrA//ybdZ//yhjC//aaeA//alaT//nuoE//yccA//cyoB//
ChbR-Monoacetylchitobiose-6P_neg	pstA//ydhY//purB//arfB//glcE//yiaJ//
ChbR-Monoacetylchitobiose-6P_pos	gspH//mutL//appA//hycG//mdtB//narJ//
CpxR-Phosphorylated_neg	bglG//leuE//idnD//uhpA//hyaC//csgA//uhpC//astA//comR//fucR//caiF//abgT//ccmD//modB//malQ//gntX//katG//glpT//modC//nanE//ydhU//baeS//fecI//cheY//
CpxR-Phosphorylated_pos	creB//waaH//phnI//uidC//betT//nirD//alkB//edd//dgcZ//rpmC//rhaT//oxyR//hypF//ydeJ//hflD//ccmC//hupB//malS//glgA//ilvI//ung//glpR//copA//dcuB//ilvB//casC//hcp//pgk//betB//rutC//cvpA//metH//nagC//grxC//adhE//frdC//nfuA//hypE//nrdB//glgB//cysI//galM//csgG//chbB//gspO//
CreB-Phosphorylated_neg	hslJ//ccmE//fimI//
CreB-Phosphorylated_pos	yjeF//abgB//rhaB//entF//moaA//idnR//
CueR-Ag_neg	cysD//mntH//glgP//gspM//yojI//
CueR-Ag_pos	dcuC//lamB//
CueR-Cu+_neg	nrdH//sucB//puuR//uof//rpsP//
CueR-Cu+_pos	motA//nuoI//
CuerR-Au_neg	malX//chbB//dppB//araD//folE//
CuerR-Au_pos	feaB//metC//
CusR-Pasp_pos	ilvG_1//nrdA//yhjA//malG//phoA//citX//nuoB//nrdF//fumB//glnK//hofO//acrD//
CynR-Cyanate_neg	nrfF//
CynR-Cyanate_pos	feaB//bglF//purR//
CysB-N-acetyl-L-serine_neg	fdnG//gadB//ychO//sucA//cusC//gnd//mglB//
CysB-N-acetyl-L-serine_pos	aldA//pnp//hycG//deoA//moaA//aceF//caiE//nanS//hybD//nikR//emrY//sdhB//ubiG//aldB//entH//nuoL//glpA//appA//malP//nrdH//modA//hypB//puuC//
CysB-O-acetyl-L-serine_neg	yaeP//ydhT//secB//ldtC//trmD//ydeM//rrfC//
CysB-O-acetyl-L-serine_pos	csgG//lysP//ygiC//nanK//rmf//cpxR//aroF//mdtB//secB//pdeF//tnaB//yhjA//malI//caiF//talA//ydhY//ptsH//moaA//kbaZ//ssuA//nrdH//aidB//hycF//hyfA//
DcuR-Phosphorylated_pos	acnB//rhaS//gltU//pgaA//phnM//idnO//iscS//zraP//rseA//
DnaA-ATP_neg	yeaD//yeiW//mhpT//recF//xylH//csgC//mhpB//mzrA//phnE_1//fis//gspG//
DnaA-ATP_pos	pyrC//purA//srlD//truB//uof//metH//ugpQ//
DpiA-Pasp_neg	codB//
DpiA-Pasp_pos	ilvL//ssrS//aroL//glcB//rutA//ihfA//yaeQ//mhpC//hyaD//phoB//
DsdC-D-serine_neg	gatD//
DsdC-D-serine_pos	gabP//pta//
EvgA-Phosphorylated_pos	hisP//manY//ivbL//glcC//cyaR//casB//manY//pgaD//nanA//gatY//uxuR//fucR//phoR//narL//ugpQ//
FNR-[4Fe-4S]2+ reduced_neg	rplC//feoB//ptsI//rnhB//tyrB//caiT//argO//fimG//pgaB//csgC//ileT//lacY//mglA//purA//xylF//uraA//bioF//sxy//bioD//uraA//appC//ilvH//nuoL//csgF//moaE//cysJ//nrdD//gspJ//cynS//rbsA//phnO//hflX//recF//oppF//ccmG//tauC//ynfE//mglB//livF//ackA//trpA//casD//yedX//ccmC//ykgR//ilvM//rrsD//rseA//phnM//lpxD//lysO//sdhC//sdhD//ahpC//fadJ//ldtB//tdcC//yfeW//phoQ//gntK//narJ//fimH//puuP//deoC//mepH//iscR//cueO//rbsK//actP//ssuD//phnJ//artP//rpsS//efeU_2//narX//hupA//puuP//tap//slyB//metN//sufA//trpE//ydfH//pgaB//fliZ//creC//yfeW//dnaA//fucO//fes//rrfH//ubiA//lsrD//sohB//rstA//ppdD//nikD//appB//fixA//cynS//ccmF//pgaD//nikB//yhfA//narX//aceA//nrfB//hycD//citF//yiaJ//ccmB//lysO//aaeX//fimE//lhgO//acnB//argP//hdeB//yggX//gltA//
FNR-[4Fe-4S]2+ reduced_pos	pflB//metI//phnF//nrdG//gltW//astC//purE//soxS//malM//gabP//nuoF//miaA//ccmB//uhpB//torA//caiB//tar//citF//dppC//mntS//ileV//qseC//nikB//malG//sufC//ilvH//ogt//phoA//tyrB//idnR//ydeM//tauB//lsrG//emrK//rpsO//pheS//deoC//pheT//ftnB//yggX//gntU//bhsA//lysU//bioD//pstC//paaG//hybC//rbsD//bcsC//gltT//ivbL//aroP//yedX//malY//phnJ//iraD//lamB//deoB//ssrS//glpC//leuE//fau//mutL//aroM//acs//yeaR//hyfG//cysP//abgB//pgpC//cysK//rbsA//allE//araG//arcZ//lacZ//katG//nuoB//cheW//comR//hdeB//astA//phoU//leuE//chbC//ppdD//grxC//mdtD//argE//hypB//csgG//csgD//ugpC//srlA//tnaB//fnr//rstA//nrfC//fnrS//rutD//rplB//prmC//fliA//umpH//atoD//dmsD//sdhB//trpL//ivbL//uidC//ccmA//yjiY//rrsD//zwf//yggX//hycB//fadI//gltD//citC//galT//deoD//ada//phoR//zraR//cysA//atoA//uidA//iraD//lsrK//tap//pheT//malZ//sufD//ackA//melR//casE//fucK//araC//nikR//fimI//aroF//nrdH//iraM//cra//hycI//ubiA//ebgC//motB//creC//metY//tktB//napF//napF//marR//manZ//moeB//ydeP//paaK//efeU_1//mutY//proP//feaB//talA//gltF//fdnI//efeU_2//raiA//manX//rutF//dnaN//acrA//yggX//nuoB//narL//murP//prpE//yegZ//citG//entC//fecI//treR//fldA//flhD//garP//tdh//sxy//galM//edd//hyaC//bioB//mtlD//ybdN//rplT//phnO//iclR//fimE//argI//malS//sufD//ydeA//galS//yrbL//
FhlA-Formate_pos	rrsH//fucK//hypA//rrlG//cusR//ysgA//rnlA//glcB//artM//rplD//uhpT//ascB//bioD//ompT//torC//rseB//creC//trxA//rpsS//lpxB//ndh//mtr//rplS//ogt//argH//garL//paaG//lysC//citG//dppF//
FucR-L-fuculose-1-phosphate_pos	fimD//yfdV//yjcH//alaV//iscU//cyoA//ilvA//
Fur-Fe2+_neg	spf//hofN//murQ//putP//feaB//artJ//ada//nlpD//chbG//gatD//argA//lhgO//xseA//mipA//focA//tnaB//appA//dppF//metK//bioF//tktB//rpsR//glnA//ccmB//fixA//glpE//fixC//ybjG//cyoE//gltW//phoU//ychH//metY//dpiA//ascF//yhfA//uxuA//psd//amiB//aaeR//lldP//dapD//pnp//dctA//sufB//garR//actP//metH//leuE//amn//ilvH//fepD//ykgO//ydeO//gspC//aldA//araD//hdeA//argT//speC//nikC//lsrB//focA//spf//hyaF//skp//rdoA//pgaB//araG//rof//fucP//glpC//deoB//yjiY//hfq//rrsD//cysC//arfB//cyoE//acnA//mhpB//iraD//phnI//chbA//livG//hybG//uxaA//ldtC//araA//ulaB//lolB//srlA//abgA//xseA//rnlA//psiE//hofO//malZ//hofB//narJ//paaG//ogt//yqjH//nanE//gltF//nagC//phnM//ilvB//hyaB//rnlB//yeiP//ispE//phnF//paaB//napG//ackA//alaV//gntR//fucP//ygbA//hycE//gltU//galK//polA//
Fur-Fe2+_pos	ilvC//citC//safA//argG//rplT//hyfJ//srlR//tomB//aceE//mdtB//pncB//argR//cusA//crp//glcC//upp//uhpT//cyoB//rplW//appB//ccmH//speA//murP//rhaD//tsaE//
Fur-Mn2+_neg	fbaA//ilvC//mutL//gltV//dcuA//tonB//hcp//artJ//mzrA//gnd//hupA//safA//gltA//cstA//casC//yjiY//pgaA//zraR//lsrD//ccmC//copA//bacA//hybF//gspD//nrfE//hypE//nfuA//alaA//yjeF//citE//serC//nrfC//malQ//alaT//cspD//cysG//mepH//paaC//tktB//aceF//gntU//metC//fecC//mhpR//speB//katE//galS//aroL//tdcD//sbcC//sohB//fadL//mntP//manX//ytfE//fhuF//nrfB//rbsD//gdhA//rbsD//nrdE//cheW//fliZ//fecE//hflK//glpB//fadA//tomB//trxA//ydhW//frdC//gcvH//aceE//rrsG//phnE_1//yqjH//secB//aroM//murP//yfdV//rpoS//hyaF//mtlR//aldB//hyaF//prfA//prpR//uidC//ydeN//gadC//argC//csgA//stpA//envZ//araG//glpR//ycjX//hybF//pepT//napG//yqjA//gltT//serA//polA//gltT//lacY//alkB//hyaC//sdhC//gcvH//fucP//bdcA//pepT//umpH//tehA//fucI//napD//cspE//arcA//ompF//gntX//rcnB//nrfB//lldD//
Fur-Mn2+_pos	hdeD//agp//glpD//lsrF//glpX//glpF//moaE//ahpF//tar//galK//bdcA//ccmG//csgA//ilvE//polA//yfiP//asr//aroA//argE//fadI//xylH//dsdX//glnB//pstC//rpsR//
GlcC-Acetate_neg	frdD//
GlcC-Acetate_pos	entA//zraS//gabD//hha//rrfF//bamA//
GlcC-Glycolate_neg	purM//
GlcC-Glycolate_pos	ybdZ//fepC//srlE//fucI//aroF//cysK//
GlrR-Pasp56_pos	atoD//
IclR-pyruvate_neg	paaB//mzrA//rnlA//lysU//
IdnR-5-ketogluconate_neg	galP//hisQ//ptsI//
IdnR-5-ketogluconate_pos	rrsG//gadB//glpR//lacZ//ulaE//
IdnR-Idonate_neg	hflK//ccmB//cysP//
IdnR-Idonate_pos	argE//exbD//yibN//allD//araJ//
IlvY-2-acetolactate_neg	pstS//
IlvY-2-acetolactate_pos	nanM//
IlvY-Alfa-acetohydroxybutirate_neg	garK//
IlvY-Alfa-acetohydroxybutirate_pos	cheA//
IscR-[2Fe-2S]1+_neg	fecA//dpiB//ssuC//trpR//fixA//gadC//rbsC//agp//ilvM//yfdX//phnG//malQ//metF//appY//csiE//acrE//araF//rstB//rrlH//ivbL//fucU//ydhW//appY//hyfG//prpR//xapB//alaS//erpA//yfbR//lamB//
IscR-[2Fe-2S]1+_pos	mutY//rrfA//allE//cysJ//glpA//entF//ampE//fdnH//hdeA//ycjF//nikD//
LldR-L-lactate_neg	iraM//gltU//puuA//
LldR-L-lactate_pos	pnp//adhE//ygiC//
Lrp-Leucine_neg	rplV//malY//cas1//leuE//ilvY//nuoI//nikA//glnD//gspO//livJ//rnlB//bacA//xylR//glgC//dpiB//yeiL//yccA//gyrA//yjiY//fimE//artP//marB//xylR//gltF//torA//proP//thrS//prpC//entE//fbaA//pgk//fhuF//nrdD//lpxD//nmpC//gcvP//fadL//baeR//ybiT//pyrC//uhpC//comR//rimM//alaU//efeU_2//ugpQ//rhaR//uxaC//phoE//treB//hofP//ybfN//feaR//dps//napC//allC//yeiB//napB//rplV//fiu//hypE//feoB//ydeP//yojI//hyaF//infC//nirD//metI//raiA//purK//paaA//alaV//nikE//ynfG//rpsO//
Lrp-Leucine_pos	mhpE//chbR//phoR//rrfH//xapA//rpsP//tnaA//cysN//pflB//hybO//fepD//uhpB//ilvC//phnP//sufC//hfq//lrp//adhE//glgP//fecA//cheR//yjeF//efeU_2//yhjC//marR//nuoE//zraR//rrsC//phnH//ydiU//aer//dapB//efeU_2//purB//arcZ//
LsrR_neg	cvpA//tktB//sodA//guaB//copA//caiF//fhuF//allC//chbR//
MalT-ADP-Maltotriose_pos	araH//artJ//yegR//fimI//nuoK//puuE//ung//fadD//garL//glnB//
MalT-Maltotriose-ATP_pos	rutE//glcG//ccmF//codB//evgS//crp//ompC//hycC//yfdE//mglB//
MelR-Melibiose_neg	fiu//gspG//nrdD//
MelR-Melibiose_pos	aceB//manY//fimD//
MetJ-S-adenosylmethionine_neg	galT//gspL//fadL//rplS//efeU_1//csgF//crp//metN//metE//fepE//csgB//hydN//oxyR//mhpC//ydeP//
MetR-L-homocysteine_neg	hdeD//proP//
MetR-L-homocysteine_pos	melB//ssuE//ogt//araJ//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	ydhV//fhuE//pstS//livK//fnr//citX//
MhpR-3HPP_pos	csgE//glcG//ompW//polA//fadH//yrbL//
MntR-Cd2+_neg	rseB//srlD//torA//yjeF//
MntR-Cd2+_pos	rrfC//
ModE-MoO42-_neg	cyoA//narL//fimA//pncB//iraD//tar//yeiL//ygaC//gcvT//uhpC//creC//fepC//betB//kbaZ//ebgC//
ModE-MoO42-_pos	lldD//paaH//aceB//glpE//glpB//pyrD//exbD//dsbA//sbmA//alaV//umpH//fepA//ompR//lacY//fadB//nrdA//dcuB//phnJ//ilvD//sdhC//hyfC//ugpQ//sucB//fabZ//mhpT//tfaQ//nohA//idnT//fecA//cheY//phnF//
NarL-Phosphorylated_neg	spf//rbsB//fucA//nuoJ//ydfH//fnr//yciW//tyrP//artP//ulaA//deoB//lsrG//idnR//pheM//alaA//hupA//evgS//tehA//nikA//aroG//hycG//deoA//iraM//fixC//serC//napG//narJ//grcA//tyrB//dpiB//yhiD//phnN//ydfN//alaU//livH//crr//aer//bcsB//dapB//hofB//cyoB//araG//napD//napC//gdhA//uxaB//prpC//fecD//ygiA//ydiU//cytR//purA//yeiL//lpxA//ykgR//entB//gspD//rpoH//katG//lysP//pyrD//yrbL//mntH//adhE//pgaA//rdoA//narK//purA//caiB//narG//rhaA//rnlA//patZ//xylA//slt//purF//galT//appB//hycD//aspC//paaB//mdtA//glgA//hcr//rrsA//rbsC//
NarL-Phosphorylated_pos	hyaC//rrfH//metL//mglA//infC//ysgA//gatD//galM//mcaS//uidA//hycC//gspK//livG//phnM//allD//rimM//rutD//adiC//rybA//pyrC//ugpE//gspI//trpL//ulaE//fimE//sufE//pyrD//uhpA//aspA//ssuB//nirC//rnlB//astD//nrfD//sucC//ilvM//ssuE//gltV//pheT//purD//alaS//cysB//tyrA//mntS//tonB//fumC//
NarP-Phosphorylated_neg	sdaA//bglB//phnG//rrfA//gntK//cusC//dps//araG//ptsI//aaeA//dppA//hybC//xylH//ychH//deoB//ompF//iscS//lpxB//spf//mgtA//allD//uxuB//ubiX//gatD//dsdA//adiC//phnO//chbA//ppiA//ulaC//ybdN//cadA//mscM//
NarP-Phosphorylated_pos	rpmC//entF//cusB//entF//hycC//acrA//fau//deoB//znuB//paaD//atoB//fucU//cyoD//ychO//spf//fadB//rrsD//livG//yneM//artJ//cyoC//appY//nagE//casA//cyoE//soxR//phnP//oxc//modB//nuoL//sucD//yaeQ//
NhaR-Na+_pos	paaK//leuE//cusS//mscM//infC//
NikR-Cd2+_neg	ybdZ//adiC//aceA//ccmA//deoD//garP//
NikR-Co2+_neg	argR//ccmF//tauC//putP//rhaS//rprA//
NikR-Cu2+_neg	sdhB//soxR//rrlC//agaW//oppF//xdhA//
NikR-Ni2+_neg	yeiW//exbD//hflK//mdtB//cusC//fliZ//
NikR-Zn2+_neg	aaeB//phnF//glpB//fbaA//hyfH//aroM//
NrdR-ATP_neg	aldB//kbl//ppiA//bcsB//paaC//gspI//araH//ubiA//amn//
NrdR-Zn2+_neg	fhuF//tnaC//ahpF//dmsB//lacA//creB//speA//ydfN//dcuR//
NrdR-dATP_neg	malM//araE//phnN//amtB//rhaA//rplI//aidB//oppC//cysG//
NsrR-[2Fe-2S]reduced_neg	fixC//artI//melR//flhC//idnD//fhuE//uof//znuB//metA//ynfH//ndh//aceF//fliZ//nrdE//yeiL//dapD//nupG//hypD//pheM//fixB//nuoC//citE//rrlE//arcA//cysC//cynX//lsrK//ycjX//rbsA//malG//rrsE//dapB//dmsB//agaW//gntT//gntK//xylH//ubiC//rcnB//fepA//efeU_2//manZ//cheB//arcA//creC//yfeW//napB//paaE//rrlG//motA//yhiD//ubiC//cynS//rrlH//ygaC//mhpT//argE//ygaC//trmD//ydeA//ydeJ//putP//glpT//mlc//fhlA//ygeA//ysgA//marR//dsdX//idnT//nuoN//yqaE//gcvH//
PhoB-Phosphorylated_neg	gspH//glpF//yhjA//dkgB//metR//dppF//pdeF//tehB//livG//yfeW//yedX//lsrG//ampD//
PhoB-Phosphorylated_pos	nagE//carA//fadH//mepH//murP//araA//abgT//gyrA//nirB//lsrK//nanC//pyrD//yrbL//ptsG//ilvE//hisM//deoA//phnE_1//zntA//malM//garR//iscU//rybB//cheA//sucC//aceF//pta//astB//nuoB//hybC//glgA//srlR//arcZ//metH//manY//fadL//xdhB//gspF//hofC//dusB//ydhX//cas2//dadA//yneM//fumC//glpQ//rpmI//rbsR//nuoA//paaC//yidQ//lhgO//nanM//
PhoP-Phosphorylated_neg	dnaN//cynR//ulaC//ilvG_1//moaB//ebgC//paaH//ynfH//bdcA//cusF//treR//
PhoP-Phosphorylated_pos	ivbL//cadB//ugpE//amiB//tyrR//hyfB//deoC//efeU_1//hycA//qseC//nusA//mhpF//nmpC//erpA//idnT//gspC//ychO//lsrG//hofB//grcA//exbD//yedX//cynX//fhuD//sbmA//tonB//gntR//dmsB//aroG//grcA//malQ//gltA//prpR//rnhB//ygiC//ycjX//melR//nlpD//hisM//rrfH//gatY//malY//dppB//malZ//trpL//paaA//cpxA//lysA//copA//
PrpR-2-methylcitrate_neg	cysK//
PrpR-2-methylcitrate_pos	ssuC//ybjG//fadD//ynfE//
PurR-Guanine_neg	malZ//rrlH//yegR//nrdE//cysB//ilvY//tnaA//ileV//glcG//bhsA//puuD//lsrA//yciW//narL//gabD//mhpA//mhpT//fimG//phoP//glmY//bioA//fumC//allC//oxyR//ugpQ//fecE//rutG//ydhW//fumA//trpA//folE//hyfD//cyoB//astD//
PurR-Hypoxanthine_neg	ccmH//carB//ybdN//yfbR//glnG//yfeW//flhD//aldA//bioC//cheZ//rpsS//puuR//aldB//ileV//osmY//marR//cusA//hupA//pck//cra//treC//csgE//fur//purM//caiT//sroD//galE//recF//uraA//caiE//trmD//phnC//psd//ygeH//
QseB-Phosphorylated_pos	hupA//nuoA//ahpF//rplW//
RhaR-L-rhamnose_pos	yfiP//malP//
RhaS-L-rhamnose_pos	alaU//phnN//metA//
RstA-Phosphorylated_neg	ldtC//torD//oppC//purB//gatC//
RstA-Phosphorylated_pos	alaS//azuC//betB//ydbD//pdhR//
SoxR-[2Fe-2S]3+ oxydized_neg	amiB//
SoxR-[2Fe-2S]3+ oxydized_pos	mglC//hdeB//hslJ//
TorR-Phosphorylated_neg	rhaA//
TorR-Phosphorylated_pos	cusA//gntK//creD//entC//hybG//infC//malZ//ndh//ebgA//
TrpR-Tryptophan_neg	uxaB//hyfH//glyA//miaA//cpdB//hyfE//ugpE//tyrA//yoaC//rbsD//yhjC//chbA//
TyrR-L-tryptophan_neg	gabT//xylA//rhaD//sufE//csgD//hofN//idnK//astE//purC//moeA//tdh//puuP//
TyrR-L-tryptophan_pos	abgB//acrA//tktB//
TyrR-Phenylalanine_neg	narX//rplC//mzrA//folE//nuoM//gltU//mhpT//hypD//uidA//acnB//rhaS//gltT//
TyrR-Phenylalanine_pos	napG//nuoA//thrS//
TyrR-Tyrosine_neg	zwf//gspH//mltC//gspG//yhjA//efeU_2//melR//metN//zraP//yegZ//zraP//gltD//
TyrR-Tyrosine_pos	ampE//araC//deoB//
UhpA-Phosphorylated_pos	norW//
XapR-xanthosine_pos	hycF//yhcH//
XylR-Xylose_pos	fecD//tnaB//crp//ilvC//araG//frdC//
ZntR-Cd2+_pos	sdhA//
ZntR-Hg_pos	ilvB//
ZntR-Zn2+_pos	fixB//
ZraR-Phosphorylated_pos	sufE//araJ//fiu//
Zur-Zn2+_neg	yoaG//proP//ydhU//hypD//yegH//trmD//
