#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	fur//phnN//
CRP-cAMP_pos	ugpE//pheS//trg//purA//aldB//phoA//glmY//puuA//torC//ampE//mhpB//dsdA//moeB//katG//glcD//rseB//cyaR//metI//modB//argC//paaE//malM//cysK//lpd//cysD//psiF//gyrA//phnP//uxaB//astB//cadC//cirA//gntP//ssrS//tktB//nanA//rbsK//nrdE//rrlH//uof//acrB//dcuB//mdtD//metE//phnD//rhaB//yqaE//cheB//lpxB//cas1//cydD//gatB//yeaR//lsrA//feoC//phnO//dcuC//tyrB//efeU_1//allE//cadC//napC//csgD//zraR//sbcC//nuoM//ulaC//astE//oppF//paaZ//znuB//dppB//icd//fecE//rplP//rnlA//ilvM//torR//melA//grcA//mhpF//fimD//uxuR//purF//feoA//metC//uxuR//trg//yegZ//argA//fepD//hycH//metB//mscM//hypD//narJ//prpR//tap//fimE//glcG//fnrS//ackA//map//fabZ//yhcH//iscA//rplM//fadI//mhpD//yaiA//ilvN//yibN//chbF//rpsI//evgA//mdtB//hemL//thrS//dapB//alaT//puuC//acnB//aroH//sbmA//oxc//hyfG//ydeJ//glpQ//glpB//rbsR//argE//nanT//uhpB//srlD//paaJ//copA//rpsR//ulaD//fbaA//mglB//mscM//yrbL//csgD//fadA//mtlA//aceF//ygiB//edd//cynX//patZ//mtlD//fimI//murP//rdoA//garL//appY//narQ//csgE//rbsA//rnlB//feaR//cyaR//nikC//napD//ogt//frc//ilvG_2//trpL//fecB//yfdX//malF//gcvP//fucA//hflK//citC//nrdF//malZ//aroG//pgk//phoB//cadB//recF//xdhA//dmsB//ilvH//agaV//ppiD//modC//nohA//rrlB//argF//pstB//chbG//gspK//metI//baeR//ompW//fhuB//caiE//yjcH//ascF//fimC//mgrB//tdcC//livM//lldR//cysH//ppiD//dps//mdtA//rimP//bhsA//fumB//mhpE//xylH//rrlD//pgaA//phoU//mdtB//gatD//dpiA//lacZ//rybA//tap//cydD//livF//cysW//hycA//rplS//aldB//nagE//phoP//nrdH//nirC//nrfD//rplM//srlB//frdC//nikR//sdhB//grcA//nanK//nagC//entC//nohA//oxc//gntP//ivbL//hisJ//acs//lpxB//rpsF//moaB//yegZ//nikE//phnE_2//ileV//rbfA//gcvP//betT//rutD//nuoN//hupB//trpD//sufE//nuoL//flhD//argR//tnaC//fhuB//infB//lsrB//gspJ//torD//sucA//yoaC//mdtA//garR//purL//garR//phnD//moaB//mdh//rseC//ilvD//mhpF//pitA//rpsF//ygiA//cytR//yggX//cyaA//glrR//hofO//nrfF//bioB//gltW//iscA//glcE//gadC//qseC//yebE//ssuA//sufS//citC//entH//gntR//tehB//nikB//asr//rpoH//nupG//sucD//betA//caiE//nuoK//entE//feaB//ilvY//nagB//aroP//crp//yoaC//gltA//pnp//yjjZ//emrY//mzrA//fecC//ubiG//yeiW//feoC//deoD//glnD//fecD//ahpC//hisP//znuB//fumA//feoA//gntU//srlE//gltB//arfB//metB//malF//tktB//dcuS//exuT//zraP//nusA//oppD//murQ//dsbA//ybiT//manX//sbcC//creB//yfdV//nadC//yfdX//nuoJ//nohA//pgaB//gltU//eda//atoE//glnB//hyfA//napA//fldA//ssuA//rrfD//gatD//yeiB//frdD//ybdZ//livH//ycdZ//nuoA//nusA//fecC//uhpA//yebE//ispE//sbcC//phnE_1//dadA//galM//cadB//aroF//ilvE//mhpT//ynfG//fucU//ppdD//hyfG//metQ//metN//malX//phnP//ppdD//lsrB//glgP//rhaA//lldP//nikA//fdhF//fimC//cyoD//cydC//fldA//fadE//fnrS//tfaQ//lysP//rseC//ydfN//pflB//xylR//hycF//acnB//nuoE//gspE//xylH//srlB//nrfE//rpoH//nikD//
ChbR-Monoacetylchitobiose-6P_neg	yfdE//glpT//ybdZ//aer//srlB//hybA//
ChbR-Monoacetylchitobiose-6P_pos	ynfH//hycA//fucI//glpE//alaT//grpE//
CpxR-Phosphorylated_neg	caiA//malK//fucP//dnaA//hcp//paaC//gcvH//ccmF//norW//hpt//glpA//entB//galT//betT//phnG//malT//mgtL//bacA//sucA//xylR//metQ//hcp//hydN//argE//
CpxR-Phosphorylated_pos	rrsB//mzrA//uidB//murP//fecD//modA//creC//ydhV//pagP//rrlE//cheY//aroA//yjjZ//norW//nanS//acrA//fhuF//phnI//glcD//rrfH//spf//hybB//cbl//arcA//cysD//cspD//fhuB//adhE//sdaA//gltU//ssuC//ychO//focB//fucO//fimC//hyaC//grxD//marA//idnK//phnC//gcvP//aceA//gspF//tfaQ//napF//
CreB-Phosphorylated_neg	tnaB//nuoF//gcvT//
CreB-Phosphorylated_pos	hypC//yojI//glnB//ptsG//carA//mtlA//
CueR-Ag_neg	nuoH//xapB//puuD//malT//yjjZ//
CueR-Ag_pos	sucB//galT//
CueR-Cu+_neg	rplC//rimP//sroD//srlD//artM//
CueR-Cu+_pos	guaA//yneM//
CuerR-Au_neg	cusB//narI//uxuB//lldP//napD//
CuerR-Au_pos	ugpQ//cas2//
CusR-Pasp_pos	iraM//nohA//rnhB//phnI//cspD//nrdB//chbA//nirC//fnrS//umpH//aidB//narH//
CynR-Cyanate_neg	pgpC//
CynR-Cyanate_pos	tauC//recF//ygiB//
CysB-N-acetyl-L-serine_neg	purK//chbF//rpmI//narX//yqaE//sdhA//fadB//
CysB-N-acetyl-L-serine_pos	nuoC//kbaZ//dppB//yeaE//artJ//glpT//ccmE//nuoF//glnK//rplD//rybB//hybF//cynR//glgP//ppdD//cydA//hha//narL//aroF//nrfG//atoD//malX//fadB//
CysB-O-acetyl-L-serine_neg	gspJ//ybiT//argH//hpt//mgrR//fumA//aaeX//
CysB-O-acetyl-L-serine_pos	nadC//fis//allE//astD//hflX//rpmI//malK//rbsR//rplP//lldP//cyoB//xylF//entA//rutG//ackA//glpQ//infC//mepH//aroF//ftnA//copA//puuB//iraM//atoE//
DcuR-Phosphorylated_pos	phoE//ydhX//rbsR//ilvD//casA//metL//nuoA//gntT//ileU//
DnaA-ATP_neg	gcvT//ptsI//nagC//nuoA//trpC//pncB//rpsJ//allE//phoH//glpB//folE//
DnaA-ATP_pos	glnA//bcsZ//mpl//tktB//ydfH//ulaC//znuA//
DpiA-Pasp_neg	fecI//
DpiA-Pasp_pos	lysP//mntP//casA//rstA//nanM//nrfC//nrdH//napG//putP//rhaT//
DsdC-D-serine_neg	gntU//
DsdC-D-serine_pos	gspM//serC//
EvgA-Phosphorylated_pos	lacI//dcuB//nagA//phnC//pgaA//sohB//creC//caiT//nikR//uhpC//mcaS//spy//alaU//oppF//ulaE//
FNR-[4Fe-4S]2+ reduced_neg	cusA//flhC//rrfF//pstB//rutA//fixB//psiF//degP//gntK//manA//rhaB//ugpC//murP//hofN//crp//hyaA//pheT//lhgO//cysG//fdhF//ubiC//napC//yegR//ssuA//ugpC//rrlD//ompC//aroA//entS//cas1//nagB//hisP//mntS//mdtD//rrsA//puuP//mdh//csiE//nirD//hofB//xylG//bglB//abgT//rhaB//copA//uhpC//amn//emrY//hflC//glcC//yjjZ//lpxB//gspI//paaD//yeiW//narH//gatZ//erpA//nupG//ydhT//entC//ilvX//gadC//hdeB//rutG//phnE_2//ydbD//aroH//ugpA//srlR//hyfD//nuoF//cysM//tktB//ugpA//ftnA//malS//galK//envZ//metF//xylA//ilvM//glmY//fnr//trg//aroF//hofC//malT//hybF//bamE//mutY//yfiP//paaB//cpxA//sucB//lysA//hybD//argP//artQ//metN//astB//qseB//cyoB//emrK//yfdE//hyaE//moeB//entA//livF//cbl//ygiA//hydN//lpxD//hyaE//pstB//galM//cheZ//prmC//ompF//fnrS//
FNR-[4Fe-4S]2+ reduced_pos	hofO//pck//paaH//fadE//efeU_2//astB//sdhB//cysU//fumB//aceK//yaiA//nuoH//caiT//paaI//casB//nrfD//xdhC//hybB//ygaC//rplI//creC//truB//paaD//aaeB//rseB//aroH//ileT//ptsI//yjcH//mepH//iscA//rpsF//cyoA//gspJ//pagP//dppC//rhaD//prpR//cheZ//napC//srlR//rbsK//gspL//araB//pepT//lsrB//cysI//appC//appY//soxS//bioF//codA//gabP//creA//fadI//nikB//yfdV//ybdN//nuoB//ssuD//phnE_1//yfdE//bamE//gatY//avtA//ydfH//paaB//csgD//hyfE//metJ//mgrB//cbl//frdC//gltD//yeiL//fumB//degP//aroM//gltF//gspK//znuB//pdhR//dnaN//dadX//rbsR//pheT//lsrA//uvrA//tonB//rrlD//gspK//rrlD//gltU//iraM//gltF//aer//malF//ydhU//mhpE//frc//pgk//dsbA//feoA//mtr//ssb//dgcZ//aceE//acrD//efeU_2//ssuC//cytR//feoA//bcsC//paaZ//prmC//metC//galT//ompX//gspO//fucK//gntK//artI//xylH//ileV//sxy//ilvD//fixX//rutG//mhpB//cysK//hisQ//mhpD//narQ//metQ//mtr//cpxR//malF//oppC//marA//ispE//napB//fdnG//codB//phnO//fimI//hupA//znuA//paaJ//ryhB//mutL//avtA//ssrS//ilvL//mutL//gspK//ompA//dsdC//nuoB//ogt//trxA//betA//dppC//dppA//rplB//hemA//gltA//cusC//rpmI//yiaJ//glcG//adhE//lacZ//fur//ahpC//baeR//lpxA//narG//entH//nikR//gntP//glgA//mltC//stpA//fepE//uxaC//cysH//citG//fecA//creD//ugpC//feaR//torR//caiE//alkB//fumA//trg//paaI//hybE//envZ//gadC//thrV//hisM//
FhlA-Formate_pos	micF//rrlB//csgD//crl//skp//mdtD//murP//uxuR//dadA//nanS//glpR//rbfA//cyoD//pheS//rseA//fliZ//oppB//yidQ//hycB//glpX//garP//comR//aaeR//dadX//fdnH//arfB//phnE_2//ahpF//argB//purN//
FucR-L-fuculose-1-phosphate_pos	xseA//abgA//gabT//hofO//nuoE//galS//ybdN//
Fur-Fe2+_neg	glcE//trpE//kbl//lsrG//glgS//moaC//aspA//dmsA//prpE//alaA//glnK//metR//purN//hyfF//dnaE//hycI//pflB//cysD//motA//argF//rcnB//yneM//fhuE//yhhY//aspA//idnK//treB//glpX//ebgC//prpR//argO//hycI//paaG//araF//pflB//cpxR//yedX//entH//phoP//phnD//fadJ//moaE//phnP//nagE//ygbA//sdhB//cysP//tnaC//znuA//paaA//astA//sroD//nrdI//rbfA//ulaB//entF//cheY//fhuB//nusA//hyfD//nrdB//phnJ//metC//gspH//fhuA//phnI//ebgC//yfeW//abgB//acrD//fis//tar//ada//yoaC//nrdB//aceA//nupG//tdcA//fumB//hmp//fucI//csgG//argC//ycjX//hyaA//trpE//tsx//rrfG//sdhD//gspC//gdhA//gntR//marB//cpxR//preT//gspJ//dkgB//dmsC//cusS//skp//lolB//ykgM//rbsB//gspF//rpsO//fhlA//glpT//gspH//srlB//xdhC//arcA//rbsK//gatC//aceF//malK//phnM//livK//fimH//ascF//ftnA//moaE//fepA//aroG//cysI//
Fur-Fe2+_pos	mgrR//caiC//yjeV//hlyE//hycI//acrF//rutB//metC//cyoB//ompC//trg//cusB//ilvG_2//pck//cydC//purF//argD//rutE//ssuA//ydhT//ppiA//rrfG//ychH//norR//trpC//
Fur-Mn2+_neg	ubiG//cspD//cysH//metN//casE//nuoH//rseA//nrdH//ilvG_1//treC//gspJ//puuP//glnK//yiaJ//frdC//phoE//glpR//hflC//hypA//preT//pstB//hypB//lsrK//nusA//fadE//alkA//phnL//csgB//sucC//ugpE//yfdX//trpR//hyaD//mepH//preT//astE//argF//astB//tsgA//gntU//nanM//phnO//tnaA//rhaS//ackA//feoA//yqjA//mtr//hflD//pflB//gadC//phnG//hybA//fhuD//alkB//rbsR//glnA//dnaE//acnA//nrfA//pheT//lamB//ugpA//nrdI//lysA//nagB//ptsI//nrdI//rbsK//moaB//hycH//paaA//lysA//livJ//modB//fnr//bdcA//pheM//bioC//sbcC//yhcH//casE//idnT//uhpC//gltA//nanC//bacA//purE//aceB//rrsA//yjcH//secB//astB//fhuD//cpxA//rrlD//fabZ//hybE//ychO//cysN//fhuE//glpR//rbsK//ykgM//ygiA//tdh//manY//ilvL//ebgA//trmD//csgG//yqjA//idnR//gltB//hflK//fecR//uxuR//mntP//purD//glcB//cynX//csiE//mtlR//cysH//
Fur-Mn2+_pos	glpT//pheS//norR//secB//mdtB//fadL//hemA//fimH//agaW//hupB//cyoD//pgaB//ppdD//bioC//entH//yeaD//treB//entF//ubiC//gntP//ybfN//borD//aroP//zraP//proP//
GlcC-Acetate_neg	ssuC//
GlcC-Acetate_pos	ccmD//lacI//pstA//baeR//moeB//cadB//
GlcC-Glycolate_neg	nuoI//
GlcC-Glycolate_pos	ccmH//uxuR//cusF//borD//raiA//hisQ//
GlrR-Pasp56_pos	thrV//
IclR-pyruvate_neg	sufC//araD//rpoS//glpX//
IdnR-5-ketogluconate_neg	glcE//gabD//treC//
IdnR-5-ketogluconate_pos	paaK//alaV//deoD//nuoF//trxA//
IdnR-Idonate_neg	purK//ptsI//yhhY//
IdnR-Idonate_pos	patZ//cydC//frc//leuE//qseC//
IlvY-2-acetolactate_neg	hupA//
IlvY-2-acetolactate_pos	malQ//
IlvY-Alfa-acetohydroxybutirate_neg	idnD//
IlvY-Alfa-acetohydroxybutirate_pos	malX//
IscR-[2Fe-2S]1+_neg	paaE//rrsE//nuoA//pheM//garL//argF//rrfD//ampE//argI//aceA//nusA//fixA//motB//hycE//hofM//pheM//nuoG//oppD//amiB//feaR//cysG//rpsI//hofO//bcsA//metJ//ilvY//cheZ//ycjF//nuoG//ascB//
IscR-[2Fe-2S]1+_pos	tnaB//chiP//csgF//fadE//murP//puuP//znuC//yaeQ//dadX//tap//araC//
LldR-L-lactate_neg	gspC//nrfB//pgaA//
LldR-L-lactate_pos	lpxB//tyrA//citC//
Lrp-Leucine_neg	cynS//phnP//rutD//galP//cspD//skp//cynX//moaC//glmY//gspK//rplV//gltV//chbB//tdcF//phnC//grcA//nusA//yegR//tdcG//rnhB//hupB//tfaQ//xapB//gatB//xdhB//hflD//ytfE//malE//trpD//yeiB//tdcA//narI//focA//xdhC//malT//ydeM//lysO//secB//cysJ//csgD//thrS//gabP//oppD//phnH//tap//rstB//hypD//pta//gspL//dmsB//rdoA//dapB//rpsO//ydeJ//yccA//ugpB//frdB//aceK//alaA//glpB//fadA//ssb//purC//torR//pgaD//sdhC//fucA//oppA//manY//dcuB//paaG//ugpA//sufS//ompR//cusB//
Lrp-Leucine_pos	hyaC//galT//tauA//tsaE//gltV//pitB//amtB//borD//preT//appX//ftnA//qseC//focB//ynfF//livG//gntR//rrfG//rrsC//cheW//lldD//hybE//hisM//dpiB//bioC//cyoB//ilvA//yfdX//pstS//entF//garK//gspG//creD//udp//bglF//cydB//
LsrR_neg	hyfG//glcE//tam//prpC//chbF//metY//rrfC//hybC//oppC//
MalT-ADP-Maltotriose_pos	gspD//hyfB//aaeB//ybfN//gatZ//argR//yjjZ//phoQ//cheR//phoP//
MalT-Maltotriose-ATP_pos	gatB//ppiA//cysC//gnd//dkgB//glnB//nadC//narI//glnG//cvpA//
MelR-Melibiose_neg	sbcC//rbsR//mgrR//
MelR-Melibiose_pos	glyA//tdcD//caiD//
MetJ-S-adenosylmethionine_neg	mltC//caiF//gpmA//azuC//mntP//ubiA//ysgA//gnd//ynfH//hyaD//puuE//rrlH//cspD//gspE//agp//
MetR-L-homocysteine_neg	deoD//glpC//
MetR-L-homocysteine_pos	aaeA//fimH//gpsA//feoB//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	hisP//ldtC//dppC//rhaB//ybdN//bcsA//
MhpR-3HPP_pos	evgS//aroM//rbsA//ompC//fepB//ydeP//
MntR-Cd2+_neg	infB//norR//safA//hupA//
MntR-Cd2+_pos	yecR//
ModE-MoO42-_neg	carA//yojI//entS//ilvA//rutA//iscU//soxS//cspE//astE//dnaE//emrY//entS//glpB//dppD//rrfA//
ModE-MoO42-_pos	garR//xdhA//xapB//dcuC//trpR//acnB//hofN//metC//pyrC//azuC//lsrD//sucB//gatA//lrp//stpA//mdh//pgk//rplS//cysG//purL//ccmD//fadA//fadD//recF//motB//narI//ilvD//pta//glcF//yaiW//ilvM//
NarL-Phosphorylated_neg	gntT//spf//csgF//phnK//norW//ilvI//glcA//yfaE//cynT//csgA//allD//rbsK//ilvH//tauD//srlD//sdhB//abgB//rnhB//purD//phoH//alaV//nrfA//glpQ//fimE//ppiD//fecE//ycjF//sufA//prpR//ssuB//prpE//yebE//treR//melR//rnlA//hyfJ//uraA//paaE//glcC//dadX//ilvG_1//grpE//rpoS//alkB//soxR//tauD//artI//ssuC//zraS//hybF//tolC//gcvT//malQ//znuC//malI//ldtB//ssuD//ygeA//ydfN//yhjC//hyfI//ydeJ//caiF//dsdX//cydA//rrsE//lolB//puuR//malF//hyaA//hflK//pstB//yaiA//hybA//aroA//miaA//prpB//tehB//ydeO//rrsH//carB//paaZ//fecB//trpA//ompX//chiP//
NarL-Phosphorylated_pos	oppF//rrlA//priB//prpB//comR//infC//purD//moeB//aroM//rpsJ//baeR//fdhF//dadA//yciW//csgA//envZ//envZ//sbcC//sufD//rybB//modB//nuoI//astC//dsbA//xylG//pyrD//zntA//baeS//cueO//lacI//yhjA//cas2//bioC//xdhB//ycdZ//frdA//fecR//cynS//hyfG//ileV//rseB//trpR//tdcC//fadE//malX//modA//
NarP-Phosphorylated_neg	znuC//gltF//gdhA//ytfE//adhE//rimP//csgB//hyfE//mglA//rplT//cysB//chbC//gatY//glpX//astA//yaeQ//paaE//nrdE//gltA//tdcF//rhaB//fliZ//rutE//modC//tomB//rpsP//cyaR//csgG//raiA//ulaE//cheR//torA//csgD//
NarP-Phosphorylated_pos	hydN//tnaB//nanT//narI//fumA//paaJ//ugpB//sdhD//ihfA//rplD//nanE//hypE//rstA//pyrC//torA//uidA//iclR//phoP//ldtB//katE//dapD//rplT//iscR//narK//livF//serA//sbmA//cysI//mgrR//purB//ugpE//ccmA//
NhaR-Na+_pos	feoB//speA//fixB//fhuF//ebgC//
NikR-Cd2+_neg	pgaA//bhsA//nagA//cyoA//ubiC//tnaB//
NikR-Co2+_neg	lldR//rrlE//dkgB//rbsD//ygeA//hofP//
NikR-Cu2+_neg	hmp//agaW//fimD//mntH//lldD//rseB//
NikR-Ni2+_neg	yqjA//bdcA//erpA//malF//garR//tdcC//
NikR-Zn2+_neg	ompA//fecE//znuB//ssuA//rimP//fliZ//
NrdR-ATP_neg	preA//uidA//glpA//fixC//fucO//nohA//phnD//ndh//yegR//
NrdR-Zn2+_neg	malK//cysC//mhpE//tdcC//casE//ompR//sufS//modB//mltC//
NrdR-dATP_neg	creD//tktB//recF//ilvD//yrbL//hycD//glcF//cydA//edd//
NsrR-[2Fe-2S]reduced_neg	yhcH//ampD//fepG//yqjA//argG//idnO//melB//treC//rybA//mzrA//pgaD//fucR//hycI//melR//caiB//astE//bacA//comR//cadA//mntH//alkB//caiE//uhpA//dgcZ//csgD//ykgM//pagP//fur//miaA//hycC//allC//pheT//hcr//metJ//lysA//hcp//ilvG_2//gcd//hofN//glcB//puuB//rrsB//hyfG//mtr//gatY//cyaR//ahpF//evgA//hisP//acnA//creA//gatC//dmsA//sufC//flhC//pstA//gadB//nikE//tehA//cysW//glcF//galM//lpxA//fes//uxuB//lsrK//yeiL//gcd//csgG//yegZ//argD//tpx//paaH//
PhoB-Phosphorylated_neg	tyrB//ychH//chbA//murP//srlR//mtlA//entS//glpX//spy//metC//mepH//glpD//pgk//
PhoB-Phosphorylated_pos	purD//actP//rrfE//gcvT//napD//csgB//betT//ybdN//metK//hybD//cynX//glmY//xseA//aaeX//ansB//rpsP//rof//bioD//glgB//creA//gabP//yaiW//mhpA//rrlG//spy//ydeM//sucB//mltC//rplB//rbsA//cysG//frdD//araH//cysG//hyfJ//purC//zraP//pstB//nagC//rpsF//pagP//cydB//ydhU//acrD//glcD//rplW//phoP//rplP//rrlD//puuR//rbsD//yqaE//rybB//
PhoP-Phosphorylated_neg	upp//dmsC//creB//ydeP//tomB//ydeO//casA//nrdF//cspD//glgP//manY//
PhoP-Phosphorylated_pos	phnD//yggX//lacI//fbaA//rhaT//fecR//nrdF//astE//tomB//ugpB//cusC//feoB//pyrC//nuoI//ccmH//bioD//mtlR//arcA//aceA//csgA//nrfF//pflB//fimE//malF//frdC//dsbA//frdC//astA//tsx//hycI//hflD//kbaZ//paaF//sohB//fimE//gpsA//prpB//znuA//micF//puuD//purD//rrsG//dmsB//yqaE//astB//hyaE//livF//hybB//araA//
PrpR-2-methylcitrate_neg	rprA//
PrpR-2-methylcitrate_pos	trpL//lsrG//fucK//chbF//
PurR-Guanine_neg	polA//fucI//lpxB//hycI//metJ//cynX//aroG//spy//yhfA//metR//hybC//rpoS//rrsH//rrlA//allE//motA//modB//citC//rpsR//glcA//yhhY//iclR//emrK//ilvL//hpt//mutL//gpmA//yqjI//rhaS//nac//fucI//lhgO//purR//argI//
PurR-Hypoxanthine_neg	ytfE//glgP//paaZ//ygiB//alaA//metF//allE//bglG//tnaC//tauD//idnO//uxaC//hisJ//rpmI//hypC//uhpA//alkA//tsaE//gcvP//lacZ//chbF//lsrG//gntR//sodA//glpC//degP//degP//torR//gyrA//glpK//gntT//ykgO//polA//mzrA//
QseB-Phosphorylated_pos	xylF//xdhA//nrdB//ycdZ//
RhaR-L-rhamnose_pos	metN//tauA//
RhaS-L-rhamnose_pos	fecB//ugpC//ilvG_1//
RstA-Phosphorylated_neg	cpdB//fhuC//fumA//nrdH//fbaA//
RstA-Phosphorylated_pos	ulaE//polA//fepC//artQ//sdhC//
SoxR-[2Fe-2S]3+ oxydized_neg	srlE//
SoxR-[2Fe-2S]3+ oxydized_pos	ydfN//nrdB//nrdE//
TorR-Phosphorylated_neg	emrY//
TorR-Phosphorylated_pos	ygeH//xylH//trg//nac//rpsS//ydeN//ebgC//envY//rrlB//
TrpR-Tryptophan_neg	gltV//entA//ilvG_2//spf//nrfG//rmf//abgB//rrsD//mtr//carB//hupB//iraD//
TyrR-L-tryptophan_neg	speB//rhaR//nagA//marA//fnr//ompA//chbC//rrsG//mgtL//agaA//tauB//rbsR//
TyrR-L-tryptophan_pos	sdhD//araF//nanE//
TyrR-Phenylalanine_neg	cysA//ygiA//metK//iclR//znuA//bamE//yhcH//rhaT//pitA//argT//marR//rrlB//
TyrR-Phenylalanine_pos	infC//mhpA//csiD//
TyrR-Tyrosine_neg	fes//ldtB//tdcF//sohB//nagE//cyoC//hofB//glpA//gspH//ytfE//fadI//hdeD//
TyrR-Tyrosine_pos	fdnH//cusS//yaiA//
UhpA-Phosphorylated_pos	csgB//
XapR-xanthosine_pos	hybB//gcvT//
XylR-Xylose_pos	nikD//envZ//phoA//rutE//cynR//hofM//
ZntR-Cd2+_pos	nanC//
ZntR-Hg_pos	hycA//
ZntR-Zn2+_pos	upp//
ZraR-Phosphorylated_pos	glcF//chiP//rbsD//
Zur-Zn2+_neg	caiB//aaeR//qseB//dcuS//umpH//iraM//
