#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	dnaA//nrdI//
CRP-cAMP_pos	pstS//ldtC//abgT//garR//phoB//tauA//ackA//creB//lpxA//cusR//casC//feoC//glcG//comR//xylH//gpsA//aceB//motB//recF//ydeN//alaS//baeR//pgaB//pstB//garR//pncB//ydhT//yggX//cyaA//sufS//csgA//moeA//mntP//rrfE//aaeB//pheS//modC//nikD//trpE//rrlG//nrdG//aceF//ilvD//yccA//mglA//pgaB//fecI//yecR//marR//entA//argF//paaK//csgF//cbl//lamB//mglC//fadD//nrdB//mlc//pflB//rimM//yibN//purM//moaD//hyaA//lpxB//napH//pta//rrlB//casB//mhpD//atoB//ugpB//aer//phnN//caiC//ydeN//rbsA//tehA//entE//rcnB//tktB//araC//uxuB//cheR//slyB//osmC//secB//phnC//nikR//ugpC//malX//gabP//hybA//rrsA//entH//cynS//lpxA//acrA//rimP//efeU_2//artQ//phnH//ftnA//manA//phoB//infC//serC//nlpD//hyfR//sucA//yfdX//tam//cyoC//purH//uhpB//nanT//glnL//treB//yaeQ//ugpA//folE//metH//livK//malE//yneM//map//ryhB//secB//nrfE//ppdD//tdcD//ydhU//phnC//cysH//pgpC//uhpC//sufB//treR//betT//puuP//yfdV//glpB//atoD//metL//uhpT//malF//bioB//araJ//aldA//glyA//marR//yaiW//cydD//aspC//hycH//prs//glpF//hcp//hyfI//fur//arcZ//nrdA//ydeO//pitA//dctA//grcA//rcnB//malT//entS//katG//casD//tdcD//nrfA//tauB//caiF//ygbA//sdaA//glyA//bioB//mhpE//glpF//aaeA//dusB//ubiC//yhcH//gspH//yqaE//murQ//actP//cyaA//lsrB//zntA//malY//nrfE//dsdX//lpxD//gatC//metB//ccmG//yhiD//araG//yfdV//acnB//phoU//yebE//uxaC//rpsI//tonB//ybiT//fimI//nuoA//aldB//acrF//cbl//aceB//fumA//aaeB//cydB//fecR//rpsP//exbB//narI//agp//iclR//purH//cusA//glgP//mhpA//nagA//ssuA//trpB//fur//purD//ryhB//lysO//alkA//polA//argE//safA//gdhA//gntP//sdaA//glpD//fliA//sufA//cysC//dpiB//sucD//ogt//safA//entF//hyfA//lpxD//ysgA//fumA//argH//aer//yojI//motA//feaR//hypB//mlc//rrfH//alaU//pck//pta//dmsD//rplP//rmf//nusA//paaA//narQ//ilvH//lsrK//evgS//ydiU//chbR//cusC//hypE//rmf//xylB//amtB//argH//araA//asr//zntA//aceA//fabZ//katE//hdeA//epd//hisJ//argD//ydeA//uxaA//rprA//ilvG_1//dmsA//yjeF//dnaA//cysP//dsbA//nikD//gspE//rrfA//glpB//glpE//cas2//guaA//ugpA//hcr//gltU//ssuA//torD//ydeA//cbl//yiaJ//psd//trpD//rpoE//napD//mglC//xylA//livJ//melR//srlB//torR//narL//idnR//creB//ygeH//csgC//nuoG//gltV//hdeD//gutQ//yccA//slyB//comR//pagP//thrV//yegH//feoA//argE//oxyR//gdhA//dadX//dsdX//deoC//deoB//fecC//aldB//gatA//chbB//dkgB//ptsH//glnD//cyaR//lpxD//rpmC//ssuE//malF//epd//tolC//srlA//cyaR//ppiA//sucC//bioD//nuoN//umpH//nac//phnE_1//yjeV//yhcH//fimD//ycjF//livJ//citG//gspH//fadE//rpsJ//leuE//mscM//metQ//emrK//dcuB//fadL//argR//pepT//putP//cadB//dcuB//tnaB//acrA//sdhC//nrfA//purE//priB//ytfE//rrfC//fecA//glpX//mgrB//hypF//araA//borD//ccmB//fecC//cynS//tauB//narX//entC//lsrB//ygiA//rpsQ//casB//glpF//abgB//ydbD//yhfA//cydA//zntA//puuB//glpQ//borD//aaeX//allD//
ChbR-Monoacetylchitobiose-6P_neg	bglG//yegZ//amiB//tar//malI//metY//
ChbR-Monoacetylchitobiose-6P_pos	nuoE//frdC//sucC//caiB//talA//idnT//
CpxR-Phosphorylated_neg	paaE//mdh//nuoE//modA//hfq//dnaA//phnE_1//napB//bdcA//phoP//ygaC//nuoN//entD//casE//cas1//garK//ygiA//hslJ//paaH//creD//slt//fucO//ynfK//katG//
CpxR-Phosphorylated_pos	alaT//citF//hofO//lacA//metJ//glnK//ssrS//caiT//cysA//caiD//sucC//rnlA//cadC//agp//lrp//yhjA//uidC//rbsD//purM//dapD//ebgA//asr//nuoF//creB//kbl//acrE//ilvL//entH//gcvP//gspO//ybfN//sucB//aaeX//lacY//csgE//fnr//rnlB//argC//nanS//arfB//citX//pgpC//fau//rutG//modB//
CreB-Phosphorylated_neg	hflK//aroM//rplP//
CreB-Phosphorylated_pos	nrdE//trpE//xapB//malI//yfdV//yqjH//
CueR-Ag_neg	creC//bcsB//metC//ycdZ//exbD//
CueR-Ag_pos	osmC//ackA//
CueR-Cu+_neg	ppdD//slt//phnM//nagE//hyaB//
CueR-Cu+_pos	fepC//astE//
CuerR-Au_neg	cirA//fnr//bamE//hybO//uidA//
CuerR-Au_pos	gspD//amtB//
CusR-Pasp_pos	purC//osmY//rbsK//glgC//frdD//astA//ssb//avtA//casC//moeB//ybfN//nrdD//
CynR-Cyanate_neg	gatZ//
CynR-Cyanate_pos	feoC//thrV//rrlG//
CysB-N-acetyl-L-serine_neg	fecI//mgtL//malE//abgB//ydhW//ilvH//mdtC//
CysB-N-acetyl-L-serine_pos	purC//rrlC//lsrF//pflB//cysD//grpE//dsdX//ada//gspJ//yfaE//hybB//cadB//araE//ygeH//aceE//yjeV//zinT//glpC//ychO//motA//thrS//hybG//yeiL//
CysB-O-acetyl-L-serine_neg	znuB//ssuC//dadX//narQ//rstA//ssb//ryhB//
CysB-O-acetyl-L-serine_pos	rrfA//yeaR//glpK//fdnH//aaeX//ybdZ//pagP//lsrG//tdcG//pgaD//aspC//purB//gspJ//ompF//garP//xylF//araA//tauA//yfiP//ndh//rpsP//hyaC//paaJ//galM//
DcuR-Phosphorylated_pos	xylB//psiF//araA//borD//zinT//hyfG//fimH//sbcD//glnK//
DnaA-ATP_neg	fucU//puuC//hyfJ//hyaD//codB//rrlC//slt//nikD//rplM//tauB//lsrA//
DnaA-ATP_pos	hcp//tap//mdtD//murP//sucB//hybD//aroP//
DpiA-Pasp_neg	gatZ//
DpiA-Pasp_pos	malM//ilvC//rutD//atoA//cysB//fimG//ydeJ//fumC//folE//rplW//
DsdC-D-serine_neg	envY//
DsdC-D-serine_pos	lacY//zraP//
EvgA-Phosphorylated_pos	ccmA//phnJ//garK//fimC//torC//appB//hybD//prpD//iscA//fumB//bhsA//rpsS//malZ//znuB//fur//
FNR-[4Fe-4S]2+ reduced_neg	glpR//ycdZ//atoE//moaB//yfbR//glcC//bglG//bglB//ubiC//iclR//cusB//xylF//pstC//efeU_2//citX//adiC//fiu//uidC//ydhX//alkA//gnd//srlD//nanM//lsrG//pheS//acrF//exbB//phoB//gltB//fumB//ppdD//moaA//cusA//putP//torA//znuA//araJ//fldA//bcsB//ccmH//metY//pgaD//lsrR//glcF//ydfN//mgtA//ackA//gspM//oxc//ryhB//tdcD//metJ//fumB//ilvL//nanM//hdeA//melB//tam//guaB//dsdX//dapD//nirB//rpsP//yaeP//nanS//uraA//rnpB//napD//rnpB//galK//abgA//hypE//pheS//feoA//metK//yqaE//ubiG//bioD//gnd//sucD//zwf//ssuE//cas1//tehA//hisQ//tdcA//phnH//tsaE//cbl//cydC//fhuC//nrdG//hycC//glnG//moaA//ybiT//dgcZ//malE//mscM//infB//artM//nuoL//ilvL//mtlA//betT//aroM//nuoG//norR//xylA//sufS//gatB//astC//malZ//metY//hofB//cysN//rrfA//hybC//iraM//agaA//
FNR-[4Fe-4S]2+ reduced_pos	lacA//fixB//yhiD//ilvD//katE//gspI//pstC//fimE//rplV//pyrD//yqjA//abgT//uhpA//ilvN//priB//rrlC//paaG//rrfC//ompX//alaU//prmC//uidB//adhE//fhuF//ycjX//mcaS//rrlD//hisJ//glpX//purD//glyA//nanS//rpsO//ryhB//ileV//gpsA//rpsI//yjiY//ilvB//torA//puuR//lldD//putP//lsrC//ispE//csgE//argI//sodA//phnE_2//dmsA//bioC//nirB//tdcC//ilvX//hisJ//paaD//yeiW//astB//hycD//aer//ychO//soxR//mgtA//nirB//rplP//deoC//cbl//phnO//paaJ//malP//atoD//hycI//sufE//rutF//hcr//hlyE//bcsB//gutM//nuoG//sodA//hyfA//dppD//metK//ygbA//csiD//astD//puuE//srlB//yrbL//dnaE//nrdE//purK//mntS//phnE_1//entF//borD//rseC//metC//rpsS//recF//dmsB//fdnI//folE//casE//ccmF//puuR//rpmC//ccmA//tap//dppA//alkA//fucR//ugpC//patZ//uxaC//nikC//yqjA//nuoM//casE//ydeM//dcuD//ygeH//modA//tadA//crp//acrF//baeS//atoE//gspI//idnD//tauC//aroP//tdh//gntP//moeB//znuC//pitB//recF//carA//araE//alaA//iraM//aroF//mgrB//ompR//ynfH//efeU_2//dcuD//gntX//alkB//ugpE//guaB//ung//carA//livG//cra//cyoC//hyfI//fhuA//xylB//nrdI//phnH//sodA//glnL//gntX//garP//umpH//xylH//ilvB//hycG//bcsC//citX//glcE//ivbL//metK//gabD//focB//mglB//baeS//yaeQ//yfdX//gabP//tauA//avtA//fliZ//envY//nfuA//rimP//nikR//phnP//hyfE//cysH//citG//guaA//napA//srlE//hybC//fimD//ykgR//aaeB//appC//abgA//
FhlA-Formate_pos	mntH//araC//feoA//icd//fepC//tdcA//focA//fadD//cyaR//paaZ//glnA//aaeB//napG//icd//hyaC//narG//mhpE//hybO//nadC//dsdX//glpA//glnL//ppiA//sroD//ydfH//glnG//manA//rhaB//entB//argC//
FucR-L-fuculose-1-phosphate_pos	nrdF//uhpT//ompT//efeU_2//fimC//rutD//yegH//
Fur-Fe2+_neg	spf//sbcC//yaeP//chiP//feaB//feaR//cas1//folE//rrlG//cspD//hdeA//bglB//bhsA//zraR//uxuB//hflC//ampD//glnG//gatB//csgC//aldA//aaeX//hypD//glgC//deoD//araA//rnhB//astE//ilvX//speA//dsdX//mglC//mgrB//envZ//argT//hybG//nuoH//ilvY//bioD//dsdC//glrR//alaU//frdB//glpK//uidC//rcnB//ugpQ//fhuA//nrdD//phnI//tcyJ//glpB//codB//citG//casB//treR//ychH//ebgC//cysC//ygeA//idnD//fimG//metK//marR//bcsZ//yfaE//torR//tonB//aer//ugpE//lsrC//yecR//ccmB//fimD//lacA//chbG//ccmF//phnN//gntK//trpC//hflD//slt//ahpC//lsrA//lacY//alkB//rrsE//metN//rybA//lldR//tonB//atoD//manZ//cyaR//rpsI//ygeA//copA//phoB//tdcA//hofB//puuP//sbcC//fumA//phnH//manZ//chbB//oppF//focA//marB//prs//hflC//srlE//paaZ//bglF//phnM//thrS//sucA//ispE//zraP//phnJ//rplM//ugpB//trg//napG//
Fur-Fe2+_pos	cspD//zraR//dcuB//xseA//dcuC//hycI//hypB//priB//glrR//rrfC//aspA//mepH//entH//ydfN//nirC//murQ//gyrA//garP//ytfE//rhaS//phoE//betT//borD//zntA//galE//
Fur-Mn2+_neg	aroF//ynfH//treC//malG//sbmA//yfdE//phoE//cbl//lsrR//cysD//bamA//phoQ//mhpC//mgrB//gcvH//cynT//cirA//mglB//rbsC//ydbD//hyfB//nuoF//gspE//rrsH//idnR//gspO//hybA//argT//xdhC//srlA//rrfH//tonB//fhlA//ygiA//dsdX//mgrR//ompR//malG//asr//sufA//hflD//phoB//lysC//spy//dmsD//hycH//tsx//rseA//malF//tnaB//metE//lldR//rimM//rpsP//fdnG//fucI//gspK//aroP//edd//hybC//hypB//sufS//tar//pncB//gspE//ccmB//nlpD//thrV//yhcH//phoA//ydhX//acrA//csgG//malG//hyaC//rpsF//fadB//ydbD//dppF//gntK//aceB//aroH//rhaR//cysJ//dnaE//asr//dapB//phoA//tnaC//dcuS//frdD//gabD//chbA//rrlE//grxC//chbR//hdeB//tyrR//gntK//manY//fecA//dsdX//hycB//crl//garR//hyaC//cheZ//hofN//uhpT//fadE//srlA//mglB//zraR//murP//hisP//pstS//hyfB//sodA//fucA//rcnB//tehA//tauA//iclR//metB//
Fur-Mn2+_pos	lrp//rimP//livH//caiB//fau//fepA//betT//tauB//cheZ//nusA//trg//frdB//araG//betB//arfB//dkgB//hyfI//nrfA//rcnA//srlD//ptsH//hlyE//hyfE//malF//hyfB//
GlcC-Acetate_neg	rrlD//
GlcC-Acetate_pos	sucB//idnT//yfdE//hyfA//tsr//hyaB//
GlcC-Glycolate_neg	frdD//
GlcC-Glycolate_pos	gntR//paaF//hybD//modB//metI//fucI//
GlrR-Pasp56_pos	tnaC//
IclR-pyruvate_neg	nagA//mutY//phnE_1//dcuD//
IdnR-5-ketogluconate_neg	metC//ygeH//rrlC//
IdnR-5-ketogluconate_pos	xapA//fnr//ahpF//sxy//phnE_2//
IdnR-Idonate_neg	hyfJ//fhuF//tsaE//
IdnR-Idonate_pos	lpxB//ada//cysC//rpsP//nanK//
IlvY-2-acetolactate_neg	ompW//
IlvY-2-acetolactate_pos	gltF//
IlvY-Alfa-acetohydroxybutirate_neg	galM//
IlvY-Alfa-acetohydroxybutirate_pos	lamB//
IscR-[2Fe-2S]1+_neg	dctA//dmsB//yoaC//gltB//aceE//ugpQ//mlc//dpiB//rhaS//rmf//caiA//yoaG//metE//micF//fecR//lldP//leuE//alaV//hofP//lysA//metE//glpF//dnaA//torA//hycI//hofC//osmC//baeR//puuE//gadC//
IscR-[2Fe-2S]1+_pos	cadC//gpsA//skp//cysW//nanA//dcuR//dapD//yeiL//hcp//glpK//citG//
LldR-L-lactate_neg	caiA//yrbL//fecD//
LldR-L-lactate_pos	rrfD//metE//mlc//
Lrp-Leucine_neg	rrfD//asr//creC//nirC//mntS//cvpA//atoA//hflD//hypE//rpmC//pyrC//aaeA//caiT//entS//rdoA//phnK//rhaS//phnP//bcsA//cynX//modC//spf//ilvN//srlE//glpK//skp//lacI//rbsD//ccmH//marR//feaB//rmf//pepT//araB//torR//rpsS//malY//bioC//trpC//tdcC//chbB//dmsC//hofC//livM//nirC//dppD//hofP//rnhB//rcnA//cysH//ybfN//gatY//rplB//ivbL//map//ssuD//rybB//lamB//mgtL//caiB//idnR//puuD//prpD//speC//nirD//carB//caiC//hypB//rnhB//uxaA//ydhV//phnK//fadL//glcC//iscS//
Lrp-Leucine_pos	sodA//mutY//exbD//phoA//exbD//cynT//gltW//fecC//hycF//tdcG//hupB//metI//soxS//gspL//pheT//ahpF//hupA//ung//moeB//betB//dcuA//hyaE//rhaS//ygaC//mgrB//atoE//nuoK//ugpQ//pck//metL//yqaE//oppA//cusC//ulaE//ugpB//
LsrR_neg	paaF//caiT//lrp//artQ//modB//hdeD//acrD//sbmC//marR//
MalT-ADP-Maltotriose_pos	prfA//nanM//cusB//yjiY//csgC//caiB//pncB//lldR//lpxB//paaF//
MalT-Maltotriose-ATP_pos	ygeH//casE//abgA//trpR//aaeX//creD//tsgA//ompF//atoD//yqaE//
MelR-Melibiose_neg	csiD//yhfA//ugpA//
MelR-Melibiose_pos	chbB//mutY//rplW//
MetJ-S-adenosylmethionine_neg	arcZ//dsdA//mutL//ycdZ//tsaE//metJ//prpR//mglC//aaeX//nrdH//yiaJ//caiC//rrsE//phnK//tsgA//
MetR-L-homocysteine_neg	raiA//yfaE//
MetR-L-homocysteine_pos	glcB//modC//ccmB//mhpA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	gntU//astE//ydiU//deoB//cstA//nuoJ//
MhpR-3HPP_pos	metA//pck//hypE//mhpF//prpB//fadH//
MntR-Cd2+_neg	dppD//puuE//fepD//glgB//
MntR-Cd2+_pos	gspK//
ModE-MoO42-_neg	nmpC//hycG//moaD//aroG//uxaB//glcG//copA//allE//nrdG//phoQ//bioD//moaE//acs//nuoC//flhD//
ModE-MoO42-_pos	malS//ilvB//fimH//tsgA//nuoJ//glpK//evgS//uhpC//pflB//yoaG//araB//bioD//dps//acnA//ydiU//hslJ//rutA//dapB//exuT//zraR//betI//codB//tyrA//psiF//gatD//marB//fixX//phoP//araB//bcsA//tdh//
NarL-Phosphorylated_neg	glyA//rimP//glpR//ilvL//cusB//rnlB//cspD//purM//norR//rhaS//ynfG//cynX//caiB//glcA//rpsI//yhfA//sbmC//hdeB//phoA//hycB//argH//dmsC//livM//ung//comR//paaD//cysW//hdeD//pheM//alkA//emrK//priB//puuP//lsrF//entD//deoA//tauC//hlyE//nrdD//aidB//appY//baeS//nmpC//moaD//pgaB//pepT//hycC//purN//mzrA//hyaC//sufS//flhD//cysJ//glnL//bcsA//paaA//dapD//cusA//ugpA//rpoS//nrdE//malX//cysW//mhpC//fes//nirC//ompC//codA//tfaQ//osmY//betI//dcuS//hyfR//fepE//dcuB//ycjF//glmY//paaH//gspL//phoE//rrlH//ykgM//tolC//gntP//dppA//napB//
NarL-Phosphorylated_pos	gyrA//cpxA//ftnA//lysC//livK//gspI//gspE//mutY//rseB//baeS//malY//phnG//hslJ//glgP//acs//adhE//rrlE//malK//ynfK//trxA//malG//gcvT//csiD//napA//nmpC//nuoK//glnA//fadE//nrfD//hycE//fabZ//marA//tadA//malE//betB//ugpA//csgG//yoaC//rrsA//cheW//argD//glnA//mtlD//lacY//sucB//nanT//
NarP-Phosphorylated_neg	paaZ//dmsC//sbmC//ybdN//agaW//glcC//yaiA//glcB//glpA//gcvH//yqjA//marA//aaeX//cysK//flhC//serC//rplB//pdeF//nuoG//cspD//atoE//sdaA//pheS//appX//borD//priB//ascF//nrfF//uxuA//cstA//hofM//truB//csiE//
NarP-Phosphorylated_pos	lacI//rplW//glnK//galM//pdeF//purD//hdeD//ygiA//livM//gltA//rrfE//znuC//nagB//chbF//fadE//nanC//ndh//metC//lsrA//ilvD//dmsA//lhgO//phoU//argI//gspD//rplI//mhpF//phnD//rpoS//phnD//murP//ugpE//
NhaR-Na+_pos	glpD//nlpE//bamE//srlA//mgrR//
NikR-Cd2+_neg	betB//baeR//acrA//idnO//narK//ppiD//
NikR-Co2+_neg	tehA//caiD//mglC//cynS//glpA//fdnI//
NikR-Cu2+_neg	sbcD//ssuA//cusF//astD//lldD//hupA//
NikR-Ni2+_neg	sucB//cysB//hybA//paaD//phoU//uxaA//
NikR-Zn2+_neg	flhD//rpsF//qseB//hdeB//pck//glgS//
NrdR-ATP_neg	fepD//fimC//grpE//paaA//glpA//garR//ykgR//znuB//rbsD//
NrdR-Zn2+_neg	purF//kbaZ//astC//ptsI//pgaD//exuT//rdoA//nanM//tyrP//
NrdR-dATP_neg	tfaQ//prs//dpiB//nikR//mgtL//cvpA//hycA//lacI//micF//
NsrR-[2Fe-2S]reduced_neg	entF//argH//ydfH//gspF//iscR//acrF//yebE//oppA//spy//puuA//ilvG_1//cysM//sucB//nrdG//phoH//pstA//artM//rrsA//lpxD//alkB//phoP//chbB//rbsD//ccmB//rnlA//torR//hyfI//entC//atoE//cheZ//rbsC//yfbR//ykgO//uxaA//tdh//phoE//metE//phnD//hofP//rbfA//rplI//galK//ugpQ//mpl//ilvL//tdcB//ompF//caiA//sdhB//hpt//fhuA//spf//ccmC//lysU//yibN//rrlC//yhhY//astD//betI//nrfC//livJ//feoA//ydeM//ydhW//livG//cusR//nrfF//fadH//tap//speA//tauA//ilvG_2//metQ//
PhoB-Phosphorylated_neg	ygeA//tar//rbsR//purM//rrlE//gltW//manZ//evgA//guaB//aldA//yrbL//nagA//nrfB//
PhoB-Phosphorylated_pos	glpD//udp//lrp//gspK//comR//ygbA//ydiU//ldtB//rrsH//ubiG//lldP//qseC//xdhB//moaA//uhpC//lamB//nuoA//trpE//avtA//fadJ//fucO//caiT//cstA//sodB//gabT//ycjF//safA//yneM//araB//cpxA//nrfF//yhjC//astC//ldtB//actP//efeU_1//thrV//ptsG//hyaE//rrsC//rplC//araA//pnp//fhlA//nirC//bcsZ//dmsD//bioF//rplB//araG//yhcH//acrA//dcuC//
PhoP-Phosphorylated_neg	napD//rcnA//fecD//rrfH//fixC//yoaG//hypC//hofN//aceB//cheW//malE//
PhoP-Phosphorylated_pos	copA//caiA//allE//efeU_1//phoB//napH//talA//aroA//cysM//recF//fadJ//iclR//trxA//fixC//hflK//srlE//bioF//norV//caiF//appY//hyfG//paaC//nadC//hybF//ebgA//dmsD//phoE//rmf//ynfH//creB//cysN//lldR//nagA//idnR//ydiU//oppF//aaeB//metI//ampE//yqaE//paaG//hofO//manA//marB//pflB//rplC//speB//speB//borD//
PrpR-2-methylcitrate_neg	paaZ//
PrpR-2-methylcitrate_pos	grpE//rutG//atoA//srlA//
PurR-Guanine_neg	yebE//tdcF//abgB//ynfK//hofP//idnK//osmY//hycF//gntR//tpx//casC//tauA//citD//fepC//livG//ccmG//ascF//rstA//puuR//entF//tyrB//cas1//paaD//hcr//katG//rpsC//hybA//gutQ//csgF//baeR//mdtB//rrsB//yfdV//deoA//
PurR-Hypoxanthine_neg	phnL//lldR//gntR//galP//ybdN//idnO//bcsA//udp//gltF//leuE//ompT//aidB//ssuE//argF//ydeN//lhgO//lsrB//ilvY//gspG//norV//gutM//ydhT//hycF//gntT//sdaA//sodB//ompX//fumB//sodB//rhaT//ygeA//gyrA//malP//cusR//
QseB-Phosphorylated_pos	fhuF//tadA//rhaS//ptsI//
RhaR-L-rhamnose_pos	actP//nrdA//
RhaS-L-rhamnose_pos	manZ//casE//polA//
RstA-Phosphorylated_neg	hycC//gutM//dcuB//sbmC//torD//
RstA-Phosphorylated_pos	ydhX//cytR//glgC//araA//fimG//
SoxR-[2Fe-2S]3+ oxydized_neg	gpmA//
SoxR-[2Fe-2S]3+ oxydized_pos	pyrD//yhcH//ynfH//
TorR-Phosphorylated_neg	gspF//
TorR-Phosphorylated_pos	gabP//ahpC//dadA//chbF//truB//glcG//trpL//paaF//bcsB//
TrpR-Tryptophan_neg	fdhF//trmD//ftnB//puuD//acrF//rbsA//araH//bcsA//yciW//caiE//chbA//yhjC//
TyrR-L-tryptophan_neg	rpsF//patZ//ogt//hyaF//spf//metI//narJ//tdcD//ydbD//rrsA//ftnA//tonB//
TyrR-L-tryptophan_pos	bamE//nikA//xdhA//
TyrR-Phenylalanine_neg	dps//lrp//raiA//tyrA//tdh//rprA//rpsR//uxaA//hyfE//baeR//fecB//rutD//
TyrR-Phenylalanine_pos	ynfH//gntP//norV//
TyrR-Tyrosine_neg	hofO//feoA//modC//gatD//ychO//aceE//cspD//nmpC//tauC//malQ//ybiT//yojI//
TyrR-Tyrosine_pos	dnaN//gntK//ynfF//
UhpA-Phosphorylated_pos	yfiP//
XapR-xanthosine_pos	nuoF//mntP//
XylR-Xylose_pos	yqjA//upp//alaU//galE//gatC//yneM//
ZntR-Cd2+_pos	glpR//
ZntR-Hg_pos	livF//
ZntR-Zn2+_pos	yqjA//
ZraR-Phosphorylated_pos	cynT//aroH//tdcA//
Zur-Zn2+_neg	hycG//hflX//ytfE//pgaD//rrlC//appY//
