#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	tdh//norV//
ArgR-L-arginine_pos	aroG//dps//hypF//pstC//eda//
AtoC-phosphorylated_pos	cadA//cspD//cheY//envY//
BaeR-Phosphorylated_pos	araF//treB//mhpA//dcuC//envZ//murQ//atoA//hemL//
BirA-bio-5'-AMP_neg	asr//azuC//iscS//nlpE//tcyJ//
CRP-cAMP_neg	tehA//sufA//zinT//glpE//lldP//secB//acrE//dmsA//rplB//sbmA//gabT//abgA//cysH//glpF//patZ//prpE//rbsA//ugpA//livK//hyfD//alaA//phnL//cheY//pstS//phnN//mhpA//treC//cyaR//yidQ//xylR//hybB//fiu//yfdV//phnE_2//lysO//malT//hybG//mglC//fbaA//ynfE//iraD//casB//glnB//glpG//gspO//metH//dmsB//gspI//entB//crl//ilvY//srlR//chiP//ygiC//stpA//ugpA//idnD//ssb//fepB//marR//putP//yeaE//idnO//torC//hycG//alkB//citE//glnA//ssuD//malM//deoD//nmpC//manX//frdA//ascF//amiB//cas1//hybF//yeiL//cusB//galM//arfB//gcd//putP//fhuB//betT//mtlD//appX//dgcZ//allC//araA//nanM//aroF//artJ//fixC//fecE//pstB//fumC//ryhB//bioB//yegZ//tsaE//garL//chbR//hypF//rpmC//purN//gntP//uvrA//hyfC//ykgR//folE//rrsD//ppiD//xylA//psiE//murP//alaU//gspE//glcA//baeS//rrsG//rrlE//allE//xylF//hyfB//yjeV//lpxD//livH//tar//gcvH//rbsD//tomB//
CRP-cAMP_pos	ssrS//mcaS//ulaA//pyrD//artM//gltW//hemL//exbD//cheW//lysA//lysU//flhC//hypE//ilvA//yeiB//treB//glnK//acs//garR//csgG//fis//lysA//cysH//artI//cyaR//rseB//glnL//deoB//garK//sufA//efeU_2//artJ//bcsA//araF//uhpA//nrfB//srlD//sufA//gcvP//fecI//trpR//agaW//ynfF//acrD//cra//moeB//rrfE//rrfA//yhhY//sufE//umpH//comR//sdhC//xylF//folA//hha//alaV//ilvC//entS//rrlG//pitB//cas2//nirD//ugpE//aidB//ilvG_2//evgS//csgD//grxC//fdnG//pstA//pitB//ilvN//hofB//cysC//appB//phnO//gabP//puuB//hcp//ompT//feoC//soxR//zwf//caiC//fnrS//frdB//pstB//yojI//yneM//epd//paaB//nikE//tomB//murQ//cdd//fimD//fhuB//rplB//paaA//fecI//appA//fhlA//znuA//rbsB//sdhC//hydN//moaE//fdhF//pgpC//mpl//narQ//ptsH//priB//mtlR//glnA//ssuA//ompR//astB//carB//tauB//hofN//ygaC//uhpT//araG//tadA//icd//deoD//aaeA//nikB//ykgO//puuP//galT//skp//csiE//rhaD//hycB//ptsG//yeiP//bcsB//ssuB//gatA//bioD//mhpF//hofO//rrlH//aroH//araA//dnaE//mhpD//rnlB//hybC//mtlA//ilvH//cas2//frc//csgE//araG//gspG//modA//phoQ//argO//fabZ//tehA//metH//lldP//srlD//gspF//uidB//ompW//norV//rseA//purE//dgcZ//deoD//pstC//fepC//srlB//tdcB//fucK//rbsA//astD//purB//nrfE//prpD//ascF//fumB//hyfD//moeB//cynX//dcuA//mipA//csgD//fixA//nrfD//glpG//ilvM//glcB//hycD//hofP//csiD//rpsF//gntX//phoU//aaeA//gutM//fimH//hcr//sodA//crp//nrfC//nrdD//glgB//ilvA//rmf//rpsR//znuC//nagC//pagP//mhpD//hyfR//betI//malQ//puuB//tsgA//mgtL//aceK//rrsH//malQ//tauB//guaA//tyrR//mhpE//aceF//purA//ccmA//ilvN//gspL//rrfB//manX//ampE//ssuC//aroH//ilvG_1//rpmI//glnA//pgaA//glpD//aldB//nanS//oppF//priB//nuoA//yibN//rplD//csiD//narG//hemL//ahpC//artQ//rplD//fucP//deoC//ydhV//csgF//cvpA//cydA//prpC//mdtD//gspD//argR//alkB//treR//slyB//modB//ybiT//hycB//appA//dnaN//ccmB//fimC//fhuE//yfiP//fecI//nanS//slyB//pncB//yeaE//alaV//gspH//napB//caiB//gltA//agp//narK//mipA//ydeP//yidQ//rrfH//rpoS//murQ//hyfD//bglB//galS//pstA//fepA//nikB//glnD//glnB//cpxR//metJ//ysgA//rbsK//ydeM//puuP//glnB//pflB//betA//tehA//aceA//tauC//fecB//gapA//hyfR//rstA//hyfC//nuoG//napG//fecC//frdD//pitA//tdcD//mdtA//artP//livF//tadA//waaH//dadA//argG//paaZ//idnK//rrfB//yeiP//purA//phnD//allE//sdhB//hybG//rseA//rhaS//fadB//nagE//ydhW//hpt//rrfD//ileT//aceA//uxaA//pgk//lysO//uxuA//metQ//prpE//aroL//glcD//cysJ//spy//agaA//mepH//nikA//ydiU//uhpT//phoQ//hflX//purA//malM//yaeP//ileT//phnK//rstB//yeiL//evgA//mglA//glpA//rpoH//gatZ//lsrA//fadD//ascB//znuC//hyaF//fiu//waaH//gadB//gabP//yeiW//rrsA//nrfG//mtr//yibN//astA//csgA//gatY//feaB//deoD//trxA//idnR//aspC//glnB//agaA//rrfA//ilvX//prmC//mntH//nuoE//glcC//yfaE//rutG//srlB//narX//oppB//fumA//prpD//yfdX//napG//trg//fecI//chbB//ilvI//
ChbR-Monoacetylchitobiose-6P_neg	metC//prfA//dppC//fecB//citG//glpG//
ChbR-Monoacetylchitobiose-6P_pos	purH//appC//envZ//bioB//ccmF//ssuA//
CpxR-Phosphorylated_neg	ccmD//glpA//deoD//glpR//cheZ//hfq//nrfB//rrlA//nirC//ybfN//ilvA//ssuC//raiA//ubiG//putP//fecR//hyaE//alkA//yjcH//phnE_1//fumA//sbcC//tomB//rrsA//
CpxR-Phosphorylated_pos	phoH//gspF//dmsD//rutC//metY//hycB//ulaE//rrfG//norR//hyfG//rprA//aer//ftnA//gspH//dsbA//mcaS//tdcE//rpsQ//glpE//uxaC//sohB//yqjI//tyrA//pepT//napH//rrlA//napC//mntS//cpdB//hdeB//uhpA//fhuE//moaB//uhpT//gcvT//araE//rpoS//caiB//znuA//rrsE//emrK//cheY//fixB//rhaT//ldtC//
CreB-Phosphorylated_neg	casA//lpxA//paaK//
CreB-Phosphorylated_pos	nuoF//tehB//glnA//mhpE//argD//yrbL//
CueR-Ag_neg	iscA//motA//malY//ebgA//prpC//
CueR-Ag_pos	fdnG//nuoN//
CueR-Cu+_neg	fecI//nuoC//yegH//csiD//malG//
CueR-Cu+_pos	casC//fdnH//
CuerR-Au_neg	tdcD//cas1//yfdE//pgaD//murP//
CuerR-Au_pos	guaB//kbl//
CusR-Pasp_pos	rpmC//cusA//moaE//iscU//rpoH//pgpC//modC//ascB//tehB//cadA//yfiP//avtA//
CynR-Cyanate_neg	gntR//
CynR-Cyanate_pos	hdeA//argT//yciW//
CysB-N-acetyl-L-serine_neg	yaeP//nanS//yneM//aroA//argE//lacA//citX//
CysB-N-acetyl-L-serine_pos	nlpE//yegZ//argG//ivbL//artJ//lhgO//malE//nikD//dmsD//fnr//fepC//napH//nrdE//cheY//ahpC//fecD//purF//lsrR//betA//marB//mgrB//fucK//purL//
CysB-O-acetyl-L-serine_neg	ybiT//nac//dcuD//tsaE//malX//nanE//upp//
CysB-O-acetyl-L-serine_pos	pnp//cheY//narX//yccA//gspK//adhE//rpmI//moaD//dgcZ//crr//fucA//prs//galP//umpH//fepA//torC//sdhB//cspE//bioA//ykgO//torR//alkB//rpsJ//ilvY//
DcuR-Phosphorylated_pos	yfdV//yneM//envY//araH//mcaS//csiD//gatY//nusA//amn//
DnaA-ATP_neg	rseB//iscU//cysW//xylA//hdeB//ulaA//ccmG//soxR//dadX//mcaS//chbR//
DnaA-ATP_pos	napA//mzrA//hydN//entH//rrsC//lolB//srlB//
DpiA-Pasp_neg	fhlA//
DpiA-Pasp_pos	ansB//astD//uidC//iscS//gltA//rseA//codA//sufC//uidB//nac//
DsdC-D-serine_neg	psiF//
DsdC-D-serine_pos	hybO//mglB//
EvgA-Phosphorylated_pos	nrdH//mepH//ycjX//hycA//nagC//fucR//paaJ//paaE//hycH//talA//idnR//mntS//rrfA//hybG//cpxA//
FNR-[4Fe-4S]2+ reduced_neg	rhaA//gcvH//ldtC//purL//metH//chiP//mgrB//napD//tyrB//fhuE//cusF//ansB//ppdD//amn//ybdN//trpD//rutD//argO//fumC//ybjG//tsgA//deoD//gspD//rrfC//dcuA//manA//emrK//hmp//efeU_2//sohB//gspG//napG//dppB//pheM//nikR//dsdA//evgA//gltT//puuE//mepH//yegH//deoC//yrbL//prpD//lpxB//araC//rplB//rplP//lhgO//aroP//nfuA//aceF//rrfC//prs//focA//znuC//pflB//gspO//ccmD//glgP//xapA//ccmC//manZ//dapB//hmp//tdcF//paaB//cyoB//gltW//yhjC//cysW//glcF//emrY//epd//avtA//hycI//feoB//dpiB//tdcD//yedX//glcA//casA//leuE//casE//torR//hybD//cyoE//speB//feoC//caiT//glgP//ccmA//aldA//gntX//mglB//lsrA//glpQ//cysH//leuE//dpiA//dnaA//speA//nirD//uof//iscR//fixA//gabT//cysN//ulaC//guaA//glgC//baeS//yeaE//yfdX//tam//sucA//gspD//glpX//tar//tktB//
FNR-[4Fe-4S]2+ reduced_pos	aceE//rpsJ//crr//iclR//rseC//xylH//bdcA//astE//iraD//hofB//xdhA//fepB//livM//yeiW//purE//hypE//glpQ//speA//galE//hyfI//sufA//aroA//allE//talA//cynS//purC//hdeA//sufD//hlyE//glgB//pstA//mdtB//udp//pck//rbsC//modA//baeR//yqjI//fldA//yegZ//nanE//sdhC//bglB//rbsA//rrsH//uxuB//acrF//tauB//hyfA//dcuD//rhaB//adhE//treR//trmD//paaJ//fimA//ilvN//atoB//yaeQ//hupB//ydhW//ulaC//ompF//fixA//hyfD//paaE//ftnA//paaD//napH//dsdC//metL//malF//tpx//yjcH//rplC//ssuA//fimH//tap//rrlA//dsdA//dsdX//mpl//gltV//lamB//hpt//tsr//hyfJ//yiaJ//tsx//cysH//mpl//ccmC//phoB//melR//puuA//crr//tdcA//pgk//rpsC//lacA//frdA//ompA//lsrA//epd//ybdN//ydeO//rhaR//rseA//ulaF//lpxD//hyfD//fimI//oppD//aaeB//glpD//mltC//metB//ynfH//paaE//yhhY//gatD//ftnB//ulaE//rrfE//napC//rplC//prs//ilvG_1//srlR//feoA//purD//gspE//glnK//aaeX//pgaB//mutY//ilvA//prmC//putP//uhpA//ackA//nrfF//livH//ssuA//kbl//cynR//hyfF//rrsA//ryhB//grpE//metR//argG//nadC//fecB//hflD//yojI//rrfB//glpF//metA//uhpB//iraM//rybA//gntR//hypC//hslJ//hha//leuE//fau//truB//hlyE//phnH//malF//chbB//cysA//osmC//fnrS//rrlB//hyaB//fucI//fiu//iraD//puuE//ilvC//ccmC//ynfK//agp//ynfG//gcvH//ascB//argD//ldtB//glgS//paaG//ascB//cysB//appY//caiC//gnd//murQ//entF//nuoE//psd//
FhlA-Formate_pos	hybB//ulaE//gntP//hfq//fldA//phoE//zntA//sufS//rseA//malI//aldB//phoA//phnI//citC//caiC//pitB//lpxD//guaB//fbaA//uxuB//tdcB//slt//csgF//focB//chbB//aceE//lysO//tam//chbA//narX//
FucR-L-fuculose-1-phosphate_pos	motB//nirB//cydB//cysK//rbsK//csgE//alkA//
Fur-Fe2+_neg	garL//phnE_1//ilvA//galM//nagA//acs//idnT//pstC//prpC//sufC//ccmC//napG//nrdD//glgP//fucA//pgaC//xapA//pheM//emrK//garK//pnp//speA//ydhV//cspD//aldB//folA//glpR//yoaC//cas2//fecA//nusA//mhpF//ftnA//yhiD//tktB//copA//xapA//nanK//rutA//ldtC//phnN//hybF//ilvG_1//gltB//ssuA//hupB//arfB//hha//nuoJ//nrfF//tam//yojI//recF//amn//trmD//metH//uxuR//rybB//ugpC//rhaB//dapB//ompW//malK//cyoA//gltU//glpD//ilvD//cydB//aldB//purK//fucO//glnD//norR//cynR//ackA//aidB//gltD//fadE//ybfN//mglA//cyoE//tdcE//nmpC//fimA//gntU//manY//oppC//treR//nuoJ//ansB//metE//pstC//chbG//purE//narX//csgE//hisJ//caiE//hybO//znuB//nanC//galP//rpsJ//mdtD//nirC//iraD//ompC//glpR//fdnH//ydeP//uhpA//ccmG//citC//cysA//narH//ygbA//gcvT//rhaA//metH//mgrR//ftnB//fixB//phoU//yebE//
Fur-Fe2+_pos	argT//xdhC//hyfF//manZ//hflX//pgaD//epd//zntA//tehB//fliA//entH//feaB//nuoI//adhE//fixB//csgF//argT//ykgM//uxaA//nagB//creB//xdhB//gnd//mlc//rpsR//
Fur-Mn2+_neg	cyoD//argG//hflD//xdhC//purB//napD//codA//adiC//cpxR//hcp//patZ//iscS//moeB//glcC//oxc//galM//glgB//yidQ//rybA//caiD//yjjZ//allE//dgcZ//ugpE//ccmH//malG//araF//pstB//mhpC//hisP//fiu//dcuS//thrV//ahpC//glpF//nrfD//rplT//cueO//hyfG//grxD//fucU//zwf//chbR//fadB//phoH//avtA//hycB//cysW//ptsI//dmsD//narQ//uxaB//marR//paaI//atoA//moaD//cydA//cusC//nuoK//appY//cyoA//aaeB//frdD//nohA//evgA//glnB//gabD//hlyE//entD//citX//codB//dps//hyfF//yaeP//ssrS//argD//rrsG//hdeD//fixX//xdhB//narI//evgA//ilvB//rpsJ//artJ//ydiU//mhpE//ydeJ//ascF//phoA//rpoS//hflD//dcuA//yneM//yojI//grpE//melB//paaJ//hisQ//ydhU//argB//fliZ//tdh//xylB//tap//rmf//ubiC//pgaD//rrfE//yaeQ//ansB//glcA//cbl//malS//rplP//rimM//pstS//fixC//hslJ//rplD//puuC//gcvT//artQ//rhaR//
Fur-Mn2+_pos	trpD//cydB//fecI//tdcD//fhlA//trpR//pck//idnT//gabT//purF//ilvN//mltC//nanS//lysU//araJ//glnB//hyfE//chbB//hypE//araB//nadC//appC//slt//tar//purM//
GlcC-Acetate_neg	tdcC//
GlcC-Acetate_pos	tehA//hofC//rpsQ//ileT//yhcH//hycA//
GlcC-Glycolate_neg	acrE//
GlcC-Glycolate_pos	galE//alkA//rbfA//napA//dnaA//lacA//
GlrR-Pasp56_pos	hybD//
IclR-pyruvate_neg	feoB//dcuS//priB//melA//
IdnR-5-ketogluconate_neg	yqaE//araF//cysN//
IdnR-5-ketogluconate_pos	cpxA//entD//gpsA//metQ//yqjI//
IdnR-Idonate_neg	phnD//pagP//paaJ//
IdnR-Idonate_pos	ynfG//garL//zraR//nrfB//sodB//
IlvY-2-acetolactate_neg	sodA//
IlvY-2-acetolactate_pos	tdcG//
IlvY-Alfa-acetohydroxybutirate_neg	phnN//
IlvY-Alfa-acetohydroxybutirate_pos	rrlD//
IscR-[2Fe-2S]1+_neg	pgaD//xylR//dcuC//rof//malS//entE//ssuC//xseA//hisJ//yaiA//ydfH//ssuC//prpB//sufC//fecI//ahpF//fabZ//fumC//rpsI//cyoE//rhaD//araJ//acrF//paaZ//ydhT//paaD//mepH//galM//pagP//ilvH//
IscR-[2Fe-2S]1+_pos	rutC//fecC//nrfG//fis//nanK//yeiP//mhpF//uxuR//ompX//gspG//gcvP//
LldR-L-lactate_neg	cynT//rrfF//glpC//
LldR-L-lactate_pos	moaA//dapD//speA//
Lrp-Leucine_neg	araA//miaA//ftnB//allD//speB//speA//safA//nagC//feoA//rbsC//trmD//mutY//metK//ychH//citX//rpmC//nupG//ydiU//focB//secB//rrlB//sufC//caiT//hybG//thrV//rrsA//gltU//grpE//pyrC//napC//ycdZ//puuP//sbmC//rplT//norV//tnaC//alkA//yrbL//dpiB//puuD//hypF//yfiP//fadA//astC//creC//galE//pta//epd//cyoE//sucA//leuE//argP//dps//araG//tdcF//fecR//citC//galP//norW//mzrA//metF//dnaE//narK//hflK//malI//ebgC//caiB//argT//amn//rrsG//narL//livF//astA//yeaR//pgaA//
Lrp-Leucine_pos	secB//rbsC//ptsI//malS//malT//cheZ//treB//ilvG_1//dusB//aceB//nusA//mhpE//hyaC//idnR//trpC//rmf//modB//ilvX//cheW//paaH//qseB//fecE//cyoD//mzrA//mgrR//motB//motA//oxc//rpsC//psiE//gabT//paaB//pheS//fecA//codA//
LsrR_neg	malI//hemA//ygiB//rutB//ubiC//ldtB//hcr//livK//dnaA//
MalT-ADP-Maltotriose_pos	betI//chbC//fhuD//tauC//waaH//mdtC//puuE//atoA//nagB//ompR//
MalT-Maltotriose-ATP_pos	frdB//mtlA//narJ//hmp//hybG//betT//lysA//map//yeaE//moaE//
MelR-Melibiose_neg	dps//uhpA//yciW//
MelR-Melibiose_pos	xylF//cyoC//idnO//
MetJ-S-adenosylmethionine_neg	cheZ//ykgR//argB//gltT//hdeD//folA//caiT//csgF//aroA//araC//rdoA//amiB//yccA//fau//katG//
MetR-L-homocysteine_neg	stpA//sxy//
MetR-L-homocysteine_pos	narG//sdhC//gadB//nuoF//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	gltB//tauD//paaF//speC//ppdD//fimD//
MhpR-3HPP_pos	alaA//frc//ubiG//nuoG//aaeA//yaiW//
MntR-Cd2+_neg	dppA//thrS//uxuR//sufD//
MntR-Cd2+_pos	hybD//
ModE-MoO42-_neg	lysU//fes//hyaB//puuD//ycjF//fucR//ssuE//ulaB//ilvE//eda//fabZ//aspA//paaH//hmp//chbC//
ModE-MoO42-_pos	uhpC//csgG//ndh//prpR//qseB//rpsO//ybiT//dcuS//gabP//hycB//hydN//bhsA//frc//astE//flhC//ycdZ//xylG//ydeM//micF//yeaE//frc//mdtB//envY//fucP//yciW//sucD//alaA//rybB//ygbA//casE//cheB//
NarL-Phosphorylated_neg	soxR//ydfH//rprA//hisP//entH//fucA//trpB//fecE//deoB//fnr//gatB//hisJ//citX//nagB//trpA//malM//ubiA//nuoJ//xdhC//prpR//napF//modC//frc//tktB//lpxB//xdhA//araF//proP//glpB//carB//hycC//rbsA//ykgO//nikR//tsaE//nupG//xseA//ykgM//paaK//fimA//hybF//hycA//nrdG//rpsP//mutY//lldD//gadB//gcvH//artM//hybG//rplV//hypB//phnE_1//trmD//nikC//tdcA//nuoJ//aaeB//glnD//puuB//manA//speC//metY//lacA//mtlR//malF//idnD//rbsA//mhpB//glpE//preA//fnr//hisP//yrbL//entB//sucD//guaA//narK//cadC//purR//metK//glpE//glcF//yjjZ//nrdA//glpC//
NarL-Phosphorylated_pos	glnL//dsdX//sucA//mpl//zinT//gspM//yfdX//phnI//ugpQ//gspD//frdD//aroF//cysM//xylR//phnG//yjiY//cyaA//puuP//prpE//xylB//mhpE//acnA//ilvI//rrlH//xseA//lpxB//fis//lysU//ugpC//oppF//nuoH//putP//yqjH//yedX//glgC//appC//hyfC//rrfD//nagE//hyfH//phoQ//gltA//narK//icd//dcuS//ompW//
NarP-Phosphorylated_neg	nanK//artJ//metY//sohB//purH//lacI//agp//casB//fhlA//lsrF//nanA//napG//ilvD//cynX//paaA//fliZ//cysG//dgcZ//lhgO//gcvP//cydB//ybdZ//dcuD//tpx//ydeO//gcd//argI//uxaB//fucO//glgX//allC//yjiY//rrlB//
NarP-Phosphorylated_pos	treB//aroH//acs//nmpC//cbl//yfiP//fumC//uidC//yecR//purD//sxy//lsrG//hupB//yegH//mgrB//infB//yfdE//rseA//hyfI//sucB//rpsF//ompX//hycF//rutF//tsaE//ascB//acs//xseA//trpL//gspE//hybB//artM//
NhaR-Na+_pos	cysI//entB//rpsS//hypA//nrdF//
NikR-Cd2+_neg	nrfD//lsrA//yrbL//sufC//tdcA//ydfH//
NikR-Co2+_neg	hupA//gatY//purH//aroF//mgrB//tktB//
NikR-Cu2+_neg	ackA//erpA//yeaR//ycjF//grpE//appB//
NikR-Ni2+_neg	appA//acnB//chbR//phnH//aldA//metB//
NikR-Zn2+_neg	hycE//uhpB//yqjI//mhpE//hydN//xylB//
NrdR-ATP_neg	ccmB//crp//fadA//acs//rrsC//ptsH//soxR//acrB//cytR//
NrdR-Zn2+_neg	grpE//hpt//ilvD//gspI//moaC//ftnA//csgC//ebgA//fhuE//
NrdR-dATP_neg	nuoH//mntH//argP//cirA//mtlA//cdd//pgaA//rutA//hlyE//
NsrR-[2Fe-2S]reduced_neg	mtlR//nupC//csgG//malT//aldA//argE//oppA//hyaB//gspD//zntA//soxS//ompA//secB//lysP//uxaB//hofB//rrlD//udp//lsrF//marA//glpR//phnN//nikB//aceB//pagP//ccmC//yfbR//dpiA//nuoI//phnE_2//pstA//gntX//fixX//metE//fimH//pgaD//gabP//yfeW//hcp//ygeA//dmsB//mutY//fecE//sodB//srlD//mhpB//rplP//rhaT//malS//betA//cueO//yibN//nuoE//yqjI//tyrB//napD//iscS//feoC//bioD//gspM//fimD//bglG//ygiA//chbC//bamE//ulaC//casC//nuoI//ygbA//garL//ilvB//glcF//bcsC//
PhoB-Phosphorylated_neg	fecR//hypB//ssrS//fhuC//gltA//sucC//ilvI//nrdA//malP//ppdD//rrfA//rrlA//bioD//
PhoB-Phosphorylated_pos	mlc//fhuB//cydA//sufE//gltA//lsrG//ccmF//ynfE//dcuC//fliA//argE//cyoB//aer//ydhX//rrfB//ilvC//nikA//glcG//entB//araH//cyaA//oxc//ileU//iscR//hyaC//ccmG//ycjX//sufB//araB//moeA//caiC//treB//cdd//fabZ//tktB//sucC//nikR//fixC//uhpT//modB//artM//exbB//csiD//lolB//acs//fadE//yhiD//creB//uxuA//hflK//yfaE//astD//mntP//
PhoP-Phosphorylated_neg	puuE//araB//artQ//nupC//fimI//yggX//norW//psiE//mtlR//idnR//rrlE//
PhoP-Phosphorylated_pos	trpD//yojI//alaA//fepB//yhfA//agaA//nlpE//cyaR//glcC//puuP//napD//znuB//entD//nanK//nrfD//pstA//fecI//fixB//ampE//cusA//fadD//argP//slt//ynfG//mhpD//rcnB//ilvB//atoD//nuoH//nohA//dppD//ydbD//hpt//fucR//cyoC//yeiB//bcsA//deoA//acs//yggX//motB//deoC//patZ//paaD//folA//uxaC//aldA//lsrF//nac//
PrpR-2-methylcitrate_neg	nuoA//
PrpR-2-methylcitrate_pos	fau//atoE//pstA//lolB//
PurR-Guanine_neg	livJ//zraP//rpoH//mntH//glpD//hyfI//glrR//ydfN//soxS//ugpB//lsrF//dapB//ogt//paaH//betA//hyfH//malY//araE//copA//idnD//glpF//hisM//purL//yiaJ//yoaC//iscS//baeR//hyaD//sbmA//acrE//sufA//ispE//gspJ//bioB//
PurR-Hypoxanthine_neg	fecI//fecE//aidB//fes//hyfF//malF//gdhA//phnG//nikR//allC//gspK//ppiA//exbD//napA//bioD//crr//tnaB//oppD//argE//trpD//dapD//dmsA//ccmD//gltU//livH//prpR//hofN//arcZ//atoB//metA//paaB//zraP//ccmB//cusA//
QseB-Phosphorylated_pos	trpC//fhuE//norV//talA//
RhaR-L-rhamnose_pos	napC//metQ//
RhaS-L-rhamnose_pos	rutE//paaJ//nirB//
RstA-Phosphorylated_neg	fadI//alaT//rrsA//lpxB//mtlR//
RstA-Phosphorylated_pos	mglB//tdcF//carA//rhaS//hyfA//
SoxR-[2Fe-2S]3+ oxydized_neg	lsrD//
SoxR-[2Fe-2S]3+ oxydized_pos	tktB//fdnI//rplP//
TorR-Phosphorylated_neg	oppF//
TorR-Phosphorylated_pos	cheA//atoA//fimD//yhjA//trpR//ydeP//znuA//copA//fadE//
TrpR-Tryptophan_neg	mntH//rpsQ//proP//alaS//rrfD//sufS//fimH//icd//uidA//appY//glgX//marB//
TyrR-L-tryptophan_neg	ssb//hemL//xylG//hha//uvrA//gadB//feoC//puuA//ileV//proP//mgtA//malE//
TyrR-L-tryptophan_pos	iclR//ydeO//bamA//
TyrR-Phenylalanine_neg	sodA//glpX//nanT//ilvD//slyB//ygiB//lldD//nanC//rrlA//cvpA//gltW//napD//
TyrR-Phenylalanine_pos	amtB//mntP//moeB//
TyrR-Tyrosine_neg	gabP//dsdX//pdeF//trxA//glrR//phnE_1//trg//hyfF//livK//yedX//gatC//sucD//
TyrR-Tyrosine_pos	citE//iscS//rrfA//
UhpA-Phosphorylated_pos	phnD//
XapR-xanthosine_pos	uidC//entS//
XylR-Xylose_pos	carA//fumA//xylB//citF//fimA//melR//
ZntR-Cd2+_pos	yjeF//
ZntR-Hg_pos	ihfA//
ZntR-Zn2+_pos	hyaD//
ZraR-Phosphorylated_pos	rpsJ//mhpD//yoaG//
Zur-Zn2+_neg	araG//deoA//paaI//chbF//rprA//rcnA//
