#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	glcE//dmsA//
ArgR-L-arginine_pos	infB//csgE//glpK//paaH//kbaZ//
AtoC-phosphorylated_pos	marA//hycG//moaC//rrfD//
BaeR-Phosphorylated_pos	pepT//talA//fecD//fucI//citF//gutQ//fhuC//frdC//
BirA-bio-5'-AMP_neg	gltD//rseC//glmY//nfuA//aceB//
CRP-cAMP_neg	hyfE//mltC//xylG//narG//mhpR//nuoH//malG//gltV//amiB//ycdZ//ydeN//treR//ldtB//lsrF//glmY//mepH//argH//fdnH//citF//yjiY//sufC//polA//deoD//ykgM//gspJ//fadH//ulaB//rseB//glnD//rnlA//fadL//csgC//fabZ//phoE//nanT//narH//nagA//gspE//hycI//rbsA//hofB//uhpT//pgk//rplW//bcsB//aceK//hyfI//trg//gspF//ilvX//narL//hpt//rseB//gabT//aidB//prpB//gatZ//artJ//metJ//frdD//ampE//allD//mhpR//mlc//cheY//csgG//ygiC//dapD//pgaA//hyaE//bamA//gntK//rrfG//iscR//yjiY//idnK//iscA//crr//glnG//rplW//tnaB//csgF//rrsC//gspH//cheA//argE//hisJ//rplV//grpE//nrdI//ulaB//cydA//thrV//yqjI//mtlA//dcuD//ssuC//acnB//yebE//gatB//hisQ//napC//tdcE//codA//sufB//glpQ//chbB//ygiA//nrdH//hmp//oxyR//ptsG//uidA//cpdB//atoB//ykgO//metH//ssuE//fepE//avtA//yfdE//tehB//yciW//ugpQ//yjeV//galS//nusA//aldA//araJ//citE//fucO//nanK//gabT//
CRP-cAMP_pos	glgA//ydhX//hybF//rseB//cyoD//ydeA//metR//rutC//iscR//hofP//ubiG//livJ//ubiC//mhpB//carA//hdeA//fhuB//ynfF//yaeP//rrsB//oxyR//ygeA//nuoB//flhD//chbG//fecI//nusA//creA//bdcA//glpR//rrlA//gntU//mltC//crl//phoP//dcuD//agaA//nupG//glpG//puuC//acnA//znuA//dmsB//glgP//ygeH//ccmF//speC//purH//mipA//nagC//deoC//xdhA//nuoG//purR//tpx//aroG//yqjH//pncB//ada//torC//znuC//ysgA//prs//fumB//araG//uxuA//moaD//mtr//ileV//sbmC//yggX//hycG//ybiT//abgT//tdcB//appX//araE//ada//ilvM//dapD//cynR//cspD//upp//cynX//ompX//cyoE//nmpC//ilvL//srlR//glcA//ryhB//ssrS//ccmE//truB//nagE//gcvH//agaV//gspO//qseC//pheM//dppD//glpX//dnaN//fadI//mntP//glpQ//alaT//tnaA//ubiG//melA//puuD//artQ//artM//yjiY//mlc//idnT//uxaA//cirA//ubiG//ynfH//rnhB//malP//tsx//cynT//allC//glnL//ftnA//ebgC//nagB//phoR//cysA//srlA//feaB//fepD//ygeH//erpA//nanT//fnrS//cyoC//nuoB//aceB//mipA//hycC//rstB//hflX//cynX//hflK//pck//mtlR//fimG//icd//yfdX//aceK//tyrR//gspL//stpA//ugpE//hcr//hofB//rstB//focA//bcsA//melB//ydiU//rseB//ilvL//tdcB//napD//map//hyfC//garL//yhfA//guaB//mepH//malP//tdcB//exuT//rrsC//tdcD//mcaS//micF//livF//rstA//rrsD//dkgB//allE//garK//hflC//erpA//gnd//phoH//rpsJ//aroM//flhC//trmD//psiF//manY//cysC//argB//yeiW//torA//sdaA//phoR//napF//rpsS//zraR//yeiB//melB//mdtD//hycB//dppB//gcvT//phoR//sdhD//fecI//rrsD//ppiD//fixB//mpl//yaiA//grcA//gltW//mdh//acrF//cusF//araC//lsrR//csgC//hflD//pgk//udp//hycA//srlE//ydbD//artI//grxD//nuoL//aspC//srlR//rrsA//glpC//ygeA//rrlB//phnJ//ugpE//tehA//hyfF//fixC//gcvP//rutC//lsrG//rof//metJ//hupA//rutG//nrdF//rrfC//paaH//mzrA//glpB//feoA//trg//phoE//ftnB//rrfF//bcsZ//tsaE//aroH//rutG//mpl//glnK//yhjC//epd//ychO//fiu//yegR//melA//alaT//chbA//paaG//tdcC//yhjC//pnp//umpH//pdhR//pgaA//dnaA//gntU//rhaS//emrK//ampD//exbD//phoQ//fecE//purM//fumC//napH//actP//frc//zwf//rpsC//cyoC//rrlH//glnG//mdtD//metR//nrfF//livJ//katE//pgaC//ysgA//rybB//fadD//spf//betI//appX//alaS//galS//alaT//rrfF//hybE//gatY//ydeM//rhaD//ccmA//hdeD//fimC//ssb//upp//metL//cusS//polA//gutQ//rplW//csgA//phnE_2//tdcF//phoB//rpsC//bcsA//cydD//feoB//rcnA//mdh//dppD//paaA//rrlB//metR//yqjH//iraM//dmsC//ascB//ykgM//hyfR//rrsB//trpL//mgrR//arcZ//yrbL//yfbR//phnH//manX//gyrA//trg//atoA//astA//rpsJ//hyfA//hha//ccmD//uraA//artP//ydhX//nanC//artQ//bcsZ//chbB//ilvB//sbmA//nikD//ydeA//entH//paaI//nikC//fucO//ahpC//purN//rrsA//micF//frc//glgS//proP//tauA//rimM//gabT//rdoA//fadH//phnF//argE//ompW//yneM//hisM//nikE//hyfB//glgB//bioD//fixA//argO//bglB//frdB//ccmD//argF//pgpC//moeA//tdcD//araD//abgT//rrlE//gabT//iclR//srlD//eda//glgP//nikE//gspK//pheM//nrfE//moeB//ftnA//
ChbR-Monoacetylchitobiose-6P_neg	ompT//hydN//phnE_2//tehA//srlD//entC//
ChbR-Monoacetylchitobiose-6P_pos	tehB//rbsC//ptsG//garP//katE//hybO//
CpxR-Phosphorylated_neg	pncB//safA//puuR//phnO//frdC//hycH//sbcC//bcsZ//baeR//yibN//serA//srlR//pstC//aaeR//bamA//nuoJ//betT//narL//agp//betB//puuP//cysM//ssuA//hflD//
CpxR-Phosphorylated_pos	pnp//tdcE//ygiA//ydfH//ssuE//azuC//ubiG//sufS//fimD//lsrC//emrY//ccmH//dppB//artP//tomB//garP//lysP//znuB//astB//artJ//xdhA//tyrA//rpoS//purF//torC//ycjF//fucO//lrp//yeaE//atoD//gabP//prmC//raiA//narQ//hyfI//bamE//citE//fucK//yeiW//lpd//nikE//lysA//nanE//patZ//dcuA//
CreB-Phosphorylated_neg	hyfA//fdnG//ulaB//
CreB-Phosphorylated_pos	yaiW//cyoA//arcA//araH//nagC//fimD//
CueR-Ag_neg	pta//modB//mhpC//yfaE//hybB//
CueR-Ag_pos	ivbL//phnP//
CueR-Cu+_neg	fepB//dnaA//phoA//ydhU//puuC//
CueR-Cu+_pos	ilvN//gutM//
CuerR-Au_neg	uhpB//rimP//caiB//modA//phnC//
CuerR-Au_pos	hycI//treB//
CusR-Pasp_pos	astA//pflB//nikR//rrsD//adiC//cytR//alaT//metQ//yqjA//ascF//paaG//edd//
CynR-Cyanate_neg	puuR//
CynR-Cyanate_pos	hdeD//mhpR//puuC//
CysB-N-acetyl-L-serine_neg	artI//yjjZ//ackA//ccmC//yjjZ//yaeP//soxR//
CysB-N-acetyl-L-serine_pos	ydeM//glcA//cysD//ynfK//sroD//mntP//ilvG_1//fhuF//entF//gatY//mgrB//fliA//nrfC//acnB//acrA//nikC//mhpT//uhpC//nrdE//chbG//gatZ//yciW//ugpC//
CysB-O-acetyl-L-serine_neg	dpiB//iraD//ychH//caiF//astE//hybO//cytR//
CysB-O-acetyl-L-serine_pos	hycD//entC//rplD//uxuR//mhpF//cysG//yoaG//gltD//araC//cyaR//ccmC//aceE//ycjX//lysP//glrR//astA//hisJ//ispE//phnH//betT//hyfR//glpK//rstB//araB//
DcuR-Phosphorylated_pos	phnE_2//zntA//nirD//ileT//phnL//fis//prs//spf//spf//
DnaA-ATP_neg	bglG//iscS//crl//paaJ//chbG//ubiA//ompT//paaE//mhpC//polA//oppA//
DnaA-ATP_pos	fepC//cheW//paaC//dmsA//cysW//manX//fhuF//
DpiA-Pasp_neg	metI//
DpiA-Pasp_pos	dsdX//hyfF//frdB//ptsI//rplT//gltD//araG//codA//gntT//ssuB//
DsdC-D-serine_neg	edd//
DsdC-D-serine_pos	abgA//aaeA//
EvgA-Phosphorylated_pos	phnK//tktB//lsrA//uxaA//glpT//yojI//lacZ//mhpC//psd//fadJ//aroL//entC//glcC//atoB//nuoI//
FNR-[4Fe-4S]2+ reduced_neg	katE//xylR//ccmD//ssuC//sodB//mdtD//hflK//phnJ//cyoD//ampD//cysG//leuE//yoaC//rrsD//exuT//rybA//paaH//hupB//pgk//appA//hisJ//hyfH//dkgB//ygaC//purM//ssuD//nanC//hofO//tehB//glgC//soxR//aaeA//sucB//aroH//prpB//metA//cysI//cvpA//lsrR//nikD//nlpE//glpX//nadC//secB//cirA//malK//ulaB//yfdV//phoB//dpiA//baeS//gspM//upp//thrV//argP//nadC//sbcD//mgtL//hemA//fis//hybG//glcB//ppiA//hcr//manZ//gcvP//napF//cdd//modB//malK//casA//bacA//nrfA//xseA//emrK//mdtB//nirC//gntX//tcyJ//mntS//fecA//glcC//manY//ansB//entD//rplC//umpH//fucA//motB//degP//rrsD//cheR//yaiW//psiE//murP//metN//purA//deoD//speA//yegH//gntP//oppD//hybG//efeU_2//trpL//pstB//hycI//fucO//galK//ompW//ugpC//paaZ//dsdC//allE//hofP//gntR//artP//infC//torD//fabZ//
FNR-[4Fe-4S]2+ reduced_pos	psiE//hycF//ykgM//yggX//yegR//galM//cyoE//manX//araG//bcsB//gspE//hycA//nrfB//hflD//ygbA//edd//lhgO//aer//narX//phnH//moeA//ldtC//uraA//rrsC//fadD//sbmC//tdcD//sufA//cusF//nuoM//rutC//nagB//lrp//kbaZ//aroL//phnE_1//soxR//galM//rrlE//motB//ychO//ugpC//phnM//dctA//nuoJ//gltU//malZ//cusA//hlyE//iscS//agaW//nanC//napH//rnlB//rrfA//cysK//gspJ//rpsC//caiD//hybG//atoB//livK//ompC//tcyJ//melA//paaA//tdcC//araH//alaU//grpE//hypA//dapD//yaiW//napC//malM//fimH//fecA//mpl//ldtC//cusB//glpC//dmsC//lpd//hybE//srlD//hdeA//gadB//malT//cysN//ybiT//lsrC//nrfA//oppC//psd//yoaG//emrY//bioA//pgpC//cyoE//hyfE//puuA//narG//aspC//argG//yhjA//fecB//glnK//citE//carB//narJ//fecB//ccmH//mdtA//lamB//ileU//iraM//ugpQ//galS//mlc//envY//pstC//ydhU//zwf//xylA//prfA//yggX//dadA//fhuA//leuE//ynfK//csgC//metR//caiE//argR//yecR//hyfI//hlyE//nanA//prpD//hybE//nuoG//nrfE//tauA//cydB//iscR//fhlA//amiB//oppD//ccmA//entC//csgB//focB//prpB//ilvY//narQ//ccmC//gltB//torD//mtlR//hisP//trpD//grxC//osmY//hyaD//kbl//mdtD//infB//cpxR//prpE//hisM//napC//argC//creC//paaZ//rplS//norW//rutG//nuoK//yqjI//rutD//pheS//lacY//sucC//tnaB//argG//dusB//ydhW//putP//bcsZ//uraA//glcB//xdhA//hdeA//caiT//sbcC//rcnB//iclR//rhaB//bacA//phoA//hdeB//chbC//
FhlA-Formate_pos	ygeA//mutL//rplV//ydbD//glcC//treB//tauC//puuC//tonB//ybfN//fdnI//iscS//tnaC//xylR//ydeP//glgX//malG//gcvP//abgB//moaC//casE//ybdZ//cynX//atoB//iraD//ycjX//hybD//ptsH//sucA//phnP//
FucR-L-fuculose-1-phosphate_pos	cvpA//hyfE//mdtD//argH//hyaA//hyfJ//gltV//
Fur-Fe2+_neg	citD//hofN//dcuS//asr//glgP//norV//lldP//ygeH//fhlA//fucO//gabD//pheS//baeS//tomB//waaH//rhaT//treR//feaB//uxuA//cysI//kbl//argG//cdd//xylB//fecC//gntP//metB//dmsC//fecE//norV//psd//tcyJ//fimC//murP//zntA//ydfN//prmC//glnD//crp//ybdZ//nuoA//hdeB//glpA//caiA//comR//atoA//soxR//ulaD//fepA//nirB//cadB//cheY//ivbL//nrfE//aceA//grpE//motA//ydfN//rbfA//citF//glgC//recF//nikA//prpR//fepG//cueO//hycB//yebE//sufD//srlR//xdhA//zntA//xylH//galM//ydbD//modC//aaeR//nfuA//glpK//rbsC//gatB//purN//yfeW//ynfG//acrD//creA//lpxB//lacZ//sxy//gatD//livF//fepB//xdhC//fepC//aer//uraA//recF//ilvL//purM//bioA//bglF//atoA//ssuC//galS//glnG//nrfD//bioF//hybD//citX//fecE//emrK//baeS//argI//tdcG//hyfE//znuC//rplB//sodA//rrlH//hyfA//ydeO//gcvP//rseB//ccmC//
Fur-Fe2+_pos	yqjA//rpoH//fecB//moeB//nrfF//acs//argC//grcA//rrfD//garK//frdB//bioF//ssuE//uraA//yfdE//ubiX//tolC//oxc//ilvC//torR//rbsC//rrfF//serC//proP//alkB//
Fur-Mn2+_neg	acrB//chbG//rrfB//rplS//hdeB//yfdX//feoB//ccmA//puuA//caiT//yoaG//ytfE//chbA//hyaC//rplT//hypC//adhE//galM//argD//rpsI//baeR//argG//uxuB//rutC//uxuR//rutE//deoB//hycF//glpK//hemL//sodA//gpmA//argI//agaW//hyfI//rrlG//bioA//ftnA//cadB//rrfB//rseC//gpmA//nagA//carA//bacA//csgB//livK//casE//bamE//lacY//pck//srlR//nrdF//mscM//tam//zraP//nusA//gspJ//mhpR//exuT//argC//nrdA//gntU//rimP//sbmC//dsdA//artM//oxyR//sbcD//acrA//entC//phnE_2//abgT//paaB//rrfA//fhuD//phoA//napC//purL//manX//dapB//puuD//moeB//glpX//alaU//phnM//ptsI//hypD//hyfF//hyfB//mgrB//dsbA//gspC//fau//nrfA//lsrB//uidC//hyaD//rbfA//malZ//rrfC//guaB//hybG//dadA//treR//agaW//yoaC//gltD//carA//iscR//rrsH//dppD//ydhW//xseA//oppF//cynX//cysH//puuC//modB//hyfE//csgF//mtr//trpC//purB//
Fur-Mn2+_pos	dps//thrS//priB//fucP//ugpA//artI//infC//crl//zraS//rstB//cusA//ada//glpE//ompX//mglC//bioF//yeiL//codA//puuR//sbcD//bioA//hisJ//allD//oppF//fixB//
GlcC-Acetate_neg	hypF//
GlcC-Acetate_pos	purB//gabP//glcD//fnr//hyaA//hofN//
GlcC-Glycolate_neg	oppA//
GlcC-Glycolate_pos	bioF//galP//xdhB//tauA//glpX//paaI//
GlrR-Pasp56_pos	slyB//
IclR-pyruvate_neg	qseB//napC//gadC//katG//
IdnR-5-ketogluconate_neg	phoA//nrdE//motA//
IdnR-5-ketogluconate_pos	dmsB//lpxD//cysP//rutG//xylG//
IdnR-Idonate_neg	thrV//glnL//uhpA//
IdnR-Idonate_pos	tyrP//sufA//ybiT//citG//fimI//
IlvY-2-acetolactate_neg	hybA//
IlvY-2-acetolactate_pos	ccmD//
IlvY-Alfa-acetohydroxybutirate_neg	amtB//
IlvY-Alfa-acetohydroxybutirate_pos	tam//
IscR-[2Fe-2S]1+_neg	ccmH//cheW//lsrK//agaV//hycE//rcnB//fecC//actP//rplT//dpiA//cyaR//rprA//paaC//cynS//ugpQ//ybjG//amtB//xdhC//chbG//creB//narX//trpB//fucK//ydeP//hybF//hupA//ybiT//yhcH//fhlA//pnp//
IscR-[2Fe-2S]1+_pos	fecI//ybfN//acnB//artJ//artQ//frdA//entF//aroP//mhpE//ydhT//prmC//
LldR-L-lactate_neg	fimD//tdcE//fucA//
LldR-L-lactate_pos	nupG//ppiD//trpL//
Lrp-Leucine_neg	hlyE//phnD//trg//evgS//yhhY//hofM//cyoC//tdcA//creB//mhpA//oppF//hyaC//hflC//oppA//casD//crp//mglB//yeiB//deoA//cysH//hycG//hslJ//fliZ//cheZ//rybB//pagP//phnL//uxuR//nagC//ompR//xylR//cpxA//trmD//modA//uof//yegH//astD//ileV//nrfG//gabT//nikE//dadX//ycjF//hofC//rpsP//yfaE//fixX//rhaT//cusB//ytfE//spf//cas1//dcuA//ppiA//gutQ//argT//rnlA//bglG//puuP//livK//dcuR//zntA//marB//hyaD//tcyJ//ilvX//ssuC//glnB//rpsR//hcp//ompT//lhgO//yaiA//srlR//crr//
Lrp-Leucine_pos	puuA//hybB//rrsC//rrlH//hisQ//zntA//gatC//ulaF//frdB//napG//ung//hupA//nuoI//aroG//motA//lpd//glpB//fixA//artQ//tdh//hflC//gspF//aroG//metE//ilvC//paaB//sufE//puuD//leuE//dppB//fadJ//metY//fadB//dctA//ycjX//
LsrR_neg	nuoF//acs//manY//feaR//glpX//narL//nuoJ//mhpD//gabT//
MalT-ADP-Maltotriose_pos	oppC//rrlC//chbB//uhpB//rrfA//mlc//uxaC//rrsA//aaeA//gadB//
MalT-Maltotriose-ATP_pos	sdaA//katE//rrfG//bglG//motB//nagC//rbsC//ptsH//fecE//fhuD//
MelR-Melibiose_neg	iscR//thrS//yeiW//
MelR-Melibiose_pos	aroL//metF//evgA//
MetJ-S-adenosylmethionine_neg	aroH//acrD//fimI//yegH//prs//srlR//recF//yoaG//hycB//epd//yhjC//idnR//slyB//entA//malS//
MetR-L-homocysteine_neg	aspA//putP//
MetR-L-homocysteine_pos	uhpB//pitA//crr//paaF//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	glcE//creA//astC//nrfF//phnJ//fadJ//
MhpR-3HPP_pos	fucA//yjjZ//rnlA//aaeR//nlpE//rplB//
MntR-Cd2+_neg	araE//lldR//ugpE//cpdB//
MntR-Cd2+_pos	galT//
ModE-MoO42-_neg	rpsQ//fecA//focB//rutC//lysU//grpE//qseB//lsrK//bioF//mglC//puuB//fimH//betT//modB//moaA//
ModE-MoO42-_pos	hyaD//mpl//mdtC//fhuF//cheA//glnD//purH//caiD//aceB//ssuB//glpE//slyB//ubiX//xapB//nrfC//garL//hycB//argD//agp//purE//cynS//ssuC//gapA//cydC//lldR//bcsC//cyoB//mhpE//tfaQ//glcG//pagP//
NarL-Phosphorylated_neg	hyaF//nrdD//acrD//ysgA//araB//nrdH//pepT//hdeA//cdd//phnD//exuT//tsr//glnA//rpsS//ssuD//pck//malF//dnaE//rhaT//feaR//csgA//fadL//csgB//puuP//glnL//hslJ//hyaD//tadA//nuoE//gatC//srlD//uxaC//xapA//yhfA//tsx//caiT//ybdN//tyrB//aspC//lpd//ilvH//rrlB//fixX//dcuB//nikB//chiP//casD//narQ//aidB//infC//ysgA//livG//yjjZ//nikB//gltF//gutM//zntA//mglC//casB//fimC//aldA//glnA//yeaD//metK//yfaE//nagB//csgC//yhiD//fadH//tauA//uidB//gcvT//rbsA//rrsD//pheM//chbB//fumA//malG//tdcE//mntS//csgA//ampE//ilvG_1//gspI//astB//rhaR//
NarL-Phosphorylated_pos	hybE//mutY//hyaA//creA//slyB//dapD//ryhB//rrfC//fimE//ssuE//fecB//ynfG//nohA//yggX//mcaS//puuB//hycH//gspO//ileU//carA//gspL//ybdN//phnN//hybO//folA//pgk//cpxA//ydhT//gpmA//gpmA//uxaA//aaeR//gabP//fimH//ssuE//gspF//casD//fimE//motA//osmC//dgcZ//rpoS//yaiA//gcvH//fur//frdD//
NarP-Phosphorylated_neg	nanS//ada//alkA//ykgM//hybF//grpE//hypE//oppD//slyB//ileT//hflD//mzrA//pheT//ilvC//pncB//cydD//mhpF//cusF//fepB//purH//ygaC//efeU_2//uhpC//sufA//yecR//pgaC//mglB//aidB//entD//ubiC//phnD//hisJ//folE//
NarP-Phosphorylated_pos	purA//rrfG//ynfH//alaT//agaV//artM//fadJ//cusA//uxuR//gltV//trpC//marB//bioB//puuA//rplT//ykgR//yhcH//fur//rpmI//mgtL//torC//gspF//ilvE//entS//sdhB//zntA//hypD//casD//dapB//araG//rrfF//phnD//
NhaR-Na+_pos	hupA//malT//csgD//focB//argR//
NikR-Cd2+_neg	creA//dsbA//oppF//fepB//hofN//yeaR//
NikR-Co2+_neg	appA//flhD//rrsG//paaF//copA//metR//
NikR-Cu2+_neg	citF//xapA//hycE//ycjF//gspK//mgrB//
NikR-Ni2+_neg	lamB//nagB//manY//uxuB//gspJ//fumC//
NikR-Zn2+_neg	mhpB//cydB//artQ//cysP//nac//sdhD//
NrdR-ATP_neg	dctA//micF//oxyR//phnO//metC//sufD//actP//envY//infB//
NrdR-Zn2+_neg	xdhC//hpt//gabT//glgC//polA//tnaA//soxR//ahpF//alaA//
NrdR-dATP_neg	dadX//marB//phnO//lldD//hyfF//galP//aceA//hmp//aspA//
NsrR-[2Fe-2S]reduced_neg	hyaD//dpiB//mgtL//trpA//caiD//gabP//cyoD//ybdZ//hyaD//citX//mutL//fucO//yhhY//lldD//moeB//hyfI//rplD//oppF//rpoE//araH//infB//lpxA//glpQ//glmY//psiF//flhD//hslJ//cyaA//trpB//citG//rplM//pepT//galE//ansB//aroG//hybA//mscM//malX//purK//ydeJ//deoB//purH//crl//casD//nrfA//rrsC//ycjF//evgS//nfuA//znuA//rplB//idnD//cydA//dppB//baeR//efeU_1//ulaA//phnP//gntT//frc//miaA//murQ//talA//tonB//rpsR//hyaC//pgaA//malY//deoC//ptsG//torR//feoA//marB//
PhoB-Phosphorylated_neg	prpB//nagA//glcF//speA//bioD//exbB//rybB//rmf//ccmE//feaR//katE//ychO//iscU//
PhoB-Phosphorylated_pos	garP//trpB//uhpC//ccmE//argP//hybC//fecR//zwf//rplD//focB//cysA//uraA//efeU_2//bioF//araJ//nanS//napC//slt//cysB//nuoJ//yaeQ//icd//prpD//yciW//tdcA//prmC//actP//hyfA//ilvE//ydfN//mcaS//tyrA//melR//skp//paaJ//lsrB//fdnH//pgaB//cyoB//ykgR//nlpD//pagP//fhuE//rrsG//hycG//casD//paaG//hyaD//glnK//yebE//ccmB//adhE//pgaB//
PhoP-Phosphorylated_neg	fimH//nikB//ydhV//fadH//gspE//dadA//hyaB//mntP//purE//appC//rhaA//
PhoP-Phosphorylated_pos	mepH//rplP//narK//caiT//aidB//allD//citF//lsrK//sufS//nikE//rutB//pitA//amtB//xylA//argD//cysU//glnD//purM//cusC//dmsB//hcp//metQ//cysA//dnaE//miaA//entF//csgD//hybF//araF//ygiA//borD//hycC//sufS//araJ//cbl//mepH//purB//rrfH//yoaG//moeB//aroA//ytfE//gyrA//miaA//lysU//glnB//deoC//mdtC//ynfE//
PrpR-2-methylcitrate_neg	dsbA//
PrpR-2-methylcitrate_pos	trpR//nrdB//lysC//yhjA//
PurR-Guanine_neg	hycA//ydhX//yaiW//agp//ykgR//hycA//lsrK//bcsZ//rpsO//hcp//srlE//trpR//araG//rrsC//hybF//yidQ//stpA//ssuD//tyrB//hybC//ccmH//rrlE//yidQ//thrS//aceF//nanS//fepG//map//nanS//fhuB//yegZ//amiB//dmsD//phnD//
PurR-Hypoxanthine_neg	cvpA//gltV//dcuB//rrsH//rrfD//nuoL//glpR//aaeB//melB//udp//rplB//xapA//prfA//speC//sufB//rpsF//rpsC//ssuC//prpR//bioD//dps//moaB//pck//zraS//nrfC//nuoI//yeiL//rbsA//soxS//fdnH//exbD//rbsD//hybB//lsrA//
QseB-Phosphorylated_pos	rutE//cysA//rbfA//ynfK//
RhaR-L-rhamnose_pos	treC//mhpT//
RhaS-L-rhamnose_pos	aroL//lamB//mhpE//
RstA-Phosphorylated_neg	tpx//xdhC//grxC//phoE//efeU_2//
RstA-Phosphorylated_pos	prpR//metN//tomB//hyfC//fixX//
SoxR-[2Fe-2S]3+ oxydized_neg	chbR//
SoxR-[2Fe-2S]3+ oxydized_pos	grxD//malE//acrA//
TorR-Phosphorylated_neg	alaU//
TorR-Phosphorylated_pos	dppD//acrD//chiP//tnaB//bioC//tomB//udp//fdnH//ccmF//
TrpR-Tryptophan_neg	fumA//alaV//hyaC//miaA//uhpC//hofO//hyfG//yjcH//chbF//hybC//rrfG//tehB//
TyrR-L-tryptophan_neg	dpiA//hisM//lldR//edd//argT//trpC//glcB//rbsA//sufS//aaeX//chiP//fadI//
TyrR-L-tryptophan_pos	dcuC//yhiD//csiE//
TyrR-Phenylalanine_neg	uxaC//marR//hofN//evgS//glpK//fadJ//cvpA//rrsD//ubiA//aceB//codA//argB//
TyrR-Phenylalanine_pos	hflX//nirC//artM//
TyrR-Tyrosine_neg	uhpC//emrK//ampD//nagB//cysB//ilvE//idnK//pgaB//preT//csgE//emrY//prmC//
TyrR-Tyrosine_pos	dmsC//dmsB//pheS//
UhpA-Phosphorylated_pos	lsrA//
XapR-xanthosine_pos	galT//fadJ//
XylR-Xylose_pos	paaF//nrfC//csgA//atoD//metK//cysB//
ZntR-Cd2+_pos	ilvN//
ZntR-Hg_pos	hflD//
ZntR-Zn2+_pos	dps//
ZraR-Phosphorylated_pos	rpsR//yaiA//gpsA//
Zur-Zn2+_neg	glpC//rutF//rybB//fepE//gabP//chbR//
