#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	nlpE//mhpA//
CRP-cAMP_pos	phnC//ydhY//gdhA//paaZ//pstS//tktB//rrlB//paaF//bhsA//modC//hybG//bioC//speC//tnaC//nikE//cysN//rplS//purD//ynfG//hybE//ugpQ//marB//glpK//fucA//dpiA//rrfF//aceA//fnr//prpB//sucD//bhsA//rimP//glnD//astB//rof//infC//pyrD//iscU//cheR//ssuE//lacY//xapA//rrsC//hisM//nupC//modA//agaV//lsrR//gpsA//lysP//rrsH//cyaR//copA//citX//fepC//yeaR//rybB//dnaN//rrsD//nikR//tfaQ//exbD//modC//hyfD//ung//astE//aaeA//fimD//lpxB//ulaB//iraD//hybB//ydhY//tap//dsdC//bioF//phnK//glcE//mtlA//hycB//cysJ//fnrS//araA//fucU//yqjA//cvpA//hycD//evgS//yfaE//trpC//pflB//entB//nanS//prs//rbsA//treR//rrsA//rplI//pheM//malS//ynfG//dnaE//narJ//metN//chbA//ssuC//gcd//yiaJ//abgB//cyaR//ybdN//nanK//dppF//cra//alkB//cydD//dcuR//hybE//cpxR//crp//baeS//ssrS//fepC//cysN//tsr//tsr//fnrS//norR//yaeP//glcD//psd//ubiX//hypA//acrD//ccmA//entS//rnlB//mcaS//abgT//mglB//argP//ycjF//araA//norR//malS//hycG//cysW//ssuC//ulaC//hisM//lysP//codB//pdhR//glpG//aroF//melR//dkgB//metI//prmC//gntK//rhaD//ychO//citG//nuoN//glmY//purM//hha//oppD//citX//hyaC//pgaD//gspK//fadA//ygeH//creD//ihfA//hisQ//rbsB//caiA//hfq//comR//fucU//lsrA//chiP//cadA//tap//leuE//rplB//agaA//glgP//ssuD//garP//nuoF//nrdB//hofC//ycdZ//livH//edd//metY//fliZ//ilvI//ynfG//cynT//ytfE//phnE_2//csgE//cysG//hyfC//rplS//emrY//fucK//cysP//sdhB//cydD//rprA//rplC//ydeM//oppC//yneM//fadI//ulaF//trpA//malK//iscA//ygbA//mhpD//manX//ccmH//gapA//glnB//phnO//yeiP//bglB//allC//ychO//chiP//mglB//hupA//gabD//ydeO//speC//nanT//yqjH//ompW//purA//aer//argA//murQ//ispE//casA//rrlE//lsrB//qseB//rhaT//bioA//sohB//citD//ssb//manX//moaA//patZ//alaU//glnG//hyaB//rybA//araH//narG//trg//moeB//entC//purK//serA//lysP//phnM//carA//hflC//lacA//hycB//nanT//bglB//nrfC//gatA//patZ//citF//cheA//argI//oxc//ompR//yjcH//gltU//artI//ysgA//fixX//efeU_1//rplM//puuD//phnI//ccmF//glcC//iraD//paaI//cvpA//nanA//acrE//ytfE//fimI//torC//appY//dcuD//glmY//frdC//pflB//sucB//gspL//casA//fumB//arfB//yojI//trxA//ilvA//glpK//hyfR//rplP//crp//mscM//pgaC//envZ//moaA//pgaA//argT//puuD//dcuA//betT//pagP//mntP//ydhT//nrdE//carB//gntX//uxaB//iraD//trpR//atoA//cpdB//glgS//nuoJ//yhjC//amtB//astB//manX//ompW//ascB//hemA//kbaZ//ychO//puuR//yfeW//glgS//prs//metH//hyfI//chbF//fhuB//chbR//fepG//ynfF//cpdB//cstA//exbD//bacA//hyaB//glgX//malZ//narG//citE//dppB//oxyR//lhgO//fecI//moaC//dpiB//ccmD//phoH//dnaA//ychH//napC//idnO//csgF//metJ//fur//yhfA//dnaN//oppF//pheM//secB//ulaA//gpmA//aroA//psiE//narI//ydfN//sroD//pgaB//metB//dsdC//ycjX//ung//rutB//melR//rrlB//tpx//cysD//entH//focA//dadA//hpt//iscR//speC//ygeH//gatA//entF//ynfG//fldA//rrfB//galK//gatC//dapB//glgS//amtB//
ChbR-Monoacetylchitobiose-6P_neg	flhC//acnB//asr//caiC//astD//artI//
ChbR-Monoacetylchitobiose-6P_pos	osmC//feoA//galP//aroL//srlR//cynS//
CpxR-Phosphorylated_neg	aceA//hflC//yegZ//prfA//agaA//lsrD//dctA//katE//astE//citX//gspE//rnlB//yoaG//bioA//tam//speB//abgB//edd//acnA//gspK//baeS//rutD//rrfA//fdnI//
CpxR-Phosphorylated_pos	napG//hybC//ompF//ompW//puuA//cynX//rrlH//appC//fhuD//ygiB//hofM//aldA//agp//phnH//glgB//sbmC//sxy//malX//bdcA//gntX//atoE//cusR//trpR//uhpT//cusS//aroL//fimE//astE//hybE//hyfB//ilvE//rpmI//hybC//fecI//acnA//ulaD//rrfF//aceB//qseB//ydhV//carB//cyaR//rseA//phnO//fecR//
CreB-Phosphorylated_neg	mntH//secB//dmsB//
CreB-Phosphorylated_pos	ygeA//trpB//tnaA//ydhX//rpsP//nmpC//
CueR-Ag_neg	xapB//entF//mepH//ydhW//dppC//
CueR-Ag_pos	casE//fimI//
CueR-Cu+_neg	ilvE//purN//rybB//fadE//prpD//
CueR-Cu+_pos	gatB//nanM//
CuerR-Au_neg	proP//caiB//puuR//hybD//hslJ//
CuerR-Au_pos	torD//sucA//
CusR-Pasp_pos	infC//talA//nuoK//cpdB//hofN//hflD//metK//glpG//dcuB//gatY//glpD//nikD//
CynR-Cyanate_neg	nikE//
CynR-Cyanate_pos	entE//nagE//yeiB//
CysB-N-acetyl-L-serine_neg	gltT//ilvI//rof//rrsC//cpxA//pitB//aroF//
CysB-N-acetyl-L-serine_pos	pstC//ydeN//ampD//ogt//hybD//tdh//rrsG//srlA//nuoN//pyrC//garR//emrK//rhaR//idnT//ugpA//lacY//trpB//priB//gntP//rbfA//dppC//sodB//pdeF//
CysB-O-acetyl-L-serine_neg	astE//nrdI//fepD//oxyR//nuoB//glcF//spf//
CysB-O-acetyl-L-serine_pos	rutF//fes//ftnA//fecB//deoB//oxyR//fadB//aceF//narK//lsrG//yjiY//prfA//nagA//fecD//hypC//idnR//cpxR//uhpC//iscA//caiT//cheY//cheR//nagA//rseB//
DcuR-Phosphorylated_pos	yqjH//pgaB//chbR//yaiW//sdhD//hypD//hflD//fimH//pflB//
DnaA-ATP_neg	fimD//agaW//lsrK//fucU//glpC//ldtB//ilvE//rbsA//cirA//glgX//rutG//
DnaA-ATP_pos	fldA//uhpB//ilvD//rutG//fepE//gutQ//rplI//
DpiA-Pasp_neg	glpC//
DpiA-Pasp_pos	yfdE//srlA//cysH//kbl//hofO//nuoH//gspL//entS//nanA//fldA//
DsdC-D-serine_neg	katG//
DsdC-D-serine_pos	ynfH//mtlA//
EvgA-Phosphorylated_pos	cynT//fepE//dcuB//purC//iscU//betB//gspC//xylF//rnlB//atoE//glpT//ydeP//casB//ybfN//uidB//
FNR-[4Fe-4S]2+ reduced_neg	nadC//appX//puuE//paaK//gltA//chbA//ascF//caiF//tauD//pncB//emrK//glyA//ykgM//fimF//manZ//ybfN//gspH//speB//hflX//livF//fadE//hycD//nrdE//hflC//nrfG//abgB//hypE//acrF//lamB//infB//raiA//uof//moeA//yhjC//iclR//dcuR//soxS//rpsF//ubiG//mglA//hycF//caiB//glnA//argC//rprA//fadB//glnA//prs//amn//cyoC//adhE//ilvC//actP//nuoL//hybC//rutA//ydiU//hyaA//glpF//modA//malS//moaB//mhpA//nrfG//sdhB//srlR//lsrC//pgpC//fumA//lysO//manY//phnC//yeiP//bglF//mglA//fdnI//garK//dnaN//fucU//mhpR//trpD//speB//ubiC//hycA//hycF//preT//argO//betT//dppB//deoC//prs//lpd//moaE//tdcG//sufC//yhhY//glpC//lpxA//trpR//hyaF//astA//trmD//motB//tauD//ccmA//phoQ//secB//creA//mipA//cusA//hflK//glgP//moeA//hofB//cpxR//yggX//tadA//trpE//mntS//sroD//
FNR-[4Fe-4S]2+ reduced_pos	rdoA//pgk//rutG//glpB//araB//appA//gnd//ygiC//rutB//gabD//malP//mglA//gntR//bdcA//cusA//evgA//modA//rrfA//rpsP//xdhA//uxaB//fixC//phoQ//appB//nuoJ//ygeH//hisM//sodB//treB//feoC//rseB//malY//frdC//mlc//ugpB//deoA//malK//nanE//csgB//mscM//phoA//nlpE//ykgR//lsrR//yhfA//rplM//cyoE//atoA//argO//tolC//dusB//hyfH//sdhB//hupA//cra//rstB//deoA//rcnA//tnaA//ydbD//gntT//srlD//ygeA//alkB//feoA//phnD//yhcH//purM//phoH//fhuE//hyaA//lsrA//ccmG//mntS//pflB//cyoA//lysU//erpA//argB//fdhF//ykgO//ykgO//gltW//rnlB//hycC//tdcD//rimP//rhaS//pncB//mipA//cbl//ampE//ydiU//fdhF//cas2//iscR//flhC//nuoL//phnI//phoR//truB//metR//ynfK//fucU//dppB//gutQ//nagE//zinT//lsrB//citX//envY//araF//puuA//gatB//ulaE//ydeO//serA//adiC//uxaC//rbsD//yidQ//idnR//mhpE//lsrB//fdnH//fadI//lldD//fnr//carA//tauB//metK//pitA//allD//cpdB//gutQ//allC//sodB//ydhY//tfaQ//rbsB//puuB//hyfA//nrdH//xdhB//cydC//rbsC//rpsI//trpD//betI//tdcE//cyoA//hyaD//srlD//narK//fepB//fnr//metB//dcuC//aspC//fliZ//tsr//astD//ilvL//aldB//argT//hcp//znuA//agp//tar//rstA//fucK//ybdN//glpE//artJ//lsrD//argR//yjeF//pitA//ompF//ydfH//cusF//hupB//glgA//alkB//mdtA//ilvX//hydN//yegH//cysD//yggX//rplD//baeR//lpxA//cyoA//hemA//cadA//yhfA//pgpC//ccmE//atoA//ssuE//narG//
FhlA-Formate_pos	prs//cueO//phnM//mntS//hyfF//hyfC//rnpB//aaeX//caiF//murQ//agaW//hemA//rpsJ//phoB//gapA//moeB//rutB//ydeM//nuoF//ilvN//nlpD//yaeP//katE//astC//katG//grpE//lolB//yaiA//atoE//manY//
FucR-L-fuculose-1-phosphate_pos	glcG//narI//yrbL//csiE//motA//ilvM//aaeR//
Fur-Fe2+_neg	sbmA//dmsA//nrfC//ygiA//dapB//mipA//ulaA//nrdD//araG//araE//ydhW//efeU_2//mdh//ccmD//rrsG//lhgO//fecB//mtlD//lacA//araF//aaeB//fis//acrD//rbsR//norR//evgS//argC//galP//uxuR//mscM//caiE//phnO//gltF//rplW//malQ//yojI//glyA//ykgR//fucA//entC//yegR//nrdI//hisJ//ilvC//amtB//bhsA//astE//mgrR//hofM//ilvN//ybdZ//yggX//nrdB//nanT//pta//dsdA//narG//trpR//torC//dsbA//soxS//rpmC//alkA//nohA//sohB//rhaD//pheS//acrD//puuP//argO//evgA//metC//treR//dcuR//purH//entB//phnF//lsrD//nrfC//ogt//ydhX//bioC//trpB//pnp//argE//glnL//metJ//nikE//fadE//fimA//allD//prfA//argA//znuB//rhaB//rrsE//gabT//lysU//bglG//aroH//frc//zraR//hypC//gltB//hupA//cadC//narX//tyrR//hyfJ//phoQ//gspO//hha//pagP//stpA//fucI//tpx//deoB//artJ//fadL//casE//nusA//alaS//fdnI//ulaE//
Fur-Fe2+_pos	rplB//gatC//rutC//hyfI//fecD//metE//edd//phnD//cheB//nrdF//lsrA//nrfB//dkgB//yaiW//yfiP//yegH//livM//preA//tonB//paaI//yfdV//fldA//hslJ//sufE//fixB//
Fur-Mn2+_neg	hofC//fadL//mglA//sbmC//ihfA//cyoC//ygaC//yoaG//nac//fecA//ilvY//yhfA//ydhX//phoH//ssuA//citC//glpK//sbmC//bioD//ykgO//osmC//argT//arcA//sufC//envZ//tauC//prmC//grxD//hmp//mtlD//ilvL//proP//rrsG//iraM//rpsI//yhhY//yfdV//ccmC//evgS//aaeX//fbaA//dmsA//ykgO//creA//glpR//cusR//rpmC//mhpB//nikC//artI//phnG//livF//ccmD//ygiA//metQ//alaV//entF//cynR//galK//tsgA//nikA//uxuB//ykgM//ilvM//mhpT//entC//creA//lhgO//garP//hyfD//cysB//phnG//fecA//hyfG//csiE//nuoI//bioB//fhuE//bamA//cadA//bioA//argD//dsdC//argC//puuP//glcG//nrdF//hyaF//yojI//hybE//xapB//mtlA//marB//hemL//nuoA//tehA//rnlB//glnK//acrE//yjcH//mhpC//dctA//dsdA//ugpA//soxR//gspH//araC//ppiA//yjiY//yeiB//oppC//dcuB//baeS//puuD//modA//yjeF//hybG//emrK//nagE//mdtC//moaC//glnK//ampE//ycjX//
Fur-Mn2+_pos	cyaR//casB//ynfK//mipA//metY//fimG//znuB//lolB//melB//glcE//frdA//tcyJ//hyfJ//treC//sbmC//rhaR//tauB//mtr//nikA//lsrD//idnR//srlR//metE//rybB//idnO//
GlcC-Acetate_neg	fixB//
GlcC-Acetate_pos	nrdH//fimF//rpsF//nuoB//glcE//sbmA//
GlcC-Glycolate_neg	gatA//
GlcC-Glycolate_pos	rutF//glcG//csgD//tar//tauD//aer//
GlrR-Pasp56_pos	cadC//
IclR-pyruvate_neg	araE//ssuB//trxA//bhsA//
IdnR-5-ketogluconate_neg	rbsD//yoaG//phoA//
IdnR-5-ketogluconate_pos	hyaD//dmsA//codB//araE//cpxA//
IdnR-Idonate_neg	agaA//argC//pagP//
IdnR-Idonate_pos	ybiT//nagA//appC//phnE_1//rrlB//
IlvY-2-acetolactate_neg	csgC//
IlvY-2-acetolactate_pos	deoB//
IlvY-Alfa-acetohydroxybutirate_neg	ybdZ//
IlvY-Alfa-acetohydroxybutirate_pos	torA//
IscR-[2Fe-2S]1+_neg	waaH//csgB//flhD//focB//ileU//ubiX//casA//gltU//bioF//alkB//gspI//miaA//purH//nrfG//nirC//citD//cpxA//mglB//fadA//speC//cirA//gltU//cheY//focA//dsdA//ccmD//treR//prpE//galE//hyfH//
IscR-[2Fe-2S]1+_pos	rhaR//uof//gutQ//trpD//ompC//rutB//fucI//ilvG_1//glgP//nusA//trxA//
LldR-L-lactate_neg	fdnI//lysA//metQ//
LldR-L-lactate_pos	treC//pnp//cusR//
Lrp-Leucine_neg	nrfG//mpl//yrbL//metI//tsgA//ydhT//metF//galS//ykgO//xylF//fadD//gspH//rutD//metN//entA//amtB//ulaB//rrlH//ilvM//prpB//treB//yebE//nrdB//moaB//gntR//marA//cusR//dnaE//uxuA//dcuB//purD//tsr//hflD//ubiX//aaeR//rnhB//yeaR//nrfE//aroP//ssuB//yqjA//norW//hflX//yidQ//betA//uxuA//aldA//feoB//mtr//fadJ//dmsB//gatA//lysA//cspD//puuR//cydA//narG//yhjC//gntX//ybfN//gspC//glcD//srlR//rpsJ//cynX//pgaA//phnO//dmsC//degP//hofC//hslJ//ugpA//yggX//gspO//aspC//
Lrp-Leucine_pos	cysD//yecR//secB//nuoA//cysI//ccmG//yeiB//fhuF//hybF//frdD//yjjZ//rhaD//rbfA//csiE//nikA//rhaB//malE//puuD//argB//ygiB//fhuA//cstA//cyoC//gspJ//psiE//malS//ynfG//hdeB//cheY//uof//metA//nrfF//cyoB//ccmB//nupC//
LsrR_neg	ilvL//fepC//arfB//fimI//polA//nuoK//fecB//chbG//bcsA//
MalT-ADP-Maltotriose_pos	hyfI//argR//ydeJ//mglA//nuoA//avtA//casD//fepE//ychH//ilvN//
MalT-Maltotriose-ATP_pos	ilvX//waaH//cpdB//ygbA//iscU//actP//cysU//dcuR//ydfN//gutQ//
MelR-Melibiose_neg	cydB//nanK//ynfG//
MelR-Melibiose_pos	ihfA//feaB//rrlE//
MetJ-S-adenosylmethionine_neg	casA//slyB//rutC//cydB//trpA//uof//oppB//yiaJ//hofP//oppB//dcuB//fis//rbsK//ydfH//ulaF//
MetR-L-homocysteine_neg	nuoL//idnO//
MetR-L-homocysteine_pos	nrfB//patZ//torD//ulaE//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	ppiD//dgcZ//yqjA//rrfA//gltB//gatC//
MhpR-3HPP_pos	nuoN//eda//artJ//uxuB//acnB//kbaZ//
MntR-Cd2+_neg	dps//ydeP//puuE//dcuS//
MntR-Cd2+_pos	sbmA//
ModE-MoO42-_neg	creD//oppF//xylA//artQ//ampD//sufD//nupG//envZ//hofB//hflX//appC//ydeN//ptsG//hpt//fimG//
ModE-MoO42-_pos	glpQ//nikE//manY//ilvA//cysH//rrfA//narK//mscM//fimG//glgS//fdnH//emrY//prfA//ynfK//fadJ//araH//rplC//moaE//artI//comR//codB//yoaG//entC//ileT//yhiD//hycE//manZ//hycE//nusA//chbF//phnE_2//
NarL-Phosphorylated_neg	livK//trpA//citF//rrsE//norW//moaB//sucB//hupA//sucB//araA//pgaC//aroA//yidQ//livJ//ebgC//nirC//aaeB//cusF//mhpT//fadJ//metL//nagA//copA//araD//ubiX//yfdV//carA//fadH//cheW//yibN//dcuR//hyfG//yfdE//fimD//arcA//xylH//nirD//glpD//mglA//gltA//feoC//csgE//araA//paaA//ccmH//ydhW//aroP//gabT//pncB//ynfK//paaD//paaK//mepH//araC//csgG//xapB//ilvM//gadC//dpiB//pstC//arcZ//fldA//betI//fadH//rpsC//ansB//marR//gspF//hycH//metC//lacZ//gntR//lldP//purE//phoP//prpD//fhlA//ilvL//dapB//iscS//sdhB//zraS//lamB//rpoH//ompR//gcvP//
NarL-Phosphorylated_pos	fecI//copA//fucA//malG//entE//srlR//umpH//dmsD//gltA//flhC//tnaB//fur//rseB//garK//ilvC//nrdA//sdhD//priB//galP//edd//malT//ugpB//rybA//cueO//yciW//qseB//epd//cas2//cysH//hybD//prs//gcvT//tadA//tpx//rplI//ubiX//gspG//pgaC//entE//pyrC//cirA//nuoA//astB//lolB//argC//araF//
NarP-Phosphorylated_neg	oppC//fhuD//yoaC//sbcD//gltU//nrfD//lolB//artI//nikD//pagP//ileU//focB//malP//rof//rutG//ulaD//glyA//ebgA//sdhB//ssuC//purD//fecR//xylF//hlyE//aaeX//gatC//rnpB//grpE//fadD//pstS//casC//cysG//lhgO//
NarP-Phosphorylated_pos	betB//fucA//ptsG//ilvH//ynfG//ompA//tsgA//ydeJ//alaA//hflX//hfq//hflC//paaB//borD//ung//rpoH//treR//hisQ//dppD//gatZ//ugpE//yhjA//cydB//cysA//uxaB//fecC//polA//fumA//psd//appX//tam//phnE_1//
NhaR-Na+_pos	lacY//bglG//rrsG//fabZ//entB//
NikR-Cd2+_neg	speC//paaK//folA//mdtB//glpX//rbsR//
NikR-Co2+_neg	hycH//gatA//cysJ//yegZ//ilvC//rhaD//
NikR-Cu2+_neg	nuoN//degP//gpsA//xdhA//pgaB//csgE//
NikR-Ni2+_neg	acs//gabT//gntT//rpsF//ahpC//argH//
NikR-Zn2+_neg	ndh//puuR//cydB//yojI//tdcD//nikA//
NrdR-ATP_neg	hybO//citF//manY//rrlG//bglB//atoB//entC//glcC//lamB//
NrdR-Zn2+_neg	citD//rcnA//rplS//cydD//livJ//dapB//phnL//yfbR//rbsK//
NrdR-dATP_neg	aer//gpmA//fucI//deoA//yegZ//udp//rrlA//ybfN//ilvB//
NsrR-[2Fe-2S]reduced_neg	artM//paaB//prs//artI//phoR//fabZ//folE//yaeQ//glnA//gltT//yebE//sufE//caiB//mzrA//cusA//lsrF//yaiW//fliA//cyoB//artI//malF//uxaA//galK//ilvM//araB//emrK//dnaA//lldD//nupG//dmsA//rrsG//eda//narX//murP//ykgO//deoB//tam//actP//caiT//pgaB//csgD//sucC//znuA//caiB//agaA//malS//fimA//sodB//ugpC//hlyE//frdD//lsrD//acrE//bhsA//pdeF//frdA//psiF//flhC//ssuB//hdeB//rrlA//idnT//feaB//livJ//nanT//csiD//gltT//rrsC//hflD//glnL//rplC//ulaD//aer//
PhoB-Phosphorylated_neg	rstB//serC//rrlH//hycD//sufB//abgA//ppiA//hemL//pheS//dsdA//xylH//livG//purR//
PhoB-Phosphorylated_pos	zraR//lsrB//rnlA//betB//rpsF//yecR//bglB//rutA//glnG//putP//paaZ//xylF//ykgM//tam//hyfH//alkB//ompC//srlR//epd//cynX//modA//fabZ//hycF//ilvG_1//glpG//gspG//yeaE//pstB//chbA//hyfD//modB//yqjI//metI//glpQ//sbmC//fldA//casB//ugpA//gcvP//chbC//mntH//ulaE//metI//miaA//rplB//copA//atoB//purH//mtlA//pheT//rcnB//entF//metC//
PhoP-Phosphorylated_neg	rplC//evgA//dppB//hofB//baeS//gcvT//lysA//ascF//mgtL//metJ//mntS//
PhoP-Phosphorylated_pos	fur//napH//metK//ychO//fliA//yjeV//rrlG//modB//hisJ//micF//nagE//dpiA//hdeD//gspJ//mscM//rhaB//puuE//rplV//yeiW//dps//glpX//garR//glpT//modC//lacI//fepA//glnK//ulaA//fabZ//hisQ//bglG//nusA//ugpA//paaK//ileV//prmC//marB//lsrA//rseC//infC//hycH//rhaR//mlc//paaK//purC//mhpR//deoD//lldP//ulaE//
PrpR-2-methylcitrate_neg	lldR//
PrpR-2-methylcitrate_pos	bioB//tauB//hypC//sufS//
PurR-Guanine_neg	iscS//argA//mtr//yeiP//phnK//yfiP//pstC//ulaD//rutG//fimF//ompR//yeiW//norW//cysD//glnG//ccmD//mntH//fecR//cusF//rof//tam//fixC//nanK//gltB//appX//rprA//ynfE//sxy//glmY//hpt//uidC//sodB//fucU//casB//
PurR-Hypoxanthine_neg	creA//creA//preA//sufE//ydhT//yoaC//metA//fis//focA//hupB//phnO//glpG//rpoH//yaeP//ynfF//prpB//dapD//araH//hycH//hlyE//epd//dkgB//lsrK//motA//cysJ//mhpE//dapB//fucA//rplM//nanM//tonB//artM//ygbA//bamA//
QseB-Phosphorylated_pos	cas1//yrbL//ilvI//ykgO//
RhaR-L-rhamnose_pos	glgP//hisM//
RhaS-L-rhamnose_pos	idnD//katE//ychH//
RstA-Phosphorylated_neg	tauA//fnrS//fdnI//fbaA//frdB//
RstA-Phosphorylated_pos	torA//dppD//ubiA//paaG//ubiG//
SoxR-[2Fe-2S]3+ oxydized_neg	purE//
SoxR-[2Fe-2S]3+ oxydized_pos	gltV//hycC//udp//
TorR-Phosphorylated_neg	ubiG//
TorR-Phosphorylated_pos	osmC//manX//uidA//rrsA//creA//galM//chbG//artJ//bamE//
TrpR-Tryptophan_neg	trg//asr//fecI//gcd//fepB//hyfD//csgA//nrfB//atoB//acs//cysG//nohA//
TyrR-L-tryptophan_neg	cysH//rbfA//sbcC//ydfH//tdcC//moaE//alaU//ydbD//bhsA//fucR//ilvI//degP//
TyrR-L-tryptophan_pos	comR//nuoB//hofN//
TyrR-Phenylalanine_neg	cysN//sdhC//tauA//tdcG//fimC//yfdX//hofP//rrlG//gltW//hofB//nuoA//fecC//
TyrR-Phenylalanine_pos	allD//infC//ygbA//
TyrR-Tyrosine_neg	dmsA//xylH//ilvD//hlyE//ydhX//phnI//gatZ//fixX//lsrG//torR//oxyR//dadX//
TyrR-Tyrosine_pos	lysP//hypB//ldtB//
UhpA-Phosphorylated_pos	fhlA//
XapR-xanthosine_pos	cysD//purB//
XylR-Xylose_pos	ygeA//bcsZ//glcC//hyaE//nuoM//pck//
ZntR-Cd2+_pos	hdeB//
ZntR-Hg_pos	gltD//
ZntR-Zn2+_pos	lldD//
ZraR-Phosphorylated_pos	fadA//xylA//dadA//
Zur-Zn2+_neg	ndh//hycH//argE//glpK//sucC//gcvH//
