#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	hofB//ompX//
CRP-cAMP_pos	fhuD//mdtB//osmY//hyaC//mntP//yeiP//bamA//tehA//cydC//dadA//glpT//citD//rstB//norR//tsgA//betB//nusA//gntT//argB//pstS//ccmA//trpE//hyaB//yaiA//lsrA//rutC//ompX//ilvY//leuE//allC//fixX//dnaE//yiaJ//ydfH//fimC//nuoL//eda//ftnA//mltC//tnaA//malF//nrdF//abgA//grcA//livG//glgX//puuD//lldD//lldR//puuC//rplB//xdhB//cydC//nuoI//phnC//rutE//lysU//lacA//gntT//micF//nagC//aroL//grcA//rutG//ccmD//acrE//yjiY//narX//argC//rnlA//cas1//livF//tonB//gntX//malP//yhhY//xylG//rhaS//fadH//galK//srlB//galK//rutC//ybdN//livH//fecD//ssuD//mtr//ilvI//yidQ//ompW//nirB//aceE//rbsD//trpD//rrsD//hflX//ulaA//fepB//rbsK//rplS//rbsD//dkgB//citE//chbR//serA//grcA//rrfA//gatD//aceE//hycC//dcuS//ppdD//artI//envY//bcsZ//lsrG//hlyE//ftnA//appC//rpsJ//frdD//aidB//fadL//rhaT//ysgA//lrp//phnC//argP//aldA//spy//ydhT//leuE//cysK//phoB//pgk//bcsB//glcG//glcB//sohB//waaH//dmsC//ftnA//pgk//gspF//hybC//rplP//spy//yhhY//gabT//bglG//gcd//hycF//fhuA//hyaF//ulaE//betI//nuoL//paaG//narJ//adiC//aceA//argA//rrlA//sbcD//moaE//rrsE//gdhA//nuoA//phnH//fixC//yfdV//tolC//nuoB//narQ//ispE//abgT//hflC//araC//pncB//dsdA//nuoN//uhpT//nanE//cysJ//hisJ//csiE//sdhD//caiF//serC//aroH//ygeH//exuT//exuT//ssuB//fadL//emrY//astD//fucU//hcp//yhjA//csgF//atoA//fnr//fecA//rplV//acrB//fucR//arcZ//araD//moaE//hflD//xapB//xylR//cheR//hybD//malT//argE//uidC//iraD//carB//mhpA//acrB//fur//mdtC//hisP//srlA//phnE_1//ynfG//stpA//lsrF//napA//cheA//purL//ydeJ//glcF//gspI//entE//umpH//nrfD//tnaA//cadC//fadI//proP//rpoH//uxuB//fixB//yqjI//bioB//ftnB//gpmA//ccmC//avtA//fimC//prpR//safA//ptsG//purK//rplC//dcuS//hyaB//phnI//nuoA//glnB//nrfG//rutF//cytR//gadB//rrfF//glyA//phnF//lsrK//cheZ//hdeA//glpT//uxaB//bioB//sdhB//bioA//argE//hycI//dnaN//sodA//glpF//hycE//yccA//rbsK//fecI//mutL//aaeX//casB//narL//pdhR//aaeX//hisM//ycdZ//nac//tsr//hycB//dcuD//rbfA//nuoB//prfA//crp//fdhF//moaD//nirC//phoB//yoaG//glgB//mtlA//cheY//cspD//agaV//ycjF//ilvM//araF//aspA//napA//putP//malE//gspF//rrfB//hycF//fecI//lpxA//ppdD//ycdZ//glyA//gcvP//ynfK//caiC//ccmH//cyaA//ilvD//iclR//fdhF//fes//hyaC//pitA//zinT//psiF//ompF//abgT//casC//ampD//entS//idnK//citG//dctA//fucU//rbfA//modC//yhcH//dadA//bioB//paaK//napB//tyrR//fadI//phnE_1//cysB//phnK//ampE//fhuD//mutL//mntS//malQ//puuE//phoH//gspH//stpA//ndh//ilvD//trpR//hypF//aaeX//hflX//leuE//nirD//secB//mlc//ptsH//fis//treR//narQ//glpG//yoaC//ydhY//acs//edd//yjcH//ackA//xylA//appB//cydC//gspJ//aaeR//hycF//narK//yeiL//recF//hycD//ivbL//ileU//tauB//gspH//hybA//aceK//fimC//betT//napB//entD//ppiD//katG//mntS//ydeM//cysM//phoR//agaA//tolC//ndh//aaeB//spy//infB//fucP//hypC//aidB//lysC//
ChbR-Monoacetylchitobiose-6P_neg	hybF//chbF//waaH//crr//tdh//yjcH//
ChbR-Monoacetylchitobiose-6P_pos	mltC//tehB//ccmH//tdcA//efeU_2//mzrA//
CpxR-Phosphorylated_neg	mntP//argC//fdhF//iscU//pdeF//hflK//entC//ahpF//rutE//ccmD//phnM//ygiB//fadJ//ulaD//lpxA//chbG//ysgA//ptsG//leuE//creD//hcr//lldD//dnaA//metA//
CpxR-Phosphorylated_pos	argT//cpxA//yaiA//hycF//napC//puuD//mglB//hisP//betI//ccmB//rstB//livM//nagE//napA//mtr//zraP//allC//caiA//sbmA//acrE//moaD//napC//erpA//yaiA//artJ//yfdV//epd//patZ//argF//ptsG//cusC//metL//fliZ//garL//ogt//yoaG//fis//lldP//speA//mgrB//ulaC//rpsF//fucP//hybC//lsrG//
CreB-Phosphorylated_neg	nrdH//srlA//dppB//
CreB-Phosphorylated_pos	bdcA//moaD//glpK//yegR//mlc//glpQ//
CueR-Ag_neg	ileU//hyfE//sucC//lpd//lpd//
CueR-Ag_pos	hyaF//ydeM//
CueR-Cu+_neg	gntK//argD//csgA//rplT//cytR//
CueR-Cu+_pos	abgT//tauB//
CuerR-Au_neg	yeaD//phoP//zraP//gspH//marB//
CuerR-Au_pos	rrfA//soxR//
CusR-Pasp_pos	uxaA//hflK//cynS//prpD//artP//iscU//prfA//araF//garR//fecB//hybC//araE//
CynR-Cyanate_neg	fadE//
CynR-Cyanate_pos	araH//cadA//tam//
CysB-N-acetyl-L-serine_neg	yciW//crp//ileV//ubiX//hisP//focB//yoaC//
CysB-N-acetyl-L-serine_pos	gspM//argP//trpL//moaB//dcuA//casA//ssuE//tauB//aroL//gntR//fis//sroD//rnhB//dppD//aroH//ryhB//preT//fadI//yaeP//nrdI//pdhR//glgS//aceK//
CysB-O-acetyl-L-serine_neg	ileT//malE//lsrB//galS//ompW//appX//ilvI//
CysB-O-acetyl-L-serine_pos	araF//gntU//trpD//dsbA//phoQ//rpsQ//glgB//malK//fecI//mpl//hofC//cadC//gapA//tfaQ//dcuR//aceB//gatC//mltC//evgA//chbG//prpE//yeiW//citF//ugpA//
DcuR-Phosphorylated_pos	ydhV//slyB//rrlG//yhjC//mipA//serA//ulaF//glgX//nirC//
DnaA-ATP_neg	tnaA//fadJ//alaA//bioF//purC//hdeB//rplP//cheZ//bglG//mutY//entC//
DnaA-ATP_pos	yfeW//tnaB//bcsZ//nagA//trpC//cspD//emrY//
DpiA-Pasp_neg	hcr//
DpiA-Pasp_pos	tsaE//nrdE//avtA//hyfJ//fldA//recF//udp//nikA//nanT//yhcH//
DsdC-D-serine_neg	hycH//
DsdC-D-serine_pos	gapA//zntA//
EvgA-Phosphorylated_pos	cadA//glnB//modC//yneM//mpl//slt//pstS//infC//hyfR//ompC//napG//hycG//tolC//crl//baeS//
FNR-[4Fe-4S]2+ reduced_neg	stpA//sdhB//rutE//yeiP//rrlE//hyaE//fepB//cysP//pgaB//putP//cheA//tpx//aldB//hypB//dpiA//rpsR//dusB//pstS//livM//fes//yhjA//livG//mntP//tdcB//lsrR//csgB//gapA//torD//gltF//malF//metC//argE//nikR//ilvG_1//ynfH//sufE//nanT//fimA//ilvG_1//truB//actP//mhpE//iraD//cusS//fis//puuR//hycA//phoU//yojI//hydN//ppiD//mhpA//hypA//betI//feoB//appA//galS//moaA//citX//argC//rrfF//argF//asr//araD//yebE//casB//livH//rpsF//iraM//sufC//modB//garR//rpsP//napH//azuC//metC//degP//galS//ccmD//mhpD//appX//cadB//chbC//ssuD//fecD//yfiP//emrY//oxyR//sufE//malK//phoU//ccmG//xdhC//mzrA//norR//nanS//ybiT//nrfE//rhaT//appB//argP//leuE//ilvD//yecR//paaK//tdcE//rrfD//dgcZ//ydhT//ybfN//tsaE//ssb//exbB//rstB//dppF//pheT//rbsR//icd//crr//frdA//
FNR-[4Fe-4S]2+ reduced_pos	hycI//evgS//bcsZ//ccmA//ispE//xapB//cyaA//phnI//rpoH//dsbA//cyaA//mhpB//mtlA//oppC//csgB//csgC//dcuC//codB//cysG//malY//yecR//hycI//epd//hisJ//cydD//mgtL//feoB//manZ//tyrR//nirD//phnM//ccmB//cheB//hybD//gntR//sufE//talA//garP//flhD//artJ//rutB//fdnH//qseB//atoA//astE//entH//glnK//dctA//raiA//ygiB//gltU//ychO//lpxB//tehB//hofP//caiF//nrdB//fldA//fadH//nupG//bioB//cydA//uhpA//trpA//rprA//amn//hyaE//hyaE//nuoA//aaeB//trpE//narH//paaJ//nrdA//fimA//agaA//znuA//trpB//modC//nupC//ydhX//caiE//cynX//torR//mntH//hypE//paaH//gpmA//carB//ynfK//purK//araF//pck//dppD//mhpC//cysJ//rmf//tehB//speC//norR//manX//idnR//cydD//yiaJ//hyaB//napH//agp//bacA//emrK//fadI//nanS//pgaC//bcsB//norW//srlE//dsbA//xdhC//hdeD//alaU//hofM//casB//cyoE//trpC//mglB//ompF//rrsB//aroH//yrbL//cspE//mdtA//melR//glnG//yhjA//ydhV//artJ//feoC//lsrK//mgtA//evgS//hybC//sbmC//yfaE//cynX//mutY//metF//idnO//hybO//cysU//nmpC//nrfA//ilvX//astB//fhuB//dnaA//rcnB//emrK//hdeB//sdhA//rpsQ//pstS//glgP//priB//sbcD//hyfA//casA//nac//hmp//dsbA//fimH//fdnG//metI//yjjZ//livJ//lpd//manX//uhpB//psiE//alaA//livK//phnE_1//fdnG//paaA//napG//metF//gspC//cueO//crr//gspM//upp//tam//rrfA//cydB//lsrC//betT//fnrS//citG//rnlA//pck//xylG//deoB//ccmE//paaB//
FhlA-Formate_pos	citC//nlpE//rhaS//ssuC//cbl//purB//nanE//dcuA//ldtC//argT//galM//uxaC//ybjG//yccA//uxuR//comR//bioA//fixA//fecR//trpL//eda//dmsB//cusR//manX//atoB//xylF//uof//dadX//ndh//lldD//
FucR-L-fuculose-1-phosphate_pos	erpA//nuoH//rmf//artI//norW//hupA//uidA//
Fur-Fe2+_neg	crp//glpX//dnaA//phnJ//mglA//malK//dpiB//ampE//caiT//flhD//yhcH//hypF//acnB//fhuB//metR//aroP//cas2//fepG//fliZ//torA//yjiY//hyfD//rplT//prs//gcvP//cusF//xdhB//oppC//hslJ//dpiB//ydhU//rpsF//mutY//fimD//fecB//yjjZ//csiE//yaiW//tehA//efeU_2//kbaZ//csgF//livG//oxc//polA//narH//cysU//astE//mdtC//ompC//pitA//glrR//csgG//argF//sucC//lamB//gapA//ppiD//rbsB//tdcF//pyrD//nanC//betB//cusC//nirC//gltF//tpx//artQ//fixC//dps//nirC//araE//glrR//rbsD//ykgM//aceB//nagC//glpD//psiF//metB//nikB//thrV//hyfD//metK//rpsF//yjjZ//hfq//gatA//gcvP//spy//glgB//mgtL//fecI//dadA//mtlA//fis//rrfC//aceF//ssb//argP//puuA//argG//paaJ//ydbD//aidB//fnr//agaV//ygiB//paaH//frdD//hybE//entF//fimF//creD//lpd//napB//rrfF//map//idnT//nagB//icd//yjjZ//miaA//stpA//
Fur-Fe2+_pos	hyfH//dapD//melR//bacA//rpsR//oppF//ascB//hcp//aidB//uhpB//ynfF//gspL//dadA//fadH//xylB//nanA//paaI//puuD//emrY//betB//fecB//rdoA//metB//yrbL//yhjC//
Fur-Mn2+_neg	sdhC//rpsQ//osmY//caiC//appB//trpL//phoQ//ydeJ//truB//artP//gltA//ychH//pgaC//cueO//hycH//gltW//tktB//mglB//crl//priB//rutD//nuoC//rrfB//malI//fadA//umpH//yfdE//ssuC//hofN//cydA//pitA//chiP//micF//emrK//mzrA//lsrD//hdeB//phnM//ccmG//ubiG//mhpA//acnA//mzrA//tdcE//cynR//efeU_2//rdoA//csgA//sbmC//ydfN//rnpB//phnE_1//hdeB//yecR//rbsD//ispE//phnM//xylA//rutA//gnd//chbF//betI//abgB//ubiC//uidB//grxD//narX//yeiW//modA//cyoB//fecI//sufD//ryhB//hybE//moaC//rpoE//yegR//arcZ//yeaD//hyfG//cynS//dpiA//grpE//argG//nrfG//ubiC//yedX//nrfB//metC//pstC//melR//ccmE//trpD//ynfE//hyfH//rplV//alaU//ubiA//rbsB//trpE//fumA//hfq//exbB//pstA//ydeA//zwf//rrfH//gspM//artQ//folE//fecD//malE//deoA//yfdV//rrlG//recF//ung//puuR//alkA//glcE//purH//exbD//torA//fucA//
Fur-Mn2+_pos	citC//metQ//fepD//ompX//gatC//preT//aroG//infC//fepD//nrfD//focA//hyfF//purH//ydhT//iscR//ccmD//arcA//cysB//hdeA//amtB//chbA//moaA//cysG//mhpF//gutM//
GlcC-Acetate_neg	csgB//
GlcC-Acetate_pos	erpA//lacI//pgpC//ansB//hyaA//hyaF//
GlcC-Glycolate_neg	fimA//
GlcC-Glycolate_pos	malG//fhuD//cyaA//envZ//mntP//cheW//
GlrR-Pasp56_pos	purH//
IclR-pyruvate_neg	fau//moaA//lsrD//phnI//
IdnR-5-ketogluconate_neg	cydC//metQ//ydeP//
IdnR-5-ketogluconate_pos	citF//fecB//hyfR//hfq//araJ//
IdnR-Idonate_neg	phnN//frdD//sohB//
IdnR-Idonate_pos	xylB//nadC//manZ//hisJ//rpsR//
IlvY-2-acetolactate_neg	fnr//
IlvY-2-acetolactate_pos	ilvX//
IlvY-Alfa-acetohydroxybutirate_neg	yfiP//
IlvY-Alfa-acetohydroxybutirate_pos	narQ//
IscR-[2Fe-2S]1+_neg	lamB//nlpE//oppD//ilvA//amtB//dppB//hcp//yecR//ilvE//ssb//caiT//moaE//nfuA//mgtL//bioA//phoA//yebE//ugpB//tdcA//envY//ompW//galT//prpD//frdB//livK//gltW//yiaJ//xseA//fdhF//cysW//
IscR-[2Fe-2S]1+_pos	atoD//oxc//feaB//malS//feoC//cysD//yaeP//caiA//zraR//hycG//phoR//
LldR-L-lactate_neg	skp//ygaC//fhuB//
LldR-L-lactate_pos	yqaE//trpD//metK//
Lrp-Leucine_neg	puuR//ilvB//ysgA//hcr//lpd//gspE//lrp//exbD//yjjZ//ssuD//xdhB//nuoF//idnT//hflC//ada//hisP//tktB//citE//melR//tyrP//cyoA//fadD//sdhB//abgB//glgC//glcC//ygiB//chbC//fimE//cynT//pgaD//sucA//purN//fucU//rmf//gspM//fhuF//ilvI//artP//gspF//ackA//gspE//bioF//glnL//fau//purR//alkB//tar//nanC//fimA//rrfF//purF//idnO//exuT//nrdA//torD//glpG//gpmA//dusB//motA//ilvG_2//ydiU//rutE//napD//motB//yfbR//yhfA//mscM//hyfF//ugpE//rrfH//ilvN//phnH//manY//phnE_2//
Lrp-Leucine_pos	rbsB//bacA//bacA//hybO//ydfN//mtlA//hyaC//garP//cusF//tnaA//ilvA//folA//hcp//ynfG//bhsA//ilvG_2//idnK//glpC//gltW//iraD//lysP//dcuS//chbA//manA//glnB//entC//mhpC//nuoN//manY//mglA//xylB//artM//galS//metY//bdcA//
LsrR_neg	efeU_1//ihfA//fucK//lysC//gspM//rrfG//ssuA//yeaD//ycjF//
MalT-ADP-Maltotriose_pos	glpT//srlA//hemL//caiC//dnaA//bamA//phnE_2//dctA//trpE//atoD//
MalT-Maltotriose-ATP_pos	rdoA//acrF//glgB//hybB//rstA//ileU//pheT//uidB//codB//gspD//
MelR-Melibiose_neg	galT//borD//glgS//
MelR-Melibiose_pos	oppB//ybdN//rrlB//
MetJ-S-adenosylmethionine_neg	tsx//lsrD//tdcE//ydhW//flhC//ackA//rimM//hybB//moaD//speC//dppF//putP//modC//rrfA//rimP//
MetR-L-homocysteine_neg	rrsA//glpK//
MetR-L-homocysteine_pos	pdeF//gspO//napD//mhpB//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	astD//spy//cysU//fhuD//tpx//hcr//
MhpR-3HPP_pos	focB//hyaD//fimI//fimI//serA//dpiA//
MntR-Cd2+_neg	ulaC//gspE//bglB//gntK//
MntR-Cd2+_pos	tyrA//
ModE-MoO42-_neg	yibN//paaE//ilvG_2//tauB//rutE//ada//sbcC//cstA//marA//allC//caiB//appC//glgX//ebgC//nanM//
ModE-MoO42-_pos	ydeM//glcE//acrA//glpD//hybO//baeR//pgaD//yggX//hslJ//ybfN//pck//emrY//sdaA//ychO//csiE//ebgA//yqjH//nrfF//murP//mdtA//rbsB//gcd//gpsA//psd//hybA//lldD//dadA//betT//proP//ygaC//nrdH//
NarL-Phosphorylated_neg	ulaD//folA//nikE//phoB//raiA//frc//argB//ydhY//rof//gntT//idnD//ybdZ//yeaE//gcvT//asr//paaK//puuP//waaH//gspO//sdaA//glpQ//fecE//gnd//casB//dadX//argE//lpxA//gadB//araF//paaJ//agp//fecD//ansB//livK//rutB//tyrR//uidB//glgS//caiE//yhiD//betI//pflB//dnaA//rcnB//soxS//ccmG//rhaD//malK//atoE//hofO//nrdA//tsaE//dsdA//hycH//tnaC//entS//abgT//fliA//cynT//phoQ//tnaC//nanA//fbaA//hofP//csgC//fhuB//gspG//dsdA//tyrR//ppiA//nrdA//nadC//hyfR//atoE//pitA//rnlA//pflB//purN//cadC//hybE//zinT//nuoI//creD//ebgA//nikD//gspJ//
NarL-Phosphorylated_pos	uhpB//chiP//gspC//pgaD//nuoE//arfB//rrsD//gcvT//ydhT//cpdB//rbsA//puuB//rbsR//tdcE//soxS//ykgM//preT//entB//purK//erpA//ugpC//ompA//caiA//manZ//hyfC//gntR//norV//csiD//melA//rrlB//metQ//focA//hypD//frdA//rrfF//malQ//ybdN//gyrA//erpA//feoB//yrbL//phnD//rybB//gntP//ulaF//speA//
NarP-Phosphorylated_neg	mhpE//nuoM//ynfF//cysG//dkgB//fucO//norV//tyrA//csiE//speB//ygiB//fecC//rrsH//osmC//ydhW//nuoA//garP//hyaC//hybD//aroL//ilvC//hemL//rrlG//zraS//tdh//phnH//fadH//nrdH//prpE//ybjG//trpL//katE//napD//
NarP-Phosphorylated_pos	paaK//gcvP//cueO//metY//fadH//caiC//uvrA//metF//chbC//lhgO//uhpB//garL//phnJ//sbmC//narK//pgaA//efeU_2//gspH//nrfA//glgP//malP//casD//bcsA//rpsR//rpsP//guaA//mhpB//ulaB//rpsJ//cyoA//map//mpl//
NhaR-Na+_pos	miaA//yqjI//trpL//yaeQ//cheA//
NikR-Cd2+_neg	nohA//creB//ilvC//ccmC//napF//proP//
NikR-Co2+_neg	rpoE//cusB//bglB//pflB//mtlD//motB//
NikR-Cu2+_neg	metC//malQ//srlR//glpC//nuoJ//paaE//
NikR-Ni2+_neg	chbC//emrY//yidQ//ccmE//fadJ//stpA//
NikR-Zn2+_neg	gspK//hycA//fiu//cynR//ubiX//ccmA//
NrdR-ATP_neg	glpD//rrsG//pdhR//purA//sdhB//atoB//acrB//efeU_2//hyaE//
NrdR-Zn2+_neg	gcvT//cysB//fadE//rbsB//rplT//dppC//pepT//fhuA//uhpA//
NrdR-dATP_neg	yrbL//pck//purD//artJ//malM//hyaA//cysW//hlyE//mgrR//
NsrR-[2Fe-2S]reduced_neg	gltW//phnH//idnD//ssuA//garL//rrfD//fepB//cytR//dapB//cysW//rrfH//grpE//citF//dmsA//prpE//gdhA//phoE//lacY//mutY//ygeA//iraM//ilvG_2//mlc//edd//lsrR//araF//aspC//cheB//rprA//entS//sufB//tsr//melR//acrA//stpA//mtr//betI//ydeM//hyfC//preA//fixA//tap//acrE//rutB//aspA//prpD//fecI//pstB//yeiW//tomB//fimE//zraS//mzrA//fliZ//nrfB//grcA//cynX//cyoA//phoQ//ynfF//yecR//sohB//puuE//purA//aroP//norR//motB//glgS//sucD//citC//gspF//frdB//rhaD//
PhoB-Phosphorylated_neg	preA//dcuB//bamE//ilvN//nrdH//fucA//fumA//rpsF//norW//cpxR//hycG//waaH//ppiA//
PhoB-Phosphorylated_pos	csgF//fadE//mntS//bioF//ulaB//tdcB//rprA//mdtA//pdeF//ygeH//infB//hyfB//glpB//caiB//xylF//nuoF//mhpR//tyrP//hslJ//cyoD//casC//iraM//atoB//abgT//cysA//gabD//yecR//gntX//rpsP//ubiX//metH//hflK//puuR//rbsC//dadX//csgE//nanS//hyaA//soxS//bioF//mglB//citC//xapA//rdoA//dctA//mhpR//gltF//hcr//aceF//trpE//hyfI//hycE//bamA//
PhoP-Phosphorylated_neg	rbsD//rpsP//ilvI//gspE//rpsJ//iclR//rbsK//glgP//xylB//dadA//codB//
PhoP-Phosphorylated_pos	norW//iscA//cysC//glgS//sdhB//hflD//cspE//srlB//xylH//cysW//hcr//nagB//rbsK//rutC//tdcE//yaiA//ugpA//artI//yegZ//astD//deoB//narJ//ompT//aroM//paaJ//nikD//pflB//narX//hycD//rpsP//ilvB//nikR//ompW//sucD//srlR//mdh//nrdF//nikR//moaB//fimA//araF//trmD//caiT//creD//rutC//allD//yjcH//dctA//borD//
PrpR-2-methylcitrate_neg	yidQ//
PrpR-2-methylcitrate_pos	puuC//aceB//ptsI//grpE//
PurR-Guanine_neg	carA//yfdX//treR//copA//livF//argI//mutY//baeR//yhiD//araE//pgaA//ppdD//bglB//speB//cueO//csiE//phoQ//aspC//frdC//cdd//rpsI//srlR//grxC//rrfA//caiB//astE//ynfK//sbcC//fucR//aroA//cpdB//ftnA//grcA//nuoE//
PurR-Hypoxanthine_neg	ygbA//grxC//exbB//glgP//purC//rplM//ybdZ//napH//nanA//csgB//trg//betI//yecR//nanS//nuoK//glnD//hflX//rcnA//rpoH//gutM//rstA//ptsG//argD//metI//garR//dcuD//puuA//yneM//argR//nagE//astC//ssuE//rpsQ//nanM//
QseB-Phosphorylated_pos	hyaA//glgX//glnD//hflK//
RhaR-L-rhamnose_pos	phnN//cydB//
RhaS-L-rhamnose_pos	rrlB//alaS//cheW//
RstA-Phosphorylated_neg	dmsA//moaB//lacI//rrfE//nuoH//
RstA-Phosphorylated_pos	bdcA//glpR//hypB//fes//dppA//
SoxR-[2Fe-2S]3+ oxydized_neg	agaW//
SoxR-[2Fe-2S]3+ oxydized_pos	phnI//hupB//rutA//
TorR-Phosphorylated_neg	purM//
TorR-Phosphorylated_pos	cyaR//yoaG//spf//gabT//nrfF//serC//ompT//ptsI//galP//
TrpR-Tryptophan_neg	malM//glnD//ssb//hyfI//gntX//hflK//hyfR//fdnH//xylF//rpsJ//waaH//hybC//
TyrR-L-tryptophan_neg	tadA//slt//fdhF//cirA//garK//rpoS//yegZ//pstS//fumB//argC//ilvY//tauA//
TyrR-L-tryptophan_pos	metQ//tyrB//fiu//
TyrR-Phenylalanine_neg	nrfE//chbA//acs//moaE//rbsR//fepB//bioB//speA//glpQ//glnL//glgA//yedX//
TyrR-Phenylalanine_pos	ftnB//exbB//efeU_2//
TyrR-Tyrosine_neg	sufB//garL//polA//garL//gspC//serC//ubiX//csgB//gcvT//cadB//metQ//zinT//
TyrR-Tyrosine_pos	rrsG//mscM//crl//
UhpA-Phosphorylated_pos	gltW//
XapR-xanthosine_pos	nikB//trpB//
XylR-Xylose_pos	gspM//argH//focA//evgS//fadH//cyoA//
ZntR-Cd2+_pos	aldA//
ZntR-Hg_pos	speA//
ZntR-Zn2+_pos	iraM//
ZraR-Phosphorylated_pos	norV//tauD//mtlA//
Zur-Zn2+_neg	pgaD//hpt//hybO//uhpT//fhuD//stpA//
