#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	gcd//trmD//
CRP-cAMP_pos	fepD//hyaA//argI//nac//sufA//fepC//ydhX//glgS//lsrG//paaA//lamB//baeS//yeaR//hypF//hflK//guaA//katG//azuC//glpF//fnr//argE//deoC//rpmI//lysP//tolC//ycdZ//treB//ykgR//moeB//fimH//gspD//cheY//hdeB//rplD//udp//secB//mglC//idnR//cydB//glcF//fhuB//livK//casE//chbF//ubiA//grcA//moaA//speB//hybC//garR//aidB//mdtA//rcnA//nuoE//nupG//lsrF//idnO//copA//nikA//lrp//rpsS//rbsB//fadJ//glgX//dps//rpoE//iscR//tsx//psd//ppdD//alaT//gspJ//fadE//murQ//hofN//nrfD//csgA//yibN//phoP//waaH//cynS//cspE//ydhV//cstA//lsrF//pstS//ryhB//narK//rnlB//napD//araH//rutD//ilvI//torA//cusR//malS//paaJ//ccmD//carA//speB//gadB//sdhD//ebgA//ubiC//ileU//mdtC//yaeQ//galS//cheA//livK//ssrS//manA//dsdA//phnE_2//casD//csgD//fadB//phnN//malQ//cysU//gspC//rplT//stpA//gatY//ssuA//livJ//map//phnN//hofO//rrfH//alaT//glgA//ygiB//safA//sucC//ptsG//hyfI//nlpD//metY//hyfB//nikD//glcD//spy//citE//gspO//rpsR//torD//adiC//nupG//ykgM//uhpC//ileT//yojI//nuoL//appY//soxR//fnrS//cysN//gltW//gcvT//tdh//sdhC//rutB//oppC//csgB//envZ//malF//cas1//bcsZ//hcp//rseC//malS//nrdF//uvrA//pgaA//feoB//ydeA//aroM//livJ//yibN//uxaC//puuB//argR//rrsH//phoU//rhaR//zinT//napH//fliA//uxaB//csgF//xdhC//lysP//nikE//acrD//marB//sufC//malM//nrdD//sufA//rplI//fepA//fadJ//pgaA//feoA//preA//hofC//proP//nikC//xylF//yhjC//rplS//yhcH//hflC//fecA//malX//metY//manA//rnlA//gadB//gatA//nanM//ynfG//argR//hemL//fhuC//ccmG//malP//yfdX//rrlD//hupA//hycF//sbmA//purD//ssuE//glpT//upp//pheT//puuP//sodA//ada//purA//nirB//nirB//rrsH//allE//rbsK//bdcA//ccmG//uidA//casA//uhpB//puuA//yjeF//fimA//trpR//malY//cadB//malM//hyaD//rseC//uhpC//cyoC//hofC//torC//chbF//cysP//slyB//nanC//ileU//cheW//nirD//aldB//osmC//pdhR//xdhA//mglA//caiE//ygiB//agaW//glpR//sroD//mglC//tdcD//hyaD//pta//qseC//ydhT//purD//lpd//gadB//gadC//torA//manZ//manY//uhpC//uhpA//pitA//gltA//narL//ulaA//ilvA//rplB//csiE//gabT//rutF//sohB//cydA//ydeA//trpD//galS//glnD//feaR//gyrA//pgaC//rrsG//yegH//ybdN//ydhY//mlc//agaV//hyfD//rpsJ//iclR//cysA//gdhA//bacA//phnG//fecD//lpd//hemA//tolC//zntA//uhpA//metH//alaS//ftnA//rbsB//lpxD//baeR//nanC//skp//nlpD//tpx//aceA//ygeH//glcE//hyfB//sucB//purD//mgtA//nanC//ychO//chbG//nuoF//rrsH//hmp//paaH//ompF//metE//gatD//rhaD//fdnH//pgpC//glpB//rof//rrfB//mntH//pgpC//mdtB//tdcA//paaI//hyfF//idnO//purD//hyfB//aaeA//nadC//malZ//rplC//preT//metK//phnD//yegH//iclR//xylR//entB//ilvC//yqjI//manA//malQ//fixX//baeR//rrsE//puuA//bcsA//sufS//galE//tyrR//rrlG//cysA//cysH//fecR//dps//nuoN//citG//rof//hypB//galS//phoE//idnO//gatA//rrsG//lsrD//purR//acrE//oppA//gltA//hofB//yegZ//cysI//nlpD//ydbD//malP//nrdF//azuC//livF//galT//mtlD//
ChbR-Monoacetylchitobiose-6P_neg	rrfA//ssuD//nmpC//ansB//tauA//borD//
ChbR-Monoacetylchitobiose-6P_pos	hdeB//rprA//abgB//cpxA//prmC//fldA//
CpxR-Phosphorylated_neg	caiE//argG//dsdC//entE//dpiB//ubiA//rrfD//puuC//nuoJ//bglB//rdoA//csgC//alaT//hisM//livF//waaH//gltV//rrsD//nuoL//glnG//cysD//rutF//hfq//glpR//
CpxR-Phosphorylated_pos	ydfN//metE//cpxA//uraA//ileV//ulaE//rrlH//alkB//torC//proP//acs//fecI//caiF//thrS//tsgA//ilvX//hybG//gspI//yaiW//trpD//gntX//nrdD//hycC//xdhA//ilvE//mepH//ssuA//entS//rrlE//cusF//hypE//tdcF//ygeH//tnaA//rutC//phoA//nuoI//nagA//gltB//creA//argO//nupG//hfq//argG//nuoJ//
CreB-Phosphorylated_neg	tfaQ//slt//chbA//
CreB-Phosphorylated_pos	yidQ//lysA//ulaB//galK//gspG//nrfA//
CueR-Ag_neg	grxC//grcA//modB//sbcC//osmY//
CueR-Ag_pos	purA//rplW//
CueR-Cu+_neg	fis//fucA//ulaD//ampE//cydB//
CueR-Cu+_pos	metC//yhiD//
CuerR-Au_neg	rcnA//cyoD//fecE//map//hycC//
CuerR-Au_pos	metH//cysA//
CusR-Pasp_pos	yecR//galP//moaD//motB//hisM//napB//idnO//fdnI//lsrG//lamB//phoR//ugpA//
CynR-Cyanate_neg	purE//
CynR-Cyanate_pos	atoB//caiA//raiA//
CysB-N-acetyl-L-serine_neg	fecA//citF//paaZ//nanT//paaG//pstB//acnB//
CysB-N-acetyl-L-serine_pos	yaiA//nagE//gspJ//infC//cynS//phoP//gcvP//rnpB//napD//malG//gspJ//sucB//gabD//trpD//ugpB//phoR//iscA//napC//paaD//focB//sdhB//mepH//tktB//
CysB-O-acetyl-L-serine_neg	rplT//envY//yecR//araB//ybjG//ulaE//rutA//
CysB-O-acetyl-L-serine_pos	fecA//znuA//ldtB//phoH//ogt//tehB//dcuS//fliA//dmsB//uxaC//hisM//cusF//chiP//hfq//psiF//nrdD//ptsI//cheY//hemL//dsdC//prpC//glpF//udp//cheW//
DcuR-Phosphorylated_pos	yhcH//nupG//ssuC//cydD//yegZ//znuC//tfaQ//cusB//rutA//
DnaA-ATP_neg	narQ//cdd//ygiC//pgaD//ygeA//mutY//ampE//purN//artQ//phnI//gadC//
DnaA-ATP_pos	nupC//ispE//lolB//dcuA//mhpR//rrfF//fiu//
DpiA-Pasp_neg	rrfG//
DpiA-Pasp_pos	iraD//frdD//xdhB//tnaB//ugpB//mipA//ychH//moaD//mltC//nikB//
DsdC-D-serine_neg	dsdX//
DsdC-D-serine_pos	cpxA//tehA//
EvgA-Phosphorylated_pos	yfiP//cdd//ilvH//pepT//cysP//asr//ansB//fimG//aspA//purN//yhcH//purE//rybA//hyaF//yiaJ//
FNR-[4Fe-4S]2+ reduced_neg	ykgO//nrdF//nrfD//yqjI//uof//lamB//purC//glgB//rrfE//galE//yiaJ//atoE//mglC//dcuB//ydeA//agaV//fes//gatD//rutB//hybE//dapD//chbB//ssrS//tktB//uraA//prpR//nagB//hypE//ubiA//fucK//fadD//oxyR//phnE_1//efeU_2//fur//bioB//narQ//araF//srlR//atoE//feoB//rnlA//glnL//glcD//motA//mtlA//tolC//osmY//nanS//ampE//purR//motA//cyaR//motA//mgrB//rbsD//dmsA//ycjX//argB//glpE//atoB//cysP//glyA//acs//putP//lysA//allC//fepD//exbD//cynX//crr//idnT//appX//ydhW//citF//phoP//lsrC//casA//cheY//cynR//ilvG_1//allE//alaT//ccmB//nrdD//atoB//yojI//yqjI//fepC//xylB//fnrS//hycC//fumB//bioC//glyA//hflC//glnK//aceK//ptsG//norV//ndh//rutD//recF//entS//pgaA//lacY//patZ//tehB//cvpA//nrdH//tnaC//entE//nikE//livM//hisJ//hypE//rrfH//argH//dsdX//uhpB//
FNR-[4Fe-4S]2+ reduced_pos	rutF//glgP//efeU_1//putP//paaG//malF//appX//abgT//murQ//gltV//alaU//puuR//cysD//rpsR//ulaD//uidB//moaC//lysA//xdhB//nadC//entC//nrfA//serC//pheM//zntA//oxc//astE//prfA//dcuS//galE//dapB//xylA//creC//fucK//bamA//bcsZ//kbaZ//ftnB//tehB//hyaD//talA//metQ//tdh//csiD//trxA//zraS//gadC//yhcH//lpxB//metL//caiE//tehA//infC//argA//nagB//chbC//phnF//purA//deoB//guaA//modA//metC//aldB//rbsB//aaeA//ubiA//prpB//alaU//nrdH//ryhB//metF//hmp//glnA//rpoE//hupA//fadD//betT//ulaE//nanM//dctA//phoQ//glcA//sucB//dcuB//aroA//ykgR//tonB//hdeA//ppiA//astC//yciW//rbsD//fimI//nuoH//hycA//ydhY//lolB//purF//cspE//ada//gntP//hyaB//cdd//fucA//fimI//envY//atoE//rhaT//srlD//paaI//yaiA//fumA//rpsQ//stpA//dcuA//alaA//phoB//hisJ//rseB//actP//yaeQ//ldtB//moaA//nlpD//sucA//znuB//priB//fhuC//glgC//rybB//bhsA//hisQ//fimG//aroA//cynX//mglB//tnaC//hyfG//sbcD//hcp//allD//atoA//cpdB//gabD//csgA//tdcA//rplW//hfq//tdcB//garR//fimD//argC//rutC//nrfD//marR//phnL//alaT//glgS//idnK//oxyR//xylB//araF//tyrR//ykgO//yeiP//dusB//yidQ//uraA//ssuD//lysP//ulaF//yojI//fimH//cynR//miaA//cyoC//tomB//pnp//ugpC//yhhY//katG//citD//aroP//lpd//kbl//cynT//napG//glpR//cysH//araE//hypD//argG//fhuC//amtB//aceF//tauC//bdcA//nanS//gadB//phnI//tyrP//hycE//
FhlA-Formate_pos	aaeX//aceA//fadA//fucI//aidB//pdhR//hdeA//hyfA//ung//paaA//metH//lysC//ugpE//rrfC//narH//nadC//caiA//norV//sbcC//entH//aroF//nrfE//eda//acrA//lacZ//ulaD//rybB//dsdC//fur//garL//
FucR-L-fuculose-1-phosphate_pos	rybA//azuC//tdh//ugpQ//ileT//glnA//glpX//
Fur-Fe2+_neg	artQ//fecI//hypE//purL//hcp//katG//rrlE//tomB//cysK//oppD//sufD//ileV//xylA//ulaD//speC//ygiB//fadH//yqjA//rrlA//entH//tsgA//yaeQ//mtlA//epd//exbB//ada//fucA//ugpA//csgA//nrdB//ydeO//yccA//uxaB//rrsD//ftnB//cydA//mtr//ilvL//rrsC//malZ//soxR//glpF//manA//purM//avtA//ubiG//dps//hybC//narK//abgB//gcd//ugpB//araB//yidQ//napC//fadL//folE//motA//rnlA//envZ//fepG//gcvT//norV//ompC//srlA//paaJ//paaZ//fimI//oxyR//yhiD//xseA//cysN//zntA//cysA//rof//hycA//folE//nuoA//ulaC//rpsC//dadX//gspI//hyaA//gabD//ppiA//aidB//alkB//gatA//paaK//sdhA//fecI//cueO//yhhY//garR//hypB//paaZ//tnaB//ybiT//bcsA//iscA//treR//rbsD//chbB//fau//lpxB//ilvE//aidB//fucU//rrfC//marA//ydfN//lysO//bglB//narX//speB//hyfG//napD//lsrC//fadE//srlR//yfiP//fepA//glnK//cysK//
Fur-Fe2+_pos	ssuC//atoD//fucR//ybdN//tam//yqaE//ompR//sucA//ftnA//moaB//dkgB//yegH//lsrA//proP//metE//fimA//ydhV//hybB//cysM//secB//paaB//napA//dsdX//hisJ//copA//
Fur-Mn2+_neg	gapA//rrsG//gcvT//ydeM//araE//citC//sucD//nirB//xdhB//hofB//carB//rutD//mglC//mglA//dppB//glnL//pgaA//fumC//fimF//ytfE//fecC//yggX//ynfE//mhpE//caiA//hycC//rcnB//lpxA//paaJ//speC//nagC//ilvH//dnaE//phoR//slt//marR//nikC//tap//preA//rdoA//gabD//iscR//betA//nrdD//hybG//argH//thrS//garP//nrfG//mtlR//rplB//glgB//purK//alaU//srlA//cyaR//ldtB//lsrD//ydeJ//fhuA//fhuD//metL//rhaS//argR//aldB//citG//iraD//ilvB//bcsC//secB//bamE//sbcC//focA//mntS//rrfD//pflB//exbD//gspG//osmC//cysP//paaE//dsbA//livK//malE//tap//tadA//tauD//dcuA//cas1//phnJ//phnL//paaD//cusR//paaJ//ldtC//nrfA//betA//nagB//ydeO//yhfA//fadD//paaJ//ilvC//soxR//paaD//rcnB//fimF//csgF//rimP//flhC//hemL//lysA//glpE//ada//cadC//znuA//ebgA//aaeA//nagE//crr//gltV//dapB//rpmI//bdcA//
Fur-Mn2+_pos	gspI//bglG//ccmD//chbB//yecR//paaC//rmf//xdhC//garK//moaB//cstA//yhcH//ssuC//norR//yaeQ//cpxR//pgaB//livK//mdtB//hybE//cstA//cysB//caiF//hyfR//modA//
GlcC-Acetate_neg	malS//
GlcC-Acetate_pos	pepT//hflX//ileV//ccmG//hofP//moaB//
GlcC-Glycolate_neg	dcuD//
GlcC-Glycolate_pos	malE//norW//dadX//paaI//acrB//rplB//
GlrR-Pasp56_pos	rimM//
IclR-pyruvate_neg	dmsC//exbD//nagB//cytR//
IdnR-5-ketogluconate_neg	phoH//srlB//cspE//
IdnR-5-ketogluconate_pos	fepE//alaU//dadA//ydeP//rpsF//
IdnR-Idonate_neg	hcr//lpxB//dusB//
IdnR-Idonate_pos	cspE//rpsR//cirA//ulaE//ydeA//
IlvY-2-acetolactate_neg	ynfE//
IlvY-2-acetolactate_pos	aaeX//
IlvY-Alfa-acetohydroxybutirate_neg	nuoC//
IlvY-Alfa-acetohydroxybutirate_pos	ppiD//
IscR-[2Fe-2S]1+_neg	preT//ryhB//lpxD//mtlA//bcsC//amtB//argB//hyfD//malZ//fumC//cyoD//mpl//prfA//znuC//tyrB//gspI//rutA//fadL//fepA//lldR//araJ//tauD//fecI//xapA//nrfA//trpA//dusB//ulaD//bcsC//murQ//
IscR-[2Fe-2S]1+_pos	ulaB//motA//pncB//arfB//lpxB//hofO//manX//tyrR//entC//hflK//ptsH//
LldR-L-lactate_neg	yibN//ompC//rnlA//
LldR-L-lactate_pos	rstA//glpT//nuoF//
Lrp-Leucine_neg	hycI//tauA//rutB//aroP//ssb//glpA//galS//moaB//ugpQ//trpB//fepE//cynR//rseC//ubiC//sodA//yeiP//galM//chbC//metJ//cysJ//atoE//mtlD//torA//icd//folA//aaeB//modC//nikD//dcuD//carA//nikD//rplS//aidB//yecR//fdnI//allE//hyfD//rcnA//abgA//fimF//hupB//hlyE//ssuE//malT//ycdZ//allC//nirD//yoaC//glcF//fixA//ebgA//phnE_1//argE//rybB//malK//glgX//agaW//rmf//aceB//paaI//mhpF//hycB//fepG//tsx//pgaD//folE//hfq//paaE//nagB//yeaR//srlB//rnlB//fadL//ascF//oppD//
Lrp-Leucine_pos	rnpB//agp//marA//lpxA//nrdF//lldP//hcr//srlB//rof//nuoB//creD//deoD//ilvL//pgk//yjiY//dppA//idnD//dmsD//fimE//fdnH//psiF//prs//xylH//uraA//tdcF//gadB//psiF//xylA//fecE//metQ//ytfE//metA//micF//hycG//phnM//
LsrR_neg	astB//marA//grxC//cysK//metR//efeU_2//ybfN//fepC//tsaE//
MalT-ADP-Maltotriose_pos	cheW//gltF//flhC//bioA//mhpR//sodB//nagE//cytR//yjiY//psiF//
MalT-Maltotriose-ATP_pos	raiA//nikR//csiE//trpL//ulaE//rnlA//citD//aspC//rutF//fucI//
MelR-Melibiose_neg	carB//arcZ//bioB//
MelR-Melibiose_pos	gabD//yiaJ//oppD//
MetJ-S-adenosylmethionine_neg	serC//rplI//moaA//nuoL//dppA//fucP//nupC//rutA//ubiG//sufS//lsrF//micF//actP//napH//citF//
MetR-L-homocysteine_neg	ygiC//fepB//
MetR-L-homocysteine_pos	evgS//rplW//atoB//ptsH//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	lysU//glcA//narL//codA//csgC//rbsC//
MhpR-3HPP_pos	gspG//putP//iclR//phoH//cpxR//purC//
MntR-Cd2+_neg	mhpA//codB//ygbA//rrsA//
MntR-Cd2+_pos	prpD//
ModE-MoO42-_neg	tyrP//borD//frc//hyfA//fldA//cusA//ampE//cheW//livG//ansB//ilvA//dctA//purB//ydbD//cysA//
ModE-MoO42-_pos	fecD//hyaA//napA//uxaC//fixB//fimA//rrlE//nrdF//fnr//fimG//rbfA//manZ//tyrP//feaB//uxaB//aroH//ldtC//gpsA//mtlA//lysP//avtA//rrfG//nuoJ//trg//glgS//uxuR//dapD//paaJ//melB//leuE//rbsD//
NarL-Phosphorylated_neg	mgtA//aceB//ryhB//hflC//psiE//lacY//moaE//guaB//safA//yfeW//ogt//rrfB//citD//rpsS//frc//rstA//iclR//citG//rpsP//mhpR//gcvH//sroD//phnI//phoH//entC//ulaE//infC//ilvM//pstS//yhjA//tdcE//astD//metN//fepG//iraD//puuP//citE//astC//dppB//pnp//trmD//thrV//metN//xdhB//gntX//dsbA//spy//hyaE//adiC//metL//ybiT//acrA//agaA//rbsA//deoA//rpsI//xapA//hyfG//sodA//tauB//umpH//glgB//mglA//hofP//phnG//cpdB//hybD//mipA//betA//fimG//gatD//spy//cueO//folA//acrB//feoB//efeU_1//fdnH//dcuC//glpB//lacZ//znuC//cysP//lamB//fdnH//efeU_2//
NarL-Phosphorylated_pos	hyaC//tfaQ//tsgA//rrsE//bioA//tnaC//ompF//artQ//gabT//garL//ygeH//hofN//malG//entF//slyB//rhaB//citG//dapB//dps//gnd//dppA//ampE//mtlA//aspC//yiaJ//yfdX//mntH//yegZ//actP//tpx//feoA//cueO//gntR//malY//argD//cas2//marA//glpG//yidQ//cysK//talA//fliA//puuD//gntX//glrR//ybjG//
NarP-Phosphorylated_neg	entB//nagB//mepH//rseA//ilvM//torD//cynS//aaeB//agaW//mdtC//dppB//nrfA//malX//trpB//nanE//rutB//secB//torR//ssuE//ycjF//rutF//fadD//hisQ//metH//yaiA//malM//bdcA//ugpQ//ilvB//hyfG//hyfD//sufE//yfdV//
NarP-Phosphorylated_pos	bioF//yqjH//pgk//metA//ilvI//ycdZ//carB//nuoE//purL//paaB//cysB//fadA//mdh//artM//allE//deoB//adhE//hflD//hflC//rrlH//nrdG//soxS//znuC//trpE//frc//chbR//rpoE//nrfD//gspL//preT//livF//frdC//
NhaR-Na+_pos	feoC//creD//hisJ//yhhY//abgA//
NikR-Cd2+_neg	tnaC//azuC//feoB//mhpT//ugpE//adhE//
NikR-Co2+_neg	betA//yecR//glpQ//ygeH//glgC//ada//
NikR-Cu2+_neg	fliA//narH//csgD//dppA//rstA//ssrS//
NikR-Ni2+_neg	ptsG//cheZ//ampD//casC//yiaJ//glpE//
NikR-Zn2+_neg	ynfG//nagA//dppC//glpD//paaC//envY//
NrdR-ATP_neg	deoB//ung//csgA//aroL//hypD//fur//ssuB//ulaC//carA//
NrdR-Zn2+_neg	marB//lpxB//fis//ilvH//dcuC//fixA//modA//mutY//feoA//
NrdR-dATP_neg	prpC//phoA//ileT//gspL//tomB//fimI//ydeJ//cydC//tcyJ//
NsrR-[2Fe-2S]reduced_neg	sdhC//gltA//ubiC//ilvL//sucC//tcyJ//ilvC//galM//hybO//yciW//ydhX//mhpD//gltD//gapA//mhpB//focA//psiE//tdh//idnT//ygeA//mhpD//dadX//rimM//tsaE//rrfE//fnr//lsrB//ssuA//pdhR//uxuB//cysU//rrsE//cstA//gltB//yeiB//tdcF//hslJ//ptsG//citE//sbcD//mhpC//amn//ompA//metY//aldA//ydeM//nrfG//hypB//lsrG//yoaC//oppB//cydA//marR//fhlA//rrfB//infC//yqjA//ssuE//fdnG//thrV//mtlR//uhpA//rbsR//casB//sufS//malI//ilvG_1//arcZ//glpQ//ldtB//cvpA//amtB//agaA//
PhoB-Phosphorylated_neg	dppA//atoE//mpl//glpE//uxaA//uxaA//rhaD//proP//fdnI//puuE//qseB//xylB//nrfD//
PhoB-Phosphorylated_pos	abgT//ptsI//fliZ//nuoJ//ahpC//dsdX//feaR//cusS//nrdE//csiD//nrdI//citX//paaK//ykgM//speA//metI//purA//rutC//metA//livG//gntK//hydN//sroD//uxuR//purC//rplI//yfeW//gltD//aaeA//ompR//xylH//hybC//lldP//hyfD//ykgO//deoD//hslJ//sdhB//slyB//ileT//rbsB//ulaC//upp//rplV//fhuB//fadJ//rstB//malY//purC//gltT//hyaD//tauB//ccmD//
PhoP-Phosphorylated_neg	ynfF//dsdX//gcd//mhpT//ydeM//ansB//yfdV//metN//ydeJ//trg//mscM//
PhoP-Phosphorylated_pos	ptsH//gutM//artQ//xylR//tdcF//yhjA//tdcG//fucA//hisQ//ugpE//manZ//rrsC//fhuC//dcuD//lsrD//cra//dcuS//rrsE//glpX//katE//hybD//rpsJ//ydhX//nagC//rpsI//mgtA//aldA//glnB//ryhB//glnG//fecC//cusB//lldP//pitB//rimP//pncB//gntT//gpsA//rmf//metF//cysU//hybB//hybD//cysG//slyB//malM//uof//cysM//tehB//
PrpR-2-methylcitrate_neg	fadI//
PrpR-2-methylcitrate_pos	argF//fhuD//entE//sdhA//
PurR-Guanine_neg	rhaR//rhaR//fhuF//lpxB//hyfA//puuC//gyrA//phnM//pgaD//rpsC//yjjZ//ileT//yfiP//serA//ilvN//ilvM//metA//thrV//entH//ccmD//phnD//fbaA//fimC//paaE//gspO//bioB//hisM//rof//ompR//moeA//pyrD//fimA//napG//sdaA//
PurR-Hypoxanthine_neg	trpB//glnK//arfB//fucR//hyfB//tap//aroH//chbF//nuoI//entD//yqjA//hybB//cheZ//rrsE//nrdA//narI//agp//ssrS//pck//malZ//gpsA//gdhA//ssuC//cas1//arcZ//hyfR//norW//malP//phnJ//tnaC//paaF//malE//gspF//dmsB//
QseB-Phosphorylated_pos	ycdZ//glnL//rplC//deoC//
RhaR-L-rhamnose_pos	ompA//malT//
RhaS-L-rhamnose_pos	pitB//puuE//paaI//
RstA-Phosphorylated_neg	glnA//dcuC//mpl//cynS//cytR//
RstA-Phosphorylated_pos	fhuE//recF//rpsI//modC//gcvP//
SoxR-[2Fe-2S]3+ oxydized_neg	rnpB//
SoxR-[2Fe-2S]3+ oxydized_pos	fdnI//mhpE//galE//
TorR-Phosphorylated_neg	cysJ//
TorR-Phosphorylated_pos	nusA//rpmI//nrdH//iscR//dsdA//ygiB//ynfK//cysN//tsx//
TrpR-Tryptophan_neg	gcd//lamB//ulaA//zraR//ulaC//ndh//citC//purF//glcD//fnr//yfeW//exbB//
TyrR-L-tryptophan_neg	ybfN//glmY//rrsH//gntP//glgP//sxy//hycG//glcA//srlA//hemA//tnaC//argF//
TyrR-L-tryptophan_pos	hdeB//ulaE//pstC//
TyrR-Phenylalanine_neg	atoB//hybO//agaV//rhaB//nrfB//cheW//recF//gspE//glnG//iscS//purD//livF//
TyrR-Phenylalanine_pos	hflC//gltD//rybB//
TyrR-Tyrosine_neg	spy//mglC//glnK//mglB//tdcE//motB//araJ//aaeA//hyfC//ubiG//narX//mgtL//
TyrR-Tyrosine_pos	amn//lysO//tyrA//
UhpA-Phosphorylated_pos	mgtL//
XapR-xanthosine_pos	hycA//rplD//
XylR-Xylose_pos	ulaE//dppB//phoE//feoA//envY//fimG//
ZntR-Cd2+_pos	tdcE//
ZntR-Hg_pos	glpE//
ZntR-Zn2+_pos	evgA//
ZraR-Phosphorylated_pos	ppdD//ydeJ//hemA//
Zur-Zn2+_neg	gntP//caiC//mgrB//puuE//norW//cusC//
