#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	fadB//hdeB//
MalT-ADP-Maltotriose_pos	nrdG//cusR//hycC//motB//cytR//pstB//yfaE//gcvT//acs//mpl//
MalT-Maltotriose-ATP_pos	glpC//yhcH//gltU//bcsA//fadI//purD//fadJ//dcuR//fimC//yhcH//
MelR-Melibiose_neg	moaA//idnO//ryhB//
MelR-Melibiose_pos	glmY//prpE//fepE//
MetJ-S-adenosylmethionine_neg	rrsD//yqjH//tdcA//alaA//lsrC//galE//kbl//hyaC//xylA//azuC//feaR//hcp//rrfF//sufA//tyrB//
MetR-L-homocysteine_neg	fixX//glgB//
MetR-L-homocysteine_pos	serA//soxS//adhE//trpR//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	dmsD//ampE//rrlD//rplP//casB//emrY//
MhpR-3HPP_pos	yjjZ//malQ//emrY//cadA//crr//dusB//
MntR-Cd2+_neg	dpiB//mutY//lsrK//ydhU//
MntR-Cd2+_pos	ubiX//
ModE-MoO42-_neg	csgG//hycC//uxuR//dppD//xylA//argD//puuP//caiT//nuoI//phnG//frdD//gatB//fhuD//malY//hybE//
ModE-MoO42-_pos	moaC//flhC//hyfB//dapD//exbB//tauB//dadX//alaS//bamE//grcA//malZ//ygbA//araB//frdD//feoA//ppdD//trmD//csiE//rpoH//rpoS//grxD//atoA//pheS//ompX//comR//napH//priB//caiD//bglF//cirA//fumA//
NarL-Phosphorylated_neg	srlA//srlB//gpsA//araG//ilvH//glgS//ssuC//fumC//ampE//sufS//modB//tauC//tauC//sdhB//exbD//cstA//srlB//ccmF//phnP//yhjA//phoU//sufE//livJ//katG//psd//napB//pnp//ilvA//rutG//cusC//purL//idnT//glnL//rpsI//bioF//aceA//katE//gspM//dcuC//ileU//dppA//glmY//phoU//mhpR//hfq//uof//phnM//cpxA//acrE//mhpT//argD//phnP//rimM//ilvE//ygiC//ilvE//dnaA//raiA//hofP//rutC//entC//fecA//avtA//hpt//yeaR//rcnA//ccmH//actP//gltA//cydD//ccmF//ssuA//xdhC//ssuC//caiA//ykgM//yeiB//aroM//glgB//gabP//mutY//micF//motB//alkB//garL//cysB//
NarL-Phosphorylated_pos	cheB//ileV//rpoS//ynfK//rmf//dmsD//gabT//ykgM//rrfG//cirA//emrK//phoR//paaC//ynfE//xdhC//metR//gntU//rplM//lsrR//ldtC//ileT//fepB//bioD//ynfH//lysA//yqjI//emrY//yeiB//ydhT//sohB//ebgC//hofO//ccmA//sucA//grcA//dsdC//galM//ydhT//melA//gntT//purB//dsdA//tauC//rstA//oxyR//pta//
NarP-Phosphorylated_neg	gltF//rplT//araH//argP//ldtC//cyoA//citE//caiA//gntP//rhaB//tsr//bioF//malQ//argD//ilvH//putP//rbsB//hyfD//entH//slt//ugpQ//fur//bamE//hemA//glpF//glmY//flhD//treC//gapA//ugpE//mzrA//ynfF//bioC//
NarP-Phosphorylated_pos	napB//lysO//fadI//cdd//tnaA//argR//rbsB//appB//mutY//hyfC//dps//fepG//ubiX//moeB//yaeQ//puuC//putP//rimM//mdtB//norW//stpA//pgaD//pheS//glpC//dctA//nanA//hybC//tcyJ//fecI//ung//cydC//bglB//
NhaR-Na+_pos	hyaA//garP//frdB//tyrB//metY//
NikR-Cd2+_neg	marR//cynR//yojI//sxy//efeU_2//mgtA//
NikR-Co2+_neg	rpoE//phnJ//aaeB//ydbD//rrlH//sufA//
NikR-Cu2+_neg	yggX//ssuE//uxaC//actP//ihfA//appC//
NikR-Ni2+_neg	deoB//csgB//gutQ//hypB//hycH//preA//
NikR-Zn2+_neg	fucR//ung//uxaB//xdhA//nanA//gpsA//
NrdR-ATP_neg	efeU_1//fepD//araE//dusB//hcp//mtlR//phnE_2//gntU//astD//
NrdR-Zn2+_neg	hyaC//citF//murQ//ilvG_2//mhpB//cpxA//infC//cynR//mhpA//
NrdR-dATP_neg	cysB//ilvA//ydeA//astA//ydeN//ccmE//nupG//psd//napH//
NsrR-[2Fe-2S]reduced_neg	phnH//hyfI//atoE//flhC//abgA//metE//entS//gatA//caiF//cueO//trxA//ccmG//livH//rplS//envY//ygeA//narX//dmsD//ilvE//phoU//ompC//malM//abgB//mhpD//lldR//glnL//yhhY//yqaE//oppD//rplP//hyaB//yedX//dapD//ynfG//ydeN//preT//truB//atoE//rrfF//rhaD//araH//trpC//malZ//glpK//hybO//ivbL//tolC//cynX//acrB//lldD//aldB//bioF//yaeP//hybB//xdhB//uidA//cysN//zinT//uvrA//nirB//yidQ//efeU_1//cusF//metL//yjeF//glcC//dsdA//rpsF//yqjH//xylG//alaV//gltW//argD//
PhoB-Phosphorylated_neg	nuoC//glnK//hyfI//rplT//ycjX//sufS//ispE//yhcH//fixB//lysC//paaB//cadA//nanS//
PhoB-Phosphorylated_pos	udp//manX//nupC//rbsK//hdeB//galP//dsbA//nrdF//caiC//epd//moeA//rutF//rpoE//rutB//envZ//ydeP//lolB//acrE//aldB//ilvL//ycjF//argR//araC//chbC//narX//rhaD//ubiA//xylR//caiF//phnE_1//xylA//nac//casD//nuoM//gspG//tdcA//dadX//cheY//rpsO//grxC//mtr//fau//rutD//nrfC//gntP//sufD//frdB//araF//uhpT//lpxA//rpoE//mdtA//glgS//
PhoP-Phosphorylated_neg	crp//sucA//fau//rpsP//appX//purL//idnD//rybA//fumB//rrfG//dppA//
PhoP-Phosphorylated_pos	mntP//nuoC//psd//yhjA//pgk//pta//lpxD//entS//ppiD//azuC//napH//ccmD//allE//cyoE//treB//nrdH//fimG//nuoI//lldR//srlA//folE//caiE//tnaA//gltB//grxC//rrfC//yecR//argT//dctA//napG//mzrA//araD//phnP//hybF//nac//gntR//bcsC//nuoE//rrfG//fimF//hupB//idnD//trpB//malT//cyoA//znuC//fadJ//rplS//phnF//
PrpR-2-methylcitrate_neg	lsrC//
PrpR-2-methylcitrate_pos	yegR//ulaA//malZ//hha//
PurR-Guanine_neg	livK//hflX//cysD//upp//garL//sufA//lrp//gpmA//rstB//ynfF//ada//fau//ompW//tolC//tpx//entA//rpsR//fes//carA//phnL//hflC//tnaA//yhiD//hycD//rmf//moaB//chbR//allD//phnC//ygiC//grpE//ydfH//gcd//deoC//
PurR-Hypoxanthine_neg	rnlB//nrdH//pepT//ynfH//tsaE//xapA//aceF//rof//yaiA//mntP//lsrC//gspG//rpsJ//fhlA//gltU//malS//ykgM//glpR//caiA//guaA//phnI//ppiD//tyrR//gcd//hybC//cyoC//hofN//phoU//evgS//malP//fecI//iscS//ilvB//uidC//
QseB-Phosphorylated_pos	moaD//nuoJ//sufB//ynfH//
RhaR-L-rhamnose_pos	appA//paaI//
RhaS-L-rhamnose_pos	hyaC//melA//galM//
RstA-Phosphorylated_neg	nuoE//fucA//acrA//ilvI//mhpT//
RstA-Phosphorylated_pos	phoH//aceE//rcnB//purK//lacZ//
SoxR-[2Fe-2S]3+ oxydized_neg	amtB//
SoxR-[2Fe-2S]3+ oxydized_pos	puuB//tolC//appX//
TorR-Phosphorylated_neg	chbG//
TorR-Phosphorylated_pos	prpC//evgS//skp//metJ//iscU//rybA//prfA//cynS//cysD//
TrpR-Tryptophan_neg	pyrC//ydfN//fimD//ybfN//fucO//sbmA//lysP//polA//chbA//malM//prpR//malI//
TyrR-L-tryptophan_neg	kbl//dapB//secB//phnL//mcaS//caiB//casA//casB//trxA//feoC//nrfB//ugpB//
TyrR-L-tryptophan_pos	gabP//agaA//chbF//
TyrR-Phenylalanine_neg	copA//polA//iraD//puuB//carA//feoA//rpsR//rrfB//napF//glnK//yrbL//treR//
TyrR-Phenylalanine_pos	gspI//dnaA//cyaR//
TyrR-Tyrosine_neg	melA//glpX//fimI//fhuD//cadC//tyrR//cadB//ascB//fepC//nagB//rpsR//nrdF//
TyrR-Tyrosine_pos	hybE//purH//caiT//
UhpA-Phosphorylated_pos	xylR//
XapR-xanthosine_pos	aceE//rpsR//
XylR-Xylose_pos	atoE//gatB//hyaF//speC//putP//rplI//
ZntR-Cd2+_pos	uidA//
ZntR-Hg_pos	narG//
ZntR-Zn2+_pos	phnC//
ZraR-Phosphorylated_pos	tktB//oppD//fur//
Zur-Zn2+_neg	nanT//bamA//glnL//fdnI//deoA//argF//
