#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	tar//betI//
CRP-cAMP_neg	carB//qseB//yfaE//aaeB//gspH//xylG//puuD//chiP//serC//sdaA//mntH//appX//ubiC//nrfD//entE//lhgO//rseC//paaK//yjjZ//dnaN//ubiG//rpmC//alaU//nikE//flhC//aceK//ybdN//metF//rutC//purF//nac//ccmF//norR//leuE//rpsC//glpD//baeS//appB//glgX//fdnH//putP//fucK//fecB//purL//entH//mzrA//ykgM//phnJ//rpsJ//grxD//prs//ilvL//nrdA//argE//fixB//prpC//tsx//treB//arcZ//yfeW//nuoB//allC//rutA//fdnH//tktB//soxR//guaB//epd//acrD//qseC//modB//motB//metY//rrsB//paaC//cysI//glgA//idnO//tehB//xylR//sohB//focA//xylA//yeaE//sucD//pstB//cysG//rutB//dmsC//hyfG//phnO//cysN//hofP//cyaA//yfdV//aaeX//rnpB//cysJ//aceE//ilvM//nac//astE//acs//chbG//miaA//ascB//metI//napB//rrlE//sroD//gntP//mdtB//nupC//nuoE//lsrF//hyfJ//mhpA//fucO//araC//uxaB//mhpC//bglB//cheB//chbC//fiu//ynfH//purE//baeS//caiT//mglB//hflK//rrsC//fadE//
CRP-cAMP_pos	cyoA//kbl//micF//sbmC//argG//mntS//ubiG//preT//glnB//glpD//fdnI//sdhA//rbfA//rutC//actP//efeU_1//tyrR//casA//ynfE//cynT//hofC//frc//sbcD//xylH//dcuD//hycG//mgtL//uxuB//ydeN//cbl//rplD//pgaA//frdA//rimP//bcsB//dnaE//pgaD//fixA//sucC//nrdE//fadE//fhuB//nikA//ulaA//hyfG//micF//sbcC//hflC//paaE//hisJ//treR//fadI//purB//acrF//aceK//speB//tam//livH//astE//uhpT//cysN//mhpA//yhhY//sdhA//rpoH//mlc//citF//trpD//crl//rhaS//hyfE//deoB//gntR//bioB//rutD//pepT//sufD//chbG//nuoJ//allC//casC//torC//bglB//xdhC//envZ//astA//ykgR//sufD//lysC//nrdG//cadA//fimI//osmY//sodB//argH//phnC//dcuB//phoA//emrK//yeiW//dadA//spy//ompC//glcB//ulaA//psiF//murQ//hemL//hha//ilvA//truB//yeaR//ssuB//appC//tauB//yqjI//uxuR//rpoS//sdhB//yaeP//rrfC//ulaD//mhpD//flhC//aroF//yhjA//creB//ydhY//ispE//cheA//phoU//hyaB//lysO//malP//napA//lldD//gntX//glcC//malZ//purK//bioF//ybjG//lacI//hmp//metQ//hemA//yfiP//tauC//fucO//hyaB//fepE//ilvA//murQ//fucU//adiC//nuoG//norR//ssuB//comR//yrbL//glpR//ytfE//cydA//pgaB//phnH//puuC//hycF//trxA//purK//glpG//sodA//marR//metL//lsrD//deoB//ulaA//ivbL//rrfA//sufB//rhaS//baeS//lsrD//cheB//nuoN//ilvY//uidC//mtlD//feoC//katG//malZ//ftnB//livK//lacA//napC//mglC//casD//soxR//cydB//ycdZ//cynR//tam//dapD//tar//yeiL//tdcD//rplW//dppB//lysC//hupA//hdeB//ynfH//csgD//rimP//melB//idnK//gspD//csiE//baeS//bcsA//narL//yccA//fucR//gabT//dppF//metK//glgB//crl//fucA//nagA//aaeR//cdd//bamE//cra//purR//nanC//gspJ//ynfG//fnrS//srlB//gspH//exuT//entC//xdhA//sucD//caiT//nlpE//hslJ//hycD//acrB//creA//argC//ppiD//feoC//xylH//hybC//rpoE//hyfA//fucK//bcsB//nrfE//nrdB//nrfD//lpxD//rplD//aer//gcd//comR//argA//betB//mhpT//ulaC//ampE//ampE//ampD//ycdZ//ykgR//xylG//entH//thrS//acrB//garP//mltC//phoA//yfaE//zinT//ilvM//thrV//puuR//norV//ssuC//nagA//ppdD//argT//lsrG//aroL//cdd//zinT//dpiA//manX//fucO//hyfC//asr//yeaR//dcuB//araH//fecI//nuoC//deoA//yidQ//ygiC//aceE//hfq//purF//hypA//livM//metQ//hyfG//puuA//trxA//gspK//uxuB//znuC//xylA//lysU//lysP//hybA//alaS//cysM//cbl//livJ//hybE//purH//yrbL//iraD//fecB//ilvH//cydA//mdtA//mpl//mntS//fur//sdhB//feoC//sufB//yiaJ//hyfA//yibN//paaD//caiA//rstA//nanT//phoA//gpmA//napD//xylF//idnK//lsrK//fhuE//mhpC//amtB//yeiW//lamB//nuoH//cyoE//feoC//trpD//purL//paaG//modC//hisQ//pdhR//cysB//malF//ftnA//mutY//paaF//cbl//srlD//nmpC//yebE//pflB//envZ//hflC//norV//artP//tsaE//dusB//tdcA//rbsK//fhuC//ulaA//talA//csiE//rrlE//rbsK//hflK//astD//lsrR//oppD//paaG//fldA//uhpB//glcA//cpdB//entA//cysH//ccmC//ftnB//phnO//amtB//modC//fliA//csgB//lacZ//yaiA//cheB//ung//purR//casE//nrfC//cdd//yhiD//hycD//ulaF//mtlD//uxaA//puuD//glcC//fimC//
ChbR-Monoacetylchitobiose-6P_neg	rutF//astE//narQ//raiA//araC//murP//
ChbR-Monoacetylchitobiose-6P_pos	yfaE//fhuC//dmsD//dctA//fecA//rrsH//
CpxR-Phosphorylated_neg	paaF//hupA//cydA//malX//glcE//zinT//ychO//edd//iraD//rrsG//dmsB//nrfF//iclR//fimF//fadL//hypF//acrE//allE//mglA//bdcA//nuoE//zinT//ssuB//hyaF//
CpxR-Phosphorylated_pos	phoH//rrlC//tehB//tdcG//rrsC//phnO//adhE//lolB//creB//pncB//hyaE//purC//cbl//gabP//sufD//gspK//aceF//gapA//nagE//rstA//dcuB//sohB//nohA//ynfE//fimI//phoH//glpF//tehA//gatB//paaB//hycB//iraM//rrsG//narG//ygeA//nrfE//marR//nrdA//araC//torA//yeiB//fimE//yjeF//nac//gltT//
CreB-Phosphorylated_neg	idnT//purA//oppD//
CreB-Phosphorylated_pos	cheZ//focB//glyA//evgS//ssuA//dmsB//
CueR-Ag_neg	rpsC//hycI//ugpB//oppC//ynfE//
CueR-Ag_pos	cysW//pgk//
CueR-Cu+_neg	fepG//casB//puuB//ihfA//sohB//
CueR-Cu+_pos	ybfN//pgaC//
CuerR-Au_neg	nrdG//iraD//feaR//tdcB//rnlA//
CuerR-Au_pos	pstB//rcnB//
CusR-Pasp_pos	nrdF//ssuB//frdD//thrV//ompT//aceA//nrfD//yojI//fadI//hycE//rhaR//argG//
CynR-Cyanate_neg	tauA//
CynR-Cyanate_pos	nuoE//ftnB//rnpB//
CysB-N-acetyl-L-serine_neg	mdtB//rrfH//fumA//atoD//nikR//hycC//ompR//
CysB-N-acetyl-L-serine_pos	mzrA//bcsA//paaD//guaA//nanS//prfA//phoP//yfbR//mhpT//mscM//aceK//pgaB//ybdZ//ilvB//fdnI//mdtA//patZ//entH//glgS//yidQ//malT//yqjI//hypB//
CysB-O-acetyl-L-serine_neg	fadJ//priB//nfuA//rimP//xdhC//torC//narJ//
CysB-O-acetyl-L-serine_pos	nirD//entD//exbB//galP//fumA//hofN//lysU//cpdB//lpxA//carB//rrsC//sdhC//mscM//argD//ydeO//ilvA//tap//marB//fecC//fucU//cheY//skp//rplM//abgT//
DcuR-Phosphorylated_pos	lhgO//cyaA//ssb//rnpB//tnaB//nirC//nuoG//metE//ubiX//
DnaA-ATP_neg	lpd//fimE//fbaA//ychH//feoC//ygaC//ynfF//mhpR//ycjX//dsdA//phnE_2//
DnaA-ATP_pos	treR//hybB//gutM//rrsD//nagA//mgtA//ebgA//
DpiA-Pasp_neg	fepC//
DpiA-Pasp_pos	hybD//prpC//uidA//motA//allE//aceA//dps//purH//sohB//uhpC//
DsdC-D-serine_neg	glgX//
DsdC-D-serine_pos	rrlH//modC//
EvgA-Phosphorylated_pos	cspD//caiD//srlE//fucK//xylR//cyoD//sroD//nagB//exuT//chiP//rmf//lamB//dnaA//idnD//puuA//
FNR-[4Fe-4S]2+ reduced_neg	purF//ilvG_1//aceB//nuoF//yegZ//norW//fimA//pheT//acrD//aaeX//feoC//garR//gspO//aaeA//rpsQ//hybG//tyrA//araE//melB//rpsQ//aroP//mtlA//rutC//napF//argO//paaK//mdh//ulaC//cysC//csgE//polA//feaR//hfq//metE//csgE//fhuA//yhiD//mepH//ompT//sufD//fau//chbA//yegZ//dmsC//aidB//bioF//proP//metH//pstC//hflD//lsrD//hybE//betA//fecB//rutE//hydN//araG//spf//guaA//ulaA//paaZ//argP//ogt//chbA//fadE//fadE//rpsO//narK//lsrA//yeaD//nmpC//mlc//mutL//appX//alaA//grpE//rplT//nusA//aaeA//hypB//focA//phoP//lysA//atoA//rrsA//fimA//mtr//fhuF//xdhB//ybfN//sdhC//metB//argP//sroD//oppB//hha//ilvL//atoD//bglB//napD//hydN//malQ//moaD//lsrR//gatC//rbsC//chbB//phnN//phnM//phoP//napD//ugpB//hyaB//yfeW//ssuA//ulaD//yqjH//cvpA//fepE//napG//
FNR-[4Fe-4S]2+ reduced_pos	atoB//codB//hyaA//gatD//mlc//dcuC//psiE//puuC//aaeB//rrsC//tnaB//zraP//aroF//dmsA//rcnA//rnhB//galP//xylF//purB//yfiP//malS//argP//pgaD//allC//ycjF//manZ//betA//ulaA//ydeM//entH//tonB//sucA//mhpE//pgk//ydeO//trxA//dcuR//fecA//cysK//livM//allD//fadA//metL//cstA//aaeX//feoB//gatA//tdcG//mgrB//yojI//zraP//hycC//lsrR//ugpA//mhpR//fes//puuE//hybC//tdcC//amn//ssuD//ygiC//cynS//hflD//sroD//aroP//nlpD//araB//casC//nuoJ//gltA//melR//rof//mtr//ssb//rcnA//lsrB//ompX//argF//glpE//mdtD//casB//galT//rbsK//paaH//xylA//truB//slyB//tcyJ//speB//nrdI//puuP//galM//rpoH//glgS//nikA//yeiP//galT//gspF//acrB//hypB//tcyJ//phnE_2//rplM//hypE//uxuB//tfaQ//cspD//rutG//marR//glpQ//narG//yjeF//waaH//astB//zntA//lacA//malF//fadJ//hmp//moaA//dcuB//recF//csgC//uhpC//hypB//idnK//copA//livG//mgtL//nuoM//nrdI//gltW//metH//ivbL//ssuC//alaA//cas2//manX//ppdD//nlpE//acnA//aroP//argP//metR//hyaE//map//ugpA//fucR//nuoK//gltF//glpT//sxy//cusA//cspD//ompT//cheR//yojI//entB//cra//hcp//tam//sucD//mipA//pgaA//amiB//garR//fur//tadA//hpt//hha//uof//gspK//glgB//yidQ//pyrD//ydfN//pstS//tehA//lrp//gspI//ydbD//arcA//ydhV//metL//rhaT//lsrA//yiaJ//gabP//phoA//cyoB//yccA//mhpC//tpx//mglC//fadA//bioB//araE//galS//casB//ilvG_2//mepH//
FhlA-Formate_pos	ulaA//citX//caiE//srlE//lldD//paaB//prpR//osmY//dppD//tauC//ccmA//rbfA//nmpC//acrF//hyfF//motA//fes//entH//phoR//mutY//gatC//nikA//rutD//ugpB//fucR//pstS//evgS//ompT//dsbA//xylH//
FucR-L-fuculose-1-phosphate_pos	gabT//sufE//dppA//xdhC//purK//rybA//malK//
Fur-Fe2+_neg	ppiA//rrsG//dmsD//tar//prpB//puuR//safA//nrdG//ompT//rseC//rpsO//osmC//yfiP//mgtA//iraM//ynfK//mdtD//ydeN//astB//cadB//citE//dmsD//yeaD//glnB//puuB//ycjF//pgpC//fhuA//fucR//ansB//emrK//phnJ//dusB//tfaQ//glnA//agaW//tdcF//udp//nrfG//fumC//ydfH//gntU//rstB//fur//srlE//xylH//nrdD//ssb//rrfA//codB//priB//umpH//rcnB//hycA//fhuB//slyB//sufA//yjiY//dppB//rplC//entS//purD//pstB//ccmG//phnK//prfA//ppdD//pgaA//puuB//glnD//rimM//kbl//phoA//gpsA//ydhX//glpG//katG//norV//dnaE//astD//ugpA//lhgO//lysC//mutL//rutC//alaA//hypB//amiB//ybdZ//lysU//rrsE//sbmC//ubiA//zraP//sxy//nlpE//ykgM//rrlC//modC//bioA//paaJ//hslJ//fecE//acrD//yaeP//rhaA//lhgO//cusC//fumC//miaA//aceA//tcyJ//paaF//yjeF//nirC//codA//purA//exbD//phoA//gltU//nirB//cusR//livK//cheY//
Fur-Fe2+_pos	yecR//moaB//tonB//rrlD//ygeA//hflC//pepT//srlR//chiP//tpx//ssuE//rhaB//ilvX//nrfE//lsrG//rpoH//hyfH//fixB//purC//nlpD//arcA//ogt//rplT//bamE//zraP//
Fur-Mn2+_neg	manZ//ydfH//tomB//recF//phoQ//yfdE//lamB//paaG//trpD//gcvH//xylR//idnK//fimG//ompC//rplS//gpsA//fur//nrdB//rplS//dps//soxS//bacA//cusS//rpsO//hybF//hofO//moeA//garR//tolC//sbcC//borD//rnpB//pstS//malQ//garP//fdhF//gntT//ilvI//rrlD//trg//lsrR//ptsH//hycB//bamA//cysN//mdtB//rplC//nagC//gspE//tcyJ//ndh//aceA//kbaZ//cpdB//cadB//tnaA//ygeH//hyaF//nusA//fdnH//hyfB//rrlD//miaA//chbC//aaeA//baeS//rrlA//psd//glpE//tsgA//araH//nlpE//rbsD//dppF//phnM//malM//hyfC//sxy//sufC//hflD//lsrB//pdeF//fhuF//aroA//kbl//arfB//uhpT//rhaD//carB//nanE//cysK//ugpQ//ccmE//puuB//sucC//fhuD//iraD//phoR//sufS//phnG//hisM//rpsO//cspE//hemL//cadB//yqjI//allD//nikC//rbfA//hisP//grcA//lldR//mdtD//cydB//yfeW//cynR//cynT//sodB//malT//yhhY//argR//fumA//dppA//cusC//
Fur-Mn2+_pos	narI//atoA//cheY//hfq//cytR//yaeP//prpD//astD//dmsD//yneM//speC//ileV//gltT//glpE//appB//proP//leuE//ompX//narI//citD//tdcC//entH//ompX//lrp//nadC//
GlcC-Acetate_neg	degP//
GlcC-Acetate_pos	dppA//codA//ompA//narK//araB//gpmA//
GlcC-Glycolate_neg	napD//
GlcC-Glycolate_pos	abgA//mgrB//rrfB//trpE//cysI//phnG//
GlrR-Pasp56_pos	emrK//
IclR-pyruvate_neg	hisJ//yaiW//cheZ//hycC//
IdnR-5-ketogluconate_neg	iscR//hycH//mglA//
IdnR-5-ketogluconate_pos	tnaC//ydhX//mglA//srlR//uxuB//
IdnR-Idonate_neg	polA//pta//hypE//
IdnR-Idonate_pos	ssrS//cadC//glpB//ung//phoA//
IlvY-2-acetolactate_neg	modC//
IlvY-2-acetolactate_pos	rstA//
IlvY-Alfa-acetohydroxybutirate_neg	garP//
IlvY-Alfa-acetohydroxybutirate_pos	paaA//
IscR-[2Fe-2S]1+_neg	alaS//ybiT//paaA//dpiA//atoA//rpmC//cadA//ompR//hyfB//yeaR//fucI//ydiU//sxy//mpl//yhjA//nanA//rpsC//arcA//fdnH//rseC//pgaA//nrdE//galP//atoB//gpsA//dusB//phnJ//xylH//iclR//lrp//
IscR-[2Fe-2S]1+_pos	emrK//envZ//pheS//pitA//galK//rutF//glgC//ilvG_1//oppD//chbB//hycG//
LldR-L-lactate_neg	aspA//glgC//nirD//
LldR-L-lactate_pos	znuA//tdcG//rpoH//
Lrp-Leucine_neg	narJ//idnO//artM//acrF//tfaQ//hycG//fdnH//livG//moaC//caiF//rrlC//nmpC//rpmC//rrlH//pitA//efeU_1//cheA//sbcD//abgB//fhuC//uvrA//hflX//rbsC//hisQ//fecC//crl//gntP//lysO//yidQ//phoE//fdnH//nuoK//ispE//gatY//nlpD//pncB//amtB//nrdA//nuoB//rpmC//phnN//mdtA//eda//puuP//hyaF//astB//hyfG//ilvA//nagC//narL//dmsA//gadC//nagC//paaC//ulaE//ubiC//metN//aceB//metJ//gspM//rbsB//moaC//ysgA//csiD//fadA//cadB//appA//yjeV//fadB//ilvM//napC//caiE//bglF//hybF//acnA//
Lrp-Leucine_pos	galP//gspC//csiD//uhpB//moeA//tdcE//flhD//mhpB//glpK//aidB//spy//preT//nirD//exbD//manX//yhjA//fepD//tnaB//deoA//metY//malE//iraM//yqjI//uvrA//phnJ//caiD//rutB//argE//nuoN//citC//rrlH//gatA//fimC//gpmA//ybjG//
LsrR_neg	lpxB//yrbL//rhaA//zinT//hycG//uraA//fhlA//ygeH//glgA//
MalT-ADP-Maltotriose_pos	nuoK//yibN//fliZ//gntX//moaE//mntH//gntK//rpsS//acrA//hlyE//
MalT-Maltotriose-ATP_pos	prpC//hypC//fepD//paaH//rhaT//bamA//tcyJ//csgD//nikE//rhaA//
MelR-Melibiose_neg	tsx//ompF//dadA//
MelR-Melibiose_pos	purH//ilvG_1//carB//
MetJ-S-adenosylmethionine_neg	lrp//pgpC//cspD//preA//pdeF//umpH//tam//deoD//sodA//yibN//hemA//evgS//ackA//nrfC//bioF//
MetR-L-homocysteine_neg	ispE//gutM//
MetR-L-homocysteine_pos	hupA//sucD//puuD//hofP//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	pstA//hflC//hisM//lrp//srlB//cysA//
MhpR-3HPP_pos	rcnA//paaJ//pstC//yegR//mdtB//ulaE//
MntR-Cd2+_neg	bamE//fadJ//hyaE//rnpB//
MntR-Cd2+_pos	ileU//
ModE-MoO42-_neg	ynfE//rybB//ycjF//mhpB//rbsA//ulaC//puuD//chiP//hycA//nuoE//livF//raiA//paaZ//rplI//csgG//
ModE-MoO42-_pos	rutA//hypF//nlpE//mdtB//malG//modC//fis//tonB//fau//yggX//bcsZ//purK//bcsA//rrfD//fadI//glgC//acrB//yrbL//phoQ//aaeR//nrdI//fau//tauB//katE//paaI//ilvM//ubiG//ispE//aer//narH//aroA//
NarL-Phosphorylated_neg	srlA//gltW//treB//lsrB//rpsJ//yjcH//pdeF//ptsG//puuC//nirC//fau//xseA//trpB//fucP//gatB//fecA//ilvE//gcvT//mhpT//gatC//glpE//metN//cpxA//appB//hybC//xdhB//udp//cydD//puuE//hypD//phoH//ychH//dpiA//glnL//malG//cysC//fiu//araD//ssuC//caiE//lacA//ppdD//tyrA//cydC//ydeM//nuoI//caiT//pstC//idnO//gltV//emrK//dnaN//aceB//tonB//kbaZ//ccmH//amn//tyrP//appY//malT//emrK//yegH//zraR//glnK//avtA//phnE_2//hyfA//glpD//ihfA//fucK//bglF//nrdA//deoB//aroM//tauD//nrfA//ompC//ilvD//betT//lpxA//recF//dnaN//ampD//metL//ompW//araB//
NarL-Phosphorylated_pos	napH//livF//appB//ispE//phnD//pyrC//tnaA//rplV//malP//rpsI//secB//cra//trmD//qseB//ldtC//rnlA//rrsE//norW//rrfF//yhiD//fepG//alaU//ogt//galE//glpD//hcr//paaE//kbaZ//araF//mdh//prpR//caiT//fumC//aldA//cdd//degP//argH//malY//cydB//ahpF//glpE//aaeR//malS//ynfK//puuB//dcuD//
NarP-Phosphorylated_neg	caiA//rbsK//ynfG//mhpD//pgaD//avtA//glyA//alaV//paaF//feoA//mglC//rimM//cra//artI//nikD//rplW//ascF//ynfE//yggX//infB//lacI//dgcZ//rof//aceK//cheY//gatB//srlE//citD//kbaZ//ahpF//gcvP//puuR//hpt//
NarP-Phosphorylated_pos	baeR//ompF//metB//fimF//sodA//mcaS//nuoK//hybO//malE//gabT//serA//srlB//lysP//rseA//yhhY//nanS//hyaD//nikD//yhfA//agaW//moeB//caiD//argD//hyfF//aceB//oppB//fumC//ykgO//fecA//gspM//gadB//ynfG//
NhaR-Na+_pos	micF//cstA//rhaB//psd//qseC//
NikR-Cd2+_neg	nrdD//polA//narJ//mepH//azuC//hyaB//
NikR-Co2+_neg	hflD//nupG//araE//citE//paaC//araE//
NikR-Cu2+_neg	pheM//ydhV//artJ//casE//ydeN//ascF//
NikR-Ni2+_neg	casD//nrfA//idnO//uhpC//fecI//rrlG//
NikR-Zn2+_neg	iraM//cydA//carB//puuE//fumA//nanS//
NrdR-ATP_neg	galE//aldA//lamB//gapA//entC//trpD//crr//tdcG//ilvX//
NrdR-Zn2+_neg	cydB//araG//frdB//dpiA//nanK//rplW//acs//fixX//aldA//
NrdR-dATP_neg	chiP//aaeA//rcnA//betT//cysK//casD//napH//grcA//rutF//
NsrR-[2Fe-2S]reduced_neg	rbfA//sxy//ulaC//fucK//iclR//yaiW//rrsH//leuE//dsbA//glpC//mntS//alaA//hypB//gatB//yfdE//sbmA//upp//feaR//ybfN//cyoD//napC//fucO//dnaA//speB//mhpT//ahpC//cynX//iscU//narX//cysJ//yeaE//rrfG//atoB//metL//gltB//narH//yneM//aidB//mtlR//pnp//mdtC//sucC//pstA//nikA//xylH//dcuA//rplC//fixA//livG//agaA//motA//ccmB//ascF//rstA//avtA//focA//argC//yoaG//livG//atoB//araE//rcnA//livG//rrfG//cstA//ubiG//malT//phnC//cytR//acrF//tauC//cyoB//gltU//
PhoB-Phosphorylated_neg	tnaA//fadH//aer//paaG//creC//fucU//hyfA//umpH//treC//ubiA//mutY//yoaG//yegZ//
PhoB-Phosphorylated_pos	bioF//spf//rpmC//nrfB//melA//malP//glgX//rrsE//cytR//degP//acnA//hofO//ygbA//yeiB//tdcD//tdcD//gspI//purN//fhuC//nac//galM//cusC//yqjA//soxR//appA//feoA//mgrR//ebgC//malP//thrS//thrS//hycI//baeR//proP//hycE//uhpC//cvpA//gntU//dadX//cadC//ppdD//ccmC//phnM//nusA//epd//fumA//gntP//hypD//hybE//paaF//thrS//malZ//amiB//
PhoP-Phosphorylated_neg	acs//dmsD//prpB//cyoA//cspE//appY//fepB//mhpR//yeaD//ssuE//aspA//
PhoP-Phosphorylated_pos	rybA//cyoB//casD//uxaB//ccmE//caiA//ackA//nrfG//sucB//actP//moeB//fucK//ileT//dcuC//ydhW//galK//feaR//pheM//cusA//hyaE//allC//ugpC//cydA//psiF//lysP//ilvX//paaD//sucB//glnG//fhuD//fepG//dgcZ//manY//lrp//leuE//psiF//glcG//cheA//rrsD//fur//iscU//hofP//melA//envY//ulaD//hofM//xapA//phnN//nikE//
PrpR-2-methylcitrate_neg	pgpC//
PrpR-2-methylcitrate_pos	alaS//pstB//rplB//allE//
PurR-Guanine_neg	gadC//purC//ssuA//malX//cstA//lpxD//nrdD//dppB//paaB//rybA//yhiD//psiF//cheR//rrfA//livF//nrdG//mhpE//tdcC//speB//znuC//hflX//glnK//rplB//bioB//malQ//arcA//mlc//nikA//puuP//abgT//hybA//rhaD//purB//ada//
PurR-Hypoxanthine_neg	znuB//livM//mntP//ydiU//gntX//nuoB//hofO//rhaT//rhaS//atoB//nrdF//yoaC//ftnA//malI//oppB//glcA//rseB//dsbA//narK//cysN//rnpB//argH//treB//fis//ftnB//hyaB//cas1//frdC//cas2//iclR//cysB//purH//acnB//uhpB//
QseB-Phosphorylated_pos	purR//creA//kbl//ebgC//
RhaR-L-rhamnose_pos	pitB//artM//
RhaS-L-rhamnose_pos	garP//cdd//rbsR//
RstA-Phosphorylated_neg	gspD//ileT//fhuA//rpsO//mgtL//
RstA-Phosphorylated_pos	cysM//malZ//mzrA//rrlE//malQ//
SoxR-[2Fe-2S]3+ oxydized_neg	idnR//
SoxR-[2Fe-2S]3+ oxydized_pos	csgC//glnG//lsrK//
TorR-Phosphorylated_neg	betB//
TorR-Phosphorylated_pos	serC//ompT//hypF//torA//dpiA//pagP//puuA//tyrP//gntT//
TrpR-Tryptophan_neg	ampE//atoE//glnD//map//trpB//chbR//phoH//puuD//rdoA//ispE//pheS//cysK//
TyrR-L-tryptophan_neg	dgcZ//aidB//glnD//gabP//dapD//aceA//rmf//cpdB//yqjI//mtlR//pstB//rpsS//
TyrR-L-tryptophan_pos	argI//copA//ftnA//
TyrR-Phenylalanine_neg	psiF//carA//puuE//lsrB//hycI//rrsA//mhpF//ydeP//ahpF//yaiA//malT//ydeP//
TyrR-Phenylalanine_pos	fbaA//ppiA//dps//
TyrR-Tyrosine_neg	hyaB//acrB//malY//cspD//ftnA//feaR//mdtC//aroH//pheT//malI//entA//mhpC//
TyrR-Tyrosine_pos	uxuR//cstA//hyaE//
UhpA-Phosphorylated_pos	tehA//
XapR-xanthosine_pos	cydB//casC//
XylR-Xylose_pos	rpsC//fimC//caiA//nanC//idnO//udp//
ZntR-Cd2+_pos	fimH//
ZntR-Hg_pos	mhpT//
ZntR-Zn2+_pos	rhaR//
ZraR-Phosphorylated_pos	tsr//pheM//pyrD//
Zur-Zn2+_neg	aceE//hisP//torR//chbF//yrbL//hycI//
