#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	purC//amiB//
MelR-Melibiose_neg	ydhW//hflD//comR//
MelR-Melibiose_pos	frc//yaeQ//phnJ//
MetJ-S-adenosylmethionine_neg	astC//dcuR//rpsS//xylG//nrdB//nupG//hybD//cpdB//ubiC//alaU//purA//nikR//psiF//deoD//cvpA//
MetR-L-homocysteine_neg	yeaE//rbsK//
MetR-L-homocysteine_pos	uxaA//mhpB//pgaB//phoA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	nagE//serC//sdaA//ryhB//psiE//nrdD//
MhpR-3HPP_pos	trpE//abgA//phnN//cyoC//caiA//bdcA//
MntR-Cd2+_neg	mdh//uxaC//cynT//livK//
MntR-Cd2+_pos	rbsB//
ModE-MoO42-_neg	fhuF//azuC//glgC//napF//cstA//gltB//mtlR//cysP//marR//ebgA//nuoG//paaZ//rutD//nrfD//exbB//
ModE-MoO42-_pos	ychH//ptsG//cyoE//pflB//srlR//hycA//ccmG//degP//aldB//cyaA//treC//ileU//allD//hybA//citG//rpsO//ubiA//hslJ//fhuB//yjjZ//tdcE//torC//tyrB//nrfE//yeiW//oppA//crl//gltB//tauA//nrfE//ihfA//
NarL-Phosphorylated_neg	appB//fumC//paaE//yeiP//gatY//phoH//aer//casD//umpH//rutG//torD//nikB//malE//glnK//cspD//dppD//grxD//hflC//frc//metE//ydeP//nrdF//ydhV//rrsD//betT//tktB//sdhC//rutB//rrlH//purC//ydfH//hyaD//glgP//ydfN//efeU_1//fnrS//cusF//hybO//pheS//qseC//ynfK//hyaB//hyfD//ampD//fepG//truB//melA//crl//hofP//atoB//trxA//hyfF//zinT//chbG//hisP//aceE//dsdC//fnr//ompA//yjeF//nlpD//purK//cra//melR//tsgA//carB//pdeF//ilvB//frc//hisM//rrlC//mntH//csgE//uhpC//nanK//srlD//motB//yhfA//yeaR//malP//cra//slt//rnhB//ftnA//rrlC//abgA//
NarL-Phosphorylated_pos	envY//carA//alkB//secB//pyrC//yeiB//hcp//phoB//yjeV//proP//oppD//hofN//phnC//ygiB//aceF//hybE//norR//alkA//ydeN//fadI//mdtB//cydA//ahpC//ydhW//guaA//bcsB//gspH//ygbA//mzrA//uxaC//dadA//astE//ompF//oppC//malT//pgpC//rpsF//phnF//rrlA//modB//gpmA//betA//hemA//dsdX//nuoH//lsrK//
NarP-Phosphorylated_neg	purM//mhpA//paaA//ccmH//rbsC//rbsA//yjeV//hyaB//dadX//fepB//glgA//galK//nohA//zwf//deoC//rpsP//nusA//rplT//phnN//idnK//ulaF//mhpF//hofC//lolB//rplV//agaA//grxD//udp//rpsF//gabT//ydhW//araJ//gcvP//
NarP-Phosphorylated_pos	fucR//fhuA//metQ//treC//nrdG//nuoB//argI//aceE//glnD//pheT//frdC//glcC//mutY//xdhC//entS//appA//aroF//betI//fiu//sdhC//cysG//aidB//ulaC//cyoA//gcvT//rrsB//ssrS//glnB//tdh//fucU//sbmA//gcvH//
NhaR-Na+_pos	cusC//tauA//gadB//ompW//rpoE//
NikR-Cd2+_neg	mipA//fhuB//leuE//lacI//pncB//hycA//
NikR-Co2+_neg	hupA//glpR//deoB//idnT//aer//trpR//
NikR-Cu2+_neg	chbC//hflK//ivbL//copA//borD//hyfH//
NikR-Ni2+_neg	malI//metY//rutD//amn//glcG//ampD//
NikR-Zn2+_neg	slyB//fepB//hofN//rrsA//mglA//glpX//
NrdR-ATP_neg	nmpC//katE//frdA//ybjG//ygbA//ydfN//rrsA//rrfG//dsdX//
NrdR-Zn2+_neg	ilvI//ulaD//ada//phnI//rrlA//alaS//yqaE//glcF//ybiT//
NrdR-dATP_neg	fucO//dmsA//agaW//pepT//csgF//pyrD//aldA//phnE_1//edd//
NsrR-[2Fe-2S]reduced_neg	aaeX//phnE_1//aroF//appX//hyaC//xylG//nrdG//rpoS//malQ//lamB//mipA//asr//uxaC//aroL//gcvH//rplB//nirC//argG//mglC//feaR//bglF//nrdE//yegZ//hupA//lolB//gspL//phnM//hypF//uxuR//mgrR//mhpD//cyaR//pdeF//ccmD//glmY//hofN//sucA//fimG//gspL//arcA//ulaB//qseB//rnpB//oxyR//cyoA//uvrA//fhuF//ykgR//glgS//cydB//nrdA//fhuC//gatC//aceA//fucP//napH//gatB//gatD//gcvH//srlB//argC//safA//fdnI//evgS//yoaG//fes//appA//purH//moeA//yeaE//tdh//hyaB//nikE//
PhoB-Phosphorylated_neg	rpsJ//znuC//ybdZ//caiF//pagP//galP//yfbR//rplC//paaC//asr//yoaC//yegR//tonB//
PhoB-Phosphorylated_pos	sxy//trmD//yggX//dadX//bdcA//murP//aroL//paaC//tsr//skp//agaV//nikA//tdcE//caiA//caiA//fur//csgG//casC//citG//priB//xylG//fimE//feaR//nikA//tsx//gntK//cheA//rbsB//puuC//eda//emrK//dcuB//rbsD//phnD//garL//ampD//lsrA//tehB//yoaG//spf//yhjA//tauC//rybB//dsdA//fhuF//fucR//ulaE//glcD//hyfE//cheA//uidC//fadH//uof//
PhoP-Phosphorylated_neg	entA//gltD//uof//phnJ//alkB//phoU//gltV//glnB//ulaA//proP//chbG//
PhoP-Phosphorylated_pos	prfA//ampD//malT//cysM//citF//prpC//uxaB//lrp//hmp//trpE//rutF//fumB//paaE//uxaA//metF//sbcD//moaB//nuoH//gspG//xylR//cyoA//glnB//artP//nuoI//mntS//dsdA//hisQ//pstS//yhjA//znuC//galS//paaG//yaeQ//purD//moeA//bcsB//lsrD//yrbL//ydbD//pgaB//lacI//oppA//sufE//nuoH//marA//ldtB//gltU//cydA//trpA//
PrpR-2-methylcitrate_neg	glpK//
PrpR-2-methylcitrate_pos	ileT//dsdA//fau//cydB//
PurR-Guanine_neg	glgB//malM//purH//fadL//casB//galE//pflB//appA//garK//metY//appC//patZ//nuoL//ycjF//cpdB//map//pepT//cpxA//rhaD//sdhA//galP//ychH//preT//tauC//hybF//thrS//phoU//glnL//chbF//fiu//hycD//gntT//bioD//rhaR//
PurR-Hypoxanthine_neg	rrsG//fepC//ppiA//glpB//tdcC//nrdH//zntA//hcp//zwf//ubiC//mglB//ccmA//ssuE//metF//glnL//fadH//aldA//metR//cysM//ssuC//gabD//erpA//hyfJ//ulaB//moeB//xylF//qseC//ompC//cydC//pnp//puuB//mutY//hofM//yaeQ//
QseB-Phosphorylated_pos	cheW//aaeA//nrdA//iscR//
RhaR-L-rhamnose_pos	yeiW//ccmB//
RhaS-L-rhamnose_pos	gcvT//rpsS//spy//
RstA-Phosphorylated_neg	srlB//glcD//yeiW//aroM//tadA//
RstA-Phosphorylated_pos	degP//xylH//lsrA//chbG//phoP//
SoxR-[2Fe-2S]3+ oxydized_neg	icd//
SoxR-[2Fe-2S]3+ oxydized_pos	fucI//glpD//ndh//
TorR-Phosphorylated_neg	purF//
TorR-Phosphorylated_pos	nagC//hypF//argT//purH//slt//aceB//csgF//sodB//ulaB//
TrpR-Tryptophan_neg	nuoK//phoU//carA//argD//tauC//emrK//safA//gspH//ulaE//caiA//metC//fimI//
TyrR-L-tryptophan_neg	allD//yeiW//rutG//bcsZ//gltU//ssuD//fecI//bioC//sufD//malP//lldR//sbcC//
TyrR-L-tryptophan_pos	malQ//nuoJ//aaeB//
TyrR-Phenylalanine_neg	glpE//moaA//yibN//ompW//casC//xdhA//malQ//yjeF//glpQ//nagC//dppF//acs//
TyrR-Phenylalanine_pos	cynT//hyfB//nlpD//
TyrR-Tyrosine_neg	glnB//hydN//tsr//phnE_1//folE//umpH//nrfE//sdaA//speB//tar//bioF//lacZ//
TyrR-Tyrosine_pos	fucU//ubiG//gntX//
UhpA-Phosphorylated_pos	tnaB//
XapR-xanthosine_pos	fepB//fucK//
XylR-Xylose_pos	nuoC//leuE//marB//tolC//xylA//mglB//
ZntR-Cd2+_pos	nanS//
ZntR-Hg_pos	rcnA//
ZntR-Zn2+_pos	artQ//
ZraR-Phosphorylated_pos	iscS//ascB//ssuC//
Zur-Zn2+_neg	lacI//avtA//ilvN//napD//artI//nanC//
