#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	astB//recF//
FNR-[4Fe-4S]2+ reduced_pos	ompX//entD//malI//dcuS//sucD//artP//fadE//acnA//glcF//metH//lsrF//phnD//ycdZ//phnM//caiA//hflC//degP//tonB//cusA//chiP//napD//mtr//glgA//infC//frdB//bcsB//cysW//gapA//lacY//rimP//oxyR//znuC//preA//ydhX//csgA//alkA//ugpQ//torC//trpB//rpsS//ompA//envZ//yhiD//phoA//hcr//phoQ//hydN//rhaS//tyrA//sufA//cirA//idnK//slt//hyfI//nlpD//gspH//mgtA//nrfD//dgcZ//acrE//glnL//mdtA//prs//galK//frc//rbsD//dcuB//melR//rbsA//rplM//argC//glpA//glgC//hycG//yhcH//nanM//rimM//gntR//rpsS//casD//sdaA//rrlC//osmY//csgC//rrlA//hisP//nanS//uhpB//ccmC//tdcA//araF//ascB//tdcA//slt//fixA//dcuC//csgF//fhuB//ompT//rhaS//nuoL//gltW//ulaE//aspA//pstC//nrdE//tsgA//ompF//iclR//yggX//ydhV//psd//metR//cynR//ppdD//cydB//chiP//mntP//creA//prs//nac//glpT//lsrF//narX//yfaE//gltT//hycC//ccmG//ydiU//nikC//tyrP//frdA//folA//cytR//feaB//mscM//ubiG//pgaC//hyfJ//rof//mgtL//katG//aaeB//motA//paaG//cspD//ugpE//feoB//gspE//hyfB//citD//araG//amn//lpd//pstB//trpE//phoE//puuE//cysB//serA//thrV//allD//iscS//fhuF//rutF//truB//acrA//gltT//betI//aaeR//uxuR//metQ//znuB//metJ//ccmD//ompF//araB//hypC//phnC//metE//fucA//efeU_2//uhpB//purH//treB//rrfG//cheB//tauD//map//pgpC//patZ//nuoA//ssuD//hofC//ccmH//arcA//ynfF//infC//hybE//phnG//hfq//atoB//
FhlA-Formate_pos	uxuR//astE//nanC//hycD//hflC//fnr//ilvX//hlyE//trpL//fucI//sbcD//sodB//ykgM//actP//infC//hflK//skp//stpA//narK//metH//astE//araD//metA//rrfD//xylB//yjeF//idnR//dcuB//paaH//prfA//
FucR-L-fuculose-1-phosphate_pos	phnN//aaeA//yjcH//ygeH//entH//appA//entS//
Fur-Fe2+_neg	moaC//alaT//cynX//acrA//fhuB//sufC//ydiU//acrF//melA//dppA//mhpB//sodB//cynR//dadA//recF//ung//tolC//nikA//uvrA//copA//uhpT//cytR//rpsO//lsrR//hdeA//arcA//speB//entA//phnM//ompT//gltV//ccmG//hydN//yeaE//nagB//uhpT//yjcH//rrlH//alkB//xylF//phnD//lhgO//fnrS//rrsE//argE//grxD//norV//ynfG//fucI//cysP//evgA//cirA//phoH//acrF//rplT//gcvT//sohB//iclR//focB//citE//frdC//ilvM//idnO//yfeW//udp//rhaS//cydD//rrlH//ydhW//adhE//betT//livK//torR//mcaS//ulaE//rpsQ//tcyJ//rpmI//paaF//livF//chbB//hybC//tdcB//amiB//gspI//cysW//gspL//tdcD//kbl//adhE//tauB//sucA//cydA//dcuS//zinT//ssrS//hyfR//cusR//tnaB//uhpC//cysP//amiB//codA//lsrR//hyaB//caiC//aroP//cusA//fimH//nrfD//lsrC//mntH//fimE//oxc//oppC//narK//dcuA//fimH//tyrP//cynT//moaD//fabZ//hyaF//efeU_1//
Fur-Fe2+_pos	dcuR//ilvI//uidA//nrfC//creB//cspE//gspD//nrfB//moeB//mscM//rbsD//thrV//carA//envY//bioD//nuoB//tsr//modA//ulaA//abgA//trpE//nikR//fecI//hycF//betA//
Fur-Mn2+_neg	gltW//tsr//ykgM//gcvP//rplV//hupB//entF//tfaQ//ascF//moaA//nuoC//gabD//gatD//purB//fur//lysP//argP//ubiG//cysK//hflC//csgF//galT//yjiY//gapA//rplT//malS//dnaN//narK//glpD//lacA//gcvH//tauB//ynfK//dsdC//napA//feaR//gspE//ygiC//aroG//oxyR//glpC//pck//artJ//ynfF//copA//xylB//fimI//pgaD//lpd//envY//argP//focB//ada//rybA//fau//allE//araD//ompT//dppD//narQ//deoD//ccmA//oppC//hfq//gltT//cysN//hyfC//iraM//puuA//hybF//moaC//xdhA//hisJ//glcB//ascB//cysB//aroH//tyrP//entH//aldA//manY//amtB//dcuR//glpG//agaV//entF//ccmB//chbC//serA//hybB//marB//preA//frc//puuE//cusF//ytfE//aroP//ybjG//malQ//xdhC//aspA//nikC//rplD//alaA//rof//rhaB//crl//ygiA//phnE_2//phnK//ubiG//chbF//mcaS//hybA//nrdE//ydfH//cytR//trpE//araC//trmD//fucI//mhpR//ydeN//cpxA//
Fur-Mn2+_pos	rutF//fepB//psd//yjeV//mzrA//fhuE//manX//nrfG//hybF//nagE//hmp//nanM//uxaA//hofB//hybO//galS//purL//aidB//rutD//hyfB//nagC//yeiB//mzrA//hybD//ilvB//
GlcC-Acetate_neg	aldB//
GlcC-Acetate_pos	tpx//uxaB//trpC//cueO//tktB//skp//
GlcC-Glycolate_neg	cpxR//
GlcC-Glycolate_pos	tauC//citD//nrfD//glgC//gspG//chbC//
GlrR-Pasp56_pos	pheS//
IclR-pyruvate_neg	rrlA//fnrS//rnhB//sdhB//
IdnR-5-ketogluconate_neg	napB//cheA//yfaE//
IdnR-5-ketogluconate_pos	nuoM//hybG//iscS//puuD//paaB//
IdnR-Idonate_neg	osmC//fhuB//feoB//
IdnR-Idonate_pos	rrsG//paaC//garR//amn//ubiA//
IlvY-2-acetolactate_neg	casE//
IlvY-2-acetolactate_pos	fumC//
IlvY-Alfa-acetohydroxybutirate_neg	gcd//
IlvY-Alfa-acetohydroxybutirate_pos	hdeD//
IscR-[2Fe-2S]1+_neg	ssrS//cydB//frc//uhpB//ptsH//phnC//caiT//guaA//hcr//rrlH//phnN//znuB//rimM//yibN//argE//zraP//sucC//tam//fumB//sodB//rhaA//pitA//dcuS//hisP//cdd//carB//hdeB//chbG//puuE//ychH//
IscR-[2Fe-2S]1+_pos	tehB//srlA//moaD//moaE//tyrB//zraR//tdcF//gspI//modB//rutA//ompW//
LldR-L-lactate_neg	mntP//trpL//aaeB//
LldR-L-lactate_pos	cas1//glcB//pck//
Lrp-Leucine_neg	fixA//yfeW//ydeA//trpL//pflB//rrsE//gadB//ydhU//metE//gspK//glpK//phoQ//aceF//nuoB//fecB//gabP//carB//gntP//umpH//nagB//ubiX//yecR//hyaF//casA//acrB//mdtD//yjeV//evgS//xdhC//gatZ//hisM//nanM//yaeP//dpiB//frdA//acrA//phnF//dsdC//nanA//abgT//glgA//ebgC//hflC//livF//yhcH//citD//entH//speA//rrlA//cpxR//astC//ilvE//sroD//cheZ//ilvG_2//cyoD//uxuB//rutE//yjiY//crp//prpD//ubiX//phnD//nohA//rpsJ//caiC//fes//fimI//hisP//phoE//narK//yegH//map//nagA//hyfC//
Lrp-Leucine_pos	gatA//ada//ubiG//ybiT//fldA//gspM//azuC//hypC//gatZ//sxy//xylF//gabT//appY//hycC//serC//glpX//ydhY//motB//mcaS//ychH//trpB//ycjX//ilvB//sufS//puuC//codA//fecD//rimM//ubiG//sufB//sufD//mglA//metR//osmC//ydeN//
LsrR_neg	narK//dcuC//secB//araG//bioC//lrp//hyfF//phnI//psiE//
MalT-ADP-Maltotriose_pos	ugpC//dmsB//ulaF//glgX//aroG//nfuA//malX//sbmA//tehB//norV//
MalT-Maltotriose-ATP_pos	rbfA//allE//ydhW//malY//ilvG_1//hha//uhpT//lacA//rbsB//degP//
MelR-Melibiose_neg	hlyE//phnE_2//gatB//
MelR-Melibiose_pos	pgk//pgaA//nanT//
MetJ-S-adenosylmethionine_neg	ompF//fecA//avtA//qseB//amiB//adiC//lpxA//crp//csgG//gabT//tsr//dkgB//metF//glcB//dppA//
MetR-L-homocysteine_neg	oppF//araC//
MetR-L-homocysteine_pos	cadA//ycjF//nanS//nrfA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	narK//ilvH//gntT//hyaC//tauA//avtA//
MhpR-3HPP_pos	fucO//fau//ssuB//glnB//purB//fimC//
MntR-Cd2+_neg	nfuA//deoA//ygeA//aroL//
MntR-Cd2+_pos	ldtC//
ModE-MoO42-_neg	arfB//hycD//yjeV//atoE//glcF//fes//gltA//dcuS//gspF//atoE//trpB//gatB//puuA//argT//aroH//
ModE-MoO42-_pos	ompX//ydhT//fau//bcsZ//trg//gapA//phnC//nanM//malI//puuP//napF//torA//cpdB//hyfF//ygeH//tam//priB//argE//iscS//talA//cydB//hisJ//preT//lacZ//cusA//rbsA//ispE//glpB//trpL//artM//ydeA//
NarL-Phosphorylated_neg	metK//argF//torD//efeU_2//trpE//cspD//narJ//ydfH//rpsP//ydhY//csiE//cadC//rrfC//metK//mgrR//ilvI//hcp//rplD//pitB//infC//rhaA//malZ//araD//cynS//fepD//rstA//phnO//ynfH//rpsF//tnaA//chbF//ompX//rutG//rutG//yhiD//nrfC//bioA//ugpC//hdeB//sucC//csgE//micF//yqjA//malF//yciW//ydhX//hybD//cadC//glpC//dcuB//lacI//pncB//aroH//dnaE//yqjA//napA//feoB//yeaD//purM//srlB//frdD//uhpA//ssuC//bioC//hupB//ydeO//znuA//moeB//fumA//argD//uxuA//rrsC//sbmC//hypE//sufB//skp//flhD//deoC//fepB//avtA//yrbL//fimD//pdhR//oppB//mutL//rhaT//
NarL-Phosphorylated_pos	fecR//rrfH//atoD//nanE//feoB//citG//feaR//ynfF//mutY//caiB//cysJ//phnP//ilvA//mglA//hdeD//fliZ//rseB//dppA//gntK//slyB//csiE//nusA//nrdE//glcB//tehB//ychH//hyaC//dppF//hyfA//mtr//zinT//fdnH//tnaC//purR//allC//tauB//srlD//safA//znuA//miaA//spf//glnL//argG//ybfN//xdhA//metL//
NarP-Phosphorylated_neg	lamB//dnaN//acrA//ptsI//acs//uhpA//aroA//ykgR//azuC//caiE//fepA//iclR//bacA//chbF//rnlA//bcsZ//cysN//napD//phoR//evgS//uhpC//phoR//truB//skp//copA//trxA//phnH//napB//rpsJ//proP//xylH//torA//gcvH//
NarP-Phosphorylated_pos	gltA//recF//iraD//yibN//manX//focA//rybA//dctA//fbaA//ilvB//yjeF//hofC//mdtD//rstB//rpoH//malZ//treB//hycC//fbaA//ybiT//pdhR//yqjA//agaA//ykgO//rutD//znuA//ccmG//mhpF//yhfA//yegZ//fixC//astB//
NhaR-Na+_pos	dppC//qseB//ilvM//gutQ//treB//
NikR-Cd2+_neg	nrdA//yciW//frc//ilvB//pagP//rdoA//
NikR-Co2+_neg	lldR//speC//glmY//udp//tyrP//alaA//
NikR-Cu2+_neg	glpC//waaH//lrp//qseB//hyfH//gadC//
NikR-Ni2+_neg	nagB//alaS//phoA//nikB//phnM//feoB//
NikR-Zn2+_neg	grxD//fecB//gspC//ydbD//phoQ//deoA//
NrdR-ATP_neg	betB//hycF//sufD//rrfB//yaiA//yhiD//xdhC//araH//chbC//
NrdR-Zn2+_neg	gatY//phoR//ivbL//creB//dusB//moaE//xdhC//appX//rrfC//
NrdR-dATP_neg	uhpB//fliA//lsrB//livM//ycdZ//gltD//gatB//nagC//map//
NsrR-[2Fe-2S]reduced_neg	rutG//mlc//hflK//glrR//abgT//ydhW//ftnB//gspD//puuA//hofM//fepA//crr//fixB//rrfC//ogt//betB//fecD//gspD//aspA//dgcZ//pgpC//moaA//uxaC//udp//ytfE//yggX//cadC//baeR//raiA//betA//uhpC//argI//sufD//paaK//ygiB//yhiD//yeiB//bglG//tar//rutF//ldtC//tdcE//sroD//yhhY//ilvI//ygiB//csgG//yfiP//hyfE//cusR//sroD//cas1//rimP//mhpR//trmD//glmY//phnE_1//nanS//malQ//rplC//cadB//rutE//pncB//rplM//hupA//rpsI//dapB//ssuE//glnD//yhhY//phoE//metY//sufC//
PhoB-Phosphorylated_neg	fldA//cadB//tnaB//citG//phoP//bglF//dcuA//tdcG//tyrA//gadC//citX//fdhF//pdhR//
PhoB-Phosphorylated_pos	rbsB//grxD//paaD//cusR//yqaE//trg//acrE//hypC//ugpQ//deoA//moeB//nuoA//malQ//nagE//bioF//phnF//osmY//hflD//cbl//rof//sdaA//uxuA//fimE//ccmA//puuB//gspK//fimG//sbcC//cynT//mhpR//ccmB//fadD//ubiG//cysG//hyfF//glnG//lacI//aceF//cydD//xapA//glpT//gspM//dkgB//garP//nuoK//araB//cheB//sbmA//yeiL//frdA//rutB//metH//qseC//
PhoP-Phosphorylated_neg	polA//moeA//preA//iraD//purR//cysP//glnB//prpD//dmsA//pnp//purF//
PhoP-Phosphorylated_pos	mhpR//gatB//tar//lsrR//lldR//citG//dmsB//mdtA//malT//dapD//gspJ//dppD//patZ//dppC//napA//pck//mgrR//erpA//fixX//deoB//creD//ompR//artQ//rmf//tsgA//glpT//aaeB//ssuB//hflX//ampD//aaeR//hupA//fecC//dapB//araJ//fldA//gltA//mntH//lsrG//alaS//slt//hpt//aer//phnN//frdA//grxC//speA//glpB//hyaB//
PrpR-2-methylcitrate_neg	hyfE//
PrpR-2-methylcitrate_pos	aspC//aaeX//idnD//glpG//
PurR-Guanine_neg	oppB//srlD//fucI//lrp//rpsF//ftnA//modB//dgcZ//entH//moaA//artQ//ispE//glgS//lsrG//tdcD//fecE//amn//phnH//dadA//acrD//lysP//xylH//cheB//cysP//kbaZ//aceF//cheW//hupA//hyfD//gapA//aceF//ynfE//gspE//ccmA//
PurR-Hypoxanthine_neg	argF//chbB//dcuB//sdhB//yeaE//nrfD//glpT//ptsG//glnL//lsrK//nikR//sroD//fdhF//soxR//truB//paaI//dnaE//hyfD//ilvC//gatD//amn//hybC//lsrC//baeS//narL//sdaA//tyrB//dapB//cydC//hyfA//glpG//umpH//nrdA//yfiP//
QseB-Phosphorylated_pos	ompA//tauA//phnK//srlA//
RhaR-L-rhamnose_pos	trpR//ykgO//
RhaS-L-rhamnose_pos	aceK//glcC//sodA//
RstA-Phosphorylated_neg	lpxA//ebgC//nuoE//hyfF//alaS//
RstA-Phosphorylated_pos	gcd//uhpT//lamB//uraA//pitA//
SoxR-[2Fe-2S]3+ oxydized_neg	yoaC//
SoxR-[2Fe-2S]3+ oxydized_pos	mcaS//cynX//tsx//
TorR-Phosphorylated_neg	yqjA//
TorR-Phosphorylated_pos	phnJ//mtr//ydiU//fadI//gatY//chbR//idnD//pdhR//moaE//
TrpR-Tryptophan_neg	cysN//ompX//glgA//cvpA//napB//ilvH//purE//mdtB//casC//leuE//tyrB//yegR//
TyrR-L-tryptophan_neg	uraA//ilvI//cusA//caiD//acrA//nuoG//putP//rstA//yeaE//ybdN//hyfA//pyrD//
TyrR-L-tryptophan_pos	puuA//preT//uxuR//
TyrR-Phenylalanine_neg	nuoN//psd//nikE//glpT//dadX//aceB//citX//gltD//metL//paaZ//paaE//deoD//
TyrR-Phenylalanine_pos	araE//purN//copA//
TyrR-Tyrosine_neg	folE//prpB//nanA//cydB//ydeP//phoH//fixA//cysJ//priB//prpR//yfbR//fhuD//
TyrR-Tyrosine_pos	mdh//agaA//hyfI//
UhpA-Phosphorylated_pos	uidB//
XapR-xanthosine_pos	ilvE//phnO//
XylR-Xylose_pos	cyoC//ydfH//iclR//citF//rplV//focB//
ZntR-Cd2+_pos	ydeN//
ZntR-Hg_pos	ygeA//
ZntR-Zn2+_pos	citG//
ZraR-Phosphorylated_pos	argT//bamE//deoD//
Zur-Zn2+_neg	exbB//rplP//cynR//phnO//ssuE//ptsH//
