#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	ryhB//cas1//
CRP-cAMP_pos	betT//gspD//glgA//marB//evgA//cydD//feoA//glpD//talA//uxaB//oppD//glgA//gatD//tfaQ//fecD//rnlB//grpE//malZ//mhpA//rybB//rrfB//gntP//nrfA//cynX//osmC//tap//ybjG//hycD//narH//trpA//gcd//sodA//tap//mutY//amtB//hofM//pflB//tam//metI//fadE//ilvG_1//argG//livM//ndh//rutC//phoQ//gspG//galP//rpsO//yhhY//phnF//ascF//ssb//sdaA//hybE//gatY//ssuE//pstA//fabZ//ydeM//entD//phnD//cyoE//dcuA//ilvE//entA//rnlB//glcF//fecE//caiE//katG//osmY//ynfE//csgD//hyaA//ldtC//phnC//lolB//rhaD//slyB//miaA//moaD//malX//pstA//mhpC//yqjA//gltV//glrR//grcA//yrbL//glrR//argC//purB//fucA//ilvG_1//ilvL//ydfN//hycA//murP//trg//nuoE//phnN//dapD//moaC//metI//acrF//rbsD//efeU_1//amiB//rrlD//pheT//appY//fimI//ebgA//prpD//ygiC//dppF//cheR//ugpE//pstA//cysP//rbsR//rybA//livG//yegR//flhD//hycD//aceE//mglB//fepD//glyA//ilvG_2//rpoS//nanS//glnK//acrB//glcE//malG//dmsC//nanC//chbB//oppB//trpB//trpE//yjeV//ldtC//narJ//paaF//napF//uraA//tsr//argP//ydhU//glpQ//phoA//hofC//rpmI//nuoL//atoB//caiE//citE//ydfN//metN//tam//ppdD//ilvL//murQ//safA//ryhB//ulaA//fepD//hflX//citE//dcuD//rhaD//galS//mutY//ygaC//hlyE//nfuA//glpE//livH//rpsR//caiA//glgP//yoaC//entC//xylH//comR//mdtA//xylG//hflC//entD//yqjI//ydfH//phnH//grcA//phnI//rpmI//yidQ//hdeA//rrlC//hypE//nupC//treB//casB//prpE//betT//grcA//ugpA//rimP//avtA//avtA//mhpF//hyaE//hyaF//flhD//uraA//xylH//ugpQ//malY//ompR//argH//galS//casA//paaH//fucO//astC//phoB//spf//bioA//sucD//sdaA//ycjF//tauB//hybO//dmsA//rrlC//tyrB//puuA//sufE//secB//pncB//fepA//puuB//nikA//hybO//pflB//glrR//nuoN//nuoK//envZ//argT//glpE//garR//puuC//dkgB//fecE//carA//napC//treR//yeaE//nrfA//norW//feoB//cusR//betI//fur//gspC//tadA//appX//narL//tyrB//mdtA//dsdC//trxA//glnA//malZ//pstB//pstA//malK//hypC//ydhV//aceA//rybB//metE//ydhU//hupA//fadH//epd//phnM//fadA//ldtB//hyfA//recF//arcZ//hypB//hyfJ//phoU//pdhR//cysC//rbsC//rpsF//hyfE//yhjA//artP//malK//metY//lacA//gspI//phnP//hflX//ompF//phoU//skp//nrdA//aspC//tdcD//hflX//gatD//pck//gntP//hycH//trpA//bioD//rybB//gntK//fadH//fecR//paaK//narX//phnC//zraR//agaW//secB//rpoS//ilvG_1//hofO//hslJ//gcvT//nuoF//upp//glpF//tnaC//hyaF//chbB//cysJ//ssuD//ilvM//aldA//hisM//sufD//malF//citD//rrlH//creC//glrR//gcd//cheZ//rutB//rpoH//metI//fdnH//yfaE//appB//lpxB//puuC//fecB//idnD//nrfA//chbG//nanK//yecR//fepB//malE//phoR//hdeA//phnK//lpxB//rrsB//purD//glpT//folE//fadH//idnD//tdh//pgaB//nmpC//trxA//fiu//yojI//mdtC//deoA//yhfA//feoA//nanC//oppD//tcyJ//lldR//nagA//sbmA//ilvX//aroF//gntR//dcuR//citF//glcB//cusB//mtlD//argT//alaV//ynfH//mhpR//nuoC//dcuB//araE//yeiB//ydeP//guaA//hyfF//appB//yjjZ//argR//ynfG//cysC//manY//adiC//sodA//caiD//
ChbR-Monoacetylchitobiose-6P_neg	fecA//deoD//rbsC//hofP//dcuA//fecD//
ChbR-Monoacetylchitobiose-6P_pos	argD//comR//ykgM//baeS//dppC//trxA//
CpxR-Phosphorylated_neg	phnH//fumC//cyoA//aroH//bioB//putP//oppD//ydhU//allC//melB//acs//chiP//narQ//nrdB//ychO//lsrB//cysP//hycE//metK//truB//rrfH//marA//atoE//fadB//
CpxR-Phosphorylated_pos	mntP//cheW//rhaB//cadA//glpA//yhfA//pagP//fucR//ackA//nuoB//norW//flhC//feoB//hybG//nrfE//glpG//ynfG//glpT//hyfH//metQ//hyfD//paaA//csiE//psiE//fhlA//talA//galT//glpD//citC//hycE//rrfG//sufS//malG//alaU//efeU_2//ftnB//ulaA//araF//gltT//xdhA//appA//phnO//chbC//ompR//rhaB//
CreB-Phosphorylated_neg	dppC//cysP//aer//
CreB-Phosphorylated_pos	idnK//gltF//rrfB//manX//creB//yoaG//
CueR-Ag_neg	csgC//narX//fldA//gdhA//dcuA//
CueR-Ag_pos	avtA//umpH//
CueR-Cu+_neg	dpiB//malS//cirA//ykgO//sroD//
CueR-Cu+_pos	acrA//yhiD//
CuerR-Au_neg	dpiA//adhE//cydA//rrfE//rcnA//
CuerR-Au_pos	zraP//hslJ//
CusR-Pasp_pos	xapB//aroH//rpsP//nuoC//srlR//ydhT//ldtB//gntU//leuE//fucI//mcaS//treB//
CynR-Cyanate_neg	astC//
CynR-Cyanate_pos	yfiP//frc//uxaC//
CysB-N-acetyl-L-serine_neg	cysB//norR//fucR//uxaB//hflX//fucU//crr//
CysB-N-acetyl-L-serine_pos	artQ//idnD//srlB//efeU_2//slt//arcA//spy//fepC//tap//ftnA//ynfK//uhpA//pck//cheA//nanE//putP//puuD//fliZ//mglB//nikE//rplI//paaB//speC//
CysB-O-acetyl-L-serine_neg	hyfG//ptsH//frdB//ydhY//hyfH//hyaB//cusB//
CysB-O-acetyl-L-serine_pos	norR//rrfD//phnO//lamB//yfbR//hdeB//livM//nrfF//betT//ydhU//ryhB//lsrG//ilvH//bacA//ulaE//lacI//gutQ//mipA//grcA//ppiA//yfdV//rimP//envZ//tyrB//
DcuR-Phosphorylated_pos	rrfH//nuoI//hybE//aroH//ssb//napD//rrsG//metQ//bcsA//
DnaA-ATP_neg	hdeA//lsrB//alaA//tdcC//argA//cysJ//uvrA//casD//ygbA//mntH//katG//
DnaA-ATP_pos	kbl//appC//lpxB//acrA//phoQ//cusR//cas1//
DpiA-Pasp_neg	astB//
DpiA-Pasp_pos	hupB//feoA//tdcD//nrdG//deoD//ahpF//agaV//casD//ada//fadE//
DsdC-D-serine_neg	cynS//
DsdC-D-serine_pos	argP//manA//
EvgA-Phosphorylated_pos	ilvG_1//rhaA//gltT//waaH//thrV//ygbA//acrF//arcA//cyoE//rimM//fnr//rcnA//rrlE//cusB//atoE//
FNR-[4Fe-4S]2+ reduced_neg	yegR//hflD//entE//exuT//manY//yhcH//xylA//fdnG//sufB//aceK//glgP//raiA//hisP//prpR//lpxA//fhuB//yfdV//metH//cynT//sxy//napF//cstA//moaA//csgC//lysP//infB//metC//rseA//ebgA//preT//deoC//astA//fecE//puuD//puuA//astD//rrsA//csgF//hybO//lsrA//speB//mdtA//aldB//carA//fhuB//proP//alkB//mglB//mepH//chbB//gpmA//bcsB//bglG//sufA//lsrG//lsrA//ogt//cyoC//araG//yeiB//yjeF//aldA//rpsI//ssuB//hypA//deoA//creB//trpC//umpH//uvrA//rcnB//ompX//dcuC//citE//copA//glpD//efeU_2//rrfA//ydhU//prs//arcZ//prpB//xylA//garK//alkA//pstA//ykgR//dcuA//nuoB//dusB//rrfD//rpoS//aldA//atoA//ubiG//arfB//mgtA//phnO//lacZ//rrlC//pstS//nagB//alaT//gspM//gcd//sufC//ysgA//yjeV//ihfA//cheB//trpA//purR//cheW//hyfA//appY//fdhF//hypE//arfB//fumA//dadA//
FNR-[4Fe-4S]2+ reduced_pos	rplD//hflK//nikC//artQ//aer//crl//phnK//bamE//hyfJ//ldtB//aceK//psiF//ugpE//cydA//dcuD//oppF//ilvM//ung//puuE//ssuB//moaB//fimI//entS//safA//dppD//secB//araA//garL//trpA//polA//nusA//talA//aaeA//ilvL//hydN//cynX//rpmC//rrlB//paaA//puuD//caiF//mntP//hyaB//rrlA//serA//rrfB//torR//fdnG//arfB//flhC//puuA//napD//lolB//csiD//malT//nrfA//fhuA//pyrD//cydC//iscS//borD//aroG//pnp//acrA//hyfB//slt//casE//treB//yojI//nlpD//yoaG//gabD//cspD//hha//nrdF//torR//gatZ//metI//hypC//dadX//phoQ//sbcC//casC//glnK//ubiX//guaA//gatD//entD//pncB//garL//pck//ileU//pstA//purH//bcsB//dppA//purN//yccA//aroL//pflB//nirC//yhjC//ygbA//astE//rrsC//cvpA//malT//pitA//hypD//hycF//srlR//nrfG//ubiC//lacA//slt//abgA//rpmI//gntK//umpH//nuoL//glgC//alaT//nuoF//gadC//nfuA//yhfA//glyA//tdcE//abgB//rseC//purC//treC//appX//lhgO//rpsR//metE//gatZ//nuoJ//dmsA//nagE//gatY//lsrA//micF//dcuB//ykgM//uxaB//crp//metR//glgX//cyaR//lsrB//artM//metN//fixB//purF//fucI//fur//hyaE//gspL//lsrC//oppB//garK//hyaE//astA//mdh//rmf//fadL//nupC//csgC//fnr//ptsG//amtB//mglB//bioB//nlpE//ispE//ompX//dmsD//ugpC//garL//fabZ//dmsC//gpsA//leuE//prpD//patZ//araB//fliA//yegH//citX//fucP//gcvT//glpB//dctA//appY//hypE//araC//galP//argD//dcuR//rimM//trpR//
FhlA-Formate_pos	hofN//trpA//xylH//chbR//narI//nrdA//lpxD//rpmC//fur//gcvP//hyfA//nohA//tsx//fbaA//lldD//lysP//abgA//napH//yoaC//moeB//iscU//mgrR//aroL//dmsD//ldtC//rpsQ//ybfN//rseC//amtB//sbcD//
FucR-L-fuculose-1-phosphate_pos	qseC//hfq//betI//yciW//tdcG//ulaB//dcuD//
Fur-Fe2+_neg	paaB//yciW//xylA//tehB//pflB//phnD//phoA//torA//slt//narH//gspI//fadA//ugpE//rhaA//gatD//rutD//astD//rhaT//dctA//ascB//murQ//mdtC//fimF//mtlD//fiu//mltC//moeB//paaI//nagE//lysC//mutL//malT//galM//dsdX//gspK//ygbA//caiC//gcd//ileT//rpsJ//moeA//glpG//sbmA//rpsQ//tnaA//rstA//ugpB//trpB//narJ//puuC//yoaC//evgA//ynfH//prpC//gspI//melR//livK//torR//napF//cysJ//nrfF//hlyE//xdhA//ilvH//spf//mutL//aroP//nrfC//rplM//hdeD//astC//caiE//fecI//phnM//chbC//puuE//casD//cysI//phnI//tauC//yfdE//narG//yqjI//glnD//pagP//tsaE//flhC//nuoG//torR//mgrB//pstB//cheA//nuoL//psiF//oppB//ydhU//ilvC//glcA//fdnI//fhuE//tauD//csgC//rutG//glcE//ftnB//prs//astB//aaeR//hypB//hflD//ybiT//garL//purD//tnaA//carA//baeR//purA//sucD//ugpB//gltB//dcuR//ftnA//nlpE//hyfB//
Fur-Fe2+_pos	casC//hyaC//dcuB//livK//oxc//ompT//argF//betT//nikE//yfdX//uof//rhaB//aroL//yqjH//zwf//phnG//ynfE//yoaC//nrdE//yfaE//nac//creC//cueO//folE//phoP//
Fur-Mn2+_neg	prmC//gltA//gltT//napA//manX//cpxR//ascB//tsaE//hyfI//hyfR//sucC//argH//sdhB//pgaA//glgA//ydeO//fnr//carA//mzrA//prmC//sdhD//preA//fimA//rpmI//iscS//malT//srlE//lacZ//norV//gspH//glmY//mpl//fepE//aspC//artI//yecR//hcr//alaV//sbcC//iraD//fadI//csgF//cheZ//tam//ydfH//rpsR//uhpT//pyrC//puuB//yfiP//yhjA//xylG//ydhT//nuoI//cyaR//mglA//hofC//mtlA//purH//phnI//melB//yedX//iscR//yaiA//ompR//pheT//mdtC//epd//malG//dsdX//nanS//rhaB//cysN//patZ//torR//hpt//ilvG_2//hybF//ssrS//ydhW//evgS//gadC//yibN//tauB//sucD//aaeR//malK//oxc//cusR//gltD//nac//tomB//cysG//rof//aaeA//gntR//udp//fiu//rutD//fimH//ykgM//xylH//xdhA//casB//amiB//ydhT//ccmB//argI//rplI//galE//nikC//hycA//mhpC//glpD//rimP//phoR//torA//aidB//glgB//rseA//pstA//ccmD//bglB//prpE//
Fur-Mn2+_pos	mgrR//treR//nlpE//gntU//rutA//chbA//tauC//ssuD//yecR//ompF//purB//alaT//malI//caiA//yegH//fadL//casD//ada//ivbL//caiC//araD//purF//aceE//rpmC//rpsJ//
GlcC-Acetate_neg	nuoM//
GlcC-Acetate_pos	malQ//bamA//rhaR//ogt//nupC//mutL//
GlcC-Glycolate_neg	cysB//
GlcC-Glycolate_pos	glpE//cysB//cadC//gntU//napD//rutG//
GlrR-Pasp56_pos	hybO//
IclR-pyruvate_neg	pitA//tdcA//rrsH//ybdZ//
IdnR-5-ketogluconate_neg	secB//pgaA//exbB//
IdnR-5-ketogluconate_pos	puuR//ssuA//cpdB//gspC//gpsA//
IdnR-Idonate_neg	acrD//argD//hycG//
IdnR-Idonate_pos	hypE//cyoC//ilvN//rplD//rutG//
IlvY-2-acetolactate_neg	rrsB//
IlvY-2-acetolactate_pos	phoA//
IlvY-Alfa-acetohydroxybutirate_neg	yfdV//
IlvY-Alfa-acetohydroxybutirate_pos	cyoA//
IscR-[2Fe-2S]1+_neg	appB//rbsA//fau//hycI//znuC//nuoM//lsrF//rnlA//mtlR//fecD//mtlA//malZ//metB//yqaE//phnP//rrfA//rybA//napB//glyA//znuB//rcnA//hofC//sucA//yhiD//tolC//dusB//rplW//ompF//ygaC//pheM//
IscR-[2Fe-2S]1+_pos	argF//aroA//talA//fepG//ydhW//pagP//purK//priB//purL//cpdB//mpl//
LldR-L-lactate_neg	chbF//pitB//yaeP//
LldR-L-lactate_pos	glcB//hha//narI//
Lrp-Leucine_neg	cpxA//dadX//metK//ccmF//hyfR//ychO//ygiB//sufC//argH//uidA//rmf//hypA//gatB//caiA//map//aspC//puuR//nlpD//mgtL//ilvL//agaW//hyaE//yccA//amtB//ygiA//gltA//ycjF//ulaD//argI//rhaA//rprA//mhpT//hofC//narK//cadC//bioF//cheW//glnK//livK//gabT//mdtA//gdhA//torD//icd//ilvI//hybD//pheT//casA//betA//ynfG//cysG//malQ//tyrB//ubiG//tyrB//ssb//gltW//prpE//ugpB//dmsA//pgaB//mgrR//nagA//yhhY//yneM//caiF//upp//yjeF//lldP//glnG//lamB//rhaT//cusF//folE//ydbD//
Lrp-Leucine_pos	glgP//fiu//hybO//livJ//nanS//frdB//ycjX//paaI//azuC//ispE//sdhA//glgB//yeaE//fadA//bioF//fdnG//cytR//ccmC//hyfE//cynX//rybA//dcuD//glpT//pta//dkgB//srlR//slyB//iscA//yeiL//ycjF//evgA//glnL//dppA//sdhB//argP//
LsrR_neg	tadA//micF//phnC//gspO//entE//treR//kbaZ//marA//mpl//
MalT-ADP-Maltotriose_pos	araC//speB//yoaC//yoaC//fixX//fhuA//aaeB//abgA//napG//glpQ//
MalT-Maltotriose-ATP_pos	cheR//idnD//lolB//fimI//alaU//yhhY//livH//dcuS//nuoM//cysK//
MelR-Melibiose_neg	rrfH//modA//ilvL//
MelR-Melibiose_pos	xdhC//uxaA//carA//
MetJ-S-adenosylmethionine_neg	glgA//ybdZ//znuB//mepH//ybdN//fimF//fimF//argF//fliZ//dcuB//yeaE//nrfE//hflC//map//prfA//
MetR-L-homocysteine_neg	glpD//nrdD//
MetR-L-homocysteine_pos	citD//ssuB//yhfA//phoP//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	argP//xdhC//envY//cyoD//dcuC//napH//
MhpR-3HPP_pos	fimF//hisM//yjiY//cheA//ubiC//dsdA//
MntR-Cd2+_neg	mipA//acnB//cysH//dppA//
MntR-Cd2+_pos	hyfA//
ModE-MoO42-_neg	rrfC//ydhU//pgpC//fecI//ppiD//cstA//tfaQ//aer//uvrA//argT//rutD//ugpC//gatY//tdcF//acrF//
ModE-MoO42-_pos	fucA//fumB//sdhC//rpmI//ydhW//hyfF//yfiP//csgE//nrdB//hflK//ebgC//uxaC//mdtA//tap//napC//ynfF//xdhC//lsrC//paaD//gspJ//ydhV//fucP//casD//rutE//fucI//pitA//phoP//gspM//caiT//lsrF//bioF//
NarL-Phosphorylated_neg	tam//hybG//fes//napB//napA//gntP//adhE//yecR//paaG//pagP//dmsB//melR//hyfG//efeU_2//yhjA//hycE//rnlB//srlB//lpd//melR//agaW//dppD//flhC//xdhA//cbl//astB//tnaA//znuA//metE//casE//nanA//hybG//moaE//nrdI//ogt//mtlA//bglG//hypE//dcuD//trpE//galM//yeiP//creC//ydiU//ytfE//entH//hyfH//nrdE//hyaD//nirC//fimA//xdhC//hofB//aceA//tcyJ//rrfF//fucA//cydC//appX//ilvG_2//agaV//paaD//uvrA//nikD//rplB//rbfA//lpxA//appA//rbfA//prpB//malQ//gltD//pstA//gapA//gpsA//mtlA//eda//folA//metR//cysK//yidQ//aldB//motB//yeiB//malK//grxD//
NarL-Phosphorylated_pos	cyoE//ccmH//livF//cydA//gltW//fepC//rplS//dcuB//avtA//hisP//arfB//envZ//sufA//galT//serC//hslJ//rnlA//fhuA//lldP//map//metE//yhhY//glpR//tonB//rpsF//moaE//puuD//nirD//bcsB//melR//ftnA//bioF//hflC//arfB//fadI//ygeH//rrlG//hyaB//glnA//mhpB//borD//nrfE//prpB//glmY//araB//yeiB//
NarP-Phosphorylated_neg	mlc//gadC//yoaG//ybfN//mglB//cspD//cynS//ybiT//ynfH//yfiP//sdhB//ppdD//ahpF//recF//ybdZ//uidB//sdhC//glgA//gntK//ybdN//nrdA//dsdX//fadJ//metQ//hyfJ//dgcZ//ackA//dsbA//purK//dapB//aidB//nrfB//csgB//
NarP-Phosphorylated_pos	xapA//marA//iscU//xdhC//galS//sodA//dppC//ebgA//mhpE//glpD//gspE//torD//oppA//araE//livK//malZ//malM//nuoJ//pflB//yiaJ//mipA//sdhC//cbl//hupB//fixX//ydeP//metB//cysH//dcuA//miaA//rpmI//nrfB//
NhaR-Na+_pos	carB//srlB//oppD//phnI//hisP//
NikR-Cd2+_neg	soxS//modB//cas1//iclR//aceF//astE//
NikR-Co2+_neg	pagP//rrsH//lacA//malM//grxC//hyfJ//
NikR-Cu2+_neg	hupA//infB//fucK//argB//cpdB//ybjG//
NikR-Ni2+_neg	map//sufC//metK//rnhB//tpx//lamB//
NikR-Zn2+_neg	rpsQ//fucK//hycE//waaH//pitB//hyfH//
NrdR-ATP_neg	dctA//torC//nuoC//ompR//ompC//aroM//ivbL//artP//preA//
NrdR-Zn2+_neg	cusR//hyfI//phnC//lrp//purL//phoH//xapB//sucD//cyaR//
NrdR-dATP_neg	dadX//araD//safA//tam//lsrC//aceK//mutY//napG//rutG//
NsrR-[2Fe-2S]reduced_neg	yhfA//galT//idnT//malZ//ulaD//araF//motA//ssuA//alaU//betT//yhhY//artP//sdhB//tpx//envY//mhpR//zraR//hisM//fimG//lacA//dcuS//yfaE//caiT//phnJ//ftnB//ydhW//araD//mhpR//focA//puuA//pyrD//aceK//tyrP//baeR//rrlE//galP//amn//ilvN//glpE//udp//hybO//cysN//hyaF//rpmC//deoC//atoB//metE//yegZ//rbfA//citD//yidQ//xylG//fepG//xylG//nrfE//tpx//sdhD//argE//glgS//artQ//narJ//yeaE//pgaB//tauB//hfq//oppD//artJ//csgG//ssrS//ompC//emrY//norV//xylG//
PhoB-Phosphorylated_neg	focA//ileT//pheT//csgE//lacI//ileV//xylF//katE//malZ//proP//xdhA//argH//napC//
PhoB-Phosphorylated_pos	moaA//sbcD//yciW//rpoE//fur//tpx//cusS//gabD//ansB//glpT//mglB//chbG//arcA//hyfD//betI//argB//ybjG//bglG//trpL//phnI//ptsG//moeB//phoP//patZ//napD//feaR//nikB//fimF//fadD//malP//nikE//gltW//cadA//glgP//fis//metI//yfdE//aaeX//cyaR//malG//putP//alaA//dgcZ//ugpC//eda//dcuD//caiT//caiF//gltB//ydeO//prpD//citE//hycG//
PhoP-Phosphorylated_neg	artM//csiE//melA//ydiU//metC//lsrK//mglC//erpA//cysM//fimD//acrA//
PhoP-Phosphorylated_pos	tdh//rrfA//rstA//gntP//phoB//yccA//rrlA//sbcD//livK//phoP//cusR//preT//argH//mhpD//grxC//metY//fadB//adhE//feaB//sdhB//mdtB//rhaB//pagP//dcuR//pgaC//oppF//garL//xylF//ydeJ//pstB//ilvX//tadA//deoB//csgC//glnL//skp//phnO//nrfF//cydD//ackA//rpsR//sufE//agaA//citC//fhuB//chbF//appB//csgA//casE//
PrpR-2-methylcitrate_neg	tolC//
PrpR-2-methylcitrate_pos	puuE//csgF//cydA//baeS//
PurR-Guanine_neg	glcD//oppD//hcr//ycjX//rrfG//nirB//uxuR//tdh//mdtC//gcvP//rrlA//cpxA//lsrR//napH//grcA//lacY//hemA//phnF//sufB//hycH//idnT//paaC//mdh//phnC//uhpA//ybfN//napF//ccmD//lldR//uhpA//fecE//fucA//rnlB//uhpT//
PurR-Hypoxanthine_neg	ydeN//serA//aer//azuC//dcuB//malZ//yhhY//iscA//lsrG//sufA//ilvN//csiE//entE//casC//hupA//citC//aroA//hybA//pncB//metQ//yojI//araE//manZ//purL//fixA//phoR//sucC//casB//lacA//csgC//trmD//idnD//fucR//araE//
QseB-Phosphorylated_pos	cynS//ompX//gutM//soxR//
RhaR-L-rhamnose_pos	hypA//nrfD//
RhaS-L-rhamnose_pos	rimP//nanC//nikD//
RstA-Phosphorylated_neg	ydeP//trg//rrlH//nanE//argA//
RstA-Phosphorylated_pos	metE//ompR//tehA//hemL//phnL//
SoxR-[2Fe-2S]3+ oxydized_neg	araH//
SoxR-[2Fe-2S]3+ oxydized_pos	pheS//mglB//hydN//
TorR-Phosphorylated_neg	psd//
TorR-Phosphorylated_pos	cyoA//tar//soxR//gltB//pheT//hyaB//glgC//bdcA//napC//
TrpR-Tryptophan_neg	idnK//ssb//rrsA//idnO//ilvA//torD//nuoG//lsrB//ulaB//citC//cas1//uidC//
TyrR-L-tryptophan_neg	astD//polA//gabP//ompW//cheY//rhaD//abgT//gadC//nikR//sodB//cpxR//tdcC//
TyrR-L-tryptophan_pos	citX//yfdV//flhC//
TyrR-Phenylalanine_neg	ssuE//ascF//citC//dusB//ndh//cspE//aceB//phnE_1//treB//xylG//mdtD//cysC//
TyrR-Phenylalanine_pos	malF//nlpE//ybjG//
TyrR-Tyrosine_neg	malM//livJ//lhgO//moeB//csgD//dadA//sucC//araJ//fis//tomB//rpsJ//cpxR//
TyrR-Tyrosine_pos	hisJ//mcaS//ynfK//
UhpA-Phosphorylated_pos	gabD//
XapR-xanthosine_pos	cas2//dgcZ//
XylR-Xylose_pos	ilvG_1//nuoH//argF//nusA//csgF//frc//
ZntR-Cd2+_pos	ssuC//
ZntR-Hg_pos	nagE//
ZntR-Zn2+_pos	osmY//
ZraR-Phosphorylated_pos	idnD//flhD//cysB//
Zur-Zn2+_neg	livG//nrfE//nlpD//agp//feaB//hypE//
