#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	rseB//uhpC//
ArgR-L-arginine_pos	dcuA//envY//tyrP//entF//acrD//
AtoC-phosphorylated_pos	aroH//mhpC//ompR//dcuA//
BaeR-Phosphorylated_pos	caiA//hyfJ//dadX//ugpC//gltU//rrfH//ybdZ//aspA//
BirA-bio-5'-AMP_neg	argE//tauC//sufA//rbfA//agaV//
CRP-cAMP_neg	cpxR//ascF//argP//fimD//gadC//purM//hofP//ung//cytR//ansB//copA//mhpB//bioC//tsaE//argP//citC//metK//ilvN//glnK//malZ//cysJ//caiC//gatY//udp//soxS//trmD//cas2//lldP//ydhX//mhpR//ampE//trpD//motA//hybE//rutD//metQ//xapA//metK//hybE//gltW//cysA//uof//rnlA//nrfC//yjiY//fecB//pck//cheW//pheS//ppiD//glnD//xapB//ispE//motA//nuoB//hflD//preT//grpE//hycG//citG//malX//gadB//betA//metE//galP//mtlA//baeR//lldR//aroM//ygbA//aaeX//ebgA//yfeW//hfq//uidB//fnrS//cusF//hyfF//yccA//oppF//ompT//tadA//rrsC//hyfJ//gspL//nadC//udp//norW//malS//rrfE//tomB//hycD//ilvX//fucA//nrdF//fucU//cyoA//rdoA//metJ//caiT//ccmH//ychH//fucI//epd//citF//ybdN//cpdB//fecR//hycE//dmsA//allC//murQ//tap//cynR//argG//dcuD//fliZ//gatB//araC//glnL//ydhX//tdcA//truB//aroM//yccA//ydeM//casB//ugpC//ptsG//treC//nrdD//purR//ynfG//
CRP-cAMP_pos	prpD//rrfH//ssuB//rrlE//sdhA//napF//cra//mdtD//nac//araB//galE//purB//allD//ygeH//tfaQ//rpsC//bcsC//ascB//tfaQ//copA//purD//xdhC//puuE//focA//aroA//hofM//ppdD//phnE_2//norR//gspC//umpH//yfdV//narI//lolB//rrsD//tsaE//fhuF//treB//caiC//rrfF//malF//narI//gabP//chbF//nrfF//yjjZ//hybF//phnE_2//hyaE//yeaR//chbC//ompT//puuR//tdcF//rpsJ//aer//yegZ//hybO//fepD//napD//tyrP//nuoC//grxC//tauB//tyrR//gltD//cysP//lysU//araB//rpsI//acrB//csiD//acrB//rplC//ykgM//purM//envZ//gspC//ysgA//rpsO//feaB//marB//moaA//malE//nlpE//ydeN//rrfB//mepH//nagC//malS//gltF//artJ//deoA//metJ//glyA//rhaA//dnaA//rrsG//bcsC//rrlC//cra//aldB//puuE//mgtA//araD//hisM//cspD//qseB//purB//trmD//cheR//yaiA//fucI//flhC//rplD//yoaG//nuoC//livF//paaZ//pncB//grpE//gspJ//codB//udp//glpX//phnI//comR//entC//ugpA//rplB//zinT//nirB//trpD//tehB//gatD//gabT//ugpB//pgk//astE//glpD//fliA//rcnB//hha//hycA//prmC//hycG//gspC//fucI//rrsG//glcA//yebE//nanA//rseC//allC//aaeA//argT//rutA//ompR//ftnB//dapD//glpC//aceA//ftnB//ssuD//dsdX//aaeB//ynfE//tdcE//hisP//gltV//ilvD//pheT//iscR//tsgA//aceB//ydeM//nrdA//mdh//xapA//araJ//spf//trpL//katE//treB//ascF//aroA//livJ//artM//qseC//malK//hisQ//alaV//ulaB//nrdA//hpt//glpD//cspE//purL//cyoC//narX//rprA//sufE//yjjZ//yaeQ//rpsP//rplS//glpG//treC//rdoA//nfuA//entD//lacY//ilvM//ptsH//yhjC//manZ//emrK//tomB//putP//psiF//fimH//marB//gatC//rpoE//metY//hyfC//hycE//ldtB//pgaC//acrF//yoaG//ydiU//cysH//hycH//napH//paaI//ansB//iraD//bacA//entC//astB//nrdG//rhaT//alaU//ccmF//acrF//icd//fepA//miaA//atoA//ileT//prpR//lpxB//borD//nuoC//livG//rplB//hydN//cra//gspD//livJ//hycB//hemL//fucA//phoE//ptsH//baeR//paaG//katE//bioB//feoB//gabT//dppC//phnI//purE//flhC//trxA//amtB//agaA//malF//mtr//rrfH//aroA//ilvB//cusR//purA//paaJ//ygiA//comR//yeaR//paaZ//hycD//ydeJ//aroH//xylR//hycG//ygbA//ycdZ//sodB//hycF//cyaR//hisJ//gatZ//glmY//nrfD//acrB//mdtB//mhpB//glpQ//baeR//rnlA//hupA//mipA//tsaE//dsdX//deoB//nuoN//cdd//rplC//manY//mdtD//cyoA//yqaE//cysI//dmsD//mepH//bcsZ//tam//sroD//trpA//rseB//cirA//hdeA//rhaD//hemL//nuoA//fixC//yqjH//hyfB//pyrD//pnp//chbA//fepB//bioB//uxuR//hyfC//cyoE//glyA//ynfH//phnK//tehB//srlB//nuoH//deoB//tnaC//folE//pnp//paaB//arcZ//dcuA//dadX//phnF//focB//nagE//ydhW//rpoH//artQ//uvrA//rpsR//entD//tdcE//ulaC//envZ//tdcB//aceF//aroM//hycA//ygbA//efeU_1//frdB//mdtB//ytfE//glpA//preT//fimH//mgtL//lacI//dcuR//citD//cra//sdhB//lsrD//paaB//narL//mdtB//yfeW//ampD//rstA//tdcG//psiF//folE//creB//yjiY//pnp//ansB//creA//yhfA//fis//ydeO//ppiD//malK//dps//nikR//dmsD//erpA//norV//yfeW//nuoK//fliZ//priB//agaV//galT//pflB//hflC//yfaE//sbmA//livK//uvrA//yojI//
ChbR-Monoacetylchitobiose-6P_neg	cadB//ompW//phnO//feoC//cusB//dadA//
ChbR-Monoacetylchitobiose-6P_pos	yfaE//argI//infC//slyB//gntK//bglG//
CpxR-Phosphorylated_neg	gltA//mutY//rutF//fdnG//caiD//ccmH//phoR//argI//arcZ//hybG//ilvG_2//znuB//pta//argO//ftnB//yjeF//malG//moaB//ispE//hycA//gatZ//puuR//yqjA//hha//
CpxR-Phosphorylated_pos	fimC//purE//gntP//yeaD//psiE//gspF//alaT//trpR//safA//glgP//rseA//feoB//rpsF//hpt//phoR//moeA//pgaA//rrsD//fepE//yhjA//avtA//yhjC//sodB//chiP//narJ//lhgO//pheM//rrsA//ydeJ//csgG//ada//osmY//ulaE//hyfB//casD//creD//rrsC//cdd//allE//norR//astD//acrF//dnaN//hyaE//artJ//
CreB-Phosphorylated_neg	rrsH//atoA//aldA//
CreB-Phosphorylated_pos	argR//uxaA//tauA//betA//ychH//malG//
CueR-Ag_neg	slyB//paaG//creC//epd//hha//
CueR-Ag_pos	phoP//cysM//
CueR-Cu+_neg	fepA//frdD//mtr//citF//caiC//
CueR-Cu+_pos	phnF//hemA//
CuerR-Au_neg	paaE//yciW//entC//frdB//srlE//
CuerR-Au_pos	ysgA//tktB//
CusR-Pasp_pos	arcZ//yrbL//melB//ydhV//araC//nuoH//uxuR//phoP//rimP//lsrK//tnaA//yibN//
CynR-Cyanate_neg	fadE//
CynR-Cyanate_pos	fadL//pta//argA//
CysB-N-acetyl-L-serine_neg	ppiD//nanT//nusA//ampE//hyfI//ulaD//fucR//
CysB-N-acetyl-L-serine_pos	glpE//alaT//lolB//gatZ//zinT//dmsC//tcyJ//argD//argG//purN//pflB//gspJ//prs//mscM//nuoC//fecC//nrfC//fadD//ydiU//araC//infC//emrY//agaW//
CysB-O-acetyl-L-serine_neg	moaA//gntR//lamB//acnB//trpR//fur//fepB//
CysB-O-acetyl-L-serine_pos	argH//fimC//ycjF//pitA//purR//paaC//rpsP//cusR//rcnB//pheM//sbcD//ytfE//pgpC//patZ//hupB//marB//csgA//carA//glnK//mntH//chbB//hyaC//cdd//yfbR//
DcuR-Phosphorylated_pos	rrlE//trpL//yfdV//glnL//codA//mglB//mglA//rrsG//ugpE//
DnaA-ATP_neg	rplW//gspO//astD//mgtL//phoH//phoQ//prfA//hybF//pyrC//garR//nirC//
DnaA-ATP_pos	bdcA//tyrP//ydeP//fixX//phnI//feoB//metH//
DpiA-Pasp_neg	tap//
DpiA-Pasp_pos	safA//recF//cysB//sdhB//rnhB//rpsO//acrE//fnrS//glcE//hcr//
DsdC-D-serine_neg	entC//
DsdC-D-serine_pos	mhpB//cysB//
EvgA-Phosphorylated_pos	aaeB//bioB//cynS//garP//mglA//glpD//argF//trpL//hha//ssb//phnI//marB//crr//norW//srlR//
FNR-[4Fe-4S]2+ reduced_neg	dppF//ccmA//tdcB//ompW//paaK//ulaB//feoB//tomB//casD//rrfD//ispE//csgE//chiP//glnG//rrlB//nuoA//hyaC//pstB//ldtB//ykgR//mntP//dadA//rrlH//gadB//dsdX//yfbR//rrfB//sbmC//nrdH//hybC//argT//iscU//ytfE//lrp//ccmD//nfuA//dkgB//uxuR//atoB//rpsJ//ihfA//ulaD//gatY//galT//glcB//tsgA//lacA//bcsZ//glpA//lacY//rdoA//pnp//deoC//pepT//dmsB//bamE//caiF//pheS//nrdI//lldP//fecA//hycD//rnlB//malZ//fliZ//zwf//infC//aldA//nrfG//torA//xdhC//yeaE//sdhA//narI//srlB//hybE//hofM//arcA//pstB//rutC//cadB//modB//dppF//ybdZ//moaC//lsrG//narX//prpE//ileT//nrdE//rrsA//puuC//ydfN//flhD//rhaD//lysC//uvrA//lysO//nrfD//folE//lsrK//adiC//prfA//glpT//serC//hisQ//tap//yhjC//glpD//hyfA//sodA//chiP//rplI//ygiB//frc//argR//phnM//dmsD//speC//nanT//
FNR-[4Fe-4S]2+ reduced_pos	bioD//rpsJ//nupG//hupB//phoH//rutD//gntR//ydiU//malT//nagC//sdhD//phnI//casB//chbG//puuC//lpxD//prpR//ugpC//zinT//ydeA//tpx//rmf//metR//ackA//rhaR//ompR//argO//araC//dsdA//rybB//bglB//ydiU//fepE//aer//allD//malY//torR//creA//aidB//fucO//focB//bcsB//yjjZ//mgrR//tolC//argB//astC//dkgB//iscA//tfaQ//putP//bioF//cysD//purL//rrsG//stpA//rrsB//glpD//hyaA//zinT//fimC//ydeO//sohB//xylF//betT//artM//hisQ//skp//paaB//feaB//feaR//fldA//phoQ//lldR//ydeP//pepT//cirA//dcuR//ybiT//mhpE//aer//gltU//ydhT//tdcB//lsrB//napG//gabT//dppA//gcvT//narI//nikR//nirC//acrB//rplC//galS//icd//psiF//nlpE//fdnG//tadA//rrfB//rrsG//phoB//kbaZ//glpK//rpsC//glyA//sodB//lacY//hha//sufC//ssuB//hybA//tauD//paaC//baeR//torC//nrfB//pgaD//sucC//ykgM//lpxB//zraP//tcyJ//ubiC//deoB//garR//nirC//dmsA//hflC//nuoB//yojI//mgrB//paaH//yecR//dnaE//yaeP//moaB//glpK//ydhY//dkgB//dmsD//rimP//pdhR//aer//gcvT//nanM//aldB//gcvP//deoD//comR//purC//phnE_1//nlpE//edd//gatC//yecR//fecD//glgP//purA//guaA//hycC//prpB//fecA//malP//ilvA//glyA//fecC//entA//fhlA//soxR//ppiD//hycC//rseA//asr//astB//dpiA//tdcA//uhpC//fucI//sdhD//ptsI//marR//pdeF//ssuC//napF//gadC//ugpE//nirB//rimP//malP//araG//malX//appY//fecC//psiF//sufA//ulaB//gspM//pflB//trpD//galM//
FhlA-Formate_pos	preA//lysU//sufA//tauA//hofC//yoaG//mdtB//hyfD//gabD//frdA//phnI//nuoC//hisM//fucU//paaC//ilvG_1//pck//metA//mdtC//chiP//dcuR//phnG//avtA//aaeB//mutL//ugpB//yqjI//hyaE//citC//fepE//
FucR-L-fuculose-1-phosphate_pos	ulaC//nanS//purL//ugpA//gltB//ilvH//gspO//
Fur-Fe2+_neg	phoP//xapA//bcsA//prs//dnaE//hybC//tdcG//phnI//rrfH//glpG//malQ//lpxD//cheW//mhpD//tdh//gltB//rplM//abgB//gspF//tar//frdA//sufB//mutL//hflC//sufE//allD//mtlR//efeU_2//yfaE//ynfG//yrbL//ppiA//puuP//csgB//dgcZ//proP//aroM//rplM//alkA//treC//ulaF//bioF//cra//frdB//appC//ydhV//iclR//yhhY//araC//fhuA//atoD//amtB//asr//mtlD//artI//pitA//exbD//cadC//xdhB//appC//udp//pdeF//ydeN//lsrB//yfaE//rseC//purN//iscR//rhaA//ndh//cysN//psiE//ubiC//trpD//idnD//tsgA//caiD//rpsR//mhpB//xylF//nupC//fbaA//pdeF//oppC//narH//hdeD//ccmH//tolC//appX//atoD//rnpB//slyB//xdhC//bglF//epd//acrF//hycF//ydfH//caiD//ilvB//codB//ilvH//tolC//marB//treB//hybB//puuR//hyfB//evgA//uxaC//araJ//rutC//efeU_2//metN//slyB//hyfD//manZ//fiu//preT//yjiY//cdd//mhpE//uxaC//ynfE//
Fur-Fe2+_pos	speB//rpmC//garR//ilvG_2//ssuC//cyoB//rrlH//fucA//napB//ilvG_2//xapB//fimI//fimC//phnE_2//evgA//malI//nikB//hemA//hyfC//nrfF//rseC//acnA//nrfG//gyrA//rplI//
Fur-Mn2+_neg	yibN//hyaD//dppD//mtr//hydN//fnrS//znuA//soxS//mdtC//serA//rrsH//ynfG//fdhF//pgpC//slyB//lolB//uxaB//gspD//idnR//gltV//gatB//metB//emrK//csgA//nrdA//yfdV//pgaA//lacA//astB//rdoA//tdcD//tauB//yeiW//yeiL//dkgB//lysU//nuoB//hybO//gspO//gltW//alaV//artQ//nrfB//cysK//araA//fixA//yggX//fepD//cpxA//tauA//purR//cheW//gspI//rrlC//agp//dusB//purA//hyfE//ptsI//emrK//mepH//ssb//zraS//gpsA//recF//lsrF//dsdC//murP//ilvB//pgaB//srlD//hyfJ//artP//hypF//rrfF//zinT//serA//aaeX//caiT//allC//malF//ampE//sodB//nfuA//mglC//dcuR//metY//aceK//entE//cynR//nohA//ileT//sucC//yqjA//csgB//fhuF//rhaA//argE//micF//sufC//dapD//hlyE//cusA//qseC//allE//galT//dctA//qseB//alaV//iraD//rrsC//fucO//ssuD//purD//rnhB//glgX//nrfC//tdcF//abgA//pck//lhgO//rhaB//lsrA//yhfA//
Fur-Mn2+_pos	ynfF//astA//fadD//patZ//phnE_2//garR//rplW//paaE//cynS//rrfE//glpT//exbD//folE//entC//citD//rseC//yjeV//rrsC//ansB//rbsR//ilvE//metE//oppB//cpxA//entF//
GlcC-Acetate_neg	srlR//
GlcC-Acetate_pos	glpA//phnG//cynX//xdhA//rrlG//crl//
GlcC-Glycolate_neg	yidQ//
GlcC-Glycolate_pos	phnK//yfdE//nrdA//yedX//phnP//ynfK//
GlrR-Pasp56_pos	pepT//
IclR-pyruvate_neg	uhpT//yegH//hflD//fadD//
IdnR-5-ketogluconate_neg	dsdA//feoB//prmC//
IdnR-5-ketogluconate_pos	ydeO//aroP//fimC//ssb//uidB//
IdnR-Idonate_neg	dnaE//tdcA//iraM//
IdnR-Idonate_pos	sbmA//hyfI//nanK//hybE//pyrC//
IlvY-2-acetolactate_neg	rpmI//
IlvY-2-acetolactate_pos	exbB//
IlvY-Alfa-acetohydroxybutirate_neg	lsrA//
IlvY-Alfa-acetohydroxybutirate_pos	ssuC//
IscR-[2Fe-2S]1+_neg	metK//dapB//zntA//dcuD//yjeV//yaiA//manA//purA//gntX//hyfC//aceE//sufC//narJ//pyrC//yeiW//lacA//rdoA//nanA//zinT//amn//ydhT//fepD//sufB//bamA//mlc//narX//dcuR//pgaD//rpsF//yeaD//
IscR-[2Fe-2S]1+_pos	galM//hcp//fhlA//mutL//uidA//oppF//rseC//uxuA//rhaA//yiaJ//glpX//
LldR-L-lactate_neg	trpA//fliZ//cysM//
LldR-L-lactate_pos	ssuE//gltT//cusF//
Lrp-Leucine_neg	citE//lacI//torA//araF//hofB//entS//ydhW//purK//eda//metB//srlB//aceK//casE//manA//lysA//acs//paaF//crr//tadA//nanE//phnJ//feaR//fliA//gcd//rrfG//tdcB//erpA//argP//nuoB//metC//cysI//cydC//frdA//csgE//mscM//prs//speC//fucU//fecC//norR//nuoF//cusB//lldR//hyaF//tcyJ//feoA//puuE//fucA//yrbL//iclR//argF//cysA//yciW//serC//feoA//cheY//araC//malM//edd//glcC//ygiA//infC//metY//oppD//yecR//emrK//mgtA//ulaA//azuC//napG//metI//glnL//oppF//hflX//lysP//
Lrp-Leucine_pos	rpsQ//efeU_1//murP//argE//nanE//rrlB//rpsQ//citE//hdeB//nrfE//ssrS//ysgA//ugpE//nrfD//ppiA//ydeA//dmsD//aroM//puuB//lpxA//rplD//ccmG//lacA//appB//cusC//fepC//idnO//icd//nrfE//cstA//puuP//idnR//ampE//grpE//bioF//
LsrR_neg	nagA//abgB//rbfA//sdhA//yeaR//srlD//hycC//copA//hemA//
MalT-ADP-Maltotriose_pos	fhuD//purC//borD//alaU//gltB//gabD//gutQ//rpsQ//entC//hofM//
MalT-Maltotriose-ATP_pos	trpD//ompA//uof//ssuC//mltC//fes//ysgA//exuT//oxyR//aldA//
MelR-Melibiose_neg	cysH//rplW//spf//
MelR-Melibiose_pos	acnA//mepH//appB//
MetJ-S-adenosylmethionine_neg	purL//agaV//paaG//cysN//dppD//pstA//srlE//nagE//moaE//ubiA//fdnI//napH//glpE//lpxA//purL//
MetR-L-homocysteine_neg	ccmC//ampD//
MetR-L-homocysteine_pos	citE//amn//gspK//prpR//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	gatC//pepT//hypA//fadI//dmsA//csgC//
MhpR-3HPP_pos	fimG//acrE//rrfC//deoB//alaA//cadB//
MntR-Cd2+_neg	hyfG//rpsI//livH//fucR//
MntR-Cd2+_pos	rhaD//
ModE-MoO42-_neg	gltD//cyoE//trxA//agp//focA//ssuE//cas1//creC//purN//sufD//rbsR//hyfE//icd//yhcH//cysJ//
ModE-MoO42-_pos	entE//infC//soxR//hybG//ilvX//dsbA//appC//bglB//nlpD//hypF//idnR//motB//metI//chbF//cueO//rutD//creC//metE//exbD//yegZ//hycF//amtB//rrfG//tdcA//ydeO//dcuA//pagP//torR//ascF//copA//rhaS//
NarL-Phosphorylated_neg	rpsO//metA//aaeB//exbD//nrdF//miaA//alaU//tnaB//nirC//raiA//mdtD//moaD//paaI//fau//artP//cyoE//ilvG_2//caiF//acrA//hisJ//tolC//fhuF//phnL//sdhB//cusB//tyrB//mhpC//feoA//dppF//uhpB//rplW//osmY//bglB//borD//cheW//ileT//dsdC//slyB//fadI//srlD//purM//citC//fliZ//glgX//yfdE//cusA//bdcA//abgB//caiT//cstA//malG//aroL//patZ//paaI//tsgA//yrbL//cysD//paaG//rdoA//pheM//bglG//hybO//hycI//rpmC//mpl//polA//ubiC//mntP//hupB//ftnB//mdtB//ygiC//prmC//phoP//fecB//yciW//yidQ//focA//osmY//entH//nagE//nohA//rseA//hyfE//yedX//uxuR//
NarL-Phosphorylated_pos	tam//entC//hlyE//ilvA//rseA//frdD//fucU//entB//rrlA//ygeA//lrp//glpR//moeB//hisP//rbfA//ychH//csiD//acnA//rpsS//aidB//nuoB//creB//hypC//nrdE//phnL//fepG//hmp//gapA//xylB//lsrD//yfiP//citG//mhpF//uxaB//gspJ//fimF//fdnG//ileU//uvrA//pgk//narK//fimD//alaS//tyrB//nirD//aroA//
NarP-Phosphorylated_neg	bioD//trpE//znuB//glcA//sufA//melA//puuC//tar//micF//ilvL//gspC//sbmC//rutA//fimC//lpd//arfB//yibN//ybdZ//treC//metK//focA//fepD//tehB//hflX//rpsF//atoE//nrfG//nagC//mtlA//gspD//mcaS//ryhB//ssuE//
NarP-Phosphorylated_pos	betI//hflK//fadA//hisP//ilvL//metF//csgE//modC//uhpT//glcE//paaD//dps//oppA//citG//tsr//garL//hyfH//iraM//uof//ygbA//chbR//purC//glnB//aroL//aceA//csgG//ykgO//tyrB//gntT//phoU//rbsK//gatC//
NhaR-Na+_pos	spf//soxS//proP//fimC//entB//
NikR-Cd2+_neg	oppA//torC//fepG//dcuS//bamA//katE//
NikR-Co2+_neg	lsrF//prpC//yoaC//ycjF//glgB//prfA//
NikR-Cu2+_neg	astC//ycjX//dnaN//phnO//xdhB//nrfE//
NikR-Ni2+_neg	paaI//gspE//purE//yjcH//ynfG//rrlC//
NikR-Zn2+_neg	ilvM//sucA//yfeW//rplP//dcuR//psiF//
NrdR-ATP_neg	deoA//ilvG_1//moeA//hybA//fumB//caiD//dkgB//yfiP//bdcA//
NrdR-Zn2+_neg	fdnI//gltV//alaT//phoR//hybF//rplS//yegZ//nrdD//gabD//
NrdR-dATP_neg	gpmA//bcsC//hycF//waaH//baeS//marA//hyaA//serC//sohB//
NsrR-[2Fe-2S]reduced_neg	araF//ftnB//hypF//nanC//evgS//aer//fhuD//gspO//allD//hyfH//narQ//folE//copA//yjeV//yaiA//nikR//dmsC//metH//cysN//osmY//malS//phoU//fecR//ileV//umpH//purE//phnE_1//ydhU//lacA//grxD//zraS//rrfF//putP//hofO//aaeB//caiD//asr//tdcE//ssb//galS//sufD//gadB//astC//nuoH//ugpE//chbG//hypD//rrfA//norV//ftnA//rrlD//nupG//zraP//yciW//malG//cheR//casB//hycE//rseB//hyfA//agaW//cynX//alaV//rimM//paaA//tehA//glcE//lysU//phoP//torC//cusC//hflC//hyfB//
PhoB-Phosphorylated_neg	ydfN//hycC//amtB//pgaA//rrlD//alaA//galT//sdhA//nrdH//arfB//garK//xdhA//hybA//
PhoB-Phosphorylated_pos	cysC//nuoE//entH//yfiP//hyfI//gpmA//tap//gspM//aroG//cueO//casA//yeaD//glpA//ssuA//pstS//fepE//nanT//nrfC//nuoG//patZ//alkA//pgaD//ilvY//ydfN//ascB//modB//rrfB//folA//deoD//frdA//rbsD//fes//tomB//idnD//feoB//xylA//yqaE//glpC//yjiY//mhpC//preT//nrdF//ydfN//abgB//lsrR//fepB//carA//nuoI//galE//rbsD//astA//srlE//alkB//
PhoP-Phosphorylated_neg	csgA//allC//fbaA//fecR//purD//ftnB//nuoF//entE//mtr//rprA//allD//
PhoP-Phosphorylated_pos	argD//bioB//citC//purN//grxC//ilvC//motB//ppiD//rnlA//dusB//narH//asr//mntH//ytfE//rrfE//srlD//creD//mdtD//agaA//sbmA//csiE//rbsR//rrfB//tsx//fhuF//agaV//ilvA//malF//fdnG//hybD//prmC//dmsB//manX//prpB//ykgM//mgrB//fecE//ansB//tam//acs//trpC//fabZ//hybG//malI//glnD//frdA//cdd//zinT//cyoB//
PrpR-2-methylcitrate_neg	hemL//
PrpR-2-methylcitrate_pos	rrlB//prs//araC//mgtL//
PurR-Guanine_neg	tcyJ//nuoC//garK//aspA//yegH//pagP//metR//caiC//uvrA//ccmH//araA//cdd//citF//acrA//hyaE//hycH//adiC//cyaR//fecR//mglB//fecB//srlR//ampE//nadC//malI//hybA//idnO//aroA//xapA//glpD//ydhY//rimP//ygeA//ybjG//
PurR-Hypoxanthine_neg	ugpQ//nrfD//malF//aroM//yfiP//mtlA//treB//psiF//ykgO//gltT//hdeA//sodA//ptsI//ompR//creD//yeiB//nuoJ//nlpE//pepT//srlB//ygeA//cyoE//ynfE//nrfE//pflB//rpmI//gspJ//gltV//rplM//nanS//ihfA//fecD//dcuD//fecI//
QseB-Phosphorylated_pos	csgE//rrlE//phoB//aer//
RhaR-L-rhamnose_pos	ssuE//ydhY//
RhaS-L-rhamnose_pos	hydN//ccmG//agaV//
RstA-Phosphorylated_neg	caiF//phoB//rrfD//nanA//trpE//
RstA-Phosphorylated_pos	trpC//murQ//nusA//rplM//xapA//
SoxR-[2Fe-2S]3+ oxydized_neg	yeaD//
SoxR-[2Fe-2S]3+ oxydized_pos	marR//srlD//dsdX//
TorR-Phosphorylated_neg	nrfB//
TorR-Phosphorylated_pos	aceA//xdhC//nrdD//copA//rrlD//ydiU//yrbL//purE//fbaA//
TrpR-Tryptophan_neg	ygeH//mepH//casE//lolB//rrlC//pdeF//moaB//rdoA//cydB//ugpA//paaD//tsaE//
TyrR-L-tryptophan_neg	ascF//gadB//rpsF//preA//uhpC//astE//yhiD//hycB//yfdX//phoA//umpH//tonB//
TyrR-L-tryptophan_pos	yoaG//fepA//lysU//
TyrR-Phenylalanine_neg	hycF//metK//nrfG//xseA//purB//aer//metN//hypA//tehB//arcZ//nanA//araD//
TyrR-Phenylalanine_pos	rbsR//prmC//dcuB//
TyrR-Tyrosine_neg	nfuA//oxc//cysM//infC//argT//csgG//napH//argA//moeB//ydeP//aroA//qseC//
TyrR-Tyrosine_pos	gltW//citC//entC//
UhpA-Phosphorylated_pos	uof//
XapR-xanthosine_pos	rrlE//cysD//
XylR-Xylose_pos	cyoA//rrlG//alaA//acnA//ihfA//rrsG//
ZntR-Cd2+_pos	citD//
ZntR-Hg_pos	gspE//
ZntR-Zn2+_pos	abgT//
ZraR-Phosphorylated_pos	nikB//araB//ilvG_1//
Zur-Zn2+_neg	ptsG//alkB//dsdA//cas2//prpE//yfdV//
