#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	cas1//epd//
CysB-N-acetyl-L-serine_neg	yaeP//mdh//nikA//ykgR//abgB//rhaB//cyoD//
CysB-N-acetyl-L-serine_pos	eda//fhuF//phoU//cyaA//ynfG//yegZ//emrK//malY//feoB//ygiB//fixX//fimF//cheB//cyoA//betT//ybjG//hypE//fecB//yhjC//casA//ygaC//pnp//hcr//
CysB-O-acetyl-L-serine_neg	nac//glpD//ygaC//fnr//fepD//glcF//csgB//
CysB-O-acetyl-L-serine_pos	phnM//slt//hyfH//znuA//glcB//dadX//znuA//citD//aspC//astD//nrfC//cusR//mtlR//tehA//rybB//yhjA//chbB//ppiD//lldR//sxy//ptsH//emrK//sodB//mltC//
DcuR-Phosphorylated_pos	arfB//fimG//recF//speA//rpsS//yhjA//rprA//ryhB//phoE//
DnaA-ATP_neg	livM//nikE//ilvH//gatZ//hybO//yiaJ//araD//dmsB//glpQ//uxaC//rrfC//
DnaA-ATP_pos	ascB//uhpC//ansB//aceF//galT//aroP//mntP//
DpiA-Pasp_neg	malG//
DpiA-Pasp_pos	livG//yedX//mntH//yeaD//hha//rrfG//rutD//secB//lysC//ilvN//
DsdC-D-serine_neg	xdhC//
DsdC-D-serine_pos	nanM//bioC//
EvgA-Phosphorylated_pos	pgk//fepA//purR//tehA//glnG//hycG//fadL//csgG//mglB//aroL//rhaS//argH//gspD//entS//fecC//
FNR-[4Fe-4S]2+ reduced_neg	metR//mhpT//hybE//yjjZ//gatD//metY//rseA//cheW//purB//sxy//rrfB//glpD//yfiP//mglB//yedX//zntA//ftnB//fis//yfeW//pyrD//ilvM//nfuA//rplP//epd//psiE//garK//ccmB//gspM//hflX//gcvP//manA//mglA//xylR//kbl//ascB//narJ//tehB//nlpD//mscM//rpmC//gcd//cpxA//lysP//lpxB//znuB//ptsI//aaeA//cynR//iscS//rrlD//allD//abgT//pheS//uxaB//fucO//phnP//rimP//ykgR//prpE//feaR//artI//nrfD//edd//hybA//rplV//fhuB//deoB//phnC//ompC//acrF//ulaA//paaG//fes//recF//ydhU//psd//gadB//hdeB//speA//katE//evgA//cyaA//argO//livG//rimM//fecC//znuB//hyfG//bacA//hypB//aroH//priB//fucU//zntA//nirC//rutE//rmf//tnaB//pnp//srlD//iscS//ydfH//pstA//lsrD//appB//ulaE//dadA//secB//appC//pheT//fliZ//hpt//ilvH//hemA//pyrC//crl//gltU//gspI//ynfK//ompW//
FNR-[4Fe-4S]2+ reduced_pos	ascB//cusA//murP//hybB//frdC//ysgA//aroF//tauD//miaA//nrfF//metR//rrfG//hybC//ryhB//ilvA//fimH//nuoM//glcD//flhC//sufB//rmf//araB//yeaD//aldA//sxy//argT//argD//rutE//focA//ssuE//lsrA//rrlA//manX//yeiP//amiB//tcyJ//mhpD//gabT//fepB//paaC//phnI//tonB//nrfD//entB//ccmG//pstS//dnaA//tsaE//cyoB//rdoA//creB//cydB//cynX//ygeH//phoU//glpD//hypF//hdeA//fimG//lsrR//crl//rrsG//fhuB//mhpB//nfuA//nrfE//acrE//sufC//codB//manA//marA//hycD//hyfG//araD//yfdE//hflC//ppiA//amiB//cpxR//chbB//rrfA//pflB//caiE//glnG//cynR//fepG//nuoG//nanE//yhfA//talA//nrfB//phnM//nuoF//nanM//hypA//rprA//ynfF//paaA//epd//moaE//treR//ampE//murQ//malG//gapA//ydhT//iscS//malF//fixC//arcA//paaJ//guaB//patZ//aroM//lpxA//cusF//melR//fldA//rpsC//rhaA//ybdN//glnG//mtlR//chiP//rrlE//uxaA//puuA//yciW//hpt//metI//nrfD//cspD//nuoE//ileT//rrfG//ldtC//hyfJ//lolB//lolB//pstS//hflK//cspD//gatB//zinT//uof//yhfA//artJ//eda//nikD//flhC//pdeF//hypB//glcA//glnG//rseB//nupG//nlpE//rrfE//ftnB//truB//pstB//csgF//ogt//dcuC//glgP//artP//rrlC//ccmD//tap//cpxR//yedX//ykgO//ydeJ//phnI//nlpE//ileT//sbcD//ilvM//ygiA//gltF//ilvA//yjiY//caiA//dkgB//nanK//trpB//garR//yjcH//araA//feoB//gatA//mdtD//rdoA//rrfG//entE//alkA//ccmH//fabZ//tauA//hisQ//hypF//alkB//
FhlA-Formate_pos	astE//artQ//lsrG//cydB//mntS//aaeA//ssrS//psd//appX//moaE//mhpE//tpx//ung//melB//lysP//sbmA//oppB//zinT//pheT//ccmF//hydN//nuoB//aaeA//betA//skp//lsrF//proP//hypE//secB//lysU//
FucR-L-fuculose-1-phosphate_pos	deoC//prpE//stpA//dnaA//manZ//uraA//ompA//
Fur-Fe2+_neg	glcD//lrp//cynT//torC//treR//livM//tehB//cusA//rplB//nuoI//alaT//manZ//sodA//trpA//puuA//malM//preT//frdD//lysP//xylF//ftnB//malY//polA//rmf//glpQ//treC//trpR//pheT//ndh//aroF//uhpC//astE//baeS//argO//pyrC//cusF//cheA//metJ//iraD//entB//phnJ//nanM//gpmA//artQ//glpK//phnE_1//paaZ//efeU_2//mdtC//baeR//ackA//sdhD//waaH//torA//yfeW//cadA//manZ//yfdV//creC//lysO//dppB//lpxA//pstA//nupC//pheM//tauA//rrlH//aspA//caiB//dppC//dpiB//rhaT//yaeP//livM//yjcH//nikE//galE//dppB//lsrR//cadA//lacI//ydeJ//fhuB//moaC//prpC//rrlG//actP//tehA//tsaE//mglA//csgB//mutY//csgG//gpsA//argH//hyfD//nirD//glpT//ssrS//sohB//rrfF//nuoL//treB//rrfE//aaeR//nrfD//puuE//lsrK//ubiG//alkB//ppiA//bcsZ//ilvE//gspH//dppD//yfiP//purH//nlpE//gltF//ybdN//cadA//xylB//phoU//hypD//
Fur-Fe2+_pos	rutE//dppD//fur//entF//entE//napA//phoE//gabD//fnrS//ilvY//aer//fucP//ung//gspD//tcyJ//nrfD//tdcC//phnE_1//idnD//idnO//gnd//motB//hha//iraM//gatC//
Fur-Mn2+_neg	mhpB//tauC//ebgA//ccmE//tyrR//hypD//metF//ompW//acnA//exbD//serC//tar//srlD//zntA//lysU//feoA//comR//rrfA//mzrA//tdcB//pstA//cbl//moeB//xylA//narJ//lpxD//gdhA//gatD//ompW//ysgA//ulaE//betB//trpC//torA//fbaA//lsrF//ycjX//cpxR//glcC//hyfR//yjeV//ynfG//astA//pncB//garP//nuoA//cvpA//yrbL//sbcD//lpxB//galK//aaeA//marR//cysP//kbaZ//cheZ//ugpC//betI//norV//tsr//narL//srlA//cynT//cusF//rrfH//avtA//prpD//pflB//exbD//nuoN//metB//garL//rpoH//hyfR//ompF//fdnI//bcsZ//yqjI//lacY//phnC//pheT//baeR//ompT//rrsH//fes//cstA//rrfD//purF//ccmH//hypB//envZ//ychO//codA//dcuD//copA//uxuA//hycH//fhuB//focB//gltT//yhjA//eda//hflK//manY//rrsD//ampE//nuoF//folE//chbB//purD//yccA//ydeO//glgC//bioF//fucR//mdtD//mpl//ileT//hflC//gltB//ftnB//agaW//xylR//acrB//
Fur-Mn2+_pos	envY//rrsB//hdeB//speA//ygbA//pgk//aspA//casD//fecI//grcA//moeB//nuoB//gatC//phoE//nrdI//cysD//galK//ycdZ//skp//astB//mdh//creB//ilvL//manY//yjjZ//
GlcC-Acetate_neg	ldtB//
GlcC-Acetate_pos	hybD//sufC//lsrB//cheA//yciW//rrsA//
GlcC-Glycolate_neg	hybO//
GlcC-Glycolate_pos	betT//nrdG//ileT//zntA//napG//rrsD//
GlrR-Pasp56_pos	glpQ//
IclR-pyruvate_neg	focB//oxyR//tdh//ykgO//
IdnR-5-ketogluconate_neg	epd//chbB//rrsG//
IdnR-5-ketogluconate_pos	uxaC//pstB//fdhF//oppD//ulaE//
IdnR-Idonate_neg	waaH//nanC//osmC//
IdnR-Idonate_pos	cbl//ssrS//ptsI//nuoH//iscU//
IlvY-2-acetolactate_neg	gspH//
IlvY-2-acetolactate_pos	metA//
IlvY-Alfa-acetohydroxybutirate_neg	uidB//
IlvY-Alfa-acetohydroxybutirate_pos	safA//
IscR-[2Fe-2S]1+_neg	pitA//malT//lamB//putP//ebgA//moaC//guaB//srlR//hisM//yibN//oppC//truB//agaV//sbmC//cpxR//appY//gabT//chbB//glpB//metY//ydfH//fhuB//aroP//fadI//zraS//lysP//hofN//cueO//nuoN//sdhD//
IscR-[2Fe-2S]1+_pos	rbsA//purD//nagA//oppD//metC//ygeA//cydB//efeU_2//tap//dpiB//sucB//
LldR-L-lactate_neg	ybiT//chiP//zntA//
LldR-L-lactate_pos	znuC//ccmH//lhgO//
Lrp-Leucine_neg	narI//exbB//rseC//nrdD//umpH//hyfJ//uidB//acnB//phoB//yhjA//csgG//napA//entF//lysU//uhpA//dsbA//fhuB//nusA//trg//lsrF//feoC//psiF//gspO//motA//paaD//ssuB//aceA//yoaG//nusA//xylG//ydeN//tyrP//yqjA//phnI//ilvB//ppiD//uidB//uidB//bioB//pgaA//fadE//rbsK//ugpQ//nagA//raiA//pheT//motB//putP//entE//baeR//glcB//ccmD//ygbA//astA//cynR//rrfF//motB//purC//hyfR//grxC//bioD//csgC//mdh//nrfG//nupC//dmsA//purN//oppF//crp//flhD//fliZ//znuA//glyA//dmsC//artQ//
Lrp-Leucine_pos	glpR//hyfR//ygiA//napC//sbcD//chbF//deoB//nuoF//ugpQ//rplW//rrsE//evgA//yfdX//tdcG//ftnB//hycF//ssrS//rnhB//mhpE//cydB//srlA//envY//moaB//sdaA//purF//fumC//rprA//gspL//rbsR//ilvB//napC//preA//hycD//malP//nuoI//
LsrR_neg	tauB//slyB//dcuS//tdcA//appA//nrdG//polA//yhjC//fadE//
MalT-ADP-Maltotriose_pos	nuoK//rutA//ydhX//rplI//acrF//purH//entE//phnH//rplM//rrsB//
MalT-Maltotriose-ATP_pos	prpR//pyrD//tap//nrdF//ygaC//trpD//glyA//acnB//astD//sodB//
MelR-Melibiose_neg	hypE//carB//dusB//
MelR-Melibiose_pos	copA//tyrP//prmC//
MetJ-S-adenosylmethionine_neg	srlR//ldtB//zinT//bioA//hybG//sucB//rpsO//fimI//ygiC//chbB//pagP//cyoC//manA//ybdZ//arcA//
MetR-L-homocysteine_neg	paaG//atoD//
MetR-L-homocysteine_pos	yfdX//rimM//ilvC//envY//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	mhpD//dppB//rpsS//hycE//sucA//fis//
MhpR-3HPP_pos	dusB//rbsB//waaH//nikC//ydiU//dkgB//
MntR-Cd2+_neg	chbG//ompW//ybiT//casB//
MntR-Cd2+_pos	oppC//
ModE-MoO42-_neg	aaeR//trg//glpE//mipA//nfuA//uhpA//rpmI//ilvY//dadA//ompF//tam//kbl//hyfB//metJ//nmpC//
ModE-MoO42-_pos	creC//bcsC//emrK//ynfH//malK//csiE//ftnA//allC//rhaR//soxS//map//treR//sdhC//bioB//cas2//fucU//bioA//nusA//fadB//yccA//gntX//gatY//slt//tap//lsrD//aaeX//rcnB//yhcH//yaiW//ydhX//chbC//
NarL-Phosphorylated_neg	entD//cysJ//acrA//cyoD//baeR//nikB//nrfD//srlD//rmf//nuoG//nrfE//ilvL//aceF//flhD//chbA//sodA//csgD//modB//dcuB//hyfF//hflK//uidC//eda//tyrA//yebE//iscU//alkA//rprA//exbB//rseB//pgpC//yrbL//casB//qseC//ilvX//lacA//ebgC//recF//ilvL//frdA//nikR//cydA//crl//cusS//csgB//pstS//fhlA//ccmE//ydfH//purE//yecR//fepA//paaD//melA//ompA//rcnA//aaeB//astB//ldtC//tauC//cspE//eda//hcp//ugpB//hdeA//leuE//alkB//tehA//aldB//prpE//hybE//glpG//malP//hycD//yhfA//fixB//rrfE//csgA//priB//metF//caiA//gutQ//hycB//hflC//fhuD//paaH//
NarL-Phosphorylated_pos	purN//emrK//gcd//metQ//galK//artQ//mdtA//ytfE//phnJ//caiA//acrB//eda//ubiC//gatY//pstA//hybO//rrlB//prpB//yccA//csgA//zraS//gltW//araE//ahpC//malG//ydhV//sxy//ynfE//melA//gcd//pgaA//dapB//casB//fepA//malM//galS//hyfH//creD//astC//glpC//fecB//ydfH//rseC//ompA//nikD//lysC//
NarP-Phosphorylated_neg	thrV//mntS//gatD//baeR//rhaT//sdaA//mipA//aroH//ygiB//fdnH//hupA//aaeB//napB//hyfH//aroG//livM//putP//yggX//hyaC//gabT//dapD//ybjG//nanC//purD//moaE//garP//ihfA//csgG//appX//hycB//araH//atoD//ilvC//
NarP-Phosphorylated_pos	nuoG//ndh//csgG//ydeO//cbl//gltB//upp//csgG//soxR//codA//pheS//ccmE//ampE//rpsI//rdoA//udp//deoC//gatA//chbB//rrlE//dmsC//osmY//envZ//yhiD//sdhB//hyfR//tauA//hupB//metE//kbaZ//ulaF//cyaA//
NhaR-Na+_pos	rbsK//kbaZ//agaW//ybjG//phnM//
NikR-Cd2+_neg	gspM//caiT//dnaA//hycD//katE//feoB//
NikR-Co2+_neg	ascF//narX//frc//rbsC//hyfD//ycjF//
NikR-Cu2+_neg	actP//mntP//csgD//gspF//hslJ//gcd//
NikR-Ni2+_neg	fis//yeiP//cynX//purK//ahpC//cpxA//
NikR-Zn2+_neg	lacA//nuoC//dpiA//pstC//trpA//uraA//
NrdR-ATP_neg	malX//lsrF//guaB//purK//ydhT//mgtA//rpsQ//tdcF//hslJ//
NrdR-Zn2+_neg	tauD//astE//rrfC//tdh//treC//borD//tdcF//metL//katG//
NrdR-dATP_neg	artM//nanT//cheR//cheZ//cytR//rrsE//caiC//rplV//paaH//
NsrR-[2Fe-2S]reduced_neg	yegH//evgA//slt//fadD//ybiT//bglB//metR//lacY//yoaG//ilvY//cas2//livF//pitB//gabD//creD//ynfG//glcE//rplW//infB//sucD//ycjX//nagA//ssuD//tsgA//atoD//rhaB//acnB//ompW//cpxR//lldD//tyrP//fepB//ascF//rrlE//argF//spf//fecB//phoA//nuoF//modB//garL//metH//ssuA//glnG//rutA//rmf//glpB//ubiG//bioC//zinT//ompC//rrsG//gadB//rbsA//nanM//dsdC//ldtC//lhgO//fecB//hybC//ldtB//trpB//ilvX//ynfF//sodB//fdnG//betB//mgrR//ilvC//gatA//agp//metF//glcC//
PhoB-Phosphorylated_neg	srlB//glpG//oppA//aer//glnK//paaA//ansB//murQ//ilvI//metC//nikA//sodB//alkA//
PhoB-Phosphorylated_pos	phoH//hemA//mcaS//phnK//cysC//lsrF//rplD//cydD//gatB//creA//torD//purK//ychO//melR//prmC//ccmA//yhcH//ogt//metF//glgS//artQ//aroL//csgE//idnR//sroD//citD//hofB//hypF//thrV//fepC//mhpB//fimC//xapA//aldA//mntP//hybC//astC//gspO//rybB//dppF//purB//ileU//prpE//phnG//gltB//tdcD//fimG//priB//artQ//ccmC//grcA//sufS//mhpD//
PhoP-Phosphorylated_neg	aroL//lysO//moaD//narK//malY//yqjH//nrfE//glcE//lacA//hypB//feoA//
PhoP-Phosphorylated_pos	fhuB//frdB//moeA//dcuD//tyrA//rpsJ//fucI//atoB//psiE//rplB//mntH//fau//sbcD//lamB//artI//lacI//fadD//yfeW//ynfF//ogt//hycD//trpA//puuE//cspE//xylR//nagB//ydfN//csgE//prpD//glgB//ygaC//xdhC//entE//entB//purL//copA//glgB//ilvC//ilvL//glcD//gspE//ulaE//tnaB//malY//guaA//rstA//hycF//hybO//ppiD//
PrpR-2-methylcitrate_neg	malG//
PrpR-2-methylcitrate_pos	narX//ynfK//cadC//norR//
PurR-Guanine_neg	aspA//cusC//atoE//alaA//ugpB//yeiL//pyrC//gatA//narL//fiu//sdhA//mlc//araB//gspE//chbF//guaB//yfdE//sufE//speA//gpsA//nanK//xdhC//acnB//fhuE//nikD//gadC//citF//uxuR//ldtB//mcaS//tnaA//nrdB//mcaS//metL//
PurR-Hypoxanthine_neg	deoA//napB//kbaZ//nrdI//gatZ//ilvG_2//phnK//ydeO//lysO//gatZ//ansB//chbC//dcuS//hofO//cpdB//glnK//amtB//dppD//rrlA//prfA//ebgC//malS//guaA//feaR//hofC//dcuR//uraA//gspC//dppB//yebE//garR//spy//dgcZ//acrA//
QseB-Phosphorylated_pos	allD//cbl//cysB//alkA//
RhaR-L-rhamnose_pos	astB//hcr//
RhaS-L-rhamnose_pos	araE//lldP//bioB//
RstA-Phosphorylated_neg	tauA//lpd//betI//appB//manX//
RstA-Phosphorylated_pos	astB//zinT//nuoC//narK//ilvL//
SoxR-[2Fe-2S]3+ oxydized_neg	garK//
SoxR-[2Fe-2S]3+ oxydized_pos	cspD//metQ//cysU//
TorR-Phosphorylated_neg	nrfG//
TorR-Phosphorylated_pos	ascB//nuoE//fnr//feoC//gltT//slt//zraP//puuA//fnr//
TrpR-Tryptophan_neg	ilvX//mhpT//nikR//nrfA//mcaS//yfdE//murP//mglA//fumC//agaW//xylG//nikC//
TyrR-L-tryptophan_neg	glcF//tsgA//kbl//prmC//aceB//glcD//lpd//proP//nrfC//gspL//carB//paaG//
TyrR-L-tryptophan_pos	nuoE//yaiW//argP//
TyrR-Phenylalanine_neg	tehB//acnB//psiE//mdtD//rutD//amn//mhpA//gyrA//lldD//purR//dnaN//entE//
TyrR-Phenylalanine_pos	priB//glcC//rrlB//
TyrR-Tyrosine_neg	narQ//xdhB//dcuA//dmsD//yfiP//sucC//xdhB//fepB//mdtB//evgA//ileT//pgaA//
TyrR-Tyrosine_pos	glnA//hyfR//yeaE//
UhpA-Phosphorylated_pos	nanM//
XapR-xanthosine_pos	yhiD//mdtD//
XylR-Xylose_pos	nuoN//iscR//cydD//cusC//araD//fadJ//
ZntR-Cd2+_pos	xylF//
ZntR-Hg_pos	cusA//
ZntR-Zn2+_pos	xylG//
ZraR-Phosphorylated_pos	rbsK//fadI//fixX//
Zur-Zn2+_neg	idnD//phnE_2//cvpA//yjiY//ydhY//caiC//
