#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	ydeJ//dppC//
CRP-cAMP_pos	fimI//hflC//lldR//malQ//feoA//allE//phoP//fucO//rybA//idnK//truB//oppA//pgaA//ydhT//rmf//hemA//gspJ//cysN//ftnA//ssuB//rhaS//preA//speB//dppD//aaeR//hyfJ//motB//agp//hycI//lldD//rrsH//polA//hflD//melA//yjjZ//rrsD//yeiP//rpsQ//hybB//aer//znuB//nlpD//ppiD//pnp//lpxD//ykgO//micF//idnT//gutM//fucU//pgaD//gltF//rrsG//ynfG//gadC//fhuA//yebE//srlD//nuoA//fdnG//cysD//phnK//nuoN//paaC//tfaQ//yidQ//caiB//kbaZ//aceA//dppF//mgtA//phoE//dcuB//lysA//serC//gspM//rcnB//sufS//alaA//entD//gltT//rutD//serA//ubiC//crp//fldA//nuoF//nikA//ung//fepD//napC//tyrA//yeiL//alaV//chbC//mhpB//paaF//cynS//ryhB//ydhV//cytR//cynT//fixB//aspC//hslJ//lacZ//ydhX//malI//caiB//nrdI//mglB//hycF//lysU//astD//torD//betT//glpR//fimC//cadA//yfdE//mdtC//hyfA//ybfN//nikR//sbmA//murQ//agaA//ccmH//hfq//trpD//rplW//bioF//glgX//yhfA//acnB//cydA//nohA//fadJ//micF//flhD//ydhV//pheS//phoP//moeB//argC//dnaE//argB//mhpD//grxC//ydeP//mipA//hyfB//ydeN//aroH//ihfA//galM//secB//aldA//dmsC//nupG//csgG//rbsA//flhD//pgaD//yccA//ulaF//rimP//znuB//adhE//araF//feaR//srlR//borD//ugpA//gspJ//yegR//modC//ompT//nrfD//fis//bcsC//rplS//carA//rrsE//gatB//yaiW//nirC//fixX//oppF//trg//ulaD//deoC//rhaD//gcd//lrp//hupA//talA//puuA//ykgR//sodA//ydhX//rpsI//nac//fadD//mgrB//ilvY//argH//hflK//cysA//xapA//hflK//gadB//hyaF//fucU//yeaR//hyfC//yccA//ackA//fnrS//paaI//ssrS//casD//argD//efeU_1//malZ//mltC//napF//moaA//cheA//bhsA//xdhA//tdcG//bcsA//dppA//fucP//ugpB//hycB//mdtA//sdhA//rrlE//polA//exuT//moeB//rpoE//nupC//ugpC//uxaB//uhpA//yhjA//cysU//appB//yedX//ppiD//yedX//osmC//yeaD//phnC//acrB//argG//purD//gcvP//rybB//xylB//pstA//metH//rhaR//motB//cspD//hyfC//glmY//malM//uhpB//cyaR//gltF//nupG//argH//mgtL//rseC//gltF//sufA//entH//gspJ//lysU//trpL//tdcA//abgT//gadB//rrsE//gspD//yqaE//tap//gspH//agaV//tpx//yneM//hslJ//atoA//hisQ//glcB//hisJ//uhpB//rrfC//cspE//ykgR//oxyR//mgrR//ygeH//tar//nmpC//puuR//purF//dpiA//pgaC//appB//yjeV//hycD//dpiA//paaC//rmf//tauD//nanK//nuoC//lsrF//metY//pnp//prs//hflC//nikR//rnlA//trpL//rplS//mdh//nrdF//aceA//ldtB//rcnA//hisJ//gspM//phnI//ilvB//bioD//phoE//fixX//ydbD//ileV//truB//lpxD//rnlA//rpsR//hyfD//ppdD//galS//dnaE//tdcD//fhuB//ilvN//fliA//asr//guaB//murP//nuoF//manY//yciW//dcuR//cyoA//frc//acrB//malS//norW//glpT//tauD//yneM//glcE//rpoE//gabD//tpx//cbl//nanM//acrB//ilvG_1//malY//cysU//xdhC//gutQ//malF//acrB//argD//dsbA//tam//xapA//mhpB//ilvI//mglB//infB//fhuE//rpoS//metB//osmC//ccmH//fucO//lysP//cusC//narJ//priB//ydeN//trpR//glcD//iraM//rnlA//cysU//sufA//cyaA//fecD//puuC//pdeF//yqjH//tap//ynfH//mzrA//ansB//ybdN//yfdE//marA//dadX//yhcH//uxaA//rpsR//ung//hfq//
ChbR-Monoacetylchitobiose-6P_neg	glmY//malP//purN//focA//rpsP//rnhB//
ChbR-Monoacetylchitobiose-6P_pos	allE//ssuE//malM//gspG//purA//fadD//
CpxR-Phosphorylated_neg	hslJ//ubiX//purM//speA//pyrD//hupA//codA//torR//dusB//bglF//mhpE//fecE//ccmD//entA//rnpB//exbD//narG//ebgC//rhaS//cyoB//malZ//ycjX//dcuC//rprA//
CpxR-Phosphorylated_pos	hisP//safA//argP//xylG//fadI//focA//bcsC//nuoL//ycjX//fepG//nrdA//sufA//araJ//cydB//yhiD//rhaB//guaB//paaZ//yeaR//fixB//metB//glgC//artP//feaB//nuoG//yrbL//tauB//galP//araC//sbmA//tsr//metK//dcuB//ascF//sdhB//appA//fucI//pgk//trpC//motB//thrS//envY//gspO//ilvY//rrfD//
CreB-Phosphorylated_neg	tolC//ubiX//atoA//
CreB-Phosphorylated_pos	hpt//cusB//uidC//uraA//ebgA//cadB//
CueR-Ag_neg	araG//pyrC//gntT//napA//hyfD//
CueR-Ag_pos	dmsC//ydiU//
CueR-Cu+_neg	yfdE//rrsE//malX//nrdI//lsrB//
CueR-Cu+_pos	ilvC//phnH//
CuerR-Au_neg	phnJ//uof//casD//dppB//aroM//
CuerR-Au_pos	casC//prpB//
CusR-Pasp_pos	agaW//epd//metJ//lysC//uhpC//narL//rbsB//ycjF//recF//ptsH//sohB//bioD//
CynR-Cyanate_neg	dcuB//
CynR-Cyanate_pos	caiT//spf//pflB//
CysB-N-acetyl-L-serine_neg	alaV//ytfE//glcG//fucI//cysP//rstA//glgP//
CysB-N-acetyl-L-serine_pos	ydeJ//cheB//appB//pstB//fucA//entS//allD//mgrR//napC//abgA//livF//aer//idnO//yhhY//glpX//modB//fimH//nuoG//yjjZ//nirD//rutB//nlpE//rrlD//
CysB-O-acetyl-L-serine_neg	rrsC//garP//mlc//ulaD//dpiA//map//ydeO//
CysB-O-acetyl-L-serine_pos	hycG//tar//flhD//ulaC//ilvB//ykgM//ulaF//mscM//glyA//purL//katG//dkgB//qseC//glgP//nikB//artM//ppiD//paaE//dsdA//lsrA//adhE//ihfA//nuoM//paaG//
DcuR-Phosphorylated_pos	dcuR//hybE//abgA//nuoJ//cysN//lsrK//uxaA//rplS//evgA//
DnaA-ATP_neg	envY//tyrB//fecA//nuoL//mltC//ybiT//csgA//gyrA//hdeB//glcE//rseC//
DnaA-ATP_pos	phoP//feoC//cdd//infB//abgB//speA//emrY//
DpiA-Pasp_neg	ampD//
DpiA-Pasp_pos	mdtB//rplW//glcD//hyaD//hypB//torD//hcr//zwf//uhpB//trpB//
DsdC-D-serine_neg	tomB//
DsdC-D-serine_pos	ompC//nagE//
EvgA-Phosphorylated_pos	mntP//ycjF//sxy//fucP//argG//aroL//fixA//hyaB//aaeR//rrfH//safA//rcnA//ugpE//yneM//hcr//
FNR-[4Fe-4S]2+ reduced_neg	amtB//gcvT//yaeP//fadL//xdhA//preA//fbaA//fadI//gspH//tauC//sufD//hlyE//rplT//copA//nagB//mhpF//umpH//araD//ascF//phnD//katG//ada//caiC//tehB//rplD//malQ//yfeW//glpB//feoC//cysK//hypC//rhaT//fepG//deoA//prpD//sufA//glpA//rof//ampD//ccmE//icd//astD//fucR//asr//hyfG//glyA//lsrG//rplC//mglB//zraS//amn//cyoC//ugpA//rpoE//entA//exbB//adhE//ppdD//bioA//glnG//rutG//yggX//grxC//cadA//dgcZ//hha//fixC//yegR//rplW//metC//metC//tktB//tnaB//rutB//ssuA//nuoN//lldD//fliA//glnL//nrdD//glnB//nuoC//nlpD//dcuB//bhsA//rrfE//gadC//ampE//mhpE//exbD//ssuA//chbG//cydC//ugpC//serC//csiD//malQ//glpT//yhcH//evgS//ilvA//mntS//gltA//ihfA//rseB//dadA//metK//yeiW//baeR//rpsR//nohA//rrsG//bioC//fau//fucI//aer//gcd//rpmI//nagC//ulaD//
FNR-[4Fe-4S]2+ reduced_pos	ampD//rrfF//xapA//zraR//narG//ubiG//metL//sohB//malX//mdtB//purA//nuoE//uhpB//mltC//hybG//aroL//casA//hypF//chbR//sdhD//fliA//bamE//trpB//caiA//ycjF//speC//phnN//agaW//ackA//aer//glcA//lpxA//purN//malP//ompR//leuE//ispE//frc//fucK//rplB//rnpB//nohA//ydhX//dsdX//ascF//nanM//raiA//dppB//ycjF//envZ//asr//moaC//gltV//metA//fadD//rbsD//cueO//fdnI//yoaG//fes//hpt//erpA//abgB//yedX//sufA//nanS//codA//cusF//paaI//lacZ//gltD//hybF//nuoB//appC//rpoH//ulaF//hycG//aldA//ilvM//chbG//dkgB//rpsJ//srlE//rrlA//mtlD//deoC//fiu//pstS//oppF//sbcD//nmpC//cynR//betI//ompR//tyrR//gltW//argO//phnO//hofC//lacI//fimF//feoB//flhC//pheT//mglA//dapD//iscR//chbA//ompT//galS//treC//gabP//recF//ompF//ccmC//rbsD//rpsS//adiC//nohA//fhuD//rrfE//dgcZ//rhaT//trpA//paaC//ascB//gyrA//arcA//betT//cyaA//yqaE//yeaE//upp//aroA//sufA//rybA//phnN//fepC//tsaE//artM//marA//preA//appC//yeiP//tyrP//cysI//aceB//ydhT//aaeB//hfq//aaeX//lsrA//cysW//iscS//alaV//crr//gspI//pheS//glgA//uof//manY//rrfB//ygiB//nmpC//ykgR//rbsA//fepC//rhaD//rhaT//infC//sdhB//fnr//malT//metF//glcC//nrfA//tyrA//creA//ydhX//acrD//ascB//nrfA//adiC//ykgO//napC//ugpA//yqjI//ompX//nagB//rcnA//argB//argH//entH//malI//fhlA//speC//emrY//rplP//dapB//hupA//zraP//araJ//
FhlA-Formate_pos	zraR//glcE//yedX//bioD//rpmI//hypF//ahpC//uidA//iraM//ilvM//sucD//metA//ilvG_2//hyfG//psiE//grxC//phnO//gspE//dpiB//glcG//ubiG//metR//tyrR//purM//torR//lldD//sucD//amtB//hyaF//rutD//
FucR-L-fuculose-1-phosphate_pos	hdeB//ssuC//creA//malI//dppD//nuoA//rbsD//
Fur-Fe2+_neg	purA//allE//prmC//prfA//gspD//mglB//gcd//hyaD//malP//rseB//lacA//phoQ//livF//ada//fixX//hybB//rcnB//xylH//aspA//ynfG//leuE//ada//lamB//ubiA//mdtD//mdtC//rcnA//yeaD//cpxA//mtlD//ilvA//glcE//cheA//waaH//acnA//malZ//rplP//fhuC//ompT//deoA//mgrB//aroM//gntX//pta//sohB//znuB//ulaE//tyrA//cyoC//astA//deoC//ompW//deoD//fur//rnlA//napH//cytR//pepT//ppiA//nlpD//dppA//puuC//cadA//gatB//pta//zwf//asr//glnD//nrdD//sdaA//malQ//malS//cusR//yhiD//gntX//cstA//glpD//patZ//entA//ada//nikE//gltV//idnD//exbD//rplP//dsdX//livG//fucU//ilvH//trpB//rbsC//ssuA//ubiX//melA//hflD//cas1//cbl//araA//katG//alaA//paaC//codA//rplV//cas1//nikA//cheR//rplC//livM//yhfA//tdcE//pyrD//glcD//zraP//fbaA//bglB//csgA//rhaR//rplT//phnF//nuoM//nac//uidA//mhpE//marA//
Fur-Fe2+_pos	cueO//rrsA//dppC//rpsF//malM//atoE//hypF//fliA//modB//icd//fepC//araE//nlpD//dcuS//hycG//ycjX//oxc//mdtA//malG//alkB//fliA//tktB//idnD//uxuB//fepD//
Fur-Mn2+_neg	cvpA//manY//nuoK//tauC//uhpC//yqjI//yegZ//dcuR//sbcC//mhpT//cyoE//ydhU//cyaA//prfA//garR//nrdE//sbmC//nrdH//acnB//deoC//cysG//rpsS//xdhA//hlyE//acrD//ubiA//ygeH//rplC//ascF//polA//dppB//pstA//phnN//gdhA//nikC//cheW//nrfC//rplD//uhpT//acs//prpR//acrA//trpR//preT//melB//fimH//mltC//dgcZ//hycB//alaA//yeaD//hyaB//agp//hemA//yfdX//araH//ppiD//lysA//ampD//napF//ysgA//mlc//phnN//avtA//fldA//actP//rbfA//rybA//dps//phnL//dsdA//agaA//artQ//norW//rrlE//psd//entD//cheB//proP//ulaF//araJ//glcC//argO//mtlD//hycF//moeA//prpE//rrlA//nupC//glpF//rplP//ftnB//ispE//glnA//cysB//mtr//rrlD//dppB//glcA//focA//ldtB//fecE//treC//mntS//napC//lsrF//katE//glpE//speB//puuA//cysC//iscU//ilvN//uxaA//pgaC//tadA//rimP//caiA//rplV//astE//sdhA//mhpB//ssrS//lsrF//
Fur-Mn2+_pos	rrsE//cyoA//phoQ//chbG//exbD//dkgB//glpG//yqjI//exbD//rpsR//gspE//srlR//ilvA//caiT//ilvL//hofM//phnI//artJ//cas2//dmsA//napA//mtlD//lsrB//lsrR//epd//
GlcC-Acetate_neg	nuoL//
GlcC-Acetate_pos	iraM//gabD//malM//srlB//rplS//phnL//
GlcC-Glycolate_neg	hupB//
GlcC-Glycolate_pos	creC//lldR//glcA//mhpA//csgB//fepB//
GlrR-Pasp56_pos	gltB//
IclR-pyruvate_neg	murP//exbB//ulaB//rhaR//
IdnR-5-ketogluconate_neg	lsrR//phoR//sufC//
IdnR-5-ketogluconate_pos	iscU//lsrB//alaA//phoU//ssuC//
IdnR-Idonate_neg	glcC//hycG//rpoH//
IdnR-Idonate_pos	frdC//cysH//mhpB//nrdB//gspC//
IlvY-2-acetolactate_neg	ygbA//
IlvY-2-acetolactate_pos	napH//
IlvY-Alfa-acetohydroxybutirate_neg	betI//
IlvY-Alfa-acetohydroxybutirate_pos	acnB//
IscR-[2Fe-2S]1+_neg	lldR//tauB//katG//rplI//hcp//gltV//lsrB//ugpC//glpT//rpsC//codB//gltU//actP//glpG//moaD//phoP//thrS//malP//mtlR//rbfA//bglF//tehB//ilvE//sodB//ilvE//nikC//fepE//aldA//feoC//hycC//
IscR-[2Fe-2S]1+_pos	ackA//paaI//glpR//chbR//caiE//fdhF//uxaC//lysA//iscS//caiD//uraA//
LldR-L-lactate_neg	tdcB//secB//lsrD//
LldR-L-lactate_pos	nupC//nanC//fhuC//
Lrp-Leucine_neg	ompC//mdtC//araJ//evgA//gdhA//nupG//ydfH//dmsD//malK//ykgR//cydB//glgC//yidQ//allC//phnF//uidB//csgG//bioB//ndh//uxaB//nrdD//dppF//phnH//araB//fimI//lamB//xylR//micF//ogt//ldtB//cyoC//ccmF//mipA//ompC//cydC//artM//bioC//ilvE//psiF//idnO//aroL//folA//rnlA//glrR//hcp//oxc//ybdN//metR//metR//marA//metE//ung//raiA//cysD//dcuB//metF//yoaC//entC//livK//gcvH//rhaR//mtlD//tdcE//cynS//idnK//adiC//malE//ynfH//cheZ//fumB//uhpC//garR//yegR//fhlA//uhpA//
Lrp-Leucine_pos	qseB//efeU_2//fecR//cheW//paaG//focA//metR//paaH//napH//galK//phnC//nrdF//amn//deoB//cspD//dpiA//azuC//caiA//lysP//map//metL//yfbR//yfdE//ydbD//nrdG//fepG//hofB//mepH//ung//ulaA//truB//ptsH//amtB//alaU//xylG//
LsrR_neg	rimM//phnJ//citF//paaI//zinT//mdtA//galK//uxaB//asr//
MalT-ADP-Maltotriose_pos	fucA//ynfK//entB//yfbR//ilvG_2//bioB//ilvB//sucA//atoD//pdeF//
MalT-Maltotriose-ATP_pos	yegZ//moaB//gatA//hybG//rimP//pgpC//mtlA//ulaA//glcE//idnO//
MelR-Melibiose_neg	psiE//pyrC//uxaA//
MelR-Melibiose_pos	ascF//gltA//exuT//
MetJ-S-adenosylmethionine_neg	lpxA//alkB//galK//ysgA//ssb//moeB//fhuD//cydC//nuoC//livG//mgtL//uxaB//hyaE//fixX//fabZ//
MetR-L-homocysteine_neg	ompR//map//
MetR-L-homocysteine_pos	hslJ//cdd//yaiW//cynX//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	mtr//ssuA//bcsB//metN//torD//ugpA//
MhpR-3HPP_pos	nanC//yfdV//bcsC//fis//znuB//purR//
MntR-Cd2+_neg	prpB//deoA//hfq//tnaA//
MntR-Cd2+_pos	ygiB//
ModE-MoO42-_neg	fixA//rutG//fadE//glnD//yfeW//rrsB//ytfE//codA//hdeA//phnE_1//exuT//gltD//chiP//hemL//ileU//
ModE-MoO42-_pos	lolB//hslJ//cusA//tnaB//csgE//paaB//fes//cynR//dnaA//glpA//ldtC//frdD//prpD//rrfC//marA//dapB//dapB//cheZ//ygiA//ysgA//hyaA//galS//mdh//rpsP//ycjX//rplD//cusC//tpx//pgpC//ydeA//tpx//
NarL-Phosphorylated_neg	moaB//tnaA//mglA//manY//ptsG//argG//lldP//modA//bcsC//cheY//sufS//xdhB//nanS//glyA//rrlB//fixX//fadH//hypC//metI//citC//xylG//rrfB//nanE//rplT//napG//idnO//gspL//ogt//rmf//aceE//umpH//cydC//marR//cyoD//sucD//nrfG//fecE//ryhB//araJ//gntT//ilvA//pitB//nuoC//fucP//chbF//caiD//infC//fdhF//tpx//glgS//dmsC//prpR//argR//astD//casE//ilvX//puuC//ldtC//paaJ//nikC//cadB//yeiB//argA//gdhA//ilvA//ssuC//ftnA//dmsB//tdcE//cyoE//gapA//manX//cyoB//ompC//malY//cra//galM//ilvL//phnE_2//glpX//hofN//borD//livJ//lsrG//lpxD//baeR//
NarL-Phosphorylated_pos	lysP//pepT//rrlC//rpsR//fecC//hycD//hlyE//hisJ//glgP//phoP//citD//leuE//crr//psd//csgE//nusA//aaeA//paaK//rbsK//rpmI//hybD//uhpC//tfaQ//ptsH//puuC//motB//purL//gspF//soxR//gspL//paaB//csgB//rybB//mltC//tauB//tdh//rplI//rrsH//phnL//recF//ileV//dpiB//iscS//dppD//rbsR//dcuD//
NarP-Phosphorylated_neg	narX//dusB//yhhY//dpiA//fixX//guaA//cpdB//rhaA//hofM//fimA//fliA//hofP//ampE//fimC//paaK//hfq//trpB//tsx//pagP//hypC//pyrC//tomB//glgB//torA//ampE//appX//ynfG//torD//rrsE//dpiB//casD//cysN//modC//
NarP-Phosphorylated_pos	sxy//treB//safA//tcyJ//fdnH//aidB//cyoA//yfeW//grxD//betB//melR//phnM//ileU//ynfH//waaH//lsrA//hybA//uraA//cysG//rnlB//rpsP//yaiW//tdcF//aaeX//infB//narH//bcsZ//caiB//fecD//citF//pdhR//ndh//
NhaR-Na+_pos	artJ//mutL//nanM//napG//gspG//
NikR-Cd2+_neg	zinT//rplI//treR//yoaC//xdhB//gatC//
NikR-Co2+_neg	ldtB//hyaA//mutL//cra//phoH//allD//
NikR-Cu2+_neg	fhuB//gltF//cyoB//pnp//gcvT//comR//
NikR-Ni2+_neg	raiA//trxA//mgtL//ulaF//hypD//rrlA//
NikR-Zn2+_neg	dsdX//pstB//rrsH//rrlC//yfdV//ynfK//
NrdR-ATP_neg	lsrG//gutM//flhD//paaE//acnB//phnF//csgG//cytR//gspF//
NrdR-Zn2+_neg	ssuE//gltT//uxaC//cyoE//tpx//cirA//bcsC//mgtA//ygeH//
NrdR-dATP_neg	artJ//dcuC//ccmH//trpB//yibN//dpiB//entA//ompR//trpR//
NsrR-[2Fe-2S]reduced_neg	paaB//sufE//rbsD//gyrA//nrfE//hdeB//raiA//efeU_1//pstB//fimH//feaB//pstB//ccmE//nagC//ivbL//mutL//pflB//glnG//nadC//aceB//lacI//hyfB//sbmA//ada//rimM//lsrF//cynS//puuD//moeA//sodB//nuoA//ugpE//ygiC//yfaE//iraM//ilvG_2//baeS//ydhY//ygeH//csgA//hupB//uxaA//acnA//appB//udp//cusA//fbaA//pnp//hybE//aroA//araG//malF//ybiT//bglB//purE//rrfE//hybC//bioB//lldR//pdeF//rrlD//galT//fes//artP//pagP//pflB//cspE//fucP//narI//nirB//dppB//ebgA//moaB//
PhoB-Phosphorylated_neg	cyoA//ydeO//phoR//hyaD//tyrP//ybiT//cydD//amiB//gntX//lolB//oxc//alaT//rhaR//
PhoB-Phosphorylated_pos	gspC//cusS//fepC//cydD//cysC//ldtC//safA//gntX//nikA//speC//gadC//rplW//fecR//gspE//argT//hybF//ampD//rrlD//ilvX//rhaD//dcuD//mhpE//cra//trpR//icd//hyfB//malP//rplV//phoU//rutE//phnC//dnaA//feoB//idnO//nuoI//aaeA//ilvL//nrfE//manZ//phoQ//rpoS//deoA//pgaB//bdcA//malK//nagC//rstB//cvpA//appY//ampD//lacA//fhuA//znuA//
PhoP-Phosphorylated_neg	dppA//trmD//crl//rplB//glcE//ebgA//mhpR//betI//rhaT//dnaE//phnH//
PhoP-Phosphorylated_pos	sdhC//dusB//cysU//sucD//mtlA//speB//prpB//ydeJ//rybA//fadH//caiE//priB//ldtB//glcD//csgE//feoC//lsrD//entF//cyaA//rrsE//fepD//rrsE//ssrS//nikA//fadD//lsrC//cdd//xdhC//pgaB//ftnA//grxC//ptsH//yoaG//grcA//abgA//ilvD//cysG//mutL//yeaE//raiA//ysgA//fucR//manY//osmY//hypF//ppiA//dpiB//atoD//malQ//
PrpR-2-methylcitrate_neg	yhfA//
PrpR-2-methylcitrate_pos	rseC//ccmB//prpD//ubiG//
PurR-Guanine_neg	gspC//agp//yjcH//entF//fepD//cpxA//livK//glnA//entS//phoE//gutQ//dppD//sbmA//bioA//folA//lacZ//baeR//lysA//csiE//casA//sufB//melR//gltB//rrsD//yfdV//phoA//phnH//dusB//ydeO//citG//ulaC//yfdV//ulaC//rseB//
PurR-Hypoxanthine_neg	hypC//dadA//gntU//cytR//nirC//hslJ//sdhB//dsdX//iraD//glpD//hybA//ompR//cheW//lpd//deoA//rplP//uhpC//ssuE//napH//zinT//manZ//nanE//pdhR//rrfA//mntS//yqjH//rhaA//dnaE//chbG//nanC//abgB//fhuF//nrfA//hyfI//
QseB-Phosphorylated_pos	moaE//hyfH//gatZ//zinT//
RhaR-L-rhamnose_pos	fur//ilvG_1//
RhaS-L-rhamnose_pos	ydhX//prpE//cysB//
RstA-Phosphorylated_neg	fumC//dsdX//mhpD//mglA//rstB//
RstA-Phosphorylated_pos	dusB//trpC//oppA//sdaA//ynfK//
SoxR-[2Fe-2S]3+ oxydized_neg	mutL//
SoxR-[2Fe-2S]3+ oxydized_pos	rpmI//oppA//ynfF//
TorR-Phosphorylated_neg	hofB//
TorR-Phosphorylated_pos	caiA//lsrF//srlR//garK//xylF//caiA//astE//glpD//artJ//
TrpR-Tryptophan_neg	tadA//yeaD//treC//ugpQ//yeiB//speB//tktB//glnA//nagC//yaeP//nikC//nuoC//
TyrR-L-tryptophan_neg	gspG//glcA//zraP//psiF//ilvG_1//degP//acs//entB//gspJ//fecI//glpQ//yjeV//
TyrR-L-tryptophan_pos	alkA//gutQ//xylH//
TyrR-Phenylalanine_neg	rrfA//treR//ssb//phoB//cspD//fdnI//hyfR//speA//ansB//hyfI//efeU_2//arcZ//
TyrR-Phenylalanine_pos	ynfG//ompC//aroF//
TyrR-Tyrosine_neg	hypF//yeiL//rpsF//ftnA//moeB//cirA//csiD//ebgC//glgB//glpK//torA//dsdX//
TyrR-Tyrosine_pos	pgaD//creC//psiF//
UhpA-Phosphorylated_pos	metB//
XapR-xanthosine_pos	lysA//mhpT//
XylR-Xylose_pos	bioB//fixX//bcsB//purB//nikD//napH//
ZntR-Cd2+_pos	fadL//
ZntR-Hg_pos	fadE//
ZntR-Zn2+_pos	lsrC//
ZraR-Phosphorylated_pos	pheM//crr//dsdA//
Zur-Zn2+_neg	cydB//allD//mzrA//ykgM//nuoG//sucC//
