#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	cyoB//yciW//
CRP-cAMP_pos	trxA//nuoE//astB//metE//trpE//metY//mtlA//amn//argB//talA//hyfI//yciW//yjjZ//crp//aldB//prpD//rutA//pck//hybG//rrsC//ulaE//gspJ//dadX//rrsG//purF//azuC//gspE//citX//lpd//dadX//ccmB//ryhB//nikC//folE//xylF//acrD//sucB//fabZ//cysJ//atoA//deoD//glcF//napG//aceK//fecB//rhaS//ubiX//agaW//rrsB//cra//priB//galK//uhpT//sdhD//chiP//fimH//narI//rrlD//epd//paaF//cysA//ampD//fliA//argB//rutB//actP//yjcH//dcuB//zraS//tar//uvrA//yiaJ//argO//fldA//rrfD//ssuD//livH//ulaD//ydeM//livH//rpmI//yggX//gltD//uhpT//cytR//ivbL//envZ//bcsC//hybF//cysI//csgF//amiB//gspG//cysC//rplT//ygiA//paaE//sdhC//deoD//cusR//fhuC//yaiA//bcsB//rseC//rrlB//metQ//fau//arcA//yeaE//rrlD//mglC//dgcZ//lacA//mhpT//nuoK//uxuR//yfaE//ahpC//serA//hisQ//aroG//chiP//rrsC//aceK//nuoB//alaA//yqjA//yeaE//cysD//arcA//rutF//rpoE//artJ//ung//rplP//ydhX//ptsI//csgA//iscA//glcF//qseB//ycdZ//folA//ompW//folE//carA//norV//hupA//fhuB//murP//yeiB//focA//mhpC//preT//lacY//sufA//argB//napC//rrfH//rbsK//ompT//ahpF//serA//phnO//fadA//rseA//dsdA//tsgA//metJ//ynfE//nrdH//agaA//fdnH//prpD//fumB//gspD//mdtA//metI//entC//rutB//rpoS//puuE//lsrD//ykgR//fadA//aroA//fepD//malZ//bcsZ//casE//cvpA//csgD//citE//trpA//iraM//tolC//hybO//yfbR//glcD//lsrD//galK//bioF//cusS//ldtC//lsrR//ssuB//yeaE//gspJ//ccmG//rrlC//feaR//hydN//fhuD//cynT//rplM//araC//caiB//argP//ubiA//glnK//hyfA//paaI//dctA//aldB//ydeO//bglG//sdhD//fhlA//fadL//mhpC//malE//glcD//gspH//micF//hha//napC//mhpT//nlpD//pgaC//malZ//mdtB//fumA//uhpC//nuoL//rutC//proP//paaD//mglB//napB//atoA//evgA//hdeB//glpF//ynfF//trpL//caiT//lacY//argB//hypF//cspD//glpC//galS//psiF//yibN//fadL//pgk//puuA//rplT//rpsO//rimM//secB//srlA//tonB//nuoG//prpE//cysP//ompA//treR//ptsG//sdhC//hdeB//purM//zraS//gspE//mhpB//nrfD//fadD//acrA//ilvB//nikA//cvpA//hisJ//pta//malP//yjeV//tauA//rseB//citG//folE//treR//pheS//puuP//cueO//glcD//ybdZ//moaC//dcuB//bamA//napG//nuoJ//fimI//cusF//phnP//rpsQ//rplD//kbl//nrfA//nrfG//cyaA//hyaE//motB//oppB//cirA//katE//ydiU//lsrA//nikE//treC//rimP//abgT//narJ//mtlD//aroA//ompR//aroF//serA//pgaC//thrS//feoC//artQ//gltA//citF//mhpD//nusA//cadC//sucD//gltF//yaiW//ihfA//norR//xdhC//skp//dsbA//rseB//feoB//gatB//araB//ansB//hycG//sbmA//sbcD//agaW//gnd//torR//bamA//ebgA//murP//cysW//gspI//nrfF//hycE//betT//rpmC//tsx//hemA//rhaS//gspG//malY//nikC//rplW//narG//folE//nuoG//mltC//melB//fimE//galM//zwf//malE//chiP//mhpE//hofO//azuC//sucC//psd//dppF//cstA//caiC//glpT//lysO//cysW//acrD//chbF//nikC//yeiB//manZ//arcZ//arcA//fucU//uxaA//tsaE//acs//dusB//sufA//ssuB//ung//nuoG//paaH//aldB//ytfE//agaV//fadI//yoaC//acrD//ppiA//malS//yqaE//treC//mgtA//
ChbR-Monoacetylchitobiose-6P_neg	ebgC//rrsB//udp//melR//ykgO//serC//
ChbR-Monoacetylchitobiose-6P_pos	trxA//hybO//fimA//hybO//modC//oppA//
CpxR-Phosphorylated_neg	uhpA//bcsA//soxR//proP//tauD//baeR//nrfB//yecR//rrsE//hisJ//baeS//cyoC//sucA//evgA//fhuD//hydN//gltV//argG//phnN//pitB//sdhB//livJ//rnpB//araE//
CpxR-Phosphorylated_pos	ogt//modC//ygeA//glpB//ulaF//pstC//creA//mhpD//nuoN//hisJ//gspK//hyfH//manA//hofP//stpA//rrfA//ilvD//argP//allE//fucI//hofC//aceE//aroA//moaE//metI//speA//fixC//pgpC//cysP//mtr//gcvP//ybdN//narL//yqjI//glpC//purE//cysA//nagC//frc//ydhV//yecR//ogt//hemA//nrfD//aceF//
CreB-Phosphorylated_neg	hybF//aroG//ftnB//
CreB-Phosphorylated_pos	purD//rpoE//fadI//rrlD//cynR//patZ//
CueR-Ag_neg	codA//mgrB//fucU//ygbA//mhpA//
CueR-Ag_pos	dgcZ//ileU//
CueR-Cu+_neg	rpsO//metR//caiA//malT//tdcG//
CueR-Cu+_pos	psiF//eda//
CuerR-Au_neg	cspD//cysA//rplW//fepB//cysH//
CuerR-Au_pos	nrfC//hisP//
CusR-Pasp_pos	mcaS//artJ//bglF//paaG//soxS//abgB//mntH//tolC//iscA//dps//nanE//fhuB//
CynR-Cyanate_neg	cheR//
CynR-Cyanate_pos	dapB//napG//citX//
CysB-N-acetyl-L-serine_neg	cyaA//nrdA//ychH//aroF//cysI//umpH//aceA//
CysB-N-acetyl-L-serine_pos	tdcF//serA//ykgO//cynX//crr//caiB//rpoH//bioF//nikB//ugpE//rybA//nikA//baeS//nmpC//glpB//mntP//yeaD//hybB//speC//frdD//cysJ//yjeV//hybF//
CysB-O-acetyl-L-serine_neg	pgaC//pepT//hybF//tar//yciW//gspF//ugpQ//
CysB-O-acetyl-L-serine_pos	ssb//slyB//trpE//alaS//cas1//flhD//fucR//betA//ccmF//ygiC//codA//prmC//pgaD//ycdZ//rpsP//gadC//acnA//lysA//ssuB//lhgO//phoB//nmpC//atoA//grxC//
DcuR-Phosphorylated_pos	rbsA//ynfK//iclR//hycF//argT//phnC//tnaA//mltC//zraS//
DnaA-ATP_neg	lsrK//folA//chbC//tonB//tadA//lsrK//dkgB//betI//malP//efeU_1//glcD//
DnaA-ATP_pos	exbD//xdhB//ompX//casB//hycF//dsdC//fur//
DpiA-Pasp_neg	nirB//
DpiA-Pasp_pos	pitA//oxc//rhaT//dnaA//dadX//phoU//zntA//manA//fixX//rbsC//
DsdC-D-serine_neg	paaH//
DsdC-D-serine_pos	artQ//spy//
EvgA-Phosphorylated_pos	hyfH//ompX//aceE//gyrA//ytfE//metH//cysA//rrlG//uxaB//phnI//ydiU//tdcG//acrA//amn//hycC//
FNR-[4Fe-4S]2+ reduced_neg	gnd//exbB//ugpQ//treB//feaR//hyfJ//trpB//osmY//tauC//emrK//oppC//mdtD//manX//dadX//actP//nagE//leuE//copA//nlpD//uxuA//uhpB//fhuF//ugpQ//phnL//cheW//lhgO//entS//motA//hycB//tauA//serA//ydeM//feaR//nikR//amiB//mhpF//artP//acrB//cynX//frdA//lrp//fau//ompF//acrB//sufE//fnr//talA//cpdB//csgE//manA//ppiD//cysN//yjeV//lldR//modA//tadA//ychO//astC//asr//argT//fixB//nagE//ssuB//cysK//pitB//paaG//argH//adiC//preA//rplI//map//entE//glnG//ilvG_1//tdcC//tauC//gltB//narK//ada//rpmC//ssb//galS//astC//xylB//nanA//nikC//hisP//ugpE//citF//citX//ampE//metB//tnaC//fhuE//nanT//tnaC//aroL//nrdH//lacY//ybiT//gspE//hyfG//adhE//malP//hypE//galP//artP//yjeV//aldA//ileU//ulaF//polA//bioC//yfbR//thrV//purN//cysU//metL//ubiG//safA//
FNR-[4Fe-4S]2+ reduced_pos	gabT//aroH//grcA//xylH//cysI//gatA//entS//gspH//lrp//ydeA//napD//lsrR//prpE//tar//pitB//micF//ileV//paaH//araD//znuC//gntP//trpB//metH//hybC//rpoS//glnG//yeaR//rbsB//uhpC//rrsD//mepH//hyfG//feaB//rybA//purR//glgX//nanK//ulaF//galE//argT//tyrR//purD//mhpT//torC//cysK//hupB//fadI//manX//sufB//dcuD//ssuE//ompR//gatD//caiA//alaS//mglA//agp//trpE//zinT//yeiP//mntS//uidA//nrdB//ileV//mhpA//yaeP//gltW//aroL//glpE//lysA//fhuB//araG//sdaA//ccmC//yeiP//nanC//purH//nuoN//nikC//glgS//ssuC//envZ//fecC//nanM//rrlB//napF//galE//malZ//paaB//ychO//csgC//uxuB//dadX//tsaE//prfA//aidB//nrfB//fecA//ileT//fhuB//glcE//ydeN//tolC//artJ//tar//nanA//bamA//purH//cysJ//ugpB//ydbD//livG//glmY//csgG//nrfC//pstA//rrfH//srlA//amiB//cysM//fimE//metA//phoB//nanT//yqjI//cas1//treB//frc//kbaZ//tdcE//tdcD//bcsB//raiA//paaD//cysC//motB//glmY//frdC//ahpF//trpR//argA//kbaZ//ptsI//aaeA//fepA//ugpA//puuP//argF//araG//araG//ldtB//galE//eda//fadI//proP//exbD//dctA//ampD//fecB//srlR//treC//entE//allD//rutC//nupG//ebgC//feoB//ung//casE//hypC//nrdB//trpA//trpC//cyaR//lamB//ydhV//chbB//flhC//carA//fiu//xylF//aceF//dcuB//pck//pgpC//casB//gatB//astB//katG//trpD//cysU//gspK//xseA//tdcG//gatA//phoB//nrdA//ccmB//purM//puuE//mdtA//nanK//
FhlA-Formate_pos	hdeD//ydeO//feoB//gcd//mhpB//mdtC//focB//fis//ftnB//appX//moeB//mhpT//pyrD//acnA//cpdB//rcnA//fimI//nrdI//srlA//prpC//gdhA//xylB//sufE//sbcD//gltT//fliA//fucU//glpB//lsrB//creA//
FucR-L-fuculose-1-phosphate_pos	stpA//chbB//grcA//hybE//prpD//ccmG//hdeD//
Fur-Fe2+_neg	glnL//adhE//hycB//uidB//ilvG_2//exuT//lsrC//deoB//glgX//gspO//cheW//cydC//narI//nupC//sxy//ydeO//cydC//tap//mhpT//yegR//yhiD//aaeX//argC//cusF//lsrG//cheA//paaH//ilvE//rpsS//lrp//malF//allC//entS//yegR//glnD//gspM//mgtA//rrsA//znuC//fumB//iclR//glgB//kbl//sucA//adiC//gltV//dsdA//cynT//alaU//lysC//glyA//yqaE//nanS//feoC//yhfA//lsrG//purH//chbR//borD//ssuE//cyoE//caiF//envZ//leuE//ompR//dcuS//fecD//hybO//phoE//ygiC//agaA//fumB//yaeQ//bamA//argA//marB//ompX//lysU//aaeR//purD//nrdF//hisP//gpsA//cpdB//oppB//gabP//nlpD//yecR//purF//grxC//modA//bioC//ompC//trpR//yfaE//manY//citD//hybC//fhuB//rrsE//sbmA//nac//garP//hisM//galE//dusB//fecB//cas2//cysD//dpiB//fadA//copA//cstA//fecD//mhpA//puuR//oxyR//prpC//rpoS//cysD//purD//pstB//argF//nusA//
Fur-Fe2+_pos	fixC//evgS//fldA//nikD//rrlH//paaJ//gcd//gntU//chbG//mepH//pyrD//hflX//nuoH//dppB//mgrB//glgX//grpE//nac//yiaJ//csgB//ccmB//zinT//hupA//ygiB//rseB//
Fur-Mn2+_neg	dps//rrlD//ccmG//livM//artJ//focA//fecR//hyaC//ybdN//purA//lldP//metK//yciW//aidB//ansB//metR//ssb//astB//agaW//astE//nrdB//truB//ispE//rplT//mscM//fucR//fepD//yaeP//hycG//mhpB//raiA//oxyR//fdhF//atoB//nohA//gabD//paaF//phnL//rrsD//mzrA//nohA//gltF//cyoE//iclR//rrfB//tdcA//glcB//bioA//degP//lsrF//sufC//nuoH//argC//prpC//dsdA//entD//yjjZ//norR//glyA//dusB//tehA//bcsC//tehB//hyfJ//ydbD//safA//cydC//ihfA//oppC//ulaC//yccA//nuoI//moeB//artI//iscU//hisM//ftnA//serC//rrfE//fepE//cydD//moaD//fucK//modB//hyfE//mhpD//rutG//znuB//ppiD//yidQ//xapB//iclR//ilvN//gpmA//prpC//ssuA//ugpE//sucA//csgD//ilvX//phnJ//citC//mltC//rpsP//yfdE//tauD//sucD//argA//yibN//nrfF//nrdH//dppA//trpL//dsdC//nupC//rseB//marR//borD//gadB//napB//gntR//sbcC//gcvP//cusB//
Fur-Mn2+_pos	nuoH//gspG//gcvT//cheW//ilvB//rcnB//ydeP//tnaA//pgaD//rplT//ompC//nrdH//amn//fdnH//fimD//hyfE//sufA//evgA//cheZ//lsrF//uof//nrfB//nuoL//carA//hypE//
GlcC-Acetate_neg	cstA//
GlcC-Acetate_pos	norW//stpA//livJ//thrS//gcvH//rrlD//
GlcC-Glycolate_neg	ansB//
GlcC-Glycolate_pos	truB//hypA//ycdZ//ybdZ//argE//yegR//
GlrR-Pasp56_pos	stpA//
IclR-pyruvate_neg	pnp//pstS//glnB//artQ//
IdnR-5-ketogluconate_neg	ebgC//acrA//glgA//
IdnR-5-ketogluconate_pos	tonB//speB//phoR//glpX//appX//
IdnR-Idonate_neg	hyaE//safA//yidQ//
IdnR-Idonate_pos	sdhA//rpsO//ydiU//cdd//gntX//
IlvY-2-acetolactate_neg	hybD//
IlvY-2-acetolactate_pos	bcsB//
IlvY-Alfa-acetohydroxybutirate_neg	fixA//
IlvY-Alfa-acetohydroxybutirate_pos	modB//
IscR-[2Fe-2S]1+_neg	trpR//uxaA//uidA//caiE//gltV//fimG//trxA//trmD//upp//feaR//hflX//xseA//csgE//idnD//mhpR//actP//nrfC//amn//lacY//ilvL//sbmC//gltA//fadB//gspG//malP//iraM//ptsH//avtA//hyfD//alaT//
IscR-[2Fe-2S]1+_pos	glmY//bglF//ubiA//rutE//mdtC//metB//cheB//adhE//hyfG//rrfD//casD//
LldR-L-lactate_neg	iscR//gcvP//purN//
LldR-L-lactate_pos	phoB//cyaR//moaB//
Lrp-Leucine_neg	ychH//dppF//treB//puuC//motA//mutL//gabP//thrS//pheM//glnG//chbG//metN//tap//mutL//pheS//zraR//guaB//hyfH//hyfF//ssuA//mutY//rplI//entS//tar//prpB//cheB//hypD//thrS//thrS//gntU//garR//hofM//fis//gltV//rhaR//ygiC//yegZ//cusS//uxuB//ndh//infC//ydhU//alaA//gadB//rseC//glgS//hyaA//prpD//sufS//torD//lldR//pyrD//dmsA//ptsI//dppC//fadI//secB//ynfH//feaR//mzrA//ompF//lsrK//ydeN//ugpB//rplC//hybD//ompC//fimH//rutF//speB//argB//rhaT//mhpC//glmY//uxaC//
Lrp-Leucine_pos	nrdA//phnC//hybD//artP//ysgA//fes//yeiL//cysC//crr//metL//rpsP//hycD//glcA//dppD//appY//cydB//casE//slyB//iscR//mdtB//gadB//katG//uxuA//hyaD//pagP//dadX//grxD//malE//ilvC//marR//srlR//paaJ//trxA//nrdA//csiE//
LsrR_neg	hyaC//artP//gltD//garP//atoA//yfbR//cvpA//phnG//cvpA//
MalT-ADP-Maltotriose_pos	bioD//grxD//crr//hypB//napG//fbaA//priB//frdB//patZ//lsrA//
MalT-Maltotriose-ATP_pos	trpB//fecR//yegZ//efeU_2//hflK//ugpQ//hemA//astA//exbB//rplB//
MelR-Melibiose_neg	betB//rseA//oxc//
MelR-Melibiose_pos	yaiW//araA//cysJ//
MetJ-S-adenosylmethionine_neg	rrlG//yhhY//lpd//iclR//glpQ//mlc//rhaS//ompF//cvpA//metA//ccmB//ilvG_1//appB//rrfD//alkB//
MetR-L-homocysteine_neg	nadC//nrfB//
MetR-L-homocysteine_pos	uidB//ccmA//rutB//chiP//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	rhaT//nrdH//manZ//hyfE//phnC//lysA//
MhpR-3HPP_pos	mdtB//kbl//trpB//fixX//tcyJ//fabZ//
MntR-Cd2+_neg	zraS//atoD//malI//gpsA//
MntR-Cd2+_pos	fadE//
ModE-MoO42-_neg	ybjG//ugpA//phnJ//hypA//ppdD//purB//pdhR//galP//ytfE//gntT//gltA//fepA//iscS//nrfG//yhjA//
ModE-MoO42-_pos	rrfD//gnd//tyrB//speB//fnr//moaE//agaW//ycjX//garR//lpxD//cysC//ydhX//gspI//hypA//sdhD//copA//galS//nanK//ycjX//glgS//cheR//fecA//yhiD//epd//yneM//ilvB//feoC//metB//caiC//glcF//tnaC//
NarL-Phosphorylated_neg	hdeB//mhpT//rrlG//codA//nuoA//atoA//srlA//puuP//nikD//trmD//ulaA//gspC//hofC//cydB//yfdE//rstB//aceB//uxaA//gntP//ilvY//ulaB//fadE//speA//aceF//tonB//cyoD//purN//hisM//edd//ygiA//hybG//hybC//rplI//thrV//iscU//cusB//deoB//crl//nuoG//garK//sdhC//yfdX//napF//glgX//metI//ynfG//gabT//cysW//nuoF//artM//caiE//ulaB//waaH//oppF//carB//marR//zntA//ascB//gcvH//cpdB//caiB//xseA//nagA//uraA//tdcA//glpA//ppiD//nanM//narI//cpdB//csgA//iscS//cysC//lldP//srlA//ahpC//rrlC//cpxA//argB//allC//hpt//ugpQ//dcuR//puuC//ubiG//citE//
NarL-Phosphorylated_pos	bamA//melB//rrsG//fepD//dsdX//cynX//gutM//nagB//melB//paaF//murP//gspF//phnI//dsdA//cheZ//oppA//glnB//trpB//feoB//malQ//rrfA//cpxA//argB//fhuF//purK//yibN//csgF//nanS//uof//fdhF//bdcA//modC//ulaA//rpmI//gadC//atoB//phoQ//ilvA//nagE//slyB//rplW//folE//cydB//paaA//ynfH//tdcG//
NarP-Phosphorylated_neg	ycdZ//nlpE//oppA//cytR//fucR//ryhB//tfaQ//chbG//fadH//yojI//prpC//preA//sodA//cysU//hypA//tauA//glrR//cheR//glcG//fumC//zntA//prpR//csgE//rplS//prs//feoB//tauB//xdhB//purB//chbG//yidQ//grcA//pgk//
NarP-Phosphorylated_pos	hybO//hypF//mhpB//cspD//fdhF//ykgM//appA//rrfH//mhpT//fldA//ynfH//codB//ykgR//rutF//entB//rrsD//lldR//napH//nac//lsrB//rbfA//glnD//oxyR//glmY//cadB//gadC//purB//rnhB//oxc//rprA//fadD//dmsC//
NhaR-Na+_pos	yfdV//allD//qseC//garL//znuB//
NikR-Cd2+_neg	mhpC//ulaB//cirA//appY//hofN//moeB//
NikR-Co2+_neg	ydhY//prs//fimE//gabP//cydC//fadL//
NikR-Cu2+_neg	udp//ybdZ//cadC//napG//aldA//xseA//
NikR-Ni2+_neg	purR//mntP//sufS//rrlH//frdD//hyaC//
NikR-Zn2+_neg	murP//mhpD//hyaE//amiB//frdA//rseB//
NrdR-ATP_neg	lsrD//hyaE//hofC//fumC//deoD//metC//nlpE//phoP//alaV//
NrdR-Zn2+_neg	nrdI//rrlD//nagE//nmpC//fepB//tktB//dppB//gatA//rstB//
NrdR-dATP_neg	icd//cpxA//allD//hycF//mgtL//trpD//appX//argT//ydbD//
NsrR-[2Fe-2S]reduced_neg	hybD//lsrD//fixC//rdoA//araD//betT//nrdH//rbfA//gltF//gatY//abgA//rrfF//tdh//ykgR//agp//ycjX//dppA//gltW//glpX//exbD//aroL//yhfA//entE//uidA//yaiA//phnG//hyfB//tsgA//norV//fecD//uof//cheR//zwf//gltU//mltC//hcr//artJ//rplV//yegH//hyfG//garK//glnA//napC//glpE//livG//hyaE//ybdZ//ptsH//gatA//acs//nagE//csgD//sbmA//pdeF//ung//fixX//hdeA//iraD//azuC//hyfH//deoD//lsrF//nanM//marR//entS//lacI//dnaE//rutC//uhpT//malG//fucR//trg//caiT//
PhoB-Phosphorylated_neg	tadA//casA//hycI//rrfG//mzrA//tyrR//fecB//nrdD//yeiL//rhaB//hcr//emrK//rplW//
PhoB-Phosphorylated_pos	pncB//pgaD//zinT//ydhV//putP//mhpC//nuoG//tehA//acrA//cynX//lsrC//metJ//entB//hybO//dadX//tcyJ//yggX//ada//nikD//lsrR//focA//rutG//pck//mdtB//hupA//xdhC//ugpB//cheA//sohB//rrsG//norW//gspM//cusC//torC//ulaC//xdhC//mgrR//tadA//glyA//ssuB//mhpD//glnK//malS//slt//mtlA//fecA//cytR//cusF//narL//livH//glgA//lacI//tolC//
PhoP-Phosphorylated_neg	entS//csgF//pepT//gcvH//psd//pgaC//nrfC//nohA//ftnA//cysK//purK//
PhoP-Phosphorylated_pos	glcC//yhhY//feoA//dcuD//hisP//livG//nanM//dppD//bamE//cusR//trpA//adiC//lldR//hyfF//mhpF//lsrG//yneM//dcuS//ftnA//rrsH//argR//mltC//cpxR//ydhU//fbaA//kbaZ//uraA//deoD//dsdC//cadA//yidQ//phoR//rpoH//fucP//garL//hha//aaeA//hmp//trpE//borD//fnrS//degP//yeaE//mglB//garR//napD//codA//nrdE//psd//
PrpR-2-methylcitrate_neg	lacI//
PrpR-2-methylcitrate_pos	nuoN//araJ//cysP//ampE//
PurR-Guanine_neg	ydiU//ugpA//atoD//allE//xdhA//guaA//yqjH//yfdE//hisJ//dcuS//nikA//hflC//abgA//fepE//nirC//casD//gltF//fecC//aceB//dcuA//evgA//lpd//nuoI//rseC//yccA//caiT//aaeX//galT//fecD//ydbD//pstA//hofO//fnr//aspC//
PurR-Hypoxanthine_neg	nrdH//malK//bioA//paaJ//ulaB//hyfI//ssuE//prpE//yfbR//hycE//ryhB//ycjF//bglF//hdeA//lsrC//modA//ychO//caiB//cysM//preT//dnaN//acs//yeaE//lpxA//yjjZ//betI//rdoA//cheW//narH//livH//nikA//pgk//araH//idnK//
QseB-Phosphorylated_pos	ampD//pstA//soxS//nohA//
RhaR-L-rhamnose_pos	ydbD//fixA//
RhaS-L-rhamnose_pos	prs//metA//hybF//
RstA-Phosphorylated_neg	rbsD//tadA//ilvH//gcd//metC//
RstA-Phosphorylated_pos	caiC//gutM//pncB//nrfC//cysM//
SoxR-[2Fe-2S]3+ oxydized_neg	lysP//
SoxR-[2Fe-2S]3+ oxydized_pos	argR//gdhA//mdtB//
TorR-Phosphorylated_neg	yhiD//
TorR-Phosphorylated_pos	truB//yeaR//metC//fucU//yqjH//rseB//tauD//aer//aceB//
TrpR-Tryptophan_neg	gntT//melB//ynfE//gcvP//xdhC//ybfN//zraR//sbcC//artI//araA//ccmH//nirB//
TyrR-L-tryptophan_neg	yojI//napF//hyaA//fimE//ompW//paaI//hyfF//tsaE//paaB//phnG//mutY//paaB//
TyrR-L-tryptophan_pos	atoD//yhjC//glrR//
TyrR-Phenylalanine_neg	narJ//rrsG//fis//yiaJ//ilvA//rrlE//gabT//astB//rprA//hofC//yeaR//puuP//
TyrR-Phenylalanine_pos	rhaA//upp//baeS//
TyrR-Tyrosine_neg	phnN//dmsA//bioF//napH//csiD//gltU//fucI//tyrR//nanT//gcvT//fadD//yccA//
TyrR-Tyrosine_pos	ssuA//hycG//narQ//
UhpA-Phosphorylated_pos	grxD//
XapR-xanthosine_pos	ssuB//rplV//
XylR-Xylose_pos	oppB//rof//pnp//acnB//bglG//yhiD//
ZntR-Cd2+_pos	fixC//
ZntR-Hg_pos	nagA//
ZntR-Zn2+_pos	cas2//
ZraR-Phosphorylated_pos	bglB//nadC//yeaR//
Zur-Zn2+_neg	uxaA//iscR//ansB//glnG//fucO//hyfE//
