#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	araE//hyfC//
CRP-cAMP_pos	hdeA//phnF//gntT//mgtL//frdB//feoC//xdhB//yaeP//hyfD//pstS//narH//lsrB//sxy//sucD//lysO//sucB//dcuA//argD//bioC//ppiA//rutB//ssuD//lacZ//yqjA//fdhF//efeU_1//pheT//baeR//carB//rybB//hflX//lsrD//ccmF//napC//hflD//caiE//dapB//fhuB//artI//yebE//yfdV//gatC//alkA//dsdC//tcyJ//hypF//trpD//nfuA//nrdH//hyfI//fhuF//rpmI//gntP//nupC//rbsB//srlA//yeaR//rpsQ//argE//crr//sodA//uxaB//trpD//ryhB//sbmA//sufC//fhlA//rpoS//ssrS//exbB//nrfF//xapA//lpxA//ygiB//tdcD//uof//rhaS//speA//araD//lpxD//ccmE//napA//yqjH//mepH//ileV//nagC//lacI//dadA//rpsF//kbl//pagP//dmsD//xylR//ugpQ//oppB//ubiA//hcp//aceB//malQ//infB//carA//sucD//codA//nfuA//envY//rnlB//nupG//nikB//prpC//ydeO//ilvL//srlE//hmp//mutL//rutB//phnL//nuoF//sroD//ybdN//mdtA//spy//marB//alaS//ahpC//sdhC//mtlD//ppdD//dmsB//arcA//ebgA//zraR//metH//tsr//zraP//tfaQ//dsdA//cydC//puuR//rbsR//uxaB//gspH//nikB//zwf//araC//ompT//hdeA//metI//bcsZ//serC//rcnA//hycI//rrfG//argB//livK//fhuD//yidQ//cyaR//ccmD//ydhT//ansB//sbcD//cydC//skp//ompR//flhD//xdhB//glmY//malT//idnR//rrlA//mdtC//nikD//rhaA//ada//aroA//lpxA//ubiA//zraP//sdhB//grpE//fucK//iscU//tyrB//xdhA//speC//lsrC//cvpA//xdhB//fecB//hycI//hycE//dcuB//gltB//nmpC//rnlB//astD//fimE//hyfR//purA//tadA//rof//ilvX//tyrB//malY//fepG//nagB//fumC//guaB//ulaD//tktB//fecI//ygiB//lysO//zraR//ssuD//pncB//csiE//gspD//rutA//uraA//emrY//znuB//cynT//putP//metY//rbsK//pstS//ivbL//cyoE//rplC//hpt//tadA//znuA//grxD//mutY//fimD//tfaQ//lysA//rrfA//osmC//gltV//dppC//purB//lysC//ccmA//tauB//chbF//mdtD//dcuC//ykgO//rutA//miaA//araJ//ulaD//ptsG//cysD//ybdN//yjeF//hybB//ychO//caiD//paaC//sbmC//rmf//frdA//torA//ycdZ//narL//aroG//mntS//mhpR//mdtC//rimM//gspJ//purA//phnP//chbC//mhpA//yaeP//malY//rplM//tonB//appA//psiE//cynR//slt//ssrS//dcuR//casA//trpE//mhpB//acs//speA//cadB//rbsK//hybF//aceF//nrdF//csiD//nikA//alaV//hyaE//fecI//mglC//mdtA//pgaA//lpxA//ykgR//cynT//csgC//manX//tehA//cadC//xylR//nmpC//aroL//mgrB//gltA//fimD//dcuC//puuB//grxD//envZ//feoA//epd//gpmA//mhpB//ssuB//nuoI//dapD//rrsA//aroP//mcaS//ilvB//csgC//citD//osmC//zraR//norW//ebgC//csgA//cysH//yoaG//paaH//gnd//ldtB//phnE_2//bcsB//fimG//paaB//nrdG//kbaZ//nikB//pstS//zwf//rutF//malS//ybjG//hypC//xseA//rpsR//ugpC//edd//ugpB//rhaB//nupC//pncB//nanM//trxA//gltW//ompF//tauD//bamE//phnF//yegR//ssuE//hyfD//fecA//bcsB//gntT//nirB//lrp//envY//artM//ansB//uhpT//aaeX//casD//slyB//paaF//aceF//xdhC//uhpT//rrsG//pstS//nrdF//baeS//ulaA//cynX//crp//ppiD//iclR//gdhA//entC//purA//rbsA//purL//ampD//manY//nrdG//cadC//amiB//fadJ//yebE//betI//cynR//uhpT//caiA//fadL//glyA//ydbD//ccmH//prmC//tyrR//fumA//nrfE//bcsC//bdcA//cstA//
ChbR-Monoacetylchitobiose-6P_neg	mglC//nagB//rpsF//ilvC//yoaG//bamA//
ChbR-Monoacetylchitobiose-6P_pos	rutD//hcp//yjcH//nuoF//ysgA//csgF//
CpxR-Phosphorylated_neg	mglC//glgS//hslJ//srlD//sodB//phnC//fucR//glgS//serC//sbcD//mtlD//fiu//ynfH//csgB//rplS//ykgO//srlE//nirD//dnaA//lsrC//bacA//gspI//serC//hyaE//
CpxR-Phosphorylated_pos	nfuA//hofN//acnB//nrfA//pyrD//dnaE//fimA//purM//gpmA//rcnB//lysA//dapB//fucR//trpL//hofC//fhuE//iclR//gapA//yqaE//fimC//rplC//fimE//cadB//pstS//fepG//gltB//trpE//tdcE//araA//hybA//dcuA//nupC//motB//ppiD//tadA//pgpC//yeaE//nikR//infC//metN//ompA//ydhW//livH//iscA//sdhD//
CreB-Phosphorylated_neg	rpoH//rstB//tdh//
CreB-Phosphorylated_pos	artJ//malT//ccmA//fhuA//argA//hybF//
CueR-Ag_neg	dsdA//gabP//ileU//aroL//atoD//
CueR-Ag_pos	iscS//ssuC//
CueR-Cu+_neg	araH//rprA//ilvG_1//csiD//csgD//
CueR-Cu+_pos	rrfC//phnJ//
CuerR-Au_neg	glpQ//cytR//srlD//mntP//caiA//
CuerR-Au_pos	gpsA//ccmD//
CusR-Pasp_pos	mipA//rrsD//xdhA//nanE//ccmB//trg//bglF//nupG//rpsR//rrfF//nuoM//malY//
CynR-Cyanate_neg	yiaJ//
CynR-Cyanate_pos	artQ//ung//hisM//
CysB-N-acetyl-L-serine_neg	prs//mepH//glgS//cyaR//hyfJ//xylH//mhpA//
CysB-N-acetyl-L-serine_pos	trpE//gspL//gutQ//hyfG//oxc//cspD//talA//tap//dppB//yibN//gspE//cusA//ssuB//fepD//pncB//rplT//chbC//slyB//soxS//napH//rrlH//fecR//nagA//
CysB-O-acetyl-L-serine_neg	rbsR//hyaA//pgk//rpoH//ynfG//upp//alaV//
CysB-O-acetyl-L-serine_pos	aroA//cysP//dkgB//srlD//phoU//mtr//adhE//argE//glpB//spf//dkgB//ccmA//melR//hupB//rseB//rrfC//marB//hypF//yeaR//pepT//moaE//uhpT//pheT//infC//
DcuR-Phosphorylated_pos	ispE//chbR//mdtC//casD//pgaB//malX//metF//hcr//aroF//
DnaA-ATP_neg	napG//fecD//argE//narX//ulaB//dppB//rbsR//efeU_1//araA//artP//tdcB//
DnaA-ATP_pos	speA//rpsS//phnI//livM//aceA//xapA//marR//
DpiA-Pasp_neg	dps//
DpiA-Pasp_pos	envY//malS//ilvH//sbcC//rpmC//fucR//hybG//cyoC//acs//cydC//
DsdC-D-serine_neg	fumA//
DsdC-D-serine_pos	rhaS//ydhU//
EvgA-Phosphorylated_pos	pgaC//lsrC//kbaZ//sdhD//casD//bhsA//gatY//yqaE//mtlR//glpC//fixB//phoU//ubiC//lrp//katE//
FNR-[4Fe-4S]2+ reduced_neg	pgk//caiE//citX//mdtC//rutD//xdhB//cra//treR//mglC//mhpA//fepA//hfq//rrfD//exbD//dppF//alaT//bglG//codB//trmD//hybB//pheT//rnlA//pepT//metL//betT//rrlB//murQ//rplI//rplV//hypE//hybC//fliA//ansB//glgA//mhpE//ygeA//yccA//fimA//araB//metB//ynfH//hyfB//purN//feaR//ygiB//arfB//gntP//gdhA//kbaZ//phoA//ybfN//lpxB//nfuA//glpF//lacA//ydeJ//chiP//focB//fimG//trxA//fumC//speB//ccmA//hypD//xseA//yjjZ//casB//hyfR//fimA//yqaE//fldA//hdeA//oxyR//emrK//paaE//glpG//yqaE//infB//rseB//ascB//paaF//csgC//hyfA//argD//puuA//fimI//rpsI//gntR//ubiG//glrR//ynfH//dnaN//gltF//tdcA//cydB//manX//folE//tsr//nac//rplS//narX//aspC//uxaC//proP//phnI//entH//idnO//rrfD//zraS//tolC//frdD//nrfC//iscR//xylA//acrA//cysM//oppC//amiB//nupG//fadE//
FNR-[4Fe-4S]2+ reduced_pos	dnaA//pheM//paaZ//tauB//atoB//glpR//fdhF//alaA//mglA//tsaE//ynfG//malF//gabP//manA//glcC//ptsH//dppB//hofP//cas1//nuoE//yjcH//phoR//puuB//yrbL//ilvL//flhD//nuoJ//iclR//pstS//tauB//garL//rpsC//rrsE//mgrR//rnlB//rmf//frdC//sohB//zraR//fimD//citG//napB//tfaQ//fucR//gcvH//fadI//fucK//folE//phoQ//mipA//nuoK//caiC//hycD//bdcA//feaB//rmf//ykgO//nirD//gltW//artP//rmf//phnO//paaJ//mltC//yfaE//rpsI//argT//yaeP//prpE//rnpB//narL//ptsH//mdtA//trxA//rrlE//entE//nuoJ//cysI//ydhU//ftnB//ebgA//yhjC//metR//nanE//yciW//truB//yoaC//rrlH//hypC//hemL//phoA//nanT//appY//aceE//nlpE//xylB//moeB//ygiA//ynfH//gatC//ilvN//yjeF//abgT//ygiB//mutL//srlB//trpB//yfdV//rpsQ//argR//aroL//mgrB//nagA//ytfE//uxaC//tyrP//frdA//citE//speC//uvrA//rstA//tdcE//tfaQ//rnpB//xdhA//aroM//rnlB//metE//prmC//soxS//gspI//mdtC//idnR//sucB//allD//paaI//rpsJ//fepG//codB//cpxA//bglB//nrfD//ompW//pncB//sufD//phnL//dmsB//yneM//priB//rcnB//csiE//feoC//ydbD//oppA//phnE_2//ispE//ilvN//mhpD//xylR//iscA//csiE//rpsS//ileU//dcuD//yqjA//rrfA//uvrA//aspA//soxR//speB//rrsE//aroL//phoP//spy//mntP//nikC//astD//astB//pstC//glpQ//oppD//aspA//ynfE//fixA//aldA//gspI//evgS//preT//allD//dppD//gcvH//fliA//ychH//rrfF//fadB//paaE//pta//fucR//cydA//hycB//melA//malY//
FhlA-Formate_pos	idnO//rrsB//aceF//feaB//ansB//paaK//xylG//ubiA//ompA//fimI//nrfB//bglG//cysD//gabT//oppD//xdhC//alaU//phnE_2//entB//glpF//cysD//edd//hisM//dmsA//araC//fimG//oxyR//argA//rseB//dcuD//
FucR-L-fuculose-1-phosphate_pos	nrfC//narK//sucC//csgG//torA//cheZ//ompF//
Fur-Fe2+_neg	treB//aaeB//rplT//araA//ilvX//mcaS//ulaC//oppB//ivbL//hofC//glcB//phoH//citC//cydB//hemL//betA//nfuA//rpoS//malQ//mglC//gltV//yggX//abgA//fecR//lacY//uvrA//yjjZ//gatY//pgaC//dcuD//trpD//lacA//hyaC//phnD//rcnA//yjeV//fucP//ptsH//cydA//dapD//acs//nuoF//ompW//yjcH//tauB//cysI//ndh//dmsC//araH//rbsC//puuA//bglF//folE//hybO//yaiA//yfaE//xdhC//pstC//malP//glcF//patZ//rimP//exbD//yjeF//uxuR//agaA//marA//rcnA//caiE//metE//dpiA//priB//malS//glnB//bioC//prpR//adhE//qseC//moeA//phnF//galE//allE//trmD//ycjF//yojI//lacZ//ydhU//nadC//hofO//csgA//rrlC//yecR//lacI//iscA//nlpE//hyaF//argE//yeiL//prpE//nagE//exuT//mtr//glcG//gltV//cydB//ispE//prpC//safA//pitB//paaE//fur//focA//garK//entF//gspG//nuoE//tar//hdeD//fnr//envY//acrF//fucO//hyfB//cytR//
Fur-Fe2+_pos	puuB//ptsI//cusC//cysG//ybdN//fnrS//rseB//feoA//atoA//codA//fimC//glpT//uxaB//yfiP//tsaE//ppiA//pnp//micF//citE//psd//rpsO//hycC//hypE//ccmD//mntS//
Fur-Mn2+_neg	abgT//aroM//hydN//trpE//oxc//trpC//gspE//yqaE//grxC//purA//sufD//uvrA//garL//idnT//infB//lldD//entH//ygeA//moaE//epd//paaG//mpl//nuoN//dpiB//ugpQ//yhiD//tdcG//nrfB//ulaE//yjcH//cusF//ldtC//hypC//zinT//hycG//srlD//cysM//argG//cydA//alaT//fumA//nrdA//gcvH//asr//idnK//alaV//rutF//puuA//paaI//gntU//glpX//rpoH//dppA//fixX//mhpA//alaT//garK//sxy//nuoG//rhaA//hyfI//bioB//csgB//znuB//mtlA//cusS//glpT//gltV//priB//moeA//malG//ybiT//cyaA//raiA//argO//paaF//fumB//manX//nirB//dppB//glpK//lsrK//speB//glcF//aroG//ssuA//thrV//lysA//metB//yjcH//bamE//allC//hybD//ompR//oppD//malT//glpX//yfdX//fiu//gspC//ascF//phnE_1//thrS//icd//rof//dsdA//emrK//sucC//cysB//yeaR//gyrA//pnp//speC//nac//hisJ//bglF//tdcC//gltB//aceE//glcC//fadD//cstA//hlyE//mntS//
Fur-Mn2+_pos	yoaC//fadJ//pgk//nmpC//artJ//fdnG//yebE//nrdF//cysM//gatC//zwf//nirB//yjeV//hyaE//cynS//ada//gspE//gatD//fepA//phnJ//glgP//uxaA//chbC//puuD//nrdH//
GlcC-Acetate_neg	alaT//
GlcC-Acetate_pos	gatZ//aceF//yebE//cysG//gltW//pstC//
GlcC-Glycolate_neg	yebE//
GlcC-Glycolate_pos	ileV//cheZ//ompA//tdcD//dppC//ugpE//
GlrR-Pasp56_pos	copA//
IclR-pyruvate_neg	fecR//gspI//mntP//torC//
IdnR-5-ketogluconate_neg	focA//fadA//rrlC//
IdnR-5-ketogluconate_pos	prpD//ygbA//ackA//pheM//nohA//
IdnR-Idonate_neg	cysD//frdC//rybA//
IdnR-Idonate_pos	psiF//argC//marB//rseC//dmsC//
IlvY-2-acetolactate_neg	acrA//
IlvY-2-acetolactate_pos	ahpC//
IlvY-Alfa-acetohydroxybutirate_neg	lpxA//
IlvY-Alfa-acetohydroxybutirate_pos	ilvG_1//
IscR-[2Fe-2S]1+_neg	glnD//rhaD//cysI//gcvT//uvrA//gltW//citC//gltA//abgT//bdcA//fadB//hyaD//znuB//mtr//metC//rutG//marR//bioC//lldR//rpsO//livK//ysgA//crp//lldP//emrY//bcsB//hyfF//gltV//frc//cydD//
IscR-[2Fe-2S]1+_pos	yeiB//entA//hha//nlpD//torR//hpt//ygbA//fucK//lpxB//rutC//hybA//
LldR-L-lactate_neg	glgA//mltC//feaR//
LldR-L-lactate_pos	lsrD//chbA//rbsB//
Lrp-Leucine_neg	nikA//rpsJ//acnB//ilvI//rplS//motB//narQ//rpsS//glpC//exuT//hycI//rimM//hyfJ//rplM//paaA//motA//ahpF//nlpE//acnA//bamA//bcsA//slyB//sbmC//gspM//fimG//hydN//astA//pdeF//dcuB//ilvI//purC//deoC//gspE//mntS//appY//paaZ//cysG//hflX//cydA//cheZ//glcA//ulaD//xylR//rnpB//atoA//astB//idnT//spy//sxy//fdnH//araG//yidQ//fiu//fhuF//tehA//murQ//ogt//hofO//tnaA//paaJ//fhuC//cyaA//hyaE//phnK//epd//astA//srlD//artP//ubiX//pstA//tauD//malT//pheM//aroG//cytR//
Lrp-Leucine_pos	malG//fldA//secB//hpt//lpxD//rrfB//araE//oppB//glpC//nmpC//artI//metB//rdoA//cytR//mhpD//hypA//adiC//glpD//mgrR//glpX//araA//sdhA//mntH//cytR//gadC//paaA//yggX//osmC//srlB//flhC//sucA//cysG//umpH//bacA//moaD//
LsrR_neg	galP//ykgR//rbsB//fhuD//malT//nuoE//ugpB//purE//gspO//
MalT-ADP-Maltotriose_pos	glpD//garK//gntP//feaR//ydbD//malT//ompF//ykgR//alaU//araD//
MalT-Maltotriose-ATP_pos	nuoJ//ydbD//aaeR//lsrC//malF//glcE//crp//yegR//zinT//malK//
MelR-Melibiose_neg	tnaB//purB//aldB//
MelR-Melibiose_pos	glcC//nanE//mglB//
MetJ-S-adenosylmethionine_neg	oppF//mtlD//rrsE//nrdB//trpL//appC//zinT//fimE//fhuD//dcuS//nupC//purA//entE//ccmE//soxS//
MetR-L-homocysteine_neg	mglA//fau//
MetR-L-homocysteine_pos	carA//aroL//lsrG//ubiC//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	gspM//glgS//nanE//ompX//cas2//entH//
MhpR-3HPP_pos	fhuD//tnaA//lldR//pyrD//cysN//rstB//
MntR-Cd2+_neg	lpxD//ccmA//tfaQ//tyrR//
MntR-Cd2+_pos	gspL//
ModE-MoO42-_neg	ryhB//rrfD//ccmA//edd//glnA//udp//argD//napH//rcnA//glnD//exbD//cynS//ssuC//tauC//mscM//
ModE-MoO42-_pos	lysO//trpR//yegH//appY//creA//nanA//rprA//cydD//ptsI//micF//sbcD//rhaS//idnK//narH//caiC//ydhU//paaA//deoD//araD//hyaB//mutL//hemL//nuoM//nikC//evgS//gcvT//citC//mntP//galE//bcsZ//ydfH//
NarL-Phosphorylated_neg	livG//appX//allD//bcsZ//rrlA//nrdF//upp//psd//sxy//fepC//glcD//nikR//lsrA//casA//safA//glyA//oxyR//hyfA//tauC//sdhC//idnT//uidA//fimF//hyfE//baeS//zraP//rhaS//deoB//ydeN//efeU_2//dapD//norV//cueO//gatA//puuA//rnlB//ssuB//glnG//fepE//alkB//grxD//lpxA//metI//tdcB//napC//mgtA//puuD//gltW//pagP//exbD//rpmI//mhpD//uhpA//lsrD//glpT//yibN//argI//uidB//norV//nrdF//yqjH//ydhX//lhgO//mgtL//rpsO//rrsD//araJ//livF//dnaA//sucD//rrlE//lsrA//atoD//argE//yoaC//astB//gcd//glcA//dnaA//ccmE//ydfH//malG//ilvB//cytR//phnE_2//oppA//
NarL-Phosphorylated_pos	ampE//fimI//hyaB//tam//cheW//tauD//murQ//amiB//sucB//entC//uraA//fepG//phoE//yqaE//gntR//cydC//tar//cheZ//xylR//grpE//yoaG//agaW//hofP//phnH//torA//dadX//malT//nrdG//fau//azuC//purK//trpR//narG//malS//metR//rpmI//ssuE//raiA//ssuB//ccmH//mhpC//alaT//cstA//purC//trpC//galM//
NarP-Phosphorylated_neg	nuoL//fau//lysO//napC//codA//yidQ//yjeV//rrlD//paaK//kbl//araC//aroM//moaD//ftnB//grxC//trpL//rbsA//trg//metQ//fecC//sxy//rplV//ygeH//fes//psiF//manY//cysC//pyrC//cysA//malI//cyoB//ada//ilvB//
NarP-Phosphorylated_pos	bcsA//trpD//thrS//lsrK//iscA//yecR//baeR//proP//dpiA//stpA//cueO//rpsF//frdA//cysB//hyfI//yedX//cynT//csgA//gltF//hycG//icd//cyaA//moaB//ychO//hisP//ung//cstA//degP//rdoA//paaE//dppD//nirC//
NhaR-Na+_pos	dnaN//hyaF//amn//yaiW//tdcG//
NikR-Cd2+_neg	rplP//efeU_1//manZ//yjcH//fimG//glmY//
NikR-Co2+_neg	yfiP//hybA//crl//bhsA//purH//zraP//
NikR-Cu2+_neg	mdh//gatA//aceK//argI//pck//fiu//
NikR-Ni2+_neg	lolB//gspL//ansB//nrfE//appB//gadB//
NikR-Zn2+_neg	cydC//mdtA//prfA//speA//yfdX//rpsJ//
NrdR-ATP_neg	puuD//narH//livH//lsrK//bamE//aaeR//rrlB//lsrG//rrlD//
NrdR-Zn2+_neg	garR//glcE//mgrB//hypE//hyaD//fis//rplB//frdD//feoA//
NrdR-dATP_neg	yhiD//metR//hyfA//dnaN//fbaA//polA//ileT//fecR//paaB//
NsrR-[2Fe-2S]reduced_neg	hlyE//yeiP//rrlG//envY//aroM//torC//oppC//borD//rpmI//lsrC//nrfF//rpmC//lpxD//fimD//rbsA//folE//alkB//modC//icd//fecE//dapB//yciW//nohA//ugpQ//guaB//acnA//caiB//ebgA//bhsA//cynR//rplC//cusA//rhaA//yoaC//glcC//hcp//idnD//fecE//frdC//fhlA//rof//paaI//modA//hlyE//epd//metF//ryhB//rpmI//torA//phnE_2//map//malS//phnH//bioB//fhlA//gatB//ubiX//prfA//pheS//sdhA//ydfN//uhpB//phnM//aroA//glpD//aaeX//glcC//astA//prpC//gspO//lsrG//mtlA//borD//
PhoB-Phosphorylated_neg	hyaA//gspD//ydeM//glgC//pgaA//mdtD//galK//lsrD//bamA//citG//fdhF//mgrB//ygbA//
PhoB-Phosphorylated_pos	nuoK//fumC//cysH//nikC//galS//rutA//slyB//gabP//mzrA//ilvE//tfaQ//efeU_1//rutB//nmpC//nrfF//putP//fepA//hypF//ybdZ//astE//gltF//phnF//fis//ubiC//lsrF//hycE//napF//yeaR//cpdB//bcsZ//galE//xylH//paaF//ilvY//amiB//rrlC//dpiA//paaE//ydfH//paaK//glnB//yqjA//moeB//cysP//lacY//rrfH//cdd//alaA//fucA//hcr//phoR//srlB//dmsA//
PhoP-Phosphorylated_neg	ulaD//caiB//ygiB//flhD//exbB//feoC//hycF//envZ//bcsB//yidQ//phnP//
PhoP-Phosphorylated_pos	nadC//paaD//rstA//nrfC//infB//psiF//rutA//nuoN//spf//copA//murP//hisP//ykgM//exbD//yeiW//hofM//raiA//ryhB//narJ//ybjG//tam//ycjF//ynfH//mtlR//marR//caiE//focA//pdeF//bcsB//phoP//aroP//yjiY//metC//lamB//prpE//manZ//ubiG//nagC//psiF//murQ//purF//ydhX//cysP//phnK//artJ//kbaZ//murQ//hyaB//alaS//
PrpR-2-methylcitrate_neg	mgtL//
PrpR-2-methylcitrate_pos	hycH//gadC//lolB//torC//
PurR-Guanine_neg	aldA//yhcH//tomB//rrsB//sodA//ampD//sdaA//dadX//mlc//araD//cydC//fucR//puuA//ptsI//mcaS//yeiP//cusF//puuR//folA//pagP//yciW//nanT//ybdN//galS//hofM//abgB//rseA//gspF//narH//thrV//hypB//lacA//ulaC//priB//
PurR-Hypoxanthine_neg	glnK//carB//nrfB//astB//erpA//yeiL//zntA//thrV//lsrD//tsgA//ynfH//araC//yjiY//rrsH//rrsB//rrfD//sdaA//fhuF//dmsD//sdhD//metL//gntK//dsdA//chbA//yidQ//malY//ompR//gatB//rrsH//malK//galE//dmsC//amtB//hofM//
QseB-Phosphorylated_pos	rplI//nrdD//sxy//ydeJ//
RhaR-L-rhamnose_pos	pstC//modB//
RhaS-L-rhamnose_pos	feoA//sufD//dcuA//
RstA-Phosphorylated_neg	hofC//ydhT//yeaE//moaE//sbcC//
RstA-Phosphorylated_pos	deoB//yecR//phnH//melA//fixC//
SoxR-[2Fe-2S]3+ oxydized_neg	nanK//
SoxR-[2Fe-2S]3+ oxydized_pos	rimP//adhE//argF//
TorR-Phosphorylated_neg	fdnH//
TorR-Phosphorylated_pos	rhaD//hyaD//dcuS//tdcE//mpl//hyfH//fimI//tomB//aceF//
TrpR-Tryptophan_neg	infB//yfbR//ydeJ//sucD//csiE//fimI//purK//uxaB//rrsH//csgF//puuP//acrA//
TyrR-L-tryptophan_neg	purR//rrfF//csiE//cusB//araB//yegZ//fimE//arfB//dcuA//phoQ//cyaA//mhpF//
TyrR-L-tryptophan_pos	nanT//glpD//proP//
TyrR-Phenylalanine_neg	hyfE//glpF//glgA//gspE//aspC//dmsA//agaA//rpsR//acs//fepB//gspL//mdtB//
TyrR-Phenylalanine_pos	ulaD//aceE//gntU//
TyrR-Tyrosine_neg	lysU//mutL//norW//prs//rpsQ//manA//argF//metB//nuoA//trxA//rprA//rstA//
TyrR-Tyrosine_pos	yjeF//cysJ//dps//
UhpA-Phosphorylated_pos	ugpQ//
XapR-xanthosine_pos	efeU_2//bcsC//
XylR-Xylose_pos	ugpE//tdcC//ynfE//rcnB//gspJ//fumA//
ZntR-Cd2+_pos	epd//
ZntR-Hg_pos	fucO//
ZntR-Zn2+_pos	hyfD//
ZraR-Phosphorylated_pos	lsrK//yeiW//lhgO//
Zur-Zn2+_neg	miaA//rbsK//glgC//cysH//paaF//metL//
