#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	exbD//crp//
CRP-cAMP_pos	cysM//mhpT//rrfB//napF//sdhC//hisJ//cusS//acnB//lysA//ahpF//narJ//uhpB//rmf//glpC//motA//dppD//narI//tauB//rbfA//entE//rnhB//lysA//nuoN//cadC//epd//gspL//oxyR//slt//csgB//astD//fucO//manA//rseB//purB//metA//bcsA//agp//fimD//abgA//nuoN//cadC//fimI//grcA//abgT//rnpB//tdcA//ydeA//nikB//cas1//gltW//azuC//rrfH//borD//ydiU//csgG//metI//ptsG//lsrK//phnK//cusA//mepH//pyrC//bdcA//gatB//uhpC//ugpE//hyaC//ilvE//phnF//rcnB//sdaA//dsdX//rrlA//ilvA//nuoB//mtlR//ydfH//tnaA//xylR//pck//ubiA//pgaB//hdeD//fimE//nanC//skp//frdD//torD//cadC//dppD//glpG//bglB//rrlD//rbsK//gspM//dcuA//rpsI//astB//zraS//ompF//fdhF//ssuB//agp//bamA//fucI//frdA//folA//gpsA//ivbL//phnG//gatZ//torR//phoH//copA//ulaF//yhcH//trpL//lsrR//metC//gntP//slt//glgS//narX//fecR//fecI//yeiW//srlB//citX//moaD//katG//cytR//glpD//gyrA//sbmA//tpx//ccmA//cdd//uraA//ydhY//fimA//allC//pheM//feaB//malG//fbaA//ubiA//flhD//yfdV//fes//amtB//pitB//tar//lamB//nagB//hflX//xylF//ampE//uof//rof//sucA//sbcC//yhcH//gspE//yfaE//galP//lysA//rpsF//carB//kbl//yebE//ccmF//skp//argE//fucR//hofO//tsgA//iscR//sdhB//fixC//yjeF//efeU_2//ilvD//yidQ//ugpC//nanM//mlc//sroD//dadX//lysP//dadA//glpB//puuP//glgC//atoE//murQ//torD//bioF//ugpB//fadI//ilvG_2//purL//fucK//glnK//citF//modA//cadB//serA//hflX//phoA//fadD//ubiG//ileU//alkB//pdeF//gspF//cirA//gabD//ybiT//ilvH//gltA//rbsD//cysP//dppC//nikD//dmsD//metJ//bcsA//rrfD//nikA//ccmD//gspC//nikB//hybG//gltB//ebgC//hemL//galP//glpF//iscU//feoA//ybdZ//hybA//gabD//hyfR//guaA//rrfF//ada//fimE//nrfC//hycF//cytR//yciW//metJ//gabP//garK//hlyE//appY//glgP//mgrB//caiD//sxy//ubiX//hypF//iscS//metL//dppC//adiC//cbl//idnD//lsrB//aer//betA//nirC//puuD//rybA//hyaC//glpX//aroG//leuE//fucR//ppiA//hofP//puuE//fimD//nuoA//mtlD//lsrC//rplD//nagC//kbl//csiD//aroF//phnH//cadB//ynfK//yegH//phnK//rnlA//napB//argO//araC//rpsJ//prpE//guaB//glcG//rimP//cpdB//rplS//idnK//ompF//nanT//fes//nuoJ//gnd//evgS//ysgA//nupG//ssrS//metF//mhpF//glgA//yciW//caiE//rplD//oxc//feoB//lsrR//cusF//rutG//hflX//psd//mzrA//sxy//lsrB//tauB//oxyR//ssuD//zntA//norR//narG//rhaR//malF//prpR//araC//uraA//rrsE//modB//osmC//ompA//rpsF//fadJ//nrdA//ygbA//tehA//yciW//feaR//norW//rseC//lsrC//lsrR//hybE//hycC//bioC//cusA//fiu//uxaA//ynfE//chbF//aldB//cynX//hyaC//mutY//hyaD//dpiA//ilvD//treB//lhgO//yegH//exbD//chbC//gatA//rpsO//amiB//sdhA//glpD//znuB//speC//trg//lldD//rnpB//idnR//cusR//cysH//csgE//garL//nuoI//tadA//paaA//glgP//yidQ//acrE//purL//nanA//phnD//casD//manZ//gabP//yfdE//zntA//oppB//manZ//nanT//paaA//fecB//uvrA//dusB//narK//ogt//puuP//gadC//galP//appA//lacA//nanT//phnN//rcnB//ynfG//emrY//ascF//
ChbR-Monoacetylchitobiose-6P_neg	zinT//sbmC//nuoE//rstA//tyrR//gltF//
ChbR-Monoacetylchitobiose-6P_pos	agaV//cysP//agp//pitA//fhuE//cheY//
CpxR-Phosphorylated_neg	kbaZ//rcnA//metA//glnL//phnD//osmC//chbB//pstC//hflD//deoB//xapB//fimH//betB//moaD//soxR//malM//tyrB//argP//carB//frdD//mcaS//casE//lpd//hycD//
CpxR-Phosphorylated_pos	hofN//erpA//ulaE//agp//malP//aspA//ugpE//rbsK//prs//uxuR//tar//fhuE//ulaB//focA//amn//ybdN//lysA//artM//ptsG//nagE//ndh//moaD//tyrR//uof//sodB//glgB//hybE//ackA//narI//mgtA//cstA//rhaD//casC//lpd//ynfE//ccmD//hofC//hflX//glnL//bglG//gltU//rseA//moaB//alaV//rpmI//
CreB-Phosphorylated_neg	appC//frc//lolB//
CreB-Phosphorylated_pos	uvrA//citF//nrfA//pitA//phnG//rrlC//
CueR-Ag_neg	flhD//rplB//deoA//flhC//cynX//
CueR-Ag_pos	bcsC//creA//
CueR-Cu+_neg	treB//tnaB//rhaT//ilvL//glcB//
CueR-Cu+_pos	lrp//fldA//
CuerR-Au_neg	ldtC//frdD//yibN//ung//ompC//
CuerR-Au_pos	sucB//ileT//
CusR-Pasp_pos	ubiA//hemA//fabZ//ihfA//phoP//rhaS//ygiC//nuoM//rnlA//rrfH//metN//yciW//
CynR-Cyanate_neg	znuA//
CynR-Cyanate_pos	nagE//feaR//gspD//
CysB-N-acetyl-L-serine_neg	ftnA//metK//nrfE//ynfG//rimM//alaT//entS//
CysB-N-acetyl-L-serine_pos	metC//fliZ//emrY//gspL//rbsA//rrlA//bamE//xylF//micF//uhpC//casB//rhaR//ileU//puuC//uxuB//bioA//metJ//ebgA//glnD//malG//fimF//yojI//argT//
CysB-O-acetyl-L-serine_neg	caiD//prpC//fadA//yaeP//cynS//aidB//ryhB//
CysB-O-acetyl-L-serine_pos	rplV//marB//katG//yeiL//dcuA//ycdZ//argE//rof//hyfI//rplM//ompX//mhpT//hyfA//uidB//tadA//phnM//pgpC//phoH//map//cynS//grcA//rprA//ryhB//phnJ//
DcuR-Phosphorylated_pos	hyaC//oppA//ubiG//pyrD//edd//agaV//gatC//ykgM//yedX//
DnaA-ATP_neg	cyoE//dmsB//citG//prmC//hofM//nrdD//rplV//ysgA//paaZ//csgA//rrlA//
DnaA-ATP_pos	purN//gatA//lsrR//rbsC//rplD//zraP//pgaC//
DpiA-Pasp_neg	glpX//
DpiA-Pasp_pos	bdcA//yebE//pgk//sufE//idnR//hypB//prpE//ynfE//ychO//rseB//
DsdC-D-serine_neg	hmp//
DsdC-D-serine_pos	rutD//yhfA//
EvgA-Phosphorylated_pos	phoP//marB//rplS//puuR//eda//caiE//aspA//purD//glgA//glpE//ykgM//gltW//raiA//prs//hyaB//
FNR-[4Fe-4S]2+ reduced_neg	yebE//dppC//icd//ilvB//cheB//hupA//araG//mglC//astE//glpK//nagC//hisP//allE//ubiX//actP//glrR//map//acs//fimA//argT//sucD//rhaR//atoD//rrfF//nikE//glgS//glpR//uxaB//cas2//cheY//fepE//ogt//fucK//malX//purN//nrdG//dppB//agaW//metN//nrdH//epd//rbsA//feoA//ompR//ung//putP//glnG//rbsC//argE//hflK//csgB//rrfB//agp//mntP//fecR//artQ//fepD//cysC//glgS//evgS//aroA//grcA//hcr//bamA//cirA//murP//rrfA//bglB//yfdE//hybD//csgD//fadH//crl//tktB//cysP//entE//gltB//astC//nikB//torD//codA//nanE//nlpE//feoA//katE//paaE//artI//fecC//phnM//prfA//yoaG//fiu//ilvM//dadA//fepB//pdeF//iscA//tap//hyfB//ydeA//rplD//tauC//srlB//uxaB//glgA//katG//gatB//gcvT//yegZ//gltV//rof//sdhB//sucD//betB//hycD//emrY//fes//trpL//cydC//acrE//
FNR-[4Fe-4S]2+ reduced_pos	caiC//tyrA//ydfN//alaV//ispE//csgE//tap//oxc//csgG//rpsQ//crp//caiA//ssrS//sohB//nusA//caiB//argB//glyA//bcsZ//trmD//ilvB//ubiA//emrY//entA//rpmI//fadB//rcnA//fimI//mutL//glcE//ssuA//sucB//csgD//ssuC//rhaR//yjeV//emrK//xdhB//icd//alaA//glpB//hyfF//yeaE//dgcZ//tfaQ//rrlA//rnlA//astE//fepE//focA//dgcZ//rplV//cusS//aspC//rrlG//rutE//xdhA//sufE//bacA//prpB//pepT//sdhC//rutC//purL//trxA//rimM//ilvD//ebgC//hyfG//nohA//fucK//dsbA//csgD//nanC//araE//mtlR//fumC//cheB//fepE//caiF//gltV//csgG//phoB//cusF//nrfE//rutE//puuD//hypC//cusF//gatC//codA//bglG//rpsR//glpK//agaA//moeB//pstS//hslJ//rutB//deoA//malI//pitB//tauD//gltD//spf//torR//ftnA//fliZ//livG//cysI//garP//prs//hybG//mgrR//bacA//amn//yhjC//argF//hybF//fadL//rmf//ldtB//narI//lsrK//norR//lacY//idnK//cynR//sohB//lacY//mlc//rrlB//creC//malT//tdcB//yjjZ//bcsC//phnE_1//cyoD//ldtC//gspO//nuoH//gutM//ydhU//yegZ//yccA//sufD//mutY//fadH//slt//rbsB//carA//ompC//tnaA//gntK//gadC//rrlD//rhaR//hofM//csgC//nuoB//mtlD//fdnH//ssuB//yoaC//rhaB//fadD//lhgO//yjcH//rrsE//sucB//tam//uxaC//glnL//mepH//metI//rrsH//abgT//fecA//trmD//fnr//hofM//hyfC//hycF//glpT//yfdX//fliZ//caiE//truB//oxc//hybB//sxy//rdoA//iscU//arcA//cspD//gabD//epd//sucD//malF//pgaB//yneM//
FhlA-Formate_pos	ompF//argA//ilvY//ybjG//xseA//yqjI//hdeB//trpC//glnL//moaC//evgS//aceK//katE//cytR//tdcE//galP//cysC//fixA//xdhA//napD//rrsH//ysgA//rrsC//carB//entE//tehB//chbB//osmC//cusA//fliZ//
FucR-L-fuculose-1-phosphate_pos	ccmC//casB//rhaS//lysO//rutB//cyoD//rhaB//
Fur-Fe2+_neg	rhaT//nrdI//rprA//frc//moaD//ycjF//rrlD//fumA//ccmD//citG//talA//idnO//fadL//mglA//idnR//gcvT//nrdF//chbF//araA//hfq//ilvM//mgrB//nrdE//phnH//rhaR//miaA//ynfH//ahpF//yfiP//metH//tnaB//ackA//yjiY//malT//gspI//napA//glpT//yfbR//lacI//mscM//baeS//alkB//gspI//yojI//glgB//fhuD//sdhA//pheM//aroA//appY//fnr//araA//prpD//cysG//aceF//glnA//ydeO//yggX//fepE//fldA//glrR//lacI//rrlC//fadE//modA//sufA//gntP//speC//cadA//cynX//yeaE//rrlE//pitA//idnK//fimC//moeB//hypF//argG//bamA//nikR//hofB//dsdC//norR//pstA//aceE//nuoA//ydfH//fdnI//nlpE//ilvM//uhpC//rprA//ftnA//srlB//cpxA//yegZ//chbF//sdaA//puuD//modA//galE//ydiU//glpR//rpoE//kbaZ//fixA//rrlA//yfaE//ilvD//feoA//soxR//aldB//cysJ//ydhX//bglB//fliA//astE//phnE_2//rplM//ybiT//ydfN//srlB//rpsC//zwf//
Fur-Fe2+_pos	ubiC//nrdF//hflX//tdcF//gspO//nrdG//galK//mtlR//phnO//hyaF//arcZ//galM//gltT//dctA//hyaD//hflK//ascF//narJ//fecC//alaU//lysA//fdnI//argA//lysP//gspJ//
Fur-Mn2+_neg	hflX//tsaE//metC//edd//ppiD//betT//sufS//dpiB//nuoA//cyoC//uvrA//argI//thrV//oppB//nagC//caiC//narL//hyfE//nrdF//glcB//prpC//melB//nikB//argO//rmf//cynX//paaI//csgD//rbsR//ygiA//chiP//mdtA//tdcG//motA//tnaC//glnB//cysG//cusF//narK//znuB//caiB//livJ//ampD//frdB//araF//xapB//fecC//rrlC//lpd//polA//fhuA//psiE//ilvE//rnlA//dppB//ygaC//focB//fecE//yeaR//ada//tdcB//yfiP//gltV//oxyR//uhpC//uvrA//pheT//mzrA//manY//tap//purE//phoB//tnaC//nuoH//mntH//tauB//hyfF//spy//puuD//nuoK//glmY//ygiC//ilvB//alaT//tdcB//tdh//hybC//yeaE//cbl//ydeA//hha//fhuA//nuoL//exbD//safA//cyaR//yjiY//nuoL//fucP//srlD//yhjC//glpT//bacA//phnJ//fdhF//aceF//hofP//mcaS//sucD//yegH//tyrA//hycI//alaS//rrlH//pdeF//psd//entC//frdA//gntP//mutL//oppD//dmsB//focA//gatZ//
Fur-Mn2+_pos	malT//rhaA//uidC//lacI//gspK//rrsB//cpxA//argR//adhE//mgtL//nanC//flhD//sdhA//atoD//cspD//nuoA//pheS//yoaC//safA//osmC//fecA//rhaR//ldtB//pgaB//yegR//
GlcC-Acetate_neg	rhaA//
GlcC-Acetate_pos	putP//paaF//puuR//betA//ilvL//hycH//
GlcC-Glycolate_neg	trxA//
GlcC-Glycolate_pos	ccmC//tsx//tauD//ampD//yfdV//ynfF//
GlrR-Pasp56_pos	hupA//
IclR-pyruvate_neg	argR//atoD//copA//iscR//
IdnR-5-ketogluconate_neg	aaeA//ilvY//pflB//
IdnR-5-ketogluconate_pos	gltB//rcnA//uidC//dapD//rrsA//
IdnR-Idonate_neg	xdhB//iraD//grpE//
IdnR-Idonate_pos	yibN//dsdC//rrfE//ulaF//ompA//
IlvY-2-acetolactate_neg	betB//
IlvY-2-acetolactate_pos	creB//
IlvY-Alfa-acetohydroxybutirate_neg	ygiA//
IlvY-Alfa-acetohydroxybutirate_pos	malX//
IscR-[2Fe-2S]1+_neg	betI//treR//nuoA//puuE//purM//norR//borD//prfA//rrfA//envZ//tdcC//paaE//lacI//yedX//murP//yfeW//prpB//rpoS//aidB//ada//csiE//arfB//trpE//dpiA//sbmA//fucK//ompA//fepD//ydeN//tfaQ//
IscR-[2Fe-2S]1+_pos	gltA//fimI//fumB//purB//rrfF//glpB//ndh//sbmC//nagE//hyaC//nrfB//
LldR-L-lactate_neg	csiD//araB//ydeJ//
LldR-L-lactate_pos	rpsO//gabD//malM//
Lrp-Leucine_neg	hyaB//psiE//arfB//gspC//fhuF//puuE//asr//crp//cueO//uidB//yeaR//gpmA//glcC//gyrA//lpxA//focA//aspC//rprA//nuoE//fepA//metQ//entF//dppF//rhaT//pyrC//cas2//talA//srlD//aceB//fucA//ydhT//puuE//ilvN//livH//prpB//nrdB//rplV//hyaD//glcF//prpD//hypC//fecA//metF//nuoH//purB//gltA//cspD//cbl//serC//mhpT//sodB//rmf//upp//kbaZ//xdhA//paaK//ssrS//dcuB//gpsA//cueO//slt//ykgM//hybE//fhuC//cheR//nrdB//ydeJ//crr//malP//micF//ugpC//ulaA//envZ//manX//dppA//
Lrp-Leucine_pos	metR//cyoA//yaiA//metQ//erpA//secB//artQ//nrfF//gabD//hlyE//bglB//dcuC//cysH//fdhF//cysK//yaeP//citG//dapB//udp//metC//cstA//adiC//envZ//evgS//hycC//tam//glcC//hofC//mlc//rbsD//narJ//cyoB//cheA//rpsI//ydhU//
LsrR_neg	fhuC//kbaZ//melR//ubiA//tyrR//nuoE//aroH//lamB//metF//
MalT-ADP-Maltotriose_pos	cspD//nrdG//fumC//fucA//cdd//manY//appB//xdhC//rpsI//hybD//
MalT-Maltotriose-ATP_pos	ssuC//micF//lsrC//evgS//ssuC//sbmC//mglB//qseC//caiE//nagC//
MelR-Melibiose_neg	sdhC//iraD//lacY//
MelR-Melibiose_pos	cyoA//phoA//hflK//
MetJ-S-adenosylmethionine_neg	ompA//aceA//ulaE//cyoD//fimE//fimD//trpA//spy//hflD//hyfE//ssuE//casB//rhaR//secB//actP//
MetR-L-homocysteine_neg	ydfN//mgrR//
MetR-L-homocysteine_pos	narI//sdhB//rrsH//ilvM//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	ccmD//aaeR//argG//uidB//tpx//caiT//
MhpR-3HPP_pos	phnI//citE//fes//hemL//preA//kbl//
MntR-Cd2+_neg	aroL//garP//amiB//dkgB//
MntR-Cd2+_pos	citC//
ModE-MoO42-_neg	cynX//csgC//rpoH//rpsI//paaG//ppdD//fucR//phnE_2//creA//alaA//ssuD//pstA//glpK//gltD//aspA//
ModE-MoO42-_pos	phnK//glnD//hyaC//cusA//nuoF//ynfG//tar//acrF//thrS//mhpT//secB//uxuB//hycF//gspI//icd//fepC//argG//mpl//phoU//ilvH//xylA//tsgA//malE//yfbR//cdd//rrsC//phnM//yhjA//hdeB//gntT//ptsH//
NarL-Phosphorylated_neg	nuoA//nanK//xseA//rseB//mutY//ygeH//fumA//ulaD//fimG//malE//ykgO//glgB//fhuC//fimF//purC//ydeO//fepA//metN//entH//ybiT//chbA//ileT//yaiA//nagB//moaE//hha//moeB//rrlG//ybjG//pnp//astE//hyfD//oppD//oxc//fecA//efeU_2//napF//bcsZ//preA//rrlD//yegH//livK//trpA//hdeB//patZ//udp//grcA//uidA//sufE//gspK//casC//allC//fdnI//ydfN//mutY//prmC//emrK//mepH//gpsA//yoaC//caiD//gspD//focB//phnK//moaB//betB//appB//trpD//nuoE//rpsC//bglF//gspM//rnlA//hupB//gspE//yciW//argD//gltU//garP//iraD//sufC//dps//nikD//frdB//gntT//srlA//
NarL-Phosphorylated_pos	nuoE//lpxB//fecI//lpxA//ytfE//ilvB//entE//tdcE//napF//ygbA//cadA//rutG//fhuB//tolC//gadC//tdcF//phoR//baeR//flhD//ampE//gcd//caiE//cynX//ilvH//araJ//feoA//hypF//rpsC//nrfE//bioB//citF//chbA//gatB//serA//ung//rutF//fdnG//xylA//rybB//rhaA//hisQ//purL//frdD//gnd//tsx//rpsI//
NarP-Phosphorylated_neg	rstA//ilvC//glnD//yojI//hybD//nuoG//citX//ccmG//fimE//hslJ//tar//fhuC//galE//qseB//fadD//epd//paaF//rrlA//lrp//oppD//ykgO//nikB//livF//glpR//tdcG//phnD//nanS//ampD//livG//hypE//envZ//yhjC//acrB//
NarP-Phosphorylated_pos	argD//garL//oppC//fixC//kbl//ampD//gntR//dppB//moaB//gspC//fecI//narL//envZ//tnaB//cynT//exbB//rpsS//mhpE//mntH//deoA//mglA//entE//sodB//gutM//acs//mglC//phnJ//tyrB//ygiA//motB//speC//nrfF//
NhaR-Na+_pos	modA//casA//tdcD//rutA//dppB//
NikR-Cd2+_neg	gltA//glmY//glnD//alkB//lsrK//rseB//
NikR-Co2+_neg	cspE//aceB//malQ//emrY//iclR//fliZ//
NikR-Cu2+_neg	ybiT//yfdE//fnr//arfB//purK//fepB//
NikR-Ni2+_neg	lolB//nrdE//araC//lolB//yciW//argR//
NikR-Zn2+_neg	hisM//thrV//rplS//puuA//nrfE//casD//
NrdR-ATP_neg	pyrD//garR//metQ//cueO//araE//xapA//entB//hybG//cheR//
NrdR-Zn2+_neg	alaV//stpA//glpE//metF//puuP//moaC//yoaG//gntK//cheY//
NrdR-dATP_neg	hycD//livJ//nrfG//ampE//rcnB//deoC//yfbR//phnC//ppiD//
NsrR-[2Fe-2S]reduced_neg	cysD//aceB//glmY//idnO//yjeF//ygiB//mzrA//ygiC//bacA//glcD//cynR//paaA//yjiY//flhC//argR//ulaB//bioF//cysU//aroF//dmsB//mgtA//ydeP//uxaB//sbmC//adiC//pgpC//hyfJ//nanT//rutA//ubiA//rrfG//rnlA//fabZ//ydeJ//yegH//bcsB//yebE//atoA//gspG//nrfD//efeU_1//hyaF//chbF//gspE//ygiA//epd//dcuR//lysA//hyfG//fadB//paaC//oppD//nagA//hemL//paaG//rutC//ung//rbfA//psiF//mscM//xylH//gspE//gltB//livJ//glcB//ilvY//cspD//nmpC//rpsS//lamB//rutC//ivbL//fur//
PhoB-Phosphorylated_neg	norW//eda//livF//citX//fimC//rrfG//cysW//dadA//lysC//tauC//aroA//modB//pitB//
PhoB-Phosphorylated_pos	pstA//aceK//rutB//arcA//ccmE//ilvG_2//deoC//narG//malX//ugpE//aaeX//rhaR//ycdZ//metN//mzrA//nuoF//livJ//nanM//araB//paaB//pgaD//phoP//glpR//sdhA//ychH//iraD//ydfN//cheB//rrlE//xapB//ccmA//glpE//cas2//aspC//ygeH//metC//hyfB//nirB//ptsI//dnaA//yqjI//lacZ//ompT//exbD//casC//mdtC//fucK//fdhF//citD//argT//glpF//pgaB//entF//
PhoP-Phosphorylated_neg	cysW//map//mhpD//metJ//tomB//rrlC//argT//bcsB//ompC//argO//abgT//
PhoP-Phosphorylated_pos	hpt//mtlR//adhE//mepH//rof//recF//nanT//paaF//ynfE//ydfH//cysA//csiD//soxS//ygbA//preA//aaeR//erpA//speB//yggX//ccmC//rpoS//nupG//yoaG//iraD//rnpB//ispE//rpsJ//carB//glcE//purN//xylB//envY//oxc//metK//fucA//fimI//ispE//rof//citF//gltT//norR//phnK//araH//fecD//pgaD//malQ//narG//fimI//dusB//
PrpR-2-methylcitrate_neg	tonB//
PrpR-2-methylcitrate_pos	gntX//araC//rrlD//argT//
PurR-Guanine_neg	yfeW//ydeA//cyaR//udp//dmsB//mhpT//pyrD//infB//csiE//nfuA//rnpB//tauB//rbsR//argF//aaeX//fhlA//agaA//fdnH//fldA//napG//rhaB//fepE//appY//hyfI//rrsE//rrlA//tyrB//ilvY//rrsA//ascF//phnO//speA//ldtC//dcuS//
PurR-Hypoxanthine_neg	mtr//acrB//miaA//phnF//nrdA//nuoC//ulaB//rrsG//creB//gabT//pdeF//znuC//guaB//fadE//sdhA//nirD//tolC//purN//fimG//cysN//uhpC//hybD//dps//purA//polA//fbaA//mlc//acnA//gutQ//nuoN//slyB//rnhB//ccmB//hflD//
QseB-Phosphorylated_pos	xylH//uraA//uhpA//araB//
RhaR-L-rhamnose_pos	idnD//cynR//
RhaS-L-rhamnose_pos	atoB//uhpA//nrfF//
RstA-Phosphorylated_neg	ampD//hmp//nusA//puuR//uidC//
RstA-Phosphorylated_pos	lsrF//chbA//ahpF//nrdH//chbF//
SoxR-[2Fe-2S]3+ oxydized_neg	nuoN//
SoxR-[2Fe-2S]3+ oxydized_pos	cusA//rpsS//galK//
TorR-Phosphorylated_neg	malE//
TorR-Phosphorylated_pos	nagE//glpD//pstS//yfdE//mhpD//ydeJ//ycdZ//cyoE//yfdX//
TrpR-Tryptophan_neg	sroD//yqjA//metN//dapB//grxD//glpG//casA//idnT//abgT//phnI//prpB//tap//
TyrR-L-tryptophan_neg	csgE//lacI//entB//yfbR//ndh//hisJ//prpR//aroF//uxuR//amn//phnE_2//cysN//
TyrR-L-tryptophan_pos	skp//flhC//rrfC//
TyrR-Phenylalanine_neg	araE//nirD//cusS//napC//feoA//glrR//gatB//mtlD//cydA//nrdA//sdhA//yccA//
TyrR-Phenylalanine_pos	hflK//yeaD//malS//
TyrR-Tyrosine_neg	narL//nupG//araE//hofC//xylB//rplM//phoE//fau//sufA//malZ//fimG//narQ//
TyrR-Tyrosine_pos	rrlG//ompA//acrE//
UhpA-Phosphorylated_pos	phnK//
XapR-xanthosine_pos	torA//nanS//
XylR-Xylose_pos	argG//glgS//metE//rrsG//fucK//nuoL//
ZntR-Cd2+_pos	cysJ//
ZntR-Hg_pos	guaA//
ZntR-Zn2+_pos	ahpF//
ZraR-Phosphorylated_pos	astC//rrsB//yoaC//
Zur-Zn2+_neg	sdhB//ykgM//rpsS//glnK//glnK//fecD//
