#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	gdhA//glpQ//
ArgR-L-arginine_pos	fecR//ugpB//pyrD//rhaR//yaeP//
AtoC-phosphorylated_pos	lacA//rutA//phnM//pgaC//
BaeR-Phosphorylated_pos	chiP//ampE//glpX//malQ//fecB//rseB//gspJ//glnK//
BirA-bio-5'-AMP_neg	fixA//caiC//bioA//hofB//hemL//
CRP-cAMP_neg	bioC//ydhU//uxaB//malF//phoQ//glgS//malS//gltW//ydhU//ydhX//gatC//rrsH//amiB//efeU_2//lamB//aroG//phnP//aceB//cheA//fadH//katE//fimI//yegZ//nuoH//ung//nuoJ//xdhC//cheA//rplB//phnM//agaV//csgE//purB//hypC//glnG//argH//csgF//uidB//fldA//oppF//phoP//ygiB//rpsS//nac//yeaR//aldA//phoP//nrfE//yeiL//phnL//alkA//phnD//nrfC//mutY//hyfH//paaA//cspE//trpL//glcE//hha//bioB//trpD//hyfG//dpiA//cysG//lsrB//ynfG//phnF//dgcZ//bioA//ydhY//speC//alkB//hyfA//bglG//frc//mgrR//ybdN//yeaD//fucK//fiu//livG//moaD//carB//uvrA//sucB//ilvG_2//gabP//hofO//ilvI//tadA//yeiW//yhiD//gspM//qseC//dpiB//chbR//ilvB//yfdV//atoA//alaS//gadC//hybO//napB//cheA//glpT//gspF//alkB//sufD//ydhU//citG//ccmG//cbl//codB//aroL//nanE//osmC//ompT//rrfA//norV//appC//ssuE//sufA//feoB//narL//ulaA//dnaA//dmsA//bcsC//metY//mtlR//hybC//mtlD//
CRP-cAMP_pos	nrfF//citX//tcyJ//envY//yeiP//csgB//trpR//ampD//sodA//hpt//purD//xdhA//hyfC//srlA//dmsC//rrfF//iraM//xylA//emrK//paaD//hdeD//ilvC//carB//udp//tonB//fumA//ygiA//malY//rstB//paaK//fbaA//znuB//phoA//gcd//gdhA//ydfN//phnI//tdcG//citC//lolB//kbl//trpB//galP//tnaB//lpxD//gcvH//oxc//dgcZ//rrfG//uidA//hisQ//cydC//pyrD//phnF//aroF//udp//cydB//galS//yegZ//yjeV//cadA//crl//glcF//garK//gltF//yfdX//pgaA//ileU//puuP//citC//adiC//fecI//qseB//mhpR//malE//cydD//entF//csgD//gadC//cyoB//raiA//qseB//glpC//ugpQ//gntU//rutF//purH//glpX//fepB//deoD//ynfE//ulaC//entF//mgtL//aceE//lsrK//sufB//ccmC//yfeW//slyB//ynfH//alkA//norV//phnJ//csgE//agaW//nuoI//rrsH//motA//csgG//acnA//ogt//aldA//tfaQ//pgaA//galK//nac//cusF//purN//nrdF//torR//hemA//eda//evgA//fixA//sucB//ynfH//glpT//purH//citX//glpB//fnr//alaA//idnD//fimG//ompX//rpsP//rdoA//allE//tnaC//creD//dppB//speB//nanC//phoE//uxaB//fimI//purH//nrdB//tadA//paaD//paaK//rstA//dnaN//rrfF//chiP//putP//glpX//cstA//ispE//modA//dsdC//fumC//betI//idnT//tap//malQ//lsrB//hmp//cysN//rrlD//cysC//nlpD//deoD//fixX//cysG//phoB//bamE//ilvL//mtr//nikB//dcuS//psiF//dmsC//amtB//phnM//preA//livH//hupB//rstB//cusF//caiE//csgA//tyrR//nanE//fhuA//araG//fumB//aceK//galT//ansB//acrB//chiP//fecR//aroP//livG//sufA//cspE//ugpA//moaB//gspC//rseA//tktB//rseB//spf//sbmA//hisJ//gpsA//gcvH//purE//folA//dsdC//tnaB//sbmA//metL//paaZ//astC//casB//fecC//yggX//mtlR//fecD//nikC//ebgC//hybD//rbsB//hyfB//rrsD//bamA//arcA//ubiX//rimM//ynfH//fumA//uxaB//ydiU//psiE//fhuF//tehA//tdcE//ptsH//aldB//glpR//xapA//gadB//gspD//purA//gpsA//araG//fucR//ulaB//ilvD//nirD//ysgA//modB//uxuB//ybjG//cirA//cynS//mglB//cvpA//trpB//ilvX//mhpE//metA//dctA//agaW//gutM//mgrB//rhaB//glpD//appA//gntU//rhaS//chbF//hmp//ccmC//uhpB//znuC//feoB//galK//ompT//serC//lpxB//psiF//argC//nanC//napG//nirD//hyaA//glpX//dapB//glcF//nupC//metA//bdcA//argT//glgP//torA//rimM//gabP//creC//araH//pepT//yjeV//hflK//gdhA//oppF//aceK//icd//ilvM//argO//iscA//nrdF//caiD//yciW//tauA//yjeF//argA//prpB//yciW//rbsD//hemA//lpxB//nikD//xylH//metE//glpR//hcr//argG//fepC//rplP//yecR//dsdC//cspD//gpsA//ugpQ//nohA//abgT//astB//bioB//ygbA//fadA//tonB//gspI//trmD//moaC//aceF//xylB//nikR//garL//ldtC//ompT//hyaC//nagA//rimM//sbcD//tdh//hypB//rhaA//yeaD//leuE//csgE//artJ//casA//ebgA//rpsO//ascF//udp//xylH//hycG//cyaR//gltB//nanE//rplI//xdhA//nuoC//focA//astE//feaR//appX//gcvT//raiA//yeiW//prpR//dnaN//hycI//yqjA//hybA//gspK//evgA//araH//ldtC//prpR//ptsG//oxc//dsdA//prfA//tsaE//gspJ//ssrS//soxR//rrsE//napG//ssb//citG//malQ//hycB//nirC//caiF//soxS//ydeP//speC//yaeQ//zraR//ynfE//cusA//idnO//ykgR//
ChbR-Monoacetylchitobiose-6P_neg	cheA//phnJ//ldtC//paaE//citF//cyoE//
ChbR-Monoacetylchitobiose-6P_pos	deoA//codB//puuB//hyfD//tyrR//moaB//
CpxR-Phosphorylated_neg	lsrG//nirC//gspJ//qseB//lysC//iscS//crl//ccmE//rhaS//cspE//dmsA//alaU//rhaA//hflC//prs//grpE//araD//hofN//yojI//entD//pflB//ysgA//ogt//avtA//
CpxR-Phosphorylated_pos	nuoN//cynT//nrfF//iclR//hypA//yaeP//gatA//bioC//nanM//nuoH//hycI//dnaA//hycH//citF//fimA//gapA//hflX//idnO//ccmB//edd//dppA//nrfD//rbfA//acrD//tonB//puuC//ssuD//lysC//rpsJ//gutQ//glnB//zraP//gltD//argP//sxy//napA//gabP//oxc//ccmG//phnO//hyfD//mdtD//iclR//lrp//cheA//
CreB-Phosphorylated_neg	trpB//tfaQ//tap//
CreB-Phosphorylated_pos	alkA//bacA//uhpB//ykgO//sbcD//preA//
CueR-Ag_neg	rutB//nanK//rrsG//ybiT//ung//
CueR-Ag_pos	codA//fadH//
CueR-Cu+_neg	pncB//nirD//gntK//hmp//moaA//
CueR-Cu+_pos	ihfA//ptsI//
CuerR-Au_neg	emrY//gltD//treR//gadB//sucB//
CuerR-Au_pos	cheZ//fur//
CusR-Pasp_pos	fumB//hofP//yfdX//hemA//purL//purM//pyrC//patZ//rpsI//ampE//cydA//fixX//
CynR-Cyanate_neg	chbF//
CynR-Cyanate_pos	ilvL//gabT//hypE//
CysB-N-acetyl-L-serine_neg	ugpC//livM//hslJ//puuR//fepE//ydhT//mntS//
CysB-N-acetyl-L-serine_pos	glnL//ilvB//ygbA//fbaA//mpl//adiC//mutL//livH//avtA//hybC//acrB//iscS//bcsA//mepH//zraP//garP//hemL//glpQ//rrfE//ulaE//ccmA//dppD//phnC//
CysB-O-acetyl-L-serine_neg	mgrB//iclR//hyaD//yeiW//phoR//ebgC//katG//
CysB-O-acetyl-L-serine_pos	alaA//yaiW//modA//galE//gntP//hypE//fau//gatB//artQ//gcvT//ydhX//glpD//polA//narQ//gapA//hslJ//mdtD//aroG//astC//hycB//rbsR//ynfH//azuC//dsdX//
DcuR-Phosphorylated_pos	torR//ydeP//ftnA//sohB//avtA//rhaR//mglA//nuoJ//priB//
DnaA-ATP_neg	malZ//chbF//aaeX//ilvG_1//narH//cynR//fau//yhjA//nrfE//folA//serA//
DnaA-ATP_pos	cydB//chbR//xseA//sdhA//moaB//arfB//napA//
DpiA-Pasp_neg	rcnB//
DpiA-Pasp_pos	ygaC//aroH//argB//fliZ//gadB//hupB//fdnH//gatA//rrfG//gltV//
DsdC-D-serine_neg	ispE//
DsdC-D-serine_pos	idnR//phnH//
EvgA-Phosphorylated_pos	hslJ//ybiT//fixA//malF//guaA//dadA//ccmA//talA//rnlA//dnaA//ackA//phnM//alaA//xapA//cpxA//
FNR-[4Fe-4S]2+ reduced_neg	yrbL//nanM//ppdD//mipA//rplI//betA//artJ//tauD//rrfB//citD//glpD//metJ//nusA//dppF//gntT//chbC//phoE//glcD//tauB//uidC//ydeO//nuoN//tauA//pheM//ygeA//motB//rnpB//fumA//rplD//rpoE//ssuC//metA//nirC//fliZ//appC//cra//glcA//bioD//ycdZ//focA//hycB//glcB//glpA//nrfE//alkA//rbsR//phnI//mpl//nuoK//phoB//aidB//dsdA//gatD//mhpC//malP//malE//metK//sbcC//entF//tauD//xapA//argR//fixB//napF//ybdN//nikR//flhD//rrfC//hyfA//allE//slyB//lsrD//rbsK//trpL//metC//cysN//iraD//hupA//sdhC//hyfD//tyrA//trg//ykgO//dgcZ//qseB//hypB//sufB//aceK//yhhY//glcF//mhpE//fnr//narQ//xylH//citE//entE//fumC//glpA//fnr//nuoH//rplS//casC//uhpB//pnp//srlA//ubiC//dcuA//rpsI//cysN//rbsK//aer//glpC//chbR//fliA//srlR//rrsE//cadC//dcuS//prpD//oppC//
FNR-[4Fe-4S]2+ reduced_pos	gspG//tsx//ychH//rutE//umpH//atoB//rrfA//aroP//nanK//citG//katE//osmC//idnT//pheS//gdhA//phnG//abgT//ilvG_1//atoA//nikD//rrsE//cyoC//fepC//ompR//moaD//purL//yjiY//rbsC//paaH//glpT//prs//lysU//aaeB//fecA//rpoE//pheT//mglB//uidB//mhpC//alaS//skp//alaS//rpmC//creC//fadJ//sucB//rpsJ//sohB//srlB//metN//norR//caiD//grcA//metB//marR//aroP//pgaC//cynR//ilvD//aroH//nrdD//uhpA//carA//alkB//psiE//gltT//thrV//gutM//sucB//tdcG//nanT//fecE//hybF//oppF//lacZ//ygiA//gntX//bdcA//znuB//phoP//galM//flhC//malK//ykgO//sufB//gspO//dppD//rstB//creB//aaeB//cheR//hypD//araF//malE//nrfC//nikE//umpH//focB//mzrA//yqjI//gadB//creC//cysA//hofP//rutC//cas2//uxuR//ccmG//nrdG//uraA//yeaD//ygbA//ccmF//nrfF//lolB//gspG//hfq//nuoN//aroA//nupG//fliA//fis//dcuC//ydeN//phnD//idnO//astE//yciW//betI//yfdE//nanK//fadJ//hofB//mntH//glgC//nuoK//galS//frdA//sohB//torD//yfdX//frdD//hyaC//fepC//tsr//cheR//yegZ//pyrD//ugpC//allD//dppB//fimE//frdA//artP//trpC//manY//gadB//bglG//envZ//mutY//nuoI//psiE//gspD//fabZ//bglG//hisM//galS//metE//argP//ubiA//deoC//cas2//modA//ssb//rybB//fabZ//pstB//rplV//cysI//artQ//fadA//ilvA//tnaB//tyrB//chbB//bioF//cydC//cysJ//lysO//envZ//pgaC//ung//fadB//gntR//pheT//folE//acrA//nirC//ysgA//yeaD//ydfH//sufS//
FhlA-Formate_pos	hybE//speC//tolC//eda//lysP//rseB//rimM//livF//fepG//emrK//cadA//norR//yaeP//speC//metE//glcC//glcC//infC//ydiU//yegR//dnaN//fucK//astC//infC//yaeP//srlA//deoC//modC//atoD//mhpF//
FucR-L-fuculose-1-phosphate_pos	napB//tap//lysO//chbA//murQ//qseC//gspD//
Fur-Fe2+_neg	carB//trmD//purA//pagP//lsrD//purD//prpB//fepD//araG//appA//hycH//allE//rplW//gcvH//fixB//sxy//fis//rbsC//talA//rimP//dnaA//garR//ybdZ//rplM//bglG//feoC//livG//trpL//oppF//gdhA//slyB//fixX//hybA//yrbL//argB//argT//fadA//fadH//creD//epd//hycB//cyoB//treC//dppA//ychH//aer//malS//ccmC//fadA//nrdG//rplT//gatD//cysK//cysG//ubiG//hisQ//ynfK//dppA//astB//aroP//ysgA//mutL//gyrA//nagA//fucP//prpB//narG//metY//norR//rbfA//ugpC//phnP//fecI//gspC//tsr//cydD//mhpC//gspD//fdnG//soxR//puuD//treC//thrS//sufA//aceK//hycE//nikE//guaB//fhuF//tdcB//ynfE//rstA//infC//argA//rimM//phoQ//cas2//trpR//bdcA//cynR//hofP//pheS//ampD//puuP//csgE//fucI//grxC//hofB//argC//metA//nikE//nuoC//napC//qseC//mgtA//actP//gatD//ilvY//livM//mgtA//garK//cirA//astC//nuoC//
Fur-Fe2+_pos	fimE//nikR//trxA//mzrA//rrlB//bdcA//yhiD//phnL//rpsS//mhpD//gabD//tdh//hycF//cyaR//mgrB//mutL//ybiT//dnaN//copA//ydhV//oppA//cyoB//cydC//tauC//srlB//
Fur-Mn2+_neg	gpsA//nirC//ydhT//glcE//hybB//cheB//ydiU//ebgC//hcp//aroF//modA//ulaE//fumC//galT//ybdZ//stpA//gltW//phnJ//argP//csgB//aroM//codA//safA//phnO//hyfA//argA//fixC//rpoS//trxA//ompW//entA//agp//gspF//rpsC//manX//gntU//xdhB//xapB//napD//oxyR//rplD//tdcC//ssrS//chbG//feoA//sohB//dps//ileU//alaA//cadC//entH//uxaC//ydhU//tktB//cysB//paaH//dnaA//cysP//entS//carB//cpxA//yiaJ//lysO//fis//garP//infC//malX//rbsA//cyoD//epd//rutG//purB//rpsR//cysM//rbsA//motB//iscR//prpE//uxaB//ccmF//malI//hyaE//yeaD//ptsI//ppiA//ackA//yecR//ryhB//nrfA//trxA//argT//caiD//pheS//rrsH//glcA//yeaE//phnG//dcuD//ygiA//dmsB//glcG//casE//argH//chiP//nuoB//paaC//citD//serA//moaC//malX//uhpT//glnA//ybiT//citG//rplT//mzrA//ykgR//uidB//hybG//cheZ//gspD//rhaR//moaC//gatY//
Fur-Mn2+_pos	narJ//oppB//ahpF//rpmC//argA//nuoI//nrfA//melR//glpG//lysC//hisQ//aceB//yfbR//tnaA//oppD//yecR//chbR//hflC//pnp//fecA//nlpE//rplD//uxaA//hyfE//csgA//
GlcC-Acetate_neg	ytfE//
GlcC-Acetate_pos	ilvG_1//rstB//hcr//recF//gcvH//csgB//
GlcC-Glycolate_neg	citX//
GlcC-Glycolate_pos	napH//nikA//malG//csgC//puuC//rrlE//
GlrR-Pasp56_pos	abgB//
IclR-pyruvate_neg	yqjI//sdaA//phnE_2//sodB//
IdnR-5-ketogluconate_neg	spy//metQ//paaE//
IdnR-5-ketogluconate_pos	yoaG//aroG//metK//rrlE//crl//
IdnR-Idonate_neg	aaeA//ychO//xylR//
IdnR-Idonate_pos	cysW//treC//hha//cheY//glmY//
IlvY-2-acetolactate_neg	glcE//
IlvY-2-acetolactate_pos	phoE//
IlvY-Alfa-acetohydroxybutirate_neg	fnrS//
IlvY-Alfa-acetohydroxybutirate_pos	fepC//
IscR-[2Fe-2S]1+_neg	paaG//gspK//hupB//metC//zinT//waaH//pstA//phnK//ryhB//feaR//nanK//dusB//narL//proP//ilvX//caiC//rseB//ompF//ytfE//trpE//gutM//ccmE//acrF//yhiD//motA//azuC//tehB//cysJ//rseA//gapA//
IscR-[2Fe-2S]1+_pos	folE//hyaF//yjeV//nuoC//ldtC//pitB//rpsC//nmpC//sdhC//yhhY//ydiU//
LldR-L-lactate_neg	waaH//trpE//cpdB//
LldR-L-lactate_pos	ilvN//mhpR//csgE//
Lrp-Leucine_neg	tcyJ//rbsB//malI//pstB//moeB//galK//ftnB//rbsD//chbF//citD//dpiA//gntT//glcE//crl//leuE//ndh//oppB//nuoF//phnE_1//slyB//trg//glnL//exuT//uhpB//hyaB//abgT//hemL//ilvG_2//araB//puuD//nrdA//torR//abgT//rrlB//aaeB//nrdD//ptsI//puuD//cirA//lacA//sucB//alaS//phoE//gltV//yegH//priB//xapB//ackA//purL//gltW//ompF//adiC//nrdI//bioD//nrdH//bdcA//hypE//pitA//trxA//livF//yedX//metK//rnpB//araF//torC//cadB//hyaA//ivbL//rrfE//emrK//feoA//moaE//ampE//nrdF//fepB//
Lrp-Leucine_pos	xapB//umpH//dps//malG//narI//yecR//gspF//ynfF//ubiA//csiD//norV//yhjC//cysB//phnL//tauD//ynfH//yfdX//cusS//phoP//citF//yeiL//chbC//aer//dcuD//gcvT//uidB//gltD//ccmG//malK//pheM//rrfH//uhpT//hyfH//garR//iscR//
LsrR_neg	focA//map//appX//cheZ//folE//phoH//mglA//cusA//glgX//
MalT-ADP-Maltotriose_pos	yegH//pyrC//ilvL//torR//hycI//carA//napF//yeaR//cusB//frc//
MalT-Maltotriose-ATP_pos	rplP//uxuA//trg//rpmI//malY//ccmF//icd//purH//appA//gatC//
MelR-Melibiose_neg	torA//asr//gdhA//
MelR-Melibiose_pos	tauB//gdhA//fliZ//
MetJ-S-adenosylmethionine_neg	lldD//creC//ldtB//metB//gspH//ssb//yeaR//phoB//rplI//pta//tdcG//glpF//sdhD//mutL//ilvY//
MetR-L-homocysteine_neg	znuA//rstB//
MetR-L-homocysteine_pos	fadD//recF//motB//hyaB//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	ydeN//frc//ccmG//rpmC//yhfA//ascB//
MhpR-3HPP_pos	glpK//cusB//bcsZ//phnH//nupG//ahpC//
MntR-Cd2+_neg	dusB//dcuR//fliZ//crr//
MntR-Cd2+_pos	malX//
ModE-MoO42-_neg	phoU//dppA//tyrP//deoD//bcsA//gspG//cysC//acrD//evgS//yeiB//uidC//fucU//abgT//hyfG//gatC//
ModE-MoO42-_pos	ompR//pdeF//kbl//arcZ//lsrD//sdhA//rrsD//tolC//lldR//aspC//tauA//trpB//chbR//glmY//eda//rplS//phoA//pgpC//ptsH//dpiB//fdnH//napF//argH//hybG//betB//rutG//adhE//miaA//prpC//rutE//glrR//
NarL-Phosphorylated_neg	fldA//deoC//glyA//talA//hyfG//hybG//tdcF//priB//fimE//fumC//ygbA//ompC//icd//nikD//mdtC//fecD//gatD//fis//eda//modA//cheZ//fhuF//glnL//dsdX//aroA//dnaA//ubiC//cpxA//ptsH//tauA//galK//yrbL//qseB//cysC//ndh//hyfA//acrD//creC//yjeV//chbG//oppD//phnD//rpmI//bioB//gatB//phnE_1//acrD//sdhB//yeaE//sodB//araA//rplT//gltT//fixB//cbl//frdD//mgrR//abgT//fepB//serA//mhpE//pncB//ygiA//ispE//gltF//mhpA//aroP//ldtB//aroF//nlpD//yiaJ//yfdX//metY//phnF//narK//adiC//pgaC//hemL//acrF//rhaD//motA//gntU//yegZ//rrfB//casA//puuB//
NarL-Phosphorylated_pos	yhiD//fucR//argI//fnr//ykgR//hofO//rpsR//yaiW//nohA//narX//znuA//preA//moaC//casB//rcnB//acrD//epd//mdtC//zwf//agaA//ccmB//bioA//fadL//rimP//mhpF//fepG//rrlH//mtlA//glgC//hofB//rimP//talA//cusF//fliZ//adhE//ilvG_2//appX//ygiA//hycC//katG//alaU//oxyR//nikB//rybA//rnhB//dmsA//
NarP-Phosphorylated_neg	nagE//feaR//nanK//micF//amn//sucB//paaE//yhiD//oppA//mscM//pheT//rcnA//malT//phoB//yfbR//moeB//galM//moaE//sufB//glpC//purK//cspE//argA//allE//gspH//tdcG//crp//rnlA//kbl//ogt//lamB//appA//fepD//
NarP-Phosphorylated_pos	gabT//metN//oppD//dmsD//cydB//gltV//fhuE//glnL//pgaA//fecD//glgS//pdeF//ppiA//manX//talA//aaeR//lamB//mntS//lolB//ybfN//katE//gabT//ssuE//fixA//phnK//pagP//chbB//ynfG//glpT//mipA//purR//gspC//
NhaR-Na+_pos	evgA//ulaF//rpsI//rpmI//nirB//
NikR-Cd2+_neg	creB//hcp//ynfH//sbcD//gntK//prfA//
NikR-Co2+_neg	rpsR//phnG//phnC//gntP//glmY//gnd//
NikR-Cu2+_neg	cadB//rpmI//dsdC//yfdE//deoA//trg//
NikR-Ni2+_neg	sucC//hybE//rpmC//rplC//glcB//lysO//
NikR-Zn2+_neg	folA//lsrR//psiE//crr//yegH//hybA//
NrdR-ATP_neg	trg//ansB//narH//crp//sucA//truB//gnd//araH//sufC//
NrdR-Zn2+_neg	nupC//artQ//patZ//gltA//ynfK//ynfH//mpl//gcvT//hofP//
NrdR-dATP_neg	bamA//purH//ptsH//phnO//cheA//astD//rpsQ//pnp//ackA//
NsrR-[2Fe-2S]reduced_neg	deoB//sufA//guaB//betA//yjcH//csgC//rrfG//fadJ//caiF//rpoS//xylA//hycC//uvrA//argF//ebgC//nikD//nikA//lsrC//fliA//csgB//slyB//rhaR//sxy//paaZ//cysM//uxaA//iraD//ubiG//tyrB//chbB//hycI//rpsO//araD//ygiA//bcsB//pepT//rdoA//glnB//bglG//rpoS//mgrR//fixB//baeR//sufS//nuoE//deoC//hypA//xdhA//garP//ulaE//hmp//fixC//cysI//lsrC//dadA//glpE//yebE//malI//glpE//nfuA//lacY//arfB//rplT//pgaA//aaeR//allC//glcB//nikB//sdaA//gltF//tsgA//ebgC//gltD//
PhoB-Phosphorylated_neg	fbaA//lsrK//nanE//manA//ndh//cysP//ybdN//znuB//mltC//hyfG//purH//yggX//epd//
PhoB-Phosphorylated_pos	paaJ//fhuC//ileU//ansB//ssuD//aaeX//fdnH//uxuA//fimE//ygaC//cdd//agaV//ilvA//glcA//nuoB//fecR//yedX//nlpD//ompA//aroG//dcuC//puuP//umpH//ubiG//betA//hypB//dcuC//hyfI//tyrA//sbcC//nac//gntT//uhpT//fadE//deoD//moaD//udp//umpH//yqjH//araC//atoB//rseA//mutY//cheB//lldP//melA//oxc//aroG//hyfJ//yqjI//hcr//gatA//frdC//
PhoP-Phosphorylated_neg	tcyJ//lsrC//manZ//livF//garP//ccmH//oppC//uhpT//yfbR//nikA//fucO//
PhoP-Phosphorylated_pos	rbsC//malE//carA//fixA//argR//astE//casD//puuR//grxD//tolC//mtlA//pepT//carB//ygiA//pgaC//glpF//pyrD//glcG//aldB//frdC//glpA//tsgA//glpB//tadA//aroM//rhaR//dpiB//idnO//udp//uhpA//cyoE//argD//glnK//lacA//rrfB//zntA//napB//entF//nuoC//fixA//mtlD//chbA//torR//hisM//gatC//argF//cydA//oppF//creB//
PrpR-2-methylcitrate_neg	bioA//
PrpR-2-methylcitrate_pos	garP//amtB//ispE//fadJ//
PurR-Guanine_neg	ydhY//paaI//fdnG//narX//appA//trpL//tauC//exuT//hyfA//feoA//astA//pdeF//srlA//glnD//ugpE//fucR//sucC//nrdG//gspE//ygeH//glpT//acnB//rplV//ada//paaJ//fecI//gntP//ychO//ydiU//uidB//phoQ//rplB//gatB//epd//
PurR-Hypoxanthine_neg	uidB//cheW//puuR//aaeB//entF//fucU//rimM//agaA//ilvD//phoE//uof//dnaA//citC//glpX//azuC//galS//gspM//purB//mepH//aceB//feaR//tnaA//fixB//adiC//spf//bglF//csgA//hisP//hybE//livK//tam//mscM//lysU//ilvB//
QseB-Phosphorylated_pos	focB//citC//glgC//iraD//
RhaR-L-rhamnose_pos	hypB//yebE//
RhaS-L-rhamnose_pos	cyoD//cusC//lolB//
RstA-Phosphorylated_neg	kbl//ilvG_1//cysU//treB//ebgA//
RstA-Phosphorylated_pos	ulaA//rybA//pitA//ygbA//nrfG//
SoxR-[2Fe-2S]3+ oxydized_neg	glpE//
SoxR-[2Fe-2S]3+ oxydized_pos	tsaE//fumB//crl//
TorR-Phosphorylated_neg	hycG//
TorR-Phosphorylated_pos	arcZ//lamB//manA//tdcF//yojI//mdtA//codA//treR//amtB//
TrpR-Tryptophan_neg	ptsI//nuoA//lysP//deoD//tdcD//fepE//casE//tyrP//nanE//mhpD//ybiT//nagE//
TyrR-L-tryptophan_neg	uhpC//soxR//cheZ//thrV//xapB//puuC//dcuS//aaeB//rseA//cheR//purK//lpd//
TyrR-L-tryptophan_pos	gpsA//bcsB//lldP//
TyrR-Phenylalanine_neg	yeiW//fnr//yrbL//xylH//lysO//sufS//fnrS//appX//cpxA//cheA//hyfF//ldtB//
TyrR-Phenylalanine_pos	glgC//hycA//glnD//
TyrR-Tyrosine_neg	nuoE//glcC//ydeP//dsbA//nikD//gntT//raiA//purN//cpxA//aroL//yjjZ//rrfD//
TyrR-Tyrosine_pos	narL//ygbA//nirD//
UhpA-Phosphorylated_pos	mhpE//
XapR-xanthosine_pos	tap//mdh//
XylR-Xylose_pos	betB//cas1//hybB//uxaB//baeR//dgcZ//
ZntR-Cd2+_pos	hemA//
ZntR-Hg_pos	yfdV//
ZntR-Zn2+_pos	uof//
ZraR-Phosphorylated_pos	pstA//yciW//lacI//
Zur-Zn2+_neg	katG//ydfH//bcsZ//tam//tauD//acnA//
