#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	micF//atoB//
CRP-cAMP_pos	rof//lacI//yhfA//glnD//rplI//nrdG//gyrA//puuC//rplS//xylF//rplI//entF//nikD//paaK//rbsK//ileT//gltD//ynfF//allC//fepE//ynfH//pitB//nlpD//aspA//rprA//argE//ssuC//rplC//tktB//mepH//hofO//cysG//xylH//ptsI//sdhD//yoaG//ascF//phnK//ryhB//glcC//dnaE//nanE//ygeA//ileT//rdoA//yhfA//frc//paaI//cusS//cbl//aceE//srlD//rplB//aroP//rrlE//caiF//ssuE//acrB//stpA//artM//rrsC//ilvB//galS//serC//paaI//fecR//oppF//ilvM//lacI//rrsC//chbR//uxuR//rhaD//entF//mntS//micF//nrdF//mlc//hemA//metB//ilvG_1//yegZ//pnp//uxaC//hofM//aroG//yneM//hybO//hofO//dapB//umpH//dctA//ompF//paaA//pncB//infB//entH//ryhB//fiu//speB//bhsA//serC//ftnA//marA//cusA//hydN//pstB//borD//fdhF//cynS//znuC//skp//aroA//tdh//betI//acrE//bglF//sucC//frc//entA//leuE//aer//exbB//ydfN//glnD//alaS//treB//erpA//rpmI//yaiW//sucC//lacY//malI//bcsB//trpC//rimP//uvrA//dcuC//araA//dapB//citD//mlc//gatD//rnlB//argH//gutM//aroF//hycG//argG//zntA//hupA//nrdA//fimA//ppiA//tdh//paaC//tdcE//artQ//creB//purN//mgtA//rimM//dgcZ//fdnI//rrlA//yegR//ulaE//waaH//oxc//polA//astA//asr//yjeV//cusB//malT//agaA//speC//nrdI//ssuC//argI//envZ//patZ//ssuE//fumA//chbG//rbsA//fumB//csiE//glyA//mdtC//lysP//aroA//dapD//ydeM//prpB//gutQ//yegZ//atoD//soxR//fhlA//iscR//tdcA//rpmC//hflX//fadJ//entB//hycG//focB//phoR//malZ//znuB//araD//moaA//yojI//yfdE//gltF//mglA//ybjG//gadC//exuT//cusC//cynT//aroM//qseB//rrlB//rplV//nuoI//cysN//araC//treR//hypA//xylB//metH//aaeR//acnB//deoB//adhE//feoA//dsdC//marB//soxS//focA//srlR//sufA//ccmC//yfdX//nuoE//cusR//gspM//bioD//tehA//gabD//gspL//phoA//glcD//alaV//cheR//sodA//cysU//livM//fepE//oppD//narX//hypD//caiT//fecE//creD//gntR//cusF//sbmC//yjcH//pagP//sufD//pgaA//cheB//argH//bcsA//rrsE//gatD//yfdE//argO//rplP//sufB//metH//katE//yeaD//ychO//rcnA//murQ//lacZ//bamA//nuoI//lpxB//rrsC//malY//paaG//cdd//uidA//fliA//sroD//prpE//zraP//glcD//osmY//napD//patZ//uof//flhC//nfuA//ilvD//yeiB//rutD//yjjZ//ryhB//gutM//ileV//fdnH//mdtB//mhpR//nrdB//fucP//cheR//csgC//fixC//motA//dmsD//mntP//bcsC//galK//narH//allE//astA//xylA//rpsO//gntP//srlE//fumB//dctA//ulaC//sufE//ydhW//grxD//speA//hmp//nupC//appB//rrsE//mcaS//yjcH//mtlA//slt//hslJ//srlR//phoU//dcuD//mtlD//cysK//modC//purF//feaR//psd//ansB//fur//phnC//aroP//rprA//rpsI//rpsO//oppC//trpE//focA//slt//paaC//lpd//rhaS//zinT//psd//rpsQ//glpA//alkA//fecE//nrfE//dsbA//yccA//norW//hfq//metF//metI//tyrB//cpxR//mhpC//gltU//fixX//hofC//rrsH//agaA//ychH//zwf//pnp//thrV//lpxD//sodB//hyfG//paaC//yhiD//ubiX//gutM//uraA//prpC//nanS//glpA//nrfF//fucK//hisQ//yaiW//gltD//tap//iscA//moaC//yggX//artQ//gabP//znuA//efeU_1//sbmA//mltC//yqjA//caiC//tnaB//
ChbR-Monoacetylchitobiose-6P_neg	rbsA//treC//comR//actP//codB//fldA//
ChbR-Monoacetylchitobiose-6P_pos	cyaR//entA//ptsH//fadL//flhD//mhpB//
CpxR-Phosphorylated_neg	glgS//phoA//argO//tyrR//tap//glrR//tyrB//map//fimI//rrsD//puuC//fucK//caiD//ubiC//hmp//malI//mntH//sufB//gadB//pheM//idnK//cydC//ulaD//yjiY//
CpxR-Phosphorylated_pos	kbl//appB//fur//infC//uidA//paaC//ulaD//sodA//nusA//aldA//rstA//mdtA//malZ//puuC//nuoB//cysK//nrfE//fepG//yibN//argF//carA//ygaC//phnO//phoB//spf//katG//rbfA//aroM//grxC//feoC//yhjC//hflD//ychH//dnaA//cheB//mtlD//alaA//lacY//mhpE//ssuD//rpsR//marR//glpE//lldD//hyaA//
CreB-Phosphorylated_neg	aroM//slyB//sucA//
CreB-Phosphorylated_pos	pitB//rplP//ygbA//purH//serA//cusC//
CueR-Ag_neg	glgS//mhpC//adhE//rrfF//sbmA//
CueR-Ag_pos	livH//zraP//
CueR-Cu+_neg	erpA//frdC//glcG//frdD//fhuD//
CueR-Cu+_pos	mntH//hycE//
CuerR-Au_neg	lsrD//yoaC//yegR//hybF//alkB//
CuerR-Au_pos	hyfR//ascB//
CusR-Pasp_pos	aroA//yedX//exbB//hisM//glpF//nuoI//norV//rbsD//alaA//mntP//pck//frc//
CynR-Cyanate_neg	hybF//
CynR-Cyanate_pos	uxaC//hybA//glpF//
CysB-N-acetyl-L-serine_neg	hypB//pncB//comR//ssrS//nusA//puuA//fldA//
CysB-N-acetyl-L-serine_pos	metE//ybfN//aroA//nanK//actP//rrsH//ldtB//ubiC//fhuA//allD//yaiA//ppiD//mtr//glgP//narG//modA//gspK//csiD//glpA//grcA//alaS//nuoJ//tauC//
CysB-O-acetyl-L-serine_neg	ccmB//mglB//cadA//pstB//ynfK//gspC//pta//
CysB-O-acetyl-L-serine_pos	phnG//lacZ//paaG//atoB//nuoG//ada//artI//atoA//nupC//cusC//nikC//upp//nagE//lsrA//bglB//atoE//paaJ//motA//glpR//hypC//rplM//dmsD//ftnA//hofB//
DcuR-Phosphorylated_pos	hdeD//gspO//moeB//ulaF//caiE//treB//malS//uxuA//fadI//
DnaA-ATP_neg	ydhV//alaA//hypE//cynS//modB//nuoB//moaE//oppC//yojI//amn//fhuC//
DnaA-ATP_pos	cysI//nmpC//yfdE//arcA//araJ//tsaE//ccmF//
DpiA-Pasp_neg	alaV//
DpiA-Pasp_pos	casB//rrfF//tdcF//ilvH//guaA//nirD//ompT//ugpE//srlA//cyoC//
DsdC-D-serine_neg	sodA//
DsdC-D-serine_pos	glgB//adiC//
EvgA-Phosphorylated_pos	yojI//dcuB//puuP//livH//yibN//ynfF//feaR//ebgA//narL//hydN//fixX//miaA//metK//csgF//cyoA//
FNR-[4Fe-4S]2+ reduced_neg	narX//fepD//ydhT//mhpA//modB//bhsA//glmY//mpl//ygaC//fucO//ssuD//rrsE//prpR//ilvH//nanK//phnO//iraD//tdcA//cheY//treC//bioD//pepT//frdB//yciW//ptsG//yjiY//crr//zwf//paaG//zraP//metL//yccA//glgS//ydhW//preA//fes//gspD//ydeA//mtr//ydeJ//ugpB//nrfG//fiu//yidQ//alaS//yjeV//ssuB//oppD//speB//alaA//aaeB//ynfK//marR//srlR//manY//tdcE//appC//treR//caiF//hyfC//alaS//uidB//nrdA//ileV//gutQ//ccmF//artJ//moeA//amn//nrfG//prpR//grxC//fucR//glcF//entF//hypE//purN//entB//narI//ynfE//fimC//crl//cpxA//bioF//crr//ydeM//ynfF//cysI//talA//argA//malP//hyaC//ydfH//nohA//sohB//gspJ//gltT//dkgB//rpsR//carA//fhuC//glnG//bacA//ytfE//cadC//yqaE//pepT//nrdF//tnaA//uhpB//uxuB//hypA//fliA//nrfC//ompX//rpsQ//nrdI//tdcF//glcD//ssuB//
FNR-[4Fe-4S]2+ reduced_pos	aroL//carB//nagC//ppiD//metQ//acrA//nikD//fadA//nuoK//alaU//fdnG//hyaD//glpB//rrlH//phoQ//priB//dcuD//paaE//osmC//gspD//gltB//astD//citG//argB//manY//caiT//yfdV//gltT//fepD//serA//xseA//pyrC//trpD//aroH//paaK//artM//chbF//moaE//zntA//rpsS//fadD//abgB//fumC//rpsI//chbF//ccmD//lsrC//mdtD//aceK//fiu//astD//frdA//yjeF//nupC//speB//paaJ//gadB//napH//sucB//fumC//tsgA//malK//fixC//stpA//bglG//aroL//nrfB//proP//abgB//argI//sohB//hyaD//fhuB//rplS//ilvC//fnrS//mhpT//yedX//nupC//trpC//speC//pstS//phoH//ssuD//cadA//rrfG//hyfF//rutF//cheY//phnG//norV//slyB//rplW//nupC//glnA//gltU//lysP//cynT//raiA//glpX//mepH//glpQ//paaZ//gntX//citX//ilvY//adiC//rpmC//borD//pstS//glgB//tsaE//nrdB//ldtC//glnL//rseA//ycdZ//ansB//rcnB//rrfD//argI//bdcA//csiD//manZ//metH//csiE//asr//yjeV//nanA//fhuD//phoH//dsbA//gspH//yhhY//truB//oxc//prpE//znuB//metF//csiE//rhaT//paaA//rrfA//uhpA//hmp//fadB//asr//gspC//melB//lsrD//ompT//metQ//mltC//sufE//efeU_2//recF//fiu//aldA//argR//ccmE//bcsC//mdtD//focB//flhD//rhaB//napD//mdtA//rpsC//phoH//rrlG//dkgB//yeaD//ihfA//treR//garL//betI//xylR//nuoK//rrsH//ygaC//trpB//argH//sohB//yqjA//glnA//carB//hyfB//fau//lhgO//glpB//exuT//pgaD//nrdD//yeiB//narK//puuE//ynfG//thrS//cas2//glcD//fucK//yojI//
FhlA-Formate_pos	ssuB//ilvI//tsr//exbB//hmp//aceE//dusB//hypB//ilvD//fau//dadA//csgG//comR//glgC//ubiA//hflK//oppD//abgB//alaA//alaT//metI//rprA//rrlE//torD//betB//sxy//slt//amtB//moaE//srlA//
FucR-L-fuculose-1-phosphate_pos	cheY//tdcF//yegH//motB//nac//motA//cheY//
Fur-Fe2+_neg	tsaE//dsbA//glpD//rrfH//uxaC//garP//rpmC//argD//aroF//ada//gltD//pyrD//nrfF//ydhU//xylF//manY//bioC//hydN//hslJ//yfdE//oppC//nuoE//xapB//mhpD//cadC//hycF//bcsA//gcvT//moeB//aidB//yneM//gltV//gltW//metB//psd//fixB//nrdF//rpoS//phnN//rrsG//abgB//nusA//psd//proP//cueO//malQ//ydbD//ilvG_2//hyfD//cynT//metH//map//dppC//rhaS//prpR//ascB//ssuC//napC//hflK//rrfC//slt//phnM//ubiA//ubiG//ychO//melA//mtr//pncB//cynR//csgE//cbl//ycjX//uhpA//paaI//ung//metB//ugpA//carA//gabT//araF//uxuA//purE//trpD//entS//ulaE//cstA//patZ//gutQ//cyoE//paaG//cstA//lpxD//bglG//hycD//lysO//dcuB//rrsB//rrsE//phoQ//abgT//dkgB//ppiD//araF//murQ//glrR//ftnB//paaA//sdhD//sbmC//idnT//cheA//spf//aldB//thrS//sdhC//pta//dppC//argC//sucC//cyoB//fecE//cyoC//gatC//gutQ//
Fur-Fe2+_pos	narK//bglG//rrlG//yoaC//cra//paaZ//nuoK//chiP//carA//sucB//hycH//copA//caiB//acnB//rpsC//rpsP//dsbA//moeB//fur//citX//mtr//uidC//spf//rpmI//nanK//
Fur-Mn2+_neg	rrfE//fhuA//dppC//lysC//rbsD//osmC//csgG//erpA//ygaC//nirC//feaB//cysU//chbR//appB//rrlC//trpB//gltT//cra//abgA//lpxA//tdcG//oppF//rpsI//lsrB//ppiD//cspD//xdhB//marA//gabT//rrlA//caiB//iraD//tdcA//fadH//ynfH//phnG//ubiX//pck//rrsC//ynfF//lhgO//rstA//creC//ydhY//gcvT//aaeA//casB//alaA//melB//cysJ//glnB//cspE//tomB//acrD//yhjC//gdhA//tsx//betI//yciW//putP//gatA//norW//gntK//betA//rutA//hyaA//appY//malF//yegZ//znuB//gltA//fucO//fucP//cynT//gspK//rrfA//metF//metJ//actP//treB//tcyJ//yqjA//argG//ldtC//flhD//modA//rutF//glcA//ptsH//rrfF//rpoS//grpE//ada//talA//creB//malQ//gcvH//fliZ//borD//hdeB//lacY//ygeA//citD//thrS//feoB//flhC//mutY//phnK//yfdE//gltD//glgX//rpsQ//purD//tyrR//spy//rrfD//sufC//fepB//bamE//lrp//psd//dnaE//rrfE//garK//
Fur-Mn2+_pos	yfdV//cysM//codB//hycC//recF//hycI//fucR//pck//fhuE//moaA//norV//ykgO//atoE//xylB//zraR//tam//uvrA//tdcD//ilvX//citF//acnB//tnaC//comR//yaeP//carA//
GlcC-Acetate_neg	nuoB//
GlcC-Acetate_pos	hyfR//yecR//ilvX//aroA//tcyJ//gspD//
GlcC-Glycolate_neg	ompC//
GlcC-Glycolate_pos	gltD//prpR//fimH//ygaC//rrfH//katE//
GlrR-Pasp56_pos	norV//
IclR-pyruvate_neg	argP//nuoL//cyoA//narG//
IdnR-5-ketogluconate_neg	csgE//hypE//gntX//
IdnR-5-ketogluconate_pos	xylR//manX//tsx//phoU//gatA//
IdnR-Idonate_neg	yedX//aroH//napC//
IdnR-Idonate_pos	rplT//icd//fucU//hycB//eda//
IlvY-2-acetolactate_neg	secB//
IlvY-2-acetolactate_pos	uraA//
IlvY-Alfa-acetohydroxybutirate_neg	pgpC//
IlvY-Alfa-acetohydroxybutirate_pos	rrsD//
IscR-[2Fe-2S]1+_neg	tyrA//ccmF//deoD//ysgA//speA//glpK//deoC//nrfC//pepT//asr//fecA//tyrA//emrK//oppA//mhpC//rhaR//serA//hycE//cvpA//rpmI//nupC//phnJ//trmD//speA//tonB//lsrK//speC//xylR//nrfB//icd//
IscR-[2Fe-2S]1+_pos	uidC//sdhA//gntT//tnaB//rnhB//murP//napG//metA//envZ//envY//ulaD//
LldR-L-lactate_neg	rrfA//xylA//putP//
LldR-L-lactate_pos	ilvY//yqjH//hslJ//
Lrp-Leucine_neg	motB//chbF//hybE//kbaZ//sodA//gadC//paaB//ccmH//nirB//grxD//chbB//aaeX//nikD//rplP//ppiA//purA//bioD//galT//mhpA//srlD//bglB//xylA//yjeV//hyaE//fadJ//flhD//aceA//folE//cysG//ybfN//arcA//nrdF//ompA//mgrB//hcp//psd//metB//dcuS//rutG//ygiC//prpD//moaD//trpB//gatD//nrfC//yhfA//hisJ//rpmI//zraP//purA//sucC//ispE//fimE//yfdE//hycA//cas1//hyaA//astC//malG//ompX//nirC//aroA//metY//rhaB//lacA//oppB//chbC//yqjA//phnE_2//prpE//nupG//bacA//manY//ccmC//rrsE//
Lrp-Leucine_pos	ycjX//hyfE//slt//soxS//ycjX//rrlC//fepC//gatY//treR//sroD//yeiW//rutB//putP//creA//mutY//artI//entH//ccmD//preT//ppiD//hyfG//yfbR//dsdX//rpsI//agp//casE//hybA//rrlB//fimG//gadC//ilvH//gatZ//xapB//pgaA//pncB//
LsrR_neg	nrfG//fecA//hypF//phnC//focA//guaA//bcsB//phnN//narI//
MalT-ADP-Maltotriose_pos	arfB//hflK//ydiU//bcsB//acs//ftnB//ysgA//garK//trpR//csiE//
MalT-Maltotriose-ATP_pos	metR//fimF//glpT//deoB//gyrA//aaeB//ykgR//gspH//fimE//ssuD//
MelR-Melibiose_neg	fecA//entD//yhfA//
MelR-Melibiose_pos	ugpE//oxyR//fadE//
MetJ-S-adenosylmethionine_neg	sodA//gntU//hycC//glpX//glcB//rbsD//nadC//dnaN//csgC//hofN//glpK//ydeP//ssrS//phnL//hcr//
MetR-L-homocysteine_neg	cra//trpL//
MetR-L-homocysteine_pos	nirB//rybB//ugpC//cheR//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	cysN//cyoC//cheA//ompC//gltU//treC//
MhpR-3HPP_pos	glpE//pgk//ykgO//rrfE//purL//metN//
MntR-Cd2+_neg	phnG//mtlR//gabT//cyoA//
MntR-Cd2+_pos	manZ//
ModE-MoO42-_neg	galE//lolB//ahpC//melA//ascB//rrsB//galM//mgrB//truB//cpxR//ydhX//gabP//uidC//rrsB//nuoM//
ModE-MoO42-_pos	phnI//purR//yfbR//modA//paaI//mutY//rutA//fau//acrB//glpT//metF//caiB//casA//ompC//rrlG//pnp//atoE//argI//fucA//sucC//tauA//agp//pheT//gabD//astC//mhpD//sdhD//nikA//torA//bhsA//cysK//
NarL-Phosphorylated_neg	oppF//zraR//glyA//fadB//gntT//dcuR//metR//soxS//phoU//puuD//entF//csgE//lhgO//malM//rrlD//bhsA//glgX//fhuC//uxaB//hypE//nrfD//nuoJ//puuC//argI//rpsS//fau//rpoE//lpxA//qseB//ilvN//cyaA//cusF//moaB//lpxD//artI//tsr//aaeB//rbsD//cra//sucD//bioB//prpD//yqaE//melA//gcd//patZ//yeiL//cas2//fepD//hdeA//nuoL//hyfC//caiC//metI//paaJ//tnaB//ychO//nrfC//metB//feoB//atoE//yjeF//rrsB//mlc//ytfE//cueO//ssuC//hemA//yfiP//rybA//narX//bamA//nrfD//crl//yeaR//mipA//amiB//nanM//ygiB//iscA//aroG//osmY//modB//dsdC//feoB//idnD//
NarL-Phosphorylated_pos	fadH//lldP//trpC//dmsC//tsaE//nikA//hypD//mtr//yjeF//cyaR//rybA//araE//entA//ssuE//glcA//astE//argH//hycC//sufA//guaB//phoE//caiC//araJ//rrfA//hfq//iscU//fabZ//sodB//lamB//hcr//guaA//casD//hyfE//ydbD//glpQ//yeiL//astB//narK//arfB//mdtB//citF//lacA//glnK//rpsS//sdaA//sufB//
NarP-Phosphorylated_neg	ybdZ//rstB//glnG//agaV//infC//galE//feoC//xylB//grpE//nagA//ppiD//nrfB//nlpD//glnL//rcnA//prmC//fepG//paaI//metL//tcyJ//phoB//pflB//zraP//dsdX//qseC//rseB//iscR//rplT//glgS//yfeW//sucA//purD//dapD//
NarP-Phosphorylated_pos	yciW//trpR//uof//bglB//trpB//yoaC//hypA//cusC//yhiD//azuC//paaJ//frdA//bioC//fhuA//nagA//phnE_1//tyrB//araC//metJ//malF//hfq//speB//fecB//purF//qseC//torR//zwf//gltF//nrdE//gadB//alaU//phnC//
NhaR-Na+_pos	miaA//avtA//cysP//dcuS//erpA//
NikR-Cd2+_neg	yecR//efeU_2//trmD//fhuC//glpA//hdeA//
NikR-Co2+_neg	lsrF//hycD//moaC//ccmH//ptsH//kbl//
NikR-Cu2+_neg	amtB//rrfC//csiD//chbG//xdhA//uxuR//
NikR-Ni2+_neg	kbaZ//iscU//ytfE//infB//infC//rhaA//
NikR-Zn2+_neg	fliA//hyfR//cysK//rplI//kbaZ//rpsS//
NrdR-ATP_neg	metB//truB//argR//raiA//puuR//alaT//phoU//aceK//fecI//
NrdR-Zn2+_neg	lsrK//mdtC//idnO//cynT//ygeA//lysO//focB//fbaA//galE//
NrdR-dATP_neg	aceE//cyoB//paaA//bdcA//fadD//csiE//fepB//gatZ//xapB//
NsrR-[2Fe-2S]reduced_neg	polA//glpT//sdhD//fhuF//deoA//zraP//speA//oxyR//glpT//mdh//cysP//ilvA//oppF//gpmA//preT//nikR//infB//metC//rrsC//rmf//rrfH//rutE//putP//metE//glgX//trpA//trpA//ugpB//oppC//rbsC//lysO//uidC//citG//xdhA//fumA//thrS//epd//mipA//rpmC//ssuD//dsdC//srlE//cysC//moaB//rbsR//ssb//yedX//tdcG//nuoE//nuoC//mhpA//fdnH//creD//entF//rrsH//narG//hisQ//mipA//fucI//arfB//rpmC//zwf//rimM//araF//rutA//rnpB//hyaB//tdh//araE//araB//sohB//nikA//cynX//
PhoB-Phosphorylated_neg	feoB//acrE//idnR//fimA//ilvB//ileV//cusF//gcvT//hyaD//mdtD//fimF//phnO//rutF//
PhoB-Phosphorylated_pos	uraA//cynT//lsrC//rrsH//gspD//rrsB//manZ//sufE//metJ//hcr//tar//modC//fepB//hdeD//tktB//nrdF//metQ//phnG//folA//aspC//phoQ//fixX//malP//manA//pitB//mntP//rrfD//codA//ada//bcsZ//xylG//cas2//cusB//rseC//rhaD//cheA//yjeF//aroP//nrfC//fimA//tyrB//yeaE//bglG//lpxB//cheW//nikA//tyrR//csiD//aspA//argO//cdd//rof//oxyR//
PhoP-Phosphorylated_neg	uxaC//caiF//ivbL//moeA//rpoH//rrfG//ygiC//uvrA//yebE//cas2//cysB//
PhoP-Phosphorylated_pos	fhuE//ppiA//rhaB//trxA//ybdZ//ileU//srlD//ydfN//argT//mtlD//rrlB//cpdB//nupC//gcvH//gatA//chiP//idnO//psiF//mntP//nanC//pitB//atoB//aaeX//artQ//fepC//fimG//fur//hpt//fucA//fliA//yhjC//yjiY//hypA//mcaS//iscU//livG//ybfN//lacI//phnF//pncB//norR//dppF//casB//gcvT//ispE//fepA//preT//mhpB//purA//
PrpR-2-methylcitrate_neg	cstA//
PrpR-2-methylcitrate_pos	nohA//rof//srlD//fepA//
PurR-Guanine_neg	hisQ//malS//entB//fixC//aceE//uraA//ydfH//dnaN//xylA//gnd//umpH//betA//puuE//hfq//erpA//caiT//ogt//tyrR//yoaG//cydB//argC//soxR//aceB//casE//baeS//grxC//uxaA//yebE//chbF//livF//xdhC//serA//rbsA//paaZ//
PurR-Hypoxanthine_neg	treC//ybdZ//livH//tdh//crl//tpx//phnF//rrsB//iraD//ccmF//grpE//hisJ//ccmE//deoD//phoP//aaeB//ilvI//icd//ccmD//cirA//mhpR//gabT//nikD//nrdG//agp//fimA//sbmC//hybC//fliA//fhuA//phnH//uhpC//astD//rplB//
QseB-Phosphorylated_pos	paaI//nrdB//paaA//rrfG//
RhaR-L-rhamnose_pos	rrlB//glgS//
RhaS-L-rhamnose_pos	speA//gspI//znuA//
RstA-Phosphorylated_neg	rhaT//paaE//glnA//rrfC//chbA//
RstA-Phosphorylated_pos	casD//csgB//malZ//lpd//cydC//
SoxR-[2Fe-2S]3+ oxydized_neg	galP//
SoxR-[2Fe-2S]3+ oxydized_pos	acrD//rstB//tpx//
TorR-Phosphorylated_neg	zraP//
TorR-Phosphorylated_pos	cusR//caiT//paaZ//araC//glpB//gatD//livH//metK//puuR//
TrpR-Tryptophan_neg	prs//rbsA//nmpC//tauB//phoU//lacY//hlyE//livJ//ssuD//ppiA//aaeX//sbmA//
TyrR-L-tryptophan_neg	hyaB//lacZ//deoD//hybB//rrsH//gatA//cas1//fadA//idnO//ydhW//chiP//rplS//
TyrR-L-tryptophan_pos	rbsR//osmC//preT//
TyrR-Phenylalanine_neg	rplD//phnN//yqjH//aroF//fimF//yqjA//mglB//mdtB//cysD//rplD//pncB//aroG//
TyrR-Phenylalanine_pos	fucU//livH//hdeD//
TyrR-Tyrosine_neg	rplI//cadC//ompX//tdcA//lldP//ileU//ogt//ynfE//moeB//sucB//rrfF//kbl//
TyrR-Tyrosine_pos	trpC//mhpD//casC//
UhpA-Phosphorylated_pos	betI//
XapR-xanthosine_pos	dnaN//fhuD//
XylR-Xylose_pos	phoH//phoR//speA//rplT//entE//yaiA//
ZntR-Cd2+_pos	bioF//
ZntR-Hg_pos	ygeA//
ZntR-Zn2+_pos	psiE//
ZraR-Phosphorylated_pos	ppiD//phnC//ugpE//
Zur-Zn2+_neg	cspD//lysC//map//csgC//gntR//melR//
