#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	gntU//uidC//
CRP-cAMP_pos	cyoE//fimA//dgcZ//fnrS//dpiB//mhpD//exbB//yggX//grxC//aaeB//qseC//ahpC//nuoC//amiB//gyrA//sufD//ycjX//yegZ//rutB//gcvT//ygiA//rstB//narJ//efeU_2//cysB//epd//nrdD//argR//hyfD//tam//rplW//rrlE//tam//yfeW//glpT//norR//baeS//trpL//ssuE//rimP//oxyR//hyfA//cstA//phoH//rrfC//glpR//entA//nadC//ilvD//gntP//ptsI//pdeF//fau//glcC//purL//uxaB//sucC//artQ//yqaE//prpE//narG//gadC//xylF//phnH//fadD//agaV//xylH//malF//osmC//betI//yqjH//cysJ//galK//prpD//tyrB//fimE//ilvH//rutB//deoD//phoE//rof//aidB//hyfC//slyB//ansB//xseA//ilvL//phnH//yfdV//frdD//gpsA//entD//hlyE//phnP//motA//nuoE//cysU//proP//chbA//cynR//artQ//lhgO//nuoG//hpt//glpE//glcB//guaA//manX//argR//rbsA//rrsG//cyoA//araE//deoA//ycdZ//moaA//rrfB//glyA//ubiC//sufS//hcp//glrR//cadB//lldD//cysD//mdtA//ilvI//dcuB//gltA//grxC//pnp//borD//rnpB//yibN//hdeB//ynfE//fadE//trpD//cstA//betT//fbaA//hypF//ygiA//cysA//fis//argH//livK//mntH//rbsK//gapA//soxR//cstA//cysP//prfA//csiD//glnG//tsx//entA//nagC//fecD//rhaS//pnp//dadX//phnC//prpB//cysM//moeA//argE//iscU//puuR//gspE//nanM//fimE//modA//citC//dppB//nrdF//flhC//idnK//ndh//xdhB//zraS//creB//acrE//glpX//hyfR//ileT//purM//rbsA//rhaS//betT//gabP//mgtA//idnR//hycF//hydN//infB//rimM//csgB//purR//xdhA//aceK//fepD//ysgA//ssuE//carA//yfbR//phnK//lacA//dmsC//mgrB//fdnG//phnD//cyoD//phnC//rrfD//hybD//citF//rrlC//livM//ilvN//ybiT//napC//mglC//xapA//cpdB//hycH//prpB//fhuE//ileU//lpxD//glcD//phnP//ydhY//carB//malP//yeiB//nuoL//paaK//grxC//ilvH//norW//katE//treR//dgcZ//modC//zinT//araE//appY//glpT//appX//talA//pstC//hypD//hyaC//argD//fhuD//cheY//fhuE//idnT//galT//glgS//amn//sucB//sufC//nupG//xdhB//ynfG//gltV//araG//hcp//uidB//rhaA//nikB//tnaC//acrE//fepB//paaF//livF//fau//rrfE//allD//gpsA//idnD//hybG//hypF//sdhC//artM//lsrK//ubiA//dnaE//gspE//tyrA//sufB//fur//metH//hybA//hyaD//glrR//glpX//phnH//glpG//mglC//cysP//ebgA//pheT//hcp//hyfJ//gpsA//hypA//rnlB//fdnI//hyfD//argG//emrK//fadH//araG//gatY//rpmI//dppC//uxuA//nuoA//rrfE//ccmA//alaV//cyoC//fliZ//purL//ahpF//manY//appC//gatZ//rdoA//xylB//nmpC//cynR//malS//tauB//actP//glgS//rplW//motB//zraR//cheR//ccmD//rrlG//garL//uidA//caiT//iclR//dpiA//hflX//udp//priB//artQ//moaB//actP//dapB//fnrS//gspL//puuA//livM//ybdZ//fnr//casE//ccmB//nrdF//hcp//trpL//lpd//ybfN//rbsR//gspL//nupG//ubiC//ulaC//nrdI//map//dcuS//ynfE//phoQ//thrV//ompR//cueO//gspD//nuoC//murP//gcd//nuoC//ydhU//oppF//malK//pdhR//pdhR//hybB//bcsZ//degP//mutL//frdB//ilvA//gabP//tdcC//frdC//alkB//cyoE//phnM//appC//phnI//pgpC//gltV//alkB//bioD//purK//secB//malQ//phnE_1//uhpA//pheM//zwf//purK//glpF//ykgO//nuoI//cstA//flhD//gspK//bamE//katG//ydeM//
ChbR-Monoacetylchitobiose-6P_neg	tktB//pdhR//aroP//grxD//mntH//lysO//
ChbR-Monoacetylchitobiose-6P_pos	dctA//rrlB//nupC//gatC//prpC//micF//
CpxR-Phosphorylated_neg	cysW//glcD//pagP//ftnA//astB//glcG//waaH//thrS//deoB//dctA//ygbA//fur//narQ//csgA//iscR//tam//dppD//psd//cydA//tam//acnA//cysU//hypC//nikB//
CpxR-Phosphorylated_pos	tnaA//hupB//adhE//nlpD//cysD//cysK//hypE//acrD//sohB//hisM//dppD//sucC//bacA//caiT//citE//rhaA//znuB//cysC//melR//cysA//csgD//evgS//melA//phnI//phoB//fldA//phnM//gatB//hycF//nikD//ygbA//cusC//hflD//trpL//uxaC//cheY//sbcD//ompX//csgA//rrsC//fabZ//nrfD//srlR//alaT//hofN//
CreB-Phosphorylated_neg	nagC//katG//hisM//
CreB-Phosphorylated_pos	sodB//nupC//fhuE//mglB//frdC//leuE//
CueR-Ag_neg	entB//aroM//csgG//ccmC//iscA//
CueR-Ag_pos	carB//metA//
CueR-Cu+_neg	torC//uraA//cysG//exbD//fimI//
CueR-Cu+_pos	paaF//katE//
CuerR-Au_neg	metA//nrdD//rbsD//citF//prpE//
CuerR-Au_pos	phnP//iscA//
CusR-Pasp_pos	acrE//phnF//fhuF//hdeA//nrfA//sbmA//fepA//trpB//ihfA//gspE//torR//purB//
CynR-Cyanate_neg	fdhF//
CynR-Cyanate_pos	oppA//uxuA//astE//
CysB-N-acetyl-L-serine_neg	tauA//grxC//lsrA//rrsE//rcnB//nrfB//nrfC//
CysB-N-acetyl-L-serine_pos	bioC//bamE//purM//hypB//argG//dsbA//phnL//phnL//asr//emrK//metQ//rbfA//citE//mgtL//glpX//narI//prpD//speC//amn//melB//udp//hyfC//hupA//
CysB-O-acetyl-L-serine_neg	gnd//gspG//tsx//nikA//hypC//micF//dcuS//
CysB-O-acetyl-L-serine_pos	cirA//edd//hypC//entE//mglC//bioB//glyA//gntR//nrfA//rplD//bioF//tdcC//sufS//ilvN//kbl//puuP//cheB//betI//lsrK//gyrA//rutG//ampD//lsrC//phoU//
DcuR-Phosphorylated_pos	malP//rplI//hycE//pgaB//deoD//dpiB//sbcD//gspK//nupG//
DnaA-ATP_neg	rrlG//nuoJ//nikB//lsrF//gspI//rybB//sufA//rnpB//lysU//dusB//osmY//
DnaA-ATP_pos	gspL//tpx//nikE//malX//malI//torC//napF//
DpiA-Pasp_neg	caiB//
DpiA-Pasp_pos	narI//glpB//yegZ//chbR//yfbR//ilvC//chiP//lsrD//hybD//lolB//
DsdC-D-serine_neg	hyaC//
DsdC-D-serine_pos	tyrP//mdtC//
EvgA-Phosphorylated_pos	fes//deoA//ppiD//nuoH//ileV//entC//cusS//ilvD//uxaA//purR//tyrA//nrdI//glgC//cysH//tsx//
FNR-[4Fe-4S]2+ reduced_neg	ydfN//hyfJ//purL//malY//lysP//speB//appC//fur//caiT//glpR//glpQ//uhpC//ascB//rhaB//copA//srlB//gntX//ppiD//amn//dctA//glgP//copA//purC//fadL//tauA//ilvX//zraP//fumB//infC//glpG//treB//aceA//mscM//appC//osmY//tdcD//galE//aceB//infC//ygiA//fumA//lpd//araB//rrfH//yqjA//uidC//manY//betT//mtlR//ulaB//rrfD//tdcF//nuoN//aaeR//zwf//citF//hycD//fecB//hyfJ//mdh//phoU//treC//nikD//pstA//mhpB//lpxB//caiA//hofC//motB//bcsB//yaeQ//thrS//cusC//argP//gpmA//glgP//frdD//cdd//garL//nuoF//dusB//agaA//sufD//nanS//fhuC//bcsC//csgD//metH//nrdH//uhpC//rutD//betA//gspG//bioF//psiE//argF//paaB//napC//grpE//soxS//ygiC//yaeP//cydC//phoU//mlc//gcd//norW//rseA//csiE//artM//nikE//gspI//ilvL//paaH//ubiA//rpsJ//fucU//lysP//cusS//uhpC//
FNR-[4Fe-4S]2+ reduced_pos	fnr//livG//acs//napA//ppiA//bioC//bamA//gspG//rrfC//nrfG//creA//phoE//fadB//rstA//flhC//mdtD//sohB//dcuA//xseA//cyoD//cysP//nikA//csgD//rrlE//phnE_2//evgS//speB//alkB//envY//fepB//pck//glcG//katG//aidB//rhaB//sucC//yjiY//appB//agp//spy//atoD//marR//uhpA//citC//norV//rybA//bglF//ydhX//entF//bglG//exuT//appA//pstS//galT//yeaD//rpoH//rhaA//phnH//fimF//prmC//fimH//acrB//idnK//feoA//ugpB//tyrA//sxy//phnO//ulaE//emrK//bioC//cra//rbsR//cusC//glcE//deoD//ugpA//aspA//pgaB//hyfJ//tsr//tauD//yfeW//umpH//argB//dmsA//hyfE//hflX//sufB//fdhF//fadE//rrlD//alkA//fixA//mtlD//acnA//dppC//nupG//tsx//mdtC//argD//prpD//rplI//emrY//moeA//mipA//nuoA//yibN//rrlC//hyfD//cra//caiC//cadA//purA//hyfJ//mdh//ydeA//casA//rrlA//pitB//tsgA//glpK//mhpB//rstA//yhjC//focB//gntT//astD//zwf//dctA//focB//glpG//nrfF//fixA//fimF//alaV//ivbL//argG//zinT//fixC//yecR//preT//hypD//moaE//cheZ//mgrB//aaeX//hypD//arcA//hybD//betB//xseA//mgrB//yjeV//ydeA//xseA//rrfF//codB//sufC//ssuA//ptsG//lhgO//purF//udp//hypB//cyoB//zwf//xdhC//tdcA//moaB//xapA//araG//hyaE//bhsA//paaH//lpd//psd//sdhB//rpsJ//osmY//hycC//rprA//citG//sroD//trpE//idnK//phnN//znuB//moeA//iclR//ivbL//nuoM//fepB//gpsA//yedX//sdhD//glcG//cysH//rplM//alkB//ydhY//bamA//
FhlA-Formate_pos	alaA//ryhB//yqaE//aceF//lsrF//ygiB//nanS//ynfF//osmY//garP//acnB//hflD//entS//yoaC//amn//fhuC//grxC//rrlE//bcsC//avtA//ybdN//lysC//azuC//aroM//rutA//bioC//glcA//ydbD//acrD//rmf//
FucR-L-fuculose-1-phosphate_pos	uxuR//fucO//cysU//ilvA//ptsH//nikC//cheZ//
Fur-Fe2+_neg	dmsC//rplV//dsdA//nrdG//nanT//idnO//casD//pnp//gspK//nrdF//rpsO//mtlD//ppiA//tdh//nirD//modA//metY//ftnB//glpA//gspL//atoA//pagP//allC//nikA//rstB//bioA//yegR//nrdI//mhpF//mcaS//sdhB//pstS//nagE//iscU//yhfA//fldA//dps//fadE//ybiT//gltF//hybB//aaeA//rbsA//rrfG//actP//fadI//yneM//yfbR//zraS//tcyJ//purN//agaW//xseA//araJ//metF//treB//fucK//phnM//nrfG//rplI//glpF//uraA//manY//phnO//yfdV//rseC//treB//xylH//fadJ//phnK//mtlA//cysU//cspE//rbsB//rrlB//lysP//ykgO//rimP//atoA//cytR//rbsK//envZ//xdhB//atoE//fimC//cadA//yaiA//sdhC//hisP//entF//mhpT//yfdV//gatC//yhjA//yjcH//mdh//cyoA//araA//rcnB//ygaC//ptsH//gpmA//ytfE//purA//gntP//hpt//malI//fumC//dpiA//ubiX//alkB//ydfH//fdnG//dnaN//fimD//edd//ybdZ//creD//hyfE//purK//cyoC//hofB//aroP//znuC//
Fur-Fe2+_pos	hflC//csgA//sucA//citF//mhpD//aspA//evgA//uxaB//ubiA//yjeF//ada//gltA//gspF//phoP//exbB//mhpD//yegZ//cysD//waaH//yaeP//adiC//nfuA//fecI//napD//fiu//
Fur-Mn2+_neg	artJ//phnC//lrp//purE//ompR//malX//tauD//ampD//chiP//tdcG//emrK//gspF//phoR//aspC//csgB//agp//mzrA//ptsG//tehB//cysW//hyaE//cheW//galM//rrfC//yaeP//purK//prs//xdhB//lsrF//prpB//ubiA//oppA//fhlA//rrfE//aaeB//malZ//lpxB//cysG//yhhY//sdhD//napC//tdcE//yqaE//torA//phnG//puuP//cysU//marR//rrlC//gapA//rrfA//betI//glpQ//iscS//bcsZ//purD//dmsD//deoC//soxS//lpxD//mntP//oppC//soxR//narL//iscR//glpX//phoE//gcvH//nrfE//patZ//dpiB//fhuB//argT//baeS//nrfD//csgE//araC//yebE//ppdD//aroH//mhpD//tomB//purA//csgF//fepE//rseC//cyoC//rrlH//xdhC//mgtA//nuoG//ugpC//dsdA//bglB//gltB//entB//speC//polA//ybiT//pstC//nagC//mglB//hisP//yfdX//hofC//pflB//frdB//comR//ynfK//casB//rybA//cydA//ydeM//nikD//nirB//bamE//ubiX//iclR//ccmH//argP//cas1//xdhB//astC//dmsD//
Fur-Mn2+_pos	focA//hyfH//marB//glpB//fimG//rrfC//ampD//ybdN//artM//norR//hdeB//gltV//fixC//melA//alaV//hypB//fepD//ulaF//argI//ydhV//hydN//rutC//cheZ//ccmC//gspK//
GlcC-Acetate_neg	sdhC//
GlcC-Acetate_pos	rpsQ//hypB//ssrS//pheT//argE//uxuB//
GlcC-Glycolate_neg	yfdX//
GlcC-Glycolate_pos	ycdZ//xdhC//umpH//rbsA//hydN//cysW//
GlrR-Pasp56_pos	artP//
IclR-pyruvate_neg	nupG//ilvB//hypF//betT//
IdnR-5-ketogluconate_neg	hdeA//nrdI//entH//
IdnR-5-ketogluconate_pos	rutB//rrfA//amtB//cvpA//purC//
IdnR-Idonate_neg	creB//ubiC//tauC//
IdnR-Idonate_pos	cusF//cynT//nanT//phoQ//guaA//
IlvY-2-acetolactate_neg	gltB//
IlvY-2-acetolactate_pos	codA//
IlvY-Alfa-acetohydroxybutirate_neg	yhhY//
IlvY-Alfa-acetohydroxybutirate_pos	infB//
IscR-[2Fe-2S]1+_neg	hybO//ahpC//metI//rbsA//galP//caiC//betI//yqjA//puuE//yrbL//aceA//hupB//hycI//glpR//osmY//oppD//copA//hybG//garK//puuE//rrsC//tnaC//oppF//paaI//ihfA//tehB//glnB//uhpC//gapA//agaV//
IscR-[2Fe-2S]1+_pos	tyrP//appB//hflD//atoD//cyaA//fucI//norW//ampD//qseC//ugpA//malG//
LldR-L-lactate_neg	aaeR//putP//phoR//
LldR-L-lactate_pos	nac//hha//tnaB//
Lrp-Leucine_neg	flhC//argR//entD//ilvI//moeA//gspF//artM//bioB//gltA//modB//torD//pepT//hybD//mgrB//araB//garR//rbsB//grxD//ihfA//pgaD//hpt//envZ//guaB//yhiD//pstC//gatZ//manY//nrfF//puuD//ycjF//prpR//lysC//purL//ccmC//ompT//fixC//fis//gspJ//metH//cysU//malP//lacA//aldA//rplM//hisP//tsx//ompC//glcF//citG//nuoA//bamA//rplC//rbsK//yjeV//sucC//gntU//gspG//gntU//cysK//chbC//metY//ybdZ//rrsH//ldtB//cysM//rpoS//rrfF//fis//alaV//dcuS//garK//ssuA//abgA//cysN//tsx//
Lrp-Leucine_pos	aroM//rutA//nuoJ//puuC//amiB//mntS//grxC//gutQ//norW//aidB//putP//cas2//ugpE//dppF//phoU//nuoE//yfeW//tsr//trpD//ilvN//phoQ//fepD//tsaE//astA//rrfB//glpR//paaC//napG//ydhT//ilvI//dcuS//fumA//nlpD//uidA//aidB//
LsrR_neg	cusC//hybF//rhaD//mhpA//glpG//deoB//yiaJ//upp//ada//
MalT-ADP-Maltotriose_pos	nikE//folA//grpE//glgC//znuB//borD//glpX//narG//cyoC//ppdD//
MalT-Maltotriose-ATP_pos	araD//adhE//agaW//uvrA//ydiU//betI//efeU_2//osmC//cyaR//creD//
MelR-Melibiose_neg	cbl//rdoA//rrlH//
MelR-Melibiose_pos	tpx//glpF//marR//
MetJ-S-adenosylmethionine_neg	sufS//malE//hyfC//glpE//casA//fepE//paaZ//phnP//metA//grxD//edd//gspK//idnR//narG//fadJ//
MetR-L-homocysteine_neg	fucU//cadA//
MetR-L-homocysteine_pos	prs//narL//nohA//ydfH//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	rrlE//hycF//purH//tehB//paaF//dcuS//
MhpR-3HPP_pos	glpA//fecI//rrsA//gntX//mdtB//ssuD//
MntR-Cd2+_neg	nagE//qseC//glpK//argF//
MntR-Cd2+_pos	rbsD//
ModE-MoO42-_neg	mntP//fucR//gltT//casE//cstA//lsrB//ileT//yedX//yqjH//ompF//cytR//gatB//tauD//oppA//metC//
ModE-MoO42-_pos	gpsA//frc//chiP//sbmC//xapA//folE//rrsH//astD//rbsB//purD//murQ//cyaA//ebgC//manZ//lsrG//uof//hyaC//dkgB//sohB//nanE//tolC//rplW//mdtD//dcuA//sufS//dcuR//cadA//avtA//dmsB//nagB//sdhC//
NarL-Phosphorylated_neg	agaA//gltF//pncB//dcuA//paaG//yegR//nanM//yfeW//ssb//emrK//hyaF//adiC//cheZ//motA//lacA//fadD//narJ//serA//malI//ccmC//fimA//hyfC//lysO//ulaA//purC//chbA//mdtA//ivbL//gltT//thrS//araC//trpA//rrfE//nirC//phnC//fumB//erpA//dmsC//rbsD//fdnH//srlE//fucO//guaB//nrdE//speC//ccmA//cdd//dapB//cysU//ygeH//fepD//artQ//sucC//yeiL//tdcF//fecE//fhuF//nusA//fiu//fur//chiP//puuR//ybdN//nrdE//cysA//preT//frdD//rrsH//tonB//ackA//uxuA//lhgO//kbaZ//tadA//citE//rpmI//garR//ampE//yegH//uidC//phnC//qseB//cbl//oxyR//ykgR//livF//
NarL-Phosphorylated_pos	uxaB//gltV//hha//glcC//nuoN//phnN//argO//dadX//spy//avtA//hycC//rutD//moeB//hyfA//rbsB//fixX//nirC//gapA//sbmC//torA//yegR//puuR//mntS//ccmC//entF//focA//oxyR//fnrS//argA//fucA//nrfD//psiE//galK//lysP//bamA//bioC//metB//fepC//fadB//upp//hybF//nuoE//treR//narG//exbD//hyfF//
NarP-Phosphorylated_neg	metE//ilvE//ahpF//rrsE//bcsB//dadA//allE//ubiA//cyaA//betA//glgP//astC//dmsD//paaJ//sucB//mutY//astE//gpsA//metF//cdd//deoA//rbsC//dpiA//cyoB//gspD//truB//fadD//ubiA//alkB//gspC//baeR//rutF//iraD//
NarP-Phosphorylated_pos	ilvL//gabP//cysN//appY//gatA//soxR//hisP//yeaR//fimF//aceB//glnA//aspA//yfdV//appA//ebgC//hofC//ahpF//glnD//metJ//exbD//ccmC//mtlD//bcsZ//cusR//livG//sdhA//fhuA//sbcC//ugpQ//rutG//fhlA//rpsI//
NhaR-Na+_pos	ilvM//alaU//ompX//citG//dusB//
NikR-Cd2+_neg	sohB//glpG//acrF//sdhA//ysgA//paaK//
NikR-Co2+_neg	adiC//folE//cysC//xylR//rrfH//gcvH//
NikR-Cu2+_neg	kbl//slt//prpB//uhpA//aceB//phoQ//
NikR-Ni2+_neg	argE//yfaE//mhpB//sdhB//ytfE//glpD//
NikR-Zn2+_neg	hypD//hycI//fhuA//skp//frdC//tnaB//
NrdR-ATP_neg	ydeJ//bamA//nanC//uidB//casD//abgB//yhfA//ugpE//tadA//
NrdR-Zn2+_neg	nagC//infB//katG//waaH//bdcA//flhD//manX//trpB//infC//
NrdR-dATP_neg	dsbA//qseC//fixB//copA//bamA//udp//ilvH//fecR//flhD//
NsrR-[2Fe-2S]reduced_neg	envY//ccmA//moaE//ptsI//ulaB//fixX//cysA//tauD//dppF//codA//ileT//nirB//mhpA//sbcD//glnG//dapB//nrfF//hofP//mntS//paaB//csgA//purE//araF//nusA//dusB//moeB//iscU//narI//fadA//dmsC//malK//trpA//ynfH//ydhV//yhjA//malQ//hflC//ada//lpxD//aroP//moeA//slt//rplB//mhpR//nuoJ//glnB//ompF//mtlR//rpsO//rrfF//gspD//bcsA//rpsI//eda//mntP//fucP//yneM//ilvN//nuoM//artM//mgtL//lysU//ccmD//tpx//icd//kbaZ//gntK//codB//fadI//astE//cydB//hdeA//cspD//
PhoB-Phosphorylated_neg	bglB//phoE//phoR//azuC//glcA//mgtA//cyaR//lacY//paaC//raiA//rutC//treB//speA//
PhoB-Phosphorylated_pos	phoP//zraR//cyoE//codA//fiu//ygbA//cytR//ygeA//cysN//yidQ//rpmC//garL//tauC//yaeP//hofO//artM//phnK//fhuC//yegZ//hyaF//rbsA//hofB//copA//kbaZ//nagE//fis//cpxR//gutQ//moaD//ampE//acs//crl//cysA//tsr//emrK//feaR//araC//hycB//gabP//trg//proP//hyfD//adhE//lacY//lacA//fucO//betA//nuoI//ihfA//ycdZ//ppiD//feoC//hycD//
PhoP-Phosphorylated_neg	lldP//ybdN//lsrB//ilvG_2//fhuA//glyA//phnJ//hflX//rrlG//rrsE//frdB//
PhoP-Phosphorylated_pos	aer//araE//uhpT//napF//melB//rutE//hdeA//uidB//argH//spf//ynfG//nuoN//cysB//safA//hpt//secB//acnA//bcsB//pncB//ydeA//hypE//hybB//yoaC//gatY//napF//glpQ//srlB//guaA//guaB//metB//araF//glpQ//rrlE//sufB//mhpB//uvrA//gltF//ygiA//fumC//hslJ//aer//copA//torC//emrY//livH//dgcZ//rpsF//gspI//dcuS//
PrpR-2-methylcitrate_neg	hcr//
PrpR-2-methylcitrate_pos	rrsB//dcuB//nikR//hyfG//
PurR-Guanine_neg	idnT//cysU//acrF//phnH//appY//mhpA//entF//nirB//sufS//hybA//fldA//pheM//ssuD//ulaF//ispE//sdhD//bglB//fixB//tpx//gltB//fimC//xdhC//napD//rnhB//acrB//cusR//yhcH//gatB//argF//hypB//napD//phnD//fecD//gspL//
PurR-Hypoxanthine_neg	ynfK//trpC//ydhY//pta//ydhX//iclR//gatZ//fecE//lysA//gatD//glpC//cheB//cas1//allD//entA//entE//ihfA//napG//napF//ileU//paaD//mscM//aldA//rbsD//csgC//ilvB//preT//cusA//lsrB//mtlA//hypA//ompA//dppF//rutD//
QseB-Phosphorylated_pos	atoA//uxaC//oppD//dadX//
RhaR-L-rhamnose_pos	malQ//ileT//
RhaS-L-rhamnose_pos	xylA//dsbA//gltA//
RstA-Phosphorylated_neg	cysC//sucC//appX//gltD//glcD//
RstA-Phosphorylated_pos	hpt//iscU//fecI//hisQ//qseC//
SoxR-[2Fe-2S]3+ oxydized_neg	ada//
SoxR-[2Fe-2S]3+ oxydized_pos	tcyJ//glcD//mdtB//
TorR-Phosphorylated_neg	rcnA//
TorR-Phosphorylated_pos	zinT//bcsZ//metE//yciW//fdnI//napC//rpmC//uxaB//hyfR//
TrpR-Tryptophan_neg	rplB//glpR//nuoE//hofO//yeiL//glcG//hypF//psd//tolC//ompR//ydeA//araD//
TyrR-L-tryptophan_neg	xylF//tsx//garR//cynT//acrD//appC//chbA//malY//yjeV//purA//uhpA//rpoE//
TyrR-L-tryptophan_pos	nusA//hlyE//rplM//
TyrR-Phenylalanine_neg	metJ//cyoB//uhpB//fadL//gabD//malY//ydhV//ppdD//chbB//paaJ//xylR//acnB//
TyrR-Phenylalanine_pos	metA//rpoH//dsdX//
TyrR-Tyrosine_neg	mdtD//hypB//ppdD//ydeM//sxy//metF//cysJ//rrfB//purN//rrsE//cspD//cyoD//
TyrR-Tyrosine_pos	yeiP//fepC//crp//
UhpA-Phosphorylated_pos	bacA//
XapR-xanthosine_pos	focB//phnK//
XylR-Xylose_pos	katE//tauA//xylG//aaeB//edd//fimH//
ZntR-Cd2+_pos	fimI//
ZntR-Hg_pos	hflX//
ZntR-Zn2+_pos	rbsD//
ZraR-Phosphorylated_pos	araF//rstB//lldP//
Zur-Zn2+_neg	speB//yjeV//ybjG//fliA//dppF//rpsS//
