#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	xapB//phnJ//
CRP-cAMP_pos	fes//hdeA//melB//yqjI//dsbA//yeaR//hflX//glpD//tyrR//pstS//alkB//nrdD//fadI//appA//aceF//ispE//iscS//rplT//glnA//hofN//skp//fhuC//rpsP//nagB//acrB//fnrS//idnD//ampD//yfeW//xylB//hdeD//crp//dmsC//ulaB//fhuC//aroL//prpR//phnI//ebgC//mntH//cysJ//metA//phnL//dnaE//trpA//dadX//ftnB//hofO//psiF//yiaJ//priB//yneM//gltA//argP//ilvB//uxuB//fimE//hyfB//glpT//tauA//glmY//sdhC//nrdD//artQ//marR//argE//rpsJ//paaE//fhlA//puuB//gntP//ascF//malP//ynfF//nanA//adiC//moaA//phoE//sroD//ilvG_1//gntX//argE//glpD//ndh//deoB//moaD//osmY//betT//ydhV//codA//narJ//mhpR//xseA//dppF//hyfJ//cirA//hflK//glnL//slt//fabZ//rdoA//mglB//tadA//nrfB//cheB//acrE//betT//rrsE//tam//nanA//betB//envZ//phnN//ykgM//ycjF//norW//lsrG//dmsC//allE//glpA//glpQ//appA//uxuR//rbsR//argT//hypC//gltT//ilvC//acs//aceE//uvrA//glpB//sufS//uxuA//cvpA//adiC//metR//hyaB//ptsH//marR//rrfH//dmsD//exuT//cysI//iclR//gltF//sdhA//borD//cyaA//chbB//guaB//slyB//astC//allE//paaC//narQ//glpT//phoQ//chbB//preA//metY//pstC//hypD//rbsK//acrF//sdhB//grxC//bioD//cytR//preA//ydeN//uhpA//zraP//pgpC//hisP//ssuA//prs//hyfR//borD//betB//bioF//katG//nikR//arcZ//tfaQ//rstA//rrfC//fucA//argF//bioF//hflC//tdh//bhsA//frdA//cdd//fecC//fecI//ilvI//rimM//mgrR//gadB//ivbL//metR//araG//ppiA//hofP//gcvT//csgF//melA//rutE//carA//bamA//zntA//acrF//glpE//preA//dppD//rpsS//fimF//hyaD//cyoD//alaV//nrfF//malE//glnB//metI//fabZ//nac//araG//nohA//srlA//znuA//artI//trpE//nlpD//cysP//nikB//glpG//yaeP//galP//dppB//rutC//lpd//dmsC//atoD//baeR//hyaD//creA//nirC//nmpC//ccmF//gatC//fhuD//araB//rhaB//argA//paaB//fadB//fecB//ybdZ//ampD//ybjG//lsrK//metR//hycE//glpT//pgpC//fhuF//galE//mhpT//hofP//lsrA//frdB//hyfF//fepD//upp//hyfC//gabT//mhpT//dctA//aroG//alkA//ulaB//ygeA//fucA//rpsS//yeiL//folE//rnlB//norW//emrK//phnJ//aspA//hofN//ychO//glpK//atoA//entS//nuoL//fecA//gnd//bcsC//putP//pflB//cheZ//ulaC//hofO//yeaE//ydeM//mhpF//deoA//argT//nadC//atoB//hdeD//argR//sufC//nrfD//mntH//envY//paaI//malQ//gatC//hyfI//malF//sufE//aaeR//trpR//tsr//phnI//pta//xseA//entH//pyrD//ackA//fadE//rrlE//ybjG//ulaA//rplT//bcsZ//abgT//fecR//mdtA//prpE//psd//oppC//napG//nikA//mcaS//sbcC//ilvL//glnL//avtA//ygeH//hycI//phnM//glgP//gutQ//ilvX//speC//mdtD//gpsA//hyaB//ileT//nuoL//pgaB//pck//zntA//glcE//paaD//preT//moeB//araJ//ilvI//glcE//fau//lsrR//edd//infC//evgA//iclR//betI//gspF//ychH//malT//focA//phnO//yqaE//zwf//cusS//ssuC//rrsB//rpsO//phnE_1//artJ//nanT//oppB//ykgO//yegH//fimF//preT//prs//stpA//lsrR//mntH//hybA//grxC//trxA//phoA//acrA//truB//nanM//entD//phoR//hyfH//cysP//dmsA//nuoB//glcB//sufD//sufS//yeaD//melB//ftnA//purE//pgaA//glmY//ccmA//
ChbR-Monoacetylchitobiose-6P_neg	metF//ulaB//nupG//hyfD//mzrA//dsdX//
ChbR-Monoacetylchitobiose-6P_pos	hyaB//citC//allE//fepC//skp//hybO//
CpxR-Phosphorylated_neg	fldA//rpsP//caiC//moaD//napC//fepE//borD//rrfH//rpsJ//fbaA//sufD//lpxB//hyfB//gntT//glcB//nuoK//tehB//mhpC//chbA//araH//araG//katE//nrdE//artP//
CpxR-Phosphorylated_pos	ugpC//ykgR//rhaA//cusC//yaiA//fimE//entA//csiE//sxy//hdeA//uof//acrD//rrlH//preT//ilvD//dcuA//nagE//rstB//ilvH//manY//rrlG//waaH//paaH//citD//idnT//ilvI//hyaC//fadB//sroD//znuB//hcr//dmsD//puuA//raiA//mcaS//mhpB//metJ//ptsG//nrdD//livH//psiF//ung//idnK//ycdZ//mtlD//
CreB-Phosphorylated_neg	srlB//nanM//cyaA//
CreB-Phosphorylated_pos	dps//napA//ybdZ//malE//gyrA//fldA//
CueR-Ag_neg	feoB//casE//nrdI//rpoH//fimE//
CueR-Ag_pos	metE//bamE//
CueR-Cu+_neg	fecI//pgk//rpsC//rpmC//yqjA//
CueR-Cu+_pos	csiE//idnD//
CuerR-Au_neg	fumB//deoC//mpl//ilvH//caiA//
CuerR-Au_pos	casC//cysA//
CusR-Pasp_pos	gabP//cysK//gltD//yegR//araG//yjiY//citG//bioC//mhpE//rplD//gnd//casD//
CynR-Cyanate_neg	fbaA//
CynR-Cyanate_pos	malE//sufC//casA//
CysB-N-acetyl-L-serine_neg	fucU//manY//nanC//abgB//fepA//ptsH//rrsB//
CysB-N-acetyl-L-serine_pos	rhaD//marR//srlE//entF//lldP//bioC//livH//phnH//rrlC//recF//lysP//hycC//yfdE//ansB//acrF//fepD//ftnA//ilvM//xylH//yjeF//deoC//ydhX//rhaD//
CysB-O-acetyl-L-serine_neg	yqaE//fhuB//argG//uraA//rbfA//iscA//metH//
CysB-O-acetyl-L-serine_pos	putP//csiE//hycE//fumA//epd//glpC//hyfH//iraD//ynfK//nagC//melB//rpsP//focA//tehB//chbF//alaV//motA//katG//narX//nagB//mhpB//aceF//iraM//dsdA//
DcuR-Phosphorylated_pos	phoR//nanM//srlR//paaB//tnaA//rrfC//fimI//arfB//manY//
DnaA-ATP_neg	yqjH//ccmH//astE//tdcA//malM//mhpD//ascF//ilvY//rrfC//mdtD//hisQ//
DnaA-ATP_pos	hfq//ulaC//prpE//dsdC//pgpC//feoA//phoB//
DpiA-Pasp_neg	ompC//
DpiA-Pasp_pos	mcaS//upp//glpE//creA//sufS//cueO//hyfG//hycA//gntK//putP//
DsdC-D-serine_neg	rutA//
DsdC-D-serine_pos	allE//mepH//
EvgA-Phosphorylated_pos	dnaA//allE//tdcC//manZ//ydeN//motB//ydhV//rprA//araF//ompA//map//tsx//artM//arcZ//gadB//
FNR-[4Fe-4S]2+ reduced_neg	ygbA//iraM//baeR//nanK//trpR//tfaQ//lacA//bioD//nanT//rpmC//metC//chbB//cydC//csiE//ulaC//rrfE//envY//norR//yebE//artQ//narQ//ilvL//hybO//hypC//ygeH//alaT//frc//rhaR//yccA//yjeV//fhuE//modA//rdoA//malS//narQ//ssrS//lacI//waaH//rimP//tpx//rpsQ//carA//sxy//paaZ//hybC//ybiT//yegH//cas2//fecB//bioB//fepA//ihfA//uvrA//efeU_1//astD//nrfD//rutA//gltA//tdcE//mscM//torC//fhuD//csgA//phoA//tdcB//tnaC//manX//rbsD//hypA//gapA//xseA//hypB//flhC//gltV//secB//yhjC//sodB//yqjH//gntX//uvrA//ydhT//trpA//nac//yojI//galE//tar//preA//metR//narX//hflX//gcd//fhuA//narK//hcp//iscS//cynR//fimH//ascB//rrfF//glpG//cyoB//ccmH//udp//fadH//hypB//murQ//nrdE//yjjZ//casA//mutY//nanA//erpA//aroA//glpK//sbmC//carA//fucU//zntA//frdB//mtlA//
FNR-[4Fe-4S]2+ reduced_pos	arcZ//nikA//cheB//ykgR//lrp//ompR//cysW//bacA//pheT//bcsZ//napA//srlB//asr//nanM//rbsR//pgaC//fdnG//tehA//motB//hdeB//yeaD//uof//amn//fau//zraS//ccmC//preT//lsrF//dmsC//codA//ydhY//rpoS//ccmH//rplS//rrsC//psiE//moeA//idnD//lacA//glpA//secB//appX//argB//cydC//marR//guaA//livH//ygiB//agp//xylF//metL//caiC//cyoA//garK//dsdA//paaA//citG//fepE//bioB//xdhB//fes//rpsP//lsrD//alkB//prpB//rrlE//zntA//rnlB//hdeA//ytfE//lsrK//rrlG//agp//feaB//fadJ//acrE//ampD//hyfF//livJ//ptsI//galS//rimM//amtB//pgaC//fecE//fadL//patZ//agaA//rplM//fixX//rutF//cas1//proP//metK//yjjZ//dppB//paaC//ykgO//cysW//bcsA//degP//ada//malT//gntR//rpsS//hypD//glrR//mhpE//cadC//hupA//garK//dgcZ//entE//aidB//fimE//astE//bamA//sohB//zwf//ydhT//garL//fhuE//lpxA//hofB//nuoE//bioB//ykgR//treB//pgaD//ivbL//phoQ//ybfN//ydeO//yecR//narQ//iscS//fumC//rbsK//rbsD//fhuF//caiD//grcA//nrdE//gspC//yebE//moaD//cyaA//phoE//deoA//sxy//mhpT//mhpD//gltA//rbsC//dmsD//metJ//ynfE//fumC//dppA//gspO//glcF//arcZ//icd//napB//tdcF//cyoD//cas1//fucI//fucU//rhaB//araJ//dppB//ppiA//lysP//aaeB//ftnA//alaA//nrdG//grxC//rrlE//fecC//yegZ//rrlE//fliZ//csgC//nfuA//grxC//speB//astB//hyaE//araC//bhsA//glgA//rrfE//sufE//ynfH//hydN//bhsA//nrdE//paaJ//murP//hyfF//
FhlA-Formate_pos	paaG//aceF//cas1//glcB//focA//waaH//creA//rrsD//galT//acnB//cysJ//lacI//fixX//uhpT//agaA//glpG//glpT//safA//iscR//tsr//ascF//ptsG//cheW//cheR//yhjA//rplP//ung//dkgB//narJ//hycD//
FucR-L-fuculose-1-phosphate_pos	argD//ulaA//dapB//infB//glpF//napB//ydhW//
Fur-Fe2+_neg	dnaA//tauC//skp//nuoI//hyaC//livJ//lsrF//gpmA//ompF//sbmC//ilvX//cysJ//ubiG//znuC//bglG//ampE//pflB//nmpC//nuoC//xdhC//agaV//nagE//glcC//cusS//rpsC//yeiW//napA//narG//argB//hycG//preA//erpA//rhaB//casB//cysK//tcyJ//mutL//rplD//rcnA//caiB//cysK//nirD//aaeX//xylF//udp//tonB//mhpD//narL//hyfF//csgE//astD//rhaB//miaA//nikC//carA//bacA//mntP//gspM//baeR//glrR//rybB//phnD//cadB//yjeV//ugpE//yfbR//creB//ybjG//ccmF//rpsR//hyaD//tap//nrfG//lolB//ygeA//chbB//amiB//lrp//cadC//uxuR//hcp//hflD//asr//ilvL//argH//bamE//yfaE//mdh//rnpB//nuoA//ccmF//purK//feoB//hdeA//gcvP//fadA//tfaQ//yfiP//map//mzrA//carA//yidQ//fhuC//pta//ldtB//hupA//metY//metK//ssb//tyrB//adhE//prpE//proP//rbsA//nusA//narH//treC//epd//csgF//entF//fumA//melA//bglF//lysP//
Fur-Fe2+_pos	frdC//cysM//yjiY//lysC//nrdI//nrdF//aaeB//appC//dmsB//atoE//frdB//rhaR//rrsC//hycH//fixB//lpxD//rhaA//ilvB//sohB//araG//mdtB//degP//abgA//citX//cheZ//
Fur-Mn2+_neg	fbaA//glcG//yegR//astD//phoR//yjeV//rimM//hflK//aspC//gspH//ptsG//nuoK//ydeM//slyB//dsdX//yoaC//mgtL//puuA//fes//argE//srlB//gntU//mdtB//rbsA//mglB//ydeP//feaB//gdhA//fadH//hybF//aspA//cheY//torD//araH//fimE//nuoE//ileV//nohA//malK//rutC//polA//mutL//paaA//xylB//rstA//fadI//oppB//hybO//exbB//yeaD//paaJ//rplB//malT//hha//torA//ilvC//argR//yojI//gspL//folE//exbD//yaiW//mhpE//caiF//ahpF//ilvG_2//zntA//pnp//truB//focA//ssuE//yjeV//frdA//tomB//phoE//hofO//hydN//dmsC//rutD//pstC//pheM//patZ//nrdE//guaB//aceB//gatA//purF//ccmH//nagC//ulaC//rrlC//ydeP//dapD//gcvH//ndh//hybG//agaV//cusA//fecB//ppiD//glrR//gatB//argR//fimI//ygbA//deoD//hcr//trpC//dps//ydiU//hycE//caiF//cynX//rseA//mntH//hemL//phnF//fadH//narG//dusB//sdhD//ssuE//fdnH//xdhB//
Fur-Mn2+_pos	idnK//araJ//livF//mdh//paaB//cadC//aidB//metC//rplD//glpB//hyfJ//tsaE//ompC//fadA//mcaS//mipA//yegH//cyaR//glcF//katE//sucB//metR//grxC//aspC//ykgM//
GlcC-Acetate_neg	nrfC//
GlcC-Acetate_pos	fldA//purL//tdcD//malP//hflD//rhaR//
GlcC-Glycolate_neg	torR//
GlcC-Glycolate_pos	yaeQ//fhuB//hofN//gntR//glcD//rutA//
GlrR-Pasp56_pos	ugpQ//
IclR-pyruvate_neg	rybA//mgrB//trxA//azuC//
IdnR-5-ketogluconate_neg	yfdE//psd//zwf//
IdnR-5-ketogluconate_pos	fecE//atoB//fhuA//yeaR//treC//
IdnR-Idonate_neg	garK//efeU_1//fhlA//
IdnR-Idonate_pos	oppB//dppF//melB//narQ//skp//
IlvY-2-acetolactate_neg	slyB//
IlvY-2-acetolactate_pos	sbmA//
IlvY-Alfa-acetohydroxybutirate_neg	hflX//
IlvY-Alfa-acetohydroxybutirate_pos	mzrA//
IscR-[2Fe-2S]1+_neg	purH//phoE//hha//aaeB//argA//hyaF//fdnI//malE//hycB//xylF//grcA//rdoA//fecA//nrdA//yhhY//cadB//nadC//yfeW//tdcA//gltD//rprA//gnd//prpE//argG//hyfH//prpE//sufC//ygaC//hyfB//puuP//
IscR-[2Fe-2S]1+_pos	glgA//mhpA//ynfK//pgaC//rrfC//rimP//glcG//sucC//iscS//ivbL//metF//
LldR-L-lactate_neg	hofO//exuT//glnG//
LldR-L-lactate_pos	glpK//glrR//yciW//
Lrp-Leucine_neg	murP//melA//lsrB//psiE//bioC//cysA//hybC//gspF//ccmF//malK//rbfA//araJ//cheY//purR//bcsA//glcA//yaiW//lacY//cheY//allE//gspL//cstA//gspO//puuD//gatB//mutL//ydeP//nuoF//ynfH//ulaE//metQ//caiF//hyfB//gabP//sufS//iscA//ycjF//focB//gcvP//xseA//nrfC//znuA//phnO//yeiW//tdh//ftnA//argI//napG//ybdZ//lsrG//appB//micF//mntP//bcsA//yeiB//dmsD//lsrF//agaW//livK//cusR//dppC//araF//rrlG//talA//rrfH//cspE//hyfG//rrfF//cspD//entE//nuoI//astD//artI//yeiL//abgT//
Lrp-Leucine_pos	ilvY//rutG//zwf//entH//fucU//nanC//ynfE//ilvG_2//fadI//glpD//purN//fdnH//rrlB//cytR//hofM//acnA//feoA//entB//yfeW//sxy//rrlG//rrlB//rpmI//ldtB//dcuC//trmD//cydC//yfaE//nuoH//citC//oxyR//rhaR//malZ//ompC//guaA//
LsrR_neg	gutM//fadI//ccmE//motA//entC//artM//mntP//yjeV//envY//
MalT-ADP-Maltotriose_pos	nuoN//malP//napF//ydhW//ydhT//dkgB//rnhB//putP//iscR//bcsZ//
MalT-Maltotriose-ATP_pos	livM//tauB//hofC//rcnA//aaeA//pgpC//rutF//yneM//lacA//mlc//
MelR-Melibiose_neg	oppC//fbaA//yqjI//
MelR-Melibiose_pos	hcp//ccmA//nrdD//
MetJ-S-adenosylmethionine_neg	tdcG//pyrD//dnaA//ssb//hyaC//rplS//carB//rpmI//psiE//focA//acrD//bcsB//yjjZ//lolB//yqaE//
MetR-L-homocysteine_neg	artI//araF//
MetR-L-homocysteine_pos	yhjC//puuP//serA//cusF//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	sufE//ubiC//lysP//rprA//dcuC//tnaB//
MhpR-3HPP_pos	ascB//nrfF//fes//tolC//gatB//hyaB//
MntR-Cd2+_neg	lpxD//hybD//erpA//rbfA//
MntR-Cd2+_pos	adhE//
ModE-MoO42-_neg	srlE//gnd//rbsR//garP//hycI//rrfA//creD//oppC//truB//hypF//rbsD//fhuD//ilvL//cpxR//fixA//
ModE-MoO42-_pos	actP//creB//malF//pflB//metY//tehA//sucB//ycdZ//lsrD//glgA//fixB//pck//entH//mzrA//xapA//tauC//idnD//ydfH//dctA//araF//hypB//hydN//rpsC//ilvH//hupB//narX//gltW//fucI//rplD//tauC//malY//
NarL-Phosphorylated_neg	lacY//ompT//uhpT//rimM//glpK//astB//upp//yeiB//purR//purA//fadL//erpA//trpC//trpC//gntR//gltW//ykgO//ackA//ccmA//entB//rrlH//ssuB//crl//cvpA//rrlE//xapB//rrsD//ftnA//proP//idnO//tonB//melA//hybC//galE//rpoH//dcuD//fadL//aroM//nikA//fecD//nuoK//yaeQ//fumB//ccmA//phoU//hisP//envZ//znuC//purN//fdnH//murQ//gltD//speC//ychO//argH//acrD//hemA//ubiG//ahpC//livH//nadC//caiE//nanM//baeS//purR//gatB//tauC//ilvL//gntT//nrfC//araG//idnD//dsdC//bioF//folE//oxc//ccmC//rhaB//acnA//tar//degP//entH//galE//safA//rplB//paaA//
NarL-Phosphorylated_pos	fadE//galS//lysU//mglA//nuoL//nrfF//glcG//copA//nlpE//yqjI//entS//bcsZ//mhpT//acnB//dmsB//rrsC//cydD//puuP//citG//puuR//malX//epd//nikE//prpR//yaiA//atoA//ygiC//chiP//aidB//frdB//garP//sucC//artJ//paaG//ilvG_1//purM//ilvC//fixA//sufE//zraP//cyaA//slt//fdnG//nuoJ//xylH//ftnB//
NarP-Phosphorylated_neg	cheB//lysP//xylA//mdtB//nanA//pgaD//hycA//srlR//srlD//bioF//argP//lacY//dcuD//gspM//creB//aroH//allD//glpT//kbl//feoB//rstA//iscA//mgrB//yeiL//trg//gltD//uxaB//rpoS//alaS//ugpC//nikB//nrdA//narG//
NarP-Phosphorylated_pos	xdhB//dmsD//comR//kbl//cydB//rplI//nanM//zraR//gcd//cstA//malK//oppD//rbfA//znuC//carB//zraP//ivbL//sufB//sufB//yeaD//ubiA//mutL//phnJ//nrdI//hyfJ//gltV//gntX//rutC//dpiA//sucB//ykgM//nagE//
NhaR-Na+_pos	yaiW//gatD//hisQ//cysP//pstC//
NikR-Cd2+_neg	hybC//prpB//pdhR//araD//napB//metR//
NikR-Co2+_neg	hflC//purF//tauB//trpE//dpiB//sucD//
NikR-Cu2+_neg	fnr//ybdN//napF//rpsS//hofM//rnlA//
NikR-Ni2+_neg	fliA//narQ//nadC//idnK//paaD//metF//
NikR-Zn2+_neg	amiB//rrlC//yeiL//phnL//nikD//lolB//
NrdR-ATP_neg	ugpB//hpt//appY//dppA//speC//ygiB//rhaR//fimF//envZ//
NrdR-Zn2+_neg	glgX//cbl//ilvC//prpB//ptsG//dppB//baeR//speC//pdeF//
NrdR-dATP_neg	gutQ//torA//hisQ//agaW//prpR//rrsC//araA//hyfB//tsaE//
NsrR-[2Fe-2S]reduced_neg	nuoG//tadA//yqjH//hflX//hyaB//lysA//moeB//metY//hupB//lacY//sufS//yaiA//dcuB//rbsD//livM//ryhB//yoaC//entF//galM//lpxB//galM//aspC//xylF//mhpC//nanM//ydeJ//xylB//aroG//alkA//glcB//glcF//cynT//mtlD//tsgA//fucO//psiE//znuA//yoaG//ygiA//proP//ynfG//mhpB//gpsA//gapA//lsrF//tcyJ//rpsF//fdnI//agaV//motB//metI//prpB//oxc//folE//cheZ//fadB//stpA//bcsB//alkA//caiC//frdD//pflB//allC//puuR//lysP//lsrA//tpx//chbF//phnL//metH//rprA//ydfH//malK//
PhoB-Phosphorylated_neg	nohA//trpE//rpsQ//lpd//mcaS//phnP//araA//hydN//oppD//atoB//alkA//agaA//aroH//
PhoB-Phosphorylated_pos	malZ//hypE//pstC//rpsC//grxD//ldtB//amtB//ulaE//ilvD//iscU//tcyJ//zinT//stpA//metQ//hyfB//napA//rrfD//ptsG//nrdF//frdC//rpoH//acs//fhuA//lacA//ydeP//ulaE//argG//rnpB//arfB//melR//abgA//argG//entA//sufB//tfaQ//tauD//gspG//hypA//fes//pstS//slyB//glpR//hflD//cyoD//ispE//ugpQ//ugpE//rrsA//slt//caiT//puuC//sdhB//glpG//
PhoP-Phosphorylated_neg	guaA//mlc//rrlA//glgP//lldD//entH//rrlD//lacA//fepD//dapB//gspJ//
PhoP-Phosphorylated_pos	nikA//ysgA//sxy//malG//mutY//hycG//nrdI//torC//glpF//glpE//cbl//erpA//sucB//mhpA//ulaD//pyrC//crl//napF//yqjI//ynfH//yneM//garK//argC//manZ//psd//cueO//gatB//trpA//rseB//atoD//hyfI//nagB//fimA//ahpC//manY//tyrA//abgA//glpR//metB//iraM//aspC//narG//mltC//fecR//caiA//gatB//ompR//fdnH//gatD//
PrpR-2-methylcitrate_neg	fldA//
PrpR-2-methylcitrate_pos	mhpC//cheY//dnaN//hybO//
PurR-Guanine_neg	aroG//rpsP//uidA//rnpB//mntH//ilvM//astA//chbA//narI//dsdX//cheZ//citD//sxy//osmY//cysB//tsr//ptsG//yggX//dsdA//bglF//amn//cydB//hybE//ydbD//ugpC//cysA//livJ//fumA//artJ//metE//melR//ychO//hypA//fecC//
PurR-Hypoxanthine_neg	ygbA//glcG//purB//adiC//serA//nikE//hfq//rdoA//dusB//tauD//lsrR//grpE//oppD//hybA//cydB//yfaE//acrF//dusB//preT//glmY//pstS//aceF//baeR//ubiC//livH//rrfA//glcE//osmC//trpC//nrfB//hybA//betT//yojI//abgT//
QseB-Phosphorylated_pos	araG//gntK//torD//lsrA//
RhaR-L-rhamnose_pos	yfaE//mglB//
RhaS-L-rhamnose_pos	bamE//moaE//lsrF//
RstA-Phosphorylated_neg	chbF//iscU//rbsR//phoB//nanT//
RstA-Phosphorylated_pos	fixA//nrfE//ileV//ynfH//gntK//
SoxR-[2Fe-2S]3+ oxydized_neg	fau//
SoxR-[2Fe-2S]3+ oxydized_pos	pdeF//secB//lsrB//
TorR-Phosphorylated_neg	mipA//
TorR-Phosphorylated_pos	chbA//fimG//focA//hyfE//ygiC//iraD//gdhA//folA//argP//
TrpR-Tryptophan_neg	focA//rseC//feaB//aceK//melB//uhpC//fecA//fimH//hemL//araD//yaeP//aceE//
TyrR-L-tryptophan_neg	phnI//uvrA//fecA//mgrR//uhpT//fucK//rnhB//frc//glpF//nuoA//hyfJ//uidB//
TyrR-L-tryptophan_pos	dppD//glpX//uxuB//
TyrR-Phenylalanine_neg	lsrD//fecC//astD//csiD//cpxR//ugpQ//glpT//nohA//dpiA//ccmA//yccA//hofC//
TyrR-Phenylalanine_pos	ilvB//lpxB//chbB//
TyrR-Tyrosine_neg	rhaT//paaB//argD//hfq//nrdD//citX//iraM//prfA//ydhW//fecB//artQ//yfbR//
TyrR-Tyrosine_pos	acnB//nuoE//psiF//
UhpA-Phosphorylated_pos	mhpC//
XapR-xanthosine_pos	yrbL//ydeP//
XylR-Xylose_pos	fecD//napB//sbmA//galM//purN//cusA//
ZntR-Cd2+_pos	xseA//
ZntR-Hg_pos	emrY//
ZntR-Zn2+_pos	uraA//
ZraR-Phosphorylated_pos	dcuS//ubiC//bcsC//
Zur-Zn2+_neg	purM//argR//ung//glpX//pstC//puuE//
