#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	infC//cysK//
CRP-cAMP_neg	rhaA//treC//tauD//ydeJ//phnM//lldR//sdhA//cysC//caiE//pgk//aspC//narX//hybO//mglC//glpA//tpx//argO//metE//ulaF//yhcH//rpsC//lysO//mutY//gltW//treC//cyoC//idnO//ybdN//hybA//srlA//nuoL//appY//ung//glnB//phnD//lsrF//purN//gltD//ilvG_1//pdeF//araH//dpiA//gcd//ydeO//alaA//ybdN//rrsB//nrdE//murP//mhpT//mtr//aroG//rseC//patZ//fepA//feaB//phnO//ssuD//puuR//lhgO//bglB//ydfH//znuC//astC//nupG//gspJ//galK//moaA//ycdZ//xdhA//putP//ssuA//actP//lolB//aldB//speA//cysH//dppB//yqaE//miaA//hybO//phoH//yggX//glpE//nirB//cyaR//lacA//amn//nrdI//yebE//tdcG//hdeA//araC//serC//caiC//yojI//ygbA//katE//rpoH//entC//dmsB//creB//araD//baeR//melR//marB//rutB//narX//glcF//fadB//nuoE//nusA//yfdX//metA//bcsC//livG//astD//nirD//acrB//rpsQ//ugpC//hycA//chbG//ybiT//erpA//rhaT//yhjC//lsrB//paaE//dadA//moeA//glcE//pheM//
CRP-cAMP_pos	chbR//cadC//yggX//narI//fimG//mdtA//cynX//tehA//rrsB//ydhV//phoR//rbsK//katG//hybC//gspJ//allE//gutM//glcE//rplC//feoC//cysB//rbsA//puuP//exbB//entA//tcyJ//ugpB//hupA//lysU//epd//purE//lrp//ydhU//nohA//sucA//lamB//nagB//nagA//ccmF//hupB//hpt//deoA//pgk//fhlA//mtr//ompC//rrsA//paaZ//feaB//uidB//cra//cvpA//moaA//malK//dmsC//betB//guaA//tnaC//glcB//hyfJ//phnO//rseA//hofM//hyaB//uraA//hofC//lolB//yjeF//treC//stpA//lsrR//psiF//xylB//alaU//pgk//rbsC//soxS//feaB//cadC//argO//artI//moaA//norV//ryhB//argO//ccmH//ydeM//tdcD//melB//ptsI//pck//pdeF//uxuB//artJ//rrfG//lacY//glnB//ampD//araH//phnO//xapB//iraM//murP//yegZ//araG//spf//gatB//nirC//ahpC//iscR//ispE//iscU//fhuF//nirC//tolC//ilvD//abgB//infC//modB//argA//astB//feoC//phnG//cpxR//putP//manZ//aceA//sufS//envZ//aceE//galE//frdD//dgcZ//yqaE//mhpA//chbG//gntK//cas2//rseB//sufE//hypA//dgcZ//modA//murP//pgpC//caiC//oppC//uhpC//dcuD//dadX//glcF//ulaC//caiT//uhpC//nrdA//iscS//ccmC//murP//acnA//gltT//nlpE//grpE//nuoH//cvpA//mgtA//argI//fhuB//yecR//rrsA//arcA//casA//dctA//sufS//codA//iraM//fadD//efeU_1//chbA//hisJ//rbsC//ulaA//fliA//acnB//puuC//sdaA//mlc//betB//yojI//envZ//malY//xapA//nrdH//rpmI//moaA//mhpF//rplD//nrdI//hypB//yeaE//moaC//glcA//gatB//mglB//rrlE//feaB//serC//fimF//katE//fimI//glmY//amn//argI//serC//dmsD//modA//putP//ilvA//allD//rpsO//feoA//lacA//nac//mtlD//rrlB//aaeR//rrsG//nrdA//casA//entC//fadJ//fdnI//tap//mgrB//rhaR//appY//mntH//ilvI//metR//hyfA//gntX//csgB//arcZ//adiC//glmY//cyoA//gltV//nagB//allE//gntT//mhpD//nanA//srlA//pyrC//feoB//lsrF//galS//narG//mhpD//cadA//moeB//envZ//napB//malF//tauA//lacI//hpt//hslJ//trpE//hycB//caiF//ilvM//rseC//gltF//ydhT//cytR//tdcA//rybA//fhuB//treC//cirA//soxS//oxyR//phnM//aspC//artJ//galM//pgaB//xylF//asr//ileV//rutA//oppB//rutC//livK//nuoM//focA//nac//araB//ompR//ogt//metF//cpxA//glcF//aldB//galP//astC//rrsA//emrY//deoA//idnR//cysW//argH//thrS//purE//ygiA//glgA//rrsH//nrdD//cspE//uraA//preT//srlB//ygeA//sucC//uxuB//fliA//ugpB//tauB//mhpA//rstB//hmp//nanC//aaeB//rseA//hypF//asr//rhaD//rrfD//rrsG//psd//bdcA//sdhC//gspI//csgG//cysB//malP//psiF//fadB//rrsB//ybiT//purH//nuoJ//narK//pheM//sucA//oxc//csgD//hybE//oppD//cvpA//zraR//gabD//gspH//betT//hyfI//cysP//ugpB//glnA//glgS//csiE//abgB//cheW//ygiC//hyfF//yaeQ//lsrF//tfaQ//ugpC//cyoC//polA//argR//nuoK//grxC//uxuA//xylF//argF//ackA//ilvE//cusA//nrdA//yhjA//fixX//lsrG//rnlB//hlyE//mlc//allD//napF//xseA//truB//chbB//gcvH//cusR//ugpA//cysM//cheA//fabZ//sxy//phnL//atoE//ydiU//dnaA//rrlA//uxuA//dapD//ahpF//oxyR//tdcD//gntR//yfdX//ygeH//creC//paaG//treR//envZ//nlpE//iraD//phnO//zraR//
ChbR-Monoacetylchitobiose-6P_neg	caiB//hyaE//deoB//lsrF//norW//ccmD//
ChbR-Monoacetylchitobiose-6P_pos	fecA//pstS//tolC//gutM//livG//cheA//
CpxR-Phosphorylated_neg	crp//mpl//umpH//malZ//hypC//cysD//malK//gspI//ileU//bcsZ//motB//prs//ugpQ//nrfD//nrdD//dcuD//cra//ychH//cusS//rybB//araC//nuoG//rutE//ftnB//
CpxR-Phosphorylated_pos	cytR//betI//yebE//dcuB//pitA//bglF//yjcH//iclR//deoA//gadB//ompF//ugpA//ptsI//narK//gltD//fecB//idnK//mscM//cysC//rrlE//pnp//fbaA//cpdB//livG//yebE//rrfB//narX//aaeX//actP//ung//yaeP//purH//pnp//cynX//acrB//xdhA//lpxA//rrsD//mtr//ulaF//ysgA//caiT//creB//fhuA//caiB//
CreB-Phosphorylated_neg	marB//fecA//dcuR//
CreB-Phosphorylated_pos	ydeP//prpC//leuE//lrp//gltW//prfA//
CueR-Ag_neg	marR//fnr//cheA//gcvP//treB//
CueR-Ag_pos	xylR//fadA//
CueR-Cu+_neg	azuC//puuB//lsrF//acrD//yfeW//
CueR-Cu+_pos	atoE//gspK//
CuerR-Au_neg	gltT//hycF//fhuC//rplC//sucD//
CuerR-Au_pos	nrdE//bioB//
CusR-Pasp_pos	yebE//gltA//glpT//glgC//ssuA//phoB//deoA//mglA//frdD//phoQ//rrfC//csiD//
CynR-Cyanate_neg	purN//
CynR-Cyanate_pos	yebE//tauC//ompW//
CysB-N-acetyl-L-serine_neg	malQ//hycC//argA//hybE//csgA//murP//abgA//
CysB-N-acetyl-L-serine_pos	oppC//nanK//ygeA//trpD//ychO//csgE//ppiD//rhaD//gyrA//nanM//nanE//purK//acrA//rhaB//agaW//narJ//rseA//rplB//tyrR//glgA//glpB//artP//cynR//
CysB-O-acetyl-L-serine_neg	csiD//srlA//fecB//bhsA//yegZ//purL//dapD//
CysB-O-acetyl-L-serine_pos	ompC//spy//glnB//zntA//csgC//ycdZ//rseA//tomB//dnaN//rpsI//gntP//cydB//ygaC//cynX//rplC//xdhA//garL//moeA//sroD//cusF//malS//crl//ugpE//dsdX//
DcuR-Phosphorylated_pos	fumC//yiaJ//fnrS//rrlG//sbcC//bioD//ackA//rpsQ//glmY//
DnaA-ATP_neg	cynR//ysgA//nrdB//ccmH//pyrC//cynX//mcaS//feaB//iscS//ssrS//ileU//
DnaA-ATP_pos	phoR//yhiD//fucO//ugpE//rybA//lpxD//lsrB//
DpiA-Pasp_neg	rbsD//
DpiA-Pasp_pos	idnK//ssb//dapD//feoB//atoA//lacA//oppD//rbsR//marA//fecR//
DsdC-D-serine_neg	araG//
DsdC-D-serine_pos	trpL//gltD//
EvgA-Phosphorylated_pos	yjjZ//aceE//dadX//gyrA//phoH//rutA//ydeP//ftnB//xapB//dnaE//hyfD//tsr//adiC//frc//ydeM//
FNR-[4Fe-4S]2+ reduced_neg	cusF//tam//nuoF//aldB//gspM//rpsJ//arcZ//metA//ryhB//znuA//chiP//sdhB//dusB//caiC//lhgO//ilvA//pitB//ptsG//pgaA//gatB//tdcE//narI//slyB//glpQ//uhpA//preA//mtlR//xdhA//paaI//uhpT//skp//cyoB//oppF//hlyE//frc//csgE//dppD//cysD//mutL//citG//truB//casC//ulaA//mhpF//treC//livF//cheA//moeA//prpR//feaB//gabD//rrfH//paaH//xdhC//nanC//frdD//agp//rnlB//fdhF//gspC//aspA//rseC//idnK//narG//paaC//yiaJ//ssuB//hfq//fhlA//pgpC//alaT//entE//hybC//ydiU//asr//nrfC//iraD//xylH//hdeD//crp//fumA//moaC//argB//yoaG//yebE//hypB//fau//idnT//hybB//ycjX//bacA//preA//tcyJ//ssuC//dnaE//purD//fis//hisJ//garP//yiaJ//narH//ynfH//hmp//argI//mcaS//hupB//rrlC//araB//uxuB//phoQ//ompF//cynX//efeU_1//treR//leuE//paaG//trpR//abgA//hlyE//moeA//
FNR-[4Fe-4S]2+ reduced_pos	prpR//phnO//fecI//rrlD//cynX//cas2//uidB//murP//caiC//paaH//sdaA//ydeA//hybF//tauD//aldA//nrdD//qseC//cysU//rrlE//fecA//yhiD//paaJ//hybG//glcE//ilvG_1//allE//metB//sufE//lysO//hyfR//fimG//garL//rnpB//exuT//fhuF//cpxA//gltD//uhpC//fimD//folE//cirA//micF//abgA//pdeF//marA//fimD//napH//nlpD//yrbL//pheM//chbC//mgrB//nuoH//caiD//cspD//marB//alaS//ugpB//ihfA//cas2//rplB//fimF//cytR//aspA//evgS//napF//astE//zwf//gcvP//ytfE//cysN//ilvB//degP//pheS//uidB//zraR//acrA//lysU//fixB//fepG//appA//nuoL//idnD//arfB//osmC//ilvC//prfA//bamE//mgrR//spf//yaiW//dkgB//abgB//rrsE//cpxR//glpE//focB//hyfE//copA//yeiB//gutQ//gatB//napB//hycD//ygiB//fucA//rrlB//araH//ynfH//hycF//argA//glpX//uhpB//mhpC//paaH//gatD//ilvH//nrdD//sufE//argD//envY//dadA//uof//nrfF//ileT//trpE//atoE//cysG//narJ//yeaR//nanT//hofN//lamB//ugpC//paaJ//gcvP//moeA//tdcB//ldtC//citX//dcuA//nuoK//rbsB//sufA//gspO//gltT//tyrA//ychH//hyfF//ubiX//fecI//glrR//rplS//evgA//folA//paaI//nuoK//ycjX//cpdB//ldtB//nrfC//narX//raiA//glpQ//hflD//fucO//yegR//fecD//ygiA//rbfA//rnlB//glcG//cusA//folE//rutD//nagA//mhpT//cpdB//paaH//ssuB//bdcA//napG//hisP//fecD//yqjH//gabP//rrlA//ubiC//dmsB//puuD//micF//sdaA//uxuA//pyrC//nrdE//paaF//hofO//caiT//znuA//uxaC//rseB//ychH//
FhlA-Formate_pos	hofB//ompA//ilvN//nrfC//aroP//rnlB//nikE//yibN//tap//gatB//fumC//glpT//lldR//gspD//yeaD//trg//polA//alaT//glnA//lsrR//phoQ//mglC//ydiU//hycG//hisQ//rpsS//slt//fimC//creA//adiC//
FucR-L-fuculose-1-phosphate_pos	upp//crr//nuoH//fbaA//phnH//stpA//napC//
Fur-Fe2+_neg	agp//flhC//chbF//gltD//ulaE//narL//metB//preT//fadI//dppF//cysU//melR//cheW//hyfR//chbR//pitB//purL//rrlE//rrsB//pta//upp//appY//yegZ//feaB//fhuB//emrK//glcF//ygiC//ssuE//fumA//sufB//aroG//sucD//pitB//glcD//uidC//iscS//narG//nrfF//pta//fhuD//tdcB//agp//rhaA//gltB//rpsF//dmsA//rpmC//cpxR//fecD//emrK//ompT//ydeJ//phnE_1//rbfA//sodB//yhiD//yeiP//trpA//znuC//rpsR//frdD//lldR//yfeW//znuA//pheT//hofP//yqjA//rutB//rplC//qseB//entH//nrfF//tap//ompT//nuoF//rybB//phnK//cheY//gspE//csgF//gspJ//yibN//hisQ//atoE//bglF//ftnA//araA//dgcZ//codA//ccmE//nuoC//tauD//purF//cheW//bdcA//araF//amtB//argB//cyoB//murQ//gspF//paaI//xdhB//aaeB//yeiB//metY//ybiT//osmC//nikD//glpQ//glcB//acnA//yeiP//chiP//gpsA//osmY//ynfK//nuoI//araJ//dctA//acnA//hflX//gyrA//
Fur-Fe2+_pos	feoB//pdhR//zntA//oppB//nlpE//prpB//sdhB//mltC//gspK//ybfN//katG//rhaT//secB//lsrF//pgpC//ydeM//rrfA//prfA//argT//sucA//mcaS//treR//gadB//ccmC//creC//
Fur-Mn2+_neg	rrlH//creD//pyrC//rrsG//thrS//nanK//tcyJ//entS//rplC//trpA//leuE//hypB//ydfN//abgA//nanK//ydhW//rseC//acrD//uidC//artM//tdcA//aceE//dmsD//dusB//ssrS//dpiB//sufB//trpR//metF//tolC//frc//uhpT//tsr//gltB//zwf//cadB//rutC//borD//nrfE//mpl//glpQ//rbfA//narQ//phnO//rnlB//ilvY//dmsA//zntA//lacY//uhpT//tonB//ccmC//bioA//tyrB//creC//exbD//oppF//allD//hofN//citE//yeaE//ybjG//fadA//uxuB//yhjA//rutG//nrfA//csgF//casE//serC//tap//lpxA//rrfH//guaA//zntA//uhpA//lsrF//leuE//gspD//efeU_1//dcuR//aroH//bhsA//ydeP//metL//rutC//dapD//hflX//mhpA//stpA//rplB//mhpT//ilvI//grxC//tdcE//ydfN//gltD//malF//livJ//yhjC//purC//pstS//mdtD//crr//emrK//ugpB//aceA//mcaS//paaE//uidC//metA//galT//cadA//glnA//fumA//iscU//tyrR//betA//glnG//hofN//rnpB//yiaJ//nuoF//hupA//
Fur-Mn2+_pos	ascF//cysI//secB//ydeA//nuoL//znuC//efeU_2//fdnH//yhjA//purK//glpF//argP//araC//napG//nrdF//feaR//ychH//manA//artP//tdcD//ygiA//gcvP//rpmC//gabP//bioD//
GlcC-Acetate_neg	srlD//
GlcC-Acetate_pos	talA//cyoA//gspH//cheW//fepD//fdnI//
GlcC-Glycolate_neg	dcuB//
GlcC-Glycolate_pos	csiE//malF//yoaC//bcsZ//dapD//entE//
GlrR-Pasp56_pos	lamB//
IclR-pyruvate_neg	prpD//nagA//trpL//nrdF//
IdnR-5-ketogluconate_neg	cyoA//gntR//cynT//
IdnR-5-ketogluconate_pos	hcp//cysD//entS//phoB//rplT//
IdnR-Idonate_neg	ychH//gutQ//artM//
IdnR-Idonate_pos	rplT//metH//fimA//malQ//appX//
IlvY-2-acetolactate_neg	mepH//
IlvY-2-acetolactate_pos	acs//
IlvY-Alfa-acetohydroxybutirate_neg	rseA//
IlvY-Alfa-acetohydroxybutirate_pos	waaH//
IscR-[2Fe-2S]1+_neg	folA//mscM//hybB//nirD//aceE//mntS//metN//yegR//gcvT//yhiD//csgD//hslJ//osmC//sxy//citG//feoA//rstA//tehB//cheB//hcp//feoB//yciW//bioC//tadA//narI//rrfF//xseA//dcuS//crr//tehA//
IscR-[2Fe-2S]1+_pos	hypB//adhE//aceF//deoC//uvrA//abgB//gyrA//nanC//xdhA//kbaZ//mhpD//
LldR-L-lactate_neg	edd//yciW//entB//
LldR-L-lactate_pos	oxyR//purC//gntK//
Lrp-Leucine_neg	fadB//lldP//allC//phoR//ubiG//ygeA//micF//yjeF//fimH//galK//ubiC//cadA//ybdZ//argG//rutF//chbR//argF//phnM//hyfC//waaH//hycG//yfdE//tdcF//rrfH//casC//rrlE//nrfG//comR//hofM//ftnB//ilvI//narL//phnL//slt//entE//pepT//ilvG_2//rcnA//garP//comR//bcsZ//tauD//fepC//prpR//ebgC//torA//aroH//xdhB//tolC//dcuC//mdh//iclR//thrV//envZ//appY//tam//ugpE//nanC//nanE//hypA//puuR//ilvG_2//lacZ//gspL//rbfA//idnD//bcsB//mhpT//rrlH//hflD//trxA//feaB//argP//nuoK//trpB//
Lrp-Leucine_pos	nlpD//livM//cysD//ssrS//yeiW//tdcF//cbl//lysO//casC//purC//nrdI//grpE//phnD//acrB//rrsG//ada//atoB//yeiP//nagE//bamE//hyfR//treC//bioA//entH//csgC//cstA//cusC//motA//ysgA//malK//cheA//rrlC//melR//zntA//carA//
LsrR_neg	tadA//fadD//osmY//narI//ccmF//narK//garL//agp//fbaA//
MalT-ADP-Maltotriose_pos	cysC//galE//nikD//cusB//prpE//infB//ileV//yqjH//nrdB//gatC//
MalT-Maltotriose-ATP_pos	fucP//bglB//cusF//marA//treC//ynfK//tdcC//glcB//pdhR//fepC//
MelR-Melibiose_neg	lhgO//astC//gspI//
MelR-Melibiose_pos	fhuF//glcA//dcuD//
MetJ-S-adenosylmethionine_neg	rseB//ahpC//avtA//frc//melB//hofB//chbA//cheB//fnr//hycG//slyB//hybA//tam//micF//livH//
MetR-L-homocysteine_neg	micF//azuC//
MetR-L-homocysteine_pos	motB//ygiA//truB//yiaJ//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	marB//purL//fucI//grcA//argT//murP//
MhpR-3HPP_pos	oxyR//sdaA//narI//aceA//hycG//sucB//
MntR-Cd2+_neg	iraM//polA//mtlD//nirC//
MntR-Cd2+_pos	gntU//
ModE-MoO42-_neg	azuC//lsrD//ycjX//csgE//trxA//entD//csiD//glcF//appX//frdC//caiB//dcuB//nagA//argO//rnhB//
ModE-MoO42-_pos	uxaC//fabZ//glcG//araF//dppA//rrsC//paaK//puuE//betB//hyaF//gltV//metB//ptsH//gspC//rrsD//fdhF//lsrA//aroM//murQ//caiB//abgA//paaD//hybD//gspK//ubiA//tdcB//pyrC//hybE//chbA//tdh//entB//
NarL-Phosphorylated_neg	csgD//prpD//ydbD//hycD//metF//betI//sdhD//qseC//lacY//alkB//yjeV//yaiW//lsrC//alaV//bcsC//ulaD//artM//entE//purM//nuoI//rplD//lacY//hmp//uhpC//nupC//ulaC//iraD//ugpB//paaD//oppD//soxS//cheR//yegH//pdeF//cadC//rpsO//yfdV//spf//glcF//sxy//citG//acrD//lrp//gcvP//uhpC//cyoD//rrfA//uhpA//allE//napD//ychO//nanT//gltB//ccmH//phnH//rstA//hpt//ilvM//rrsD//iscS//ackA//purB//dnaA//rof//pagP//ivbL//rhaT//fabZ//glpR//ygiB//iscS//mhpC//nrfD//cydC//puuB//dcuD//srlA//melA//infC//qseB//lysO//glnG//purB//fadJ//cysA//dctA//
NarL-Phosphorylated_pos	gatC//hypA//ydiU//lamB//phnE_2//malX//uof//glnA//gcvT//purD//alkA//argH//gatZ//cusS//ugpC//fecI//purE//zraS//gdhA//aroG//glpT//glgB//astE//agaA//paaG//lsrB//rrfH//nlpD//trxA//hisJ//rpsP//ybdZ//ppiA//fhlA//cyoE//rrsA//soxR//sdhC//hyfH//cysD//deoD//cysP//glpR//motB//phnM//glcD//
NarP-Phosphorylated_neg	xapB//rrlH//nrdH//glgC//argF//hypD//cydA//tauD//alaA//cysW//codA//bacA//qseB//hyfR//cspE//yeiL//chbB//trpA//psd//ompT//yedX//fecE//alaA//nrfC//deoC//recF//frdC//phnM//rutF//phnL//hypC//ygiA//ydhY//
NarP-Phosphorylated_pos	dcuB//bamA//ccmH//hybF//mdtC//ydhU//fecD//aroP//uidA//infB//metQ//gntR//uidC//acrF//katG//spf//uof//fecE//trpR//yeiW//ispE//ydhW//glgS//lpxA//araA//appY//arcA//trpB//nadC//yqjH//pgaA//ilvL//
NhaR-Na+_pos	pheT//lacI//yaeQ//fixA//iscU//
NikR-Cd2+_neg	ykgM//entS//yciW//yiaJ//osmY//mdtB//
NikR-Co2+_neg	arcA//sxy//ygiA//bglB//pheS//ycjX//
NikR-Cu2+_neg	araC//ybiT//rpsO//aer//yaiW//treR//
NikR-Ni2+_neg	hpt//fadH//argP//acnB//yeiB//sodB//
NikR-Zn2+_neg	alaU//phoQ//dsdC//narH//ytfE//cynS//
NrdR-ATP_neg	nuoG//mdtD//astB//iscS//prpE//adiC//ccmB//chbG//glpG//
NrdR-Zn2+_neg	adhE//csgE//dnaA//rpsR//rnpB//speB//pagP//acnA//patZ//
NrdR-dATP_neg	ycdZ//ybdN//xylH//atoA//casC//aroM//pgk//ydiU//fecD//
NsrR-[2Fe-2S]reduced_neg	nuoG//ulaB//tpx//crl//rprA//uidB//fadH//yebE//rrfF//srlB//hdeB//fadI//rrsD//codB//yaeP//ihfA//acs//fimG//uxuA//tonB//hslJ//glpK//rmf//acrE//gabP//caiC//oppC//amtB//ydhY//cysG//iscU//metY//nlpD//uxuR//argG//nanS//fecD//nrfA//argI//yjiY//purN//ydeA//yaiA//narQ//gltA//katE//efeU_1//lsrA//ssuC//rnlB//hlyE//ilvX//cydC//rhaR//rrsH//ydhX//fes//yebE//mzrA//lhgO//tyrA//rpsQ//fadL//fecB//bcsB//xylF//treC//aceA//entE//tdcD//zraP//oxyR//evgA//
PhoB-Phosphorylated_neg	fepB//cusB//flhD//prs//glnA//ygaC//paaH//glnG//narQ//nrdG//nagC//argA//ispE//
PhoB-Phosphorylated_pos	envZ//hyfI//ydhV//fis//uxuB//norR//mglB//uidC//acrD//cysC//hycE//pgpC//hyfH//nrfG//ysgA//dapD//mcaS//yaiW//ccmE//dmsB//iraD//pgaA//speA//livH//argR//argE//moaD//hdeD//moaD//fecE//ilvH//glpX//pgaB//ada//uraA//hyaF//ygiC//livJ//pstB//mdtA//cusC//ascF//fdhF//fucK//tadA//glgB//dkgB//efeU_1//yhiD//aldB//katE//argI//cstA//
PhoP-Phosphorylated_neg	rplB//lpxD//pitA//nrdB//znuC//bamE//gltF//fadJ//gdhA//icd//artQ//
PhoP-Phosphorylated_pos	livK//oppD//mtr//amiB//tap//gutM//rrlE//fumA//ldtB//nuoL//puuP//cheR//ydbD//ybjG//fecI//hofC//cytR//nagB//bhsA//borD//phnG//ugpB//alaT//ilvB//yqjH//yeiP//nanK//rcnA//nuoM//ubiC//creD//artJ//dcuD//fis//proP//dcuS//mhpC//metF//frdA//nuoM//adhE//xdhA//araF//skp//dadX//uraA//oppF//marA//fucP//
PrpR-2-methylcitrate_neg	glrR//
PrpR-2-methylcitrate_pos	fdnG//paaG//pdeF//narH//
PurR-Guanine_neg	aldA//yfeW//narX//tdcF//icd//purL//rutE//mepH//mglC//purM//nrdD//yqjA//dctA//fhuE//bacA//glnA//yhjC//phoR//hlyE//betA//frdC//rpsF//xdhB//yfbR//glcC//envY//phoE//yjjZ//hofM//phnI//melA//paaZ//pstB//katE//
PurR-Hypoxanthine_neg	cusS//ppiD//rseA//ycjX//rbsR//modA//creC//cyoC//allD//glpE//hyfD//atoE//malP//idnT//fixX//prpE//xdhC//hybC//dppC//ybfN//acnA//hycD//phnM//fumC//uidB//ptsG//purE//malG//mgtL//psiE//fimI//nuoL//acs//nrdH//
QseB-Phosphorylated_pos	casE//upp//tolC//csgB//
RhaR-L-rhamnose_pos	lpxA//gpmA//
RhaS-L-rhamnose_pos	uxuB//grcA//yedX//
RstA-Phosphorylated_neg	phnJ//tonB//trpB//malI//pstB//
RstA-Phosphorylated_pos	ihfA//fecD//oppC//rhaA//lsrF//
SoxR-[2Fe-2S]3+ oxydized_neg	nirB//
SoxR-[2Fe-2S]3+ oxydized_pos	dcuS//bamA//rutE//
TorR-Phosphorylated_neg	phnK//
TorR-Phosphorylated_pos	cdd//appA//uhpT//napC//alaA//sohB//glnK//ulaC//ompX//
TrpR-Tryptophan_neg	cspE//fadH//ahpC//rnlB//marB//csgA//patZ//mhpR//bcsZ//pgaB//rpsC//dctA//
TyrR-L-tryptophan_neg	ssuB//yjiY//sbcC//lsrD//phoE//nrfF//iscU//cysM//nirD//folA//lpd//glcB//
TyrR-L-tryptophan_pos	tam//aer//phoR//
TyrR-Phenylalanine_neg	nanK//mhpA//actP//rybA//yeiW//tsaE//nrdA//ydhX//lhgO//acrF//ompT//crl//
TyrR-Phenylalanine_pos	gcvH//hyaD//glnD//
TyrR-Tyrosine_neg	yjcH//agaV//xdhA//metJ//argE//hfq//iscU//cynT//yiaJ//sdhC//argG//argP//
TyrR-Tyrosine_pos	mutL//trg//pgaA//
UhpA-Phosphorylated_pos	stpA//
XapR-xanthosine_pos	rrlG//entB//
XylR-Xylose_pos	yhjC//ydiU//pitA//frc//yeiP//rplM//
ZntR-Cd2+_pos	rhaB//
ZntR-Hg_pos	rrfE//
ZntR-Zn2+_pos	galT//
ZraR-Phosphorylated_pos	prfA//nrdE//ulaE//
Zur-Zn2+_neg	hybO//pitA//phnG//dctA//purA//nrdD//
