#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	fixB//stpA//
DpiA-Pasp_pos	rpsO//murQ//alkA//erpA//fecA//fhuF//iraM//galP//preA//garR//
DsdC-D-serine_neg	pncB//
DsdC-D-serine_pos	rpsI//metC//
EvgA-Phosphorylated_pos	purC//aroL//pgk//dnaA//rrlG//zraP//rseB//citE//rutD//aceB//csgB//nuoK//nagC//ydbD//hflC//
FNR-[4Fe-4S]2+ reduced_neg	phnK//ssb//rrlE//nrdE//katG//yhjC//ssb//citG//aroG//ilvL//cysD//evgA//rplW//rhaR//gltF//purN//ydbD//umpH//amn//pta//purC//phnF//codA//csgD//xdhC//ynfE//glpQ//hlyE//avtA//actP//gltW//betB//casA//nanK//mglC//micF//tadA//argF//narJ//livM//malG//fdnH//artM//carB//udp//nuoH//caiC//malS//garL//sdhA//folE//glgC//phnP//lsrD//waaH//murQ//entS//recF//astE//xylR//hyfH//purH//cysW//ydeO//acs//rdoA//narQ//phnL//tktB//tehB//astB//dctA//ulaC//uvrA//ychO//ccmE//moaE//sufD//mhpF//frc//betI//livM//ilvH//idnR//tdcG//nikE//rplV//fucP//crr//chbG//yedX//entS//lpxD//paaA//dmsC//envZ//napD//ptsH//xylR//puuE//bcsC//lacA//ppiD//metR//astD//dpiA//fdhF//ilvE//metL//hycD//trpR//ppiD//envY//lpxD//ompX//nuoL//araJ//fimA//gspG//rrsD//
FNR-[4Fe-4S]2+ reduced_pos	znuC//soxS//tauD//glpC//mntS//yciW//hflK//tadA//fliZ//phnP//ugpC//qseB//phoE//gatY//idnD//napH//nikE//fadL//entC//ybiT//betB//pstB//hycG//infC//ispE//moaA//mntS//nuoG//nrfC//allD//yjeV//serA//tam//dcuC//abgA//citE//gabD//trpL//phoQ//iscU//aldB//acrD//phnJ//yjcH//hyfA//fucR//hupA//yjeF//priB//frdB//aroA//eda//ssrS//crp//trpE//ybiT//bioC//acnB//purA//nagA//polA//purA//rof//glnG//yaiW//alaT//hybB//hisQ//garL//tsaE//caiB//ilvG_1//marB//fimH//lsrR//nanT//fau//cyoE//hypF//pstS//gatY//pgaD//yneM//rutD//modA//nanT//feoB//xylA//hypB//galP//agaA//cyaA//torA//acrE//nrdG//citG//fhuF//emrK//phoH//hypE//bcsC//fdnI//hybO//yqjI//oppD//uidA//pdeF//trpB//sufD//yjeF//atoE//purH//micF//uxaC//idnD//yjeV//ilvX//fur//hofC//phoB//hypF//udp//atoA//yeiL//deoA//sbcC//ccmD//galP//paaK//fumA//crp//ssuB//fdnG//ydhT//cysD//ssrS//yfdE//xapB//gltW//rutD//ulaE//paaH//lpxD//malS//casE//cyoA//nupG//ubiG//ynfK//gatZ//galP//gltW//ppiA//gntT//trpD//ccmE//ldtB//narQ//alaS//alaS//aldB//cusR//yciW//gltD//gspE//paaJ//malK//nuoK//gspF//ulaF//cyoC//dcuA//ydhT//phnI//rpsI//ygiC//lpxB//borD//mhpB//atoB//paaG//osmC//hofP//casB//comR//rbsA//hyaE//nuoF//preT//srlD//atoE//srlD//ldtB//pgaD//sdhC//azuC//hyfF//ulaC//glnB//ascF//yeaD//gatC//
FhlA-Formate_pos	ilvY//garL//rpsI//tdcC//sroD//psiE//cynS//nrdB//ccmE//ygiB//secB//ppiA//gspF//bcsB//amn//lsrC//paaE//ompX//hcp//yqjI//caiE//pgaC//lhgO//yeaR//ogt//cysG//ssuD//bioB//nuoH//pncB//
FucR-L-fuculose-1-phosphate_pos	rpsP//nikC//efeU_2//ccmC//cusC//nanK//nrdA//
Fur-Fe2+_neg	malQ//lacZ//folA//hslJ//nirC//ccmE//caiB//rbsC//appY//narL//metK//truB//yoaC//fepA//cysJ//glcG//dapD//rbsB//fimC//chiP//aceA//fliA//rpoS//gatC//citD//nuoF//sdhD//thrV//hflK//mglA//fimA//uidB//zwf//alaV//glgX//mntP//hyfF//ugpE//ccmA//ydeM//fabZ//aroF//oppD//mlc//argR//ftnA//xdhC//glcE//phnC//yidQ//pgaD//ubiX//micF//ygiB//glpC//xapB//rbsC//gatC//rseC//appA//cysU//pitB//livG//dmsA//narH//csiD//rhaD//aspC//cydA//acs//oppC//pagP//sufB//fecR//cyoE//ldtB//mgrR//ilvE//nrfG//amn//abgT//ytfE//fdnH//astB//edd//fepE//ychH//uhpB//betB//fliZ//hflD//cpxA//caiA//glgC//hycC//cynX//casB//phnI//malY//fdhF//dkgB//lysU//manA//argE//gatB//speC//hycG//truB//rseA//folE//nikE//sufB//rybB//rpsR//oppB//ygeH//fecA//cynS//aceF//glnL//paaZ//sbcD//malS//hupA//
Fur-Fe2+_pos	hyaF//rrlC//sodA//rrlH//caiA//ccmB//argE//edd//torD//phnP//yeiL//yhjA//betT//priB//glpA//nrdB//purC//cyoB//astD//lsrG//purF//citC//soxR//caiF//cadB//
Fur-Mn2+_neg	sucD//hyaB//ycjF//aaeB//citF//hyaC//prpD//pagP//nrfB//hyfE//prpD//polA//uxuA//cysU//hyaC//idnT//moeA//fhuB//caiE//guaB//exuT//lldD//hyfE//gatZ//ugpA//dapD//cysH//yidQ//rrsB//cysG//tdcC//cyoB//rdoA//dmsD//pitA//cysB//yjiY//aroL//fdhF//phnO//aaeB//paaI//fadB//bioA//metR//atoE//ycjX//ulaB//metN//tdcE//ihfA//motA//sxy//sdhC//gutM//copA//qseB//ydeP//sodB//ldtC//gntR//edd//focB//hyfF//caiT//nrdE//fucR//csgF//rhaA//metC//ubiG//hycG//rseC//znuB//rseC//torC//ulaA//tdcD//cstA//rimP//fdnI//patZ//fdnI//iscU//crr//trg//lacA//ccmF//bamE//nuoL//fadD//truB//rseC//nikB//ompC//rhaD//fhlA//napH//waaH//ompC//sbcC//yhjC//sodB//mhpT//zraS//pheS//aldB//norR//hycG//nrdD//pyrD//oppC//rhaD//fnr//ydeM//appX//pgaA//codA//astA//fumB//ompA//cas1//hybE//cusF//
Fur-Mn2+_pos	ompT//casC//pstS//bioC//garL//chbC//lsrA//moeB//nirC//nirD//ogt//argG//rplP//alaA//pheT//bcsZ//envY//cynT//marB//hyfD//yegZ//purC//livF//fimE//bioC//
GlcC-Acetate_neg	tdcD//
GlcC-Acetate_pos	yhfA//cheY//pitB//caiD//norV//znuB//
GlcC-Glycolate_neg	nikD//
GlcC-Glycolate_pos	emrK//fecR//phnN//galE//paaK//ydeA//
GlrR-Pasp56_pos	chbB//
IclR-pyruvate_neg	ybdN//fecC//yqjA//citG//
IdnR-5-ketogluconate_neg	idnT//artQ//rrfD//
IdnR-5-ketogluconate_pos	ygiB//nagB//fadJ//tdcC//lrp//
IdnR-Idonate_neg	cynR//cyoD//ybfN//
IdnR-Idonate_pos	yeiW//phnP//baeR//cirA//malK//
IlvY-2-acetolactate_neg	narI//
IlvY-2-acetolactate_pos	cheY//
IlvY-Alfa-acetohydroxybutirate_neg	mcaS//
IlvY-Alfa-acetohydroxybutirate_pos	rpoS//
IscR-[2Fe-2S]1+_neg	tadA//dppD//artI//rutA//aceE//uxaB//cysN//hycF//ulaD//puuC//psiE//yjeF//rpsC//psiE//nikC//phnJ//hofM//osmY//sufD//acrF//fiu//creD//rhaB//lrp//mdtD//nuoA//infB//uxaB//nikR//glpK//
IscR-[2Fe-2S]1+_pos	chbG//moaB//artI//ahpC//phnN//sucA//fimH//glpR//carB//ydhV//gadB//
LldR-L-lactate_neg	creD//cadB//rseA//
LldR-L-lactate_pos	ilvE//tnaC//appC//
Lrp-Leucine_neg	gspG//efeU_2//hyfR//efeU_1//xylG//hycH//sodA//tam//fepG//arfB//ebgC//hyfJ//iscS//rbsR//gspM//pitB//malP//ompC//yjiY//epd//emrY//bioD//speA//ilvM//ccmG//hycB//malX//rhaA//aroM//argE//glgS//paaH//frdB//astE//hycD//gspL//phnP//argB//hyaD//araD//rplT//nrdA//ilvH//lysC//ryhB//nikC//hupB//bcsA//phnE_2//cusF//rrlG//galK//aceK//flhC//yfiP//zinT//grcA//hofO//tfaQ//lrp//ogt//fnrS//ychH//hycF//malI//frc//adiC//napH//nrfF//fepA//ptsG//cstA//fhlA//stpA//caiE//
Lrp-Leucine_pos	speA//focA//ssuD//ybiT//ssuC//artI//fixA//osmC//ubiX//xylA//sbcD//aroA//gntK//dusB//rplC//ychO//gltU//codB//tauD//ldtC//nikD//purF//ydfH//ynfK//aceF//sbmA//astD//ompF//treB//thrS//aroG//idnK//iscS//cadB//agp//
LsrR_neg	emrK//cysB//aroM//gltD//manY//ssrS//fdnG//gspO//flhC//
MalT-ADP-Maltotriose_pos	bhsA//nuoG//actP//azuC//araD//udp//metI//ilvE//fumA//lhgO//
MalT-Maltotriose-ATP_pos	gspL//fhlA//yecR//mhpF//fixA//yfaE//fldA//frdD//ssuD//artM//
MelR-Melibiose_neg	ccmE//fucO//aroG//
MelR-Melibiose_pos	feaB//rrfB//crr//
MetJ-S-adenosylmethionine_neg	astB//yggX//argC//hyfG//nikA//rrlC//spy//manA//allD//ygiC//fixX//gutM//degP//fliA//cysG//
MetR-L-homocysteine_neg	tap//mtlD//
MetR-L-homocysteine_pos	ybdN//nirC//paaF//mhpT//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	acrB//cyoC//exuT//aaeA//trpB//hfq//
MhpR-3HPP_pos	abgA//mpl//metQ//gyrA//rrsG//abgT//
MntR-Cd2+_neg	cynS//dapD//ilvC//gltD//
MntR-Cd2+_pos	puuE//
ModE-MoO42-_neg	ydeM//sdhB//ccmC//nagA//fliA//ybfN//yoaG//nrdI//rpsF//hpt//iraD//ybiT//sohB//yegR//sohB//
ModE-MoO42-_pos	fucP//ydhV//cysK//ileT//rhaR//crr//rhaB//sdhD//yeiW//glnD//yeiB//fnrS//motA//puuR//rrsH//cysB//hybA//bioC//dpiA//yidQ//rhaA//nanA//hyaA//soxS//manY//ychO//glpT//hypA//hisQ//ompW//katG//
NarL-Phosphorylated_neg	nfuA//hemL//garL//livK//lolB//fhuB//bglG//paaG//purF//amtB//dadX//glgP//mtlR//yhhY//efeU_2//cydA//spf//focB//dcuD//sufD//lpxA//paaF//crr//psiE//caiB//csgB//argI//qseC//rpsI//garK//mgrR//cysB//ptsI//rpsO//mepH//sucB//moaC//paaE//hyfC//nikB//artI//tsgA//cysA//nrfF//ugpB//phoB//feaB//aaeR//nuoK//hyfC//sdhD//rplB//phnD//dnaE//phnE_2//flhC//hycA//treR//aspC//yiaJ//ppiD//moaB//yhfA//cytR//katG//galP//paaG//rpoH//cynT//ybdN//yoaC//trpL//malP//guaB//iclR//citF//cas1//fhuD//glcE//pgaA//cirA//dsdX//xapA//hofC//pitB//purF//
NarL-Phosphorylated_pos	paaZ//gyrA//ccmC//cyaR//lacZ//ccmB//rbfA//rbsK//rprA//rpoE//ygiA//oxc//uxuB//dadA//aroA//lldD//ydhU//sdhC//nrfG//glnG//dppD//torR//malI//yegZ//ssuE//ilvE//artQ//nanT//phnM//iscA//nrfA//rrfF//ycjF//nanC//hisP//puuC//cydD//nagE//nrfE//rhaD//araG//ydeP//gspG//fucK//xdhC//rutB//
NarP-Phosphorylated_neg	gatB//rrsH//mtr//rseB//gcvH//hybD//gltB//hofO//hycB//purA//cas2//paaC//ahpC//ilvC//yqaE//pgaA//purM//gspL//melA//uxaB//nac//zraR//puuA//narH//oppF//entH//glpC//deoD//cas1//yqjH//malF//gntU//gcd//
NarP-Phosphorylated_pos	cusF//adiC//ycdZ//aroL//cysH//tdh//sdhA//phnO//nrdE//mhpT//yoaG//cydD//dnaN//chbG//hofC//ydeP//yneM//srlB//rhaS//nupG//hupA//nuoH//amtB//aldA//gspH//baeR//bioC//pgaD//lsrC//paaA//grcA//sxy//
NhaR-Na+_pos	yaeQ//fimF//srlR//phnG//fimG//
NikR-Cd2+_neg	rrlE//napF//speC//manY//ilvM//fumA//
NikR-Co2+_neg	rrfF//nanK//bcsC//ilvN//rcnB//gltF//
NikR-Cu2+_neg	ulaE//rutG//cusR//yojI//cysW//trpD//
NikR-Ni2+_neg	fhuB//mglC//lysC//fldA//mlc//allC//
NikR-Zn2+_neg	rmf//slt//torC//nikR//rplB//appB//
NrdR-ATP_neg	dkgB//fepC//ybdN//narI//feoC//nrdA//gspI//zwf//aceA//
NrdR-Zn2+_neg	alkB//feaR//dsdX//metK//hofM//ackA//csgB//oppB//manA//
NrdR-dATP_neg	cyaA//nikD//cysH//fbaA//rnhB//entH//iscU//gspL//rrsH//
NsrR-[2Fe-2S]reduced_neg	phnO//lysU//rrlE//icd//rnhB//ilvB//gspL//mglC//rrfD//nikA//xdhA//hypE//yeaR//iscA//metK//csgE//nrdD//nuoB//oppA//rplM//trxA//efeU_2//rimP//fimG//ilvC//mgrB//uvrA//chbA//fliA//cynR//hofN//ynfE//araF//ygaC//treR//fhuE//hemA//hycA//evgS//tam//truB//speA//treC//caiA//glnB//rdoA//grcA//fdnG//yeaD//tdcB//aroM//trg//arcA//codA//hofC//rrsB//gltF//betT//betB//gntP//mipA//nuoA//bglB//sucD//argT//nagA//frdA//phoU//ilvC//aidB//cheB//araG//bacA//
PhoB-Phosphorylated_neg	ebgC//leuE//hybO//glpF//csgA//cysC//nrdG//mdtA//ptsH//glgB//zraR//ptsG//citF//
PhoB-Phosphorylated_pos	mhpC//fimC//dppD//rplT//ung//mdtA//prpB//narH//xapA//ybdN//hlyE//mhpR//hlyE//purL//nac//bglG//mhpB//hybD//pheT//avtA//srlR//mgtA//hybE//emrK//malK//yoaG//marB//rpoE//dppF//atoD//malQ//gntR//ssb//citG//fhuD//rybA//purR//glnL//lpxB//lldP//araE//gltF//lsrA//yhjA//entB//gnd//rcnB//nuoG//ccmH//rpmC//betA//purC//purF//
PhoP-Phosphorylated_neg	trpE//ftnA//malF//puuB//betI//aroG//entS//rcnB//yhfA//araC//nrfC//
PhoP-Phosphorylated_pos	garL//rhaR//phnL//ubiX//tyrP//lsrR//ssuD//lsrD//ulaD//yaeP//zraR//purL//mtlR//gapA//malX//mipA//pyrC//yeaE//sohB//rutE//paaZ//hslJ//frdD//nuoL//dcuB//trg//lysC//lysU//fimI//ygaC//acnB//srlE//nlpE//hybO//fepB//aaeA//dapD//cadB//cheA//phoU//fepB//mlc//grpE//dcuR//fhuC//cadC//rhaA//zraS//fucO//
PrpR-2-methylcitrate_neg	motA//
PrpR-2-methylcitrate_pos	ileT//casE//ascB//glgX//
PurR-Guanine_neg	mglA//chbF//glnK//speB//fumA//napA//cas2//malM//lpxB//rrsB//rpsJ//srlA//hypF//citD//rseB//gntP//upp//fdhF//aceB//gcvT//metA//phnO//xylB//hisQ//mlc//aceE//copA//cysM//malM//nlpD//znuA//phoQ//erpA//napD//
PurR-Hypoxanthine_neg	gabD//rstB//argC//nuoH//ccmE//cas1//rpsC//chiP//iraD//hybF//iraM//gspE//nlpD//lsrR//infB//uhpT//fhuA//nrfG//narG//uidB//sufC//rdoA//srlA//rpmI//agaW//csgG//norR//tonB//nrfA//fur//dctA//gspF//qseB//lsrB//
QseB-Phosphorylated_pos	fecA//envZ//abgA//alkA//
RhaR-L-rhamnose_pos	rbsB//yedX//
RhaS-L-rhamnose_pos	ycdZ//ychO//acnA//
RstA-Phosphorylated_neg	fixX//yjcH//mscM//lacA//trpL//
RstA-Phosphorylated_pos	gltW//rutC//entE//amn//feoC//
SoxR-[2Fe-2S]3+ oxydized_neg	ilvY//
SoxR-[2Fe-2S]3+ oxydized_pos	betI//trpB//glgS//
TorR-Phosphorylated_neg	bioF//
TorR-Phosphorylated_pos	fadJ//dpiB//exuT//glcE//fucA//hofC//ychH//codB//trpB//
TrpR-Tryptophan_neg	rplP//phoQ//glnA//araF//ftnA//fucO//napB//hyaB//glcE//purH//trpE//citD//
TyrR-L-tryptophan_neg	qseB//ssuE//tnaB//yjeF//xapB//ascB//yedX//argP//alaU//patZ//cydC//casD//
TyrR-L-tryptophan_pos	paaI//dpiA//citF//
TyrR-Phenylalanine_neg	gltA//xylG//frdD//miaA//yaiW//napD//argF//ydeP//trpA//soxR//ygaC//oxc//
TyrR-Phenylalanine_pos	citX//rutC//ompW//
TyrR-Tyrosine_neg	ogt//hisM//creA//yjeF//lpxD//pgaC//ccmE//fepD//gpmA//spf//gutQ//phnI//
TyrR-Tyrosine_pos	ahpC//glnL//fimE//
UhpA-Phosphorylated_pos	nac//
XapR-xanthosine_pos	znuC//aceE//
XylR-Xylose_pos	pitB//betI//yaiA//gutM//tauB//atoA//
ZntR-Cd2+_pos	bcsB//
ZntR-Hg_pos	thrS//
ZntR-Zn2+_pos	alaV//
ZraR-Phosphorylated_pos	gltU//rrsG//appA//
Zur-Zn2+_neg	crp//glgA//fadJ//cheZ//envZ//garK//
