#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	ivbL//arcZ//
CRP-cAMP_neg	nikR//glcB//hyfI//paaI//fimI//deoC//fucP//ilvA//ugpC//evgS//csgE//srlR//rrlG//caiB//phnE_1//emrY//tdh//ygaC//fnr//erpA//rrfD//caiE//znuC//gcvT//gntP//acrA//tfaQ//caiE//artI//ydfN//speA//acnB//mltC//garK//dsbA//yccA//dsdC//carB//ssrS//preA//aspA//crr//trpR//ccmE//degP//csgD//sxy//hycA//xapB//csgG//appX//rrfF//ispE//hyfH//artQ//ilvX//aroG//dapB//artJ//tauB//gpsA//hflK//dppD//zraS//rhaD//yneM//iraD//metF//yjeV//gntP//acnA//rutD//xylA//rpmI//cysA//garR//lldR//fabZ//gatD//ilvY//evgA//cyoB//ampD//cysH//rplI//dppF//artP//ccmA//agaW//nfuA//ysgA//yfaE//exbB//uhpA//rrlA//hycG//malZ//iraD//ynfG//feaR//rrsA//tauA//yjjZ//nanE//chiP//glyA//allD//ryhB//prpR//hycB//citX//lysP//tktB//tnaC//hybE//amiB//ydeJ//paaD//paaC//glnG//ilvG_1//gabT//cynS//rplP//allC//aceK//nuoJ//efeU_2//yhcH//narX//hycC//cynT//hycE//
CRP-cAMP_pos	ygiA//cynS//yjcH//aidB//rstB//hemL//ccmA//gntR//yhjC//yoaC//astA//treB//iraD//rpsJ//ygiC//metQ//gcvH//glcC//dps//hycH//hypA//glpX//mgrR//ivbL//araC//glcF//ydhX//abgB//pstA//mtr//acnA//phoA//rpsI//entC//prfA//nrfC//cynS//hdeB//iscS//rpsJ//xylG//ada//araF//pgaA//cusF//fhlA//feaB//tsgA//ahpC//rbsB//ilvX//gspK//glpT//srlR//ileV//degP//focA//srlE//fumC//nagC//casD//xylB//rpsI//ilvL//nirC//hisJ//sucD//zwf//arcZ//hemA//ldtC//pheS//purH//dadX//ydeA//cadB//malT//atoA//paaB//ynfG//sdaA//hfq//glpR//gutM//rrsA//efeU_2//nfuA//galK//modA//acrA//hemL//hemL//hofC//yhcH//rpsO//glpC//ychH//astD//tktB//agp//lysP//casB//lpxA//hypE//hybE//tap//pck//iscR//cysW//yjeF//araC//fhuE//preT//nrfA//entS//csiE//betA//prpB//glnD//csgA//metN//hypE//gltW//csiE//ybdZ//cvpA//ppiD//folE//purK//ytfE//zwf//acrD//zwf//pitB//ubiX//dppD//argF//betA//yhiD//nuoA//thrV//hyfF//fadL//melA//purR//tcyJ//lamB//xdhB//fhuF//paaK//hybE//prpB//galT//leuE//cyoA//marR//fdnG//puuA//citF//norV//nuoE//phoH//prpD//hydN//recF//marB//gspC//copA//tktB//tyrB//nupC//fucA//iclR//lsrC//gltT//gpsA//borD//ilvM//ccmC//aroG//oppA//argG//pgk//gatC//cheR//artJ//alkB//hyfB//abgT//aroG//rhaR//glpF//ssuA//agaW//xdhA//cpxA//glnD//ilvL//purF//phnF//sohB//xylF//envZ//rhaB//tktB//gltT//alaA//mhpC//sxy//polA//sucC//ydhW//paaE//alaS//bdcA//ompX//metK//hycG//nlpD//astE//entS//hybA//prpE//atoE//aspC//avtA//fimI//ulaE//oppD//cusB//bioC//yjjZ//yccA//rpoE//glgC//glpT//rimM//alkA//lsrK//bglB//fimI//priB//napF//dnaN//hemA//borD//hha//pheM//fhuB//yccA//rutD//sodA//ydiU//fixA//dmsC//hycH//tsr//xylA//rbsK//cheW//mglA//metE//caiA//caiE//glpT//ydfH//rrfF//mlc//trpL//bioB//asr//tsgA//rrlD//aroA//rrfC//ydeP//aroL//lsrB//appA//tauB//aceA//zraS//yccA//tdcD//lldP//csgB//entF//rnlB//iraD//creC//pyrC//ydhW//ygaC//dppB//sucC//citX//nanS//hybG//hupA//crl//ompC//glpD//argR//amtB//yojI//flhC//malX//cusS//nrdD//ubiG//rutC//norR//sufD//rrlH//nuoB//manY//rrsA//rpsJ//csgE//sucB//metE//ydeM//fdnH//mtlD//cpdB//cyaA//yegR//torC//nanA//rrlC//nrfG//cpxA//hyfD//gabD//raiA//rpsP//tomB//sdhD//metA//glgA//lysC//rhaT//puuC//lldD//gutQ//gntR//hlyE//srlD//sbmC//citE//modB//glnD//hyfR//rrsE//bioF//rbsD//frc//glnB//crr//acnA//yeaD//norW//xylR//prpB//lsrK//zraS//gcvP//hyfR//tadA//rnlA//cynX//tar//bcsC//fadH//manY//cvpA//murQ//envZ//lacI//ilvE//rrsA//malK//phnN//lamB//gatB//dmsA//uhpA//fdnI//ychH//narH//hslJ//fecA//ydhU//fimF//csgB//paaB//gnd//atoB//glnK//gatC//zinT//gntR//paaI//mepH//rrsB//csgC//ynfG//hyfJ//rrfF//rplW//agaW//ychO//entE//araA//appB//trmD//gcd//psiE//dgcZ//gcvH//norV//fecC//fadL//caiD//glpB//moaB//argG//treC//livG//
ChbR-Monoacetylchitobiose-6P_neg	rrsC//sbmC//ilvL//ytfE//napF//yoaC//
ChbR-Monoacetylchitobiose-6P_pos	purC//nrdG//alkA//aroG//csgC//malI//
CpxR-Phosphorylated_neg	fepD//dmsD//pstS//creD//mzrA//nohA//yhfA//glgX//ulaF//yedX//chiP//creC//ryhB//nanS//paaG//narI//argR//ychO//yjcH//ydfH//hybF//fau//csgC//fucK//
CpxR-Phosphorylated_pos	bcsZ//fixC//rrsB//phnN//ompC//narH//lsrA//iscS//citF//appC//hmp//gatD//trg//ilvE//grpE//soxR//xylH//tyrA//rpsS//malM//creB//rimM//purN//ahpF//lpxD//pstA//ptsI//csgG//allD//cheA//purK//gspG//murQ//glpK//gltT//glpE//hyfG//nagC//nupG//dmsB//alaA//argD//nuoE//borD//citF//
CreB-Phosphorylated_neg	entF//ygiC//ydfH//
CreB-Phosphorylated_pos	tyrA//tfaQ//gyrA//galT//gspG//prmC//
CueR-Ag_neg	mhpE//ung//stpA//hdeD//cynT//
CueR-Ag_pos	bglG//phnE_2//
CueR-Cu+_neg	yjeV//caiB//cpxA//ynfF//metC//
CueR-Cu+_pos	yneM//micF//
CuerR-Au_neg	thrV//rplP//cyoB//srlB//mhpR//
CuerR-Au_pos	gspI//cas2//
CusR-Pasp_pos	csgD//manA//ynfF//dnaA//psd//fadI//malZ//aceB//fadA//gltT//feaR//iscA//
CynR-Cyanate_neg	ppiA//
CynR-Cyanate_pos	fepC//nikD//chbC//
CysB-N-acetyl-L-serine_neg	speB//tsgA//grxD//hycB//argG//mgrR//dppF//
CysB-N-acetyl-L-serine_pos	acnA//aroA//ilvN//yhjC//deoD//fixX//marA//phoB//tsr//guaA//zntA//gapA//tam//ihfA//cysW//ydeJ//fepG//frc//sdhC//acrA//glcG//cysU//purC//
CysB-O-acetyl-L-serine_neg	nirB//nuoK//hypD//sbcC//nrdH//hypF//ileU//
CysB-O-acetyl-L-serine_pos	fdhF//metE//folE//cyoD//fiu//dmsA//treC//argP//hemL//hisJ//baeR//cas2//acnA//znuB//gutM//fumA//prpC//garL//malM//narQ//tehA//rbsR//fecI//fadB//
DcuR-Phosphorylated_pos	nrfE//argR//psd//mtlD//rutE//uof//gspE//adiC//abgA//
DnaA-ATP_neg	nfuA//znuA//codA//yeiW//ompC//rrfB//glcF//cynT//xdhB//tap//paaK//
DnaA-ATP_pos	yecR//rnlA//fhlA//tcyJ//ccmA//fucP//glgA//
DpiA-Pasp_neg	fucP//
DpiA-Pasp_pos	rrsA//nanC//alaS//glyA//dsbA//yjeF//tnaC//gadC//norW//map//
DsdC-D-serine_neg	ssuD//
DsdC-D-serine_pos	gapA//cysI//
EvgA-Phosphorylated_pos	yiaJ//atoD//hyaB//mcaS//uxuB//citC//metL//ompR//ugpA//aroP//ndh//cadA//glpQ//dcuC//rrlA//
FNR-[4Fe-4S]2+ reduced_neg	avtA//yhcH//pdhR//glcD//yegZ//gntK//bhsA//carB//metY//norV//hyfR//mzrA//gyrA//malE//hslJ//dcuB//acnA//osmC//hycE//dcuD//phoH//bglB//puuA//lsrF//ileV//ogt//aaeX//rrsH//cvpA//rhaB//murP//fecI//feaB//purM//trpL//frdD//dsdC//ydhV//fadJ//srlE//lacZ//rplC//lysU//fur//acnB//artM//fhuB//mhpR//ydfN//soxS//metL//ynfK//skp//xdhA//puuB//tdcB//sbcC//srlE//murP//focA//malZ//glgX//lpd//hupB//aceE//ryhB//fepB//sodA//ydiU//aaeR//rbsA//caiF//nrdE//moaD//lldR//ulaC//lolB//ssrS//ykgM//slyB//ilvH//hdeB//appA//glpB//purD//hybB//mgrB//amiB//argC//pgpC//hyfA//pyrD//kbaZ//hofP//bioA//hyaC//norR//sucC//gspD//rstA//lysP//cheW//hofC//glnG//caiE//prpE//cheA//ccmD//sodB//rrsA//waaH//ycjX//fepA//ydhY//srlR//paaD//sufE//rutF//rhaA//acrF//
FNR-[4Fe-4S]2+ reduced_pos	metY//trpA//rhaT//dcuR//glpA//emrY//ssuD//tdcB//cheB//livG//gdhA//citX//ccmB//glcE//rrlG//purL//caiB//rnlA//tdcE//fecC//citF//cusR//gntT//kbl//tdcA//fdnG//bcsC//ybdN//phnL//hflD//nagA//trxA//fucA//norW//xylF//dsdC//cysD//tdcC//trpB//entF//tsaE//mdtA//puuR//uhpC//tyrR//metC//galK//cyoD//glpG//mglB//gapA//fimI//citD//rrlC//cheR//metQ//garK//purL//rplB//moaE//nagB//rrfH//murP//ssuD//glnG//sucB//nikR//narQ//cysJ//ygaC//narJ//mdtA//speC//ugpQ//cadA//modB//rnlA//nagC//csiE//garP//ygaC//ubiA//argA//ppiA//nrdE//malM//cspE//safA//nikB//phnN//fecR//fimC//napA//argE//ahpC//sufD//lpd//gyrA//tap//paaA//hycB//dps//ompX//caiE//dmsD//qseB//glpT//aer//ulaB//ycjX//yaeP//feoB//sbcD//araA//cysC//ccmC//tyrP//sucD//yeaR//fecI//xylG//lsrA//ebgA//csgF//galM//rbsB//talA//dsdA//argA//speA//gntX//aroF//hisP//iscU//lsrF//rplM//yggX//cdd//ygbA//citG//pgaC//acs//mpl//emrY//rplB//phnH//alaT//rpsP//appC//rhaD//creB//dapB//gnd//acnA//rpoE//ydhV//dppB//malX//dapD//zraP//gcvP//xylA//nadC//bglF//xdhC//preT//ygiC//iraD//lldD//bioD//fimE//paaB//xapA//rutC//oppD//ccmB//hflX//gapA//chbR//tsx//rnhB//chbF//znuA//gltV//deoC//speC//uxaC//moaB//dkgB//polA//malF//hycB//ydeA//betT//moaE//oppA//cusS//ssuE//fixB//cheZ//agaW//ccmH//
FhlA-Formate_pos	glpF//moaD//uxaC//dppC//tauC//lldP//malG//gspL//cysM//alaA//fbaA//nrdA//tauD//iraM//trxA//betB//fhlA//yneM//yojI//arcZ//exuT//hflC//rybA//ykgM//rnlB//ascB//fadD//cysU//moeA//ompF//
FucR-L-fuculose-1-phosphate_pos	rrlA//ychO//cirA//rimP//gltB//rrfF//ilvA//
Fur-Fe2+_neg	rhaT//mhpT//idnD//tomB//phnI//qseC//spf//entC//caiC//frdB//livJ//ybiT//folE//cysI//tdcG//nuoH//yhiD//bamA//mcaS//cysJ//micF//fucO//gntK//fhuC//tomB//uxuB//cdd//rrlB//osmC//fumB//hflC//bcsZ//pepT//uvrA//rbfA//livF//rbsB//yhcH//puuA//ykgM//yeaE//ptsH//nusA//tam//tauC//mzrA//gcvT//hyfG//oxyR//chbG//lsrR//yhjA//rrfC//gntP//srlE//hybE//bioF//acnA//oxc//ygiA//borD//hofB//uidA//hemL//argI//napD//cheY//ybdZ//cas2//arcZ//argO//dcuB//puuP//napF//pstS//comR//uhpT//avtA//ulaF//gcvH//mltC//rseA//rpmI//nrdD//gpmA//rmf//tonB//xylB//lldR//prs//oxyR//ptsI//raiA//pheM//putP//ssrS//nrdG//fumC//phoR//glcA//cheY//mntH//rplP//lsrA//livG//garR//melR//yhjC//ilvG_2//glpD//rimP//mgrB//fixC//xylA//nikC//ansB//deoA//ilvN//glcF//hofC//xapB//hemA//prpC//znuA//
Fur-Fe2+_pos	aidB//acs//sufD//glmY//flhC//srlR//speB//appC//pncB//ryhB//ssuE//paaZ//lsrA//rbsB//crp//cpdB//yaeQ//rpsI//actP//napA//phnK//hofO//araG//ydhY//envY//
Fur-Mn2+_neg	bioF//lysC//artP//rrfF//phoU//astB//mgrR//fhuA//gatD//fumA//nuoF//icd//tehA//manA//hdeB//ydhU//fecI//cas2//grcA//phnE_2//hyfR//trpC//argO//rplP//chbF//gcd//cspD//appB//narQ//gltA//rnpB//pta//uidA//cueO//flhC//norW//fadA//psiF//cadA//fadJ//frdB//rybB//chbC//ytfE//nuoM//ubiG//dadA//sbmC//nrdI//bglB//amtB//rrfH//rrlC//nagC//nikC//ygiC//avtA//cysJ//proP//puuD//sodB//araA//ilvC//rrfD//guaB//lolB//ilvX//fimD//modC//fixA//rhaB//phnM//nlpD//rhaS//ygeA//ldtC//glcA//baeR//ilvG_1//cysA//yeiW//paaF//hlyE//malS//tehA//mhpA//sdaA//rprA//rhaB//ebgC//bioF//phoA//lpd//lpxD//prpC//folA//mhpT//ptsH//hlyE//narK//rutF//hofP//feoB//phnG//tfaQ//mdh//yeaD//glnA//yibN//qseB//trpE//aaeA//prfA//norW//fepB//hlyE//fucP//nrdI//glgX//rbsR//fhuD//nagE//mhpR//serA//
Fur-Mn2+_pos	purF//hdeA//garL//yhiD//purH//ycjF//nlpD//metH//glpT//hyfF//gatC//fepC//lsrK//rrlB//nikB//iraD//dppF//erpA//cyaA//cynR//fucR//hyfF//mdtB//entA//glyA//
GlcC-Acetate_neg	grxD//
GlcC-Acetate_pos	acrA//trpR//gntT//amiB//rpsP//ynfK//
GlcC-Glycolate_neg	hisM//
GlcC-Glycolate_pos	sroD//cheY//rimP//uxaC//rrfC//nirD//
GlrR-Pasp56_pos	cysH//
IclR-pyruvate_neg	rbsB//ascB//fdhF//glnG//
IdnR-5-ketogluconate_neg	sroD//gadB//metF//
IdnR-5-ketogluconate_pos	uhpB//torR//rpsF//malM//srlR//
IdnR-Idonate_neg	entC//ampE//glpB//
IdnR-Idonate_pos	ydhV//carA//glpA//lsrC//cspE//
IlvY-2-acetolactate_neg	dpiB//
IlvY-2-acetolactate_pos	yfiP//
IlvY-Alfa-acetohydroxybutirate_neg	ada//
IlvY-Alfa-acetohydroxybutirate_pos	gpmA//
IscR-[2Fe-2S]1+_neg	carB//lldD//tdcA//paaH//ccmE//trg//purM//serC//cysG//lldP//rrlG//pdeF//hypB//zinT//ytfE//oppD//katG//araE//nikD//tcyJ//nagA//caiE//arcZ//norV//araA//araG//cytR//xylB//znuC//nuoL//
IscR-[2Fe-2S]1+_pos	rrsC//yoaG//mglA//ccmC//deoC//agaA//fadB//cusA//xylA//icd//argC//
LldR-L-lactate_neg	entS//hupB//rutB//
LldR-L-lactate_pos	acrF//puuE//gntU//
Lrp-Leucine_neg	xdhC//ilvG_2//cusS//nikC//moaD//gutQ//entS//safA//exbD//hyfA//hyfI//cpxA//gspJ//xapA//narH//moaB//malS//ssb//mzrA//hfq//phnH//hflX//ykgM//nuoN//lsrB//phnG//fucP//ssuB//xdhA//yhcH//lpd//caiD//sodB//nuoE//ompX//fecE//psiF//narG//gltB//pagP//rplT//metY//ssuD//uhpB//srlD//abgT//malM//fixC//ompR//hyfE//sucA//mhpA//gcvP//fucP//metK//srlE//sodA//zinT//hflC//ubiX//aroF//rbsD//argI//prfA//prfA//fhlA//pagP//lacZ//hdeD//cyaA//galT//ybfN//narX//moeB//puuR//
Lrp-Leucine_pos	nfuA//fimI//rplP//csgF//oxyR//xapA//gadC//ydiU//puuB//cas2//sufC//ileV//livG//arcA//gspE//ybdZ//cadB//galP//nohA//creA//iraD//rbsK//cheA//cadB//glcB//fdhF//argE//purL//yaiW//fecB//exuT//cysA//alkA//hyfD//ycdZ//
LsrR_neg	osmY//feaB//pheT//emrK//actP//hybF//argI//idnO//rrfA//
MalT-ADP-Maltotriose_pos	znuB//mepH//ccmE//acrE//hupB//galM//prpR//ccmH//yaeP//uxaC//
MalT-Maltotriose-ATP_pos	exbD//entF//aaeB//trxA//rpsQ//cpxA//yhcH//nrfA//fixB//rpsC//
MelR-Melibiose_neg	sdhB//tdcB//mglC//
MelR-Melibiose_pos	agp//cysU//dcuR//
MetJ-S-adenosylmethionine_neg	ygeH//mntH//yfbR//mdtC//hycA//gabD//ilvX//phnI//phoH//hyaE//marR//sdhD//modB//dusB//dpiB//
MetR-L-homocysteine_neg	creA//fecI//
MetR-L-homocysteine_pos	rplI//fepG//argP//trpR//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	phnO//artQ//argD//oppC//nuoH//rseA//
MhpR-3HPP_pos	nrdH//cynS//hyaB//allC//pstB//hyfR//
MntR-Cd2+_neg	fecE//fucA//cdd//uhpB//
MntR-Cd2+_pos	metN//
ModE-MoO42-_neg	ubiX//fadI//dmsC//gatB//tauC//lsrR//manZ//hypB//aceF//alaT//agaV//yccA//cas1//gltV//citE//
ModE-MoO42-_pos	fadI//hupB//entC//yjeF//ahpC//appX//znuB//norV//uxaC//astB//fimF//xdhC//rof//dnaE//lhgO//adhE//xylB//ldtB//metJ//galE//hcr//prs//tnaB//rrlG//hycD//pgaD//dcuS//nuoM//aldA//soxR//ilvI//
NarL-Phosphorylated_neg	manZ//entD//sufA//trpA//fixX//soxS//ivbL//cpxR//nupC//galT//cydD//spf//abgT//cyoB//mgrR//ispE//garP//oxyR//araH//ampD//dapD//cysK//dcuD//hdeA//ynfK//nuoN//glcF//tehB//citE//rpoH//purH//glpG//nupC//glnD//rbsC//fnrS//hflX//galE//ssb//fdnI//fiu//nrdH//betA//mhpR//appC//pheM//amiB//mscM//fur//manX//yfbR//fes//cas2//rpsR//treC//arfB//rrfA//ompX//aceK//puuA//agaW//glcD//casB//metY//carA//mhpE//cusA//ung//puuE//rrsG//fumC//fldA//ydeM//phoU//soxS//cysM//trmD//casE//nlpD//lsrD//yfdX//tnaA//nrdD//murP//yaeP//tsaE//
NarL-Phosphorylated_pos	caiE//qseC//manY//lhgO//yciW//dapB//lamB//dmsB//yjeV//tcyJ//yhjC//mhpE//slyB//sucC//sodA//hyfR//mdtB//yfdX//zinT//csgB//ilvI//gntR//hybF//hybO//ilvB//chbF//casC//motA//trpB//aaeX//caiA//osmY//bioC//gabT//aldA//malI//lsrR//fecA//rhaA//caiE//ssb//rbfA//ilvD//atoE//aceF//yfaE//
NarP-Phosphorylated_neg	narX//yjeV//cysW//nuoE//prpR//bamA//lysP//ulaD//phnP//ebgA//tsaE//hybF//pgaA//csgF//ompT//carA//cas1//tauB//cusS//nrdG//nrdA//ybjG//yjiY//aceB//hupB//fumA//gcvT//fhuD//xapA//rutC//xylG//bglB//rutB//
NarP-Phosphorylated_pos	abgB//cusC//malP//sodA//entD//cusS//idnT//livF//talA//glgP//crl//cheW//puuA//tehA//mutL//hycF//chbB//mpl//paaF//gabD//trg//murP//cheA//puuD//rhaS//tnaB//rseB//lysC//sdhB//rpsC//folA//appB//
NhaR-Na+_pos	yoaG//metI//bdcA//hha//ilvE//
NikR-Cd2+_neg	caiC//fixB//leuE//nrfC//amiB//psd//
NikR-Co2+_neg	nrdF//mhpF//ompC//tdcG//nrdG//trpB//
NikR-Cu2+_neg	cysM//cheB//garR//cysW//rseB//exuT//
NikR-Ni2+_neg	marA//rpsS//carA//mglB//pagP//galK//
NikR-Zn2+_neg	appA//yhfA//rrlD//nikR//dmsD//trmD//
NrdR-ATP_neg	ygiB//ybiT//malY//livK//ydhV//fimI//metE//malK//aaeX//
NrdR-Zn2+_neg	zntA//ubiC//norR//znuA//livG//lsrR//puuR//zinT//cpxR//
NrdR-dATP_neg	agp//fimD//trpA//xdhB//ebgC//yaiA//micF//ynfG//puuR//
NsrR-[2Fe-2S]reduced_neg	puuC//ygiB//cadA//phnL//ompF//phoH//glpD//idnT//glpK//motA//dsbA//nmpC//cueO//codB//pyrD//ptsG//trpR//trg//entC//ndh//iscU//mepH//ccmA//mgtA//phnN//tauA//oppD//glpC//rplV//hdeB//hofN//dnaN//hyfF//hyfA//fecD//sbcD//osmC//acrF//sufA//focA//tar//gdhA//fepB//rcnA//entD//ihfA//ssuA//purL//rnpB//nmpC//trg//ybjG//lpxA//mdtA//putP//rpsC//infC//yciW//narJ//caiF//carA//cas1//ugpA//treR//ilvD//ilvL//ybiT//motB//citC//glgB//hcp//ilvC//qseB//
PhoB-Phosphorylated_neg	caiE//uidB//fucI//phnP//mzrA//hcp//mgtA//phnE_2//rpsO//appY//malX//tyrR//yojI//
PhoB-Phosphorylated_pos	dps//degP//fixC//pitB//hofB//ccmC//hydN//epd//mhpE//mdtC//nohA//atoD//narK//rplT//ybfN//fecA//cpdB//yccA//ybdZ//ydeN//ldtB//acs//rdoA//srlB//mhpT//rplT//amiB//ubiG//pgaD//araC//ompR//pgaA//rcnB//moaA//nagE//mglB//entE//ompR//ccmB//cysA//ahpF//pgaD//secB//cusF//cpxA//phnM//malG//trmD//tdcC//gatB//hypC//ygiC//ileT//
PhoP-Phosphorylated_neg	nuoH//waaH//idnO//uxaA//cysA//rmf//purF//cynX//yhfA//gyrA//glpX//
PhoP-Phosphorylated_pos	malX//nikE//comR//glcD//gntP//abgA//aroM//hyfI//phoA//mhpF//argO//ydhT//entS//ccmA//hypE//mltC//nrfF//rbsK//torC//feoA//gltF//fhuD//pgaD//cspD//galS//baeR//cysK//argO//ftnB//hypD//map//rplW//fumA//alaV//aroL//aaeB//hypC//nfuA//nuoJ//rrfB//yegH//malE//araD//hupB//ubiG//talA//fadL//fixX//hisP//
PrpR-2-methylcitrate_neg	gcvT//
PrpR-2-methylcitrate_pos	treC//gltF//abgT//pta//
PurR-Guanine_neg	cynT//pepT//pitB//glpB//rhaS//dpiB//lacA//dpiA//caiT//acs//borD//livK//serC//sodA//rutA//puuP//gabP//trpD//bdcA//csgC//appB//gspJ//spf//rpoE//puuC//cusA//sohB//envZ//aroL//feoA//sdaA//hyfA//ydhY//dsbA//
PurR-Hypoxanthine_neg	ebgA//pitB//metB//mipA//ccmB//rpoE//recF//rrsE//rrsD//yegR//rplS//xdhB//cspD//purR//cysG//cysI//icd//fimG//hcr//csgC//napH//dmsA//gspM//mgtL//oxc//nuoM//cysK//dmsA//kbl//treC//baeR//narX//pdhR//fecA//
QseB-Phosphorylated_pos	tyrA//nikA//ilvE//lysP//
RhaR-L-rhamnose_pos	rbsD//zwf//
RhaS-L-rhamnose_pos	rplP//ydhT//yfaE//
RstA-Phosphorylated_neg	lsrG//nusA//argG//phoB//cyoD//
RstA-Phosphorylated_pos	dpiB//cysG//garP//tpx//fhlA//
SoxR-[2Fe-2S]3+ oxydized_neg	artP//
SoxR-[2Fe-2S]3+ oxydized_pos	fimI//ogt//tpx//
TorR-Phosphorylated_neg	aceB//
TorR-Phosphorylated_pos	cusA//uxuA//glpC//tonB//dnaA//fixA//hyfI//hypA//modC//
TrpR-Tryptophan_neg	adiC//entA//hydN//gabP//nuoF//bioC//tauD//mltC//appC//gntT//yqjH//serC//
TyrR-L-tryptophan_neg	hycB//avtA//ogt//nagA//nikC//argT//rbsB//ybjG//fhuC//cyoA//aaeR//ascF//
TyrR-L-tryptophan_pos	cpxR//oxyR//purE//
TyrR-Phenylalanine_neg	dsdC//psd//ynfF//cydB//artQ//adhE//caiE//rrsD//gspJ//rpsR//glgS//proP//
TyrR-Phenylalanine_pos	puuD//purE//cstA//
TyrR-Tyrosine_neg	csgC//proP//alaS//gcvT//gpsA//chbG//phnJ//gspL//prfA//tyrP//sdhA//yeiL//
TyrR-Tyrosine_pos	malM//ycjF//glnG//
UhpA-Phosphorylated_pos	rpsF//
XapR-xanthosine_pos	norR//dsdA//
XylR-Xylose_pos	purR//ldtC//rpmC//acnA//hyaF//chbR//
ZntR-Cd2+_pos	iraD//
ZntR-Hg_pos	rhaR//
ZntR-Zn2+_pos	chbG//
ZraR-Phosphorylated_pos	waaH//tsgA//deoC//
Zur-Zn2+_neg	aaeA//aceA//ulaF//hybD//rplS//alaA//
