#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	phnG//rutD//
FNR-[4Fe-4S]2+ reduced_pos	hycC//caiT//acrB//pheM//feaB//hybA//ydhW//fimF//rnlB//katG//agaA//nfuA//galS//cysA//glgS//ascB//marR//deoC//nuoM//envY//pepT//rutE//hycI//acrF//rstA//serC//evgS//ydhT//rutG//ascF//rrsB//bioD//lsrF//nikB//chbR//garR//citF//cynX//norR//infC//ydeJ//ebgA//fadB//fimG//lsrD//cusS//napF//lldR//znuB//lldR//copA//ompX//rnpB//rrfH//glcE//psiF//puuE//sucD//ssuD//emrY//cyaR//rhaT//araF//rhaT//ilvH//casC//treR//sodA//napC//rutE//ulaB//cra//fis//glnG//cpxA//ydfN//raiA//dcuS//ilvA//hmp//ygeA//cpxR//pgaB//rseA//dnaA//glgB//uidA//astA//nrdH//avtA//feaB//gntX//bioD//moeA//mgtA//rnpB//fucR//nusA//mhpC//sodA//ychO//bioA//trpC//yhcH//tonB//spy//grxD//puuP//puuB//rutB//nuoI//ssuD//hyfD//betA//appY//ptsI//glpT//fhuC//cusF//metC//mtr//bacA//yggX//ssuC//sbcD//fepB//moaB//lpxD//prpB//lsrD//mcaS//xapB//zwf//hyfA//fepG//hemA//rpoS//rhaA//ulaF//ydhU//nanK//trmD//ulaE//cusS//tnaA//rrfA//fixB//cusF//nagC//rplC//yhhY//oxc//glnD//fabZ//ykgM//aroG//rutE//ilvE//fecD//rplW//rbsC//sdhD//bglF//rbsK//aaeX//aroP//nirC//sufB//cdd//tonB//mepH//yfaE//galT//rrfH//fecA//rrfH//cusR//soxS//phnH//phnN//rseA//ptsI//deoB//rpsP//lysC//lacI//fhuC//argD//fixA//ssb//yhjC//nrfD//phnJ//rbsB//dsbA//carB//nuoC//hflD//hmp//srlE//rplW//tehA//
FhlA-Formate_pos	lldD//carB//epd//feoC//lpxD//idnO//malM//phoE//cytR//dsdC//fliA//abgA//mdtC//gspI//nikA//tdcG//napF//ilvI//rrsC//dcuR//arcZ//zntA//lsrA//ompA//purF//murP//emrK//betB//hisJ//ynfH//
FucR-L-fuculose-1-phosphate_pos	srlA//hyfC//serA//map//ubiX//phnH//tpx//
Fur-Fe2+_neg	argD//rutD//fldA//glcG//livF//glgB//rnhB//nagC//melR//amtB//garR//gcvT//iscA//creC//phnL//hyfA//hycB//ynfK//rpsQ//phnO//appY//ndh//hofM//hisJ//rutA//pncB//dcuB//ilvN//speA//ompW//lamB//infB//nrdD//gatD//pgk//sodB//nrfA//rbsA//malF//cynR//cadA//ilvA//entH//trpD//dapD//uhpT//gspG//ebgC//hypE//cusB//hybC//nlpE//cysD//marR//rrlH//yqjH//bioA//alaV//ulaD//phnJ//astE//acnB//osmY//tdcC//napB//lysC//kbaZ//cusB//gspF//cyoA//nuoG//hisJ//sdhC//exbD//livF//ssb//yaiW//rrsH//glnB//lldR//gadB//rrlB//crr//hcp//ccmB//alaS//bioC//epd//casA//modB//livK//dcuR//casA//yjjZ//fimC//srlR//hlyE//dapB//gspO//hflD//nac//mgrB//gspL//norR//serC//gspG//hyfF//agaA//fadE//flhC//hypB//hdeD//hybF//csgF//mtr//metY//cadA//tyrR//ydeN//malK//betI//rutA//hycA//icd//
Fur-Fe2+_pos	allE//aldB//evgS//rpsF//fliZ//rplM//rrlC//entF//nadC//ccmG//fliA//pstB//ydhT//focA//fhuC//glpG//fur//xylG//pheS//tauC//ftnB//uidC//bacA//ftnB//nuoH//
Fur-Mn2+_neg	aroM//hypA//gspL//feoC//betT//frdD//norV//uhpC//feoB//yoaG//glcD//dppA//ydeN//rrlA//tpx//agaV//norW//bdcA//argT//deoC//gcvT//aceA//argT//lsrF//cysK//prs//rrlG//acrD//yjcH//hycE//hybD//ccmE//mhpD//dcuC//galS//hfq//creD//dmsC//fepB//feoB//hypE//uhpC//phnE_1//nrdF//edd//narX//fecC//uhpB//recF//aroA//focA//yaiW//paaI//yfeW//csgF//cusC//cbl//rstA//lpd//paaF//mltC//agaW//prpR//tyrB//araG//ybiT//infC//nuoK//malM//chbC//yhcH//fixA//metQ//borD//lsrG//feaR//yjjZ//uxuA//dppD//rpsJ//dsdA//rybA//nrdA//garK//casC//yibN//melA//malK//gntR//mntH//citD//tauD//dppB//znuA//hflK//dppA//gatC//galE//cydA//uvrA//cirA//tehA//emrK//rplT//moaE//nlpE//nagB//nrdF//zraS//manZ//fecC//preT//prpR//casB//mglA//tadA//nanA//aldA//sufS//ugpC//codB//sufC//nikC//yqaE//
Fur-Mn2+_pos	aroM//cheR//glnK//narL//ubiG//copA//ompF//mutL//xylF//mntP//upp//speA//glcC//yojI//micF//ygaC//adhE//secB//aroM//cas2//napA//rrfG//fhuB//rrfG//rhaT//
GlcC-Acetate_neg	csgA//
GlcC-Acetate_pos	argO//bioC//aceK//hyfB//allD//rbsC//
GlcC-Glycolate_neg	appX//
GlcC-Glycolate_pos	hybA//hyaF//ugpC//argR//modA//polA//
GlrR-Pasp56_pos	pgaC//
IclR-pyruvate_neg	fdhF//araF//artQ//gatC//
IdnR-5-ketogluconate_neg	bcsZ//yqjA//fumC//
IdnR-5-ketogluconate_pos	murP//katE//fliA//livJ//rstA//
IdnR-Idonate_neg	gatA//dsbA//livM//
IdnR-Idonate_pos	gatC//rrfA//adhE//upp//glcD//
IlvY-2-acetolactate_neg	rpsS//
IlvY-2-acetolactate_pos	pdeF//
IlvY-Alfa-acetohydroxybutirate_neg	acrA//
IlvY-Alfa-acetohydroxybutirate_pos	narG//
IscR-[2Fe-2S]1+_neg	malK//uof//hdeD//ilvG_2//ybjG//pheS//cysJ//glpR//yhiD//gltW//pstS//mhpD//artQ//purR//dcuA//ilvI//rrlD//narK//alaA//metH//ilvD//rplB//dsdX//gutM//ygeA//gspC//gatD//avtA//yfbR//napG//
IscR-[2Fe-2S]1+_pos	rplC//csiE//purB//moeA//tsgA//mhpE//fabZ//treC//pstB//uxaC//yaiA//
LldR-L-lactate_neg	casB//yneM//tauA//
LldR-L-lactate_pos	gspL//rutA//ldtC//
Lrp-Leucine_neg	yqjI//sufA//yqjI//hisQ//purC//rplT//tar//iscR//yhiD//gadB//araB//proP//phnD//yeaD//puuE//fhuB//caiT//ppiA//purA//betT//bioF//tdcA//casD//melR//fhuF//ccmG//dcuS//iscA//uxaC//map//moeB//slt//marA//yjjZ//rybB//purC//yjcH//hisM//mscM//codA//tauB//ogt//nuoC//ugpC//cysA//yaeQ//rrsE//ldtB//sodA//metL//rutB//malG//pck//hflX//sufB//sdhA//nuoB//ccmC//ulaB//bhsA//manY//metC//ampD//artM//iscU//tar//grxD//ebgA//sucD//cynR//prpR//chbA//phnK//glgP//tnaA//
Lrp-Leucine_pos	glnG//hypE//yaiA//yeaD//malF//speB//araF//alaA//artM//purN//sufS//hycB//sbcD//glpC//nanC//entS//kbl//oppF//galS//exbB//hyfD//rutE//rrsH//ogt//mglB//hypB//dkgB//allC//dppD//fdnI//livJ//ugpE//dsbA//paaH//rseB//
LsrR_neg	rutC//fucR//lldP//aspC//hyfE//fadE//manZ//fdnG//rbsD//
MalT-ADP-Maltotriose_pos	galT//psiE//glnK//bcsB//trpE//allD//lysP//codA//uxuA//soxS//
MalT-Maltotriose-ATP_pos	idnK//ssuE//pstB//hyaF//mgtL//ulaC//glnK//ybdZ//tauB//rnlA//
MelR-Melibiose_neg	bcsZ//ompW//entH//
MelR-Melibiose_pos	paaE//casD//mhpB//
MetJ-S-adenosylmethionine_neg	flhC//paaB//norR//lacY//nagC//nrfF//edd//tauC//entD//acrB//rcnB//mtlR//tyrP//xylH//ubiA//
MetR-L-homocysteine_neg	phnC//ulaF//
MetR-L-homocysteine_pos	ubiG//fucR//gapA//cirA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	gcd//pflB//gutQ//uxaC//yneM//moaC//
MhpR-3HPP_pos	citG//fhuB//ynfH//hyfD//ogt//fhuF//
MntR-Cd2+_neg	ybfN//cynT//fucA//rplB//
MntR-Cd2+_pos	marR//
ModE-MoO42-_neg	cysK//putP//glpE//fimA//bcsC//cusS//bacA//atoE//ycjF//yhiD//nrfE//ugpE//gnd//rbsA//metF//
ModE-MoO42-_pos	ompC//trpC//xdhC//envY//glcE//hyaD//erpA//rimM//hyfB//dppA//mglB//cvpA//yjiY//hha//cheA//speC//cysU//purH//abgA//purN//puuC//rpsF//atoD//ogt//cueO//yeiW//mhpE//rrlA//purC//cheA//melA//
NarL-Phosphorylated_neg	fecE//nrfG//malI//atoD//gutQ//mgrB//tsx//cirA//ydeJ//uxuA//fepB//ilvC//malI//oppF//cysD//puuP//dusB//sbcC//hypA//cyoC//phoH//cusA//entD//ilvH//malF//rmf//casD//purL//yjeF//sohB//lsrD//lpd//hyfH//hybC//phnI//priB//qseC//paaA//ebgA//mdh//hycI//nagA//rpsF//fiu//lsrR//rrsH//hofP//paaF//katE//phnM//fadA//dpiA//tsr//hofB//fdnG//flhD//gltW//nrdB//yfdE//hyfE//mdh//safA//alaA//nrfD//iclR//malY//nrdA//nuoI//hisQ//pheM//ccmA//ccmH//hyfH//hybD//malY//sohB//hmp//nlpD//metE//phnC//fliA//tdcG//acnA//serA//entF//glpK//
NarL-Phosphorylated_pos	fldA//dppD//caiE//phnN//gspD//lhgO//dmsD//lsrR//livK//trpA//cyoC//hdeB//tehB//yegH//oppC//dps//ftnA//idnT//fiu//lsrA//ppiD//ebgA//garK//rplC//rbsA//yegH//ptsG//hyaB//malT//fepB//araG//ilvN//rrsA//hyfE//gpmA//prpD//rutB//rseB//nrdF//rrsD//rutG//hofP//abgT//argC//ychH//malG//
NarP-Phosphorylated_neg	crr//glpT//rutE//hofC//gntR//yhiD//cdd//nuoG//kbl//astD//xdhB//infB//cyaR//alkB//nrfA//gatD//ilvN//uhpT//fucR//deoD//puuP//nanM//narI//moaB//rplC//ivbL//glcB//yciW//speA//cysB//znuA//motA//ydeJ//
NarP-Phosphorylated_pos	fucO//rseA//astC//agaV//gntR//araH//glpX//frdD//iscU//paaI//feaR//focB//xylB//tadA//ychO//dcuD//fimE//cbl//entS//pgk//ccmC//pstA//ompT//narH//sufC//glcA//malI//astA//fecA//ykgM//trpB//bioF//
NhaR-Na+_pos	aspC//glpR//dctA//epd//trpD//
NikR-Cd2+_neg	erpA//glpF//hisM//ompA//gutM//frdA//
NikR-Co2+_neg	ssuE//alaS//ubiX//infC//cysA//paaI//
NikR-Cu2+_neg	hypF//hyfJ//ilvA//purA//rpsO//sbcC//
NikR-Ni2+_neg	melA//ugpQ//flhC//creA//ygeH//fecB//
NikR-Zn2+_neg	gabD//ydeO//lsrA//yeaR//hisP//gatA//
NrdR-ATP_neg	yfbR//fucR//agaV//murP//gltW//metE//cusC//guaB//nrfF//
NrdR-Zn2+_neg	fucP//csiD//lacY//fepC//ydhU//ubiX//rybA//atoE//ybfN//
NrdR-dATP_neg	malZ//glnG//skp//iraD//grxC//hycF//glpC//gltW//metN//
NsrR-[2Fe-2S]reduced_neg	cynS//map//purM//nmpC//gspI//nanM//appY//tsr//ccmC//cytR//nlpE//galM//uidB//manX//csgE//yeiL//ptsI//mglA//yfaE//cysH//sbcD//livH//narI//hyfD//ykgR//safA//caiD//malK//casA//chbC//hycF//fimE//ssuC//galM//hypE//metY//mhpT//kbaZ//preA//fecD//puuE//znuB//ynfG//malE//fepC//grxD//mntH//pheS//tsr//dmsC//artQ//envZ//rpmI//lldR//cydD//dsbA//cysK//oppD//frdB//araD//fadE//ygaC//tdcD//hybF//metK//gabT//cusB//tdcC//yhhY//purR//nirC//yqaE//ompR//
PhoB-Phosphorylated_neg	marA//ptsI//mhpD//phoP//ydhY//rrlD//glnG//secB//rrfH//tomB//narX//envZ//exuT//
PhoB-Phosphorylated_pos	mgrB//lpxA//glcG//lldD//glpD//pitB//ygeA//fepA//lldP//borD//zinT//lldR//narH//fecB//yedX//ssuD//rnlB//emrY//mdtB//yegZ//infC//moaE//ubiG//rdoA//fimF//astC//ampD//rof//iscA//bioA//mcaS//fdhF//aceE//emrY//hflC//mcaS//gatD//dsdC//amtB//fdhF//malK//uxaB//artM//fucO//fucR//aer//phoE//abgB//srlD//fhuB//argA//ugpC//hybA//
PhoP-Phosphorylated_neg	rmf//nuoA//araB//caiF//phnE_1//rplS//fhuB//tdcD//nrdI//ptsI//yedX//
PhoP-Phosphorylated_pos	yaiW//safA//hyfB//ilvA//uidB//rrsG//araA//nrdI//nuoI//yegR//xapB//rplI//gcvH//nuoH//hybG//nagA//hybC//ptsG//uxaA//gutM//rrsD//dnaE//ydhU//betB//marA//astC//tauA//puuP//comR//nikA//argD//ftnA//agp//cysP//ppdD//aer//gspF//tsgA//frc//cysN//sucD//hyaB//fimA//phnD//adiC//phnJ//lpxB//sodA//slyB//
PrpR-2-methylcitrate_neg	dnaE//
PrpR-2-methylcitrate_pos	argR//yeiP//betI//yeaD//
PurR-Guanine_neg	ryhB//alaV//aroP//dnaA//ydhU//feoC//cydA//chbG//tauB//rplV//amtB//uvrA//tyrB//hflD//dmsB//pnp//fecC//rrfE//yegZ//fimA//dadA//nuoG//yjeV//sufE//nusA//hypD//fixA//guaB//pgaA//treC//hydN//hycB//aroL//fnr//
PurR-Hypoxanthine_neg	betT//pagP//nmpC//fadE//arcA//ydeJ//caiC//artQ//abgA//araG//lysU//gcd//araB//yhiD//tdcA//hypB//glgX//entC//rbsB//ydhW//fes//fumA//alaA//gnd//lacZ//deoA//galM//degP//rrlA//uxuA//deoA//rnlA//fes//rbsA//
QseB-Phosphorylated_pos	actP//guaA//paaC//rrsH//
RhaR-L-rhamnose_pos	narL//rbsB//
RhaS-L-rhamnose_pos	glcF//puuC//cusS//
RstA-Phosphorylated_neg	ldtB//cra//dppF//sdhC//astC//
RstA-Phosphorylated_pos	nuoH//xdhB//lacZ//tap//xdhB//
SoxR-[2Fe-2S]3+ oxydized_neg	zwf//
SoxR-[2Fe-2S]3+ oxydized_pos	entE//flhC//tauC//
TorR-Phosphorylated_neg	nrfE//
TorR-Phosphorylated_pos	metH//pheT//gltT//narI//torA//acrA//arcA//nanE//astB//
TrpR-Tryptophan_neg	rbsB//gspC//gspL//rrlC//tdcD//hybD//fecA//soxR//ndh//napA//rnlA//rpsJ//
TyrR-L-tryptophan_neg	ptsH//fadA//tnaA//dcuB//ssuE//bglG//gspH//malM//lhgO//arfB//purL//hyfA//
TyrR-L-tryptophan_pos	rrfG//aldB//rbsA//
TyrR-Phenylalanine_neg	edd//ybdN//lsrF//mdtB//bioA//entC//nac//hypA//argT//treR//chbR//glcF//
TyrR-Phenylalanine_pos	argF//bioC//aroP//
TyrR-Tyrosine_neg	degP//nuoE//hyaC//fimI//gcvT//phnH//hdeB//paaB//napC//alkB//napG//fadJ//
TyrR-Tyrosine_pos	moaA//iscA//ccmF//
UhpA-Phosphorylated_pos	rplW//
XapR-xanthosine_pos	mutL//gcd//
XylR-Xylose_pos	rpoH//cynT//efeU_1//carA//nirC//mglB//
ZntR-Cd2+_pos	flhD//
ZntR-Hg_pos	fau//
ZntR-Zn2+_pos	glpR//
ZraR-Phosphorylated_pos	yhjA//purH//cysN//
Zur-Zn2+_neg	fadJ//polA//edd//napA//oxc//frdD//
