#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	bamE//torC//
CRP-cAMP_pos	ompR//ycdZ//hyfC//cpxA//lldR//tktB//aaeR//pitB//malY//ytfE//feoA//pgk//speC//glgS//malX//cynX//chbC//livG//deoA//uxuB//exbD//purN//tdcF//betI//rybA//mhpF//glpK//entA//ccmE//fecB//phoU//gltV//atoE//mhpD//bioB//exbB//paaA//modC//phnH//casA//fadH//mntS//metL//hypA//alaT//degP//qseC//sodA//grxD//deoC//yjiY//garR//rimP//lacY//livM//fadJ//purA//malK//hemL//nikD//yfiP//sucD//glnA//dmsD//chbA//gatC//yeaD//paaF//argC//allC//acrA//pgpC//tauC//nmpC//tnaC//abgB//hycE//caiE//pgaC//creD//rbsB//arcZ//norW//hyfB//sufS//gadC//rrfC//nrfD//ydhW//deoD//glcC//oppF//hyfD//osmY//galT//mdtD//fimC//dmsD//nrdE//osmC//lldR//zraS//prpC//ubiA//yjeF//pta//nuoK//aaeA//ileU//rpoE//yhiD//lysC//lsrF//actP//uxuR//ychO//hdeB//allD//agaV//ulaE//fimA//lsrC//gpsA//sbcD//oppC//mpl//rutA//fucO//yjeF//moaA//glpE//hyfG//znuB//hpt//mdtB//argA//phoQ//tauD//fimH//aspA//ykgR//phnN//feoC//yjeF//nlpD//yjjZ//adiC//ydeP//ogt//acnB//rrfC//betA//yeiL//ydhV//metR//rpmI//ydfH//dmsA//cysN//ptsG//artM//ydhV//kbl//spy//ugpA//tfaQ//hmp//lldD//mntS//glpB//chbB//acrD//gspO//uxuA//frc//fhuF//pheT//fau//moeB//znuB//ulaA//dcuR//tomB//dpiA//nrdI//lsrF//yeiB//cheZ//priB//gspM//gspE//nupG//hyfJ//cpxR//motB//argH//cysK//carB//aroM//nikA//ssuA//gspI//tauB//oppB//rbsK//ytfE//kbaZ//uxaB//yrbL//mgrR//glyA//metI//yccA//crp//yeaR//csiE//feoB//metF//garR//mglA//garP//rhaD//serC//tauA//hyfC//ulaE//mhpA//yqaE//tyrR//nuoB//fdhF//rseC//ybdZ//fis//ilvM//degP//dctA//phoA//cusF//micF//norW//caiT//treR//ycjF//yeiW//nagC//nuoK//pstS//aceA//speA//iclR//phnO//ygaC//rcnA//melR//acrA//ubiG//cyoC//proP//hyfC//ydhW//cysH//rpmI//idnT//napG//dnaN//ebgC//bcsA//ydeO//borD//mgtL//bhsA//mhpR//aaeB//nanC//hisP//cdd//nrdF//narG//glnD//bcsB//iscR//lacI//nirB//tdh//rrlH//purE//cusF//allE//fnrS//yjcH//napA//pgaA//rbsC//astA//purN//micF//caiF//argT//zraP//rrfA//marR//tar//ppiA//dmsD//cadC//bacA//phoQ//ssuE//napD//frdB//gltA//aldA//ybdN//ubiG//lamB//hyfB//paaK//hybO//napD//ilvI//hycA//rrlE//phnD//prpB//tolC//puuA//ychO//amtB//nmpC//cyoA//tsr//deoB//ampD//metF//ompA//hycE//pheM//rnhB//dnaA//cynS//hyaE//pnp//yhhY//gyrA//hyaD//rbsC//cpdB//icd//xylF//pck//glcF//chbR//csgD//nrdG//pstS//ompC//rstB//glcG//chbA//rrsC//uxaB//lysA//galK//ivbL//tpx//sufC//fumC//cysH//alaU//creB//glpQ//rutG//yegZ//pgaC//mglB//dppF//narL//nupC//ileT//ilvG_2//nmpC//melA//hyfE//envZ//pstS//avtA//ppiD//entD//casA//dsdX//cadB//dcuC//fadJ//ssrS//ybfN//glyA//paaF//rrsD//citF//hycH//napG//yqjH//cheR//nagE//yqjI//rybA//trpE//rbsR//idnR//rybB//aceB//guaA//ygiB//yfdV//torC//nanE//cysG//treC//mdh//caiF//ssuA//cvpA//ydeA//ackA//srlE//ygeA//fliA//gntT//
ChbR-Monoacetylchitobiose-6P_neg	fabZ//csiD//lacY//uvrA//hcr//cpxR//
ChbR-Monoacetylchitobiose-6P_pos	moaB//aceA//rrlE//metJ//xapA//rrsA//
CpxR-Phosphorylated_neg	casE//ybjG//abgB//phoU//dnaN//lsrB//napB//bioA//gdhA//dpiB//tdcF//murP//argH//crp//lolB//xseA//aroL//fecI//rhaA//xapB//purH//yeaD//nanA//sdhB//
CpxR-Phosphorylated_pos	rimP//phoB//ilvX//nrfB//ybdZ//ftnB//dpiA//oppA//entD//cirA//gltT//cbl//tyrP//lsrB//pheS//nohA//ilvM//malS//idnK//artJ//astC//ccmG//azuC//hlyE//zraR//cynR//mtlD//fecB//nuoE//ileV//epd//phoE//gspG//deoD//dnaE//xylB//iscU//citX//aroL//hisP//ygiA//cirA//agaA//bioC//lysA//
CreB-Phosphorylated_neg	folE//aroA//rmf//
CreB-Phosphorylated_pos	oppB//tomB//hflK//hemA//fdnG//nlpD//
CueR-Ag_neg	arcA//atoA//gspK//cadA//gcvT//
CueR-Ag_pos	citE//argO//
CueR-Cu+_neg	arcA//cyoA//glnG//nanE//xdhC//
CueR-Cu+_pos	glcE//mepH//
CuerR-Au_neg	cspE//rutB//malF//hyaF//ydhT//
CuerR-Au_pos	pheM//lysA//
CusR-Pasp_pos	cheB//nuoF//nac//phoQ//artM//pitB//rpsP//fixC//narH//pyrD//livM//abgA//
CynR-Cyanate_neg	mdtA//
CynR-Cyanate_pos	ydiU//aroG//fimC//
CysB-N-acetyl-L-serine_neg	narJ//srlR//ulaA//idnT//cadB//creA//mntP//
CysB-N-acetyl-L-serine_pos	nusA//yaiW//bioC//efeU_2//sufS//rplB//ompX//fhlA//qseC//pstS//agaW//malS//uhpT//ydfH//trpR//cbl//ykgR//sucD//gcvH//lldP//yjjZ//slt//malM//
CysB-O-acetyl-L-serine_neg	phnK//oppC//ccmD//lacY//pgaA//dps//tnaA//
CysB-O-acetyl-L-serine_pos	cas2//tdh//artM//ssuC//fes//glpE//rmf//ydeM//osmY//tfaQ//cydB//cpxA//lacZ//yaeP//cysN//napA//rseC//ycdZ//uidB//metA//nrfF//focA//ydeM//hdeD//
DcuR-Phosphorylated_pos	uhpB//norV//rrfB//yfdE//atoA//cusB//ccmA//ybjG//mglA//
DnaA-ATP_neg	fepE//argG//cysB//fumA//pitB//cra//acrD//acnB//malZ//malQ//csgC//
DnaA-ATP_pos	sbmA//frdB//hflD//fldA//serA//manX//nadC//
DpiA-Pasp_neg	xdhA//
DpiA-Pasp_pos	psd//ppiA//hyfG//qseC//bcsC//uxaB//idnT//fadE//narK//malX//
DsdC-D-serine_neg	hyfD//
DsdC-D-serine_pos	glpT//aroA//
EvgA-Phosphorylated_pos	ccmF//nrfB//znuA//exuT//galM//dcuD//gspF//dnaA//yjcH//moaA//fimG//iscU//lpxD//fdnH//caiB//
FNR-[4Fe-4S]2+ reduced_neg	infB//nrdI//dcuC//ssuB//cusF//yecR//gltV//tdcD//malP//nrdD//rutA//crp//cpdB//guaA//cas2//uidA//serC//iscU//hypD//cadA//tehA//cyoD//gltW//pgaA//ybjG//aroF//hcr//rbsC//bioB//fadB//glnD//bhsA//idnO//truB//fucU//csgC//sucB//yjiY//csgE//rpoS//tktB//cynS//sufB//ycjF//phnM//upp//abgT//xylB//ahpF//dgcZ//glcA//slt//pstC//cyoD//galE//ileU//priB//fecE//phoB//rhaS//puuD//rrsA//yccA//mntH//fixB//trpE//appY//metH//uxuA//lrp//srlD//aldA//ulaE//araE//yjeF//sxy//aceF//entD//cpxR//dsdX//yegH//rrsE//nikE//iraD//phoR//lpxA//gapA//nrdD//sdhB//nrdF//ilvX//dsdA//exuT//appB//alaA//hofB//tyrP//glpC//cysB//nanC//rimP//hyfG//rpsC//carA//acs//dcuR//livH//livH//astD//ptsG//dppB//hypE//glcE//rplT//ybdN//ydeJ//rseC//gltF//ybfN//ugpQ//
FNR-[4Fe-4S]2+ reduced_pos	rrfG//motB//yeaE//infB//dapD//malI//paaC//truB//ybjG//nikD//fau//ptsH//sucA//grcA//raiA//purC//nlpE//gutQ//dcuD//glcD//fis//cusF//glpC//cheW//aaeX//purK//cysD//tsr//codB//ileT//znuB//gltV//puuR//raiA//rutC//alkB//nikD//trg//lacZ//rrlH//sucD//ydeO//phnI//caiC//hofP//hyfB//ileT//araF//glpC//xylB//exbB//gltD//manY//yfdV//ycdZ//yaiA//dcuA//mutL//efeU_2//mhpF//yjeV//aroF//uxuR//evgA//iraD//ada//tktB//tnaB//fimE//hyfH//paaH//cvpA//malE//rutG//malP//yjeF//ahpC//rrsC//mglC//galK//dps//melR//ykgR//gltA//tdcC//ybjG//bcsZ//gatY//fdhF//ydfH//ynfG//nmpC//cynX//arcA//yhcH//araB//aceF//caiC//aroM//ygeA//gspG//katG//deoA//fabZ//uhpB//xdhB//csgD//puuP//pgaD//mdtA//yaeP//ssb//glcE//rrlD//betA//hyfR//creB//focA//rhaT//xylA//gltU//phoR//uhpT//rplV//fnr//citC//yiaJ//kbaZ//dcuA//csgD//glpX//cheZ//gltF//fepG//glgS//yaiA//nrfE//hypF//rrfF//paaE//nuoI//ilvB//ugpE//gatA//rrsA//arcZ//fhlA//hupA//gcvP//baeR//yciW//ygaC//tdcD//bglF//sohB//cysJ//hyfI//rnlB//bdcA//ssuE//sufB//napF//rrfG//hypA//carA//raiA//dcuS//rpsF//hypF//fdnI//bamA//creC//pitB//cpdB//tauB//dppC//purK//ybjG//yegZ//yciW//ykgO//rrsH//glyA//gatY//flhD//nrdA//entD//ynfG//pheM//glyA//hydN//yeiW//ptsG//rplD//csgG//narQ//torD//prs//aceK//galS//frdB//ebgA//
FhlA-Formate_pos	nrfG//atoE//lacI//rbsD//fadA//crl//tap//slyB//tehA//copA//uhpA//torD//cysM//rplC//rpsF//tauC//mtlA//aaeX//ilvN//mtlA//cpxA//yfdV//idnR//treB//glnB//nanE//xseA//ulaC//iscU//yaiA//
FucR-L-fuculose-1-phosphate_pos	metL//hyaC//hyfC//rrsE//slyB//tap//malK//
Fur-Fe2+_neg	bioC//hyfE//ydeJ//lysU//oppB//pstC//bioA//phoB//entB//bamE//hycF//ynfE//rrsA//fabZ//phoB//hisQ//dppF//idnT//tdcG//efeU_2//ydhU//ynfK//creD//nfuA//umpH//hyfF//glpB//raiA//glcE//tyrR//livH//mhpE//glnL//ygbA//yiaJ//gyrA//fixB//ldtC//fnr//cysN//lacA//pgaC//feaB//napD//metA//galK//fdnI//phnF//exuT//pflB//cytR//cheY//hypF//aaeB//frdB//lrp//nrdB//prs//lpxA//glgB//yebE//aspC//caiE//hisM//gatZ//rnpB//agaW//slt//nanK//fur//sufS//phnD//cas2//nuoE//yqjH//aspA//rbsA//amiB//ompW//paaK//mutL//ccmE//fiu//araE//ugpB//phnE_1//uof//ilvE//hyaC//lysU//lsrF//acs//purH//dgcZ//trmD//yegH//ydeO//gspC//tdcA//moaC//hslJ//ilvD//citC//glyA//hisJ//pgaB//casE//yggX//chbC//cyaA//flhC//yjjZ//puuE//uidC//gatA//ppiA//nirD//pitB//folE//bamE//lysU//moaC//fepC//argH//
Fur-Fe2+_pos	glcB//ansB//ybiT//umpH//rdoA//glpT//cysP//yiaJ//lacZ//hofP//bcsZ//gatZ//rbsA//tolC//evgA//dppA//caiT//cyaR//agaV//alaS//aaeR//hupA//fixB//lacI//fepC//
Fur-Mn2+_neg	artQ//bamE//miaA//yqjI//fnr//hycG//oppD//pdhR//puuP//fucI//cdd//tdcD//ubiC//yeaE//yaiA//ivbL//katE//yfeW//hypD//livH//rof//garK//hyaC//polA//dppD//glpE//csgA//malI//lysC//glnK//fepD//nanK//aroA//aaeR//cadA//gspK//dppB//sohB//glpE//tadA//cspD//motB//entS//ascF//miaA//gspC//tadA//dcuR//marB//nusA//rrlC//ilvH//hypA//crp//alkA//znuA//ppiD//mtlA//rimP//lsrB//lpxD//dadA//ilvD//waaH//ascF//nuoF//hycC//sbmC//nagA//speA//garL//nrfD//folE//cydD//entA//lamB//frdA//ptsG//paaJ//dkgB//xapA//gspE//ccmA//thrS//qseB//metI//prpE//gnd//gabT//uof//bioF//galM//rutD//rrfA//aroH//grxD//moeA//ptsH//mdtC//nanE//ydhT//puuR//uvrA//yqjH//ompX//uhpC//lpxA//srlD//rpsR//ackA//hyfB//alkB//bcsB//ygeH//yoaG//tfaQ//nadC//pdhR//ilvD//nagC//aaeB//lrp//livG//yegZ//
Fur-Mn2+_pos	ilvN//nrfA//sufS//gspK//dcuA//yhjC//entH//mglC//yegH//argT//nuoK//glpA//rrfH//rplW//xdhA//hypB//fixB//hofN//polA//phnL//envY//appA//phnH//tyrA//rseB//
GlcC-Acetate_neg	moaA//
GlcC-Acetate_pos	yeaR//casD//trpE//yoaG//metB//emrY//
GlcC-Glycolate_neg	thrS//
GlcC-Glycolate_pos	pck//ompF//yojI//csiE//cysC//miaA//
GlrR-Pasp56_pos	citX//
IclR-pyruvate_neg	prpB//pyrD//ydeJ//yfdV//
IdnR-5-ketogluconate_neg	livJ//gnd//oxyR//
IdnR-5-ketogluconate_pos	hyfG//bcsC//puuC//ilvE//iscS//
IdnR-Idonate_neg	rmf//uhpA//hycH//
IdnR-Idonate_pos	chbF//hybA//mdtA//hypD//rplS//
IlvY-2-acetolactate_neg	trpL//
IlvY-2-acetolactate_pos	gspF//
IlvY-Alfa-acetohydroxybutirate_neg	pgaB//
IlvY-Alfa-acetohydroxybutirate_pos	alaS//
IscR-[2Fe-2S]1+_neg	rbsA//idnO//astA//metE//nanS//cheZ//aroH//mhpF//pgk//truB//recF//mdtD//yeiP//xdhC//uidB//nrdB//udp//cusR//prpR//ilvB//azuC//crp//tdcD//narQ//iscA//hyfB//metN//fecA//fimH//proP//
IscR-[2Fe-2S]1+_pos	alaV//cyoA//nikR//nanA//pncB//rhaT//hha//tauB//nuoF//alkA//metQ//
LldR-L-lactate_neg	aldA//fecE//yeiW//
LldR-L-lactate_pos	entH//ulaA//mtr//
Lrp-Leucine_neg	mlc//evgS//csgA//caiT//hyaF//preA//uxuB//mhpC//argB//nikB//yqjH//gadB//ygiB//gatY//nirB//ilvI//rrsH//fadA//oppB//qseC//paaE//aroP//lsrC//ubiC//nupG//ftnA//yegZ//secB//nikE//entD//bglG//rrsC//uof//rrfH//manY//metC//polA//waaH//tsr//yojI//fixA//artQ//yeaR//ubiX//feoC//fucP//hycA//mhpC//znuB//pstS//uhpT//napA//zraP//rhaR//mpl//speB//lldD//rpsJ//ssuA//fadL//creA//glpT//exbD//hybC//hflD//yibN//ebgA//argH//pgaC//yrbL//alaT//ulaB//prpR//rplM//gatD//
Lrp-Leucine_pos	metQ//rcnA//xylG//rbsB//raiA//phnM//fliZ//fimH//sroD//kbaZ//phnP//livM//ulaB//yeiP//phnK//bcsZ//infB//yfdX//mtlR//garL//ldtB//cynX//cysC//gspG//gabP//ssuB//agaV//yhhY//dapB//ydfN//tadA//tdcE//fadE//rrfC//sxy//
LsrR_neg	nlpE//ilvL//gspI//ytfE//fdhF//trpC//acnB//gspE//manA//
MalT-ADP-Maltotriose_pos	nrdF//ppdD//gatD//gspK//metQ//bioD//pepT//glyA//bcsA//speA//
MalT-Maltotriose-ATP_pos	serA//tonB//csgC//tdcE//gspL//rrfE//ebgC//fhuE//bioF//casB//
MelR-Melibiose_neg	yjeF//skp//argI//
MelR-Melibiose_pos	yhjA//paaD//truB//
MetJ-S-adenosylmethionine_neg	hisQ//ldtC//iraM//moaB//melR//ebgC//ybdN//tehB//paaH//gabT//hofP//hpt//metN//fepA//ydiU//
MetR-L-homocysteine_neg	rhaD//sodA//
MetR-L-homocysteine_pos	phnC//prmC//ychO//mhpE//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	dmsA//ydeO//infC//dcuS//hcr//ygiA//
MhpR-3HPP_pos	nrdI//bioF//rimM//purA//nikE//aroP//
MntR-Cd2+_neg	malI//acrE//hslJ//purF//
MntR-Cd2+_pos	motB//
ModE-MoO42-_neg	ssuD//idnD//ydhX//edd//rrsG//nagC//metJ//hyaB//hybB//acnB//tonB//yaeP//sucB//rrlG//betA//
ModE-MoO42-_pos	deoA//bioD//allD//mdtB//frc//mgrB//cyoB//rplS//aldA//trpL//melB//hyfF//cynX//napG//nanS//nusA//phoA//hypE//yjjZ//ilvD//mhpC//nrdB//nirC//rhaR//mhpE//hofC//rrlA//borD//uxuR//dps//hycC//
NarL-Phosphorylated_neg	gltU//rrfD//fixC//ldtB//nlpE//sufE//phnG//prmC//napG//hofM//cas2//recF//rhaT//artP//ampD//priB//citC//sufB//aroF//yccA//rpsI//exbB//citE//bioF//bglG//ftnB//fixX//nrdD//casE//rpmI//ynfF//glpQ//rhaD//mepH//nrdA//lacA//hybA//malY//cspD//qseC//deoD//uidA//ydeP//nanC//mtlA//caiD//metY//malK//tehB//crl//idnT//yccA//hybF//cynR//gpsA//tehA//yqjI//nrdF//rplM//gspE//nuoJ//hybF//citF//aldA//ascB//hcp//cydD//nanE//casB//gntP//adiC//creB//livG//hmp//hofB//mtlR//ilvD//fumB//yoaG//mhpA//arfB//xdhC//skp//pepT//lysO//nfuA//
NarL-Phosphorylated_pos	mgrB//yhcH//ivbL//nlpE//napC//fepC//nuoF//nrfG//lacA//entE//uhpC//yeiW//paaE//ivbL//phoE//ileT//yhcH//zwf//nikC//puuD//cyoC//ebgA//lsrA//cheR//cysW//bcsB//nrdA//cysK//ileU//pgpC//fepE//hyfI//nikD//lolB//prpB//fixA//fixX//chbR//entD//oppB//zntA//zwf//yaiA//nrdG//ulaF//ndh//
NarP-Phosphorylated_neg	betI//nuoJ//rrlG//fumC//malI//rplM//gcvT//oppA//modB//livK//ykgR//cheR//tnaA//hybG//hybB//frdC//phnG//hisM//nrdF//acnB//gntK//rplW//hybF//gltT//creC//rrlH//cysN//rpsF//artI//arcZ//mdh//oppD//cheB//
NarP-Phosphorylated_pos	fhlA//srlR//purA//malT//nrfC//moaA//gltV//fimF//fhuF//tar//dcuB//miaA//lpxB//caiF//phnE_1//znuB//yhjA//galP//rrlE//rutD//lpxD//nac//rrfA//serA//uxuB//motB//yibN//fecC//allE//aceE//moaB//fliZ//
NhaR-Na+_pos	rbfA//cueO//gabP//fumC//fixA//
NikR-Cd2+_neg	epd//zraS//dppD//ygaC//appA//nuoG//
NikR-Co2+_neg	gntK//feaR//nrfF//rutA//ndh//nuoC//
NikR-Cu2+_neg	argB//fecD//eda//iclR//tomB//carA//
NikR-Ni2+_neg	mltC//hha//csgF//prpB//hofC//creA//
NikR-Zn2+_neg	glgA//rrfG//ileT//metF//ugpB//tonB//
NrdR-ATP_neg	grcA//artQ//mlc//cheW//speC//ssb//cadB//uidA//entH//
NrdR-Zn2+_neg	cyoC//truB//icd//alkB//gspJ//ycdZ//yecR//ydhU//nirB//
NrdR-dATP_neg	fes//idnK//ompT//yeiB//ygeA//ugpC//fiu//casB//rcnB//
NsrR-[2Fe-2S]reduced_neg	glnB//dpiA//arcZ//argP//tdcF//yoaG//ygeA//putP//prpC//glpK//marR//glcC//ynfE//fadD//tsgA//gcd//malQ//tauA//tfaQ//caiC//gcvT//yeiB//ada//gspJ//ydiU//pck//malE//hyfH//nuoA//rutA//yegH//fepA//hisJ//rnpB//narQ//aldA//hyaA//yeaE//dppD//hisQ//csgA//entF//marR//abgA//entD//lsrF//ccmA//ppiA//katG//serC//nuoE//mhpT//nlpD//ydfN//pheT//hlyE//dppB//dppB//ompA//aaeA//argB//phnH//sbmA//cysI//napH//lysA//ftnB//grxD//pgpC//ung//fecI//gabT//artM//
PhoB-Phosphorylated_neg	cyoC//livF//fixC//rrlB//flhD//rutC//yaeQ//livF//entC//napF//yfiP//glnG//metY//
PhoB-Phosphorylated_pos	sdhA//bioB//rpsI//glpR//mtlD//hyaD//rnhB//ileU//dsdX//dcuD//efeU_1//purF//metE//lolB//pgpC//psiE//gcvH//cstA//phoQ//ilvE//livG//hydN//efeU_1//yaiW//hflX//cspE//bioD//sufD//gatD//ftnB//dppF//malT//ilvB//xylG//dnaA//fucU//hisQ//mhpT//pdhR//puuE//narX//bglG//fepC//ynfE//dppC//araC//nrdI//phnH//napH//rseB//acrD//rrsD//narK//
PhoP-Phosphorylated_neg	ybjG//cvpA//ydhU//mepH//rplB//alkB//xylH//moaB//eda//dpiA//ybdN//
PhoP-Phosphorylated_pos	uof//cusF//xylG//fdhF//argA//cyoB//hybB//dadX//fucU//melR//polA//cas1//hypF//manX//dps//nuoH//glnL//ileT//ydhV//yegH//hcr//avtA//treB//ilvB//mutY//fadJ//frc//moaD//nuoE//yeiP//appY//ybdZ//narX//rrsB//malZ//ychH//fnrS//fimG//creC//infB//cysU//iscU//hypB//fdnI//pdeF//narH//rutC//bglG//ampD//
PrpR-2-methylcitrate_neg	uxaA//
PrpR-2-methylcitrate_pos	cdd//mipA//pgaB//xylA//
PurR-Guanine_neg	ogt//caiT//argA//fnr//dppB//arfB//cas1//dusB//amn//dnaN//yhjC//prpD//nanM//rhaD//cysN//dnaN//yeiB//ascF//araH//nlpE//hflK//manY//uxaA//gltT//cysP//dapB//mlc//hypA//mdtA//metB//phoA//abgA//allC//rnlB//
PurR-Hypoxanthine_neg	hypA//bhsA//nrfD//frdC//phoE//nrdA//artQ//trmD//amtB//fucU//marB//glgX//fecR//hemL//bioA//pgk//nrfD//moaC//cysK//fecB//exbD//kbl//rseB//srlD//hisJ//malF//tfaQ//ydfH//nikB//norV//tdcE//argG//norR//idnR//
QseB-Phosphorylated_pos	fimH//ydhV//frdA//tsr//
RhaR-L-rhamnose_pos	ydeA//mepH//
RhaS-L-rhamnose_pos	rbfA//hcp//malF//
RstA-Phosphorylated_neg	cheW//hflC//rhaR//trpR//cysB//
RstA-Phosphorylated_pos	comR//mcaS//cysG//lysP//gspE//
SoxR-[2Fe-2S]3+ oxydized_neg	metE//
SoxR-[2Fe-2S]3+ oxydized_pos	lldP//paaD//folE//
TorR-Phosphorylated_neg	sucB//
TorR-Phosphorylated_pos	hcr//fnrS//nirD//ybdZ//mtlA//motA//ugpE//truB//phnM//
TrpR-Tryptophan_neg	dmsB//gntK//citX//ybdN//bamE//cheR//ada//narH//icd//nikB//ampE//arfB//
TyrR-L-tryptophan_neg	ygiB//pdeF//cysB//rhaS//mcaS//aaeB//alkB//rpsI//allC//nagB//slyB//mdtC//
TyrR-L-tryptophan_pos	hflC//rmf//rrfC//
TyrR-Phenylalanine_neg	casD//moaC//ampD//hypB//glgS//argF//malS//rplM//rplV//trpE//rstB//tyrA//
TyrR-Phenylalanine_pos	mglC//metA//xylF//
TyrR-Tyrosine_neg	hofO//narG//malS//srlB//entH//comR//melB//rstA//sufC//mhpF//alaA//aceA//
TyrR-Tyrosine_pos	hybO//flhC//araJ//
UhpA-Phosphorylated_pos	rpsQ//
XapR-xanthosine_pos	ygeH//uhpB//
XylR-Xylose_pos	lldR//tsaE//manX//nuoK//uxuB//rseC//
ZntR-Cd2+_pos	hemL//
ZntR-Hg_pos	aroH//
ZntR-Zn2+_pos	uhpB//
ZraR-Phosphorylated_pos	ptsH//gltB//fabZ//
Zur-Zn2+_neg	yfbR//moeB//ebgC//fur//rplV//cusS//
