#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	feoB//paaE//
CRP-cAMP_pos	sucC//glnG//psiE//hybF//uxaA//gnd//lysC//cynT//pgpC//dps//rrfA//iraD//phnE_1//cadA//cysB//gyrA//pstC//hybO//cysH//abgA//gspG//codA//rpsQ//avtA//ugpC//rplP//exbD//malK//preT//aidB//hflD//pitA//aroG//rplT//casD//ssuD//iscU//lldP//malF//cyaR//srlB//bdcA//ilvX//rnpB//sbmA//uxaC//ydeJ//guaB//rybA//rrsE//mdtB//copA//hypE//hofN//hybC//dnaN//cusR//yfaE//hybG//uhpC//fimF//rrsE//dsbA//dkgB//nrdD//astB//rimM//gutQ//nirB//nuoI//ulaB//nohA//lldP//lysO//tfaQ//cusB//gdhA//sufB//borD//argE//metI//rcnB//yhfA//nagE//ccmB//trxA//marA//caiB//lolB//gadC//secB//znuC//bcsA//gabD//fecA//yfeW//malI//glpF//preT//cyaR//umpH//rutB//ubiG//fliZ//prfA//rprA//livJ//garR//carB//cysW//rseA//lhgO//pepT//hofP//hflK//alaS//tpx//phnG//ybdN//cheA//rpsP//napH//prpE//xdhA//csiD//carB//agaV//trg//aroM//glpK//fepD//ydiU//hybA//gltD//xylG//efeU_2//pstC//ugpB//yaiW//garL//gcd//pyrD//yfdX//nagB//dppB//trpE//ompX//fdnH//xapB//fhuE//fliA//nrfB//rutB//torD//aroP//casB//mhpR//caiE//ugpC//gpmA//rseC//ppiD//cytR//ynfG//nikC//creA//tomB//ileU//nupG//metE//grxD//cysA//mglB//ynfH//rpoH//casC//entA//fnr//lysA//avtA//cpxR//casB//nmpC//rbsR//ynfK//cyoA//trmD//fucU//ydhV//cirA//lamB//paaH//rhaS//lysO//cheB//serC//cydA//ychO//ynfG//torR//metY//gutQ//tktB//idnT//malZ//ppdD//yeaR//fepC//folE//atoB//malZ//metQ//hycD//malE//metK//bcsC//tktB//hofO//napB//ldtB//dsdX//cysH//bglF//ysgA//grxD//sdhA//nuoN//ilvC//alaU//tsx//dppA//hdeA//glgS//ybiT//mpl//focA//fixC//hofN//arfB//artI//gapA//lysA//gspH//phnE_2//dnaA//napA//fepC//frdB//nirD//ccmD//citC//baeR//guaB//cyoC//sroD//ilvN//lldD//fadJ//glrR//glpG//rimM//trpA//phnC//purE//citX//evgA//gadB//dadX//yhjC//nusA//pnp//sxy//ybdN//ychH//moaA//hlyE//cytR//ychH//hycE//rrsA//hyaE//purN//mtlD//evgS//cysI//ulaA//moaB//nrdF//nrfD//uvrA//aaeA//nanC//caiE//ydeA//xapA//mntH//pck//ung//creC//motA//metB//udp//glcB//mtr//yedX//cusB//murQ//exbB//bioB//xseA//fixA//dmsC//trpE//chiP//cydA//dnaN//znuB//citF//cpxA//rprA//caiB//cdd//argP//napF//casD//rplS//narG//caiD//ulaC//malP//uidB//nrdB//nanS//rrlD//mgtA//tehB//chiP//xylG//pgpC//gltW//ilvG_2//nfuA//tehA//sbcC//ydhY//rrfD//purK//feoA//pnp//osmC//hyaD//hypD//napA//nrfA//dps//rbsA//srlE//purF//dpiB//serC//yfdV//arcZ//ygiC//paaJ//paaB//fau//cysW//yfbR//uxaC//amn//rplB//comR//galM//rybA//dppF//norW//cysA//yfdV//tonB//idnK//pheM//glpK//tdcG//yaiA//mhpR//glnG//sufE//xseA//gnd//lysA//rbsK//uidC//citD//gatZ//mhpD//gntT//csgG//atoA//norW//hpt//adhE//yeiP//nirD//dapD//speA//gspM//dgcZ//cvpA//mpl//narJ//purL//sufE//abgA//oppF//rbsK//yhjA//yhfA//cynX//nuoE//paaZ//betB//mdtD//nac//ugpC//paaB//hypF//napF//frdB//glnB//
ChbR-Monoacetylchitobiose-6P_neg	speB//betB//fixA//chbG//cysM//nupG//
ChbR-Monoacetylchitobiose-6P_pos	ssb//nrfC//metA//mtlD//yeaD//ftnB//
CpxR-Phosphorylated_neg	fbaA//ilvC//nrdD//rrsH//aceK//tpx//argB//argR//trpD//malT//mntH//cyaR//ptsH//hmp//phnD//cysA//appA//cspD//gltA//mdtC//csgA//entC//flhC//araD//
CpxR-Phosphorylated_pos	yeiW//focB//caiB//alaU//fixX//hlyE//rrlG//safA//gcvT//torD//tdcF//ygeA//hyfI//nikC//grpE//livK//rimM//melA//glpT//znuC//xylR//zraP//tdcD//nupC//hypB//feaR//trpE//nuoJ//cyoA//acrB//ftnB//cusR//dsbA//prfA//fumC//rybA//cyaA//ydhT//rnlB//baeR//ubiC//puuC//cheZ//stpA//hycD//
CreB-Phosphorylated_neg	amn//puuD//bhsA//
CreB-Phosphorylated_pos	uxaA//bcsC//hofO//fhlA//marA//yfeW//
CueR-Ag_neg	ssuB//acrF//envY//cusA//malY//
CueR-Ag_pos	napG//tdcC//
CueR-Cu+_neg	emrY//ccmG//mhpA//nuoC//tpx//
CueR-Cu+_pos	nac//truB//
CuerR-Au_neg	citD//gltF//garR//rrsC//mgrB//
CuerR-Au_pos	rimP//fhuF//
CusR-Pasp_pos	rstA//nagB//ykgM//purK//lrp//rpsR//comR//lsrK//tktB//dadX//creB//tsaE//
CynR-Cyanate_neg	xdhC//
CynR-Cyanate_pos	garP//ccmA//xylR//
CysB-N-acetyl-L-serine_neg	treR//pnp//phoR//lldP//artI//baeS//aceK//
CysB-N-acetyl-L-serine_pos	sucD//ilvG_1//fadD//artM//rcnB//mntH//ulaE//entA//purF//dapD//malQ//glpR//rpsP//fbaA//thrS//aidB//uxuR//murP//pstA//fepA//cysW//puuA//ispE//
CysB-O-acetyl-L-serine_neg	cirA//rstB//aroL//gspH//rplP//cyoA//ydeJ//
CysB-O-acetyl-L-serine_pos	yhfA//ldtC//glpR//preT//rstB//uhpA//argR//ccmG//carB//cpxA//astA//ykgO//hyaF//exbD//hyfB//casC//acnB//ryhB//oppA//rhaA//ydeJ//fes//mgrB//pgaD//
DcuR-Phosphorylated_pos	rbfA//trxA//xylF//glpX//modA//rstA//malK//cbl//rpsF//
DnaA-ATP_neg	phoH//gatC//yfdX//prpC//ilvD//ybdZ//lrp//ilvG_1//cyoD//ccmE//ascF//
DnaA-ATP_pos	acnB//nmpC//rutE//leuE//ihfA//phoH//yaiA//
DpiA-Pasp_neg	cynR//
DpiA-Pasp_pos	gutM//ompC//tyrB//rimM//ubiG//dps//bacA//nagA//argF//hypF//
DsdC-D-serine_neg	dpiB//
DsdC-D-serine_pos	hyfE//moaD//
EvgA-Phosphorylated_pos	napC//degP//tdcC//mhpR//yeiL//galK//arcA//gcvT//prpB//yqjA//yjcH//hycE//yoaC//glnB//dgcZ//
FNR-[4Fe-4S]2+ reduced_neg	cysP//osmC//malK//yeaE//iraD//hybD//speB//arcZ//erpA//rpsF//fimH//fimD//fucI//gltW//ulaB//hisP//pdeF//napB//garK//metI//appA//metY//zwf//fadE//gspC//pta//hfq//leuE//ydhV//rbsD//rpsC//focB//mglA//tauD//fis//chbF//glcE//cusA//rnlA//yecR//nupC//nanM//dsdA//phoH//mdtD//mhpB//glcA//cusC//rrfG//nupG//rbsK//pagP//cusF//rrsD//ykgO//alaA//sucD//yoaG//mgrB//ydhX//nlpD//cysA//speC//fucI//ccmD//ryhB//rrfA//cadB//nirC//hybB//rpsC//leuE//acnB//phnM//malP//iraD//glpX//oppC//rnpB//bglB//ccmH//ackA//cysG//preT//fixC//fixB//rbsB//cas1//hyfF//nrfE//ccmC//norW//cspE//chbG//mutY//moaD//iscU//oxc//casD//rhaB//lsrR//prpB//miaA//hyfE//ppdD//alaU//tpx//purC//yfaE//rplV//ydeJ//gabP//ileT//rplI//ccmA//dcuS//slyB//ccmB//hofB//bioA//
FNR-[4Fe-4S]2+ reduced_pos	amn//ugpA//chbF//ileT//tap//xdhA//fecI//gpmA//nusA//nac//tcyJ//ompC//csgF//acs//xapA//hyfJ//fucK//bamE//fimD//xylB//nikA//kbaZ//phnI//uidA//hypE//ycjF//malK//ydeJ//fimE//feaR//ccmB//ampD//rpoS//tauD//nirD//hyfD//glgB//ccmA//manA//gltW//bioB//cheR//hyfA//atoE//dnaA//trpA//comR//phnG//hybO//ansB//aceA//cpxR//sufA//argR//atoA//ygiA//dapB//fnr//ung//ybjG//cysJ//yeaD//sodA//ykgO//rpsF//rrlB//aaeB//aceK//caiF//gyrA//argI//mipA//guaB//phnJ//argE//dcuS//allC//cpdB//idnR//codB//ssuB//hyfE//cysP//hyfE//lhgO//tap//metY//rpsO//yhiD//cynT//napC//secB//narK//glpF//nuoI//ydhT//adiC//bdcA//emrY//entH//paaJ//phnP//skp//kbaZ//hybG//cyoE//sbcC//gcvP//rseC//aldB//araD//dsbA//nrdD//ompX//lsrG//rpsS//hyfR//atoE//hyaE//kbaZ//cadB//purB//sufC//argE//mgtA//hslJ//miaA//yidQ//glnD//sodB//glcC//cusA//metY//cysH//rprA//yrbL//iscA//citX//deoA//araJ//hybF//cheW//frc//ydeP//fhuD//argI//chbG//amiB//hybG//ynfG//rplC//ftnA//rpoE//borD//ydbD//envY//gcd//purB//bcsB//fliZ//cadA//rutF//codB//infB//rplV//hcp//zraR//srlA//hyfA//hlyE//chbR//narK//hofC//ascF//prpE//mscM//mtlA//yojI//yjcH//nrdG//katG//cysM//rrlD//yecR//rplD//tdcD//araB//cysC//zraP//dcuS//hyfC//uxaC//purA//bhsA//yojI//sodB//bglF//ydhT//evgS//narQ//gadC//speA//
FhlA-Formate_pos	gutM//phnM//prpR//aldA//fucI//ydhV//codA//rseB//asr//hyfD//rbsD//ydeM//yqjA//garP//rrfF//malY//lsrK//cheZ//lacI//garK//feoB//ykgM//rplB//ilvD//hybG//mglC//hycI//lpd//folA//gcvP//
FucR-L-fuculose-1-phosphate_pos	erpA//paaZ//prpC//glnK//sufD//appA//ycdZ//
Fur-Fe2+_neg	sucA//feoB//ndh//rplC//truB//livM//pyrD//rrfH//zraS//fes//hlyE//yoaG//rpoE//gspH//talA//iraD//sdhD//nuoB//ccmG//ahpC//tnaC//rbsA//hflD//nikR//ftnA//flhD//abgA//gatD//pepT//puuD//gspF//xseA//gcvH//rrsA//ilvL//aceK//ssuA//mdtC//livK//puuA//betI//oppD//gatB//glgB//bhsA//ydhW//aaeA//metC//ydhX//mglC//argB//trpC//hemA//astE//iscA//malQ//bglF//lsrF//fadJ//nuoG//cyoC//yggX//prpB//mepH//adiC//rstB//nirC//trpR//trpE//malY//fecA//citC//alaA//nagC//crr//metR//hypD//yaiW//narJ//yegZ//fur//rbsD//fadI//araJ//malI//galK//gspH//pitA//csgG//sdhB//cheA//araD//uvrA//metN//glcC//gltW//sroD//aaeX//cysD//agaW//oppD//galM//citE//fecI//fixX//cynT//tyrR//amiB//lldR//ccmA//hypF//hyfR//ompF//appX//bioA//ydhY//phoQ//gspK//moaE//mtr//dcuB//lldD//xylR//gspL//
Fur-Fe2+_pos	gltU//bacA//ulaA//puuD//gadB//rrfC//fdnH//dapB//phoR//rpoH//yeaR//dcuD//cysJ//allC//hupB//gspG//thrS//trg//aaeX//nlpD//purF//hyfC//hybD//psd//fhuA//
Fur-Mn2+_neg	ulaA//uidB//aaeX//rrlB//cvpA//hofO//dsdC//adiC//fimC//creA//tehA//puuR//pgaB//iraD//dppB//cheZ//lldD//metA//mglB//lpd//ompA//artM//aceF//ychH//gltV//idnR//hyaE//gcvT//nuoJ//csgB//rrsG//gatC//lsrF//argP//mzrA//pgpC//cydB//puuC//slt//chbF//rseB//artQ//creB//arfB//narH//hycH//glnA//caiA//glgA//alaU//alkB//phnE_2//fumA//sodB//hisQ//rplD//dctA//ulaF//rimM//fhuE//iraD//phoR//ybjG//entS//sohB//ivbL//glcE//glpX//znuA//adhE//uidB//narL//tomB//erpA//cadC//mutL//ompC//nrfG//betI//fepE//hupA//yfdE//ilvC//oppF//slt//rrsB//melR//ileU//adhE//galS//ygbA//znuB//priB//oppD//bcsA//ybiT//fhuE//artM//ccmG//fadE//pncB//fis//cpxR//moaD//moaB//nrdF//argT//nuoA//gltF//speB//proP//ynfF//astA//uxaC//hha//prs//speA//atoA//xylA//ydhX//tyrR//ccmD//araJ//exbD//
Fur-Mn2+_pos	malF//purE//malY//psiE//phnN//codA//focA//argE//dppF//deoD//ileT//hyfD//hisQ//ugpB//glrR//tadA//ilvG_2//dppA//pgaC//hycA//tauA//nrfA//sdaA//hlyE//caiT//
GlcC-Acetate_neg	glnL//
GlcC-Acetate_pos	evgS//rseB//lysO//evgA//ldtB//cirA//
GlcC-Glycolate_neg	dmsD//
GlcC-Glycolate_pos	yaeP//uhpT//srlD//ydhV//rpmC//ihfA//
GlrR-Pasp56_pos	alaA//
IclR-pyruvate_neg	pyrD//yeiW//dppF//dps//
IdnR-5-ketogluconate_neg	marB//fixC//cheB//
IdnR-5-ketogluconate_pos	allD//pdhR//nrdD//argA//ugpC//
IdnR-Idonate_neg	rrfB//fliA//rpsC//
IdnR-Idonate_pos	cadA//rutG//allC//mdtD//mhpB//
IlvY-2-acetolactate_neg	srlE//
IlvY-2-acetolactate_pos	hisP//
IlvY-Alfa-acetohydroxybutirate_neg	moaB//
IlvY-Alfa-acetohydroxybutirate_pos	nikE//
IscR-[2Fe-2S]1+_neg	ileU//yaeQ//ybjG//paaH//csiE//dsdC//torC//rrlG//ampE//metN//fis//cysJ//napG//mltC//fimC//fabZ//fhuC//tcyJ//glpQ//paaH//glpR//katG//uxuB//nanK//feaB//gcvP//nfuA//creB//fau//fadA//
IscR-[2Fe-2S]1+_pos	tauC//ihfA//purK//marB//caiC//ygiA//rplV//aidB//kbaZ//caiA//nrdA//
LldR-L-lactate_neg	glnA//yjjZ//dppB//
LldR-L-lactate_pos	gltD//ygbA//yaeP//
Lrp-Leucine_neg	rhaR//alaU//dppD//rbsC//grpE//hupB//cusS//cyoB//pgaC//rhaS//truB//ptsI//trmD//narX//torR//rbfA//ynfG//fixX//yedX//hyaF//rseC//lsrK//rplW//alkA//thrV//moaB//fucK//nupC//cyaA//bamE//rybB//serC//fhuC//araC//arfB//frdB//purB//chbB//spy//sdhD//tauB//aspC//yfbR//yaeQ//malX//cysK//adhE//ydiU//sufS//lpxA//dsdA//galS//trg//hdeB//ssuC//upp//citG//ampE//fhuF//trpA//sroD//fadA//artM//speA//srlR//ugpQ//uhpC//yecR//fecD//baeS//sbcC//phoH//srlA//glgP//kbaZ//
Lrp-Leucine_pos	mhpT//codA//ihfA//purA//aceA//amn//creD//pgaC//ilvD//csgF//sucC//ydeM//torD//fau//srlR//gcd//ileU//metN//ybiT//fecR//glgC//modB//ilvG_2//hflK//lpxA//pdeF//purN//yjeF//fecE//sucD//araA//actP//ilvD//oxyR//hyfJ//
LsrR_neg	nac//gatB//citX//tdcF//hybF//rutE//udp//glnA//rhaR//
MalT-ADP-Maltotriose_pos	yggX//cyoA//lrp//chbB//phoU//rpsS//lsrR//ulaF//rrsE//cheW//
MalT-Maltotriose-ATP_pos	gutM//fis//ugpB//glpB//purF//mglB//aroL//glyA//secB//aidB//
MelR-Melibiose_neg	uvrA//hybO//lacA//
MelR-Melibiose_pos	aidB//rpsJ//phnG//
MetJ-S-adenosylmethionine_neg	creD//argH//melR//caiC//truB//ygeA//mzrA//glnB//pgaA//idnO//safA//ccmH//ydhU//mhpR//dpiB//
MetR-L-homocysteine_neg	dadX//fdnG//
MetR-L-homocysteine_pos	narL//rutC//yccA//gltU//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	ugpQ//chiP//dusB//hemA//nrfB//rrfF//
MhpR-3HPP_pos	ssuA//fiu//yoaG//aldA//pta//dmsA//
MntR-Cd2+_neg	aer//folE//manY//pgaB//
MntR-Cd2+_pos	gnd//
ModE-MoO42-_neg	lsrB//yjeV//ebgC//glpE//ydeO//cas2//flhD//hyfF//pstS//modB//ydeN//nrdE//rutA//trpE//carA//
ModE-MoO42-_pos	atoA//tcyJ//yjiY//chbA//oppF//rcnA//tsx//leuE//nuoG//cheW//oppC//ompW//metJ//mdtB//yhiD//nuoL//mdh//cysI//sdhB//citC//crp//malT//nrdB//gltB//glmY//gnd//glpD//nuoJ//aroF//cusF//phnI//
NarL-Phosphorylated_neg	ulaD//araJ//fimG//phoH//rrlA//lpxB//rrfA//trpL//rplS//sucA//evgS//ptsG//yjcH//hflD//rpsP//sbmA//livG//lldR//gltW//ysgA//znuC//emrK//argT//purK//sufA//cyaA//ldtC//citE//tnaA//ldtC//safA//rnpB//mhpR//purL//narG//envY//manZ//purA//bioD//cydC//torD//ulaA//trpR//cydB//ebgA//entF//ileU//ydfH//fadA//nrdF//tyrP//tehB//lldR//idnT//agaW//pgaB//ccmC//ycdZ//ygiB//gspJ//malT//hha//priB//rrsC//fucU//csgA//cheZ//idnO//alaT//dcuD//ybjG//ccmA//glgB//appY//hmp//hycG//rplD//fadJ//yfdE//gcvH//glpA//feoB//napH//xylA//spf//cydB//
NarL-Phosphorylated_pos	rbsA//ccmG//malX//glgP//chbC//folA//napF//rof//borD//treB//glgC//galE//grpE//slt//fadA//chbB//glgB//nirC//cynS//znuA//rutF//aaeB//ulaC//mtr//nuoN//fepC//lpxA//fdnG//zraR//fecR//zntA//gltV//cynR//cysM//ndh//fbaA//dkgB//metN//mscM//araD//hybA//glnG//nanE//bcsA//ilvC//hyaA//
NarP-Phosphorylated_neg	hyfI//rbsC//rhaR//glpQ//appB//hdeB//hflC//fepA//argC//citE//ackA//tap//katG//yjeV//gltA//exbD//ilvG_2//zraS//yneM//hypC//gltW//sdaA//nanC//malZ//fdnI//hisQ//astD//glgA//uvrA//priB//nrfB//tauA//ychH//
NarP-Phosphorylated_pos	mhpR//trxA//rpoS//cas2//prpB//cysB//bioC//ydhT//ompW//idnT//ccmA//phnP//sbcD//mdh//mipA//oppB//tktB//ndh//truB//fepC//pgpC//serA//prpD//yqjI//manY//nrfF//cysI//dapB//gyrA//nanM//nohA//yjiY//
NhaR-Na+_pos	yhjA//malM//flhC//gltB//hycB//
NikR-Cd2+_neg	trpR//glgP//cysU//cysH//araA//nohA//
NikR-Co2+_neg	phnF//narL//flhC//cdd//ynfH//atoA//
NikR-Cu2+_neg	nrdI//borD//fdnG//yegZ//iraM//puuE//
NikR-Ni2+_neg	csgG//cysG//argD//focB//cadC//phoR//
NikR-Zn2+_neg	nanS//sufB//motB//putP//hupA//xdhC//
NrdR-ATP_neg	yfdV//metN//exuT//lolB//csgF//rpoS//evgS//gspK//trxA//
NrdR-Zn2+_neg	cadA//caiE//epd//rplW//entF//lsrF//astD//hofN//fecA//
NrdR-dATP_neg	nikR//lacZ//ydhU//pyrC//emrY//artI//dcuA//narI//yoaC//
NsrR-[2Fe-2S]reduced_neg	icd//ilvE//oppC//dnaA//prpR//frc//ebgA//araC//creB//tauA//nrdB//metL//gspF//metA//rrfD//fhlA//oxyR//thrV//fdnH//rpsP//cydA//ulaF//sbmA//phnL//bamE//rpsI//fecE//adiC//purN//tsgA//hypF//gatZ//fecA//lsrF//nrfA//narG//metI//thrS//idnK//iraM//evgS//ilvG_2//rnpB//melR//bioF//ileU//rrsH//alkA//dsdX//nuoL//gspJ//udp//agaA//asr//gabP//emrK//hybG//napB//motB//appC//chbG//sbcD//rpsO//rutB//phnD//araC//hupB//nrdF//asr//lldD//ygeH//rplD//sdhC//
PhoB-Phosphorylated_neg	iclR//fucI//adhE//ssuD//nuoK//gpsA//glnK//proP//mgtL//fdnI//cysA//lacY//uxuA//
PhoB-Phosphorylated_pos	glcG//hofP//bacA//paaJ//ulaB//amtB//crr//zntA//bioD//gntX//fepE//astA//psd//cysC//lacY//cysC//lacY//rbfA//hofO//hyfE//folE//cynX//yfdV//glpR//entH//hyfI//ryhB//dppC//bcsA//mscM//metH//nuoM//lpd//appB//tauD//nagB//ogt//gspJ//rrsA//rrsG//rrlD//nrdI//hycF//fadB//mhpC//cysM//hypD//allD//ybiT//hisJ//nfuA//norV//yjiY//
PhoP-Phosphorylated_neg	ydhU//phnL//waaH//csiE//bglG//osmY//aaeB//dapD//mhpD//bcsZ//phoP//
PhoP-Phosphorylated_pos	livF//sbcC//pheM//gdhA//astD//fucU//rpsF//moaC//ygiC//bamE//caiB//yjeV//dctA//tyrA//ileT//bioC//rpsC//ftnA//nikC//phnI//lpxA//dpiB//ybfN//yiaJ//bcsA//gspK//tnaA//gatZ//fadE//ilvI//sdhC//cas2//kbl//focA//dapD//mcaS//dppB//infB//caiB//nagA//aldA//entF//yciW//malZ//lldD//mgrB//rrlE//xylH//zraP//
PrpR-2-methylcitrate_neg	hycB//
PrpR-2-methylcitrate_pos	yaiW//ygiC//polA//cusC//
PurR-Guanine_neg	glpF//ydeN//ompT//mhpD//oppD//rhaD//spy//betI//yeiB//entB//ybdZ//pnp//hybO//sucA//acrE//ychH//oppA//hupB//fimG//cynS//putP//mntP//cyaA//galM//cpdB//cadB//tnaB//cysP//ubiA//tdcD//pdhR//ydeP//gabD//garR//
PurR-Hypoxanthine_neg	treR//nrdA//livG//rpsJ//hybO//phoR//cspD//araF//rrfG//rhaR//fimF//yccA//aaeA//xseA//phoE//codB//gadB//yhiD//gntP//ycjF//evgS//bioA//artQ//yfaE//cydD//caiF//ydhV//caiD//moaD//malM//pgaB//hisQ//nadC//gspD//
QseB-Phosphorylated_pos	fliA//nrfF//ulaB//rybA//
RhaR-L-rhamnose_pos	hdeA//nikD//
RhaS-L-rhamnose_pos	rimM//proP//cyoA//
RstA-Phosphorylated_neg	yiaJ//tomB//ccmC//bhsA//paaB//
RstA-Phosphorylated_pos	garP//tnaC//fimD//gpmA//gntU//
SoxR-[2Fe-2S]3+ oxydized_neg	cheA//
SoxR-[2Fe-2S]3+ oxydized_pos	gltU//serA//sdhC//
TorR-Phosphorylated_neg	tdh//
TorR-Phosphorylated_pos	araA//ppiA//aceE//ansB//cbl//sxy//glpG//paaH//oxyR//
TrpR-Tryptophan_neg	fucO//gutM//glnL//xylB//nanA//gltW//rrlG//malI//fepG//mltC//gntK//cueO//
TyrR-L-tryptophan_neg	atoB//fucU//livG//mhpA//argH//nrdF//lpxB//yaeP//paaJ//carA//creC//zraS//
TyrR-L-tryptophan_pos	nmpC//hofP//gltF//
TyrR-Phenylalanine_neg	entC//nirD//ftnA//dpiB//lacI//nrdD//ubiC//ilvC//codB//bacA//argH//prpD//
TyrR-Phenylalanine_pos	lysO//ogt//paaI//
TyrR-Tyrosine_neg	ygeH//cheZ//ssb//ykgM//mscM//fhuA//infC//ilvL//hydN//caiE//rhaA//paaK//
TyrR-Tyrosine_pos	ssrS//mglC//paaH//
UhpA-Phosphorylated_pos	araC//
XapR-xanthosine_pos	rpmC//fixB//
XylR-Xylose_pos	yhfA//cirA//pstC//oppC//ilvL//skp//
ZntR-Cd2+_pos	hflX//
ZntR-Hg_pos	glnD//
ZntR-Zn2+_pos	cpxA//
ZraR-Phosphorylated_pos	fucA//glpQ//ygiC//
Zur-Zn2+_neg	malP//murQ//gatZ//pstB//sdhB//lpxD//
