#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	hyaB//flhD//
CRP-cAMP_neg	gspC//ugpA//modC//aidB//argI//yjiY//phnM//nlpE//fdnH//uidA//csgA//cheA//tnaC//purC//tdcB//ssrS//nanA//amiB//xylF//aroP//ulaD//qseC//hybD//adiC//fecE//rutA//caiE//paaG//tnaC//ccmH//ccmG//psiF//hofC//yfeW//rmf//rrfA//csgG//xapB//araF//yojI//srlB//efeU_2//agaW//glcC//sdhB//puuD//trpR//garP//znuA//nagB//mutL//ilvC//purA//marB//sufB//fixC//hypE//leuE//crl//emrY//ydhX//tauD//ugpB//qseB//pheM//rseC//napD//acnA//puuA//fis//acrF//mepH//gutQ//upp//gspL//udp//mntH//ebgA//fecC//rrsE//ampE//yfaE//znuA//dppB//cusA//phnD//glnB//lpxA//hypB//leuE//gnd//speA//yfiP//mutL//fadJ//lysU//ldtB//hflK//alaV//rbsC//ompC//hyaE//rutG//hyaC//ampD//ftnB//leuE//ynfG//aaeX//yegR//pgaA//rdoA//psiE//ssuD//glnB//oppA//phoA//artJ//ybdN//phnD//idnO//map//metA//ulaC//rutD//hofM//marA//srlB//rplD//metB//xapB//ygiC//glpR//
CRP-cAMP_pos	malE//tehB//rhaD//kbaZ//araE//sdhD//tdcC//pflB//glcE//fnr//pflB//ebgC//araG//kbaZ//tdcA//fecI//ydeO//cyoE//iraM//hycF//caiB//hisJ//grpE//mzrA//ydhT//rnhB//marA//adhE//ilvB//pstB//rhaS//ydhY//bcsZ//codA//fadA//glnG//tdcD//hlyE//tdcG//argC//cyoB//acrD//dppD//ygiB//yjeF//rrsD//hcp//casC//emrY//cysC//rnhB//ytfE//pheM//trpB//rrlD//astA//yeiP//eda//citX//melA//treC//rpsR//nanT//grpE//nadC//glpR//uidB//phnK//metE//acrF//ubiG//cspE//oxc//fepB//rrlG//purR//dmsD//dkgB//allC//ychO//rrsE//cusA//cheW//metC//aldA//yeiW//ompW//torA//ptsI//fixX//caiA//uxuA//mscM//rbsR//fhuB//purD//proP//edd//atoB//nanA//pstB//znuA//mdtD//phnN//dadX//codA//nrdI//purE//ybjG//malQ//pck//argR//uhpC//rpsI//ileV//prpC//ebgA//csgC//torC//gntP//gspC//prpD//miaA//cydB//oxyR//truB//gcvH//udp//glcC//garR//psd//appB//pyrC//rrsC//rplP//ispE//aceE//rrsH//cbl//phnE_1//uhpC//rmf//nmpC//uxaA//glcF//pgaA//caiD//aroA//hflK//rpmC//moaD//ygbA//rrsH//appC//deoA//fdnG//alaS//cheY//rrsE//asr//hmp//uxaC//rrsA//ccmB//yebE//araA//malK//puuR//yneM//miaA//rrfD//feaR//argH//cysN//hslJ//uxaC//ilvN//ygiC//ldtC//fnr//phoP//nanK//chbA//lhgO//lsrD//yfiP//yccA//chbC//xdhB//ansB//araE//araG//ileU//glnG//ung//glcD//narG//cusR//torD//alkB//ileV//puuD//modC//dcuC//dpiB//torC//yhhY//tsr//uidC//amtB//creD//creC//mlc//appC//nanK//rnhB//bamA//hemL//dapD//gltT//mcaS//mhpC//pgaC//evgA//glnB//ycjF//gltB//actP//dapB//aceF//ahpC//pitB//tyrB//puuD//ybiT//idnD//rrsG//murQ//rdoA//csgG//bglB//xseA//ygeA//yeaR//prs//ccmC//thrS//ybiT//hyaE//ugpC//cpdB//zraS//dnaE//mhpD//citD//artI//fixB//yggX//hdeD//iclR//torD//livK//araG//ydhW//glrR//entB//csgC//norR//rrlH//hycE//fecE//hycG//hybA//qseB//narQ//cas1//rutE//caiT//talA//phnE_1//fepC//gltW//nuoF//hycH//argH//mtlD//zwf//livG//argP//sdaA//fimG//ybiT//sbcC//sbcC//yecR//pheS//deoA//hflC//citG//astC//gspK//cusR//ulaD//amiB//aroP//hupB//fhuD//malP//ackA//lsrK//actP//exbB//yggX//acrB//marR//gpsA//aceB//nagB//narK//deoD//uxaA//amiB//atoE//ydeM//aldB//mgtL//emrY//pyrC//talA//phoB//cydD//trpE//ybiT//dps//yrbL//malG//speC//rseC//serC//ssuD//garP//araJ//gspD//umpH//preT//rrlA//cysB//pyrD//slt//gutQ//rpsO//acs//rprA//dkgB//hyaA//glcE//ilvC//fadJ//oppA//dmsB//murQ//phnF//cheW//xylH//yegZ//tonB//astE//rpoS//hyfH//xapA//ppdD//exbD//xapB//metF//fucA//ynfH//leuE//gntT//glcE//gspE//ebgA//rplB//gntU//xylA//astD//appY//rpsQ//iscA//cysM//nupC//nuoE//metJ//nuoN//gcvT//rbsD//hdeA//ybiT//dcuC//fepA//glnA//aroH//modA//tyrB//hflC//appX//dcuA//yojI//ydbD//oxyR//ccmG//araF//nrdB//caiC//paaG//fbaA//rstA//pheT//nrdA//hycF//rpsF//osmC//ynfG//atoD//marA//glnG//rhaS//rpmI//rpsS//malP//
ChbR-Monoacetylchitobiose-6P_neg	prs//entE//hybC//bdcA//astB//cysC//
ChbR-Monoacetylchitobiose-6P_pos	gltB//frdC//trg//fadI//yojI//gltU//
CpxR-Phosphorylated_neg	ompR//rhaT//hslJ//betB//glmY//ada//alaS//galM//gabD//betB//cusC//phnN//mzrA//csgC//glpD//ivbL//glmY//bcsB//bcsA//betA//glmY//lacI//acs//rrsH//
CpxR-Phosphorylated_pos	phoQ//gspM//ompF//ydeA//metB//prpR//fucR//slt//pgk//focB//marR//psd//modB//motB//chbA//tdcD//araB//ydhU//acrB//gspL//gcd//xdhC//lsrC//glgA//galM//xylA//hycE//feaR//pta//tcyJ//ssuD//ileT//cpxR//feoC//spf//nac//cheW//csgD//yebE//hfq//nirC//tdcF//sufE//znuB//phnP//
CreB-Phosphorylated_neg	uhpB//hycD//paaC//
CreB-Phosphorylated_pos	envZ//cpxR//ftnA//ilvD//rimM//paaA//
CueR-Ag_neg	ilvE//livH//ompT//flhD//grpE//
CueR-Ag_pos	cydC//sbcC//
CueR-Cu+_neg	napF//cyoC//phnL//astC//purR//
CueR-Cu+_pos	metE//metH//
CuerR-Au_neg	srlB//baeR//gatD//iscU//cysC//
CuerR-Au_pos	malF//mgtL//
CusR-Pasp_pos	fepB//fdnI//nikA//lrp//grcA//mhpC//phnI//glpK//cydD//lhgO//ahpC//tyrA//
CynR-Cyanate_neg	narH//
CynR-Cyanate_pos	araE//gspH//nuoI//
CysB-N-acetyl-L-serine_neg	rimM//bioB//xylG//nuoJ//asr//hycB//rbfA//
CysB-N-acetyl-L-serine_pos	rpsQ//glnA//dusB//agaW//priB//ompX//mhpB//glnL//tpx//pitA//tehA//dppB//hyfC//flhD//rutE//ssuE//rplC//cynT//psd//rpoS//oppF//purH//metC//
CysB-O-acetyl-L-serine_neg	fabZ//soxR//chbB//oppA//ydfH//creB//rbsA//
CysB-O-acetyl-L-serine_pos	entS//hycD//astB//bcsZ//gspJ//cspD//hflD//glcB//trpL//fucO//rrlC//metK//araD//xdhA//ydeA//zraR//rrfB//ccmH//ogt//aceA//caiB//soxS//speC//rrsC//
DcuR-Phosphorylated_pos	fucI//rimP//lysU//metE//hybG//paaJ//mhpB//rof//aroG//
DnaA-ATP_neg	purK//dnaA//fadJ//yfaE//yfaE//dmsB//arcZ//mntS//degP//recF//ybjG//
DnaA-ATP_pos	katE//folE//pnp//fucA//yciW//dctA//fecA//
DpiA-Pasp_neg	gyrA//
DpiA-Pasp_pos	casD//puuE//metC//nrfB//nirB//fimG//yfdE//iscS//gspD//zntA//
DsdC-D-serine_neg	nrdF//
DsdC-D-serine_pos	xylB//dapB//
EvgA-Phosphorylated_pos	ldtB//rplB//sroD//entS//rpmI//hyfI//sucB//yhiD//ytfE//ubiG//exbB//nrdG//cyoA//ispE//mtlA//
FNR-[4Fe-4S]2+ reduced_neg	rhaA//manA//cydD//livG//dps//ydhU//moaA//deoD//idnR//tauA//phnI//icd//gspE//cysH//cysK//araG//tdcA//ybfN//rhaA//nagC//rrfC//speC//uxuR//fis//deoA//ilvG_1//gspK//glgC//ebgC//phnN//azuC//rcnB//nupG//malK//phnP//mgrR//skp//csiE//phnK//sodB//ptsH//phnM//metI//glpK//abgB//zraS//hofB//folA//gcvT//glcD//citC//ybfN//betI//bcsA//cysA//betI//ygiB//tktB//rplW//malM//fecA//treR//entF//oppC//asr//nmpC//nfuA//ubiC//flhD//dnaE//ybiT//csiD//mipA//slt//hflD//sufA//mgrB//fimF//gcd//frdD//ndh//dppA//rhaT//nirB//nuoI//yhcH//nanM//xdhC//glpA//araF//feoA//artQ//gatA//fucK//rseB//rpsP//mcaS//fhuB//cpdB//glnA//dgcZ//ygeA//argC//pagP//frdD//ydiU//katE//fadI//sucD//livK//rpsR//trpE//idnO//yhfA//abgA//rplI//grcA//astB//ydeJ//alaS//
FNR-[4Fe-4S]2+ reduced_pos	rhaR//rrlB//moaB//araJ//mntH//dadA//hycC//ackA//purM//frdA//feoA//ilvC//tktB//ydhT//oppA//cheB//mhpC//chbG//hycI//puuB//artP//codB//rpsC//purN//narJ//aceA//ppiA//rplC//glpQ//torD//treC//glgC//speA//phoH//mglA//garL//cynS//sufS//pgaC//hupA//creC//moaB//aaeR//fixC//ynfK//idnO//csgB//lysO//cynR//livF//uxuR//fecC//gltA//araH//frdB//hlyE//pgk//nanA//yhfA//uxaA//nupC//araG//livJ//glpX//fliZ//nanS//fis//nuoN//chbA//ynfE//metH//feaR//rpsF//alaU//paaD//soxS//lacY//envY//dsdC//rimM//livH//yegZ//udp//phnP//rpsR//cspE//ihfA//metK//rrlH//purH//tnaB//csgD//uidA//phoA//norV//cysP//edd//lysU//fadD//cspE//rybB//exbD//hypF//tomB//hycI//deoD//ilvH//prpC//gspE//gntT//torC//mhpB//citD//puuA//dppA//tsaE//dsdC//ulaA//modC//artM//fecB//sufC//phnE_1//cbl//alkA//purC//rrlA//torD//fau//cyoD//ugpQ//phnJ//cusC//rrsG//narH//nrdI//ysgA//lacA//lolB//rpsC//moaC//ycjF//gltF//skp//narK//lacY//rutD//bglB//galK//entB//ugpA//manX//lysC//ytfE//mhpR//fes//livF//hdeB//ssuE//sbmC//tdcF//nuoC//ydhY//mzrA//malQ//argH//ygbA//ydiU//miaA//ilvE//ydeA//zntA//chiP//mglA//sucD//sucD//casB//hpt//lacY//ulaC//rbsR//rrfB//exbD//paaG//tauD//deoA//paaZ//fecA//fadD//bcsC//melB//gltW//secB//glcB//narI//phnJ//amtB//evgS//tauD//ompR//argC//garL//
FhlA-Formate_pos	cheY//mscM//ssuC//cusS//pgpC//nrfE//deoD//metF//alaS//melA//glcB//melB//hha//tpx//nanE//ftnA//lysP//hisJ//dmsD//rutE//uhpT//cusC//mtlA//rnlA//dppB//mhpB//crp//ebgC//abgB//borD//
FucR-L-fuculose-1-phosphate_pos	serC//alkB//yegR//nikC//glpT//cysU//csgA//
Fur-Fe2+_neg	nrdE//livG//pstB//deoA//glpF//rrsB//exbB//osmC//sroD//ydfN//fimA//gabD//ynfG//pyrC//yciW//idnT//rbsR//rprA//envZ//puuE//rutA//glpD//cheA//adhE//glnD//hisM//dsdX//hslJ//moaA//livH//pagP//rutF//thrS//recF//ompW//yfbR//hybF//norW//csiE//cadC//metR//yjcH//efeU_2//ileU//aaeB//grxD//rpsI//pitA//amn//phoP//nuoG//tonB//ydeJ//hycD//metQ//araJ//feoA//nanS//fadL//csiD//rseC//gatB//treB//caiD//araC//nanT//betI//ldtC//csgC//aceF//ulaB//casE//soxR//oppF//lolB//hypD//srlE//putP//gdhA//nrfA//leuE//uhpA//puuP//mhpB//ubiA//cspE//ompA//chiP//hybB//gspH//aidB//hofC//ccmF//ybiT//uidB//feaB//argD//mhpA//citE//fhuF//livH//fadH//betB//puuC//norV//lacY//dmsD//ugpB//uxaB//xylA//tehA//priB//fes//fdnH//fadD//ppdD//motA//garP//fucO//pgaC//lldD//skp//yecR//fliA//
Fur-Fe2+_pos	gnd//allE//puuA//rnpB//rdoA//ubiA//puuC//nupG//prpE//gatY//yoaG//galT//fucO//citE//gntK//nupC//cydD//puuD//pnp//glcA//gspD//sucD//rybA//ccmB//creA//
Fur-Mn2+_neg	csgB//rstA//rrfD//xylA//gutQ//pheT//paaD//yfbR//paaB//yhhY//oxyR//hmp//lsrG//gspM//trpR//crl//trg//gspM//nmpC//mdtD//cysH//cheR//yjcH//ydhU//ftnB//mutL//paaJ//rrsC//creA//yqjH//fur//deoB//osmC//mhpF//ybfN//fhuA//mglC//pta//csgB//yjcH//torA//guaA//gyrA//carB//treB//phoR//nuoB//cvpA//ccmG//phnN//acrE//mzrA//artQ//napB//gadB//ygeA//yojI//gspC//cytR//hypE//aldA//pstC//ampD//agp//cadB//rrfF//ileT//rcnB//phnJ//nrfE//gspC//treC//talA//glgA//sufA//sucD//yebE//tdcB//gntU//ynfG//treR//tdcG//yfbR//rplT//aaeA//metN//pck//micF//sbmC//rpoE//bcsB//iraM//ccmB//rrfB//speA//ubiG//napA//raiA//gntR//fucP//yqjI//frdA//preA//zntA//lldR//ilvG_2//cadC//ptsG//ydhY//bioC//sucD//ygiC//rrsC//cas1//hisQ//lysA//sufS//katE//narH//dppC//ulaC//pitB//glcC//hupA//
Fur-Mn2+_pos	osmC//napF//glnB//mdtA//puuC//mzrA//csgC//mdtB//rrlD//rpsC//gspI//ompW//gabT//hslJ//glpE//lysA//fixC//uof//uxaB//moaA//hypB//ackA//fadE//nuoA//fecC//
GlcC-Acetate_neg	metF//
GlcC-Acetate_pos	zraP//lacY//gcvH//nlpD//ssuE//phnJ//
GlcC-Glycolate_neg	citX//
GlcC-Glycolate_pos	dcuD//gspD//glpF//frdC//ycdZ//napG//
GlrR-Pasp56_pos	ubiA//
IclR-pyruvate_neg	ackA//lrp//nrdD//pgpC//
IdnR-5-ketogluconate_neg	gspO//cytR//psiE//
IdnR-5-ketogluconate_pos	cysA//abgT//nfuA//flhC//tpx//
IdnR-Idonate_neg	hfq//cusA//fimD//
IdnR-Idonate_pos	hdeD//dcuC//norV//hofM//rbfA//
IlvY-2-acetolactate_neg	fimD//
IlvY-2-acetolactate_pos	ilvE//
IlvY-Alfa-acetohydroxybutirate_neg	ilvI//
IlvY-Alfa-acetohydroxybutirate_pos	yggX//
IscR-[2Fe-2S]1+_neg	ccmE//rhaR//zntA//atoA//hflX//lacY//ugpB//rrfG//mhpC//uidC//zraR//napB//tdcG//iscS//prpD//napB//dppC//agaW//iraM//gabP//gspH//nupG//mutY//aaeR//napB//purE//edd//aaeX//psiF//nikD//
IscR-[2Fe-2S]1+_pos	lsrC//bamA//pepT//tfaQ//yfdV//ugpE//araD//glpB//phoU//sbcD//ccmC//
LldR-L-lactate_neg	melA//dppF//zntA//
LldR-L-lactate_pos	ycdZ//cra//pnp//
Lrp-Leucine_neg	ykgO//phnK//rrlC//nanT//fecA//argD//yaeP//gspH//sdhA//avtA//nikB//nikR//pitA//lsrR//aaeB//yneM//mtr//trpA//secB//nagC//tolC//narG//malI//mepH//hisQ//mtlR//xylR//ygeH//paaC//arfB//phnP//ilvD//yecR//rplP//mscM//cynR//fhuF//waaH//gyrA//fucP//fecD//cysC//hypE//rimM//zraP//purE//uhpT//dppA//gltV//zraP//pheT//aroM//zntA//rrlC//yhjC//sbcD//lpxD//ybjG//yhhY//fimE//gspJ//agaW//feoB//rimM//gadB//deoD//pstC//deoA//phnJ//nuoB//ssuD//envZ//dppD//rutB//metF//
Lrp-Leucine_pos	yneM//idnD//ulaA//sufB//gatY//fimG//entH//pdhR//ugpA//aaeX//rrlB//cyoA//arcA//nadC//glpX//psd//fhuF//tehA//stpA//rnpB//rutA//nrdA//marR//bioF//crr//katE//guaB//rimM//zraR//mscM//exbD//cusC//exuT//ydhW//arcA//
LsrR_neg	gltB//entH//ssuA//napA//paaC//ydfH//rbsB//sufD//gspE//
MalT-ADP-Maltotriose_pos	mepH//hyfG//argA//deoC//tomB//zraP//torR//envZ//fhuB//purR//
MalT-Maltotriose-ATP_pos	ampD//cynT//fbaA//fecD//soxS//entD//kbaZ//hofC//gntP//creA//
MelR-Melibiose_neg	codA//leuE//napG//
MelR-Melibiose_pos	hybG//ygbA//dppF//
MetJ-S-adenosylmethionine_neg	ybiT//argC//idnK//glgA//hyfC//cheY//prs//glgS//marA//rdoA//acnA//csgD//gabT//upp//entH//
MetR-L-homocysteine_neg	ilvD//codB//
MetR-L-homocysteine_pos	garP//ccmB//serC//cadB//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	deoB//gspH//speA//ykgM//nrfA//ompF//
MhpR-3HPP_pos	pheS//prmC//pck//acrD//garR//paaF//
MntR-Cd2+_neg	dpiA//fnr//deoC//yegR//
MntR-Cd2+_pos	hyaA//
ModE-MoO42-_neg	yggX//csgE//chbC//dcuS//rhaB//astC//allE//argP//amiB//ndh//yhfA//ssuA//pstB//yjjZ//galT//
ModE-MoO42-_pos	cpdB//cirA//oppC//glcD//rplC//aroG//yhfA//glrR//glnK//acrD//napC//casB//fadI//puuR//rrlD//phoU//yfdE//paaK//eda//napB//safA//oxyR//glpF//envZ//deoC//pagP//xdhC//uvrA//waaH//rseA//cheW//
NarL-Phosphorylated_neg	fecA//glgC//nfuA//ahpC//fadL//cheR//rstB//tsx//citG//speB//argA//cas2//stpA//rpoS//xylA//nikE//ydfH//csgD//iscR//micF//rof//nrdH//artP//ilvN//ycdZ//hofO//chbC//nikE//codA//bioF//yaiA//dppC//srlD//ompW//paaA//dmsA//argP//qseC//hupA//ung//pncB//cysP//gltB//tehB//exuT//prpC//ppiA//ydfN//sbmC//glpA//dppF//artP//sbcC//lacI//pdhR//trpB//yqjA//yjcH//trpR//fucO//rpsS//ampE//argH//argR//phnO//bamE//glpX//purM//azuC//yhhY//pgpC//moeA//dgcZ//idnR//paaI//napF//tyrB//aaeB//nrdF//phnN//efeU_2//ilvY//cirA//codA//hyaC//dsdA//
NarL-Phosphorylated_pos	trpC//ydeJ//fucU//sufE//secB//rrfB//hflK//acrF//galE//napA//udp//ilvN//trpC//glpA//gspK//hdeB//yjcH//focB//paaD//modB//ampE//csiD//spf//dgcZ//citG//truB//uxaB//paaF//sohB//metC//csgB//mtlR//ycjF//ada//ebgA//cysD//argR//narG//efeU_1//ompT//creC//speC//modA//nanA//mtr//pitA//
NarP-Phosphorylated_neg	narX//tdh//hybB//purL//feoA//ybiT//ydeJ//argC//tolC//moeB//cheA//hycE//fepE//hyfF//micF//marR//mutL//aldA//araH//lysC//argD//fdnH//purM//yedX//yedX//tdcE//metY//casA//sufC//ynfK//narL//nuoE//atoD//
NarP-Phosphorylated_pos	fhlA//ompW//caiF//znuB//paaK//fimG//garL//arcZ//gapA//sbmA//yhjA//cysD//pheM//nlpD//fimC//hyfI//artJ//adiC//ada//paaJ//tcyJ//appY//trpD//xapB//rpoE//ssuB//yfdV//ascF//bglF//cysB//citE//nfuA//
NhaR-Na+_pos	yoaC//glpD//rpoS//pyrD//polA//
NikR-Cd2+_neg	ynfG//lsrD//rpsJ//carA//nmpC//gltU//
NikR-Co2+_neg	zwf//fucA//mglA//ygeH//galT//hydN//
NikR-Cu2+_neg	hmp//atoB//tsaE//uxuA//hyaE//mutY//
NikR-Ni2+_neg	spf//cpxA//aroA//tsgA//copA//tauC//
NikR-Zn2+_neg	pstA//ygiB//ompW//hypC//rbsD//rrsH//
NrdR-ATP_neg	phnE_2//nikA//dmsA//cysU//cysW//oppD//rplP//copA//citX//
NrdR-Zn2+_neg	yjcH//mntP//hisQ//glcB//katE//gltW//purA//moeB//caiA//
NrdR-dATP_neg	tap//glnB//atoB//ldtB//acrB//sufE//ptsI//uxaA//araF//
NsrR-[2Fe-2S]reduced_neg	garR//marR//ybiT//yeiW//glnK//murQ//malY//cheA//nanC//yqaE//sufD//galK//rstA//glgS//creD//glnD//ydeP//rimM//deoD//rutD//gspG//glgS//appB//rseB//glgX//aceB//ulaD//artP//fecD//hupB//glcE//hcr//ulaA//moaE//cydC//cusR//ccmC//osmC//hofO//rpsI//fhuA//tnaA//malZ//dgcZ//metF//citF//cusR//bioD//sufB//rpsI//nrdD//purN//ygeH//fabZ//hyfA//uxuR//mgrB//evgS//fucA//cheY//pck//dmsB//csiE//ulaD//speB//dmsB//metI//dcuS//tdcA//galK//gntT//rplW//argG//
PhoB-Phosphorylated_neg	csgC//trxA//treR//tsaE//ychO//glpG//cynS//torD//gspK//araC//aceK//phnE_2//adhE//
PhoB-Phosphorylated_pos	fau//entE//uof//cheW//cusA//pitB//rseC//norW//rbsB//hybA//nuoF//nrdF//metH//raiA//dctA//mhpF//yfdV//grxC//serA//rstB//hpt//metJ//talA//cysA//casB//deoD//hypA//pheT//phnP//nuoN//nrfD//atoB//rrfF//phnP//metR//lsrC//bhsA//nanM//ydeJ//entE//ydhW//fepB//phnP//phnI//hisQ//ssuA//metN//hofN//rof//udp//glnL//hybG//hycC//
PhoP-Phosphorylated_neg	livF//aroA//rpsQ//yhfA//gpmA//hdeB//ebgA//hyfF//gspF//sucD//metB//
PhoP-Phosphorylated_pos	entB//entS//tehB//trg//znuC//phoA//cdd//metK//soxR//livG//nfuA//yjeF//fucP//mtr//zraP//fbaA//narQ//arcA//nfuA//cspE//xapA//slyB//patZ//ygaC//ygaC//dppD//glgP//aidB//cysC//gltB//chbB//yegH//yfdV//bamE//osmY//fepA//yoaC//glnL//srlA//nanS//nuoM//casE//nikA//stpA//tdh//cadC//rplI//ebgC//prmC//
PrpR-2-methylcitrate_neg	phnE_1//
PrpR-2-methylcitrate_pos	sodB//dnaA//sucB//ybdN//
PurR-Guanine_neg	puuP//hyfG//leuE//eda//appC//fixX//nrfB//ilvL//tap//manY//hyfF//torD//galP//aroA//hycB//cysC//ebgC//rplV//argC//fhuA//creD//srlD//ptsI//mutL//mutY//fimI//trpA//ydfN//glnL//livM//yjcH//malE//tdcA//cheR//
PurR-Hypoxanthine_neg	rhaR//mzrA//ydfN//mltC//aroH//hypA//nanA//alkA//ycjF//hpt//rnlA//modC//yfbR//torR//phnO//purA//nuoL//rbsA//puuR//idnO//trpB//iscR//tdcA//gspL//feaR//bcsZ//trpA//nuoI//citG//ilvG_2//mhpB//ybdN//gntP//nuoK//
QseB-Phosphorylated_pos	fecC//glpB//ulaF//ilvC//
RhaR-L-rhamnose_pos	malI//gspI//
RhaS-L-rhamnose_pos	soxS//agaW//fumC//
RstA-Phosphorylated_neg	cusR//zraR//ssb//tyrB//gcvP//
RstA-Phosphorylated_pos	gutQ//nanM//dppF//fecI//nuoB//
SoxR-[2Fe-2S]3+ oxydized_neg	osmC//
SoxR-[2Fe-2S]3+ oxydized_pos	phnI//argG//phoH//
TorR-Phosphorylated_neg	codB//
TorR-Phosphorylated_pos	ulaE//manZ//arfB//nikB//ompW//yrbL//dadX//sroD//yhjC//
TrpR-Tryptophan_neg	copA//ompF//hycE//narL//rplS//gspK//aaeX//tyrR//ybfN//glnA//ygiB//ebgC//
TyrR-L-tryptophan_neg	oppB//tolC//napF//tdcA//trmD//argH//puuR//galE//casD//torC//frdB//sufA//
TyrR-L-tryptophan_pos	focB//fecI//nupC//
TyrR-Phenylalanine_neg	infB//uidB//artQ//yeiP//manA//gutM//murP//copA//rpsI//xylG//phnI//ndh//
TyrR-Phenylalanine_pos	glpX//hmp//znuB//
TyrR-Tyrosine_neg	mhpD//hybA//iscS//ftnB//nrfD//gadC//ulaD//ugpE//rrlA//znuB//mdtC//atoA//
TyrR-Tyrosine_pos	chbF//yedX//mdtA//
UhpA-Phosphorylated_pos	stpA//
XapR-xanthosine_pos	fumB//gutM//
XylR-Xylose_pos	dcuC//rplI//tehB//fimD//rplB//astD//
ZntR-Cd2+_pos	rplT//
ZntR-Hg_pos	gntT//
ZntR-Zn2+_pos	moeA//
ZraR-Phosphorylated_pos	lsrD//ycdZ//garR//
Zur-Zn2+_neg	sxy//malX//paaA//hybG//torA//ssuC//
