#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	casD//thrV//
CRP-cAMP_neg	ompC//rseA//iscS//abgT//thrS//fepA//rpsC//bglB//metN//metI//fadD//rrlD//mgrR//napF//yegH//rrsD//araE//lysC//ompT//trpE//malE//asr//gatD//idnK//ryhB//napA//trpC//ssrS//casD//mutY//allE//hyfJ//phnL//nikB//malQ//chbR//purH//tsaE//manA//gspG//gltB//exbD//cusB//hybD//sodA//pepT//puuA//galM//trpR//nagC//alkB//aaeX//yfeW//csiD//ynfH//ssuD//grcA//ppiD//cynT//fadH//ccmG//ilvD//nrdH//metC//rbfA//arfB//dkgB//ugpC//metQ//ydhU//ftnA//sdhC//livF//glpK//mhpB//pstB//hybA//ivbL//moaA//fadB//fumA//cueO//purL//micF//mhpC//rrsB//rrsG//dapB//astB//cysI//nac//csiE//aroF//rnhB//rplB//upp//hofC//nrfC//evgS//ygiC//ebgC//aaeX//ydfN//ssrS//glgC//feaR//serC//ygiA//galK//nrfG//puuP//pgaD//bioA//ilvB//fhlA//fadE//ybjG//ispE//ugpA//hyfG//uidB//ileV//gutM//rnlB//galP//gatZ//fepB//yjcH//nrfE//dsdA//allD//fimA//cadC//
CRP-cAMP_pos	ansB//casE//gntU//ssuE//abgB//sbmA//mipA//aroP//gspF//bcsC//hypD//acnB//glnG//dsbA//aldA//sucC//marA//phnL//sufC//mhpC//tyrR//aroP//glyA//purK//rrsD//grxC//glpA//cheR//marB//napB//mutL//hofO//entC//envZ//spf//ppiA//entC//lsrB//speB//narQ//osmY//feoC//ackA//dmsD//yoaC//hypA//araG//ppiA//xapB//dusB//cstA//rimP//glpB//ssuC//rrfD//modA//manY//rutG//hybE//fldA//hmp//dcuD//uhpB//rutE//xylH//gspL//ulaE//metC//znuA//trxA//tam//borD//frc//glyA//citD//rpsQ//ugpB//znuA//xylA//trpC//argP//nrdH//modC//fadA//ynfH//glcD//livM//puuE//appC//aroL//fecD//nuoK//gltT//nikB//purB//mtlD//rpoS//speB//fepC//yfeW//prpE//narI//tdcF//rrsD//rrfB//rcnB//bioB//ldtC//dsdA//rpmC//livH//narJ//prmC//aspC//marR//caiD//napD//betA//feoC//manA//fepB//iscU//xylA//puuP//garP//rnpB//hflC//sbcC//ydhT//yqjI//rpmI//sucC//lysO//pgaA//alaA//dpiB//purK//lsrD//melB//hyaB//fhuD//folE//lhgO//gltV//phnH//preA//spf//trpD//rhaS//cpxR//frc//metB//purD//cysJ//gyrA//glgB//glpE//fimF//dsbA//prpR//hyaA//cydD//hyaE//nirC//oppF//caiB//rrlC//artJ//hycF//rrsH//mtlR//artJ//cytR//artM//lsrG//lrp//trmD//creB//glpA//fes//putP//dcuA//ilvG_2//napC//tdh//prfA//nuoL//hflX//yeaR//lysU//hycB//ygeH//alaT//dppF//gspH//phnK//glgC//cadB//rpsP//tnaB//ilvG_1//ssuA//efeU_2//rrlB//pheM//hybG//yqjA//tauD//cysB//ulaF//bdcA//fepC//cpxR//guaA//phnK//ugpE//hydN//hisP//gcd//cysU//entE//grxD//rpoE//glnL//iraD//rpsC//ulaF//sxy//melR//crr//nuoA//gatA//gspH//lacY//puuC//dcuB//dapD//glcG//livG//dadX//norW//gadC//sufB//ilvH//glcA//deoA//bdcA//pitA//fepE//malE//gpsA//phnD//lsrD//hypD//entF//rplC//nanC//gntP//rybA//malX//lsrB//srlR//aceB//pta//paaE//aspA//narK//phnI//mhpC//fecI//rhaD//fadH//metH//mhpE//arcZ//zraS//mepH//mhpR//yqjI//mcaS//cyoC//ygiC//aroH//araJ//melA//paaC//cysH//pheM//modA//phoR//mdh//lsrF//crr//ilvN//cysU//hycD//ilvD//acrA//mepH//kbaZ//dppB//mdtB//lsrF//mipA//ycjF//rdoA//srlA//lldP//rplC//rrfB//appB//sxy//malY//idnK//dppD//puuA//exuT//yeiL//degP//tdcF//fimI//fimE//cysH//grcA//ydeM//malP//yrbL//appA//glnL//treR//xseA//ebgA//astD//oppC//gatZ//deoD//rbsR//fecA//gatD//cydB//uxaB//napC//exuT//ynfF//argB//fixX//cysK//nuoI//xapB//torR//dppF//ileV//nrfE//srlB//sohB//uxaB//cytR//pgaD//pdeF//aroL//gnd//mhpB//sufA//mhpF//aidB//glpX//spf//treB//fadE//mlc//astA//mgtL//napG//lldD//cadB//ccmB//fixX//gspD//rpoS//appA//yqaE//artI//gcd//cdd//napD//ilvE//fimD//amiB//iraM//oppC//norV//lolB//uxaC//mdtD//hflC//puuE//lacI//ptsH//rhaS//tolC//tehB//arcA//ccmE//pstS//ssuA//gspK//napC//nusA//ileV//sdhB//cpxR//fecC//pgaA//frdA//ycjF//gadB//aroG//sbmA//yhjA//fabZ//actP//yeaE//pstB//efeU_2//oppD//purD//chbG//ydfH//ompX//
ChbR-Monoacetylchitobiose-6P_neg	napH//uidB//tyrR//ydfH//ynfK//manZ//
ChbR-Monoacetylchitobiose-6P_pos	cusB//rimM//ppiA//astA//hycH//rbfA//
CpxR-Phosphorylated_neg	casB//sroD//entH//guaB//melR//cynS//pyrC//fucA//cysG//sucC//tap//norR//nrdD//preA//torA//aaeB//gltA//nanM//metY//yeaD//fadH//napG//trpE//livH//
CpxR-Phosphorylated_pos	hofM//cirA//acs//cadA//abgB//rrlH//rrfC//iscU//ygiB//betA//hslJ//yegR//fldA//tfaQ//ebgA//cirA//cas1//hyfE//ppiD//pstS//mdtD//astE//pgpC//alkA//fecB//nrfG//grxC//aroH//rrsH//moeB//rrfB//pepT//rpsJ//nikR//grcA//hypF//metR//purR//tomB//bioD//malQ//rrsE//phnJ//yeiP//phnF//
CreB-Phosphorylated_neg	ftnB//hybD//cueO//
CreB-Phosphorylated_pos	preA//glyA//caiF//hyaA//glcC//abgA//
CueR-Ag_neg	rpsS//patZ//dnaA//yqjI//artJ//
CueR-Ag_pos	metE//iscS//
CueR-Cu+_neg	sroD//rpsS//dapB//mtlA//xapB//
CueR-Cu+_pos	znuA//exbD//
CuerR-Au_neg	yfdE//nirB//gntX//cpxR//flhD//
CuerR-Au_pos	iscS//rmf//
CusR-Pasp_pos	aroG//yhhY//malZ//hyaA//hofO//gntX//prfA//glpG//fur//fucO//rplV//nikA//
CynR-Cyanate_neg	atoD//
CynR-Cyanate_pos	nrfG//agaA//malQ//
CysB-N-acetyl-L-serine_neg	uxaB//yhhY//ivbL//dmsD//spy//artQ//uxaB//
CysB-N-acetyl-L-serine_pos	trxA//cstA//tcyJ//phoH//pheT//metN//nirB//dkgB//hisJ//cyoC//baeR//cynX//frdA//evgA//phnF//fimF//narI//spy//rpsQ//purB//mglC//rplD//pheS//
CysB-O-acetyl-L-serine_neg	tsaE//dpiA//secB//zraR//srlD//dgcZ//aroH//
CysB-O-acetyl-L-serine_pos	fimI//hybD//fimC//ydfH//fdnH//rplW//mhpT//yhfA//dpiA//gltT//paaE//dppD//gltD//flhD//fadA//uhpA//astE//acrB//mdtC//malT//bioB//ugpB//hlyE//purA//
DcuR-Phosphorylated_pos	secB//dctA//ulaC//cytR//hycI//idnD//modC//purH//mlc//
DnaA-ATP_neg	norV//cadA//qseB//gatC//fucA//frdC//glpQ//rseC//malE//ynfH//gltV//
DnaA-ATP_pos	cyoD//ubiC//oxc//phoB//ptsH//gspH//csgF//
DpiA-Pasp_neg	gabT//
DpiA-Pasp_pos	hdeB//citE//acrD//glgC//nlpE//proP//gabP//metQ//iclR//tcyJ//
DsdC-D-serine_neg	katE//
DsdC-D-serine_pos	paaF//tdh//
EvgA-Phosphorylated_pos	alaV//rof//fucU//epd//gspK//glnG//hflC//metE//alaU//fecI//ompT//napA//malY//ampD//fabZ//
FNR-[4Fe-4S]2+ reduced_neg	ybdN//yqjA//yojI//fecA//fecD//appC//comR//psiE//rplV//dsdX//aceB//yjiY//argI//treC//phnF//ilvE//norR//abgB//galT//tomB//yidQ//tdcG//appB//lpd//gapA//aldB//hcp//csiD//chbR//preA//sufE//gadC//fimI//araE//mtlA//phoB//ilvI//ahpC//gspF//hypD//micF//dmsA//yeiB//rrsA//gabD//asr//ilvE//xdhB//fnr//phoU//dppD//dps//mdtD//xdhA//rplM//oppD//fnrS//nfuA//dmsB//ybfN//gltD//nanA//yjeV//prpC//ynfE//rrfG//hybD//rcnB//srlA//manZ//puuB//srlB//trpD//hflD//iscR//hflX//paaZ//rcnA//feaR//manX//tolC//puuE//fldA//ydhX//ccmB//acnA//mhpA//cyaR//hydN//yeiB//ybiT//sucD//garR//nikE//uidB//kbaZ//bioC//hycI//katE//hypA//tsx//lsrK//sdhD//srlR//pheS//pgpC//tdcD//nrfA//fixA//hypC//ydhU//rhaA//malZ//ydeM//dppB//yfdE//manA//cysM//napA//hypD//
FNR-[4Fe-4S]2+ reduced_pos	ihfA//hycH//avtA//rimM//chiP//sufB//tehB//yidQ//hycE//lysP//nikD//fhuA//napB//rplC//envY//sohB//nlpD//aaeB//fliA//lpxD//lpxB//idnD//yccA//gspC//fucU//rutF//ygiB//nrfB//fdhF//flhD//bioC//phnI//cheR//mcaS//iscA//rrlH//bcsC//hcr//metH//mhpB//phoB//purE//rutC//patZ//mpl//mhpB//modA//cysK//hycI//cysI//fecB//fhuB//gatC//znuC//yccA//sdhA//fixC//acs//ssuD//metN//miaA//frdB//ygiC//rpmI//hybC//srlA//ugpB//araG//tsaE//ugpA//rbsB//pstB//deoC//xseA//ssuE//nanS//aldA//agaW//acrA//gltB//ygbA//tyrA//narG//nuoG//aroF//yfbR//trpD//metL//purF//zinT//sucB//lpxD//ilvB//uxuA//moaE//rof//mtr//cusA//sufB//fecE//fecE//rrlC//ssuC//mipA//infC//ileV//sbmA//ynfG//ycjF//yegR//ilvA//astE//rrsG//sxy//dgcZ//aceA//casE//pitB//hycI//galE//lamB//uidB//ftnA//skp//cysU//psiE//appY//trxA//ilvM//puuD//rplI//fis//rrsE//ydfH//metI//glrR//tdh//rseA//rplD//serC//tnaC//yeiL//avtA//hybB//mutY//ccmC//gspK//lpxA//gltB//focA//qseC//glnD//rplI//torD//acnB//yfiP//csgC//ada//lysO//rbsR//proP//bglB//ydfH//sodB//pgaA//guaB//lacZ//baeR//dadA//fdnG//hyaC//ssrS//yegH//paaH//sucC//hyfH//gnd//mutY//prfA//moaC//cdd//upp//evgS//cdd//iscA//ydfN//hybA//xylH//bioC//abgA//puuB//moaC//frdB//phnC//rplP//nuoI//znuA//paaG//fimC//ptsG//mcaS//gspI//
FhlA-Formate_pos	fhuE//oppB//puuR//slt//adhE//ydfH//ugpB//prpC//fdnG//livH//efeU_2//galM//truB//paaH//cstA//rnhB//mepH//gspE//ugpQ//entB//yebE//tdcB//ybjG//gatD//acs//envY//artM//marA//rcnA//rbfA//
FucR-L-fuculose-1-phosphate_pos	fixB//tap//nanC//prmC//rbfA//aspC//hflD//
Fur-Fe2+_neg	rbsR//arcZ//nlpE//mpl//metK//metQ//rplI//livG//dsdC//caiE//aceA//hflC//moeA//lldR//csgG//yeaD//nagE//ilvX//pitA//ygbA//metC//aroG//dsdA//paaA//rplC//nrfC//fdnI//avtA//allC//ygaC//hycI//modA//aldB//azuC//mdtA//cydC//oppB//oppB//ulaE//yqjH//lsrA//ydeJ//bioA//tam//abgB//cra//lysC//dcuB//gspL//stpA//sucD//hyfF//phoP//cusA//nuoB//lysA//tauD//aspA//ydeA//hybE//fiu//grxC//polA//agaA//creC//tyrP//rrfC//rrlH//zraR//sdhA//gyrA//fepG//hpt//metY//rcnA//rrfE//glcC//sdhB//grcA//ycjF//cysJ//csiE//hupB//mcaS//yqaE//abgT//mhpF//purR//fabZ//gltV//dcuD//dadA//rpsJ//rpsC//guaA//aceK//alkA//flhD//cvpA//phnL//dppC//tauD//adiC//entA//fucO//dapD//hyaD//ompR//leuE//cysP//ybiT//ydeA//safA//nanS//dppB//allE//rpsC//yjjZ//tsaE//hycG//xylH//hupA//cspE//prfA//
Fur-Fe2+_pos	erpA//araG//cueO//ahpC//tdcF//ssuB//crl//alaU//codA//ygiC//phoH//fdhF//manA//polA//fepG//nanM//ytfE//rbsA//glcG//hyfA//lpxD//gspL//hypA//aroP//paaD//
Fur-Mn2+_neg	alaT//tauC//fecE//bglF//uxaA//ihfA//phnK//hyaF//aroL//casE//umpH//lsrK//ykgO//lysO//rrsE//allC//bioB//xylG//uxuA//cusR//ppdD//rpoH//tcyJ//copA//csiD//rimP//ugpE//atoD//purM//nuoA//cspD//fliA//creC//zntA//nuoN//agaW//artQ//chbA//ompW//dpiB//rseC//yhiD//ubiX//hslJ//rplP//purE//csiD//dcuC//lpd//nrdG//phnK//ampD//hcp//hyaE//hyaE//cysP//rpsQ//caiA//csgB//ycjX//treR//yaiA//lpd//ydfN//ilvB//allD//gntR//lhgO//yidQ//fumC//ychO//xylG//aaeX//erpA//cspD//hofC//hmp//fhuC//ompX//dppB//ilvN//entE//araG//nlpE//yggX//aroH//tcyJ//pheT//fixX//borD//paaG//gpmA//dnaA//xapB//cytR//mntP//osmY//ychH//dapD//dsdC//arcZ//eda//dpiA//chbR//hypE//puuP//ccmH//cysJ//galT//pncB//nuoH//pheS//gspL//nmpC//emrK//puuR//murP//allC//aroP//sufB//ugpQ//ccmC//ynfF//tolC//
Fur-Mn2+_pos	gatZ//creA//narG//nuoI//astA//hcp//glpX//lysA//pgaB//hofM//astD//pgk//srlD//rof//ssuC//grpE//narJ//uhpT//tsx//tdcC//argI//fumB//carB//rrfE//lysA//
GlcC-Acetate_neg	ssuC//
GlcC-Acetate_pos	gspH//rimM//uxaC//trpA//cusS//argP//
GlcC-Glycolate_neg	acrE//
GlcC-Glycolate_pos	lsrA//ssuE//fdnI//acnA//purB//gspG//
GlrR-Pasp56_pos	yeaR//
IclR-pyruvate_neg	ahpC//lysC//glmY//araJ//
IdnR-5-ketogluconate_neg	nrfF//rplS//nuoH//
IdnR-5-ketogluconate_pos	crl//dpiA//gabP//csiE//acrB//
IdnR-Idonate_neg	mgtA//cusA//hyaB//
IdnR-Idonate_pos	fadI//glgS//nanE//ycjX//yjjZ//
IlvY-2-acetolactate_neg	thrS//
IlvY-2-acetolactate_pos	rbsB//
IlvY-Alfa-acetohydroxybutirate_neg	glpQ//
IlvY-Alfa-acetohydroxybutirate_pos	preT//
IscR-[2Fe-2S]1+_neg	uhpA//hypC//oppB//phnD//ydhU//csiE//nuoA//artI//rpsF//exbB//hyaD//aceF//rpsJ//aceK//lpd//nac//rnlB//srlA//hflD//motB//citE//hupA//mhpR//dpiB//torR//dppD//hydN//marB//glgX//hyfB//
IscR-[2Fe-2S]1+_pos	hybE//glpX//ynfH//aaeB//rof//entS//ydhT//glnA//abgB//trpE//napF//
LldR-L-lactate_neg	idnO//rpoS//ygiA//
LldR-L-lactate_pos	gspL//nrdE//pstB//
Lrp-Leucine_neg	ssuC//paaA//sroD//araF//rpsR//uxuR//rpoH//rbsR//pgaA//manY//mtlA//lsrD//purR//rutC//metE//bcsZ//cueO//hycA//lpd//yfiP//fecI//ampE//manY//pstC//uxaC//cpxR//rhaR//mhpD//lysA//creC//fabZ//rpsJ//atoE//yegR//lysA//argF//oppF//lolB//uidA//phnE_1//glnB//pgaD//glnK//rrlH//xylH//phnE_2//stpA//rseB//fepG//hofN//puuE//gspI//dsdA//znuC//allD//hyaE//rplM//narX//cysA//acrE//fecC//ilvD//bioC//mhpB//arcZ//cusF//grxC//nrdB//dctA//glgA//ldtC//ilvB//napD//chbC//fadB//
Lrp-Leucine_pos	yhcH//purA//ftnB//caiF//gapA//nlpE//pgaB//rhaA//cysI//udp//hybF//gntT//tnaC//proP//hyfD//glnL//artI//cusR//xseA//glpG//lpd//sbmC//amtB//dps//hupB//srlD//cusA//hofO//narG//envY//aaeX//pdhR//paaZ//dppA//hycD//
LsrR_neg	ybfN//mepH//gltU//lldP//fucA//cas2//fepE//treB//rrlE//
MalT-ADP-Maltotriose_pos	mtr//torC//sodA//hypE//yhiD//rpmC//fimG//efeU_1//rrlD//phnP//
MalT-Maltotriose-ATP_pos	rdoA//tyrA//ygiA//pstS//gabD//tadA//ydhU//ilvD//ccmD//ccmA//
MelR-Melibiose_neg	rrsB//puuC//artI//
MelR-Melibiose_pos	yaeQ//csgC//metB//
MetJ-S-adenosylmethionine_neg	stpA//map//prfA//fimC//ygiC//entC//yhcH//fimA//mntH//asr//gnd//tyrB//citF//hyfH//tdh//
MetR-L-homocysteine_neg	marA//phnM//
MetR-L-homocysteine_pos	trpL//sdaA//ppdD//serA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	purR//yeaR//ccmE//argP//ygiC//dcuC//
MhpR-3HPP_pos	sucC//alkB//hofO//nupG//serC//hisP//
MntR-Cd2+_neg	amn//metJ//glnK//nanK//
MntR-Cd2+_pos	cheZ//
ModE-MoO42-_neg	mhpT//manX//ada//xylR//yfdV//rrlC//pagP//argO//aceE//fecR//astC//nikE//yebE//zwf//rstB//
ModE-MoO42-_pos	idnD//uhpC//phnL//bamE//phnG//ahpF//yibN//zraS//napB//ccmB//fecC//nrfF//hisJ//rpsO//yedX//lysU//napF//ydhT//yfdE//lsrB//entA//nirC//cusB//evgA//rpoE//dadA//livH//sucB//hflK//yneM//csgE//
NarL-Phosphorylated_neg	yciW//phoR//fimF//metJ//argF//ugpC//guaB//atoD//map//ssuD//tsr//dadX//yeaE//dmsC//glnL//gpsA//csgB//ppiA//mtlR//grpE//raiA//dmsA//aroP//dcuB//pepT//hofP//dppF//hypB//spy//micF//mscM//ilvI//ydhY//argA//cas1//csiD//phnI//galS//uhpC//aaeB//yfdV//torD//bdcA//ccmG//ybdN//hypE//pheM//tar//fadH//hcp//rbsA//metN//sroD//cpdB//ompX//manX//uxuR//iclR//mtlD//tolC//cpxR//rrfD//yfdX//yecR//bglG//modA//rrlB//garK//agp//hyaC//ulaB//fecC//ppiD//fadD//yccA//phoE//csgB//trpL//leuE//alaT//icd//cysN//rybA//purD//appY//yqaE//
NarL-Phosphorylated_pos	treB//betA//crr//dpiB//metQ//pheT//uxuR//caiA//sbmC//ilvY//glcB//yedX//nrfD//prpB//amn//tsaE//uxaB//gntR//puuP//ykgM//sucD//emrY//appY//yegZ//aaeA//rrfD//gadC//phoA//mglC//phnE_2//baeR//malZ//ynfK//hflK//crr//rnlB//appC//feoC//ccmA//abgA//malY//nanA//betA//alkA//ykgM//uxuR//
NarP-Phosphorylated_neg	ydeN//hyfC//nuoN//sbmC//ybiT//gatY//katE//xdhA//chbA//ubiC//ydeP//hycA//iscS//cynR//glcA//cheA//rpsO//phnF//uvrA//cyoE//caiC//gatY//cusF//phoB//hflD//idnT//gatY//narX//xylA//araA//dpiA//hofB//rutG//
NarP-Phosphorylated_pos	napH//metL//guaB//casC//araE//fadI//araF//glcC//ydiU//asr//tsx//gltV//casE//fimI//uhpA//glnA//copA//uraA//psiF//ahpC//fimA//proP//phoU//gltT//tdcA//tehB//fdnI//pstS//tyrP//yciW//gspF//glcC//
NhaR-Na+_pos	yhiD//trpB//glcB//grcA//hupB//
NikR-Cd2+_neg	xapB//dctA//gcd//entA//feoA//arcZ//
NikR-Co2+_neg	folA//yccA//ileV//pheM//lacA//tdcF//
NikR-Cu2+_neg	paaB//waaH//ilvH//fucK//yidQ//nuoE//
NikR-Ni2+_neg	ilvY//fixB//pflB//envY//rpsR//sroD//
NikR-Zn2+_neg	glpT//ilvM//melB//metA//phnH//preT//
NrdR-ATP_neg	upp//caiA//tyrB//caiT//ytfE//spf//hypF//osmY//malE//
NrdR-Zn2+_neg	zwf//avtA//serA//rutC//metH//sufS//argI//sucA//prpB//
NrdR-dATP_neg	crl//serC//aceF//infC//lysP//mhpB//rcnA//csgB//paaA//
NsrR-[2Fe-2S]reduced_neg	ldtB//putP//ilvY//gltU//dadX//lysC//hpt//entS//fhuA//cusS//bioC//araE//dppD//rpsF//fabZ//puuD//ptsH//nuoF//srlR//ampE//purK//idnO//rrlC//agaA//uxuB//ubiG//fepG//phnM//caiD//prpR//fadB//xapB//mdtC//puuA//atoB//hfq//hofN//argR//ampD//gntU//livK//nuoB//hycG//rrfC//nagB//gatZ//garL//fucK//mhpD//yeiB//argO//pstB//gatB//rplP//hyfF//chbR//fumB//glnB//rrsB//yeiL//nrdE//hybF//ydeJ//creD//arcA//metN//ung//nrdI//grpE//xdhB//fecI//yegZ//gspC//
PhoB-Phosphorylated_neg	cysU//amiB//ileT//fldA//pitB//kbl//gltU//pheT//fadI//mgrB//chbR//yqjI//argG//
PhoB-Phosphorylated_pos	ccmC//ydeO//xapA//puuR//gltF//tauC//speC//araC//envZ//feoB//rrfD//rnlA//lsrF//cusA//hcp//pstA//pagP//araG//hyfB//araD//nirB//exbB//sdhB//ndh//nanC//astA//gltD//pheT//prpC//fur//nadC//tomB//hybD//hofC//fepB//nrdE//dmsD//pstS//trmD//nuoC//lsrC//ada//nrdA//torA//lsrG//xylR//manZ//tsx//gadC//astD//cspE//nuoB//csgG//
PhoP-Phosphorylated_neg	yfaE//rcnB//tyrP//csgF//ydhX//ihfA//fecC//yggX//gnd//nfuA//cynT//
PhoP-Phosphorylated_pos	purF//bhsA//ychO//nohA//mglC//cusS//ysgA//guaA//rutD//csgA//metR//acnB//phnC//dadX//aspA//ilvY//glnL//yojI//napD//aldA//sufC//hpt//fhuF//metL//cueO//rseC//cvpA//yggX//grxC//sufE//glgA//aaeA//mtlR//napD//nirB//gltV//znuA//casB//rrsE//moaC//bioD//dgcZ//idnD//sodB//argC//ihfA//mltC//exbD//aceF//
PrpR-2-methylcitrate_neg	rhaR//
PrpR-2-methylcitrate_pos	fumB//metA//hofC//glcB//
PurR-Guanine_neg	yecR//paaD//phnL//nrdG//ycjX//ulaE//zntA//dgcZ//chbA//agaW//ascB//nuoG//ybfN//nuoC//dmsC//fau//serA//hyfR//nuoK//motB//ilvB//hyaF//ynfH//dnaE//argC//ykgO//frdA//alaV//astC//waaH//ccmH//nanK//citF//trpA//
PurR-Hypoxanthine_neg	hemA//baeR//mlc//dcuR//gltB//gltB//ung//ccmC//ccmG//chiP//mhpA//hybC//nrdD//bcsC//fadL//cheB//nagC//agaW//hypF//tar//ilvG_2//pgaD//erpA//cydB//eda//bamE//znuC//rrfH//nanT//gutM//rseA//fur//lsrG//manA//
QseB-Phosphorylated_pos	lsrG//fadA//ompX//prmC//
RhaR-L-rhamnose_pos	argD//lacI//
RhaS-L-rhamnose_pos	bacA//paaG//hybC//
RstA-Phosphorylated_neg	hybC//cpxA//sufS//nikR//phnL//
RstA-Phosphorylated_pos	fadJ//codA//mepH//prpC//ryhB//
SoxR-[2Fe-2S]3+ oxydized_neg	ydhU//
SoxR-[2Fe-2S]3+ oxydized_pos	yidQ//argB//cyaA//
TorR-Phosphorylated_neg	narK//
TorR-Phosphorylated_pos	artI//leuE//csiE//hpt//cas1//bcsB//gspI//crr//ydhT//
TrpR-Tryptophan_neg	adiC//dkgB//rseC//cadB//pgaD//cyoB//rpsJ//xylG//hyfR//cysJ//bioA//idnD//
TyrR-L-tryptophan_neg	tadA//lsrG//epd//adhE//nrfA//ybjG//tnaB//phoA//gpmA//argO//fadL//cpxR//
TyrR-L-tryptophan_pos	pgaC//gspG//moaC//
TyrR-Phenylalanine_neg	argD//gntR//dapD//gspH//katG//hdeA//yjjZ//nrdH//hofN//rplC//pdeF//glcE//
TyrR-Phenylalanine_pos	nuoL//slt//cysA//
TyrR-Tyrosine_neg	mltC//tcyJ//rimP//betB//betB//aceK//cysD//ykgO//cirA//glnA//uhpC//tap//
TyrR-Tyrosine_pos	lsrR//nrdG//hypE//
UhpA-Phosphorylated_pos	fadA//
XapR-xanthosine_pos	marA//ppiD//
XylR-Xylose_pos	dpiB//rpmC//rof//baeR//phnI//psiF//
ZntR-Cd2+_pos	ydhV//
ZntR-Hg_pos	argE//
ZntR-Zn2+_pos	mtr//
ZraR-Phosphorylated_pos	dkgB//tauA//uidA//
Zur-Zn2+_neg	modB//grpE//fucU//galS//rrlC//fumC//
