#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	yaiA//rybB//
CRP-cAMP_pos	aroA//livH//livH//nlpD//tdcA//araH//chbF//arcA//phoR//ompW//ccmE//oppB//tfaQ//lpxA//trpC//hyfE//fucP//tonB//rrsC//glpK//hofN//argP//glpF//dppB//lysA//rplD//cysI//folE//evgS//tehA//hyfI//tnaC//nohA//lsrA//hycA//glyA//gutQ//astC//caiA//zraS//alaT//rprA//ssuC//yaiA//zntA//mtr//deoC//asr//hypB//artQ//rpsQ//hypF//bioC//dpiB//cadB//appB//phnN//lacY//glpD//carB//purB//uidC//acrD//hybG//uof//ivbL//tehB//hybA//nanT//manY//tauA//acrE//ydhV//ssuA//metQ//yjeV//glcC//gatZ//feaR//crl//nrdH//pgk//hybO//dmsA//kbaZ//prfA//pgaD//tnaC//tsaE//argD//phnO//nlpE//cheB//tyrA//napF//phnJ//ccmD//ysgA//fes//mhpC//dadA//mdh//moaB//lacY//sucC//rrsD//galM//yfiP//fimG//nuoI//yqaE//qseC//cusB//paaA//yjjZ//pta//ilvC//idnT//betB//cynX//xylR//focA//ptsG//metN//gspI//tauA//mdtC//fhuC//yfdX//glpT//oppF//rbsR//torD//actP//cysC//aroF//betT//fimG//appY//adiC//nlpD//hslJ//glpK//nagE//appY//rhaR//rrsH//araC//nrdB//purE//dapB//araJ//fixC//sbcC//nrdF//lpxB//nagC//cysA//pstB//rseA//sufE//aceK//zinT//fur//srlE//cvpA//epd//mtlR//fumC//nupG//hflX//ygiB//yhfA//fepB//phnG//cusB//tauD//pgaD//narJ//ampE//fixC//gltB//grpE//sbmA//asr//cadC//ccmD//yoaG//rplD//hcr//ilvC//tauB//ileT//uidB//gltW//mutL//yeiW//cysK//nuoM//cirA//fimG//yhjC//ppdD//rseB//livF//oxc//infB//yegZ//glpC//dsdC//phnD//sbcD//marA//ssb//hypD//fimA//allC//rpsC//mpl//csiE//napA//grxD//bglG//narJ//moeA//livM//yfdE//ldtB//fixB//lsrD//actP//nuoI//yebE//pheT//tdcB//trpD//fepE//gabT//caiA//malM//cyoA//trmD//pta//yoaC//acnA//pgk//crl//tdcC//pstS//bhsA//nikC//gcvH//deoD//lacZ//rrlA//nuoJ//yibN//aceK//mcaS//fdnI//entA//gntU//patZ//gabP//entF//mhpC//rpsQ//arfB//lamB//glcG//trxA//pstA//entB//csgC//safA//fucO//cysN//tdcF//narH//ilvY//modB//phoR//tnaC//trpA//ygeA//alaT//ompW//rpsO//hupB//hflX//pstC//cadB//gspJ//lsrD//betT//fucU//dadA//ompF//glcA//aspC//znuA//casE//dps//stpA//nuoB//hpt//hybG//nrdA//fau//sbcD//abgB//creB//aaeA//aroA//garR//rybA//hyaD//fixA//modA//nusA//cheA//tsr//focB//phoH//hmp//hybE//cusB//ydbD//agaV//tsgA//entA//metN//raiA//hofP//marA//nusA//yjeF//rhaA//hlyE//rrsH//hyfF//glpR//yciW//cyaA//cydD//csgF//napG//ptsI//grpE//map//manY//rpsO//miaA//ampE//rplB//feoB//mgrR//glcE//hupA//mscM//ompW//hisQ//cytR//entF//fadB//hha//rbsD//map//dmsB//casD//ahpC//ccmC//trpR//rplV//nirB//phnE_2//glpA//astC//lsrB//fepG//pheT//yhjC//ppdD//argE//napA//mhpC//araA//yggX//rseB//ygiB//ilvL//aroF//entE//tap//fecE//narH//nanT//zinT//envY//dnaN//malM//gspO//rrlC//paaG//bcsB//argT//modC//fhuF//rbsD//bglB//mhpB//purH//gspO//fldA//glnL//argA//phnI//fepB//napB//hypD//galM//uidA//yeiW//tyrA//feaR//bglB//dadX//ssuE//rbsB//
ChbR-Monoacetylchitobiose-6P_neg	nrdI//gspE//pck//nuoK//xylR//idnT//
ChbR-Monoacetylchitobiose-6P_pos	uof//ygiC//tktB//cyoA//cadA//nuoH//
CpxR-Phosphorylated_neg	rhaT//gyrA//dps//miaA//zraR//cusF//caiB//argD//feoA//srlA//sdhD//purR//hemA//cysW//oppC//lsrB//mipA//bioC//preA//gspG//iscR//nuoL//caiT//malK//
CpxR-Phosphorylated_pos	nmpC//fumC//ygaC//yfeW//nuoE//fecC//entB//cusS//bamE//bioC//fhuA//pgpC//tam//sufA//hybC//tadA//ubiX//infC//yciW//cysB//hyfR//glpG//trpL//galP//ydfN//gutM//gspJ//hemA//pgaA//ccmH//fliA//prpD//arcA//gntX//hcr//ogt//idnR//oxyR//flhC//adiC//edd//aaeR//ygiA//lsrF//cas1//
CreB-Phosphorylated_neg	glcF//raiA//yegZ//
CreB-Phosphorylated_pos	ynfG//gspL//hypE//torR//purC//pflB//
CueR-Ag_neg	rrsB//deoC//dppB//rrlH//hypD//
CueR-Ag_pos	ssuD//dpiB//
CueR-Cu+_neg	fau//argR//fucA//cpxR//hslJ//
CueR-Cu+_pos	iscR//citE//
CuerR-Au_neg	galP//agaW//glnK//astD//yoaC//
CuerR-Au_pos	map//hemA//
CusR-Pasp_pos	rcnA//secB//csgG//tnaC//atoD//yaeQ//cydD//csgG//sucC//ydhU//gspM//treB//
CynR-Cyanate_neg	hyfA//
CynR-Cyanate_pos	znuB//sufE//lsrF//
CysB-N-acetyl-L-serine_neg	guaB//rmf//csgF//bcsZ//allC//prmC//rutC//
CysB-N-acetyl-L-serine_pos	rrlG//glcG//hofM//gltF//rseB//frdC//livG//cpxA//feoA//rutE//rutD//rrsH//fumC//citC//nrdF//mhpR//hlyE//copA//tap//cysA//ssrS//rbsA//dcuS//
CysB-O-acetyl-L-serine_neg	dmsD//dppF//rrlC//mhpE//hyfH//rstB//cusC//
CysB-O-acetyl-L-serine_pos	hybE//mdtA//sufD//lrp//rhaA//tadA//ldtC//csgB//cysD//raiA//hflD//rrsE//rplV//hha//iscA//phnN//metY//ulaD//citX//dnaA//cysD//efeU_2//argF//gspH//
DcuR-Phosphorylated_pos	cadB//cas1//metB//cheB//preT//fis//nrfA//nagB//nuoH//
DnaA-ATP_neg	hybB//fdhF//hyfB//rrlE//yhiD//nirB//nfuA//pstA//artQ//glpR//paaK//
DnaA-ATP_pos	lacY//bioC//alaA//hypF//zraP//bamA//ygaC//
DpiA-Pasp_neg	argE//
DpiA-Pasp_pos	rrfF//hyfD//agaA//bioB//caiC//emrK//iscU//rnlA//frc//pnp//
DsdC-D-serine_neg	pdeF//
DsdC-D-serine_pos	lsrD//csgE//
EvgA-Phosphorylated_pos	cydA//hcr//yfdE//hycI//fecR//bglG//fadI//dmsA//citD//rbsD//astB//rseA//yeiB//frdC//hybG//
FNR-[4Fe-4S]2+ reduced_neg	cyaA//entS//mhpD//fucK//ybiT//fdnG//infB//ptsH//phoP//ptsI//abgB//entB//folA//cadB//gntX//argC//astA//malM//nohA//fldA//purB//uxuR//gltF//tauC//phnJ//tehB//rpsR//rpsC//phoP//rbsD//hypC//nrfD//xdhC//aceK//preA//araB//ompF//umpH//entS//nlpD//yhiD//napD//phnF//fepE//rmf//feoC//yqaE//fiu//uxuA//fiu//sucD//astE//ykgM//fdnI//pncB//trpR//sbcD//pheS//ebgA//argE//gutM//nrfF//moaE//flhC//oppD//dcuS//norR//yjjZ//fecC//purE//sucC//tktB//araH//glgA//hybF//aidB//nanT//infB//gntT//edd//ptsI//cysK//phoR//adhE//ivbL//csgE//fepD//nanK//idnR//hemL//aroG//ygbA//hybD//phnE_2//nagB//pgpC//bioA//leuE//cpxA//hybE//paaK//phnF//glnD//fis//ygbA//fixA//fimD//cydD//fucR//gabT//rutA//cusS//guaB//fhuE//ogt//cydC//nrfE//alaS//lolB//phoR//
FNR-[4Fe-4S]2+ reduced_pos	tadA//garL//ompX//puuP//hyfC//citE//dppB//moeA//srlE//nanM//fepB//rrlB//trpC//ubiG//pgk//ompW//gabD//cyoC//phnC//xseA//znuC//narJ//gcvP//gntR//ycjF//ygbA//fadB//mglA//cheR//phnE_1//nuoG//phnK//putP//mgtA//hyfI//aroP//araC//sodA//melR//mntS//hycF//fis//fucI//deoD//cynX//pgaA//phnC//sucC//ygbA//metH//casC//dcuS//yeiP//amn//cydD//frdC//fadJ//hemA//yegZ//pstB//mtlD//gspL//yecR//mtr//alkB//umpH//cyoD//iraD//rbsB//glpC//nuoN//metR//thrS//glnG//fepG//fhuA//creC//fadI//trpC//phoR//hmp//argH//chbB//ascB//manZ//cusA//fimA//fadD//xylH//ybdN//nadC//fucU//cspE//gatA//ileU//caiT//tsr//ldtC//cydC//fepA//yfdE//nrfD//cusF//bioC//paaC//fumC//znuA//glgC//treC//uof//yhjC//rutB//dnaE//nuoG//ugpE//leuE//rpmC//nrdI//trpD//cysM//gltD//astC//yaiA//murP//argC//trmD//mtr//yqjI//osmY//rrfH//glpA//hyaF//phnC//tyrA//slt//tdcA//tdcG//fimD//dgcZ//caiB//tsaE//treR//bcsC//alaS//ydeN//pagP//uxuB//tap//bdcA//paaJ//tolC//nuoC//creC//ascB//nuoK//dnaN//yeiB//cbl//phnI//purB//map//caiC//dsdC//hofB//ompA//rbsC//rpmI//hypB//trpR//ulaF//patZ//nagC//glpX//dctA//speA//infC//fucI//cspE//nagC//uidA//sdhB//dapB//ychO//ilvB//grxC//fhuE//exbD//adhE//ilvD//aaeX//araE//nikR//ybdN//ydhW//mtlA//yeaD//ccmE//rrsG//glnD//yjeF//adhE//envZ//
FhlA-Formate_pos	glyA//gspM//copA//malS//tfaQ//sdhD//gdhA//upp//kbl//gltT//putP//ampD//rhaS//sucC//metN//rnlA//cydA//lsrG//phnE_1//yjjZ//acs//frdD//thrS//melR//hypC//mzrA//azuC//narL//puuA//metK//
FucR-L-fuculose-1-phosphate_pos	pnp//cysJ//mscM//nuoN//mtlR//rof//xdhA//
Fur-Fe2+_neg	lacZ//ychH//folA//tpx//trpD//hydN//fixX//ydeA//ilvN//trg//hyaA//fhuE//hflC//tdcA//fepE//hypC//nuoI//hflD//spf//gspK//bcsB//nrdE//zinT//araG//sufE//nuoH//aldB//ahpF//rybA//torD//yhjA//nadC//hcp//srlR//ygeA//yebE//rplM//casC//metN//hmp//soxR//hybE//hyfF//oppF//aroL//allD//casD//gatA//metC//nrfF//nuoE//truB//atoD//purR//hyfA//cysM//ilvN//gatD//purE//mglB//phoQ//metR//metE//gltF//nrdI//argC//dppB//trmD//gspG//gcvH//atoA//aceB//nanT//cbl//feoC//agaV//evgA//alaT//tauD//yegR//ihfA//dnaE//pheS//rybA//fes//rutB//bioC//uhpB//nadC//yeiB//cbl//idnR//uxaB//amiB//napH//fimF//nrdA//baeR//fliZ//ychH//thrV//rimM//micF//agaW//gspL//ykgO//ydhU//hybE//metK//tyrB//artP//hycD//phnN//tauD//fhuC//hyfG//rhaD//ugpQ//moaB//fdnG//uidA//fixX//tdcG//infC//
Fur-Fe2+_pos	dcuC//livJ//entH//yedX//nrfE//frdD//fucK//lsrD//gspE//emrY//caiD//sroD//manY//lhgO//arfB//gutQ//moaE//malI//ileV//astC//edd//fimF//citE//sucB//metI//
Fur-Mn2+_neg	leuE//ilvI//yeiB//lysU//raiA//ilvE//fecI//hcr//rrsD//cirA//yhiD//ydbD//ihfA//thrV//pck//yfaE//mgtL//rutD//ygiB//csgC//ccmD//phoQ//gyrA//argH//nrdG//rimM//rplB//pepT//nmpC//rseB//trpA//dsbA//nrfD//dpiA//yjcH//hlyE//ynfG//hybB//nikB//gabD//nrdI//aspC//nuoB//gntT//degP//aceF//fumC//paaD//norV//aceK//cpxA//metH//atoE//rplI//ptsI//gabD//glpE//rrlD//ydeN//uhpT//manX//gpsA//cpxA//amiB//yjcH//nrfF//hflX//gntP//qseC//rhaD//hflD//ygaC//norW//atoE//raiA//hyfD//yoaC//paaI//cynT//glpQ//trpE//rseC//cadC//nagA//nrfA//narG//artP//uxaC//oxyR//hyaC//rrfA//fdnI//yqjA//yhfA//casB//ilvE//ugpQ//cheW//paaG//thrV//rrsC//nikD//glrR//prmC//glpD//sbcD//aaeA//alkA//prpE//pstC//treR//leuE//tadA//tolC//rpmC//gntU//gabP//entD//ascB//dapD//hcr//hycH//yaeQ//srlR//
Fur-Mn2+_pos	fepD//gltW//dsdX//manY//ung//rrlA//fixB//mhpT//aaeB//phoA//ulaD//gyrA//efeU_1//raiA//purB//puuP//ampD//cstA//uhpC//mdh//rrsA//cpdB//efeU_1//glpB//hycI//
GlcC-Acetate_neg	hofP//
GlcC-Acetate_pos	csgC//cusF//fur//agaA//yegR//ebgA//
GlcC-Glycolate_neg	dkgB//
GlcC-Glycolate_pos	dsdA//napB//borD//fadA//uhpC//srlD//
GlrR-Pasp56_pos	sbcC//
IclR-pyruvate_neg	rhaR//rrsB//chbG//uidB//
IdnR-5-ketogluconate_neg	bdcA//mhpE//miaA//
IdnR-5-ketogluconate_pos	chbG//cdd//sufD//lysA//pheM//
IdnR-Idonate_neg	alaT//pstA//lhgO//
IdnR-Idonate_pos	rrsG//spf//aroA//nikD//trpR//
IlvY-2-acetolactate_neg	tolC//
IlvY-2-acetolactate_pos	ydfN//
IlvY-Alfa-acetohydroxybutirate_neg	raiA//
IlvY-Alfa-acetohydroxybutirate_pos	yaiW//
IscR-[2Fe-2S]1+_neg	sucA//lsrA//ybjG//argH//bamA//nadC//glgC//adiC//gntR//fecE//glnB//trpA//ydhX//argG//phoP//pheS//cheB//araJ//degP//spy//uhpA//oppD//yoaG//ykgR//nrfC//hyaD//dadA//ssrS//puuB//hybO//
IscR-[2Fe-2S]1+_pos	bcsA//dppC//ybfN//fepB//gcvP//nikA//citD//malF//gatY//araA//allD//
LldR-L-lactate_neg	glpT//ulaB//gutM//
LldR-L-lactate_pos	gatY//cyoC//evgS//
Lrp-Leucine_neg	arcZ//bglG//ssuC//nanC//manA//argT//paaD//infC//rcnB//mglA//puuP//glpF//cheA//nagC//yqjI//phnM//lacA//allD//preA//phnE_2//pgaA//dkgB//allD//gapA//sodB//caiT//nuoF//pheS//fecE//katE//bglB//nikD//glpA//gabD//ysgA//fadI//ackA//ycjF//alaV//narL//lsrD//gltW//idnD//hybB//acnB//ydbD//ydeN//nagC//metR//pdeF//trg//rplS//rbsR//crl//rbsK//hmp//glgB//amn//hyfA//ulaF//caiA//lacI//pgaB//pepT//ydbD//gatZ//nfuA//moeA//pheT//nuoN//paaE//prpE//garP//ydeN//guaB//
Lrp-Leucine_pos	gcvT//dppC//soxS//bhsA//metL//creC//lacY//speB//sdhC//fhuB//uof//hdeB//gabP//dmsA//yhjC//narL//uxaC//yfeW//hofO//gadC//citD//uhpT//rrlB//yoaG//guaA//gatD//rhaB//pncB//fecE//sucB//cheB//artM//rplC//ydbD//nrdD//
LsrR_neg	alaS//gpsA//pheM//hslJ//rrfE//nuoG//fecR//galK//aceA//
MalT-ADP-Maltotriose_pos	motB//gdhA//mhpT//paaG//allC//gutM//glpG//hycD//gyrA//fes//
MalT-Maltotriose-ATP_pos	bdcA//ubiX//ccmC//hyfF//carB//lysO//phoE//mglA//nanK//araE//
MelR-Melibiose_neg	ptsI//sbmC//tdcB//
MelR-Melibiose_pos	entH//artP//fecD//
MetJ-S-adenosylmethionine_neg	argG//malY//entE//cyoE//comR//preA//uxaC//ogt//pepT//nrfD//iscS//putP//arfB//speB//yeiB//
MetR-L-homocysteine_neg	yfdV//livM//
MetR-L-homocysteine_pos	phnL//yfdX//ilvN//xdhA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	xapB//idnR//fadB//yqjH//lsrK//gcd//
MhpR-3HPP_pos	ackA//dcuC//nrfA//adhE//glpA//rcnA//
MntR-Cd2+_neg	cvpA//tauD//yrbL//fhuB//
MntR-Cd2+_pos	serA//
ModE-MoO42-_neg	aroL//crr//sucB//yjeF//torC//osmY//yojI//dcuD//ispE//folA//gadC//gltA//qseB//mpl//nusA//
ModE-MoO42-_pos	bioF//narQ//nirB//gabD//ptsG//cysP//ccmD//yjcH//cyoE//galP//casE//ykgR//envZ//caiA//znuA//aaeX//aaeX//yqjI//rstA//mipA//udp//caiT//glcF//hyaA//nuoJ//ahpC//nuoM//rof//argR//modC//mutY//
NarL-Phosphorylated_neg	ubiX//cynX//fucK//pepT//hha//osmY//rpsI//metL//mtlR//xapB//nuoL//nanC//ompC//uidB//gcvT//fecD//tyrP//azuC//bamA//pgk//yjcH//cstA//lamB//astC//fucA//cysK//fhuF//trpA//iraM//hisP//aceK//rpoE//lhgO//lldP//treB//cynR//oppC//rbsA//exuT//nrfG//dusB//oppC//paaE//puuC//ygeA//pheS//bcsZ//fumC//cyaR//puuP//tfaQ//adiC//glgC//aroG//guaA//idnO//nrdF//artI//phoA//torD//ybdN//erpA//nfuA//cheR//hofN//gspC//glnL//ilvM//lysP//nuoG//pgaC//fhuD//mdtB//nusA//hybG//yfeW//citE//hycC//rrfB//tsr//bamA//ssb//ydfH//dmsA//ivbL//cysD//
NarL-Phosphorylated_pos	zraR//mtlA//xseA//pdeF//treR//mdtB//hyaE//glpX//tauD//puuB//marA//gspM//nuoG//umpH//grpE//dpiA//hflK//cysJ//gntP//murP//soxR//napH//gspI//phoH//phnC//hybO//torD//xylR//aceA//gspI//ygeH//fimG//ydiU//ptsI//aroG//sdhD//rhaA//fhlA//epd//creD//fadJ//borD//fucU//uidA//gutQ//hofP//
NarP-Phosphorylated_neg	hisQ//rplM//cynS//lsrR//narG//tnaA//phnL//betI//fepB//nrdB//nanM//slt//pyrD//dps//appA//tehA//hybD//ydeA//ileT//garK//dsdA//dadA//garL//hyfI//hyaB//acrE//tdcA//fhuC//cpxA//appA//melB//yfdE//efeU_2//
NarP-Phosphorylated_pos	gltU//nagC//ugpC//entA//yidQ//gcvH//lsrR//aroF//sufA//araE//acrE//fnr//nac//dppA//tfaQ//gutQ//yebE//rseA//paaF//fliZ//gyrA//dcuR//mgtL//glgP//yeaD//trg//sroD//phoB//nuoM//katE//tolC//tdh//
NhaR-Na+_pos	rnhB//bhsA//bcsZ//hycF//csgC//
NikR-Cd2+_neg	cheB//moaA//purD//gdhA//metE//nuoG//
NikR-Co2+_neg	rutC//moaD//hycI//ompF//mtlA//fdnG//
NikR-Cu2+_neg	glcG//puuR//pheS//phnI//tdcA//yggX//
NikR-Ni2+_neg	hflD//rpsR//yqjA//ssuE//gltA//rplS//
NikR-Zn2+_neg	cusB//fnrS//ulaA//ompF//paaE//gntX//
NrdR-ATP_neg	acrA//ccmE//hyfB//dusB//nrfG//artI//melA//yggX//ispE//
NrdR-Zn2+_neg	fixA//recF//fadJ//entH//nirD//glcC//fliZ//cydB//ytfE//
NrdR-dATP_neg	glgB//nuoJ//hofP//narH//frdC//casA//lsrK//iscU//bcsB//
NsrR-[2Fe-2S]reduced_neg	mglA//ybdN//ydiU//patZ//deoB//aceK//tehB//pdeF//grxD//actP//araE//rrsG//cpdB//crp//hdeB//pitA//nagA//citG//pyrD//recF//rutB//metF//rimP//pstC//yfaE//eda//ubiG//ulaE//yeiP//amn//hisP//arcZ//stpA//hyaB//cueO//moeA//argP//bioA//stpA//glmY//rrsE//cynS//gpmA//mglB//yfdX//fhuB//ilvG_2//aaeB//argH//araJ//ccmE//yfeW//aroP//fadE//xylB//dppD//trmD//nikB//hisQ//phnI//slt//caiF//ampE//yfdX//abgT//cysA//gntT//rrfF//citE//argD//modB//dpiB//ompT//
PhoB-Phosphorylated_neg	rbsA//bcsB//hofP//mzrA//lpxD//purC//srlD//gatZ//rutD//sucB//dadA//qseB//srlE//
PhoB-Phosphorylated_pos	feoA//ilvN//mutL//glnL//ilvM//cspE//betT//bcsA//dcuR//marB//nrfF//mdtA//moeA//hofM//nrfA//rbsC//stpA//ykgM//udp//bhsA//lsrR//cynR//modB//ilvG_1//fecA//pgaC//sucA//hyfB//ybiT//malS//rrsG//galP//lsrA//ykgO//nrdE//ugpB//phoA//infB//artP//rpsJ//gspH//glcC//uidA//dmsD//hyaA//emrY//rrsH//fumA//yjeV//trpA//gntT//ompR//gnd//
PhoP-Phosphorylated_neg	trpD//ygiB//glpX//yojI//mtr//phnK//betB//hyfG//purR//rbsA//fimI//
PhoP-Phosphorylated_pos	deoB//fhlA//hycD//rplT//pgaD//creC//sdhC//yeaE//garR//mscM//arcA//allD//gyrA//ugpC//rpmC//hemL//cyaA//cspD//dgcZ//livJ//hisP//ilvG_2//cheB//acrD//hycF//tonB//cheY//yaeP//galS//citC//dapD//nagB//tonB//nrfC//yhjA//fixA//glrR//psiF//napA//fis//xseA//efeU_1//yhfA//chiP//phnC//yjeV//ydhT//dnaE//prpD//
PrpR-2-methylcitrate_neg	ompX//
PrpR-2-methylcitrate_pos	aer//glpQ//casB//fepA//
PurR-Guanine_neg	glpC//argP//serC//rbsC//yggX//pncB//zraP//pgaB//nuoC//nrfF//rutA//creC//yhiD//yhiD//hofN//livF//gatY//aceK//uidC//hycI//ileU//cysG//prpR//hycA//lysO//fnr//ccmH//cysW//codA//fhuD//tauB//napG//hyaF//aldA//
PurR-Hypoxanthine_neg	napA//fepC//chbB//deoD//dapD//gspD//fadA//hmp//ccmE//lsrB//flhC//upp//ydhX//carA//gltF//prpB//araA//modB//gntX//hyaD//kbaZ//rutC//efeU_2//fepE//sdhC//cpxA//dppC//lhgO//hycD//rmf//metA//ung//glnD//mhpE//
QseB-Phosphorylated_pos	narL//fimI//waaH//evgS//
RhaR-L-rhamnose_pos	cadC//exuT//
RhaS-L-rhamnose_pos	narK//nusA//qseB//
RstA-Phosphorylated_neg	hisQ//malE//napA//acnA//ykgM//
RstA-Phosphorylated_pos	dnaE//hyfG//cadA//bioA//dnaA//
SoxR-[2Fe-2S]3+ oxydized_neg	trxA//
SoxR-[2Fe-2S]3+ oxydized_pos	artJ//appY//rpsR//
TorR-Phosphorylated_neg	cysK//
TorR-Phosphorylated_pos	nuoK//ung//uidA//melB//glgX//eda//manA//caiE//fabZ//
TrpR-Tryptophan_neg	rpsJ//fimF//cas1//tdcD//pyrD//mhpE//serA//hcr//fucP//cysP//speA//puuB//
TyrR-L-tryptophan_neg	hdeD//galS//paaZ//rbsK//modB//puuR//psd//yneM//iscA//lysA//yeaE//aspA//
TyrR-L-tryptophan_pos	metC//sufC//bioB//
TyrR-Phenylalanine_neg	ivbL//caiF//cysM//atoB//aldA//hyfG//hydN//ompF//hycH//rpoS//prfA//phnH//
TyrR-Phenylalanine_pos	ptsG//ulaE//nirC//
TyrR-Tyrosine_neg	manA//evgS//oxyR//fucA//ldtB//fdnG//ssuA//ycdZ//ynfG//aaeB//narL//uxuR//
TyrR-Tyrosine_pos	ydfN//fixA//phnH//
UhpA-Phosphorylated_pos	oxc//
XapR-xanthosine_pos	frdB//entB//
XylR-Xylose_pos	glpB//rcnB//hyfA//yeiB//rybB//nanK//
ZntR-Cd2+_pos	fepA//
ZntR-Hg_pos	nuoM//
ZntR-Zn2+_pos	narI//
ZraR-Phosphorylated_pos	ompW//psd//atoB//
Zur-Zn2+_neg	lysC//cpxR//ygiC//tdcC//pflB//rrlA//
