#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	caiT//borD//
ArgR-L-arginine_pos	rrfB//phnE_2//nanM//frdB//dnaE//
AtoC-phosphorylated_pos	glpA//idnT//metH//oppF//
BaeR-Phosphorylated_pos	preA//fecD//tap//baeR//sufE//ygbA//osmC//bacA//
BirA-bio-5'-AMP_neg	rutB//uhpT//creD//argD//tnaA//
CRP-cAMP_neg	rpsR//srlE//sufA//ydbD//rnlB//hdeA//modB//glgX//ybiT//malZ//preT//nusA//paaH//rutB//nanT//trpR//yhiD//ubiX//yaiA//purD//fes//malP//pgaB//appA//cysN//csiE//srlB//fimF//rbsK//rutC//rbfA//preT//slt//fixC//gutM//cyoA//moaD//trpL//rrlA//paaD//galE//feaR//fldA//paaA//ynfF//argP//ppiD//paaZ//ssuA//fucP//aroM//eda//amiB//caiD//grcA//purE//ilvE//metQ//glnL//cysA//raiA//pitA//purA//rrfH//aroH//hycE//araD//glpE//dmsC//casE//cyoD//rbsR//cynR//fnrS//ada//trxA//agaV//feoC//glpA//cbl//tfaQ//qseB//yjeF//psiF//ilvD//pncB//rseA//lamB//uxaB//torA//ugpB//tyrB//nrfD//fadL//ompA//mdh//araF//lsrC//hyfD//phnJ//ogt//pgaC//casD//cysJ//appC//gltU//tdcF//nagC//ilvM//azuC//betI//nrfG//oppA//dadX//nuoC//moeB//hycG//cyaA//atoB//appB//aaeR//lacY//argT//tauC//hdeA//grxD//hfq//fumC//nuoI//glgX//hyfA//psiE//pyrC//
CRP-cAMP_pos	fhuC//ycjF//iraD//napA//nuoC//hyaF//gpsA//infB//nanS//fucP//araF//gspL//mdtB//ydhX//trpC//malE//glnD//phoA//livM//glpE//uraA//pitA//mcaS//aroP//ileU//motA//yeiB//ptsH//dapB//nagC//codB//hybC//glnK//gatC//motB//srlE//metA//hpt//nrfE//nrfE//yfdX//moaC//ydhT//rpsJ//metH//ybiT//hypB//rpsS//aroH//pitA//prfA//sodB//ydhU//pstC//caiE//mhpR//xseA//gntK//aroP//ihfA//tyrB//ccmH//fadI//yeaE//gadC//dadA//nanT//glnK//yqjA//hycG//nrfC//sucD//phnM//slt//ugpE//astC//bamA//gspM//yeaE//arcA//phoQ//gntP//ubiX//mhpT//truB//nikB//tonB//paaK//paaG//rhaR//frc//fhuC//manZ//gutM//ndh//speA//mtr//ilvG_1//rdoA//torD//dsbA//hyfD//ychH//mepH//ssb//hycF//rrfA//cra//nanA//cydB//tsaE//fecA//aidB//emrY//livH//kbaZ//sxy//gltW//fepB//grpE//hybC//tcyJ//flhC//livM//bioB//micF//focA//bamE//dapD//cadB//gspO//tomB//hyaE//kbaZ//rpmC//puuR//gspI//aroL//glcB//lysO//gspO//serC//nanS//tauC//entF//lsrB//pyrD//nrdG//raiA//crr//aldA//rrfH//cyaA//abgT//mglB//gspH//nagB//yrbL//tdcC//gatB//ulaB//glrR//modA//osmY//evgA//ackA//cusA//dsdX//nfuA//envZ//yqjA//cstA//frdC//fdnG//hemA//gspH//dsbA//ilvL//ung//nuoN//ppdD//sdhD//tsr//abgB//lpxA//ybfN//pitB//ulaE//cueO//fau//fixX//galS//prpR//argO//iraD//dctA//pyrC//yecR//gntX//prpD//phoR//tdcC//malM//alaA//rpoH//marR//micF//feoB//hemL//aroP//atoA//garP//ubiA//glgC//galK//tktB//lpxA//napH//hemA//rrfD//hemA//modA//malM//fdnI//metJ//yibN//fumB//phnM//nuoH//acrB//hycD//glcB//glnK//chbG//rutF//amtB//bioF//lysU//ileT//baeS//chbC//glpE//aaeB//ndh//araH//gntT//norR//feaB//aroA//trpB//purM//dcuC//serA//malY//malQ//yeiB//psiE//acnA//sohB//glgB//evgS//allC//hyfR//codB//uidA//fes//erpA//phnG//hybF//dapD//ivbL//glcF//citX//ada//glcG//artM//torR//manZ//ydeJ//lrp//uidB//arcZ//arcA//malF//tnaB//guaA//garP//ilvD//argD//marB//bcsA//cdd//metR//argR//pepT//nikR//fadA//uof//cyoC//aaeA//ilvM//oppC//melR//ilvG_2//allD//rnlA//creD//fhuD//mhpF//fepC//preT//idnK//ileT//cusS//rrsC//artP//gspO//nrdD//fecI//cysG//serC//cspE//phoB//entA//mntH//exuT//agaV//livK//nanE//rpsP//acrB//mipA//murP//ydhY//nac//aaeA//feoC//tdcD//hyfR//ompR//hyaF//ydeJ//aaeX//hyfD//crp//phoP//cpxR//mlc//gspI//rplC//puuC//fadD//trmD//yegR//stpA//nuoL//xylF//dppF//glpK//rhaB//fnrS//glyA//ccmE//rrlE//hyfF//cadC//gpsA//araH//csgG//idnD//cadA//ykgO//rnhB//zwf//yeaE//yfbR//ugpC//zraP//pgk//astD//tyrR//caiT//lysO//atoE//mutL//gatY//pstA//prpB//yciW//fecE//nuoH//fecI//csgD//ulaA//ppiA//argC//ybdZ//adhE//aer//hycB//aroP//cysB//aceB//alkB//xylH//tnaB//codB//ompA//mtr//cheZ//astC//ydeM//hmp//pheS//hdeB//alaT//rutE//dsdA//yggX//hyfA//hyfB//yjeF//marR//ccmE//garK//rutF//erpA//ydhV//miaA//
ChbR-Monoacetylchitobiose-6P_neg	mgrR//yidQ//ubiG//dps//torR//alaT//
ChbR-Monoacetylchitobiose-6P_pos	ygiB//bglB//polA//lysO//gcd//glpA//
CpxR-Phosphorylated_neg	pgk//mtr//metK//araC//ilvB//arcZ//alaU//ccmE//gspL//yeiW//mhpR//cysJ//entS//ada//prpD//hycH//cas2//ydhV//ydbD//hyfC//lsrG//yaiA//fimI//glcE//
CpxR-Phosphorylated_pos	feoB//nfuA//creC//tyrR//hydN//lsrF//ssuD//ilvM//tolC//yneM//ppiA//pitB//argE//trpC//malS//mglB//xylG//dpiB//ydhU//treR//gnd//feoB//yaiA//chbR//gspK//araE//artM//nrdG//rrsC//sxy//sufD//nrdD//rnhB//pgaA//avtA//mdtD//lpd//hdeD//agaV//ada//ascF//abgA//ascB//hofP//hyfH//
CreB-Phosphorylated_neg	nadC//hyaD//tomB//
CreB-Phosphorylated_pos	edd//galM//cas1//cysD//pstC//hypC//
CueR-Ag_neg	lacY//cyaA//comR//astE//csgB//
CueR-Ag_pos	feaR//fecI//
CueR-Cu+_neg	ilvX//argG//tdcA//speC//sdhA//
CueR-Cu+_pos	appY//fhlA//
CuerR-Au_neg	malM//rpsF//thrV//mhpB//trpE//
CuerR-Au_pos	kbaZ//crp//
CusR-Pasp_pos	puuD//ydhU//sdhB//rutD//ycjX//argT//oxyR//arcZ//ygiC//hycG//ssuE//feoC//
CynR-Cyanate_neg	degP//
CynR-Cyanate_pos	rbsR//agp//pgaB//
CysB-N-acetyl-L-serine_neg	uxaB//glpX//csgD//astE//puuD//uidA//cysG//
CysB-N-acetyl-L-serine_pos	rrsG//cheY//gdhA//napH//ubiG//carB//appC//pgaD//nuoF//araG//iraD//micF//ygeH//glgX//fhuF//yegR//safA//aroG//rpsF//gutM//astA//feoB//yccA//
CysB-O-acetyl-L-serine_neg	cadA//hycD//nuoM//slyB//cysC//ada//rpsF//
CysB-O-acetyl-L-serine_pos	ulaF//speB//csgC//glgC//cynX//ampE//nagA//infC//atoA//ivbL//sdhA//nrdF//torC//sdhA//iraD//ybdZ//lsrB//ydeM//uxaC//casD//pitB//sdhD//mdtA//ygeH//
DcuR-Phosphorylated_pos	ccmA//iraM//narQ//yneM//araJ//aldA//alaA//araG//pitB//
DnaA-ATP_neg	metA//cyoB//hyfI//sucC//gspM//skp//rutC//mdtB//tauA//ugpA//malS//
DnaA-ATP_pos	fnrS//yhjC//phoQ//aroA//ygiB//carA//yeaE//
DpiA-Pasp_neg	yeaD//
DpiA-Pasp_pos	rutE//cpxR//znuB//aceA//hofP//ybfN//ydhU//yqaE//astE//adiC//
DsdC-D-serine_neg	rutA//
DsdC-D-serine_pos	rhaS//araD//
EvgA-Phosphorylated_pos	phoP//cyaR//araG//hybA//glpX//caiF//lpxB//puuB//garR//safA//araD//nac//gabP//rbsK//moeA//
FNR-[4Fe-4S]2+ reduced_neg	ssuE//mcaS//ydeJ//focB//gutQ//spy//phnL//icd//yfaE//ydhT//agaV//fixB//fadH//yggX//dmsC//exbB//flhD//xylR//spf//idnK//fur//hyfF//fadA//hyaD//ycdZ//tnaC//hyfI//ydhX//cynX//nohA//entA//uidC//hofM//gatD//yidQ//srlE//gspJ//gspI//glyA//sdhD//hypB//yggX//livK//ssuB//gspH//sdaA//uhpA//nuoG//moaE//pdeF//sufC//gltB//bcsZ//yhiD//rrlC//hupA//rrsA//nlpE//acnA//araG//idnT//fdnG//tsgA//rpoS//citG//alaA//hybB//alaS//bcsB//glyA//tyrB//ppiA//hyaE//sufS//rrlE//phoB//gntP//metK//norW//abgB//phoQ//hycF//malI//gadC//glpB//argI//rpoS//bhsA//rybB//yfiP//ileU//trpC//artI//cusF//hybE//rpsO//treR//idnK//mgrB//napG//rplS//glcG//fiu//livH//fecA//tsx//sbcC//yeiB//nohA//sufD//rplV//fadJ//appY//hyfH//prmC//narI//yfdE//cpxR//atoA//yedX//
FNR-[4Fe-4S]2+ reduced_pos	narJ//casC//glnD//talA//srlE//nanC//fepA//uxaC//argF//hycA//fhuE//tyrP//rimM//ssb//treB//yqjI//appX//katG//tdcA//paaA//torA//fis//glpC//mpl//envY//torA//emrY//bioA//ybfN//degP//xylF//hisQ//cysU//rrsG//cysN//rnlA//soxS//hflD//gcvP//leuE//cysD//nac//lldP//metQ//bioB//lpxA//ilvC//norR//hmp//argO//pepT//lysO//murP//nrfC//appB//hybD//fadJ//csgC//moaC//xdhB//ychO//metF//ulaC//paaH//rimP//fhuE//fau//allC//exbB//hslJ//ydfN//caiE//stpA//narL//metI//hypC//hycB//hfq//hcp//trmD//moaB//lldR//avtA//entH//argP//sdhB//rrsH//glnG//mgtL//ompX//cynT//xapB//astD//grpE//narX//pgaB//cysP//astD//ileV//xylG//tyrR//gcd//rrsE//mtlA//kbl//fepD//gcvT//azuC//ompR//asr//caiA//rpsC//narG//glnK//pgk//malT//pgaD//sufS//truB//ebgA//narL//exbB//lsrC//pitB//paaG//agaV//dppC//crp//zraR//ycjF//fimI//fur//entC//rstA//purD//edd//hyfI//malQ//idnO//lsrR//feoA//cydA//nagE//cyoC//rhaB//napC//yccA//hisJ//rrlB//efeU_1//chbF//psiE//livF//ampD//alaV//fhuD//nuoJ//grcA//malX//flhD//baeR//mdh//pstC//xylH//tktB//dctA//galP//xylH//priB//pgaD//hisM//rpoS//ykgM//uhpT//fixX//cstA//aroH//yiaJ//safA//oppF//fhuA//abgT//fucK//mhpT//gatC//dkgB//uidA//tyrR//ydhY//ccmG//allE//livG//uidB//dnaN//acnB//yeaD//lsrA//hofO//sbcD//rprA//araF//fnrS//
FhlA-Formate_pos	edd//nupC//gntX//mntP//yeaE//purH//xapA//glgC//paaJ//feaR//ydhT//lsrB//glnG//cvpA//aldB//aroL//tauD//srlR//glnG//hfq//gadB//rrsD//yhhY//glpC//cysK//lpxB//ftnA//fecB//lsrB//eda//
FucR-L-fuculose-1-phosphate_pos	moaC//ascF//rpsP//melA//ampE//cheA//ppiD//
Fur-Fe2+_neg	cysD//fepB//aaeR//nuoH//gltV//metQ//hisP//sbcC//ftnA//pnp//glpR//speC//trg//bioF//uhpT//ysgA//narI//purE//ubiA//glpE//hemA//livF//nuoH//rplW//metA//treR//cysB//moeB//entD//paaI//rpsQ//fhuD//ydhY//acrF//appA//ynfK//hyaE//oxyR//puuP//rseA//cdd//fhuB//trg//tsaE//fhuA//hypE//glgX//lacA//gutM//gspD//hyfC//fimH//sufA//pstB//cynR//ilvA//paaK//ysgA//nuoI//tcyJ//fbaA//puuD//gspE//dppB//chbA//garP//fadD//phoU//malS//dpiA//nirD//caiB//cydC//rseB//mdtC//rplP//fhuB//rnpB//znuC//gntU//iclR//tonB//bioD//rhaD//tyrB//rrfC//yeiP//ompR//ykgR//sbmC//fes//mtr//zinT//oppC//appX//hofC//nrdF//lsrK//ynfE//pflB//nagC//hmp//dadA//fixA//prfA//mhpC//hdeA//entF//ydeM//fhuA//appC//glnA//torR//aroH//yqjA//purC//ygaC//ompX//zraR//cpxA//emrY//tpx//gntP//mltC//
Fur-Fe2+_pos	feaB//fepC//rhaA//ugpA//efeU_2//hflD//sucD//cyaA//srlE//waaH//cydB//napC//nanE//gutM//moaB//cas1//hycE//glcG//nikR//gpmA//xylF//fucO//ptsI//gyrA//folA//
Fur-Mn2+_neg	uidC//yibN//envZ//phnM//rpsQ//fecA//srlA//gspK//moaA//hflX//cvpA//csgF//casC//gspH//dppA//nuoF//glgP//csiE//nlpE//ydhY//araE//cysB//mhpT//yfdV//fecE//abgA//glpF//alaT//metY//rbfA//cspE//araB//fadJ//iraD//nuoB//hofB//gltV//yfiP//pdhR//napH//ubiG//prpB//nrdH//livK//hflX//uxuB//rpsQ//tehB//exuT//torC//rrsE//metQ//yhhY//rpmC//metF//zraS//fixX//artQ//trpC//hdeA//tonB//bacA//pyrC//carB//cyoE//purE//ompC//cyoD//fimA//dppF//malE//ykgR//pstS//artJ//narX//patZ//napC//hydN//yegR//ydhW//narJ//ydhV//malZ//livK//alaT//yhjA//rrsC//feaR//rpsO//hfq//glcE//yhjA//araA//rutA//nuoC//lpd//serA//paaA//dadX//cynS//phnF//ulaF//rrfE//rybB//hfq//metB//phnF//malK//ompR//phnF//aroG//gatY//sroD//citE//caiF//rbsD//hypA//cusC//ung//cysC//nanK//paaC//uraA//gatY//
Fur-Mn2+_pos	fimD//uraA//sdaA//yeiB//nfuA//sbcC//glgP//nrfG//hupB//aldB//lsrG//ccmB//deoA//torA//trpC//nikC//hybD//modA//ebgA//zwf//manY//micF//malE//ilvG_1//creB//
GlcC-Acetate_neg	nirC//
GlcC-Acetate_pos	oppD//phoR//idnR//hypE//ompF//mglA//
GlcC-Glycolate_neg	uxuA//
GlcC-Glycolate_pos	malX//lacY//appC//qseB//ynfK//frdC//
GlrR-Pasp56_pos	glnD//
IclR-pyruvate_neg	phnC//recF//appX//yojI//
IdnR-5-ketogluconate_neg	xapA//ftnB//nrdF//
IdnR-5-ketogluconate_pos	fucU//rrlA//yaiA//ydeA//prpB//
IdnR-Idonate_neg	motA//uhpT//gspE//
IdnR-Idonate_pos	nuoE//ulaC//xdhC//yidQ//galE//
IlvY-2-acetolactate_neg	fnr//
IlvY-2-acetolactate_pos	uxuA//
IlvY-Alfa-acetohydroxybutirate_neg	codB//
IlvY-Alfa-acetohydroxybutirate_pos	nuoH//
IscR-[2Fe-2S]1+_neg	hybG//yqjA//hybG//folE//tyrR//uhpT//lpd//lacZ//hyaD//fhuB//ybdZ//acrF//deoB//eda//gatB//lsrC//grxC//ansB//fadI//norW//mdtD//spf//hyfD//citG//metK//artM//rpsJ//cusF//rnpB//tdcB//
IscR-[2Fe-2S]1+_pos	safA//arcZ//rrfG//fixB//uxaB//hybE//fecC//upp//hemA//phnP//fecE//
LldR-L-lactate_neg	idnD//lysP//uidC//
LldR-L-lactate_pos	betA//uidC//ssuE//
Lrp-Leucine_neg	ubiC//tyrA//kbl//fhuA//alkB//hypE//dmsC//fimG//trpL//fixC//ykgO//yhfA//fadA//lolB//srlD//ilvE//ppiD//phnD//nusA//phnH//yegZ//chbF//betB//agp//astA//srlE//dsdC//aroL//prpD//ulaC//envZ//rplV//narG//chiP//glpX//phnP//ompW//rpsC//napG//idnT//rutC//aceF//iscU//napH//phoR//aldA//uidB//ileV//uxaC//tolC//ubiC//pstS//ilvL//gcvT//rpoS//lacA//cysU//napA//moaB//glnG//marA//norR//uidA//cheZ//yggX//phnO//caiD//nusA//dadA//malT//fucP//rrlA//tyrA//purK//fumB//
Lrp-Leucine_pos	dusB//appB//rhaD//gltF//ydhV//envY//fecB//nadC//xylA//ybdZ//metA//nupC//bioB//pgaC//allC//rrfH//nuoF//hyaE//evgA//glmY//hybB//hycB//nanC//bioB//codA//metL//argT//cyoE//serC//ydhW//ackA//garP//astA//crp//yeiP//
LsrR_neg	fixB//comR//uhpC//tyrP//aroM//fucK//lsrG//glcD//hypB//
MalT-ADP-Maltotriose_pos	hyaE//metN//malZ//glgC//mhpC//ydhV//rutG//glgP//norR//bioB//
MalT-Maltotriose-ATP_pos	citX//hycI//cas2//phoQ//acrA//betB//purK//caiT//mntP//ompW//
MelR-Melibiose_neg	napG//fecI//glgS//
MelR-Melibiose_pos	phnG//rbsK//aceE//
MetJ-S-adenosylmethionine_neg	ompR//pitA//yjcH//cpxA//rnlA//tdh//hflX//fhuB//mepH//paaK//ydhY//rpsF//lsrB//mtlR//dcuR//
MetR-L-homocysteine_neg	deoB//ydeO//
MetR-L-homocysteine_pos	dmsC//pgk//ampE//manY//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	paaG//ptsH//hypE//nrdG//appA//melA//
MhpR-3HPP_pos	gltB//aroA//fhuA//torR//zraP//ydiU//
MntR-Cd2+_neg	zraS//sroD//phnN//cysK//
MntR-Cd2+_pos	pdhR//
ModE-MoO42-_neg	ispE//cyoA//csgC//tauC//rutA//psiE//tdcB//idnR//dcuC//gltV//purR//hyfE//nmpC//agaA//gltT//
ModE-MoO42-_pos	hisP//rpsS//aer//yfdE//metL//purM//fimE//tauB//ackA//gspH//ccmA//araD//ahpF//ilvC//rrsG//mhpA//nohA//hdeD//alkA//osmY//moaA//glpC//galS//nrdF//uxaA//glpG//ynfF//ccmE//malP//gntR//prpB//
NarL-Phosphorylated_neg	gadB//nmpC//rrsH//aceB//srlD//tauC//rplC//hyaA//cheZ//argR//glcC//acrB//cadB//hyfJ//lsrF//yfiP//yegZ//prfA//glgC//tap//napA//trpC//nirC//rprA//gltV//mhpD//allD//gdhA//dcuB//pyrC//phnC//prpE//fhuB//ompX//ampE//rseC//gntX//mdtA//csgE//gspM//hycF//lysA//aaeR//glnL//ackA//csgE//sufD//aspA//manX//nuoC//fecI//cpdB//galK//safA//pgk//soxR//dadA//crl//putP//cheR//hyfA//nikR//rplW//metQ//citF//dppD//mgtA//iscR//hupA//yeaE//fepA//nrfD//prpD//bdcA//yegZ//sufE//abgA//guaB//fhuE//nupC//hycE//focA//phnI//bhsA//rpsO//rpoE//
NarL-Phosphorylated_pos	fliZ//fldA//aroP//citD//gcvP//phnC//aspA//tonB//gspH//ihfA//pstA//dnaN//gspC//moeA//spf//deoD//aspA//soxR//rpsS//tdcB//yciW//amiB//yedX//ycjF//mtlR//manZ//norR//aroP//lacA//fadI//xdhC//cysB//napG//nrdG//yaiA//gabT//rybB//malM//zntA//rbsB//zinT//glcB//fhuF//rhaS//rplI//tolC//
NarP-Phosphorylated_neg	uxuR//nuoJ//evgA//mhpA//fecD//ada//sufA//deoC//cas2//srlB//yegR//sxy//xdhB//phnP//miaA//mdh//dadX//fhuE//nrdF//hyfA//dcuB//mzrA//grcA//chbA//hupA//ybiT//allD//melR//gapA//ompR//preT//idnR//acrB//
NarP-Phosphorylated_pos	cysP//nrfA//phnE_1//idnK//cydC//pta//bioC//aroG//hycB//oppA//cynX//tsr//xseA//cadA//lysO//chbG//cheR//yaiA//caiT//uhpT//dmsD//nirC//paaI//sdhD//gyrA//ppiA//nuoL//malF//rbfA//idnR//hyfI//sucB//
NhaR-Na+_pos	ygaC//serA//dmsA//phoU//iraM//
NikR-Cd2+_neg	glrR//preT//ssuA//aroH//fes//fumB//
NikR-Co2+_neg	gadC//nuoF//narG//melA//tauC//acrE//
NikR-Cu2+_neg	chbC//hycG//citD//gntT//rrlD//rhaS//
NikR-Ni2+_neg	uhpC//glnD//hypB//rplC//yfaE//uraA//
NikR-Zn2+_neg	fadE//yoaC//aroL//raiA//mutL//rrsE//
NrdR-ATP_neg	ldtB//malE//oppC//ilvH//rpsS//rimM//norR//sbcC//glcB//
NrdR-Zn2+_neg	speC//astD//erpA//rrsE//gspM//aspA//cpxR//ccmE//yrbL//
NrdR-dATP_neg	argC//lpxA//rnhB//glpT//zwf//hycE//spy//puuA//murP//
NsrR-[2Fe-2S]reduced_neg	hycE//srlA//malZ//rpoE//ykgM//phoP//allD//codA//yeaR//gntU//nikD//casD//hycB//galT//yaeP//efeU_1//cheA//yfdV//citG//dadX//glpK//rpsC//cspD//yaeQ//ssuA//ptsH//caiD//paaZ//rhaT//rhaB//fadA//cysU//chbF//fucK//fixC//fecB//fis//sbmC//cusC//modB//rpsO//micF//rnlA//cydB//nanM//sufE//deoB//nikR//aaeR//safA//hflK//prmC//ssuD//yecR//trpL//treR//nadC//ybiT//ychO//idnT//yfdV//gntK//galP//avtA//lsrD//cysA//gatZ//srlE//fimG//mglB//marR//hybF//uhpC//
PhoB-Phosphorylated_neg	ulaB//citG//uhpT//csiD//napD//phnM//qseC//ycdZ//sufA//cysB//ykgM//narI//feaR//
PhoB-Phosphorylated_pos	entC//nadC//pdeF//yhjC//atoA//carB//ompR//moaC//ygiA//cyoB//cusF//nuoA//ascB//idnT//glcF//codA//gutM//ynfF//iscU//ydhU//xdhC//metH//chbC//cysG//galK//mltC//cas1//rutG//chbF//yfdE//ugpQ//nusA//ugpQ//idnD//uidA//fadE//gdhA//rhaR//ugpE//sbcC//malE//cheR//tap//oppB//hybF//glgS//rrfA//gatA//aroP//tsr//serA//gnd//hyaC//
PhoP-Phosphorylated_neg	hisQ//mdtA//zinT//galM//fau//chbC//rof//hyfA//rseA//tcyJ//malZ//
PhoP-Phosphorylated_pos	rstA//rybA//mhpF//fimE//rrfA//cusR//tehB//artP//abgB//rpoS//metA//tauA//pdhR//efeU_1//purM//betA//hyfG//dppA//nikC//nlpE//putP//melB//mhpE//ivbL//mgtL//rbsA//rdoA//phoB//appX//crp//ftnA//manX//nrfD//mhpF//oppF//znuB//caiD//aceF//mtlD//xylA//cytR//rbsR//fdnH//nirB//manY//ygbA//rplP//deoD//nohA//
PrpR-2-methylcitrate_neg	iclR//
PrpR-2-methylcitrate_pos	iscA//rhaR//hycE//deoC//
PurR-Guanine_neg	gutQ//atoB//purE//ygiC//tdcB//arcA//gspM//hyaA//yeiB//pck//idnK//rrlB//gpsA//artI//tap//yegR//rimM//phnL//ilvE//purN//bcsB//rrlC//dcuD//hslJ//rnhB//aroG//yhfA//ung//glpD//garR//nuoG//purR//paaJ//ydfH//
PurR-Hypoxanthine_neg	garK//dnaN//phoU//yjjZ//norR//fucI//rplD//rnlA//dcuD//dcuA//mltC//lacY//rpsQ//ubiG//marR//gatC//lsrB//entB//ulaD//dctA//fadD//uxuB//argB//nrdI//alaU//copA//rimP//ynfF//purF//gspG//pyrC//sucB//lpxA//rrsB//
QseB-Phosphorylated_pos	purN//ebgA//mtr//garL//
RhaR-L-rhamnose_pos	cheB//appY//
RhaS-L-rhamnose_pos	entC//nuoC//lsrF//
RstA-Phosphorylated_neg	cvpA//ydhW//cstA//puuC//dsdX//
RstA-Phosphorylated_pos	hflK//rrsE//mdtB//fumA//tdh//
SoxR-[2Fe-2S]3+ oxydized_neg	fimE//
SoxR-[2Fe-2S]3+ oxydized_pos	skp//rplS//ldtB//
TorR-Phosphorylated_neg	rrsA//
TorR-Phosphorylated_pos	galE//hyfH//prpD//araG//mhpA//ygiC//rcnB//nuoF//dcuB//
TrpR-Tryptophan_neg	sdhC//phnN//fimA//cysH//fhuE//metY//ilvL//nikC//motA//pheS//malX//tdcA//
TyrR-L-tryptophan_neg	ydeN//rutF//gnd//acrF//nuoM//hycH//fecC//codA//glpT//napH//secB//cytR//
TyrR-L-tryptophan_pos	fimE//prpB//metJ//
TyrR-Phenylalanine_neg	bcsC//rrfE//rpsF//hypB//nupC//cas2//hycC//hofN//cynX//rplD//gltD//aspA//
TyrR-Phenylalanine_pos	rstA//nrdE//ygiC//
TyrR-Tyrosine_neg	yhjA//hyfC//bioC//fldA//fadE//ppiA//tomB//guaA//mntS//tdcB//mhpT//ldtB//
TyrR-Tyrosine_pos	cheW//ugpB//ompF//
UhpA-Phosphorylated_pos	rrfE//
XapR-xanthosine_pos	gyrA//fbaA//
XylR-Xylose_pos	hybE//rhaS//flhD//artQ//nanM//purD//
ZntR-Cd2+_pos	gpsA//
ZntR-Hg_pos	dcuB//
ZntR-Zn2+_pos	alaS//
ZraR-Phosphorylated_pos	lacZ//prmC//eda//
Zur-Zn2+_neg	speB//ydfH//aroG//csgF//ilvD//tauA//
