#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	cdd//rutG//
CRP-cAMP_pos	gspF//rrlG//gspI//xdhC//srlB//tomB//mtlA//rrfE//hybE//cra//astE//lpxB//glpD//ilvA//rpmC//nrfC//csgD//casD//xapA//rpmI//hupB//hflC//ilvH//mgtA//nagC//znuC//ycdZ//emrK//ahpF//nrfF//bcsZ//phnJ//glpA//cpxR//rrsD//ycjF//hydN//dcuC//astA//hyfC//ssuB//purF//glpQ//cheY//yojI//ydeO//paaI//rbsA//ldtC//soxR//sroD//pyrD//glpQ//alaT//tyrR//chbA//ulaB//ulaC//entD//zraS//phnJ//ydeA//hisP//metJ//sdhC//degP//rrsA//paaB//lldD//dsbA//modA//uhpA//ilvL//gspJ//tsr//amiB//ynfF//mglB//epd//cysU//gnd//yfaE//cyoD//caiE//fiu//moaA//cysK//hycG//tyrP//rbsB//bhsA//fimF//yegZ//mpl//dmsA//hofM//fliZ//tehA//ydhY//yccA//nrfA//purB//mgtL//secB//astD//evgS//ygiB//mhpT//bglG//rrlA//ynfF//soxS//fhuC//mdh//torR//lpxB//tcyJ//purC//rseB//fimG//secB//lsrC//rcnA//yneM//rplP//nrdE//cytR//psiE//trpA//hydN//fepC//ygbA//ydeP//ydbD//sohB//fnr//nac//prpC//tap//ccmD//malS//nuoL//rmf//hcp//preT//argB//gltF//phoB//dppF//speB//icd//ccmH//hofO//patZ//araG//hycD//napB//rnlA//osmY//glcA//gatD//abgA//entA//moaE//hyfF//paaE//tdcB//abgA//bamA//nuoN//frdC//phnH//hybG//amtB//xapB//rrlD//nanS//purA//fadA//alaT//lldP//xdhB//hybB//epd//fhuF//hyfJ//aroP//nagE//paaD//srlA//cadC//folA//epd//hypA//narI//folE//citG//phnN//tadA//dppD//cusS//xylF//codA//glnA//nuoA//atoB//rutA//lacY//frc//aceE//lysC//ccmE//gntX//aroH//paaJ//hisJ//caiE//tauA//glcD//kbaZ//caiE//gatB//rpsO//iscU//ykgM//tdcD//idnK//rplB//mhpA//glcB//fhuE//udp//ndh//lpxB//fucR//artM//yhiD//paaE//moaD//nanK//glpQ//nanS//katG//carA//sdaA//pck//ydhV//rof//fecD//cydC//ebgA//phoP//nuoB//artI//hmp//sdhB//efeU_2//moeB//gadB//sufB//entC//ilvG_2//ilvX//rrsA//fimG//cysM//tdh//hupB//yciW//marR//araG//ssuB//ynfG//betB//xylB//lpd//cydD//dadA//cysU//nagC//hflX//cheW//paaJ//sbmC//crp//hyfE//melR//sufA//gspE//prpB//frdD//dctA//kbaZ//trpR//lpxA//glpX//rstA//pdeF//fecB//mtlD//rpmI//caiF//abgA//tyrR//mhpR//tnaB//edd//rhaD//oppC//nikA//cheR//grxD//hofM//hycB//glcG//yecR//paaK//nrfB//paaA//ydeM//nrfA//recF//tolC//yciW//tdcF//ompC//sdaA//glcE//ydeJ//nirC//tdcE//aldA//hycC//rrfH//rhaT//fucP//metJ//purE//cysD//glnA//galT//caiF//mtlR//fadH//paaG//actP//argO//rpsP//hdeA//nuoE//artJ//napA//purB//hybO//murQ//yiaJ//rbfA//astE//hyfH//phnG//hofB//torD//azuC//lysO//tyrB//infC//allC//cusC//tnaB//psiE//cusF//pnp//hofC//zraP//galP//citX//cbl//trpA//xapB//cysM//yqaE//ccmB//xylA//paaI//dppA//folE//phnE_2//rbsC//fadL//motB//hycF//yqjH//murQ//frdB//xdhB//srlD//purK//fixB//evgA//paaJ//gabD//emrK//yjeV//nirD//qseB//gabD//hyaA//ygaC//narK//fecR//pgaD//ssuB//csgD//fnr//nrfB//hypB//rbsA//phnL//gatZ//ilvY//tsgA//malZ//gabP//nrdF//hmp//rpmC//xylF//rutE//glyA//
ChbR-Monoacetylchitobiose-6P_neg	waaH//ynfE//nagC//sbmA//sdhB//ssuD//
ChbR-Monoacetylchitobiose-6P_pos	uidC//rrsG//mglB//entH//comR//argC//
CpxR-Phosphorylated_neg	exbB//cheZ//ybjG//arcZ//lacA//hyaF//mglC//tap//argA//amiB//rdoA//phnO//gspG//ilvL//dgcZ//tauB//rpmC//rstA//gspL//narJ//dcuS//lysA//nrdH//rrsC//
CpxR-Phosphorylated_pos	nrdA//fadB//mutL//fdnG//mscM//phnC//hyfE//cysN//ccmH//yeiL//tsaE//pheS//srlR//dsdA//cysH//rhaA//galK//araD//efeU_1//nupC//acrA//nfuA//ilvC//nfuA//dsdX//araE//phnE_2//glyA//exbB//betB//araD//hofN//araD//dapB//rutB//glgA//ulaB//ebgA//grxC//rrfA//pheS//sdhB//gspC//tdcC//bamA//
CreB-Phosphorylated_neg	pgaB//nrdF//cynR//
CreB-Phosphorylated_pos	aceE//casB//rrlG//ihfA//patZ//dpiA//
CueR-Ag_neg	nuoH//xylG//gpmA//tnaC//dusB//
CueR-Ag_pos	yeaD//idnR//
CueR-Cu+_neg	trpL//napF//livK//nirB//motB//
CueR-Cu+_pos	napF//dcuD//
CuerR-Au_neg	rrsG//ssuA//hycH//caiB//norR//
CuerR-Au_pos	yeaE//sucA//
CusR-Pasp_pos	lysC//norV//sdhA//betA//ilvN//lpxA//yhhY//cysH//yeiW//nanS//fnrS//rof//
CynR-Cyanate_neg	sdhA//
CynR-Cyanate_pos	fecC//rplP//torR//
CysB-N-acetyl-L-serine_neg	tam//ssuB//modC//cheW//bioF//aidB//glrR//
CysB-N-acetyl-L-serine_pos	ispE//ryhB//csgG//xseA//moeB//dcuA//nuoJ//acrE//melA//infB//mhpB//fur//malQ//fimI//acrA//appB//acrB//sbmA//creC//arfB//atoE//casC//pheM//
CysB-O-acetyl-L-serine_neg	moaE//glgA//ompA//fepG//ssuE//hemA//rplB//
CysB-O-acetyl-L-serine_pos	creA//speC//lsrA//serA//phnN//rrsD//metA//mhpA//livK//fepB//deoC//hemL//cynR//xylA//fecA//pitB//cirA//sucA//ndh//puuB//yecR//mntP//tap//ada//
DcuR-Phosphorylated_pos	rseA//prpR//hybO//fepG//pyrC//argP//gspH//yhjC//hybC//
DnaA-ATP_neg	cysG//glcE//exbD//dapB//gatD//ssuA//amn//nrdD//nuoH//glpC//hyfA//
DnaA-ATP_pos	nagB//yojI//talA//dcuB//ulaE//kbaZ//frdC//
DpiA-Pasp_neg	yqjH//
DpiA-Pasp_pos	rrsB//gatD//argI//nanC//sodA//feaR//phnO//znuC//ccmF//ydeP//
DsdC-D-serine_neg	fes//
DsdC-D-serine_pos	fhuD//chiP//
EvgA-Phosphorylated_pos	creB//rrfB//malZ//tpx//rplB//ccmE//deoD//rnpB//artP//cydA//tauD//xylG//ybfN//glcA//oxyR//
FNR-[4Fe-4S]2+ reduced_neg	tnaB//fabZ//rpsQ//rrlB//cheW//oppC//fimD//nrfD//hyaB//yggX//lsrD//ileT//phnP//uidC//lpxD//ilvI//narI//hisJ//sxy//cysG//citG//lsrC//cueO//tonB//astE//amn//malX//mtlA//manY//cysJ//malP//nupG//gntU//uof//hypD//tdcB//ampD//yeaE//malF//rrlC//mhpT//secB//casD//pitB//bdcA//rhaS//aroH//rpoH//paaA//csgB//speC//gatZ//malF//dcuB//yfeW//fhlA//ompC//fhuB//xylF//rrfH//nirC//cysI//rbsC//galE//argD//flhC//treC//cusR//yfdE//glnL//rplC//casE//glgC//metQ//betB//nanM//stpA//rrfF//abgA//cyoE//ilvG_2//prmC//lsrA//nuoL//srlR//phnF//ubiA//prpB//rpmC//artJ//upp//ompA//baeR//gcvH//napB//tdcC//secB//citX//rhaR//hfq//kbl//nikA//phnG//hflD//fur//galS//gntX//rrsE//rplC//livM//cysI//feaB//mtlR//serA//galP//pgk//hycD//prpD//moeA//hycG//
FNR-[4Fe-4S]2+ reduced_pos	uhpB//rrsD//citG//csgG//cusB//ccmB//fumC//exuT//fucP//cusA//appY//frdD//hdeD//nuoB//ycjF//zraS//fadD//rimM//katG//malM//fucU//ydfH//rrfA//uxuR//zinT//caiF//zraS//entC//citE//mhpT//ccmB//dppB//edd//phoA//moaB//rrsD//borD//galT//creD//fimI//ulaD//tolC//fdnI//uxuA//ldtB//nuoN//nuoF//yjcH//idnT//appB//glnG//narJ//dpiA//rutF//livF//ynfF//betT//xylB//ygiC//yfiP//betI//fabZ//speB//tnaB//fhuB//aspA//ansB//cyoC//norW//betI//metQ//nrdH//yfdX//zraP//fldA//gpmA//cheR//gapA//rplS//fepD//gapA//pstA//betA//hypC//qseC//thrS//entA//manZ//fimD//rplI//alaT//mhpC//nuoG//argT//fdnG//norW//emrK//ykgO//phnD//skp//dcuS//ihfA//fimI//xdhA//agaW//xylA//glrR//entC//fldA//micF//metQ//grxD//frdC//rrsE//frc//yneM//folA//rrsE//ydeO//artJ//trmD//pdeF//paaH//agp//cyoA//cynR//cadA//paaG//malT//alaU//csgG//baeS//bioC//hemA//gspI//rplB//cynS//ssuE//glcF//grcA//yeaD//yfdV//rpmI//nuoH//treB//prpD//glgC//fucP//purH//tyrB//glcB//rplW//lrp//cyoA//osmC//gspG//lsrD//grxC//ydhW//hofN//gspK//rrsA//aaeR//phoA//cadA//fhuB//exbB//kbaZ//dsbA//talA//grpE//bcsC//entH//sdhA//xylB//rnlA//yegR//yeiB//ydhT//ulaF//hypC//nuoA//sufB//rpoH//fimF//pdeF//gspD//gltB//phnL//idnO//frdB//dadX//purA//fadA//hdeA//rhaR//hyfJ//ccmF//sufB//yaiA//ydfN//murQ//
FhlA-Formate_pos	glrR//amn//cysI//oxyR//ybdN//yjeV//rplB//yggX//rplB//moaE//torA//yecR//gltB//paaC//spf//yfdX//csgE//malY//mdh//fepE//hyfF//emrK//rrsH//cysH//soxR//srlB//mglB//narG//qseC//creC//
FucR-L-fuculose-1-phosphate_pos	casB//nrdF//srlE//pstC//ung//purF//prmC//
Fur-Fe2+_neg	glpQ//citX//fhlA//mdtD//rpsR//mdtA//ftnA//atoA//hofP//uidB//xylH//xapA//phnE_2//carA//rutE//ygeA//glpB//moaB//dnaE//phoU//citC//pgaD//guaA//rrlE//ydeA//idnK//livG//fdnG//hypA//gnd//astD//purH//idnR//lsrD//metI//lsrD//mglB//oppA//rhaR//ilvX//nrdF//sufC//hybB//tdcA//garP//lacA//cysH//mutY//yebE//dctA//fecA//narQ//livJ//araH//nrfC//cheW//hyaA//napG//hpt//thrS//ulaB//uhpC//hycA//casA//cheA//galT//dmsC//prpE//xylG//gatA//mhpA//zraS//lldR//casB//nanT//ydeN//mglC//araD//gspL//sdhC//galT//cysW//torA//lysP//livF//xdhA//cynT//nirB//crp//gatY//uhpA//gatZ//entS//ogt//baeS//speC//sufB//ugpE//marA//sucB//qseC//rrfE//creB//uidA//cusA//xdhB//tap//citE//rpsS//ung//phnD//srlE//cysC//caiT//rutC//galE//metY//gdhA//pdeF//trg//fucP//nikD//dcuC//dkgB//
Fur-Fe2+_pos	glcG//citC//rplV//ccmH//araE//mdtC//sbcC//nikC//fhuC//xdhC//atoE//fbaA//fecD//ygeA//yfiP//ldtC//entD//hycC//citX//alaT//nrdH//gltD//hflC//ilvG_1//moaE//
Fur-Mn2+_neg	rpsP//uhpC//narG//sbmC//fepB//alaT//pgpC//ryhB//malM//iscA//dusB//malT//sodA//lysO//purF//cysH//phoH//appC//gntK//fucI//rstB//tnaB//rrlE//miaA//lsrA//tpx//pheS//nuoL//abgT//tsaE//yhjC//napC//gabP//folA//rnlA//csiE//torR//oppD//hycE//cheB//dctA//modA//ulaA//ydfH//aroA//comR//uidA//mntS//nfuA//ubiA//tdcF//mdtA//araG//murQ//dppA//dcuB//norW//ybdZ//trxA//galM//paaE//tnaA//mntH//dcuB//nuoB//hypF//infB//hyfF//lsrB//pheM//ychH//amn//tdcA//sroD//tdcF//zraS//artJ//epd//nrdF//astA//nanS//paaE//ykgM//pstC//pheT//galS//rhaR//csgF//artM//rbsD//exbB//fadI//araE//nusA//fis//rrsH//rhaS//acnB//livJ//nagA//rpoE//uxuA//cusB//gspO//cusF//ydhU//acrF//uxaC//rnlB//cusB//hyfH//phnE_2//ytfE//moeA//znuA//copA//znuB//agaV//lldD//rrsC//fucR//mntH//ivbL//gspH//
Fur-Mn2+_pos	phnD//cspE//phnP//dgcZ//hyaE//melA//oxc//efeU_2//tehA//dusB//csgA//metH//hybG//narH//ygiC//gntK//ccmD//agp//rrsA//nrdD//hupB//yfeW//katG//csgA//norV//
GlcC-Acetate_neg	treC//
GlcC-Acetate_pos	yegH//hypB//nuoG//lpxB//katE//mhpT//
GlcC-Glycolate_neg	fepG//
GlcC-Glycolate_pos	rrfF//bglB//yecR//glpT//uxaA//hyaD//
GlrR-Pasp56_pos	adhE//
IclR-pyruvate_neg	lsrG//srlB//cusB//hypB//
IdnR-5-ketogluconate_neg	rrlE//ygbA//nikA//
IdnR-5-ketogluconate_pos	fhuF//araJ//phoP//slt//yhiD//
IdnR-Idonate_neg	ampD//araA//dgcZ//
IdnR-Idonate_pos	dapB//infC//hemA//hofO//rplC//
IlvY-2-acetolactate_neg	adiC//
IlvY-2-acetolactate_pos	nikD//
IlvY-Alfa-acetohydroxybutirate_neg	tcyJ//
IlvY-Alfa-acetohydroxybutirate_pos	glpF//
IscR-[2Fe-2S]1+_neg	phoU//purL//malM//pstC//fadB//gntU//nuoN//tadA//idnT//prpE//glgA//deoC//ccmG//fepA//focB//fadB//trmD//fecR//ygiB//mgtA//tdcA//argR//cheY//slyB//pdhR//ampE//argD//pheS//argD//ryhB//
IscR-[2Fe-2S]1+_pos	nanA//gltA//glcA//rmf//garL//idnR//ybdN//phnD//glgB//ileV//cvpA//
LldR-L-lactate_neg	torC//fadH//allD//
LldR-L-lactate_pos	oppB//phnG//tdcG//
Lrp-Leucine_neg	cheR//rnlA//rpsF//tpx//allE//moaC//grxC//yrbL//efeU_1//hycG//caiF//ssrS//pgaD//gltD//ydhY//narJ//fbaA//gpmA//ilvX//ykgM//icd//phoP//nupC//rcnA//glnK//metR//yhhY//rplM//uof//epd//nanK//argG//phoP//lpxA//dcuS//umpH//trpB//fucU//xylR//purA//chbR//gspK//oppB//napB//preT//gltA//nikD//frc//pgaB//cyoB//artQ//livF//malM//amiB//nuoB//cyaR//rrlH//xapA//zntA//upp//dapB//rutG//fimD//paaB//ssuD//ulaC//paaD//oppF//idnO//zraP//srlA//dcuB//slt//treC//srlA//
Lrp-Leucine_pos	ndh//zraR//rpsO//yjeV//safA//argC//edd//envY//oppB//ogt//torC//citD//alaT//malG//purK//ydeA//aaeA//gcd//metE//pstS//fucR//dcuB//folA//pstA//paaJ//gltW//uraA//ompX//hyaF//phoE//avtA//dmsC//ykgO//puuC//mzrA//
LsrR_neg	cysU//nuoA//dnaA//cpdB//ytfE//puuB//creA//rutB//phnM//
MalT-ADP-Maltotriose_pos	dpiB//dnaN//frdC//nusA//hyfC//fadB//rseA//hybO//pyrD//ykgR//
MalT-Maltotriose-ATP_pos	map//kbaZ//gntX//cynR//baeS//bhsA//xdhA//ilvB//rrlE//lsrF//
MelR-Melibiose_neg	mhpE//feoA//ydhX//
MelR-Melibiose_pos	tyrA//glnB//polA//
MetJ-S-adenosylmethionine_neg	hycE//lpxA//nuoE//dctA//tar//yjjZ//osmC//iscS//dmsC//prmC//fhuE//hyaC//ilvD//alaU//entS//
MetR-L-homocysteine_neg	fhlA//argE//
MetR-L-homocysteine_pos	glnK//preT//pstC//ssuC//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	glpF//casA//moaA//nuoA//paaG//yaiA//
MhpR-3HPP_pos	paaG//entD//glgC//dnaE//fhuD//uhpA//
MntR-Cd2+_neg	trpL//dadA//yeiB//xylA//
MntR-Cd2+_pos	citF//
ModE-MoO42-_neg	rplB//nagE//ycjX//rpsS//rof//rrlH//hdeD//ccmD//rutB//csgE//yfdV//qseC//gntP//trpR//ccmB//
ModE-MoO42-_pos	ebgC//tauD//grpE//melA//ybfN//fixC//mdtA//rplP//argO//purL//rrlG//cyoA//ccmF//ydhT//feoB//yeiP//gspL//xylB//dppD//rplD//metE//alaV//ybdN//astC//glpG//dgcZ//mntP//sodB//micF//ssuC//araH//
NarL-Phosphorylated_neg	yecR//mhpA//lrp//rpoE//bcsA//rutB//idnR//qseC//ynfH//glgP//nuoG//citG//glcB//thrS//frdB//bdcA//fadD//cas1//oxyR//yqjI//mutL//waaH//dapB//nuoF//malI//araH//phnI//araB//glpB//rpsJ//upp//ynfE//hflD//amn//aroH//rstA//uxuA//hypE//ompR//deoC//tcyJ//rutG//pgpC//cysC//purK//glgS//ugpA//sbcD//ycjX//garP//marB//lpd//uraA//fhuF//aceB//ihfA//caiC//csgE//cynS//cusC//dmsD//rrfF//tdcC//abgB//yaeP//hyaD//guaB//dcuR//ynfG//pheS//cyoD//cysC//xylF//aaeA//gltW//fhuC//idnT//bamA//puuD//yibN//yqjA//lysU//ugpA//mntH//lsrC//napB//
NarL-Phosphorylated_pos	rhaS//caiA//pflB//araE//cheZ//epd//cheY//zraS//bacA//lpxA//yfdE//pgaA//cstA//hycI//dps//narJ//hflD//yeaD//phnF//lpxA//abgT//qseB//efeU_2//puuB//bcsB//yqjH//ygiC//yeaD//ynfF//araE//astC//metN//nuoB//araF//mtlA//csgB//citE//alaS//psiF//tyrP//cirA//dcuS//gltW//yjjZ//rrlD//gltU//
NarP-Phosphorylated_neg	tsr//fhlA//fur//sucA//kbl//pheS//trpR//phoQ//pncB//ilvX//mgtA//metH//chbG//rpmC//uxuA//rplC//nuoH//ybiT//phnJ//uxaA//ubiC//cspD//nuoA//artJ//ompF//araJ//sufE//metR//iscS//gutM//moaB//gspH//yaiA//
NarP-Phosphorylated_pos	galK//nrfD//gntR//exbD//ycjF//casD//uhpB//cvpA//hyfE//ugpQ//frdC//fadA//tnaA//gltU//phoQ//rutC//tonB//ung//uraA//glpT//xylB//zraP//betI//rrlB//nrdG//abgB//pncB//aroL//torD//cueO//ompT//purL//
NhaR-Na+_pos	oppC//tyrP//gltV//ugpQ//rrlE//
NikR-Cd2+_neg	mipA//ppiD//fimC//dmsC//sohB//nanK//
NikR-Co2+_neg	yeaE//caiA//pyrC//ychO//aaeR//preT//
NikR-Cu2+_neg	malT//ulaA//hyfI//artI//nuoK//malP//
NikR-Ni2+_neg	mglC//hflC//xdhC//torD//mgtL//nikB//
NikR-Zn2+_neg	cyoD//tnaA//tdcE//ydeO//argC//gltV//
NrdR-ATP_neg	narJ//tolC//uxaA//tdcB//yoaG//gspF//caiE//nanC//rhaD//
NrdR-Zn2+_neg	fimG//entC//narL//rybA//ilvG_2//metJ//nadC//acnA//fhlA//
NrdR-dATP_neg	fes//frc//uxaA//spy//hybE//sbmC//hha//sodA//pstA//
NsrR-[2Fe-2S]reduced_neg	yedX//glgA//pitA//aroM//artM//lpxA//aaeA//argF//garK//sucA//hemL//mdtB//hslJ//gspC//azuC//agaV//argE//proP//cas1//ogt//rrsC//livJ//aroP//yfaE//katG//ygiC//araA//sohB//gdhA//bamE//pepT//oppA//fis//glpK//rstA//gspG//ompW//psd//nagC//nmpC//trxA//rrlC//yfeW//hyfE//mhpE//cysA//nuoJ//hypB//mglA//hyaB//paaK//rpsS//mgtL//rbsB//gspH//micF//lrp//pncB//ygaC//mtlD//ydhT//lsrF//fepA//dcuA//pitB//torR//gdhA//aspA//fixB//psiE//hyfD//cusS//folE//
PhoB-Phosphorylated_neg	icd//hflC//ampD//fadA//glcE//nac//ccmG//nikE//ccmD//yfdV//phnP//acrA//oppC//
PhoB-Phosphorylated_pos	moaA//talA//cyoC//mntS//moeA//hofO//fecA//creA//purK//nmpC//rhaA//aaeR//gapA//lacY//modC//aceK//livM//dmsA//treB//nmpC//napA//bioA//livM//glcB//gspK//cadA//ftnA//malG//yqjI//katG//nuoG//slyB//metA//aaeX//pheS//fdnH//yhjC//rutG//cynR//aroG//narG//speA//lsrF//uidA//dkgB//lldR//yhhY//fadI//rstA//pgaD//ampE//fimI//chbF//
PhoP-Phosphorylated_neg	grcA//citE//cueO//rrsH//napA//atoD//pdeF//glcF//astE//hycB//iscU//
PhoP-Phosphorylated_pos	ilvD//ascF//ompW//rimP//fldA//tpx//ysgA//metE//xylR//sbmA//dppC//mdh//feoA//gpsA//katG//bioF//dnaA//sbcC//adiC//nanE//carB//hyfJ//paaC//iraD//cas2//mdtB//glnG//aceE//hyfB//fimE//glpC//tdh//mntP//dadA//chbB//ccmA//paaF//casD//modB//cheY//ynfF//bglG//livM//yeiB//rhaS//narH//icd//sdhA//rplI//
PrpR-2-methylcitrate_neg	motB//
PrpR-2-methylcitrate_pos	lysO//torR//livH//cheY//
PurR-Guanine_neg	fimG//hybF//bcsA//glcE//entH//malQ//uraA//rrsE//rplV//ubiX//purE//ychO//hisP//fau//rutE//lpxA//garR//fimG//napH//dppF//iscS//nuoC//hyaC//guaB//hybA//mepH//dpiA//nuoG//dmsC//oppB//malP//chbG//nirC//csgC//
PurR-Hypoxanthine_neg	ysgA//sucB//bioD//hybD//yqaE//yaiW//ilvG_1//yqjA//ccmE//icd//dcuC//ssuA//fecA//trpL//ydeN//lsrF//argF//mhpC//fnrS//hisQ//yeiB//yhjC//rpoS//nusA//glmY//gspH//serC//aer//aroF//icd//tar//infB//fldA//cysI//
QseB-Phosphorylated_pos	fucK//lldP//fecC//yebE//
RhaR-L-rhamnose_pos	sroD//soxR//
RhaS-L-rhamnose_pos	ompW//fdnH//yegR//
RstA-Phosphorylated_neg	ryhB//trpC//aceK//hypA//fhuA//
RstA-Phosphorylated_pos	citD//fumB//rnhB//ydeM//mdtA//
SoxR-[2Fe-2S]3+ oxydized_neg	slyB//
SoxR-[2Fe-2S]3+ oxydized_pos	creD//umpH//napC//
TorR-Phosphorylated_neg	fecE//
TorR-Phosphorylated_pos	artM//fhuD//ryhB//srlD//caiE//rrlG//soxR//glmY//appY//
TrpR-Tryptophan_neg	argT//creA//metR//phnM//ompR//preA//cysC//ygiB//fumC//araE//bglB//mhpC//
TyrR-L-tryptophan_neg	cyaR//yaeP//fucA//moaA//phnH//gltU//hyaE//folA//lpxA//dmsD//ilvN//ilvD//
TyrR-L-tryptophan_pos	psd//nuoB//srlA//
TyrR-Phenylalanine_neg	allC//gadC//aroH//pitB//rpsC//mhpE//nrdD//acrA//hyaC//cynT//cirA//marR//
TyrR-Phenylalanine_pos	ycjX//cheB//garP//
TyrR-Tyrosine_neg	gltD//hybC//uvrA//envY//nfuA//azuC//metK//rhaS//degP//allE//moaA//hycD//
TyrR-Tyrosine_pos	livK//aidB//hypE//
UhpA-Phosphorylated_pos	hypA//
XapR-xanthosine_pos	motA//rpsJ//
XylR-Xylose_pos	astE//purF//betI//aaeB//ubiX//nikD//
ZntR-Cd2+_pos	tyrP//
ZntR-Hg_pos	purH//
ZntR-Zn2+_pos	cydB//
ZraR-Phosphorylated_pos	phoB//yhjA//ybdN//
Zur-Zn2+_neg	casA//alaT//amtB//gltT//malT//chiP//
