#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	pheM//acrB//
BirA-bio-5'-AMP_neg	hybE//nuoE//ppdD//ndh//entA//
CRP-cAMP_neg	tyrP//sohB//tonB//tehB//envZ//metA//yojI//purF//mhpC//fadD//gltF//ilvM//rybB//xdhA//mdh//rpoH//nuoB//oppA//gabD//rof//pta//aroH//yrbL//moaD//cstA//nlpE//ssuA//citC//hlyE//kbl//glpA//emrY//katG//tdcF//glpE//glpG//yfbR//malG//uxuB//acrD//cysI//nrfE//erpA//araH//ulaC//trpA//qseC//gutM//infB//yfbR//fadL//fucR//carA//phnM//hdeB//ompA//evgA//iclR//casB//hycF//glgC//hyaF//napC//cysN//puuE//tsgA//hofN//feoC//ompC//grpE//csgB//ydhT//fnrS//gadC//moaB//yojI//rpoH//malT//tauB//phoP//ampD//nuoB//ycdZ//fucR//fdnI//phnD//uxaC//srlB//frdC//argO//casA//rrlB//yccA//ulaB//bcsC//ydeM//fecD//glgS//ilvN//cysC//galP//aroL//lsrK//fucA//rrfA//ilvA//trpD//patZ//znuB//hyfF//guaA//osmY//aceK//xylG//puuB//cyaR//nlpD//psiF//aidB//gspM//ilvL//nrdD//fucP//efeU_2//uxaA//yfeW//bglF//tehB//ilvG_1//serC//narQ//pgaB//rnlB//
CRP-cAMP_pos	trmD//hisM//tnaB//uhpC//rrfD//yqjH//tauC//cyoA//rseB//hupB//sufE//mtr//dkgB//metN//frdA//ileU//soxR//ampE//yhfA//citF//lysO//rrfH//exuT//aceA//rrlA//arfB//trpC//mdtD//cheY//hupA//ydhW//deoD//bglG//lysO//moaD//tsaE//yaeP//ftnB//hyfD//ugpC//lamB//araJ//mipA//nrfC//uxaA//srlB//rrlG//bioB//stpA//tomB//aceK//mntH//mntH//yeiB//dppD//cysW//moaA//hdeD//rrfD//ebgA//dnaA//lysO//ung//paaH//yoaC//amiB//gltT//tnaA//hydN//malI//nikC//gabD//astD//cusF//actP//pck//marR//iscA//gspJ//upp//sucA//hycE//fepD//acrD//fhuA//lacY//torC//proP//hisJ//oppA//agaA//fhuF//caiT//phoQ//malZ//ompT//baeR//cirA//araC//hycG//araC//lsrA//agaA//rhaA//tyrP//citF//bcsC//cheZ//feoC//uxuR//alaT//aceA//uvrA//infC//metN//nikD//rrfF//sxy//fimE//katG//ispE//nuoH//paaC//ilvY//arcA//ilvI//rplM//caiT//yjeF//ileU//ppdD//secB//ygiA//galK//hybB//prs//aceF//aroF//ldtC//malT//cheB//ugpC//fepD//qseB//ccmC//aaeB//nupG//atoA//dppC//araC//pdhR//hofC//casC//tdcE//evgA//allD//phnD//nikA//rimP//grxD//preT//dapD//sufE//tdcF//ydfH//rrfC//tadA//ssrS//glcE//yccA//rrsA//ogt//csgD//nrfB//agaW//zraS//prpB//mutY//sufB//oppA//fnrS//cadA//ssuB//gltB//adiC//yojI//zraP//katE//rrfB//marB//miaA//katE//sroD//cysD//garL//malX//rrfA//citD//narX//spf//nuoM//mscM//nikE//melA//ada//norW//narJ//fdnH//fucP//pdhR//astC//rcnA//phnE_2//adiC//uxaC//patZ//gspE//tauC//phnK//hcp//pheT//hypD//gabT//rpmI//appC//cysJ//ssb//ompR//fixA//atoB//xylG//treR//aaeR//ilvL//fes//xylA//metN//mhpR//eda//gyrA//mepH//feoC//sufB//gutQ//lsrF//mhpT//sdhD//infC//narJ//oxc//ebgA//fucI//znuB//ygeA//zinT//rpmI//rrfC//evgA//gspM//fiu//paaI//pgaB//ynfE//citG//cusF//dsbA//nikA//ysgA//flhD//yfeW//yrbL//norR//ydfH//speB//yoaG//purH//osmY//aroH//nrfB//argG//appB//purL//hybG//acnA//hisQ//idnD//rutC//dcuD//actP//truB//lacI//hyaF//hycA//dmsA//ascB//manX//psd//torA//paaA//hemL//yegH//udp//tdcF//frdC//oppC//cheZ//crr//hflC//araG//bglG//ebgA//ygeH//phnM//ynfK//yneM//araE//ompX//mhpF//gltT//ynfE//malK//iscA//bioD//nac//araC//phnI//rrsG//yeiW//flhC//fucI//yqjI//agaW//entS//ssuB//rplC//lldD//trpE//eda//moaC//rrlH//exuT//cydD//rrsD//exbB//bamE//rpsI//glnL//rutE//yiaJ//rrfF//ispE//fhuE//pyrC//sodA//psd//carA//nanT//grpE//dnaE//pgaC//hyfG//aceE//ompF//pnp//hdeD//cydA//ccmA//ugpC//rutC//mntP//rhaB//casA//exbD//glmY//ppiD//napG//katE//ydhW//yjcH//ileT//bioD//moaD//avtA//amtB//ygiB//argI//aceB//dcuD//pitB//gltU//glgB//gspJ//soxS//hdeB//allC//qseB//uidA//ybiT//hycC//aidB//ycjF//cysC//nuoL//ilvX//yoaG//gltB//acs//yfdE//hybF//malE//srlD//gnd//rimP//xdhA//katE//carA//yjeF//rhaD//glpR//purF//mtlR//nrfC//zntA//bamA//fadH//lsrG//yegR//betB//hypB//
ChbR-Monoacetylchitobiose-6P_neg	argD//mipA//moaB//hybG//lhgO//micF//
ChbR-Monoacetylchitobiose-6P_pos	csgF//caiF//bioA//purK//xapB//yneM//
CpxR-Phosphorylated_neg	mpl//tdcF//ydiU//prs//araE//lldP//bcsA//hemL//flhC//mepH//zntA//cheZ//hyaA//fucP//ynfE//metF//dps//sbcD//zraS//uxaA//ccmC//sbmA//gabT//qseB//
CpxR-Phosphorylated_pos	cueO//yjiY//nanS//ivbL//oppA//cysA//aaeR//glcB//tyrP//cyaA//manY//glpK//norR//caiA//acnB//atoB//ugpC//yeiW//glcC//ilvD//aroL//ugpC//mhpC//ptsH//yjiY//fimF//cusF//livM//emrY//rrsC//chbA//frc//hycG//uxaA//tyrA//cdd//lysC//rcnA//ytfE//lpd//purH//dppC//tauA//ulaE//yecR//
CreB-Phosphorylated_neg	pck//prpR//cadB//
CreB-Phosphorylated_pos	hflC//hpt//aspC//pagP//adhE//yjiY//
CueR-Ag_neg	prs//upp//cytR//torD//fucR//
CueR-Ag_pos	ileT//livK//
CueR-Cu+_neg	fecR//puuP//mdh//gspG//mgtL//
CueR-Cu+_pos	argC//borD//
CuerR-Au_neg	epd//creD//map//cysK//mntP//
CuerR-Au_pos	narG//nuoL//
CusR-Pasp_pos	dpiA//ydeN//sdaA//cyoA//gabP//livF//rrfD//gabD//xylB//rrlG//aspC//acrB//
CynR-Cyanate_neg	metE//
CynR-Cyanate_pos	baeR//aer//rpmC//
CysB-N-acetyl-L-serine_neg	ilvD//tdcA//rpoH//cyoE//rrfG//glyA//artM//
CysB-N-acetyl-L-serine_pos	yfbR//mdtD//pstA//gltD//ydeM//mgtL//cysU//nac//purK//cadA//ulaE//fimF//mhpC//appB//caiC//oppF//nmpC//fimI//narK//exbD//argD//melR//fhuD//
CysB-O-acetyl-L-serine_neg	tauB//ahpC//rbsA//ydeP//glpQ//sodA//srlD//
CysB-O-acetyl-L-serine_pos	hofC//lsrG//cysG//cheW//cusF//yqjH//mdtC//alkB//aldA//fbaA//fbaA//bglB//iscS//iscU//phnJ//gyrA//ykgM//glgS//creA//cysA//nrfF//dctA//ampE//gspF//
DcuR-Phosphorylated_pos	glcB//hyfR//malY//fimD//nanS//fes//casB//citF//ccmB//
DnaA-ATP_neg	hemL//cysC//yegH//fiu//trpA//agaW//malF//rnhB//dppF//metE//cpdB//
DnaA-ATP_pos	slt//rrlD//malQ//rcnB//tyrA//phoQ//rpsJ//
DpiA-Pasp_neg	dsbA//
DpiA-Pasp_pos	xdhC//emrK//galE//galP//idnT//lpxA//fliA//nuoC//galE//hflC//
DsdC-D-serine_neg	qseB//
DsdC-D-serine_pos	lsrG//hycE//
EvgA-Phosphorylated_pos	degP//borD//ahpC//nikB//betI//hypA//yhjC//rrsA//yhhY//gspL//entF//sroD//gspJ//glpF//hslJ//
FNR-[4Fe-4S]2+ reduced_neg	phnJ//ptsI//prmC//slt//ydeN//ftnA//galE//carA//hyaB//fepD//ydfN//malY//gntU//fur//malK//lysC//idnR//gspE//pstA//rhaT//fadB//creC//gatA//ychO//cpxA//dnaE//csiE//marB//paaK//erpA//guaB//betB//norV//csgB//rpsJ//gatZ//hofN//livK//cyaA//aroA//fadJ//creA//gutM//casA//cysH//tdh//infC//yhhY//rbsB//osmY//alaV//rbsC//hcp//lsrG//cysA//cyoD//chbC//ccmE//aceA//frdA//glpQ//zwf//astE//gspK//rutD//rpoH//phoQ//ugpC//phnC//fepD//tehB//nuoE//lldD//fepG//rplI//rrsB//glcF//azuC//mglB//trg//yjiY//srlB//gntX//aroP//baeR//fixB//gabD//baeR//hofP//rnlB//ascF//codA//chbC//cydA//ahpC//malE//hfq//envZ//narK//gatY//fixA//rpoH//csgC//marB//sdhA//galS//yfaE//acrB//rrlG//bioD//mntH//argC//prpR//fucK//rrlD//thrV//aroH//casE//ugpB//pflB//
FNR-[4Fe-4S]2+ reduced_pos	nirC//hyfJ//tnaB//pck//cydC//bhsA//entD//purK//nfuA//dmsA//ydiU//paaH//nrdD//yedX//aaeX//preA//nirD//preT//yedX//livJ//acrE//aaeX//metF//glpT//ydiU//rrlB//lysU//purB//purF//rpsQ//trpA//rpmI//lacZ//priB//dapD//glcC//ydeO//tdcA//gntT//malS//rprA//infC//cueO//tonB//astD//sdhA//cytR//fes//ndh//trpE//sbcD//ptsG//cheB//rplC//chbC//arcZ//rimP//hybG//narQ//gabT//mtlA//ilvD//csgF//phnD//crr//psiF//gntR//soxR//mgtA//cyaR//uidB//bcsB//alaA//napD//ccmF//puuC//crl//yhhY//psiE//xapA//fur//melA//mhpA//caiA//creB//deoC//amtB//fumC//dppB//glcA//paaI//yecR//cysU//lsrR//stpA//glpB//xylG//safA//tolC//citC//ubiX//nrfG//trpL//rstB//bglB//chiP//entB//yggX//dppA//bcsB//pitB//rutG//srlR//entF//ilvM//soxS//araC//purA//hflC//ilvB//nagA//galM//hdeB//fhuC//fucP//nuoF//pstA//rseC//malE//garK//rrsE//aroH//paaJ//fecI//sroD//paaD//gpmA//nirC//cheW//ansB//uraA//aaeR//ugpC//gatZ//prmC//fecE//appC//gcvP//ysgA//slt//hycC//nrdG//mutL//guaA//glnK//ftnA//nrdF//norW//iscR//nikB//hybF//metQ//ytfE//hemA//tnaA//araB//ydbD//astD//fur//hybD//sbcD//cyoB//napD//yfiP//acnA//tyrP//rutA//hybC//nikC//gntT//hyfG//lldR//yfbR//copA//gspD//alaV//glnA//allC//phnO//fixX//rstB//ydeN//ygiA//hyaB//pnp//rhaB//lpxD//rrfC//ytfE//yhjA//skp//appA//
FhlA-Formate_pos	fimF//flhC//rprA//malP//katG//fucP//phnP//ybdN//lsrK//envZ//qseC//ulaA//bcsA//tktB//crp//fimD//rpsR//narI//malP//marR//hofN//amiB//uhpB//gntK//ung//safA//ubiX//moaD//nanS//speA//
FucR-L-fuculose-1-phosphate_pos	narG//cysC//yhjA//sbcC//atoB//tsgA//ahpC//
Fur-Fe2+_neg	betI//glcA//rhaA//metH//hyfE//alaT//mntS//glmY//ynfE//glpF//nrdG//mdtD//ppiA//envY//malK//dpiA//nuoC//argB//rutB//hupB//ompT//phoP//aaeX//ilvY//entS//lsrB//caiC//tar//hofO//ugpQ//aceB//epd//phnH//nrdG//nlpD//artM//ompX//rrlA//cysD//araG//ppiD//frdB//exbD//mglA//aroF//fumA//mhpR//ebgA//avtA//ccmD//argF//metK//gspD//glnG//ydeJ//nrfC//rplC//marB//serA//ampD//prfA//csgB//purE//alkA//glmY//allE//rplT//sucA//nanK//sufC//agaW//lacY//glnL//garL//sucB//cyoB//cysW//pstS//gltB//caiB//treC//ycjX//nrdH//nrdA//bioA//ydeJ//fnrS//dcuS//dpiB//rrlC//creC//putP//aaeA//fixX//qseC//citD//sufC//fimD//torA//sdaA//alkB//aroP//yedX//yfdV//rplS//hcp//preT//paaK//xdhB//creA//alaT//ppdD//agaW//bioD//oppF//mtr//abgB//fumB//malY//rrfD//cydA//fhuA//malP//nuoC//
Fur-Fe2+_pos	dcuD//sdhB//appC//agaA//tomB//gspK//rpmI//cspE//tpx//tyrR//ung//cynS//fhuF//argO//yeaR//glgC//yeaE//rcnB//artM//argA//chbG//nrfB//bglB//citG//hemA//
Fur-Mn2+_neg	asr//hyaB//pitB//adiC//yeiW//uhpB//adhE//aroA//nusA//narL//gspD//rutD//rplI//glcC//purF//flhC//cysW//ackA//garR//gspF//paaF//bioC//xylB//melR//phnO//narL//garR//rimP//argR//fau//araJ//znuC//cysC//kbl//nuoL//rrfD//fdnI//purH//aroH//mntH//ulaA//rutA//oxc//ydeO//rrlE//puuB//pgaB//napF//lysA//rbfA//glnB//skp//hofM//yedX//artM//preT//rimP//hdeB//aidB//dcuS//srlA//yhiD//torR//ilvG_2//gapA//bglF//ychO//fumA//yibN//cpxA//aaeB//dadA//ebgA//argC//ugpA//dppD//thrS//acrE//fecB//cyoA//hcp//alaS//phoQ//pstA//narL//hybG//glcA//fadD//soxS//puuP//exuT//nuoM//comR//katE//norV//yojI//gltF//hyfR//bioF//lsrR//malZ//ilvG_1//gutM//iraD//fadJ//citG//cysC//idnT//phnK//oppD//appC//emrK//pstA//recF//hyfE//caiB//moaE//tyrA//fecA//xapB//nadC//aroG//yegR//speC//
Fur-Mn2+_pos	baeR//fldA//tdh//nrfG//mzrA//nikR//rbfA//fimF//ugpA//nuoM//dcuA//glnL//nrdG//trmD//pheT//ilvX//hslJ//paaA//safA//entF//ugpQ//cusC//kbaZ//adiC//argD//
GlcC-Acetate_neg	hofB//
GlcC-Acetate_pos	allE//phnC//cysI//napB//lpxD//chbF//
GlcC-Glycolate_neg	puuD//
GlcC-Glycolate_pos	cheR//fadE//puuR//moaE//malM//tsaE//
GlrR-Pasp56_pos	hofN//
IclR-pyruvate_neg	lysA//ccmD//cusS//glgC//
IdnR-5-ketogluconate_neg	dpiB//cra//lsrF//
IdnR-5-ketogluconate_pos	dsbA//mdtC//mtlD//rnhB//napC//
IdnR-Idonate_neg	hybA//acs//garR//
IdnR-Idonate_pos	cadA//rrsB//pnp//yciW//ssuD//
IlvY-2-acetolactate_neg	fhuB//
IlvY-2-acetolactate_pos	appY//
IlvY-Alfa-acetohydroxybutirate_neg	hlyE//
IlvY-Alfa-acetohydroxybutirate_pos	paaJ//
IscR-[2Fe-2S]1+_neg	tonB//skp//fepE//csiE//trpR//ygeA//gltW//oxc//hfq//ndh//hyaE//recF//aceB//caiD//ynfE//sbmC//nrdG//hupB//tnaA//aaeA//narK//mhpE//ackA//nadC//hofM//rplD//yaiW//csgD//cusF//nagB//
IscR-[2Fe-2S]1+_pos	dcuA//gdhA//pgaC//lpxB//gltD//nuoA//cusF//srlB//folA//agaV//prmC//
LldR-L-lactate_neg	secB//paaJ//dppB//
LldR-L-lactate_pos	dmsC//torR//pdeF//
Lrp-Leucine_neg	folE//cspE//araD//appX//cusF//fau//chbF//mtlD//pstA//ybjG//glpB//psiF//nrfB//oppF//gabD//gabD//nrdI//cyaA//fis//narI//artJ//atoE//ilvN//yaiW//ssuB//uxaC//ssuB//tsr//bioC//ydeP//erpA//xdhB//gatC//crl//aldA//torA//edd//csiE//rmf//infB//pnp//glgA//ftnB//icd//pstA//modC//uhpT//rbsR//manA//acnB//rimP//pitA//hflD//ptsG//rpsJ//phoQ//ilvX//napH//guaB//abgT//ompT//glpK//caiD//znuC//rseC//tsaE//cysU//lsrR//borD//alkA//dppF//casD//exbD//uxaA//yaeP//
Lrp-Leucine_pos	glnK//fimG//artI//sbcC//hycC//dsdC//sufE//dmsD//deoC//hycH//citD//hcp//mhpC//hofO//ccmG//cysD//pgk//borD//tnaB//cysG//cysM//trpC//napF//pheT//ydhW//nupC//alkA//lsrR//uhpC//allD//aceA//astD//lldR//yiaJ//lpxB//
LsrR_neg	folA//paaF//soxS//ompF//mhpC//idnK//fadL//fecB//casE//
MalT-ADP-Maltotriose_pos	hyaA//tnaA//puuE//artQ//exbB//yggX//rplM//ndh//asr//hycF//
MalT-Maltotriose-ATP_pos	iscU//oxc//aceF//rimP//sufA//infB//nmpC//ebgC//argT//kbaZ//
MelR-Melibiose_neg	cyoB//comR//hypB//
MelR-Melibiose_pos	xdhC//ydfN//nrdI//
MetJ-S-adenosylmethionine_neg	ygeH//sucC//rplS//tyrA//fixB//alaU//hypD//arcA//fhuA//rpsS//fimC//mtlR//ybfN//phnL//ilvI//
MetR-L-homocysteine_neg	rrlA//dppA//
MetR-L-homocysteine_pos	metJ//caiA//evgS//efeU_2//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	emrY//hyfH//rrsE//pyrC//dppB//yibN//
MhpR-3HPP_pos	ppiA//srlR//sxy//hisP//idnD//prpC//
MntR-Cd2+_neg	zraS//mglC//treB//glgP//
MntR-Cd2+_pos	gspC//
ModE-MoO42-_neg	glnA//lpxD//csgF//tam//narK//yfbR//tyrP//yegZ//cyoC//thrS//rstA//araC//comR//glmY//yecR//
ModE-MoO42-_pos	betT//ycdZ//yiaJ//ogt//purK//sohB//rrfD//chbA//iraD//nuoM//motB//fixB//hyaD//cynS//livH//tdcE//cysU//bhsA//gspK//manY//serA//phnO//phnN//bcsA//narL//deoA//glnK//rrlH//murQ//ynfK//ompA//
NarL-Phosphorylated_neg	yggX//nuoE//dpiB//rrsA//cynS//yhjC//psiE//cadC//galM//bcsB//cusF//gatB//livF//cheZ//rrsC//astA//dcuB//upp//cueO//hybA//ampD//yeiP//treR//mipA//livF//rrfA//lpxA//kbaZ//araE//lrp//fecB//phnD//gadC//cysH//araD//safA//lamB//ubiA//psiF//glmY//gspE//iscS//glpD//hpt//speA//malX//trpD//alaV//ugpQ//rplC//ulaD//fecE//ydeM//glcD//glcC//deoA//fixB//cytR//qseB//lpxD//frdC//aceF//tyrA//ndh//sufC//mhpA//tomB//fimF//feoC//dadX//fdhF//phnK//znuA//glpR//gspG//fhuB//nagE//livG//mgtL//yidQ//ada//tsx//gltF//mhpC//ldtB//lysU//
NarL-Phosphorylated_pos	aaeA//pgpC//nrdG//dmsA//hpt//idnK//sbcC//chbF//dctA//sucB//rseC//nikA//rpoH//paaB//nuoI//gntP//fepC//hyfJ//caiD//ugpE//creA//sbcD//fiu//galT//cra//phoU//gltU//bioA//zntA//pgaD//envY//mntS//bioC//nanM//aidB//yqjH//nuoI//gcvT//cysU//ynfG//fadB//uxuB//gatC//aceF//ssb//nrdB//
NarP-Phosphorylated_neg	nirD//citF//yhjA//ugpB//ssrS//rhaT//ompF//ilvG_2//yhfA//pheM//aldB//folA//pgaB//abgA//znuA//nadC//mdtD//entF//glpQ//entB//ssb//glpE//pncB//alaU//entH//creD//znuB//cheB//yeaE//ccmA//napA//phoQ//fecD//
NarP-Phosphorylated_pos	pdhR//entD//hyfE//ydhU//stpA//psd//lsrR//rplM//ilvX//oppA//ydeJ//ydhY//ccmG//yibN//argF//dsbA//ycjF//dmsA//ahpC//paaB//ptsI//tdcA//map//yciW//paaE//ompF//metB//eda//gspH//pstB//ada//aaeX//
NhaR-Na+_pos	exbD//rbsC//rimM//acrB//cadC//
NikR-Cd2+_neg	astB//feoC//nagC//gntR//nrdF//gdhA//
NikR-Co2+_neg	iraD//ugpE//cheZ//paaH//frdC//citF//
NikR-Cu2+_neg	lsrB//thrV//nrdB//cydB//cysP//srlA//
NikR-Ni2+_neg	fepC//cysU//cysJ//fadB//hyaD//purN//
NikR-Zn2+_neg	cirA//phnK//safA//dppD//cysU//nirB//
NrdR-ATP_neg	lpxA//ilvG_2//purA//rplD//bdcA//nrdF//malP//arcA//folE//
NrdR-Zn2+_neg	paaC//ybiT//pstB//srlD//moaC//psiE//psd//rnpB//rpsF//
NrdR-dATP_neg	rrfF//csgB//dppC//tktB//pncB//moeA//hupB//xylG//atoB//
NsrR-[2Fe-2S]reduced_neg	rrlB//cheR//artM//cysK//uhpA//grxD//hdeA//nanK//treR//rhaA//metC//yaeQ//xdhC//mhpA//rbsR//casD//ssuE//rrlG//speC//rutF//fhlA//efeU_2//sohB//fadI//mhpE//bdcA//umpH//nrdD//tehB//nupC//napF//gntX//rrfC//mhpB//lsrG//rrfH//cusS//hypA//ileU//ulaC//gspK//ilvL//edd//sucD//metL//aroL//ykgR//bglG//nikD//glpK//speB//sxy//skp//glnL//ycjX//rhaA//rof//sbcD//paaD//micF//ppiA//ygiB//udp//bioC//lpd//gcd//cyaA//ung//abgT//argC//purN//gltU//envY//
PhoB-Phosphorylated_neg	gspH//chbG//hydN//prmC//yoaG//bioC//nikB//rseC//lysU//cstA//mgtA//epd//glpB//
PhoB-Phosphorylated_pos	paaD//gabD//pgaC//zntA//gnd//map//agp//fliZ//yjeF//appC//rhaA//cpxR//lsrR//frdA//tdcA//fdhF//mglC//gltV//dmsA//exuT//arcA//gntP//zntA//sbcC//nanS//sufA//cysU//evgA//fecR//yaeP//ydeJ//argC//phnH//ydhT//nikE//cysA//alaS//hcr//atoD//manA//ybdZ//xapB//fhuD//cyoC//melR//cheY//ilvY//hycB//glpA//hypE//mlc//fau//sohB//
PhoP-Phosphorylated_neg	rrfB//glrR//glpR//pgaA//oppD//rcnA//motB//gcvP//dadX//rpsI//glnD//
PhoP-Phosphorylated_pos	gatC//hybE//mgtA//fecE//glcD//malI//napA//ydhY//emrY//argR//dgcZ//fepC//gspE//fimA//cpxA//qseB//dppD//yeaR//ybiT//uhpA//pncB//ubiC//fiu//hofC//caiD//paaF//gltB//creB//baeR//glnG//rmf//entE//ryhB//marR//creA//nusA//nirB//sroD//mhpR//hybC//metE//purR//galP//mglC//cynX//hmp//ppiA//ebgC//prmC//
PrpR-2-methylcitrate_neg	pitA//
PrpR-2-methylcitrate_pos	metK//infC//leuE//gspG//
PurR-Guanine_neg	yhhY//talA//uxaC//artJ//appC//yccA//cspE//betA//rseA//mtlR//rpoS//malG//malZ//rpoH//ugpA//dmsA//allE//cusB//hyfC//garP//cheA//yfdX//slt//lsrC//xylR//rnhB//hycI//sbmC//entB//ygaC//tdcF//glgA//gspC//rpsI//
PurR-Hypoxanthine_neg	dctA//yegH//dcuR//rbsB//purH//baeS//yhfA//yfaE//dnaE//dppB//hyaB//rplV//hyfG//znuB//bcsC//purN//nirD//phnN//malE//cueO//phnK//yeiL//csiE//fucO//hyaB//osmY//sdhB//prmC//csgG//ykgR//lacI//hybE//nikB//malY//
QseB-Phosphorylated_pos	cysH//hybA//hyaB//tap//
RhaR-L-rhamnose_pos	argT//ahpF//
RhaS-L-rhamnose_pos	glpK//treR//gntU//
RstA-Phosphorylated_neg	gltA//hisJ//fur//rpoE//rrlD//
RstA-Phosphorylated_pos	cyaA//yfbR//ssuE//hyaA//ilvN//
SoxR-[2Fe-2S]3+ oxydized_neg	xapA//
SoxR-[2Fe-2S]3+ oxydized_pos	yhjA//ulaE//phnP//
TorR-Phosphorylated_neg	glcE//
TorR-Phosphorylated_pos	tdcB//sbmA//dmsD//yhfA//hybF//rrsE//paaG//artI//rybA//
TrpR-Tryptophan_neg	moaA//trpL//tar//alaT//narG//uhpA//citD//nuoC//fepG//aceK//nanT//hofP//
TyrR-L-tryptophan_neg	idnK//malP//norV//caiT//allC//cusC//truB//trpD//gspD//agaV//aidB//fliA//
TyrR-L-tryptophan_pos	trg//carA//ndh//
TyrR-Phenylalanine_neg	cyoE//ygeA//cdd//sdhB//torA//dmsC//rplC//xylR//hdeD//nikE//malT//rstB//
TyrR-Phenylalanine_pos	hisQ//guaA//flhD//
TyrR-Tyrosine_neg	ydhW//mutL//ivbL//fadI//aceE//ccmC//xapA//aceB//pgpC//nrdI//phoB//rrfF//
TyrR-Tyrosine_pos	motA//focB//hyaE//
UhpA-Phosphorylated_pos	nanT//
XapR-xanthosine_pos	aaeR//deoB//
XylR-Xylose_pos	focB//mhpR//efeU_2//dcuS//pepT//glpK//
ZntR-Cd2+_pos	uhpC//
ZntR-Hg_pos	cas2//
ZntR-Zn2+_pos	polA//
ZraR-Phosphorylated_pos	moaA//paaA//norR//
Zur-Zn2+_neg	dppD//cyaA//pstB//frdB//rrsH//agp//
