#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	cysW//phoR//
CRP-cAMP_neg	hybC//chbR//ppiA//malY//ybdZ//fimA//yfdV//tdcA//ompF//prpC//galM//hisJ//rrfG//entF//entS//gpmA//phnM//copA//hisJ//codA//nlpD//napG//gltF//fepA//mgrR//paaZ//artP//dctA//rpoE//phnI//prpC//rbfA//livH//cyoB//rrsE//preA//garL//artP//erpA//napF//csgE//ampE//yfdV//phnM//fixC//glgX//csgC//csgD//ompW//dcuS//tdcD//atoD//grxD//mtlR//aldB//manZ//hofC//dadA//gspD//marB//bglF//uhpC//melB//cpxA//caiD//nrfF//preT//yqjA//dppD//phnO//cysN//lamB//alaV//frc//metF//yhcH//nrfG//crp//gntT//ilvX//aceB//grcA//cas2//dpiA//moaA//malE//dapB//ulaD//grpE//dgcZ//codB//phnD//dmsD//hybB//adhE//cyoB//fabZ//tolC//glnB//ydeA//glpG//garK//rutD//lpd//phnK//bglG//torR//yhiD//bioF//pdeF//yoaC//gatB//aceF//oppB//gspM//yiaJ//ynfK//uhpB//folE//yrbL//betT//mntH//baeR//uxaA//lsrB//fixA//feaB//yaiA//chiP//xylH//ychH//purE//rnpB//
CRP-cAMP_pos	uhpB//yhiD//ilvX//sucC//phoQ//argH//fimG//araA//amn//nrfB//tauD//yoaC//ssuD//malG//nrdG//aroG//rrlB//pta//cyoE//phoB//sdhD//betT//lldP//trmD//purL//gspD//yfdE//focB//malI//idnD//nrdE//tauD//prpR//alkB//fimD//murP//exbB//nrfA//purF//pyrD//cydC//garK//cusF//ppiD//garK//glcE//metN//aaeB//uidB//narQ//allD//atoA//cpdB//allE//ccmE//cytR//prfA//rrsB//tcyJ//fdnI//fabZ//napA//gspG//mhpT//cheY//yojI//idnK//cusF//phnE_1//sroD//gltA//fecR//gapA//lolB//norV//rrsC//guaB//zraS//tsgA//rstB//nuoN//ftnA//amn//purD//rrsD//argC//paaI//nikD//bcsC//pstC//glnB//fadL//dgcZ//galE//bamA//dcuD//casA//fepC//purH//mntP//lysP//pta//modA//iclR//idnD//uhpT//truB//dppA//cusF//gltV//ulaC//ileT//aldA//bhsA//ccmD//xapB//tdcG//xylH//ilvL//gpmA//glgC//flhC//atoA//uxaC//cusA//argE//aceE//mltC//ppiA//gcd//glyA//yidQ//pncB//hycI//rplV//gnd//cusR//rutD//rnpB//phnJ//ilvE//uxuR//lpxB//fdnH//rbsK//glpA//nanT//gcvH//galM//dgcZ//glpR//hdeD//rrlA//ydeP//rpsO//nikB//safA//ubiG//cysU//dmsC//mgtL//rseA//spf//rrfB//bdcA//hisQ//argT//ybdZ//murP//moeB//dppD//treB//trpE//metA//phoP//ompR//paaD//purA//crl//umpH//gatB//yojI//puuP//ydhT//lsrR//manA//rutE//crp//ubiC//prpD//carB//argD//dapD//manZ//pepT//fiu//cyoB//artP//sbcD//phnO//yhhY//nanT//sdhA//rplB//oppB//zinT//ilvD//pstA//pyrC//metR//rdoA//fabZ//nanK//psiF//deoD//chbC//fhuC//hemA//dctA//allE//rrlG//artM//sucA//dmsB//sufA//araJ//nlpE//alkA//nac//glnK//xylF//ssuA//dppD//rpoH//idnD//narJ//stpA//ssb//ilvG_1//fucK//mntH//ileV//aroH//malF//dcuB//ptsI//purN//ydhV//paaA//livG//rybB//caiT//glpF//atoE//nlpE//livH//ydeJ//metC//fimA//yibN//pdhR//ilvY//cyaR//nikC//rrlB//casE//yidQ//gspE//rrsD//dgcZ//aidB//efeU_2//fldA//chbR//pitB//tfaQ//ugpE//napH//acnB//caiT//torA//ryhB//mltC//hypE//rrsC//tonB//hycA//mhpB//atoB//nrfC//ydfH//tauD//preT//aaeR//tdh//dcuA//zraR//nrfG//caiC//yhhY//ompF//mtlD//mhpD//nagB//sufE//ahpF//rutB//tauD//gatZ//mcaS//hofP//narK//glpQ//narH//yhhY//purA//agp//yhcH//avtA//mgrB//erpA//hyfJ//folE//feoC//nrfC//cheR//gabP//melR//yfeW//napH//livM//ansB//hemL//soxR//hisM//alaA//chbG//caiA//dps//fiu//fimC//betA//hypE//efeU_1//puuD//araF//ccmD//ulaF//manX//betA//rhaA//astE//speB//adhE//ansB//malY//glpT//ssuD//deoB//mipA//emrK//alkB//alaA//xdhC//fimF//cysU//cheA//purF//tdcE//tehA//torA//mdtA//iscS//motB//yfiP//manZ//betI//spf//phnE_1//gatA//lsrA//kbaZ//rrlG//lsrD//hybG//sufB//rpsO//aaeX//xylA//gpmA//hlyE//cbl//uof//hyaE//oppA//mntP//cstA//hypA//fadD//uxaA//cysH//dcuC//rhaR//gltU//ilvE//dmsA//sufS//gatA//csgC//ilvN//ugpC//rhaT//hmp//fixB//ydhU//csgF//rybB//rpoS//purL//cysD//argB//feoC//acrB//ilvN//rybA//fimG//rplC//rybA//ygaC//
ChbR-Monoacetylchitobiose-6P_neg	baeS//lrp//oppD//rpsS//atoB//metC//
ChbR-Monoacetylchitobiose-6P_pos	xdhB//gabT//ynfH//phoU//ilvL//bcsA//
CpxR-Phosphorylated_neg	rplW//rplP//gspC//murQ//allD//mhpD//hyfR//feoB//ubiC//malQ//iscA//rrfC//nikB//yeiB//sufD//nohA//phnJ//envZ//nrdB//abgT//ppiD//znuC//fimF//chbB//
CpxR-Phosphorylated_pos	tyrA//paaC//citD//pgaA//nuoE//nirC//yneM//mutY//iraD//soxR//lysC//ubiG//lolB//rplI//yjeV//ccmF//copA//tdcB//ilvG_1//infC//ulaE//pyrC//sbcD//appA//fimA//prpC//mntH//pheT//fumB//ilvC//fur//hfq//yegR//infB//ldtB//moeB//rpoE//gspM//hyfA//marA//grxD//pitB//araD//purH//rbsC//
CreB-Phosphorylated_neg	ftnB//rrfG//hslJ//
CreB-Phosphorylated_pos	lldP//casD//yqaE//cheW//cbl//glnB//
CueR-Ag_neg	ugpQ//metA//cysW//argF//glpA//
CueR-Ag_pos	ilvX//icd//
CueR-Cu+_neg	marR//mglB//araC//malI//nrfA//
CueR-Cu+_pos	bcsB//cyaA//
CuerR-Au_neg	argB//ssuE//bglG//ubiA//pstC//
CuerR-Au_pos	hyfH//metN//
CusR-Pasp_pos	pheS//metQ//hdeA//ytfE//flhD//ascB//cusS//fadD//acrA//nrfC//tsgA//aldA//
CynR-Cyanate_neg	hyfJ//
CynR-Cyanate_pos	rrlD//lamB//phoU//
CysB-N-acetyl-L-serine_neg	fumA//creC//ydhU//emrK//manY//cysN//ampE//
CysB-N-acetyl-L-serine_pos	fiu//betB//astE//kbl//gatD//tehA//trg//rrsB//yecR//araD//yeiL//malQ//frdA//epd//fixC//xylG//rplI//crl//ilvX//fucI//hflX//mhpF//ssrS//
CysB-O-acetyl-L-serine_neg	glrR//rmf//hupA//livG//bcsZ//hisJ//hmp//
CysB-O-acetyl-L-serine_pos	dkgB//cysH//iscA//ldtC//narI//tadA//dcuS//yhiD//lhgO//ldtB//rutG//rplB//gntU//gadC//hyaC//cynR//yfdX//csiD//glcB//cysU//hybC//bamA//rplD//nikR//
DcuR-Phosphorylated_pos	ilvI//paaI//cysK//napF//nanT//napA//rrsA//chbF//ubiA//
DnaA-ATP_neg	pstS//cadB//galK//chbF//oppC//nusA//malX//citD//glpR//tnaC//hybA//
DnaA-ATP_pos	ppiA//entB//srlA//glcG//crp//fumC//rbsK//
DpiA-Pasp_neg	arcA//
DpiA-Pasp_pos	dcuA//fhlA//fumC//citE//phoU//avtA//gabT//bacA//zraP//yciW//
DsdC-D-serine_neg	yqaE//
DsdC-D-serine_pos	livK//hflC//
EvgA-Phosphorylated_pos	carA//oxc//rrfF//yegR//rof//dppA//ilvY//phnJ//yjiY//xylH//oppF//uxuB//xylR//mhpE//cyoE//
FNR-[4Fe-4S]2+ reduced_neg	csgF//paaA//rpsI//chiP//puuA//glpE//nanK//phoB//xapA//zraP//argT//eda//narG//nuoF//ydhV//fabZ//nlpE//alaU//ydeA//cvpA//rhaB//ynfK//rbsD//ldtC//moaB//nuoH//artQ//copA//rhaR//hyaD//pgaB//cytR//pyrC//pyrC//mdtD//gcvP//araB//aaeX//ispE//abgA//melB//mhpD//gspD//trpD//amiB//cheB//yjiY//alaU//ssuD//gpmA//ydhY//oxyR//frdC//rof//puuB//metR//cdd//ompC//pgaC//chbC//ihfA//casA//hdeB//rrfE//pgpC//rrfG//micF//nfuA//glpR//casE//lsrR//xdhC//nanC//nrdF//rpsI//focA//atoD//glgB//cyaR//xylR//mtlA//tdcG//nrfG//narX//yaiW//efeU_2//xdhA//phnC//lpxB//rplM//uhpB//hycD//dcuB//mhpC//phnG//gadC//frdC//rpsR//iscR//chbC//csgD//nanS//exbD//rrfA//manX//fixA//fau//actP//sohB//rbfA//gspH//gspK//fixB//ada//hyaB//rybA//oxc//glpR//tsgA//hemA//
FNR-[4Fe-4S]2+ reduced_pos	purD//yneM//glpB//mgrR//torR//gatD//purK//gltV//hycB//uof//kbaZ//ilvI//cydA//aceB//sucD//pgaB//ccmE//rhaT//secB//tnaB//recF//nirD//glpD//sroD//hypC//nuoF//serA//aidB//hofB//bglG//ybdN//cadC//nuoB//lacI//hyfI//mhpE//uof//appX//nrdH//gcvP//sufA//hyfE//ampE//yjjZ//nrdI//galS//bioC//uhpB//ybiT//acrF//ryhB//cvpA//ilvY//asr//sdaA//degP//cydB//tyrP//ilvA//envZ//bcsA//gadC//purR//livM//citF//sufB//comR//glcD//fepA//fimG//tpx//argH//metQ//glpT//argG//bglG//lldP//tsgA//bacA//ynfG//yciW//betA//uxaC//amn//entC//qseB//yggX//ugpC//casD//spf//manA//adhE//ptsI//hybA//yhjC//cpxA//hmp//rof//iclR//cpxA//treB//cusC//rpmI//metI//fumA//galK//araJ//appX//fhuC//aceK//aspA//evgA//rcnB//nuoN//hisM//glpC//rrfH//paaF//xdhC//cyoA//ilvX//yhiD//fimC//trg//tauA//uvrA//puuP//rstB//cyaA//hypF//trpC//ppiD//metH//pflB//infC//purE//rpsC//lpxA//ung//rbsD//rbsK//phnE_1//hycD//tdcE//yegZ//micF//yjeF//pncB//gspL//rbsK//hyfC//ulaA//pgaB//fau//rpsP//ldtC//fixX//osmY//gatB//chbF//yecR//hybF//ompX//folE//evgA//ebgA//nlpD//malX//agaA//uidB//feaR//yccA//gabP//fimF//lsrK//rimP//yhfA//mntP//hybE//argP//narX//modA//nanM//mhpR//casC//rpoH//mntP//chiP//nusA//zraS//cysH//gadC//creC//aceA//pheS//actP//ilvG_1//oppD//xdhC//cheR//sdhA//ackA//
FhlA-Formate_pos	rrlE//ynfE//uxuB//mglA//pgaA//hyfF//metC//rnlB//fecR//creA//mhpT//nupC//cbl//ppiA//torD//cynR//phoR//casD//nrdB//narH//hcr//glpQ//yebE//ybdN//fur//ydeP//caiD//recF//bcsB//serC//
FucR-L-fuculose-1-phosphate_pos	sdhB//mpl//appX//yibN//lsrF//garP//amiB//
Fur-Fe2+_neg	fdhF//uxaB//adhE//hycB//artQ//rdoA//gltB//yfiP//fecD//alaS//rrlB//ogt//gntX//rbsA//appB//pitA//lacA//gatZ//trpB//mltC//glnB//nohA//rplC//phnD//metF//ompF//arfB//modB//rrfA//sohB//rybA//phnP//metH//mtlR//artP//fepG//hpt//zwf//lldR//uxaC//hisP//pgk//ybjG//ryhB//speA//tdh//purM//hybD//hyaE//xdhA//xylA//fadA//rof//rrfC//argG//ulaF//hycG//serC//tsr//gntT//fecI//lamB//artJ//cusS//nagE//purA//ugpA//atoE//hycH//lsrK//glcG//ydeP//gyrA//micF//yegR//manA//malX//cysG//metH//rrlC//ung//ybjG//yoaC//bioA//ulaC//bglB//ung//nupG//sufD//nrfC//oppD//cydA//uhpT//sohB//cpdB//paaG//abgA//fecD//pheM//hyaB//hypB//ydhT//cusA//glpG//kbl//hypF//tsaE//tdcF//cytR//yqjH//gatD//galK//napD//phnL//tdcE//rrfB//cheA//hybO//comR//cysM//paaE//artI//acs//pgaA//
Fur-Fe2+_pos	paaA//fecC//hcp//rplC//phnG//sucA//chbR//udp//garL//galS//serA//araE//caiF//avtA//gltT//yegH//cadB//carB//gltU//arfB//caiA//prs//fecR//cysG//caiB//
Fur-Mn2+_neg	skp//argO//entD//mzrA//mhpA//casE//tadA//cpxR//mhpT//trpL//psiE//cusA//mgrB//gatC//ada//nuoJ//ysgA//nuoF//feoB//melB//torR//rplC//fldA//gltU//glcA//infB//fdnH//grxC//abgA//idnO//fimH//cas1//yqjH//phnL//purD//hybC//dsdC//aldA//ccmH//ydbD//deoC//ileV//mscM//fumC//iscU//uidC//manA//hybG//carB//grcA//ptsG//rpmC//glpC//ptsG//psiE//purD//cspE//yhcH//bcsA//trpC//tonB//hypC//livJ//srlR//rcnA//allE//efeU_1//narI//dppC//yeiL//nrfA//cueO//nanE//psiF//pheT//agaA//dsdC//tonB//frdC//ilvE//cydD//hdeA//rpsJ//nikC//uxaC//oppC//yhfA//tehB//entB//kbaZ//ssuD//rrsB//dppA//ilvM//metN//paaE//bamE//galT//infC//araH//uhpB//fepG//ykgO//fepC//raiA//phoQ//gutQ//yebE//phnD//ygbA//fecI//phnN//cusS//ptsH//dpiB//cheY//lhgO//ebgA//yoaG//appB//murP//fes//purL//nagC//
Fur-Mn2+_pos	hcr//uxuR//mntS//metE//hlyE//tdcD//tsr//xseA//fepC//cusB//znuC//rpsO//fecR//hemA//cas1//aceE//rutB//napG//yojI//purK//lacA//aroP//aroF//gnd//ompX//
GlcC-Acetate_neg	cyoA//
GlcC-Acetate_pos	iraM//pgk//ilvG_2//aroL//ydhU//galK//
GlcC-Glycolate_neg	garK//
GlcC-Glycolate_pos	pgaB//serC//cysD//dsdC//cpxR//hycF//
GlrR-Pasp56_pos	gltV//
IclR-pyruvate_neg	fixA//argA//trg//yeiW//
IdnR-5-ketogluconate_neg	hha//phnL//srlB//
IdnR-5-ketogluconate_pos	phnP//mhpR//ryhB//nirD//lacI//
IdnR-Idonate_neg	rimP//abgB//cvpA//
IdnR-Idonate_pos	sodA//sodA//yjcH//cadC//dsdA//
IlvY-2-acetolactate_neg	fumA//
IlvY-2-acetolactate_pos	lsrC//
IlvY-Alfa-acetohydroxybutirate_neg	xylH//
IlvY-Alfa-acetohydroxybutirate_pos	entS//
IscR-[2Fe-2S]1+_neg	ycjX//crr//hisJ//dps//rpsP//rnhB//xylF//cydD//fixA//lysP//hypC//gspF//hycG//lpxA//purL//artP//metJ//rbfA//ugpE//fixA//emrK//xylB//rplW//cyaA//ompT//tdcF//fiu//moeB//alaA//ndh//
IscR-[2Fe-2S]1+_pos	baeR//kbaZ//napF//cytR//ydhU//lldD//gntK//cyoE//purM//ubiX//glpF//
LldR-L-lactate_neg	hycI//sufS//gyrA//
LldR-L-lactate_pos	mhpC//entD//paaZ//
Lrp-Leucine_neg	fecE//purE//ihfA//cspE//bglG//nuoL//rrlC//ccmH//lamB//fhlA//entA//yjeF//exbD//fixC//malF//hybA//ompT//ynfH//dcuS//dnaE//glnL//rcnB//cusF//sucC//sufB//ftnA//paaB//fecE//ansB//glpK//glpE//narK//tnaB//tyrA//frdA//acrD//ung//mdtA//fecE//yfdE//fucU//yfdX//ygaC//ydfN//ynfE//fepC//astB//sodB//tnaC//metL//amiB//eda//nanK//entA//paaB//frc//phnE_2//lamB//cheA//rrsB//tktB//araF//phnN//betI//adhE//treC//kbaZ//nrdH//alkB//grcA//fadB//nrdA//tsgA//bglB//hofN//
Lrp-Leucine_pos	eda//betB//tauD//nikA//sodA//yaeP//metH//galT//caiT//frdC//yegH//bioA//ascF//puuR//uxuB//secB//aceK//tyrR//glpR//rrsD//glgB//sucD//galE//speB//ygeA//argI//trpB//modC//soxS//hycH//ygaC//rybA//phoQ//ulaF//exbD//
LsrR_neg	yhiD//rbsB//caiC//efeU_1//feoA//fepC//purL//ccmE//dmsB//
MalT-ADP-Maltotriose_pos	rstA//torA//glpG//metF//amtB//yneM//stpA//zraP//uhpB//hycI//
MalT-Maltotriose-ATP_pos	ubiX//edd//lysU//nmpC//ydhV//feoA//entF//fes//eda//ysgA//
MelR-Melibiose_neg	hdeD//fbaA//ccmE//
MelR-Melibiose_pos	narX//malX//bacA//
MetJ-S-adenosylmethionine_neg	fixC//puuB//yeiL//adiC//pncB//pepT//fixX//sufC//yhcH//nuoL//rybB//zwf//hyaD//rplB//ydfH//
MetR-L-homocysteine_neg	gdhA//purC//
MetR-L-homocysteine_pos	mhpF//fepA//fucU//yfdV//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	hha//cysU//nrdD//ompA//rhaS//ivbL//
MhpR-3HPP_pos	pgaA//garP//crr//ahpF//argD//tomB//
MntR-Cd2+_neg	malP//xdhA//adiC//sucD//
MntR-Cd2+_pos	ccmB//
ModE-MoO42-_neg	fes//yeaR//mdtD//uidC//hflD//envZ//amiB//erpA//hyaE//dsdX//cpxR//hybD//narH//infB//dcuD//
ModE-MoO42-_pos	nusA//pck//fur//paaG//lhgO//metL//tnaA//entB//uof//hycA//sxy//oppF//fhuA//phnH//tnaA//glcG//lpd//phnM//tolC//cadB//preT//tcyJ//livH//iscU//mdtC//fhuB//fepA//arfB//tktB//rplS//lsrR//
NarL-Phosphorylated_neg	fdnG//hyfA//gadC//fepA//entD//ychH//galM//fhuE//gltD//ssuB//bglG//hdeD//araG//hybA//ygeH//araF//motA//hisP//tktB//fimA//yjiY//feaB//tauC//phnO//mdh//agaW//galK//guaA//gspF//phnF//fbaA//entA//murP//ptsG//betB//hisJ//ubiC//phoP//fimC//trxA//katG//nikA//rplV//nuoM//pdeF//gabT//copA//gadC//ispE//nrfB//mtr//nagE//pgaB//malM//fadL//nuoE//hyfH//yeaD//melB//argO//hlyE//zraR//dapD//hyfG//galP//hypC//gnd//pyrC//proP//betT//ascF//yhjA//hycA//dgcZ//fumB//fimF//fadB//modA//araB//rhaB//lysC//ydiU//mdtC//garK//torR//preA//
NarL-Phosphorylated_pos	chbF//yoaG//pflB//rimP//entB//xseA//ilvD//paaZ//malQ//glgS//xylF//moaE//dapD//exbD//talA//srlE//ydfH//folA//rpmI//uof//ssuB//oppA//prpD//lhgO//ispE//zraS//entH//ulaC//exbB//puuD//citC//narK//nrfG//comR//cusF//glpG//ndh//purK//eda//lacY//gspJ//phnM//nrfE//cusA//ccmG//appB//
NarP-Phosphorylated_neg	citD//rbsC//nuoI//pstC//cdd//tyrB//hycG//lpd//tomB//ydeM//prpB//mglB//chbB//rrlA//pheM//sdhB//puuA//gspK//cusS//garR//ptsG//cusB//cheY//cydC//lpxD//fecE//hyfB//yaiW//pheS//aaeB//hemA//folE//nikD//
NarP-Phosphorylated_pos	caiB//glcE//fepE//cspE//mntP//safA//ada//fur//fimD//fdnI//narJ//nrfF//ilvI//zraS//napA//hyaD//puuE//dmsD//manA//aaeR//zwf//trpE//zraR//bcsC//metJ//ybfN//lysU//secB//cueO//argB//ynfG//tauD//
NhaR-Na+_pos	grxC//xylR//acrF//hflC//trpE//
NikR-Cd2+_neg	gspM//ydeO//hflK//fumA//xdhA//sdhC//
NikR-Co2+_neg	gspI//udp//mlc//ysgA//purB//ebgC//
NikR-Cu2+_neg	appA//yfbR//rrlC//cusC//gadB//cstA//
NikR-Ni2+_neg	hyaB//fhlA//hyaF//torD//sdhA//ptsH//
NikR-Zn2+_neg	bamE//fhuE//cysJ//yibN//mzrA//argB//
NrdR-ATP_neg	gspK//ssrS//prpE//argC//hyfD//malY//cysH//pnp//ompW//
NrdR-Zn2+_neg	talA//cheR//araH//narJ//fucI//glgB//yegR//fecD//creB//
NrdR-dATP_neg	iscR//mcaS//modC//yecR//hycG//yaiW//rmf//slyB//sbmC//
NsrR-[2Fe-2S]reduced_neg	mhpA//dmsB//ssuE//paaA//phnC//rrsD//mhpE//aroL//xylF//gltU//cyaA//puuC//spy//rpoS//nuoM//caiC//dppB//rpsI//xdhB//ilvL//rplD//gltB//evgS//lrp//rpmI//hyaB//aroM//paaB//gdhA//araC//glyA//frdD//tpx//purR//allE//glpE//ubiG//napB//uhpA//ung//nuoM//fliA//hyfD//glcC//rybA//gspJ//sbcC//marR//dpiA//tyrP//lrp//lpxD//gcvT//puuR//hyfB//rpoH//caiE//tpx//bglF//purC//trpL//pgaB//cas2//mdh//gltT//yeaE//alaT//chbG//entH//bglF//xylB//thrV//ppiA//
PhoB-Phosphorylated_neg	ulaC//iraM//fhuE//metR//aceA//malK//phoE//lysC//caiD//ampD//ftnA//tomB//pflB//
PhoB-Phosphorylated_pos	rrsG//waaH//paaD//prmC//sbcC//galS//rpoE//mgtL//mzrA//betB//iscR//chbR//galS//ydhT//rrlH//bamE//malF//metY//uxuB//ftnB//comR//tcyJ//ompA//hupA//srlB//rpsJ//hyfH//uraA//paaZ//map//creA//nrfF//entA//alaV//citC//yeiL//dmsC//bioD//ppiA//dmsD//caiF//frdD//nanK//deoD//ampD//rutD//xseA//aaeA//yqaE//purA//pck//ivbL//tehB//
PhoP-Phosphorylated_neg	ydeA//hha//glcE//phoE//thrS//cysK//fucK//modA//dcuD//ynfK//rrsD//
PhoP-Phosphorylated_pos	cadB//nanA//metB//gspC//tdcA//ebgC//gatZ//rnhB//rybB//gltW//grxD//secB//patZ//gntK//yeaE//ackA//gatZ//dusB//abgT//lysU//fliZ//tdcG//fucI//ccmB//rplI//nikB//gapA//kbl//allE//cueO//narH//paaE//flhC//araJ//iscA//lpxA//trpA//fadA//ampE//cysN//dsdX//yfdX//nlpE//rrfD//citE//infC//mgtL//purD//bamA//
PrpR-2-methylcitrate_neg	mutY//
PrpR-2-methylcitrate_pos	hyaF//pta//rplC//yfiP//
PurR-Guanine_neg	gltF//mntS//yebE//aspA//fepA//secB//lsrR//hycD//cydC//aspC//upp//cyaA//tdh//lsrR//metC//evgS//glnD//ebgA//yegZ//rstA//cadA//tauD//lysC//rpsR//iraM//lacI//lsrC//tnaB//fumB//focB//mgrR//pstB//mgrR//mgtL//
PurR-Hypoxanthine_neg	prpE//sufB//gutM//argE//purH//crr//bhsA//stpA//phoE//purF//galE//cynX//malE//ilvE//abgT//araA//psiF//rpsR//caiC//phnH//pheM//bioB//malX//glgB//cysK//phnC//yegH//psiF//argF//metA//ccmA//hfq//entF//tauD//
QseB-Phosphorylated_pos	ilvA//tdcB//tdh//actP//
RhaR-L-rhamnose_pos	sodA//nupC//
RhaS-L-rhamnose_pos	csgF//rnlB//idnD//
RstA-Phosphorylated_neg	galS//glnA//ydeO//rrfE//rcnB//
RstA-Phosphorylated_pos	prpC//srlE//hdeD//arcZ//edd//
SoxR-[2Fe-2S]3+ oxydized_neg	artP//
SoxR-[2Fe-2S]3+ oxydized_pos	dusB//cirA//garP//
TorR-Phosphorylated_neg	trxA//
TorR-Phosphorylated_pos	hisQ//galE//fucA//ada//gapA//aroL//astE//gadC//evgS//
TrpR-Tryptophan_neg	cynR//trpL//grxD//rrlG//priB//fadE//caiC//rplS//cynS//fecR//aceE//rrfD//
TyrR-L-tryptophan_neg	dpiB//dpiB//mlc//tnaA//rpoE//napG//phoU//hofM//ygbA//fdhF//xdhC//gatZ//
TyrR-L-tryptophan_pos	napA//ygiB//glgS//
TyrR-Phenylalanine_neg	zwf//acrD//napF//gatA//nanM//galP//paaK//yfeW//ptsH//argR//acrE//fucR//
TyrR-Phenylalanine_pos	ybdN//gadB//zntA//
TyrR-Tyrosine_neg	acrB//ydeP//oppA//rplB//fur//hydN//fadD//ilvI//hypB//phnK//nrfE//cysK//
TyrR-Tyrosine_pos	ubiC//nirD//nfuA//
UhpA-Phosphorylated_pos	aroF//
XapR-xanthosine_pos	yedX//rof//
XylR-Xylose_pos	hyfH//torA//slyB//uidC//betA//cysP//
ZntR-Cd2+_pos	gatB//
ZntR-Hg_pos	dcuR//
ZntR-Zn2+_pos	ugpQ//
ZraR-Phosphorylated_pos	lysU//casA//rpsJ//
Zur-Zn2+_neg	ycdZ//modA//uxaA//trmD//hycH//gspK//
