#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	rpsF//acrE//
Fur-Fe2+_neg	hslJ//speB//argF//gspC//ydeN//alkB//paaF//puuE//ogt//dsbA//artQ//hisP//gntP//rof//rhaR//yeaE//caiC//rhaS//focA//ulaA//hcp//cydC//ugpE//waaH//sxy//paaD//emrY//fadH//sdhA//hfq//qseC//folA//fimH//cynT//iscU//nanS//glpX//baeR//argI//trpA//phnP//ung//astB//gadB//ccmF//rprA//hyfE//hybA//patZ//rutD//tyrP//fepB//ugpE//rrfB//lpxA//hypD//nuoA//phoE//eda//rutA//prpB//ygaC//hybG//aroF//idnO//iscU//araE//cheB//rpsQ//sucA//dppC//fhuE//ompW//hybO//fimD//paaC//nrfF//ccmG//guaA//caiB//entA//yggX//glpG//modB//mgtL//yjeF//phoE//ndh//dppF//mhpT//mntS//lpd//casB//phoQ//pstB//mscM//nikE//cysP//nupC//hycF//nrdE//paaG//entE//rpsF//zraS//azuC//nuoC//dppF//artQ//feaB//rrlB//gatA//livH//phnJ//gdhA//ebgA//argT//rplM//glgC//nrfA//alaA//hfq//pdhR//gspK//
Fur-Fe2+_pos	ilvG_2//katG//hofC//rpsQ//lldD//cysN//sufA//rutA//mgtA//fimG//soxS//livG//cyoC//gltV//motA//purK//codB//osmC//srlD//metQ//polA//hyaD//ydiU//yfdE//ileT//
Fur-Mn2+_neg	mntH//fucU//gcvH//ihfA//ompF//nikA//hypD//cysU//waaH//appY//hlyE//aceE//nac//glpR//rplP//mhpB//chiP//iscU//phoE//feoA//nrfA//appY//sucD//creC//betB//baeR//rnlA//pgaA//cysW//deoA//rrsB//ubiC//zraR//appA//ygbA//zraR//mntH//nuoM//argI//gabT//entA//hmp//astE//astD//pheT//hyfI//deoC//envZ//manZ//cspD//casB//oppB//fdhF//ydbD//paaI//yaeP//sodA//yfeW//nanC//motA//gcd//glpF//rimM//agaW//rhaT//hofC//treR//garP//nuoJ//rutF//ldtB//acrF//nikB//cusS//frc//gspL//nuoH//purF//carB//nirB//hemA//glcF//cspD//rplM//purC//tsaE//metN//nanK//oppF//tdcG//cusB//trpL//pagP//dcuR//serC//argB//osmC//carA//narI//acrB//glpQ//kbaZ//fimI//narJ//mtlD//araF//oxc//fliA//flhD//stpA//katG//paaC//sbcD//astB//fecD//phnC//araA//aceB//avtA//metA//asr//lysU//fbaA//malF//
Fur-Mn2+_pos	uhpA//frdD//dps//uhpT//glgX//ldtC//iscS//rrfC//araF//nrdG//mglB//argO//fnr//aldA//yjcH//tonB//fes//dnaE//hyfF//narL//paaB//cynS//thrS//pnp//nuoK//
GlcC-Acetate_neg	uxaC//
GlcC-Acetate_pos	ybdN//cdd//nrfB//hyaF//sdhA//glpC//
GlcC-Glycolate_neg	fbaA//
GlcC-Glycolate_pos	mgrB//nanT//yoaC//frdA//xylB//mtlD//
GlrR-Pasp56_pos	metA//
IclR-pyruvate_neg	galE//gabD//appC//tsr//
IdnR-5-ketogluconate_neg	nuoN//nirB//trpR//
IdnR-5-ketogluconate_pos	puuP//cytR//rimP//uhpA//napB//
IdnR-Idonate_neg	cydA//fimF//rrsE//
IdnR-Idonate_pos	dmsC//mepH//nrfG//phoR//gnd//
IlvY-2-acetolactate_neg	citF//
IlvY-2-acetolactate_pos	narL//
IlvY-Alfa-acetohydroxybutirate_neg	yebE//
IlvY-Alfa-acetohydroxybutirate_pos	fhuE//
IscR-[2Fe-2S]1+_neg	cpdB//nrfB//ysgA//talA//rrfE//znuB//cpxR//rrlA//fadB//gspL//appC//ogt//yfbR//moaB//hflC//lldD//edd//fimG//casD//nohA//yhjA//oppC//nrfC//oppC//ugpB//hyfB//tfaQ//fimD//qseC//casE//
IscR-[2Fe-2S]1+_pos	gspK//puuC//rplP//dcuD//bcsB//infC//galM//ilvD//appB//hycH//narH//
LldR-L-lactate_neg	alaT//rrsA//nanT//
LldR-L-lactate_pos	arcA//amtB//csgF//
Lrp-Leucine_neg	lacA//ydhW//hycG//oxyR//xdhB//ompW//tsr//amn//mhpE//ssrS//paaH//cynT//oxc//ygaC//xylA//rutC//cadB//cyoC//csgF//artP//feaB//cydC//fimD//agaA//gspO//icd//xdhB//hybD//hofO//glpE//acrA//ygeH//feoB//casC//bamA//focB//mdtD//cytR//uxuA//rpsF//rutD//araB//phoR//glcC//puuD//hybO//sufA//rseC//metQ//rutG//deoD//grpE//mutY//yfeW//rrfE//leuE//rcnB//hdeD//cydB//yqjH//phnJ//rimM//tdh//ryhB//bglB//ybdZ//gabP//astC//gltA//hyaF//cyoB//gltW//ulaD//glgB//cpxR//
Lrp-Leucine_pos	mgtA//norV//aspC//fau//appX//norW//aldA//pstS//paaC//alaU//thrS//hybB//yrbL//uxaA//garL//rpsI//nikR//bglF//leuE//dnaA//ynfH//alaU//yqjI//bamE//glgS//dsdC//hyfC//ilvL//hslJ//uxuB//acs//edd//pgaD//nuoF//rprA//
LsrR_neg	ybfN//gutQ//srlE//fucO//lsrG//rpoE//yfiP//rhaT//ampD//
MalT-ADP-Maltotriose_pos	paaC//sdhD//gabD//fdnH//dppC//tauC//ydhU//fucA//betA//fecR//
MalT-Maltotriose-ATP_pos	trpD//nohA//rpsP//gltF//trxA//rrfB//fadJ//rseB//ychO//rrfG//
MelR-Melibiose_neg	rprA//emrK//frc//
MelR-Melibiose_pos	avtA//fnrS//nikC//
MetJ-S-adenosylmethionine_neg	nuoF//ilvY//puuC//phoH//ynfH//argT//rplC//sbmA//hemL//ryhB//tcyJ//ilvA//cysG//preA//xapA//
MetR-L-homocysteine_neg	yeiL//tfaQ//
MetR-L-homocysteine_pos	exbB//tdcB//mipA//hyfG//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	lacA//galS//ileU//nrfG//gntT//glpG//
MhpR-3HPP_pos	preA//araB//gatY//mntH//aroH//astC//
MntR-Cd2+_neg	yfeW//nlpD//epd//metJ//
MntR-Cd2+_pos	prpD//
ModE-MoO42-_neg	arcZ//lsrA//melR//uhpB//rutD//phnF//cynS//feaB//yaiW//gabD//gabP//ydhW//gltW//bcsA//folE//
ModE-MoO42-_pos	cpdB//yoaG//feoB//cbl//hyfA//osmY//uidA//dpiA//livM//fnr//frc//hofM//galS//iclR//entE//icd//rimM//fdnI//sbmA//cytR//chbF//feoA//phnH//glcD//araA//yqjH//fepA//gspG//aroL//nanM//aroH//
NarL-Phosphorylated_neg	rplW//tehA//ubiX//tsaE//yqjI//csgC//bamA//ccmG//lldR//metE//bcsB//mutY//phoQ//entH//ydhY//iraD//tsaE//iclR//yoaC//rcnA//rpsP//nuoC//nmpC//murQ//appX//tnaC//sbmC//stpA//rrsB//glrR//ompR//argE//purB//rimM//ydhW//mgrR//torD//alkB//fimH//gadB//citG//ugpQ//rpsS//sbcC//argR//zntA//lsrK//crl//ileT//hycC//waaH//hyaE//oppC//caiF//nrdH//yhjA//tehA//caiB//livH//ygiB//mhpE//nagB//argT//cadB//ptsH//exuT//ccmA//aroH//cysH//acs//waaH//nagE//flhD//dapD//fecI//tyrA//ybdN//ackA//garR//ugpC//sufB//hyfE//nuoE//nrfC//cynS//exbB//
NarL-Phosphorylated_pos	oppB//ssuC//tpx//ilvY//chbA//fecR//tdh//aceB//rpsJ//rnhB//gabT//argE//fnrS//fliZ//evgA//katE//metL//aceE//sbmA//cysB//rnhB//bglG//livJ//cheA//hybE//acrE//glgC//puuR//rutE//ebgC//fdnI//fepE//gntT//rybB//ydhW//fucU//astC//metQ//bdcA//ryhB//gspM//ydeM//mgtA//sufS//rprA//uidA//
NarP-Phosphorylated_neg	ykgR//entB//rbsR//rdoA//mgtA//psiF//lpd//cusR//rstA//nrfB//gyrA//pstA//glnL//thrS//rrfA//mglB//chbF//frdC//prpC//dusB//oxyR//ydeA//mtlA//fixX//nmpC//ynfE//entC//cas1//nrfG//cysU//gntP//caiE//guaB//
NarP-Phosphorylated_pos	astE//malG//ilvC//emrK//acrF//ompW//fdnG//ogt//mhpC//rpsO//ihfA//tyrB//galT//yfdE//fixA//chbF//ydeM//bcsB//rhaS//secB//araB//livH//bglF//phoP//tdcC//dmsB//rrfE//dapB//pheT//metF//mhpB//melB//
NhaR-Na+_pos	malP//ascF//glpR//cusA//tsaE//
NikR-Cd2+_neg	tdcF//gntT//lysC//murP//sufD//motB//
NikR-Co2+_neg	pdhR//glgX//moaD//mdtC//hyaD//sodB//
NikR-Cu2+_neg	tonB//ydeJ//ynfE//epd//cstA//rbsB//
NikR-Ni2+_neg	hflX//sxy//galM//csgB//gadB//sdhA//
NikR-Zn2+_neg	nuoG//tauC//appA//bcsA//yciW//tsaE//
NrdR-ATP_neg	astB//pdeF//argP//fimI//nrdH//glcA//ftnA//narQ//aroH//
NrdR-Zn2+_neg	yqjA//ygeA//glcG//rpsQ//yjjZ//cyoC//rutC//cheB//fur//
NrdR-dATP_neg	ivbL//gntK//trpL//ompA//mdtC//tsr//sufC//caiB//rplD//
NsrR-[2Fe-2S]reduced_neg	acrD//uvrA//ada//pstB//ilvB//ubiC//marR//phnO//modA//nuoJ//mipA//glpB//glmY//manX//ileT//fumC//mltC//carB//cysG//lsrC//ccmA//serA//hdeB//manA//ydeO//folE//ssuC//glcE//gatA//aaeX//agaV//marB//nanS//glrR//paaZ//sucD//rbfA//nanM//exuT//hofN//fhuF//gyrA//nrfE//cysW//sufD//ydeM//sufC//artM//fepB//mgrR//uhpT//ilvN//dsdX//pgpC//lrp//glnA//sufA//glnG//mhpF//hofN//dctA//cysC//srlD//yeiW//sucD//znuA//exuT//fecI//fnrS//rnpB//purC//ptsI//yqaE//
PhoB-Phosphorylated_neg	kbl//nuoC//mutY//dkgB//dmsC//marA//rimP//hflD//glpX//manA//amiB//nrfB//hypB//
PhoB-Phosphorylated_pos	xylR//glcD//ahpC//map//fdnI//iscA//mntH//gadC//cspE//rutE//deoB//fadL//idnO//ilvC//frdA//hflC//yhcH//argT//acrA//rutF//cyoB//nadC//galP//dsdC//nagC//cheA//gntR//creD//glpQ//rpsF//yciW//sufB//yhjA//rrfH//rstA//cytR//aaeR//codB//deoD//paaE//purC//rbsR//tsx//acnB//gatZ//ycjX//ccmA//aroF//fecE//csgG//casD//phoU//gltU//
PhoP-Phosphorylated_neg	pstB//nagA//oppC//hybB//caiF//prs//alkB//rrlB//hisQ//fepD//pck//
PhoP-Phosphorylated_pos	speB//trpD//edd//rhaB//dppA//lsrF//gntK//manA//ydeO//citF//tauA//nrdE//zinT//modA//nuoK//nanM//rnpB//citX//ugpE//livG//pta//gcd//yfeW//tolC//hycG//glcG//spf//ygiC//thrS//yeiP//priB//nrfD//casB//nrdH//metH//glpR//uxuR//rseC//nanA//cysN//phnM//rseA//paaK//fliA//ydeJ//ykgO//idnR//dmsC//metR//
PrpR-2-methylcitrate_neg	tauA//
PrpR-2-methylcitrate_pos	yedX//mtlA//mscM//fucR//
PurR-Guanine_neg	cyaA//fecC//rbsD//phnM//mntH//grpE//asr//csgC//yccA//waaH//ssuC//galM//hofO//gltU//mgrB//grxC//bdcA//xdhA//srlR//lldP//sdhC//fepE//hisJ//trmD//nuoC//acs//cysP//hyfJ//hslJ//mdtC//metJ//fbaA//rcnA//betB//
PurR-Hypoxanthine_neg	sucB//purN//phnN//infB//alaV//aaeR//glcE//osmY//tam//dsdC//ilvD//hflD//lpd//creC//fhuE//grpE//tyrP//nanE//dnaE//mhpB//cysC//ascB//yeiW//fixB//gltU//rrsG//casB//nagB//lsrR//paaH//rimM//grxC//puuD//gspG//
QseB-Phosphorylated_pos	mtlA//gabD//yfiP//nikC//
RhaR-L-rhamnose_pos	flhC//sbmC//
RhaS-L-rhamnose_pos	aidB//ada//sohB//
RstA-Phosphorylated_neg	amtB//yaiW//oxc//napB//pgaD//
RstA-Phosphorylated_pos	actP//glpT//dppD//xylH//cdd//
SoxR-[2Fe-2S]3+ oxydized_neg	gntP//
SoxR-[2Fe-2S]3+ oxydized_pos	hisQ//hisP//abgT//
TorR-Phosphorylated_neg	qseC//
TorR-Phosphorylated_pos	micF//cydB//cyoD//puuR//bcsZ//ugpB//cyoB//yjeF//norR//
TrpR-Tryptophan_neg	rplS//fumA//hofO//creC//hycE//yhcH//yfdV//znuC//phnE_1//paaZ//nuoE//lldR//
TyrR-L-tryptophan_neg	livJ//folA//agaA//metB//fecI//mhpD//nanK//znuC//rrlE//bcsB//zraP//creA//
TyrR-L-tryptophan_pos	argP//glpQ//narL//
TyrR-Phenylalanine_neg	ldtB//tar//rrlA//fimD//fadA//metB//nuoE//chiP//gspM//galK//mntS//bglG//
TyrR-Phenylalanine_pos	rbsC//rbsD//sufB//
TyrR-Tyrosine_neg	zntA//bglF//metC//fecR//yebE//nikD//focA//zraS//cra//katG//ccmF//lldR//
TyrR-Tyrosine_pos	yidQ//deoD//grcA//
UhpA-Phosphorylated_pos	tomB//
XapR-xanthosine_pos	phnC//rplM//
XylR-Xylose_pos	ulaB//dppD//ynfF//alaV//xylG//rbfA//
ZntR-Cd2+_pos	purD//
ZntR-Hg_pos	astC//
ZntR-Zn2+_pos	ppiD//
ZraR-Phosphorylated_pos	pheS//yeiL//cas1//
Zur-Zn2+_neg	tdcA//bamE//ssrS//glpG//yegZ//iraM//
