#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	yidQ//gspK//
CRP-cAMP_pos	tyrP//ompT//yggX//dctA//glnL//nfuA//murQ//rhaB//hypE//fadJ//mglC//ssuA//dppC//livF//nikR//zraP//aroG//metN//ilvC//cydC//nuoL//rcnB//yojI//trpD//hypB//lsrR//nikE//ung//argI//thrV//phnE_2//rseA//cyoC//miaA//frdC//glnA//artJ//mlc//metR//feoA//hybA//phoQ//rhaS//idnT//fhuA//rrlE//yhhY//nuoJ//rplB//pgaC//yfiP//ssuB//ssuC//mhpD//xapA//gatA//uvrA//ilvC//nikC//yecR//argT//ssuE//ycjX//map//purB//rrsA//purB//malP//uxaB//rpsC//yfdE//cydA//rpsO//fucR//uxuR//abgT//astD//astD//phoR//cysN//phoR//narJ//araG//srlR//galS//pstA//appY//pnp//napA//malZ//cirA//malX//gltD//sdaA//livM//nikR//ynfH//fucO//ugpE//pitB//raiA//yecR//hyfF//borD//dusB//sohB//arcZ//napH//cbl//gpsA//hha//fadL//tdh//hflK//aceE//gspE//tnaB//torD//bioD//galS//glgA//rrsD//lpd//nikD//gntX//emrY//hflK//gltV//tfaQ//metJ//melR//ydhY//phnH//paaF//lldP//hypB//sufE//caiB//gabT//nuoM//gspL//gcd//alaV//melB//aldB//alaV//appB//ssuC//yeiB//fecD//skp//oppC//mutY//fur//nagB//yaeP//tsaE//cbl//qseC//hybG//tsaE//gatA//osmC//fepB//prmC//exbD//ubiA//melB//fadB//csiD//gcvP//fecI//purC//preT//mdtC//tsgA//exbB//fecB//ybiT//gspF//yqaE//cueO//marR//purA//trpL//waaH//paaZ//glnL//phnM//nrdG//tyrB//pgaC//sufB//malF//hyfG//yhhY//gapA//ilvG_1//kbl//napH//hisJ//araH//yqaE//nfuA//hyfC//fadH//glmY//yeiW//fnr//rutA//moaC//metJ//livH//casB//dmsD//ileU//metJ//gltU//hypA//nuoN//hycF//chiP//atoD//rrlA//araF//cheB//ubiX//casA//cusC//crp//phoU//artM//cysB//yeiL//bioD//nuoL//napF//gltA//ugpA//ycjX//xylB//ccmE//fumC//zraR//paaH//creA//guaB//narJ//glpE//zraP//ascF//rdoA//yhcH//yccA//lpd//sbmA//flhD//hemL//napG//sufS//ppdD//phoA//rstB//rhaA//acrB//gspD//hycB//cynT//fixB//hybF//phnP//cadC//livG//glcE//ahpF//lacZ//norV//sufS//rhaA//moaE//marR//lpxD//polA//ycjX//phoU//aceB//nupC//ubiC//flhC//glcF//casC//hyfI//bioA//katG//argO//ubiX//sucA//csgE//sucA//ydhY//garP//moaC//cueO//glnA//metK//yfdV//ppiA//manX//fecR//slt//gatY//iscS//uidA//ydeJ//yeiP//rbsA//prpC//tsgA//rrlC//argP//yojI//tdcG//entB//rrlD//sufB//sdhD//lsrA//dcuR//ilvL//pstA//fhuC//gspI//map//oxc//hslJ//prpD//ccmF//znuC//iscA//cyoD//metF//mhpA//lpxD//artQ//cynT//rpmC//gnd//artI//csgE//mcaS//ycdZ//rrlC//fumC//phoU//rhaS//napA//fabZ//qseB//fabZ//gpsA//rybB//rrfB//pgpC//pstC//fhuF//trpL//gspD//hyfF//srlR//hslJ//garR//ubiC//rrsC//oppA//sucD//ahpC//ubiC//lsrG//entB//nac//ilvI//ilvN//hyaE//rpmI//nusA//proP//hyfF//nrfD//nuoA//hfq//hycI//erpA//cydD//livG//araJ//ppiD//puuP//ilvB//ilvA//nlpE//torC//nrdB//torA//ebgA//tdcE//nuoF//gntX//phnC//csgE//purC//entH//prs//hha//appB//puuB//fhlA//phnM//oppB//ileT//glcD//bcsB//speA//hycH//rstA//hypE//trpA//pagP//ubiX//rhaT//
ChbR-Monoacetylchitobiose-6P_neg	sufS//ydfH//puuA//acrB//gyrA//epd//
ChbR-Monoacetylchitobiose-6P_pos	lsrG//rpsI//astC//puuA//rrlG//hypA//
CpxR-Phosphorylated_neg	ilvB//trpE//yneM//hmp//fadI//nikD//fdnH//prs//hfq//yjcH//aaeX//ilvG_1//agp//manY//micF//deoA//purF//gspG//rpsO//oppC//ybiT//citX//cydC//trpR//
CpxR-Phosphorylated_pos	pgaC//aldB//atoD//lysP//nrfE//yaiA//efeU_2//nuoB//cra//fes//tcyJ//bglG//ulaB//dsbA//bglB//yfdV//phoE//uxaA//agaW//frdC//yfbR//ilvC//nrfC//ampE//sbmA//yoaG//rpsR//ilvB//rpsC//chbC//gcvH//tfaQ//zinT//yjeV//sufD//preT//nanM//tolC//gcvH//ahpC//chbB//fecI//artI//hemA//narL//
CreB-Phosphorylated_neg	gntK//araG//dusB//
CreB-Phosphorylated_pos	guaB//bcsZ//hofB//mntS//ampD//ilvY//
CueR-Ag_neg	pnp//ygaC//moeA//deoD//mipA//
CueR-Ag_pos	napF//spf//
CueR-Cu+_neg	narK//ascB//lysU//ydfH//yfdX//
CueR-Cu+_pos	fhuB//carA//
CuerR-Au_neg	ilvH//yggX//hofO//galK//hofN//
CuerR-Au_pos	prpE//lsrR//
CusR-Pasp_pos	rhaD//rof//rof//hyaC//xdhC//yojI//tdcE//metJ//yegH//hyfE//rrfE//yqaE//
CynR-Cyanate_neg	rmf//
CynR-Cyanate_pos	garP//ompT//yeiP//
CysB-N-acetyl-L-serine_neg	atoB//exbB//fecE//glcB//sdhC//sroD//rrlD//
CysB-N-acetyl-L-serine_pos	dpiA//rutE//rhaR//ssuD//nirD//mglC//ppiA//hyaA//pgaD//nuoG//glpT//rplB//caiA//nagA//motB//dnaE//casE//srlB//fhuB//appY//aroF//fucO//cusS//
CysB-O-acetyl-L-serine_neg	bioD//uxuR//rnlA//ybfN//glnG//melR//hlyE//
CysB-O-acetyl-L-serine_pos	glnB//dnaN//fliA//osmY//hyfF//cvpA//puuB//tyrB//metJ//idnO//phnP//yhfA//metE//srlB//bglF//rimM//mipA//ydhW//napH//csgB//uxaB//yjiY//gutQ//cyoB//
DcuR-Phosphorylated_pos	bioB//hflD//prpR//ompC//yfbR//mcaS//soxS//rseA//araH//
DnaA-ATP_neg	gspL//infC//guaA//dppD//spy//ynfK//mltC//mipA//gutM//tsgA//metR//
DnaA-ATP_pos	astA//bioA//paaA//ugpE//azuC//sodB//edd//
DpiA-Pasp_neg	cynX//
DpiA-Pasp_pos	gnd//fnrS//tdcG//aaeB//ccmA//prpB//fhuF//lysP//glmY//phnP//
DsdC-D-serine_neg	hycC//
DsdC-D-serine_pos	slt//tauA//
EvgA-Phosphorylated_pos	tadA//casA//artM//rutF//psd//fhuB//norW//appB//napF//gspI//ugpB//amiB//trpD//srlR//xseA//
FNR-[4Fe-4S]2+ reduced_neg	artJ//feoC//lacA//gcvP//atoE//micF//ilvG_2//torA//alaV//argD//ycdZ//prs//nanC//yegH//glcB//lysO//rrsH//dsbA//glpE//grcA//malF//flhD//mpl//copA//dgcZ//sxy//leuE//nrdA//kbaZ//ygiC//fumA//cyoE//murP//gspJ//dcuA//xylB//hflC//azuC//livH//phnN//fixA//copA//manX//fhuC//focB//murQ//ccmA//talA//rhaD//acrD//yeiP//betA//paaF//aroA//narG//ykgO//rrsB//citC//nfuA//phoU//oxc//gspH//rpsF//psiE//znuA//rrlB//csiE//uxaA//iraM//ihfA//agaV//phoU//cysP//fhuF//argO//tehB//yojI//metE//mhpT//rbsD//infB//ilvG_2//hofP//fucK//rplI//casB//nlpE//yeaD//hybO//cysG//ssuE//argF//yhjA//codA//alaS//aidB//tyrR//entD//nac//oxc//nadC//ydeN//srlE//fumB//chbG//nrfG//exbD//fucI//rrsE//betA//ccmC//lsrD//lysU//allC//fhuC//mhpD//oppB//bglB//creA//glnK//
FNR-[4Fe-4S]2+ reduced_pos	astE//ynfE//ybdZ//creC//adhE//mglA//fepD//ydeP//lpd//glmY//lsrR//cyoD//csgB//rpmI//nagC//napA//rrlB//carB//gspE//nupG//nrfD//ychH//glgA//hmp//yeiL//purH//iscR//yaeQ//malZ//ampD//nuoE//hypE//sohB//mglA//fepB//sucA//hyaE//hofM//yqjH//appA//argI//yfeW//rbsD//mipA//sodA//znuC//ssb//exbB//sohB//fbaA//modA//treR//narG//cadA//rutD//torR//sdhB//phnD//edd//rplM//fhuD//tap//mhpB//tsgA//hypD//gatB//cyoD//narX//rplI//cpxR//hyfH//mtr//dsbA//bglB//appC//gltW//argI//hofO//cysW//hupA//mntS//purN//nrfA//yojI//ygeA//yaiW//livG//nrfF//yhhY//ebgA//pdeF//phnM//creB//gatD//uxaA//ychH//uidC//fucI//caiC//argR//csgB//stpA//rrlB//emrY//moaA//marB//rplI//chbR//yccA//xapB//livJ//malK//ilvY//ulaD//glpK//ychO//ynfE//appX//ftnA//cspD//feoA//nuoG//tfaQ//nikD//gntK//asr//mgrB//modC//phnC//araH//hycG//hisJ//talA//yhjA//ahpF//yjjZ//cytR//feoB//argC//ccmG//creB//bacA//hflC//zntA//galP//dppA//prpR//chbC//glpT//rutA//phnF//treR//rof//hyfD//ftnB//nanE//xdhB//araE//ryhB//ccmC//trpD//aaeX//allD//yaiW//ugpA//astD//yeiB//nupG//hyaC//comR//focB//ydbD//nuoE//yeiB//yhjC//xylA//cusS//cydA//dadA//grcA//mhpB//gspJ//ccmD//acrA//arfB//nuoK//nuoC//csgB//znuC//abgA//bamE//cueO//feoC//rpsS//dpiB//purE//rrsC//bacA//tdh//glnD//yhcH//cyoC//
FhlA-Formate_pos	astD//argH//agaV//fabZ//rplS//sodA//bamA//csgA//udp//ulaE//gspG//psiE//gcd//hflC//rbsA//rrfD//gspM//citD//rnhB//idnK//yjeF//mglC//hyfF//ilvD//yegR//rplM//ompA//purL//galS//tam//
FucR-L-fuculose-1-phosphate_pos	yaiA//mglA//caiD//hofN//hyfE//uxuB//glpK//
Fur-Fe2+_neg	lldD//aceA//ydiU//pgaB//fecD//sbcD//araJ//trpR//nuoB//nrdB//moeB//hfq//hypC//bdcA//yjcH//appX//dmsC//ydeN//lsrG//puuC//cas1//prpC//iscR//prmC//stpA//rybB//xdhB//napF//cydB//oppD//yecR//nikC//puuE//malX//yfiP//torR//prpD//cheA//ygiB//glpK//trpB//melR//appY//atoD//fadB//ompT//xapA//cyaA//dcuB//speB//csgG//csgA//ybfN//cadB//hyfA//gspL//psd//chbR//gspL//fadJ//mipA//srlR//xylB//entB//rplB//fecC//hmp//aceF//azuC//pepT//napG//speB//glgA//nanE//sdhA//mhpD//cusS//xapB//nuoI//narJ//hupB//atoB//araB//lsrC//cysG//hyaF//kbl//alkA//aaeB//yojI//fucA//ycjX//cpdB//cheY//betB//lamB//hslJ//hypA//agaA//pnp//lsrB//hydN//ulaF//emrY//ompA//ascB//cheR//norV//nuoA//tnaB//rpmI//rrsH//malS//envY//kbl//glgX//rdoA//fadL//yjeF//yaeQ//grxD//gcvT//citD//ssrS//
Fur-Fe2+_pos	cpxR//glrR//hyfD//malM//lacI//hyaA//tauD//mpl//cueO//creB//srlA//thrV//dkgB//betB//yggX//cysI//fimG//aroA//fadI//nohA//phnC//guaB//treR//acrB//patZ//
Fur-Mn2+_neg	hmp//entC//ilvD//narJ//fdnG//gspO//rrlH//guaA//pgpC//safA//hyfA//rseB//fbaA//ilvL//rutA//csiD//ldtB//gapA//ccmC//argT//rutB//ssuE//gatC//napD//rstB//infB//nagC//slt//rpsF//gspC//argP//yeaR//rybB//lacY//glcC//lldD//rrsC//priB//mhpD//talA//yjcH//entE//gatZ//cyaR//yciW//gltU//fimC//glpF//ahpF//ssuA//casB//hcr//hycD//fimH//fadJ//phoQ//norW//cvpA//dgcZ//frdB//napG//focB//gltW//glcA//gspH//hlyE//sohB//degP//rplD//bioC//efeU_1//cysK//glgS//fldA//gabD//dmsB//sufS//puuC//lhgO//pstS//tam//malP//efeU_2//bamA//puuD//hypC//bglB//glnA//pncB//fhuE//cyoB//thrV//ampD//xylA//ilvC//hflD//ydhX//hofM//nrdI//rprA//yegH//cas1//moaB//mcaS//betT//nlpE//carA//erpA//gspF//fabZ//zraS//mzrA//acrB//ydhV//rutC//tsgA//lsrK//lacI//dsdA//ssb//ldtB//tonB//fadE//gspF//
Fur-Mn2+_pos	rrlH//idnO//mpl//phoB//entE//lsrR//ulaB//sufC//mlc//abgB//fimC//nagE//appX//dcuB//metF//phnK//hflD//glpG//argT//narH//phnI//ccmH//nrdG//rpsP//ptsG//
GlcC-Acetate_neg	xdhC//
GlcC-Acetate_pos	trmD//yhjA//patZ//acnA//napA//rpsR//
GlcC-Glycolate_neg	cysD//
GlcC-Glycolate_pos	ftnA//bhsA//mgrB//ydiU//aaeA//glgP//
GlrR-Pasp56_pos	arfB//
IclR-pyruvate_neg	icd//atoA//acrA//polA//
IdnR-5-ketogluconate_neg	rrlB//sufE//yjiY//
IdnR-5-ketogluconate_pos	citG//purA//tnaC//lacY//caiB//
IdnR-Idonate_neg	ugpE//ybdN//xylG//
IdnR-Idonate_pos	hyfA//acrE//malM//uxaB//yaiA//
IlvY-2-acetolactate_neg	acnB//
IlvY-2-acetolactate_pos	yegR//
IlvY-Alfa-acetohydroxybutirate_neg	pyrC//
IlvY-Alfa-acetohydroxybutirate_pos	grxC//
IscR-[2Fe-2S]1+_neg	tolC//dgcZ//fecD//tdcE//prpR//lhgO//ycjX//fecR//galK//metF//tomB//glrR//cusR//cysW//ackA//gabD//bhsA//mgrB//dcuS//cyoE//ogt//map//srlB//prpB//nagB//cadA//fdnI//yoaC//uhpT//yedX//
IscR-[2Fe-2S]1+_pos	psiE//ascF//dppF//rutC//aceF//srlD//ydhV//appX//deoA//patZ//rrsG//
LldR-L-lactate_neg	fimA//mtr//lsrC//
LldR-L-lactate_pos	appA//nuoJ//tdcC//
Lrp-Leucine_neg	pstA//malZ//grxC//yccA//ilvY//betB//dsdA//xylA//dcuR//lsrG//narG//ydfN//caiE//rpsC//paaB//mscM//rcnB//ascF//moaC//ampD//livJ//aspA//hofP//glyA//trpE//fiu//osmC//nuoC//nirD//gatA//rpsI//truB//fixB//tnaA//hycF//tauB//nadC//gltB//rplD//lsrF//tap//uxuA//appB//yjcH//hycC//dapD//bcsA//icd//deoA//prpB//yaeP//rpsQ//rplT//codA//marB//paaD//lysC//ydeO//rrsB//cysD//baeR//artM//fur//asr//ompC//cysW//hybD//cyoB//argB//entA//fiu//araD//ilvD//purL//lolB//
Lrp-Leucine_pos	yebE//cysD//hisJ//alaT//appB//rplC//rplC//araJ//hybE//ulaC//bamA//rrfD//grpE//hisQ//metC//ulaB//sufE//ilvA//cysD//exbB//sroD//envZ//pstA//tdcB//csiD//ydfN//glpF//fixB//motB//motB//rpmC//ugpB//gatB//ykgO//hybG//
LsrR_neg	tsaE//tauC//yqjH//glpB//aroG//hofP//fdnG//cynR//sufB//
MalT-ADP-Maltotriose_pos	yegH//csgC//galK//ygiC//cpdB//ebgC//bcsA//tolC//trpA//hypF//
MalT-Maltotriose-ATP_pos	nrfA//arcA//yjeF//cyoA//gltD//astD//amtB//ptsG//fldA//rhaT//
MelR-Melibiose_neg	manX//aaeR//idnT//
MelR-Melibiose_pos	aldB//rhaR//rprA//
MetJ-S-adenosylmethionine_neg	torA//nikA//feoB//bglG//alkA//idnT//atoA//metL//rutF//srlR//sufB//livK//mtlD//cydC//yoaC//
MetR-L-homocysteine_neg	glnA//yhhY//
MetR-L-homocysteine_pos	rnhB//garL//rplI//rdoA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	ydhX//appA//hybA//fucR//galT//metN//
MhpR-3HPP_pos	serC//borD//qseC//gntX//entE//ascF//
MntR-Cd2+_neg	sucB//amn//ivbL//phnI//
MntR-Cd2+_pos	mhpD//
ModE-MoO42-_neg	grxC//oppF//cusC//phnO//hisM//araF//rprA//bdcA//arcA//napC//stpA//casB//ftnB//cyaR//guaA//
ModE-MoO42-_pos	oppF//gspF//hybA//hydN//nagE//ebgC//hisQ//ysgA//cheR//astD//manZ//rmf//fixB//serA//casA//yoaG//yqaE//metA//argG//nikB//cadA//ynfE//nrfF//ygaC//purC//flhC//ldtB//osmY//tap//artM//feoB//
NarL-Phosphorylated_neg	csgC//lsrA//argD//putP//sodA//dcuS//serC//rpsS//cra//norR//glpB//treB//treR//avtA//cydC//fhuB//agaW//tdcC//cusR//nirB//patZ//exbD//nrdG//nrfD//ileU//yegZ//csgB//flhD//yeiW//sbmC//cynT//ycjX//hybG//sodA//cirA//murQ//argB//rmf//zntA//rrfG//guaA//crl//nrdG//pck//ldtB//cadC//ilvG_1//alkB//nikC//hyfB//norV//astB//mdtA//tdcF//tcyJ//lacA//cheY//fldA//rpmI//galM//lysO//tdcD//dsdX//fadI//hycH//rbsB//puuC//norW//motA//allC//malF//polA//ilvE//hisQ//prmC//nrdB//dmsB//hyfE//mntH//fepE//ykgR//yggX//artQ//puuE//ansB//argB//
NarL-Phosphorylated_pos	yccA//gatD//aceF//puuR//pyrC//xseA//phnN//chbG//csgG//paaA//lrp//dgcZ//ndh//znuA//prpD//ryhB//casC//actP//mlc//ldtB//gutQ//hisJ//pitB//fhuA//yfiP//sbmA//bamA//yfaE//rbsA//ulaB//sucD//phoH//tsaE//garP//rrlH//cydB//hofO//gntK//rplP//zraS//moaC//treC//bioB//hypD//ydbD//xseA//
NarP-Phosphorylated_neg	folE//marB//gltW//speB//ogt//hfq//cheA//cyoA//malF//amtB//glgX//yeiP//sbcC//emrY//malZ//cydB//moaC//yidQ//ybdZ//rrfG//bacA//cusC//tdh//hycI//yhfA//puuC//ompR//gltD//sodA//fdnG//yjcH//fucP//araG//
NarP-Phosphorylated_pos	lhgO//yqjA//phnK//grcA//xylH//appB//astD//pck//iscA//zwf//caiF//pgk//phoH//treR//purK//mlc//glnD//hcp//gutQ//nadC//ycdZ//aaeA//rrfG//prs//phnH//hdeD//napF//hdeB//sufB//map//lolB//psiF//
NhaR-Na+_pos	rrsE//guaA//torA//yiaJ//gnd//
NikR-Cd2+_neg	cydD//secB//galP//cysJ//ydhU//cyaR//
NikR-Co2+_neg	rutC//manY//fdhF//ada//hofB//sohB//
NikR-Cu2+_neg	pitA//hyfH//fadD//sdaA//ompR//fes//
NikR-Ni2+_neg	cheA//csgD//cysK//hyfR//cyoC//ykgR//
NikR-Zn2+_neg	grxC//mutL//ykgO//avtA//acnA//hemA//
NrdR-ATP_neg	ansB//rimM//ygbA//hyfA//puuB//chbR//moaA//rhaA//glnL//
NrdR-Zn2+_neg	xdhB//cueO//ptsH//psd//xylA//ssuA//rrsG//metI//dcuB//
NrdR-dATP_neg	lsrD//entC//treR//aaeX//tdcC//casB//cysN//acnB//asr//
NsrR-[2Fe-2S]reduced_neg	ilvE//malF//entH//nuoJ//talA//alaS//mhpB//iraD//osmY//iscA//rrlA//entS//bacA//purH//hyfD//dsdC//dcuR//edd//ybfN//ydeO//gspE//xdhA//stpA//ulaC//hofP//csgE//cynS//hycA//phoQ//ileT//znuB//mgtL//nrdD//zraS//efeU_2//cyoD//ptsH//melB//cheZ//nanE//csiD//motA//atoB//dmsC//ftnB//gatD//hybO//gutM//gatB//fbaA//zraP//hypE//adiC//creC//csgE//rrfG//rutD//dnaN//narK//yegZ//ftnB//mdtC//oxc//sodA//fhuB//gltT//ilvI//ycjF//nrfE//cirA//caiD//tdcG//infC//
PhoB-Phosphorylated_neg	ccmF//rpoS//glnG//secB//zraR//astA//hisM//pheS//ynfE//rrfG//guaB//acnB//nuoN//
PhoB-Phosphorylated_pos	pyrC//fis//phoE//polA//katG//rof//prpD//fadB//gltF//acnA//hofO//yfdV//ydhU//ygbA//cysU//nrdD//cusB//csiD//rutD//ydeP//qseC//ygeA//gntK//entD//hybG//rplW//ulaA//paaA//ulaD//chbA//fadE//yeiP//csgC//gspL//astA//ubiA//hyfF//uhpA//nuoH//ssb//galK//mgtL//ihfA//tauC//mgrB//lpxA//frdB//argI//rrlH//fhuB//appA//rof//fdnG//
PhoP-Phosphorylated_neg	lysO//uhpB//hybA//rrfC//argR//motA//narK//sufA//glcC//glgP//cusC//
PhoP-Phosphorylated_pos	hyaD//mzrA//livM//glpQ//betI//entS//dsdX//tdcC//ptsI//nuoH//phnE_1//xdhA//nirD//skp//citC//tsr//yjiY//trpE//tktB//aldB//rbsC//marA//tyrR//sucA//cstA//gyrA//betT//atoD//chbC//trmD//mlc//gspI//tdcG//rybB//yfdE//rplM//hycC//ilvH//codB//rrsH//casC//norV//iclR//atoE//ybfN//mhpT//acnA//glgP//nrfB//
PrpR-2-methylcitrate_neg	rrfA//
PrpR-2-methylcitrate_pos	cpxR//tnaB//yfeW//grcA//
PurR-Guanine_neg	rhaD//cydB//zraS//yiaJ//yegZ//zwf//rrlD//citG//gltT//betA//prs//ptsH//ydfN//dcuA//sufD//pflB//secB//yjcH//yoaC//mltC//icd//ugpA//nrdD//deoB//exuT//betB//motA//phnL//ompR//lsrD//aceE//ccmC//glcB//aroH//
PurR-Hypoxanthine_neg	paaK//arcZ//purA//argH//speB//hyaF//livH//araH//pncB//purN//skp//ispE//napD//cysH//sdhB//mhpF//slt//rpsF//cydB//moaB//livG//malS//tadA//uraA//aceB//rnhB//hisM//metA//csgB//yoaG//caiC//gpmA//fdhF//hyaA//
QseB-Phosphorylated_pos	gspI//dsdC//oppB//pgaC//
RhaR-L-rhamnose_pos	fixA//manY//
RhaS-L-rhamnose_pos	gadC//fucP//dmsD//
RstA-Phosphorylated_neg	gadC//entS//raiA//fepE//dadA//
RstA-Phosphorylated_pos	hyaD//glpC//fadB//napH//gntP//
SoxR-[2Fe-2S]3+ oxydized_neg	phoH//
SoxR-[2Fe-2S]3+ oxydized_pos	fucP//ydhY//dppF//
TorR-Phosphorylated_neg	fecE//
TorR-Phosphorylated_pos	phnM//malT//araG//cyoA//cydD//narG//ompA//entA//fimE//
TrpR-Tryptophan_neg	cusR//tnaA//entH//cpxR//infC//metB//nuoB//mtlD//cynR//mdtD//hofO//glpF//
TyrR-L-tryptophan_neg	fixA//mntH//pncB//rrfF//yjcH//tolC//fhuD//tsx//paaJ//hemL//uhpT//cra//
TyrR-L-tryptophan_pos	glcB//bglF//pta//
TyrR-Phenylalanine_neg	rrfB//ydfH//glpX//pgaB//tnaC//nupC//pdhR//aroP//hycH//yecR//edd//entD//
TyrR-Phenylalanine_pos	gspL//malI//fucP//
TyrR-Tyrosine_neg	kbaZ//tsaE//hycF//aceF//degP//nagE//qseB//ybjG//sufE//argE//bglF//astE//
TyrR-Tyrosine_pos	evgA//lsrB//malS//
UhpA-Phosphorylated_pos	yqjI//
XapR-xanthosine_pos	ompF//manA//
XylR-Xylose_pos	lacA//hycI//znuC//hycG//tehA//hyfH//
ZntR-Cd2+_pos	creD//
ZntR-Hg_pos	efeU_1//
ZntR-Zn2+_pos	ccmB//
ZraR-Phosphorylated_pos	rhaB//glpD//ilvI//
Zur-Zn2+_neg	evgS//alkA//hycB//acrF//bdcA//yjjZ//
