#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	fepG//ilvH//
FNR-[4Fe-4S]2+ reduced_neg	ygeH//gspH//phnN//mepH//sdhC//moaB//rrfE//xdhA//glpG//arcZ//glcE//cpxA//hybB//rbsC//comR//fecD//bcsZ//fimD//glcG//rutD//fimF//flhC//xylF//rseC//rutF//thrV//marB//nikB//hybO//hypC//tpx//uof//fumB//treR//livF//fadL//gspE//rutD//caiT//hycE//ybdN//paaI//psiE//gatC//hyfC//uxaC//nikR//trpR//moeB//glcG//crl//fau//oxc//gpmA//dsdC//gspI//fdnI//malY//artJ//glnG//hybC//xylF//rstB//dps//dcuS//yaeQ//nrdG//nikA//yjiY//glgA//rrfH//puuA//spf//cheY//hofB//gntX//nrdI//ssuB//ccmD//idnO//csgF//ydhY//ycjX//torD//yrbL//garL//nuoN//nanS//ppdD//hcr//feoA//pstC//yaeP//zraS//sohB//ampE//mpl//betI//xdhA//galE//tam//nohA//uidA//mglA//bcsA//paaK//yfdX//nupC//hyaE//lysU//allD//ubiG//bamA//nac//hyfB//napB//gltD//rrfF//dnaN//eda//
FNR-[4Fe-4S]2+ reduced_pos	lsrC//nrdF//bcsB//gltF//iscA//tomB//lacI//rdoA//cysJ//aidB//ugpQ//rrlG//ssuA//zraR//xylF//crr//rhaD//argR//ydhV//feoC//frdC//garR//pflB//uidA//fadI//tdcB//codA//rcnB//carA//rplI//casD//carB//ybjG//gspC//dcuS//hdeB//tcyJ//chbF//nanT//ilvG_1//galP//tolC//purE//tar//phoA//purH//gabT//hycB//dnaE//entA//nikD//sohB//bglB//caiA//dgcZ//yaeP//rplV//ydbD//gnd//rplD//hycG//ilvG_1//oppA//rplV//hyaC//pgaA//thrV//upp//priB//mlc//slyB//yhcH//nupG//iscR//uhpA//fucR//fadH//crr//ppiD//ogt//phnE_1//recF//copA//hyaD//yeiB//nuoE//lsrC//rpsR//prpC//hofM//rpsP//rybB//phnI//rhaB//qseB//puuC//gatB//creB//yqaE//iraM//ilvY//yfdE//yhcH//astA//ugpQ//fadB//rprA//glnB//trpL//sdaA//galS//moaA//sdhC//ugpQ//pyrC//cysB//hycF//fixX//marA//tdcB//fecR//dppF//rpsP//arcZ//trpL//glgC//uhpB//narQ//nagE//yggX//metA//aroA//rhaD//aaeB//chbF//yaiA//hydN//arcZ//yjiY//csiD//glpX//cusF//hyaC//sohB//ydhU//ulaB//malZ//preT//prfA//galK//stpA//ccmF//aldA//ulaE//narJ//rpsP//cyoD//dsdC//cpdB//nfuA//katG//citC//narJ//ydhX//ccmH//livJ//crp//phoQ//argC//moaC//yjeF//oppD//cas2//garR//tauB//araC//tauC//hyaC//atoD//mhpD//rrsB//mdtC//nrfB//artQ//pstA//gntP//hybC//srlE//rrlG//yibN//ebgC//ompC//rmf//truB//nuoK//srlR//pflB//citE//cysU//fliA//nrfA//hisQ//
FhlA-Formate_pos	stpA//oppF//livF//pyrD//nikR//phnI//ryhB//ytfE//tsaE//malG//livJ//narL//secB//hpt//guaB//cynR//nirC//yfbR//fecD//glgB//sufS//polA//cirA//rplM//mtlR//fepC//fucO//argP//fhuE//bioD//
FucR-L-fuculose-1-phosphate_pos	rplI//hyaD//marB//acrF//glgP//nrdA//nohA//
Fur-Fe2+_neg	rrlG//purC//yfbR//astE//rpsO//lysP//mgtL//ydbD//purH//tomB//marB//znuB//ubiC//fhuA//gspM//rrsG//iraM//manA//ynfH//rpoS//dctA//uhpA//cadB//ycjF//tdcA//yeaR//glnA//ulaC//lsrB//oxc//ahpF//ydhW//gspF//marR//hyaC//gutQ//ilvG_1//fau//cra//hycC//argT//ogt//znuA//nirB//mhpC//recF//nlpE//ydhX//flhC//cadB//fucI//yneM//cysP//ssuB//cheB//astA//aroH//arcA//ygaC//ptsH//leuE//cynT//uxaB//gspG//hisM//garP//aceB//folE//glpE//ydhU//dmsC//malT//aceK//melA//gpmA//icd//pflB//bcsA//nrfG//mgrR//gltV//dnaE//fadE//astD//cydC//carB//atoD//agaV//galT//trpA//appB//hyfF//rnlA//hypC//nrdE//phnE_1//araF//garK//yfbR//ccmG//pnp//torR//nrdF//dnaN//sufS//gspC//sufD//rrfE//yqjA//alaU//argE//ykgO//alaV//mzrA//rplD//uidB//phoR//yqjI//yaeP//narX//phoR//hupB//speA//waaH//
Fur-Fe2+_pos	aaeA//entA//psiE//livM//hyaB//rnlB//alaA//ycjX//feoB//lsrR//atoB//fimG//fdhF//rhaS//lacA//fadB//bglG//mepH//tar//hflD//mutL//puuR//modA//gltD//yeaE//
Fur-Mn2+_neg	acrE//fdhF//bamE//exuT//gspM//hybA//arfB//ykgR//iscU//glgC//hybG//galE//argO//ubiX//hfq//thrV//glnA//focA//galP//norW//malZ//citX//cynS//tsr//gspG//srlB//pheM//gntX//astA//manZ//prs//fhuA//sodB//csiD//hslJ//yeaR//trpD//evgA//manX//ugpC//lpxB//csgC//metJ//phnP//fucI//yhfA//putP//aroP//yhhY//lpxD//hlyE//fliZ//creA//gatZ//yqjH//tpx//atoA//fdnI//glgX//phnI//mdtB//galP//tcyJ//phnF//tauA//ascB//nrdG//ompC//nuoI//rplT//glcB//yoaG//fepE//cynR//garL//phnE_1//paaK//malK//glpQ//gcvH//talA//rpsO//metB//glgP//rnlA//lsrK//crp//evgA//asr//ptsG//iraM//gspE//rplV//nrfB//puuB//modC//fnrS//glpK//ilvD//cspD//bioC//ygiA//yjcH//ydeO//cysN//nikR//aceE//hisJ//motA//nuoA//yegR//rpsP//ompW//entH//acrD//slyB//lpd//hyfH//fur//yciW//astD//lsrC//cvpA//ebgA//
Fur-Mn2+_pos	trpD//citX//xdhB//feaB//nfuA//fdnI//aidB//cyoE//lpxA//yfbR//avtA//cydC//yfdV//fur//fucI//treB//creD//tdh//adiC//tauC//phnO//gntR//yeaR//hofC//gatC//
GlcC-Acetate_neg	ccmF//
GlcC-Acetate_pos	metQ//nrdH//chbA//lacI//cstA//psiE//
GlcC-Glycolate_neg	cstA//
GlcC-Glycolate_pos	ytfE//ydhU//ppiD//rrsE//appC//yeiB//
GlrR-Pasp56_pos	rplT//
IclR-pyruvate_neg	metL//ulaD//rbsB//tehB//
IdnR-5-ketogluconate_neg	dcuC//ompX//dcuS//
IdnR-5-ketogluconate_pos	psiF//fldA//fadJ//tnaB//ileT//
IdnR-Idonate_neg	glgC//paaE//dcuB//
IdnR-Idonate_pos	sdhD//chbA//hofO//glpT//tolC//
IlvY-2-acetolactate_neg	rpsO//
IlvY-2-acetolactate_pos	ompR//
IlvY-Alfa-acetohydroxybutirate_neg	nrfF//
IlvY-Alfa-acetohydroxybutirate_pos	hypD//
IscR-[2Fe-2S]1+_neg	bglG//acnA//oppD//narX//tonB//cysI//casC//trg//srlB//hdeA//fumC//prpR//tdcE//rutD//hofM//trpL//puuB//paaB//rrfC//rbfA//fiu//xdhA//nuoL//yoaG//fimA//iraD//ascB//trpR//hcr//evgA//
IscR-[2Fe-2S]1+_pos	fhuB//gntK//yeaR//ydhW//appX//malI//cheZ//aceE//rrfG//caiE//ycjF//
LldR-L-lactate_neg	fadD//phnM//betI//
LldR-L-lactate_pos	rnhB//rpoE//fadL//
Lrp-Leucine_neg	purM//gltD//yhjC//pitA//gltU//entC//gspE//ydeA//yhfA//cynS//fadH//trg//creD//yeiB//hyfH//sdhA//nohA//sohB//mtr//rpoS//ftnB//csgG//purF//mntP//gcvH//yhjC//marA//feoA//hofB//dpiB//rrsC//uxaC//hycH//yccA//hyfH//hupB//phnI//cheY//rplP//yeaD//treC//osmC//emrY//dcuB//yeiL//sbmA//nrdA//efeU_1//dkgB//chbG//zraS//mntS//argD//tauB//modC//rrfE//mdtD//soxR//yfdE//preA//purE//yfeW//dpiA//speB//gltV//ilvD//araG//nuoM//glnK//aroL//dsdA//hemA//prs//glnA//gabD//
Lrp-Leucine_pos	tsx//truB//tehB//sufE//fimI//phnD//borD//lsrD//ihfA//pta//rbsB//gltF//nanS//pnp//garR//mhpC//oppB//kbaZ//ygiA//yojI//artQ//ilvE//ulaC//ilvY//exbD//aer//umpH//hyaA//hypC//malY//hypC//iclR//puuD//gatB//yccA//
LsrR_neg	yegH//lysO//ydeP//aroM//cpxA//gatD//ryhB//gdhA//xylF//
MalT-ADP-Maltotriose_pos	cueO//glpA//yedX//argD//bglF//lsrB//lsrA//idnR//napC//srlD//
MalT-Maltotriose-ATP_pos	phnC//dcuB//mhpT//bcsA//cusS//tar//yfbR//purF//cheA//bglG//
MelR-Melibiose_neg	fecD//aroH//sdaA//
MelR-Melibiose_pos	yqjH//glpA//upp//
MetJ-S-adenosylmethionine_neg	fnrS//alkA//glnL//fepD//trxA//ykgR//ppiA//ilvY//paaC//marB//fecA//glgB//xdhA//appA//yqjH//
MetR-L-homocysteine_neg	uhpC//entC//
MetR-L-homocysteine_pos	cusF//sdhC//lsrK//glgA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	tdcB//gspL//hybO//creC//argA//yidQ//
MhpR-3HPP_pos	speB//abgT//mhpC//trpA//metH//tauC//
MntR-Cd2+_neg	pncB//pgk//rrfG//ychH//
MntR-Cd2+_pos	cstA//
ModE-MoO42-_neg	livF//fabZ//dadX//argR//phoA//spy//zraR//yaiW//psiE//rrfC//caiT//fadJ//ygeA//ilvM//nuoK//
ModE-MoO42-_pos	glgB//rbsA//fadH//ulaD//rpsR//fimD//ydiU//paaJ//sucC//ydeJ//oppF//dps//yegH//glcF//lpxA//cysG//tyrP//trpD//fepA//casB//leuE//nuoL//caiT//ppiA//metL//rybA//nuoA//exbD//glgA//hofB//ssrS//
NarL-Phosphorylated_neg	fliA//gntT//exbD//micF//rbsD//mgtL//ychO//ppiA//dapB//fumB//dcuD//fecI//yaiA//alkB//arcZ//miaA//rseA//ftnB//gltA//artQ//treR//metN//cysK//gspD//speC//sufA//rseC//fucI//zntA//rplV//sroD//nohA//puuR//ileV//dsdX//bcsB//dcuD//trpL//galE//frdA//pstC//trpL//abgT//phoP//hydN//gspJ//gntR//yqaE//xylF//cyoB//cysB//caiT//idnD//fhuE//hslJ//gntT//xdhB//envY//metH//aldA//ompR//dkgB//gatZ//sbcC//mlc//pstC//yciW//ydhW//frc//caiE//sdhB//frdC//cyoE//raiA//dmsB//gspO//yjjZ//aaeX//gatD//phoA//napG//ompC//glnD//moeA//metC//dcuD//
NarL-Phosphorylated_pos	abgA//uxaA//cyaR//livH//fadH//pyrD//moeB//ompF//ssuC//galS//hybO//cysC//fimE//glpC//rpoS//carB//manY//nrfB//feaB//nanK//bioA//hupB//nanC//gntR//xylB//argI//ybdN//cheZ//nadC//lpxB//dpiA//dps//nanT//fdnG//feaR//bdcA//phoA//ascB//rpsI//oxc//ybdN//ubiX//fau//lldP//purM//dcuC//
NarP-Phosphorylated_neg	nrdE//gntK//yiaJ//ugpA//entE//rrsA//nmpC//treB//aer//fadD//abgA//cysN//entE//nirC//glnL//ilvL//entH//yhjC//ppiD//talA//glpA//amtB//uxaB//hdeB//cadB//uxaB//nrfG//nuoK//katG//hycD//hyfJ//map//rpoH//
NarP-Phosphorylated_pos	exbD//abgA//soxS//casC//fldA//gatB//phnI//phnP//fecR//mutL//thrS//hisM//iscS//aroG//oppF//galP//hypF//bacA//yhhY//garP//idnR//ampE//gapA//ilvI//argP//pncB//fixX//glgB//nanK//dcuR//phnG//sbcC//
NhaR-Na+_pos	guaB//sdaA//cstA//tfaQ//spf//
NikR-Cd2+_neg	pgaC//gspL//ldtC//nrfC//fnrS//ydhY//
NikR-Co2+_neg	gadB//aceE//safA//nac//artM//dmsC//
NikR-Cu2+_neg	purC//yqjA//gltF//ygiC//fumA//patZ//
NikR-Ni2+_neg	casE//nrfE//araD//ssuE//ydhY//tsr//
NikR-Zn2+_neg	yidQ//cspD//degP//fadA//yaeQ//mhpF//
NrdR-ATP_neg	zraP//mdtC//borD//argH//glgB//trpL//fur//rrsE//degP//
NrdR-Zn2+_neg	yfdV//gatC//nanK//baeR//spy//fucP//puuR//epd//dppC//
NrdR-dATP_neg	lpxB//cyaR//tdcE//nirD//pyrD//fecE//caiA//phoP//fabZ//
NsrR-[2Fe-2S]reduced_neg	rpmC//zwf//argI//nrfD//ulaA//oxc//csgG//sbmA//livM//rutC//yhcH//ulaD//rstB//trpC//livF//bamE//ydhU//artP//gatB//dpiB//yaiW//psd//hyaF//dppB//ccmC//agaW//dadA//cysK//ftnA//narX//ydeJ//nuoM//tdcC//hpt//rseC//hofB//mtlD//metE//carA//narJ//nrdB//rybB//betA//betB//phoP//ppiA//hybC//livF//nupG//hybD//alkA//proP//dsdA//rhaT//oppA//rrsD//araJ//gatB//melA//rrfG//aaeR//araF//adiC//tsr//ptsH//cra//fur//idnK//carB//nirC//gspJ//dnaE//preT//
PhoB-Phosphorylated_neg	ompA//garP//phnP//tap//ydbD//ompC//tsr//frdC//moaC//srlB//ccmG//alaA//mtlR//
PhoB-Phosphorylated_pos	ilvY//emrY//cyoC//yeaD//stpA//narK//pflB//mgtA//rbfA//gltA//mzrA//cysG//mdtA//araC//recF//yfbR//gutM//purL//dps//crp//aroL//slyB//gntR//ulaB//fepC//amiB//atoE//ilvD//aspA//csiD//chbB//cysD//malY//treC//fadD//cusF//tnaA//chiP//ydfN//norW//xylB//uhpT//umpH//glpR//livH//rutB//sucA//hybA//norV//glyA//rutD//fucI//ydhY//
PhoP-Phosphorylated_neg	narQ//ilvN//chbA//cysD//pflB//ynfK//uxuB//thrS//cpxA//fepG//yegH//
PhoP-Phosphorylated_pos	fimG//deoB//nrdH//xdhC//emrK//rrsB//rpsQ//creB//sufB//uxuR//fadA//glpD//pck//caiB//cysU//nupC//dapB//pitB//idnO//dgcZ//oppA//oppF//lsrB//yqjA//ispE//fepB//rbsB//gspG//fecI//fnrS//lsrF//yaeQ//frc//alaS//exuT//artM//cynX//ychO//hycH//araF//pitB//srlR//yhjC//nanT//znuB//atoA//ilvL//paaZ//phnO//
PrpR-2-methylcitrate_neg	xylF//
PrpR-2-methylcitrate_pos	ampD//narK//miaA//srlA//
PurR-Guanine_neg	pstC//garL//nohA//yojI//idnK//gutQ//yjiY//stpA//fes//feoB//glgC//narH//fucI//hybD//torC//dmsB//hflD//lsrB//fumC//agaA//hyfC//csgE//mglA//glyA//rutC//rplD//fumA//tauD//glpE//aroL//tyrB//phnE_1//pgk//phnH//
PurR-Hypoxanthine_neg	citC//dsdA//bcsC//fixA//ldtB//gabP//rrsD//narQ//ascB//hofM//evgS//hisJ//hyfJ//phnN//pyrC//bglB//cysB//dnaN//garK//cadA//fadI//iscA//pncB//folA//rpsJ//cpdB//chbR//hydN//lsrK//cydD//metJ//livG//metH//rutF//
QseB-Phosphorylated_pos	pstS//rrsH//ldtC//osmC//
RhaR-L-rhamnose_pos	gpsA//rbsK//
RhaS-L-rhamnose_pos	tam//xseA//znuA//
RstA-Phosphorylated_neg	dcuS//fadB//metI//narQ//rrsC//
RstA-Phosphorylated_pos	astE//artQ//rutC//sufB//hycA//
SoxR-[2Fe-2S]3+ oxydized_neg	gspC//
SoxR-[2Fe-2S]3+ oxydized_pos	rrsD//modC//idnD//
TorR-Phosphorylated_neg	betA//
TorR-Phosphorylated_pos	hupA//uxaB//ogt//puuR//nagE//phoH//fixB//sdaA//gltW//
TrpR-Tryptophan_neg	creB//yeiL//tnaC//ompR//fixC//gcvP//hlyE//gntP//marA//rrfC//gspI//ycjX//
TyrR-L-tryptophan_neg	gatA//sucC//ndh//gutQ//paaH//treB//fucP//guaB//mhpF//ybdN//pgaB//malS//
TyrR-L-tryptophan_pos	trpR//lsrC//srlR//
TyrR-Phenylalanine_neg	actP//hyfF//phnH//cysN//fhuD//xylH//ybiT//pstS//cyoD//hybE//puuC//cyoD//
TyrR-Phenylalanine_pos	pheS//csiE//gntU//
TyrR-Tyrosine_neg	hycI//fnr//tdcG//uidC//yfdX//ykgO//purE//ldtC//gspC//fucO//marR//gltT//
TyrR-Tyrosine_pos	fucU//fadE//aroF//
UhpA-Phosphorylated_pos	hisM//
XapR-xanthosine_pos	paaA//tdcD//
XylR-Xylose_pos	srlA//yeaD//purC//csgG//fdnG//nuoI//
ZntR-Cd2+_pos	eda//
ZntR-Hg_pos	yiaJ//
ZntR-Zn2+_pos	dapD//
ZraR-Phosphorylated_pos	metH//pck//yeaR//
Zur-Zn2+_neg	ogt//acrE//lysC//psd//codB//alaA//
