#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	aceK//abgB//
CRP-cAMP_neg	dmsC//yhfA//sbcC//hyfE//nmpC//glpX//glnL//mzrA//bioB//ybfN//nikA//micF//infB//malG//lpxB//rutF//mtr//rbsD//dnaE//tdcE//yegR//guaB//allE//cheZ//folE//nuoE//rrsG//alaT//cydD//lacA//paaA//rpsI//yoaG//ugpB//cheA//nanC//tsx//dsbA//modB//ompR//araE//lhgO//fimC//sucC//agaV//phnD//gatD//gabP//fimF//paaF//nuoE//dadX//argE//norR//rhaS//aer//purM//rof//fliZ//rbfA//rrfE//gatC//psd//gpmA//aspA//nuoE//betT//bglG//uvrA//rrsG//nirD//gspM//evgS//pstA//hybB//tcyJ//pheM//lhgO//modB//ompR//glcD//allD//gspL//argR//crr//hemL//fadI//bioB//atoE//hha//csgA//phnH//rrfD//ompA//hofB//rpoH//allD//marA//entC//mhpT//iraD//rstB//rdoA//psiE//ykgM//metL//caiF//uidA//trpC//hyfH//miaA//sbmA//epd//osmY//ccmE//dnaE//cdd//glpD//rpoH//rrlD//yfdE//bhsA//trpR//lsrK//phnF//ugpB//metK//iscA//glpT//gspK//citD//rrfB//rrlH//
CRP-cAMP_pos	chbG//ynfH//copA//iraD//iclR//lldD//purC//focB//fur//fecR//zraS//trmD//bcsA//hyaB//entB//acrD//uxuA//phnP//fimG//pitA//grxC//hycD//hemL//gatZ//nrdG//purM//entB//kbl//mipA//galP//narG//oppF//fimH//ydfH//cra//ulaC//nanA//aroL//fecR//rpsP//aer//pheS//yebE//trxA//rhaB//tcyJ//mdtC//cynR//yfeW//fhuE//paaA//xdhB//yeiP//cueO//feaR//lldR//dcuR//ung//allD//amiB//glcD//yqjI//ilvH//argA//gntK//garR//fhlA//fecE//hyaB//rplT//sbcD//rbsR//glpT//cysM//artM//gspD//fixX//uof//dppD//bacA//phoP//iclR//rplP//norR//fucA//gpmA//psiF//citG//nrfG//dnaE//fucO//treB//cysG//mpl//yhjA//hypB//pheM//pck//pgaC//entS//gpmA//rbsR//znuB//phoE//fhlA//cpxA//ssuE//gcvP//bioA//metE//grcA//dsbA//nohA//fucA//rhaA//patZ//hmp//gspM//uxaB//allE//metL//dpiA//rseA//nikC//sdhD//paaC//mtlA//malG//amn//nanS//puuR//efeU_2//tpx//moaC//psiE//paaJ//ydfH//carA//pta//ccmE//cydA//cysB//gnd//fadH//trpL//uidC//aaeA//rpsI//mcaS//sucD//nuoB//ykgR//gabP//fes//uxaA//dnaE//tdcF//nrfA//citE//rplD//manY//allD//alaU//cas2//paaF//lsrG//malK//ydhW//purE//fhuE//galM//araG//hlyE//focB//lldD//purK//prmC//rpsR//dmsD//melR//ihfA//lysC//nuoN//citE//nanK//aaeA//cysN//mlc//hyfG//rrfH//ilvG_1//araH//trpD//degP//paaJ//uxaA//cysH//cynT//rhaB//rrfH//aceK//mtlD//srlR//ackA//polA//aldA//metY//fepG//cspE//nusA//hybE//ydfN//fimF//tar//ykgM//ccmD//creC//srlE//hybC//arcA//ccmC//pncB//phnP//prpB//cas2//feaB//tap//cueO//chbG//ompX//moaA//garL//cysA//aroP//ycjX//nagC//glgX//copA//pstB//ompX//hyfI//lsrR//znuC//casE//mhpD//tsgA//hyfR//cas2//rrlD//tsgA//mdh//malS//ynfG//glnD//dcuB//hupA//uxaA//fixC//oppB//idnK//envY//ssuD//yaiA//nuoK//raiA//hofP//araJ//acnB//csgE//gltD//glcA//bglB//rstB//rimP//ulaB//ssb//ykgM//aidB//folE//yhfA//yiaJ//ompC//nanA//motB//phnI//codA//dctA//tsx//malT//caiC//caiD//yhcH//ppiA//oppB//aroH//grxD//rrsC//rpsO//mepH//astE//ydeM//caiB//fucP//ansB//marR//glpQ//hypB//ogt//yfeW//yeiB//purL//speA//tdcE//glpK//ygiC//livM//leuE//hcp//mhpE//phnL//malS//speB//fixA//trpD//sxy//ccmE//tdh//lhgO//zinT//cysM//livH//purL//acrF//ydbD//fimF//trpB//purL//dppD//garL//ybfN//ompF//rrlD//gltB//fecA//mhpT//stpA//pyrD//galK//gadC//tyrP//spy//nac//ssb//sbcC//rutE//speC//aroM//cheW//uidC//nrdE//motA//bglF//hisJ//exbD//tdcF//appY//hybF//nuoM//nrfE//hypE//mhpT//katG//dadA//mhpE//gadB//glgS//cheA//amtB//artQ//phnP//cas2//glpF//ybdZ//grxC//aroF//sufE//tehA//norV//tar//puuE//fucU//chbA//upp//modC//cysM//yegZ//araE//metA//agaA//hflD//gcvT//pepT//purB//ada//purD//zraR//tap//rrfA//ybiT//appA//ldtB//putP//pstB//torA//bcsZ//dmsC//bacA//mtlR//mdtC//bcsA//ydhX//rplM//rhaD//hypC//safA//pgk//dapB//lacY//argT//
ChbR-Monoacetylchitobiose-6P_neg	ptsI//caiA//ssuE//rrlA//hfq//aceB//
ChbR-Monoacetylchitobiose-6P_pos	cyoA//pstS//manA//ydhY//rrfF//phoH//
CpxR-Phosphorylated_neg	glcG//fucP//csgE//cyoA//garL//fnrS//dcuB//ulaA//fau//dmsA//paaZ//argA//rrfE//sufC//yiaJ//ftnA//yneM//lysC//iclR//fecA//tyrP//nikE//xdhA//fadL//
CpxR-Phosphorylated_pos	rpoS//cspE//ykgO//cyoD//carB//hisM//uxuA//dpiA//astC//artI//malQ//purF//yeiB//safA//mutY//glpG//bioC//gatY//lrp//fecD//trxA//puuE//entS//rpsF//rutF//gntP//rrlH//gltB//cyoB//casE//ydeP//moaB//cas1//ydeN//entB//trpB//ydfH//yiaJ//aaeA//lsrK//iraD//ebgC//znuA//cusR//bglF//
CreB-Phosphorylated_neg	soxR//creC//iscR//
CreB-Phosphorylated_pos	hyfE//ung//mgrB//gltW//ppiA//ompR//
CueR-Ag_neg	nrdE//tdcC//tyrR//cra//yfeW//
CueR-Ag_pos	rrlB//metL//
CueR-Cu+_neg	nfuA//sbcC//csiE//cysG//rhaS//
CueR-Cu+_pos	lacZ//rpsF//
CuerR-Au_neg	hpt//mdtB//nikR//malX//uhpT//
CuerR-Au_pos	prpR//agp//
CusR-Pasp_pos	thrS//yjeV//metY//purN//artM//yfdX//phoR//hycG//rpsF//atoE//exbD//leuE//
CynR-Cyanate_neg	gdhA//
CynR-Cyanate_pos	phnJ//ydfH//evgA//
CysB-N-acetyl-L-serine_neg	yaiA//rnhB//nuoF//motB//zntA//oppA//motA//
CysB-N-acetyl-L-serine_pos	moaD//mlc//galK//galE//artQ//yqjH//gltD//puuD//agp//xseA//caiE//ompF//tpx//hycH//ampD//gabD//argP//araF//nuoN//ileT//ydfN//lsrB//garP//
CysB-O-acetyl-L-serine_neg	malM//lpxA//ysgA//rpsC//uraA//trg//bioB//
CysB-O-acetyl-L-serine_pos	mzrA//ccmG//fimI//katG//uhpC//gcd//hypD//rseC//galE//fhuA//cheB//srlR//caiE//puuE//idnO//ampE//rrlE//treB//hycC//fucA//cynS//ulaA//rrsA//paaD//
DcuR-Phosphorylated_pos	puuC//zraR//rbsC//dppC//paaZ//cysH//alaT//garP//yggX//
DnaA-ATP_neg	lacA//dsdX//trpA//rplB//fadH//agaW//hycI//rrsG//phoB//phoA//ebgA//
DnaA-ATP_pos	ompR//hisP//yhjC//erpA//actP//cysJ//cusC//
DpiA-Pasp_neg	psiE//
DpiA-Pasp_pos	tyrR//fixC//fadD//fumA//appY//hflK//arfB//purH//rutF//preA//
DsdC-D-serine_neg	argI//
DsdC-D-serine_pos	glpX//appC//
EvgA-Phosphorylated_pos	csgG//ppiA//caiD//cynT//ahpF//nrdF//caiE//aceK//puuE//casC//frdC//hycI//appY//creC//mntS//
FNR-[4Fe-4S]2+ reduced_neg	purE//metN//argO//ubiA//pheS//frdB//hydN//rrsH//marB//hyfF//nanK//ldtB//abgT//zwf//rrsD//tpx//aspC//hofC//ilvL//nrdG//mntP//nagC//rpsC//gltW//paaI//hypA//moaD//priB//chiP//rhaD//napA//nuoM//infB//nagC//artP//avtA//qseB//argC//yfiP//ileU//rutA//pgaB//cas2//iscR//ebgA//iscS//gspM//amiB//focB//fadD//micF//cusF//dgcZ//tktB//trpE//narG//tehB//ispE//mtr//bglF//rbsK//sufS//nrfE//ugpB//glgP//ccmB//fhuF//tdcE//ssuA//nrfG//srlR//mgrR//mdtB//paaG//mepH//argR//ilvD//rnpB//metY//cpdB//tsaE//mdtC//zinT//argD//tauD//lysU//cusC//ileU//paaI//gspH//fbaA//argO//hycF//melB//malT//speC//yojI//csgB//dnaA//envZ//hyaD//nupC//uidA//tdcF//pgaC//paaC//ilvA//avtA//oppA//lacA//betA//rrlC//nrdB//hha//atoA//cstA//dadA//sucD//tauB//appA//
FNR-[4Fe-4S]2+ reduced_pos	mdh//aaeB//fdhF//cysP//csgA//rpmC//hybD//iscR//tonB//nuoK//fadH//uraA//manX//caiE//aldB//guaB//uxuB//rseC//evgS//idnR//speC//rstB//cheR//livK//pnp//cirA//rhaS//ydeA//yfbR//pheS//ahpC//yrbL//ebgC//yibN//ydeP//putP//glcB//iclR//tauA//rutB//phnL//tpx//gntP//metY//tehB//nuoJ//glpQ//yeaE//galT//sxy//hyaA//cstA//gspK//rutE//rplD//mhpA//hofN//rcnB//tdcC//envY//csiD//tauA//pgaC//lldP//hflD//ynfF//rpsF//fecA//rrfE//yeiL//pheT//znuA//ydhW//cysN//fadE//rbsB//lldD//argC//malE//yiaJ//paaE//rnlA//yqjH//metE//tehA//iscU//osmC//tnaC//ompR//dkgB//metJ//talA//deoA//efeU_2//dsdA//bioD//metC//borD//rrfB//modA//alkB//nanT//ung//rbsA//rhaT//prfA//gntP//galE//acnB//uidB//lpxB//znuB//pncB//fepC//ydhV//tnaA//sufD//acrF//hyaE//ydiU//tonB//tyrP//gltF//pgk//araC//zntA//guaA//prpC//cadB//yeiB//ycdZ//mdtC//trpL//lysU//pheT//dsbA//prs//lolB//mdtD//gspO//rhaR//argT//erpA//crp//rplD//chbA//fucI//hyfA//ung//narQ//aspA//speA//garP//metA//araJ//glnA//araD//phoQ//metQ//tdcG//fixA//adiC//ccmH//purE//rplC//ahpC//avtA//cysG//glnK//rpmI//frdB//araH//acs//fucR//mgtL//nanT//gadC//mglC//ssrS//mhpE//mhpE//paaD//paaJ//yeaE//cyoD//cydA//dps//pheT//aaeR//malF//paaA//cadA//exbB//pagP//ldtB//atoD//eda//gspD//rplC//idnO//napH//fabZ//
FhlA-Formate_pos	zraS//phnH//fimG//epd//idnR//narK//citC//gspD//mcaS//emrY//ilvI//chbR//copA//ynfH//hdeA//xdhB//udp//fimA//pheT//mglA//yiaJ//mhpB//caiT//aaeB//fepC//csgA//glnA//fdnH//trpB//pitB//
FucR-L-fuculose-1-phosphate_pos	secB//ldtC//ydbD//dsdX//tyrP//malG//gltB//
Fur-Fe2+_neg	dapD//deoD//torA//yegR//aroA//dusB//glpG//pyrD//bglG//mglB//ugpC//aroL//atoA//hybF//ynfG//erpA//garP//moaC//ilvD//garR//uxuA//malT//ygiC//speB//artQ//hypB//cynT//xylH//phnJ//tsgA//phoB//uxaB//moeA//yidQ//aceK//nrdA//hyfB//cynS//fadL//hybG//mgrB//dmsA//rbsB//gntT//hyfJ//ilvE//yegZ//gcvT//metF//tehA//rplD//ppiD//dcuB//agaW//lsrB//argF//casD//gspC//galK//ubiC//yeiW//fnrS//hemL//gdhA//carB//allC//torR//cpxA//pgk//astD//chbA//nuoI//hpt//envY//fucR//exbB//dppA//feaR//fixA//napB//glpA//citC//mgtL//pta//yfdE//bioA//ssuA//malQ//aldB//feoA//creA//ompW//mtlA//ileV//ccmG//rrlG//yhiD//galM//ydeM//paaA//lpxD//moaD//lpxA//rrlD//malF//fixX//artI//rbsB//envY//yegZ//glyA//hycH//nanK//betA//hofP//ompA//udp//hha//hycH//paaB//glcB//lsrF//agp//nohA//
Fur-Fe2+_pos	glgC//lldR//phnJ//argR//gntR//qseC//puuA//malY//acnA//fixB//raiA//trpC//nuoG//fur//ynfK//rrfB//phnC//feoB//ulaE//fhuA//acs//yegZ//gcd//napF//ompR//
Fur-Mn2+_neg	nanK//rpsP//argD//alkB//gspC//phnI//mdtA//cynX//glnD//fur//csgF//rpsR//moaD//ldtB//ydhY//glgA//xylF//amiB//citF//xapB//ileT//iscS//purE//glgP//rutE//srlD//lacI//prpC//cysI//hypB//gltD//hyaC//phoE//ileV//deoA//glpX//ykgO//rpmI//tauA//rplS//napC//gspH//purM//norV//crr//yfdE//yciW//lacI//grcA//cysC//xapB//rcnB//norV//hybB//melR//hdeA//rpoS//mcaS//idnK//gspI//rcnA//moeA//cydD//prpC//rrsC//rrsB//pitA//malS//aaeB//ilvL//yhjC//narG//tyrA//aroH//arfB//mtlR//lysU//fimH//yciW//ryhB//waaH//ydiU//ilvA//adhE//rrlG//sbmC//csgB//bacA//stpA//trg//cynR//oppA//idnO//rplD//sxy//pgaB//cpxR//fecI//gltT//mglB//fadL//aldB//znuA//uxuA//araE//gntX//metY//modB//pstS//agaA//treR//agaV//ppiA//srlD//rhaA//rrfB//glmY//soxR//yaeP//rpmI//nrdE//grxC//rbsR//murQ//
Fur-Mn2+_pos	talA//speB//manX//serA//glnA//rrfF//hisP//hflX//dcuC//hyfR//pncB//argB//cysJ//ydfN//caiE//tsr//hypE//narH//yfeW//yggX//allD//ssuC//mhpR//cytR//thrS//
GlcC-Acetate_neg	lpxB//
GlcC-Acetate_pos	dppC//lsrK//alkA//cheW//araH//fucP//
GlcC-Glycolate_neg	amn//
GlcC-Glycolate_pos	srlA//cysU//casE//napD//nrfC//speA//
GlrR-Pasp56_pos	citF//
IclR-pyruvate_neg	slyB//nuoG//tsgA//hycC//
IdnR-5-ketogluconate_neg	uidB//appX//ydeO//
IdnR-5-ketogluconate_pos	entD//lacI//ompF//pck//ydhV//
IdnR-Idonate_neg	cysH//rcnB//amtB//
IdnR-Idonate_pos	pagP//nrdB//glmY//ulaF//kbl//
IlvY-2-acetolactate_neg	tpx//
IlvY-2-acetolactate_pos	hycC//
IlvY-Alfa-acetohydroxybutirate_neg	ompR//
IlvY-Alfa-acetohydroxybutirate_pos	alaU//
IscR-[2Fe-2S]1+_neg	ynfK//nanC//chiP//glpQ//mdtD//metA//narH//ileV//chbA//mntH//iscR//phnK//xylH//rrsG//glpA//glnK//glnG//fes//allC//fhuF//dps//erpA//fhuA//exbB//ygeA//ydhW//idnR//napC//allD//lacI//
IscR-[2Fe-2S]1+_pos	dnaE//yfdV//ykgR//ndh//pitA//bcsB//lsrD//glnK//mhpF//acnB//bcsA//
LldR-L-lactate_neg	uhpT//rrfA//fecB//
LldR-L-lactate_pos	aceA//cusB//gatC//
Lrp-Leucine_neg	znuC//bglF//tam//pstC//artP//cynX//znuB//srlE//rstA//galM//aspA//ppdD//comR//cyoA//gadC//puuE//aer//metE//yaeP//betB//murP//ilvA//rpsR//nuoN//moaE//araD//oppB//tdcC//pitA//hycH//rseC//nuoF//mhpE//fixX//allC//chbA//rplC//uhpB//nuoB//rrsE//fimI//phnE_1//ydhV//trxA//ftnA//hypF//arfB//soxS//nrdI//rbsC//talA//hypB//fumC//hyaD//ilvI//rcnA//ilvG_2//ydhY//tar//yegH//nrdI//tam//phnJ//tyrB//lldR//lysC//sucA//astA//znuC//betA//idnO//cysM//rnpB//cyaA//fucU//
Lrp-Leucine_pos	acrF//ilvY//glgS//dapB//gcd//hdeD//nagE//ulaC//malE//narX//ptsH//preT//pstB//sbcD//ebgA//tauC//nuoF//feaB//rbsA//ynfG//hycB//marR//nrfA//ascF//phnJ//ydeM//ydfH//dpiB//psiF//entD//serA//ryhB//alaU//yhiD//murP//
LsrR_neg	fhuC//mglC//hflX//patZ//araB//cynT//paaC//glnL//speC//
MalT-ADP-Maltotriose_pos	tap//gatD//rplC//dcuD//rbsB//tcyJ//atoE//yeaD//carB//moaE//
MalT-Maltotriose-ATP_pos	frdD//purK//nikE//xdhC//waaH//ispE//creA//rseC//xylR//yjeV//
MelR-Melibiose_neg	hyfJ//asr//rhaT//
MelR-Melibiose_pos	mzrA//rstB//torA//
MetJ-S-adenosylmethionine_neg	aroL//crr//gspH//borD//purN//hycC//sodB//xylH//nuoA//rplV//metH//ssuE//melR//emrK//gatB//
MetR-L-homocysteine_neg	yaeQ//narK//
MetR-L-homocysteine_pos	artQ//bamE//oppC//cpdB//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	cyoA//zraP//mglA//mhpF//ynfF//soxS//
MhpR-3HPP_pos	fliZ//lsrR//hybF//rpoE//ilvG_1//focA//
MntR-Cd2+_neg	fimF//gcd//gltV//ispE//
MntR-Cd2+_pos	fixC//
ModE-MoO42-_neg	ulaF//creC//prpR//metI//aaeX//rplP//exbD//yedX//ftnA//uxaB//ptsG//ileU//sucD//prpE//melR//
ModE-MoO42-_pos	fdhF//yecR//flhC//casE//tdcG//katG//soxS//rplV//tauD//aspA//rrsC//dsdA//sufA//rseC//grcA//katG//guaA//glpC//marB//rplI//rpsI//hisQ//tolC//napD//nikD//gspL//nuoN//garP//mltC//hypD//glnD//
NarL-Phosphorylated_neg	phoU//sbcC//nuoI//livK//caiE//agp//preT//rrfB//cbl//glnK//nuoH//dmsD//gspH//thrV//dpiB//hupA//mntP//argH//nanM//phoU//dsdX//galS//ugpA//cytR//idnK//adiC//hofP//gatC//gcd//cstA//yeaE//ebgC//argE//zraR//fhlA//tdh//ugpE//ilvA//gntX//araC//soxR//tyrB//pgpC//hyfC//livH//qseB//pitB//hyaC//metK//metH//fumB//puuP//hybD//allE//moeA//rrlG//hyfA//uhpB//crl//envZ//dapB//preA//glpC//grpE//ydfN//actP//yjeF//yaiW//hcp//fhuF//aceK//citC//ydeA//artJ//yqjA//serA//hyfG//aroA//yhiD//iscU//sdhA//malZ//glmY//citG//pgaB//uraA//
NarL-Phosphorylated_pos	ihfA//glcB//cheW//gspI//sdhD//ybiT//bglF//fepA//amn//hyfC//yjiY//hisQ//paaG//bhsA//lysA//rrfA//hyfB//uidB//fur//caiE//fadH//yneM//rmf//rhaB//purM//cydB//narJ//alaU//norW//uhpT//lpxD//yhhY//tdcD//borD//truB//hisP//glpB//lpxB//citC//mhpA//folE//paaE//dppB//nanK//appA//hypE//
NarP-Phosphorylated_neg	malK//raiA//ugpQ//cusR//ugpQ//iscS//xylH//sucA//gpsA//guaA//lsrG//deoD//nanA//hyfC//csgD//ndh//mhpC//caiF//cyoD//fldA//ugpB//hisQ//frdB//glpA//oxc//fucI//nrfG//stpA//cheR//bglB//phnH//sdhA//citX//
NarP-Phosphorylated_pos	ptsI//micF//astD//prs//hisQ//rpmI//ygiA//rseC//tktB//ackA//sbmA//map//pheS//idnD//nohA//frc//fecB//crl//rbsK//aceF//ilvM//artI//spy//glpG//rpsJ//mhpR//aceB//allD//lrp//fepD//xylA//mtlD//
NhaR-Na+_pos	mglA//hybD//bioA//rcnB//agp//
NikR-Cd2+_neg	trpC//moaC//qseB//allE//exuT//lsrR//
NikR-Co2+_neg	rrsD//livJ//bioD//nrfB//casB//nuoN//
NikR-Cu2+_neg	araA//ydbD//uvrA//aidB//fixX//araA//
NikR-Ni2+_neg	malP//gatC//iraM//cyoA//paaK//metJ//
NikR-Zn2+_neg	ssuE//rstA//nlpD//yciW//dmsC//pyrC//
NrdR-ATP_neg	mepH//casE//gspJ//evgA//tomB//aroM//ompX//ebgA//rplM//
NrdR-Zn2+_neg	tehB//tdcC//tktB//yojI//fadI//nikD//mntH//fecR//trpL//
NrdR-dATP_neg	metB//hyaB//rplS//zraP//gspM//pstC//alaS//bcsZ//lsrG//
NsrR-[2Fe-2S]reduced_neg	tehB//uhpA//narQ//uhpT//metQ//cysC//glpT//focB//acrE//phnG//ilvN//zinT//glgP//rrfC//ydbD//lldR//metR//cspD//glgP//upp//rdoA//acrF//torA//arcZ//ybdN//waaH//znuC//hemL//aldA//mtr//hisM//hyfA//rmf//cueO//ycjF//evgS//arcA//uxaA//ubiC//glpR//fhuD//moaA//tauD//ulaC//prmC//sdaA//gltA//nuoI//yqjA//phnF//patZ//mtlD//evgA//ilvG_1//malS//glcF//lysP//alaA//ccmH//metI//csgA//gpsA//tsaE//cydC//cynX//rrlD//mtr//hisQ//preA//acrB//lsrG//cysD//ygiA//
PhoB-Phosphorylated_neg	ssuA//dmsB//putP//nmpC//sodA//uraA//treB//dcuR//fhuD//tnaA//ptsI//phnN//nrdI//
PhoB-Phosphorylated_pos	speB//comR//galS//tdcC//fbaA//mtlA//tyrA//trpE//dmsA//napD//oppC//cpxR//nac//nikE//creC//argR//ssuD//cheB//metI//yoaG//entA//yaiW//entA//ybdZ//cusF//argP//phnM//yeiB//hybB//cstA//envY//gspL//nfuA//gntT//yqjH//yeiB//lysO//nirB//rrsE//ulaC//purL//gadB//lpxD//nupG//lacI//hyfA//soxS//mhpR//metE//fdhF//torD//rnlA//hupA//
PhoP-Phosphorylated_neg	fixA//baeR//dpiA//casD//phnC//metF//pflB//hyaF//soxR//cydB//ccmH//
PhoP-Phosphorylated_pos	yneM//gatD//cpdB//fimG//uidA//cpxA//yebE//nikA//ygeA//glrR//ykgM//mhpT//gpsA//rimP//stpA//cysD//iscR//bcsB//tktB//nuoB//xapB//nuoM//ptsI//carA//oppD//argA//dnaN//bioC//metQ//rplB//agaA//iraD//malT//yqjI//phnF//csgF//nanE//nrfG//araJ//glcD//glgX//acnB//yoaG//fdnI//ccmD//ileU//appB//entS//micF//
PrpR-2-methylcitrate_neg	thrS//
PrpR-2-methylcitrate_pos	mhpA//mgtL//nanM//soxS//
PurR-Guanine_neg	hofO//yojI//hofP//artQ//hdeD//mhpF//umpH//nuoG//osmY//lamB//caiB//gcvT//glpE//phnO//fnrS//gspE//cbl//rof//cynX//katG//atoE//mntH//acrD//hfq//lpxA//nuoB//livJ//abgB//citC//prfA//ulaF//cadC//glpC//grcA//
PurR-Hypoxanthine_neg	ychH//actP//metA//hflC//copA//rpsI//araC//speB//patZ//fucK//hyfA//hpt//rutC//glpF//marR//ileU//puuB//pgaC//phnI//argG//paaH//fadJ//cytR//argG//norW//fadA//cynS//dcuS//fhuA//glpT//appY//iscS//idnO//pyrC//
QseB-Phosphorylated_pos	ilvI//acnA//ccmD//paaF//
RhaR-L-rhamnose_pos	nlpE//dppC//
RhaS-L-rhamnose_pos	fecE//uxuA//gntP//
RstA-Phosphorylated_neg	hofM//cynX//glpB//rbsK//prmC//
RstA-Phosphorylated_pos	nuoI//rbsB//glgB//creA//aroG//
SoxR-[2Fe-2S]3+ oxydized_neg	betI//
SoxR-[2Fe-2S]3+ oxydized_pos	sbmA//xdhB//idnR//
TorR-Phosphorylated_neg	gutQ//
TorR-Phosphorylated_pos	truB//phnK//gntP//hypD//tdcE//metF//slyB//malZ//cyoE//
TrpR-Tryptophan_neg	gatA//fimE//glpG//hlyE//ompW//hyfG//yiaJ//yeiW//trpR//glgS//ysgA//ihfA//
TyrR-L-tryptophan_neg	acs//uraA//mhpD//envY//phoH//glnB//rrsE//dpiA//tdcG//deoC//ppiD//gntT//
TyrR-L-tryptophan_pos	xylR//dnaA//hlyE//
TyrR-Phenylalanine_neg	csiD//cyoE//fimC//nagA//phnN//csiE//atoD//ogt//tyrP//glpB//gcd//rbsC//
TyrR-Phenylalanine_pos	rseC//ulaA//xylF//
TyrR-Tyrosine_neg	gntX//nanC//ppdD//crr//moaE//icd//citC//ryhB//astA//phoE//glcD//ysgA//
TyrR-Tyrosine_pos	puuC//dcuS//ilvN//
UhpA-Phosphorylated_pos	cyoC//
XapR-xanthosine_pos	lacY//hybC//
XylR-Xylose_pos	yqjH//avtA//mhpB//ompF//cysJ//yeaD//
ZntR-Cd2+_pos	tpx//
ZntR-Hg_pos	glnK//
ZntR-Zn2+_pos	exuT//
ZraR-Phosphorylated_pos	cirA//yccA//eda//
Zur-Zn2+_neg	glpR//ssb//hha//dppA//yneM//gabD//
