#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	rrsD//dppB//
CRP-cAMP_pos	bcsA//fdnH//hydN//narQ//srlD//psd//mgrR//ubiC//rprA//fepC//malZ//uxaB//hofC//tktB//yojI//nohA//cadB//arcA//idnO//psiF//speA//pflB//purH//lldP//tomB//phnC//trxA//fixB//yeaD//amn//cyaA//citD//purK//rpsS//argA//artM//rrlH//rrfC//deoB//fhuE//ileU//bamE//iclR//umpH//fimE//cheZ//lsrC//ilvE//ssuD//idnR//glgP//cynT//fadJ//ulaE//yibN//infC//prs//trpA//rimM//caiE//araC//mhpD//fumB//acrA//araB//lysU//fimF//ubiX//sodA//rrlH//grxC//lpxD//nanC//abgB//pyrD//paaA//srlE//lpd//ppiD//ugpA//bacA//hyaC//ydeP//baeS//phnL//prfA//trpB//oppF//yegZ//mdh//dnaE//malG//puuB//norW//micF//hycF//cpdB//hupA//mntS//cas2//nfuA//pta//ykgR//gntR//fadD//efeU_2//yjeV//agaA//rhaA//fes//phnJ//nrfG//pnp//acrE//entD//atoD//gabP//tdcE//ompX//ygiB//pgaC//manX//nuoE//ilvM//glpE//hybA//cusF//znuC//gspG//exbB//cpdB//aroG//ihfA//nrdH//rrfC//hofC//gutQ//iscA//ycjF//ubiX//carA//sbmC//ccmA//glpR//rybA//argF//cpdB//lysO//nuoC//rplW//dcuD//casA//livJ//csgD//glpX//ugpA//glcD//nmpC//abgT//ccmC//yeaR//cysW//garR//rbsK//tdcC//sdhD//ydeA//bglB//purM//dcuR//ysgA//hyfR//guaB//yoaG//acrD//moaE//nfuA//mglB//tolC//nrfD//xseA//cysB//sufD//glcG//patZ//gntK//cspE//mepH//metJ//trg//iscR//prpD//cadC//lsrB//mlc//aldB//marR//ubiA//cynT//hemL//ldtC//lysC//glpR//cueO//codA//garP//fepG//malS//mgtL//rplW//putP//sxy//miaA//caiE//xylH//modB//lsrR//sucC//pgaD//aldB//oxyR//aceB//hyaF//yeiL//folE//entF//yfdE//dnaN//yeiW//rrsD//ssuA//soxS//dcuA//amtB//gspF//glpD//trpE//cirA//ccmH//gatA//abgA//rnlB//hycI//rbsA//glpC//rplB//ugpQ//ssuA//gcvH//phnC//bcsZ//ydfH//ssrS//rrlA//pck//araC//ileV//cyoD//ubiA//prpB//psiF//rhaS//ampD//yeiP//fecE//ilvG_2//yaeQ//malG//phnL//gpsA//lsrC//rhaT//kbl//ybjG//dsdA//gatC//rrfB//mltC//lysP//cstA//sdhC//hycH//ilvM//amn//rybA//mutL//sufC//ubiC//ccmC//mgrR//fhlA//caiT//moaA//lysU//pstS//aroG//abgT//gspI//hyfA//osmY//tomB//aspA//frc//psiE//cspD//fumC//cpxR//cheZ//uhpB//spy//ygeA//ansB//ydhU//bcsZ//chbG//nanT//appC//aceA//prpC//prpR//oppB//manA//gcvH//torA//dusB//gspG//putP//nrdI//agaW//bglG//lysO//glnL//dcuS//dppC//glcC//hflD//guaB//xylA//paaJ//yeaR//arcA//cheR//nikE//phoQ//ysgA//metI//citC//mepH//gadC//hyfE//frdD//ybjG//dkgB//hycB//manZ//ccmA//ybdZ//alaU//ansB//yneM//nagB//hybO//gatA//dgcZ//ytfE//dmsD//modB//creD//focA//fadL//mntP//nanM//puuP//umpH//tcyJ//uxuB//hdeD//livJ//fliA//aldB//ompF//fhuC//ulaC//ulaF//mltC//acnA//ompT//mntH//tpx//mntH//ldtB//fecI//purM//treB//pnp//hyfD//metB//fimH//malX//entF//ndh//pitA//cas2//ileU//abgT//dcuR//gltU//rpsR//ccmA//lpxB//nrdE//fes//gutQ//galE//ybjG//moaB//hycE//livG//ilvI//ccmD//lldR//efeU_2//fiu//cysD//araB//xseA//moaE//motA//upp//
ChbR-Monoacetylchitobiose-6P_neg	fepG//yeaR//hisM//yjiY//rrfG//manX//
ChbR-Monoacetylchitobiose-6P_pos	malX//metQ//metI//nupG//araG//csgC//
CpxR-Phosphorylated_neg	malZ//rrfH//nac//fepB//chbB//fucI//agp//gabT//hofN//betB//znuC//allC//prfA//efeU_2//galS//purM//phoE//cysC//betA//rrsB//caiD//aroL//alaA//appA//
CpxR-Phosphorylated_pos	glrR//znuA//alkB//paaK//ompA//hyfB//glpC//betI//yaeQ//astC//waaH//fau//narL//ldtC//xdhC//casE//hlyE//yhfA//appA//acrB//malK//dcuC//cspE//hofB//hflX//fadI//tfaQ//livK//aroG//sdhB//map//nanS//nuoE//actP//galT//aceA//hupB//ompF//srlA//mdh//hybF//ydbD//abgA//rrfA//dsdA//
CreB-Phosphorylated_neg	mtr//paaK//citD//
CreB-Phosphorylated_pos	alaT//hybC//dmsD//tar//hemA//alaT//
CueR-Ag_neg	treB//manX//metR//trpB//chbB//
CueR-Ag_pos	rplC//edd//
CueR-Cu+_neg	nrdD//ugpE//fdnI//hycH//yfaE//
CueR-Cu+_pos	nrfD//pta//
CuerR-Au_neg	gspC//pdeF//ilvG_1//aaeA//sufS//
CuerR-Au_pos	hyfD//hyaC//
CusR-Pasp_pos	kbaZ//rpsF//ptsH//zraR//cysW//lolB//trpC//talA//iscA//bcsZ//yfdX//rnhB//
CynR-Cyanate_neg	napC//
CynR-Cyanate_pos	yecR//ldtC//idnK//
CysB-N-acetyl-L-serine_neg	focA//yhfA//glcG//rrsG//bioF//miaA//acrF//
CysB-N-acetyl-L-serine_pos	araH//nrdB//tyrB//napH//cyaA//sohB//malK//treC//acnB//paaB//atoD//dppC//ascB//araE//nuoG//dsbA//sdhA//ccmC//dcuS//gltD//speA//lacI//rutE//
CysB-O-acetyl-L-serine_neg	gspG//ppiD//lacZ//cusS//nrfF//yaeQ//nadC//
CysB-O-acetyl-L-serine_pos	hycF//puuD//sdhD//ychH//lpxB//trpL//xdhB//livK//cyoD//ftnB//amtB//yaiA//glgS//ssuA//borD//sohB//ynfK//rrsG//osmC//mdtA//atoD//pgaD//livG//trg//
DcuR-Phosphorylated_pos	nlpE//chbR//soxR//aaeA//mtlR//yeiP//rpsO//ubiA//lysA//
DnaA-ATP_neg	fadD//phnM//trg//hdeA//cyaR//pstA//soxR//galE//argE//fadJ//yhhY//
DnaA-ATP_pos	csgA//fumB//appY//aer//xseA//idnO//gadC//
DpiA-Pasp_neg	gyrA//
DpiA-Pasp_pos	talA//ynfH//ubiA//livM//nlpE//ykgR//pgaB//xylR//zinT//fis//
DsdC-D-serine_neg	xapB//
DsdC-D-serine_pos	rbsC//aceA//
EvgA-Phosphorylated_pos	csgD//tsgA//rbsK//cyoC//rbsR//ydeO//ykgO//tyrA//cvpA//nanS//sufB//pepT//fecC//rrlH//dnaA//
FNR-[4Fe-4S]2+ reduced_neg	lhgO//yhjA//cysK//aroP//lacA//glgC//acrA//malY//sucC//uhpT//edd//yegZ//nagE//nanK//glpF//spf//gntT//torA//pitB//malK//metC//amn//cadB//carB//paaJ//ygiC//fimH//ndh//baeS//slyB//ebgC//purR//psiF//oppB//nikB//mntP//ptsH//gltW//purR//hybD//glcE//yjeF//garR//gspH//rpsO//envY//mntP//sucD//fecI//yfeW//glnD//mglA//astB//fhuC//sufA//tdcF//glpK//ugpB//cyaA//yqjI//hcr//artI//crl//prpC//glcD//nirB//mhpB//oppF//mglA//pgaA//aceE//trpD//nirC//caiT//gspM//feoA//argO//miaA//atoD//galM//xapA//bcsA//csiE//gyrA//thrV//ogt//hdeB//cysD//fimG//yjcH//tnaC//srlD//xdhA//rpsJ//betT//gntT//narQ//hyaB//nuoB//paaK//artP//chbF//xylF//hycF//hyaC//argR//ccmB//rpsF//hybF//lldD//torC//phoH//dcuA//lldP//fucI//ppiD//rpsS//gatY//glnB//cspE//
FNR-[4Fe-4S]2+ reduced_pos	pagP//tauD//phnK//hyfB//mhpE//ilvM//chbB//tomB//sufC//aroG//acrF//rrsG//ydhV//cheY//puuP//ytfE//cas1//rrfD//waaH//ascF//fepD//pdhR//puuC//nac//dnaN//hypE//fepC//cpdB//metE//ugpC//cysP//bioD//rutC//nikD//araD//ihfA//yfdX//ccmC//glgA//fldA//pheS//fepA//pheM//pgaC//guaB//agaV//hflK//galS//dmsA//melR//rpsI//cysJ//nrdE//oppA//comR//fucA//yaeQ//yhjC//preA//bglF//paaA//baeS//deoA//glgC//bacA//tolC//tonB//osmY//trxA//napH//creA//moaE//paaC//fecB//deoA//hdeD//casA//yebE//cytR//hofO//frdB//aroG//ydbD//ygaC//ilvA//garP//cas1//appA//eda//yeaR//rrfD//proP//mpl//ydeA//citD//nlpE//prpB//glgX//hha//puuP//nupG//cusF//sdhD//pgaB//abgT//moaA//ilvM//aroL//entA//narH//bglG//speC//gspJ//ivbL//rutD//betI//dkgB//cusB//ygbA//fixC//ycdZ//abgT//ydeO//argT//gcd//mdtB//paaA//acrE//appX//fadD//entE//mtlR//caiE//pta//napA//srlR//ynfE//cheR//fis//argE//hemA//yjeV//yeaR//ompF//rhaR//entE//yhcH//betA//gspI//cyoC//rbsR//gadC//livJ//ssuA//pgaA//hybO//yfdE//chbA//cbl//araJ//xylR//gspK//fecC//entC//crl//focB//cpdB//hybO//pta//aroA//rimP//nanA//glpE//miaA//tdcA//gdhA//rrlA//galK//malM//garP//fimD//mgrR//yfbR//hofC//rybA//srlB//glgA//fimC//hdeA//ydhY//srlA//dsdA//sufE//csgG//trpA//csgD//fucO//hyaD//glpC//bcsC//tyrA//tsaE//
FhlA-Formate_pos	acnA//rpsF//melB//yidQ//rcnA//nrfD//citC//ssuC//hybG//paaF//cynR//casA//talA//modA//rnlB//fliA//pdeF//yaeQ//rplW//feoB//cynS//ynfE//ulaC//purB//tdcF//ybdN//sucA//aceE//rpsQ//casC//
FucR-L-fuculose-1-phosphate_pos	phnJ//creC//caiE//ackA//rutG//torR//thrS//
Fur-Fe2+_neg	glgS//glcE//lsrD//glcF//lldD//cheZ//fhuE//ssb//sroD//hyfE//fhuC//csgG//torD//agp//yeiB//glnD//glpC//ldtB//glnL//cydA//prpD//ptsH//entS//uxuA//appA//nuoF//torC//nrfE//hybF//ssuA//rrsE//emrK//nrdH//melA//cytR//yjeV//fes//hslJ//preA//gadB//tam//hybC//cysP//pgk//uidC//cheR//trpE//rrsG//yaeP//tsr//fdhF//garK//sohB//micF//argE//iscR//nuoF//acrE//ydhY//ada//fucO//iscU//casA//napF//yfdE//trpL//fixX//glnB//modB//alaU//metN//nuoL//gabT//metN//ygiA//gcd//tsr//csgG//ileU//allD//hisJ//gspG//ulaB//hybB//casC//ychO//stpA//trpE//tdcF//dcuA//ompX//pstS//nrdE//tolC//malY//phnP//sdhC//mtlD//prpE//gatA//sdaA//ldtC//nrdI//araC//rdoA//gcvT//cra//rbsB//dkgB//malG//comR//trpB//fadJ//ccmB//folE//cdd//acnA//feoA//yfbR//nuoA//hypC//rutF//nirB//oppA//
Fur-Fe2+_pos	guaB//borD//nupG//ygiB//mepH//cysK//ygbA//motB//crl//rpsJ//dctA//caiB//psd//ubiA//cysI//feoC//yibN//sxy//phnI//lsrR//hyfI//evgA//rseA//purA//norR//
Fur-Mn2+_neg	gatY//rplW//pstC//xylB//hybC//araA//tcyJ//mtlR//map//moaE//aroL//flhD//rrfC//glcB//puuP//rrsC//cirA//nrdF//crp//gatZ//nrfF//ileT//atoA//trpE//fau//speA//cusA//abgB//ssuD//degP//cadC//ugpE//bamA//gntU//fis//metE//csgD//pstC//safA//rstA//bioF//torC//uxuR//glpF//araC//ebgA//rutE//phoA//allD//purF//araB//rrfB//nrdD//rof//entC//rplI//metB//mgtA//cheA//dsdA//caiB//dps//yibN//ompA//glcA//purE//xylA//yneM//ileV//serC//ompX//phoH//ssrS//rrsE//fimG//nagA//glpQ//yaeQ//gadB//rbsB//purM//garL//ccmB//raiA//purC//mlc//fucK//tdcG//folA//prs//lsrB//lacZ//deoD//polA//tfaQ//rrlD//gspC//asr//tomB//phnC//mpl//metI//pta//ychH//betB//puuP//argG//ydfH//dcuB//astE//dppC//ebgC//ulaC//paaB//tadA//gspM//pheT//glyA//mgtA//rrlA//nuoC//gntU//cysA//murQ//
Fur-Mn2+_pos	glgP//fecC//cas2//nagB//ccmD//pncB//ulaF//araA//dgcZ//ykgM//hyaB//gspI//dadX//galS//manA//livK//rplD//rybA//fimE//bcsA//ccmG//argA//mpl//tcyJ//uxaC//
GlcC-Acetate_neg	ydeM//
GlcC-Acetate_pos	hemL//guaB//speC//rrfB//iclR//malP//
GlcC-Glycolate_neg	csgB//
GlcC-Glycolate_pos	gntP//cueO//yjiY//srlD//ptsI//narH//
GlrR-Pasp56_pos	pgaB//
IclR-pyruvate_neg	metC//bdcA//creC//galK//
IdnR-5-ketogluconate_neg	gcd//ccmH//ptsH//
IdnR-5-ketogluconate_pos	moaC//malE//ldtC//galP//glnL//
IdnR-Idonate_neg	ygiC//sbmA//nrfC//
IdnR-Idonate_pos	bacA//mgrB//glpE//hslJ//purE//
IlvY-2-acetolactate_neg	fadI//
IlvY-2-acetolactate_pos	degP//
IlvY-Alfa-acetohydroxybutirate_neg	metL//
IlvY-Alfa-acetohydroxybutirate_pos	gspO//
IscR-[2Fe-2S]1+_neg	pgaC//gltU//ivbL//melB//pta//yhcH//fepD//bamE//exuT//cusS//hyfF//aceF//creC//cheW//trpC//phnF//yjeF//yaeQ//argD//fes//nuoM//paaG//casC//yhfA//ilvH//ydeJ//idnT//chbF//bhsA//ynfK//
IscR-[2Fe-2S]1+_pos	ydeJ//sufB//paaZ//mpl//cusF//nanK//lpd//adiC//rplS//osmC//napC//
LldR-L-lactate_neg	preT//galS//adiC//
LldR-L-lactate_pos	hemA//ubiA//nirC//
Lrp-Leucine_neg	nanT//aroF//rnpB//ompT//azuC//ilvL//livF//cusC//ugpE//dppC//dcuB//pck//fldA//garL//acnA//sucD//cadC//artP//gspI//dadA//mdh//dusB//ilvM//lrp//ahpC//chbC//puuP//ansB//argE//malM//fepD//tar//mlc//cyaA//fldA//fau//cyoA//fimH//araD//mntS//gntX//prpD//hofC//rpsF//glcD//cysP//fimD//hybD//cstA//nirD//erpA//nrdA//dmsA//ppiD//cynT//chbR//trmD//purF//rpoE//dpiA//rseC//gntK//paaI//aspC//glnG//aaeX//lldR//phnD//phnC//lysP//prpE//creB//fdnI//sdhC//allD//
Lrp-Leucine_pos	ilvN//ilvX//betB//ygaC//rpoH//livM//torR//aaeB//araJ//astD//nagA//mhpD//yibN//murQ//rdoA//glcB//cpxR//tdcB//yjjZ//ansB//fadB//rrsH//fecB//rrlG//nanK//rseC//miaA//focA//yggX//cueO//yfdV//dppA//lacI//argG//yqjA//
LsrR_neg	phnN//sohB//fadA//hyfE//ydeM//nanK//sbcC//paaC//motA//
MalT-ADP-Maltotriose_pos	ptsH//allE//cysN//yegR//narX//puuA//zraR//fabZ//ung//hydN//
MalT-Maltotriose-ATP_pos	pgaC//hyfJ//aroG//lpxD//caiC//arcZ//fixC//sxy//aidB//moaE//
MelR-Melibiose_neg	ynfE//purH//bglF//
MelR-Melibiose_pos	pheS//cysP//dapB//
MetJ-S-adenosylmethionine_neg	glnA//yeaD//ileU//oppB//emrK//tehB//malP//trpA//glcD//mhpC//appX//idnT//fixX//nrdB//gabP//
MetR-L-homocysteine_neg	nuoN//ivbL//
MetR-L-homocysteine_pos	paaZ//puuP//rrsG//aroL//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	nrfD//ispE//ynfE//nuoG//nikC//cysW//
MhpR-3HPP_pos	fimA//dps//rrlG//ispE//ydeA//csgG//
MntR-Cd2+_neg	astC//uidC//hisJ//ydhU//
MntR-Cd2+_pos	ydeA//
ModE-MoO42-_neg	gspJ//aidB//micF//bamA//focB//cbl//gspC//crr//rimP//rplT//mutY//nohA//napF//fldA//ygiB//
ModE-MoO42-_pos	oppC//torA//ybdZ//sroD//yeaE//rrlD//ccmA//casC//alkB//rrfB//astE//fepC//yhhY//zwf//hfq//hflC//envZ//gatZ//hyfH//ugpB//nuoG//metE//ygiC//nrfE//lysC//ssuD//oppF//dcuB//uidB//mlc//nuoN//
NarL-Phosphorylated_neg	ccmC//hyaA//gntU//lsrB//ygeH//exuT//yhjC//ssb//cysW//pnp//ydeM//citD//tehA//bcsZ//ycdZ//rplC//nrdA//nagB//aroL//livJ//rrlD//aroH//nuoC//yhiD//tpx//nikB//sbmA//bioF//betI//cyoE//trxA//rpsQ//rbsC//xdhA//gspF//glpR//pdhR//ycjF//yegR//trxA//torR//nanK//malY//cheR//ydeJ//glgC//cysJ//narI//cas2//exbB//rhaD//narQ//cyoA//hdeD//csgF//lysO//tadA//cysJ//hybA//tauA//skp//truB//hpt//grpE//acrA//dppC//feoC//ccmC//gltD//ychO//uof//nuoN//fecA//speB//fliA//comR//rpoE//cysK//tehB//rpsC//fucO//mhpA//ccmG//garR//metR//csgB//
NarL-Phosphorylated_pos	rrsB//mglB//nrfG//creB//phnM//yeaE//xapA//flhC//rrlE//znuB//oppB//fepD//rbsK//gadB//norW//lsrF//moaE//cynT//treC//cysN//nrdA//fhuD//rmf//serC//azuC//uidB//oppD//phnE_1//ygiB//fdhF//ebgA//bcsZ//napA//hdeB//hslJ//hydN//zntA//nikA//argA//rrfE//bioB//katG//ptsI//priB//casB//dmsC//
NarP-Phosphorylated_neg	cas2//yjjZ//phnL//rnhB//hdeD//rplB//pdhR//tpx//nuoF//nrfA//prpR//mntS//astE//pflB//thrS//tnaA//trpA//galM//glgA//acnB//gcvT//cysM//mdtC//nrfE//hydN//rseB//fimC//gutQ//pstS//metL//oppD//sufS//yfdE//
NarP-Phosphorylated_pos	glyA//grxD//skp//napA//zraP//pgaC//trpD//treC//galT//rhaS//yqjH//spy//rmf//glcB//nagE//ydfH//dcuR//yeaE//melA//fimC//pepT//ogt//phnE_1//ybiT//yibN//appA//codA//lacZ//infC//sroD//casA//iscR//
NhaR-Na+_pos	rpsR//yedX//rprA//sufC//glnB//
NikR-Cd2+_neg	leuE//csgE//tauC//cstA//feoA//fadD//
NikR-Co2+_neg	xylF//evgA//rhaA//cysB//casB//hlyE//
NikR-Cu2+_neg	sdhD//manZ//gspD//hyfF//pheT//hofN//
NikR-Ni2+_neg	tonB//dadA//ygiA//csiD//purA//ssuC//
NikR-Zn2+_neg	hofB//rrlB//phnF//fbaA//nirD//nagE//
NrdR-ATP_neg	sodB//yhcH//ackA//rrlH//cvpA//ybjG//cyaA//hycA//lamB//
NrdR-Zn2+_neg	ubiG//gyrA//emrY//fadJ//ssuA//sodB//pepT//nikD//pflB//
NrdR-dATP_neg	ilvA//metF//aspC//purM//nuoK//mtlA//feoB//murQ//cusF//
NsrR-[2Fe-2S]reduced_neg	rrfC//tam//gntT//allC//nrdB//amtB//fadJ//tdcA//nuoF//hlyE//gltV//ubiA//hycF//puuC//hisM//rpoS//eda//frdB//fadJ//hcp//infB//fimI//uvrA//cadA//malK//ybiT//yqjI//gatA//tdcB//gutQ//aceF//tauB//aceF//ysgA//nrfB//motA//lysA//malX//astA//alaS//hyfG//argH//ahpC//gabT//oxyR//ebgC//bcsA//rimP//adhE//zinT//katG//nanM//rrsD//srlE//trpR//fhuE//chbC//ydeA//nuoL//yrbL//fecC//lhgO//paaB//appB//yaiA//creC//comR//ssuD//tfaQ//soxS//crp//fliZ//ytfE//
PhoB-Phosphorylated_neg	tyrA//cheY//rpsS//hypF//glgC//rhaB//aceK//torR//narQ//pyrD//hypF//araH//tdcA//
PhoB-Phosphorylated_pos	uxuR//cueO//gatY//cusA//creD//puuA//garR//dmsB//dapD//nanK//yfdV//malE//ascB//modB//evgS//ydfN//dsdX//epd//ascF//ompA//hemL//sodB//hybO//citX//cynS//bcsB//ubiA//yoaC//nrfG//gcvT//ebgC//frdA//grpE//pgaC//hycG//emrY//ugpQ//fecR//gspL//rpoH//hyfI//hlyE//caiA//melA//fnrS//rhaR//ybjG//uxaA//rplV//hmp//allE//ebgC//glpR//
PhoP-Phosphorylated_neg	aroL//nirC//nanC//pagP//srlE//tyrA//gcvT//flhC//hycF//atoD//argA//
PhoP-Phosphorylated_pos	lpd//comR//rpoE//tnaA//gabT//serA//tsaE//fhuC//sdhD//hofM//rhaS//rrsD//cynX//aroM//treB//acnA//slyB//nikB//entH//mltC//cusA//bcsZ//oppA//rbsB//pgpC//gltU//arfB//argA//rplM//ydeP//hemL//sbcC//leuE//ynfG//glnK//tpx//aaeA//ydhT//emrY//hyfD//yfeW//hycF//xseA//phnF//pheM//chbA//envZ//cynX//hycC//
PrpR-2-methylcitrate_neg	argP//
PrpR-2-methylcitrate_pos	hupA//borD//yiaJ//spy//
PurR-Guanine_neg	sodA//pheM//argA//alaU//ugpQ//yhjC//cspE//phoU//azuC//efeU_1//mgrR//xseA//mdtD//yeiB//pdhR//mglC//fldA//pdeF//gspD//uidA//ascF//rrlA//argA//pstB//fiu//yaeP//cysA//alaV//alkB//mntS//metY//rstB//nirD//ulaE//
PurR-Hypoxanthine_neg	phoB//fecA//yfiP//srlE//pdeF//qseC//srlB//fecA//ompR//cyoA//ygeH//cysM//cvpA//metC//metL//cysW//mdtC//chbC//hyaD//rhaT//amn//emrK//pncB//gcvT//yeaE//dmsC//aidB//hyfE//lolB//pncB//fnr//paaF//cas1//argI//
QseB-Phosphorylated_pos	tfaQ//phnI//hyfH//uhpA//
RhaR-L-rhamnose_pos	osmC//uof//
RhaS-L-rhamnose_pos	metE//dcuA//livK//
RstA-Phosphorylated_neg	narH//psd//xylR//cheA//hemL//
RstA-Phosphorylated_pos	tdh//mepH//chbB//pgpC//qseC//
SoxR-[2Fe-2S]3+ oxydized_neg	yfdE//
SoxR-[2Fe-2S]3+ oxydized_pos	phoR//lsrF//gspH//
TorR-Phosphorylated_neg	hofB//
TorR-Phosphorylated_pos	ssuA//appA//cysK//trpB//ldtB//dmsA//fumC//casC//hofN//
TrpR-Tryptophan_neg	mntP//gntR//sufS//focA//dppA//ynfK//modA//ygiB//cas1//priB//trpE//hypF//
TyrR-L-tryptophan_neg	tsr//rseA//rplS//ccmF//fixB//abgA//sufE//znuB//glcG//dcuS//gspD//fixA//
TyrR-L-tryptophan_pos	borD//mgtL//bioF//
TyrR-Phenylalanine_neg	hpt//nrdF//moaE//glrR//frdD//fdhF//moaC//yeiB//cadB//nupC//glpT//yebE//
TyrR-Phenylalanine_pos	gatB//dcuS//gltA//
TyrR-Tyrosine_neg	hflK//phoU//argH//chbR//gspE//fucO//ydeJ//gyrA//fnr//hdeD//melB//yhjC//
TyrR-Tyrosine_pos	sdhA//glnL//hyfE//
UhpA-Phosphorylated_pos	rseB//
XapR-xanthosine_pos	ygiB//fnrS//
XylR-Xylose_pos	argI//glgP//exbB//gnd//napD//gspE//
ZntR-Cd2+_pos	rrlC//
ZntR-Hg_pos	tsx//
ZntR-Zn2+_pos	bamA//
ZraR-Phosphorylated_pos	dmsD//hycB//cas1//
Zur-Zn2+_neg	ascB//metN//qseC//dcuR//rrlD//phnP//
