#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	rrsH//araE//
DpiA-Pasp_pos	phnC//crp//melB//gatY//codA//glcF//paaF//ulaD//rutG//hfq//
DsdC-D-serine_neg	fhuB//
DsdC-D-serine_pos	crl//lacZ//
EvgA-Phosphorylated_pos	rhaS//mhpA//cirA//lysA//serA//araE//nikR//ccmA//pstB//cas2//yeiP//ulaA//glnL//rrlB//araD//
FNR-[4Fe-4S]2+ reduced_neg	cynT//gadC//hybO//ydeA//astD//srlB//lacI//garK//rpoH//yjjZ//rplP//rrlB//ilvG_1//phoB//nrdI//pncB//cysM//bdcA//ydeO//iscA//preT//rpsC//deoD//folE//yjcH//cas2//cysI//fucP//malZ//ugpQ//mhpA//rbsB//dpiA//rpoS//ykgR//chbC//araG//fecE//hycB//hyaF//dmsA//prmC//mdh//mltC//torA//ygbA//melR//yjeF//tar//mscM//ychH//gltB//gltA//ygiA//gntK//acrF//ulaC//rutA//ackA//fixB//rrsA//sdhB//lldD//ssuC//citD//gatB//yfdX//rstA//fimC//cspE//tadA//nuoN//tehB//srlR//araH//puuD//ansB//hycI//sbcD//puuA//flhD//tam//napH//rnlB//ygiB//paaK//dapB//gatC//ydeP//nmpC//cheB//mhpD//zraR//cyoC//araG//fecR//rhaD//caiC//glpE//gltW//nrdH//tauD//aroG//tdcA//bcsZ//gltW//xdhA//tcyJ//patZ//yjiY//alkB//livK//fadJ//tdcG//yaeP//dmsA//tnaC//galP//marA//trmD//
FNR-[4Fe-4S]2+ reduced_pos	aspC//pstB//fimG//yeiP//rprA//waaH//ansB//fadA//appY//ileV//cadB//fabZ//gcvP//truB//srlD//iscU//glnK//fimI//spy//borD//srlE//ompF//fadJ//glpX//psiF//cynT//ompC//ykgO//rplV//argP//putP//lldP//rhaB//mdtD//ompF//serC//ccmA//xylA//fabZ//fbaA//fixA//fadL//tauB//metH//trmD//norR//paaI//fadB//rplC//lamB//srlD//lsrK//aaeR//tadA//purF//hybG//yqjH//galM//phnD//glpR//rplB//pstA//sbcD//safA//oxc//gapA//prpB//fucA//trpA//hisM//cadA//cynR//marB//ydeM//lldR//srlB//glpF//uxaA//nrfB//cyoE//lsrK//mgrR//ampD//tauA//nrdF//dctA//ssuD//lsrC//moaC//nuoB//rplI//araG//entD//narQ//cusB//fbaA//gspE//nanC//ssuC//gltD//yjjZ//frdD//ansB//abgA//phnF//moaE//paaB//eda//sbcD//fucU//astB//feaR//ihfA//ydeJ//pgk//pyrC//psiF//cysJ//ompC//nuoL//paaK//glpK//rutD//fecR//katE//appY//ycjX//tdcF//trpE//yjiY//uxuR//glpA//glpG//ynfK//phnL//uxuA//fepA//mhpF//cusF//yqaE//cadB//rbfA//mtlR//chbF//aceE//xdhA//ydhX//napH//psiE//malE//fau//lysO//moeB//torC//citF//ydhT//cynT//cvpA//aroG//napH//yccA//rplV//hycG//hycC//mtlA//sdhB//nuoN//fdnH//tdcA//aspC//araC//fixB//nlpE//artJ//mgtA//nuoI//hyfB//hofP//paaA//mhpR//yhiD//rbsB//phoQ//mhpA//rbfA//allD//ubiC//trpR//gspI//yfiP//phnH//astB//hyaF//paaG//cusF//cysD//evgS//hyfE//nrfD//truB//ryhB//pstB//
FhlA-Formate_pos	hisP//yaeQ//lpd//tolC//hemL//csiE//oxyR//tolC//actP//hslJ//cysC//rrsD//cysM//fimH//fixX//mhpR//gspK//hyaF//sufA//erpA//lolB//dsbA//ilvI//rrsE//infC//rrsA//ubiX//aroG//mglC//tdcG//
FucR-L-fuculose-1-phosphate_pos	hycB//hcr//slt//yiaJ//hyaB//ydeP//folA//
Fur-Fe2+_neg	yhhY//nrdA//gspJ//rutE//tcyJ//ydeJ//pepT//tdcC//purL//oxyR//infB//ycjF//skp//znuA//gatD//paaG//rpsP//bhsA//ygbA//ubiG//malG//ugpA//hyfR//rybB//cueO//phnK//argD//rplT//narG//hyfR//metH//feoB//dusB//pgk//trpB//citE//fumA//cusC//lsrD//yeiW//srlA//narK//grxC//tsaE//fabZ//gabP//rpsR//glmY//rnpB//metJ//lrp//metL//araG//fucI//fixB//argD//gntK//cydC//moeA//yeaD//artI//iraD//ybiT//xylA//ybdZ//purL//rplW//uxuA//ilvI//avtA//micF//argC//gspL//preT//nanK//rpsI//cysI//fadB//hdeB//alaV//acnB//rhaT//hofN//ndh//gntX//paaF//astC//araD//ssuA//rplI//phnN//ftnA//yfdV//mdtA//ilvX//hdeD//csiE//aceB//nagB//hyfH//fecR//nirD//agaA//uidB//rhaB//uxaA//nrdG//fliZ//rplC//pck//xylG//ptsG//fadI//xylG//ileU//fiu//mtlA//gltA//mepH//rplB//nrdI//trpA//lysA//pgpC//
Fur-Fe2+_pos	murQ//degP//ilvL//ydeJ//lpxA//yfiP//ascF//grxD//nadC//fdnG//rof//dcuB//yaeQ//phnD//oxyR//idnD//alaV//hybA//manA//napC//gutM//dnaA//hycH//infC//yeaD//
Fur-Mn2+_neg	katE//ydfN//lsrA//lolB//tsx//dppC//codB//exbD//phnH//creB//moaB//fldA//nrdE//iraD//prmC//gltF//tdcA//narJ//nanA//cydC//tyrP//ydbD//dapD//tam//csgD//fucP//gntK//glnA//rrlB//hycB//gntX//uxaC//nuoM//lldP//livJ//phoR//hybF//creA//yfaE//rof//gspM//xylF//ssuE//glcD//rbsA//nrfB//sodB//gltA//ycjX//ydeM//livJ//malM//citD//oxyR//glyA//preA//nuoK//phnG//feaB//ilvD//hflX//yhjA//oppA//norV//gltU//cysP//creA//ileV//lsrC//caiT//gatB//copA//ptsH//yeiL//cynS//glnA//exbD//bacA//yeaE//uidB//rpsQ//gatA//caiE//cyoD//hybG//cysM//sdhC//xylH//cynS//gltF//dnaA//carB//bhsA//nrdE//sufD//slt//acnB//fadJ//yfdX//ykgR//glnD//hycH//hdeD//rrfA//rrfF//manX//rbsA//tdcG//pgpC//tauC//fixC//citX//metK//rpsC//evgA//rutE//mcaS//hisP//safA//atoD//srlB//agaW//ascB//nirD//
Fur-Mn2+_pos	hypE//garK//nikC//hdeB//nac//mhpA//yjcH//dppD//feoA//bcsB//hycA//nagB//gcvH//iraM//ugpB//phnK//phnF//rplB//hfq//ydeJ//fixA//nuoN//napA//cheR//ccmA//
GlcC-Acetate_neg	caiD//
GlcC-Acetate_pos	mpl//pgaC//casB//feaR//dpiA//appA//
GlcC-Glycolate_neg	yjeV//
GlcC-Glycolate_pos	ompR//rpsP//kbaZ//xylB//cusC//rseC//
GlrR-Pasp56_pos	gltW//
IclR-pyruvate_neg	aldA//nirC//pgaD//cyoE//
IdnR-5-ketogluconate_neg	fimG//pdhR//dapB//
IdnR-5-ketogluconate_pos	xseA//dcuB//gpsA//citE//sufS//
IdnR-Idonate_neg	fucI//rrfG//cusB//
IdnR-Idonate_pos	rutF//fliZ//norV//bacA//rbfA//
IlvY-2-acetolactate_neg	truB//
IlvY-2-acetolactate_pos	abgT//
IlvY-Alfa-acetohydroxybutirate_neg	glgX//
IlvY-Alfa-acetohydroxybutirate_pos	speB//
IscR-[2Fe-2S]1+_neg	sdaA//proP//argB//ileU//csiD//mdtB//idnR//paaC//csiD//entE//sufS//mgrR//rdoA//appX//deoD//nrfA//csgE//uxuB//serC//pflB//ulaA//nanT//mtlR//rpoS//rrfC//citE//nuoF//uidA//gadC//artQ//
IscR-[2Fe-2S]1+_pos	upp//srlR//hyfE//creD//cysJ//folE//lsrC//napH//hha//acrE//galM//
LldR-L-lactate_neg	garR//cysK//malG//
LldR-L-lactate_pos	bioB//feaB//glgB//
Lrp-Leucine_neg	yeaD//rbsB//glgS//livJ//ygiC//treR//ychH//citD//hmp//aroP//rpsS//hybG//map//gltV//rnlB//tauA//nikC//ompC//paaH//dnaA//cysD//rimM//frdD//tsx//gatD//mhpC//uhpA//aaeR//melB//ydhW//ftnB//nrdB//aroA//dppD//fimC//ccmB//trxA//cysA//xdhB//metA//hofO//hdeA//dcuS//fumC//metC//trpE//prpB//moaC//rpoE//nagB//feoC//yfdE//cusF//frdD//moaE//malI//cheY//rplI//cysA//caiA//ychH//csgC//dkgB//ulaA//fliA//casB//moaB//rrfB//dgcZ//fdnI//nuoF//hofM//rrfA//gyrA//frc//
Lrp-Leucine_pos	xapA//cheR//nikB//allE//speC//glnK//ubiC//mgrB//gspG//ynfH//polA//dctA//rplS//gadB//glpK//gntT//cusF//gcd//nrdB//erpA//rhaR//ppdD//lsrB//iraM//ssuB//yoaC//bcsA//xylR//glnK//nikE//puuP//lamB//nrdF//moeA//cysK//
LsrR_neg	paaA//tadA//gltF//uof//hyfE//cydC//edd//copA//cheB//
MalT-ADP-Maltotriose_pos	fepG//ygiB//acrE//uraA//citD//ygeA//bdcA//crr//tktB//uxaC//
MalT-Maltotriose-ATP_pos	bioF//aceA//gyrA//hflC//sohB//ugpQ//gspE//malP//uxaC//agaA//
MelR-Melibiose_neg	rnlB//gabP//fecB//
MelR-Melibiose_pos	malS//tam//ybdZ//
MetJ-S-adenosylmethionine_neg	nupC//trpA//crr//purK//talA//napC//rutC//bdcA//entC//narH//fes//torC//yfbR//glpD//bioB//
MetR-L-homocysteine_neg	phnE_2//zinT//
MetR-L-homocysteine_pos	hypD//glpF//malX//ebgA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	dnaN//caiE//thrV//cueO//phnE_2//agaA//
MhpR-3HPP_pos	rpsS//mutY//rrfF//tauD//glgP//metQ//
MntR-Cd2+_neg	gltF//betT//nuoN//hypB//
MntR-Cd2+_pos	chbR//
ModE-MoO42-_neg	cydD//nrdG//phoB//lpxB//mdtB//hcr//oxyR//norR//sufB//ptsH//rrsH//tfaQ//ydhW//mgrB//prpC//
ModE-MoO42-_pos	caiT//yoaG//glpR//chbG//bcsZ//ampD//argH//ygiB//ugpQ//purN//fbaA//hyfC//yaeQ//alkB//phnG//fabZ//cynS//gabP//nupG//fadI//xylF//yneM//ssuA//fixA//rrfH//pgaD//dcuS//lacI//rplB//creB//tdcE//
NarL-Phosphorylated_neg	modC//nikR//gatZ//exbD//csiE//trpE//ysgA//nuoJ//napA//znuA//paaD//astE//sucA//cas1//fbaA//ugpC//araF//hycG//nrfG//psiE//napB//metE//cusS//glyA//araC//hycB//hycG//mhpB//aceF//fixB//upp//fumB//gltA//prpB//yhhY//agp//rbfA//cyoC//yeiP//aaeX//crr//pgpC//tdcB//nikE//rhaB//agaV//aldA//napA//xylH//csgB//gatZ//tdcA//tnaC//norW//astD//nirC//gltD//ompA//ansB//lpxB//phnE_1//hyfC//uidB//lysA//dmsA//hycG//rrsB//yfaE//idnK//pnp//cheB//dctA//cas1//oppB//ydiU//codA//cbl//ulaE//ssb//livG//bioD//cdd//ada//qseB//tar//moaC//
NarL-Phosphorylated_pos	nrdF//idnO//aspC//frc//trpB//mdtB//cheR//fecB//dps//lldR//uxuB//csgA//hyfI//dcuR//malS//galT//nac//uxaB//yaiA//rimP//cytR//cpxA//dapD//acrF//yhfA//citG//yeiW//fepB//glcF//rutG//yjiY//mdtC//puuB//aaeR//napC//argD//rhaD//chbR//ihfA//uraA//artQ//gyrA//sodA//galE//yecR//ydiU//
NarP-Phosphorylated_neg	glcA//uhpC//hybF//hisJ//rplS//xylA//ssuD//yjiY//metF//argH//gspE//hyfB//phoH//hycF//malI//paaG//tsr//hlyE//leuE//fes//yaeP//fau//citD//abgT//ivbL//acrD//dppB//livJ//mcaS//fhuB//nrdG//hflX//sdhC//
NarP-Phosphorylated_pos	rrlG//lacA//citF//gutM//entA//acrB//nlpD//tdh//infB//tpx//hydN//prpD//narQ//yjiY//cysI//chbF//artJ//rrsH//metA//sucB//citF//cyaA//rplW//dgcZ//rrsC//araH//trmD//hyfC//uxuA//fdhF//gatB//csiD//
NhaR-Na+_pos	modA//ykgR//idnT//appX//rutA//
NikR-Cd2+_neg	livH//ftnB//araF//eda//argF//ndh//
NikR-Co2+_neg	cysB//hha//mhpD//spf//yeiL//arfB//
NikR-Cu2+_neg	argF//xylF//murP//waaH//hfq//nagA//
NikR-Ni2+_neg	nikB//cysJ//nanC//glcA//gabT//rbfA//
NikR-Zn2+_neg	livG//tar//yegZ//dppF//ydhV//torD//
NrdR-ATP_neg	nuoE//cheB//ygeA//rhaB//malX//trpD//cysJ//ulaA//modA//
NrdR-Zn2+_neg	oxc//dps//srlE//ulaE//rrsC//purD//narJ//carB//rrsC//
NrdR-dATP_neg	idnD//aceF//lpxA//rpsJ//aidB//glgX//ptsH//gcvT//hfq//
NsrR-[2Fe-2S]reduced_neg	aceE//umpH//slt//hdeA//cynX//fumC//dnaE//paaI//moaD//pgpC//dcuA//polA//glnB//srlR//ulaC//glpF//hycG//glpR//purM//rrsB//nrdB//avtA//ilvN//torD//lsrG//glpA//rpmI//ulaC//yeaD//yaeP//phnD//dsdC//glgA//pdeF//crp//rrlG//lpd//purA//argI//hflK//glpX//micF//yfaE//fadE//bglF//trxA//zraR//lacA//kbaZ//gatC//gspK//rbsK//ilvA//malP//melA//yccA//cas2//mntH//sroD//lldP//araH//ychH//aspC//chbB//codA//lolB//ulaB//uvrA//phnM//ssuA//ulaE//fucP//ygiC//
PhoB-Phosphorylated_neg	ygeH//lrp//prmC//idnR//araA//hyfJ//rrfH//aceF//ydhV//bamE//gspI//tehB//rrfA//
PhoB-Phosphorylated_pos	puuB//gspH//bglG//ivbL//hybG//nikB//araH//ybfN//glpG//zraP//focB//iscA//yegR//bacA//infC//sufD//glpK//malX//nrfA//narJ//nrfE//cysG//nikR//nanM//ydhX//dpiA//uidA//ilvG_1//zwf//ppdD//zinT//acrB//rrfC//pflB//bcsC//miaA//fixC//trpB//rutA//yaeQ//glcD//nuoB//yedX//trpC//ung//fucA//yeaD//glpK//hisP//ssb//bglF//dsdX//lldD//
PhoP-Phosphorylated_neg	gspO//ugpE//appC//phoR//tomB//ilvE//hycC//bioD//mntS//deoB//yhcH//
PhoP-Phosphorylated_pos	ybiT//lsrF//bioC//pgaB//deoB//gspM//phoP//aspA//hycH//rimP//csiE//aldA//rpsI//hyfR//gltV//gabT//nohA//alaA//trpA//bamE//pgaC//tauD//safA//hcr//fecD//moaD//evgS//cpxA//ascB//nuoJ//thrS//cysU//alaT//ada//atoE//ulaD//uidA//moaC//lsrA//hisM//cspE//mdtD//alkB//rpoE//nagE//bamE//allC//napB//betT//
PrpR-2-methylcitrate_neg	gltV//
PrpR-2-methylcitrate_pos	upp//rbsA//acrA//marA//
PurR-Guanine_neg	yccA//rcnA//prpD//yhjA//ccmB//asr//cysP//ynfH//dmsD//ilvG_2//rrfA//narL//rplM//gltU//ysgA//gspD//hybA//pitB//ydeM//metK//cyoA//xylF//nrdA//fimG//crp//nuoE//oppA//tyrR//cspD//cysM//caiA//allC//borD//creA//
PurR-Hypoxanthine_neg	allD//ompR//cvpA//livF//phoB//casA//glpQ//ynfG//fadL//pheT//rplI//livJ//gltV//cynS//moaE//lpxB//hypB//dnaA//norW//mdtB//ybjG//carA//fucP//yciW//yecR//ydhY//lldD//cyaR//galK//frdC//sufA//phnO//ygiC//rseB//
QseB-Phosphorylated_pos	purF//citX//oppF//rbsK//
RhaR-L-rhamnose_pos	ydhW//ydeA//
RhaS-L-rhamnose_pos	amn//hycC//hisP//
RstA-Phosphorylated_neg	moaD//mlc//crp//pstB//dsdA//
RstA-Phosphorylated_pos	ydhW//fdhF//hyfE//kbaZ//bioB//
SoxR-[2Fe-2S]3+ oxydized_neg	hdeB//
SoxR-[2Fe-2S]3+ oxydized_pos	yqaE//prpE//ompC//
TorR-Phosphorylated_neg	mtlR//
TorR-Phosphorylated_pos	treB//hyaB//gntK//phnE_2//caiA//cusF//metL//gspC//yhhY//
TrpR-Tryptophan_neg	narG//bamA//modC//epd//fdhF//rprA//yeiL//hypF//pgaD//metJ//rcnB//pstS//
TyrR-L-tryptophan_neg	cyoB//hcr//narG//fdnH//purB//rnlA//hflC//gcvH//hyaB//evgS//rseA//mhpB//
TyrR-L-tryptophan_pos	entB//dcuS//osmY//
TyrR-Phenylalanine_neg	kbaZ//rplT//metN//talA//casA//hycE//exuT//fadI//ilvG_2//appX//fumC//hybA//
TyrR-Phenylalanine_pos	dcuB//allC//uxuA//
TyrR-Tyrosine_neg	psiE//rpmI//envY//lsrK//fixC//grxD//caiB//dcuA//folE//malQ//micF//artJ//
TyrR-Tyrosine_pos	codB//aspA//chiP//
UhpA-Phosphorylated_pos	glgC//
XapR-xanthosine_pos	carA//fucA//
XylR-Xylose_pos	fhuC//phnD//dusB//garP//lysO//chbA//
ZntR-Cd2+_pos	aaeR//
ZntR-Hg_pos	astB//
ZntR-Zn2+_pos	rutD//
ZraR-Phosphorylated_pos	fliA//xylB//ilvG_2//
Zur-Zn2+_neg	fecC//trpE//gabD//ahpC//dmsA//oppF//
