#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	narQ//zraR//
CRP-cAMP_pos	hyfF//fecB//moaB//nrdH//ygiB//fdhF//yeiP//prpB//ulaF//pheM//hlyE//purF//argC//phoP//iscR//bcsA//lpxD//lacZ//pdeF//araB//phnE_1//hycC//tdh//hyaA//pepT//yeiL//phnN//miaA//yhhY//glmY//gapA//argO//glcC//hybC//soxR//ilvY//tehA//exbD//norR//fimF//cysU//fepC//malX//cadB//lldR//yrbL//gyrA//glpK//ykgO//cyoE//napC//rmf//gspC//ugpC//fhuF//aldB//sufS//purD//actP//cheZ//guaA//fecE//livG//glpF//napD//aroM//yggX//hypE//fumB//rbsC//ampD//caiT//phnI//nadC//arcA//waaH//paaZ//uof//gltW//uhpA//feaR//galP//tadA//norW//cysA//speB//csgD//amiB//speB//hflK//srlE//bioD//ygbA//rhaT//mcaS//gltD//metE//nrdI//melR//tsaE//glcD//rrfH//aceE//sufS//speB//tsx//zwf//ptsH//ccmC//narH//torR//emrK//ygiA//yhjA//moaD//paaC//tyrR//cas2//artM//bioD//cydD//entB//ompF//lacY//ugpC//mutY//znuA//fdhF//cysC//ulaD//mdtB//tyrP//yeiL//metQ//uhpB//araE//trxA//nrfE//phoA//ydbD//ccmD//edd//serC//entE//nanK//rhaS//metE//allD//malY//fadJ//amn//rrsD//fepE//torA//lpxD//garL//csgC//mtr//srlA//yibN//fadE//ynfG//sucC//phoE//ilvI//map//argO//yggX//rrfG//purK//rpmI//thrV//manZ//xapB//mscM//csgG//aspC//bacA//hycF//rplC//rplP//cysA//purL//sdhB//cheZ//malE//modA//gatD//nrfE//ilvB//baeR//rrfC//rplT//yhiD//ppiD//yqjI//gntR//nanK//rnlA//ilvA//rrlC//aceK//yjjZ//qseC//mglB//glpF//fixX//bhsA//purE//puuD//eda//xylB//agaA//puuP//ilvG_2//yfiP//glpF//rpsP//modA//rrsH//rrfD//sbcC//appA//tsr//gadC//gspF//fadL//lysA//sufD//tdcB//lldR//rseA//cysN//ssuC//tehA//rbfA//rrsB//deoC//araE//mntH//metH//hyfJ//araF//patZ//nuoI//cpxR//fnrS//ilvA//trmD//yfdE//fhlA//tyrB//phnL//yaeQ//lacZ//frdC//srlD//trpR//uxaA//hdeD//avtA//artJ//hyaE//aaeB//phnF//fepB//alaU//iscS//marR//upp//yjeF//rutE//atoE//rrfG//znuB//rrsD//uraA//galT//fdnG//srlR//tonB//ychO//uhpC//nrfB//trpR//amiB//livF//entS//artJ//fes//fumB//aroH//hofM//talA//fes//ssuB//tdcB//pck//sroD//gspC//tfaQ//dapD//guaB//yaeP//nrfE//hyfD//oppC//lsrG//ackA//fldA//gabT//gspO//ftnB//gdhA//csgB//fucK//rhaD//mdtA//cytR//iscR//araG//nrfC//yfeW//hyaF//livG//garL//ebgA//dps//rrlC//aroG//dnaN//preT//ilvL//hyfB//araE//bamA//atoA//acrF//ydeO//ssuC//artI//znuC//lsrB//purF//argO//glnD//sdhA//hpt//xylH//cysC//ilvY//fumC//rplB//cdd//aaeR//alaT//ybdN//fimE//nanA//avtA//evgS//csgF//casC//eda//serC//ompC//nuoF//ccmD//pstB//citG//chbA//uxuR//nrfB//glcF//cheB//hisP//melA//rrfC//xylG//marB//lldD//rpsJ//narI//mcaS//ndh//pgk//ugpC//yeiP//nrfC//garP//oppC//cynT//manA//yfaE//hyfH//rbsD//raiA//rstB//ilvI//fixC//pstA//artP//allC//soxS//lysU//livM//fdnH//aspA//bioD//paaG//gadC//ysgA//nuoG//rutD//araG//dnaN//aceB//yfiP//phoB//atoD//mhpF//nuoF//argR//glcA//tfaQ//fhlA//argF//ydeN//mhpF//
ChbR-Monoacetylchitobiose-6P_neg	purF//edd//astB//folE//dppF//udp//
ChbR-Monoacetylchitobiose-6P_pos	cysH//paaI//ybfN//citC//atoA//treB//
CpxR-Phosphorylated_neg	bamE//norR//mlc//rybB//gspI//norW//phnG//idnK//grxD//crr//gltU//entS//gyrA//cdd//entS//mgtA//phoP//feoB//yfaE//livF//gltF//crp//argP//ascB//
CpxR-Phosphorylated_pos	hcp//ccmC//idnT//yedX//yegH//malT//rnpB//argO//rpsR//iclR//pgk//hybE//cysH//ftnA//gatA//dmsD//artQ//yhjA//copA//tyrP//motB//ileT//mlc//yfaE//stpA//ompA//livF//ccmG//bioC//ykgR//phnF//uhpB//sufB//cheA//fepG//fixX//hycI//copA//sdhD//cynS//sxy//cheW//frdA//ptsH//ogt//
CreB-Phosphorylated_neg	gatC//rpsQ//fimC//
CreB-Phosphorylated_pos	hycG//lsrF//rbsA//hha//metJ//pgaD//
CueR-Ag_neg	tpx//paaI//argI//ssb//ugpA//
CueR-Ag_pos	purB//fldA//
CueR-Cu+_neg	nanC//fumB//tyrR//phnC//rplI//
CueR-Cu+_pos	rhaA//yegZ//
CuerR-Au_neg	ygeA//argT//priB//sbmA//aroH//
CuerR-Au_pos	tdcB//agp//
CusR-Pasp_pos	csiD//puuC//aldB//hupB//nanM//garR//tauC//fhlA//xapA//fur//tnaA//pstC//
CynR-Cyanate_neg	hypB//
CynR-Cyanate_pos	nikC//gyrA//metY//
CysB-N-acetyl-L-serine_neg	pncB//yiaJ//rhaA//emrK//pheM//amiB//ogt//
CysB-N-acetyl-L-serine_pos	fhuC//cueO//ychO//nrfF//nagE//rseC//dnaN//tyrB//rplT//nrdH//dppB//nanK//aidB//cas2//csgB//glpB//yojI//nagC//norV//livK//hupA//hflK//oxc//
CysB-O-acetyl-L-serine_neg	codA//rrlA//entD//pheS//caiA//glcE//nupG//
CysB-O-acetyl-L-serine_pos	narK//rybA//fabZ//yojI//tyrP//lsrB//nrdH//entA//glnB//phnC//hyfA//nrdD//ccmG//phnF//gutM//ldtB//rhaD//rof//livK//artM//astA//fdhF//sucC//sucB//
DcuR-Phosphorylated_pos	argI//tdcF//xapB//malT//glnL//murP//pgaD//pheS//phnO//
DnaA-ATP_neg	tyrB//tyrR//garR//yeiP//tauD//fhuC//cysP//napC//fumB//appA//safA//
DnaA-ATP_pos	yjeV//cpxR//xapB//gatC//yhiD//rpsR//tdcG//
DpiA-Pasp_neg	argR//
DpiA-Pasp_pos	efeU_1//mhpR//agaW//pgaD//xseA//nuoM//dmsC//puuD//rbfA//qseB//
DsdC-D-serine_neg	pck//
DsdC-D-serine_pos	nuoA//alkB//
EvgA-Phosphorylated_pos	mdtA//rybB//xylB//hybC//ssrS//ugpQ//fadH//sufA//ydhU//uxuB//moeB//rrlH//ydeO//murQ//rpsQ//
FNR-[4Fe-4S]2+ reduced_neg	yneM//paaH//tdh//bdcA//garK//rpsQ//oxyR//hycB//glgS//ybiT//edd//grcA//nmpC//hyfB//fis//edd//yeiP//fepD//trpR//hybD//dmsC//lysP//ybjG//rseB//cspE//ilvG_2//hisP//dusB//aroM//fhlA//tcyJ//hofC//glnG//glnB//phnG//idnT//yggX//raiA//rstA//emrK//dsdX//comR//mutL//fdhF//rrlD//dsdA//phoA//ogt//tauA//livK//purL//gspM//glgA//mglA//nuoF//dppA//ubiX//cusA//fimF//yaeQ//fucK//rpmI//ilvE//grpE//cusA//ynfE//ompA//yjiY//yfdV//uhpT//csgD//purL//putP//speB//fadI//arcZ//dkgB//metB//gabD//rpmC//uraA//fucK//rpsF//glpR//dcuC//rrlB//putP//psiE//trmD//hyfF//chbR//hycG//rrfG//ileU//deoA//narG//caiF//ybiT//livM//codB//oppD//napG//glcC//xylR//hycD//patZ//rplT//tyrB//argT//dppA//rstB//rrsD//ugpA//fimG//glgA//hyfH//pagP//phnK//xylH//hflC//
FNR-[4Fe-4S]2+ reduced_pos	purC//bamE//phnM//ppdD//pgaA//rutF//ebgC//hdeB//cydB//aroH//gntU//nupG//cyoE//araD//galS//bglB//cdd//iscS//cysN//cyoC//fecR//glnB//cbl//yciW//phnC//ccmG//fdnI//ompT//hcr//idnR//pgaB//fucI//cyoB//fadH//lsrD//ilvM//gltB//nanM//metQ//hyfI//tap//gltA//rrfA//dnaE//paaD//ycdZ//purF//glpT//yeaD//azuC//phoB//fucU//dppF//patZ//cspD//zntA//ihfA//ada//phnE_2//paaG//mltC//rrfB//rrsA//glgC//miaA//fucU//chbA//metA//glgS//bioC//pgaA//ompA//gltT//hypA//alkA//aceB//livF//nrfD//phoB//mutL//phnI//nrdH//ykgO//rrfE//ybfN//nuoK//hupB//nuoG//abgA//napF//amn//metI//uxaA//tdcF//mhpA//priB//astC//lolB//casB//lrp//dnaN//fhuF//dcuC//paaI//nuoL//hcr//cysI//spf//tfaQ//mutY//yibN//fecE//citG//pheT//map//argF//argA//rpsF//cysI//fbaA//tyrA//malY//metN//speB//rseC//tnaB//rpsQ//appB//codA//rnpB//mzrA//aspA//rpoS//spf//hofB//hflX//citD//glgB//amn//mglB//ahpC//ssuB//gabD//moeB//rpsF//yfbR//uidC//ryhB//ycjF//gspL//mtr//betI//metJ//chbF//cyoA//agaW//pnp//map//fnr//argG//mutL//glpE//nanS//dcuS//mipA//cra//lacI//ivbL//hflK//rplM//cysJ//pyrC//spf//nuoK//soxR//ynfG//yjeF//ycjF//norV//trxA//bamE//hyaF//mltC//frc//ppiA//aldA//norV//hyaA//dnaE//prpC//efeU_1//dnaN//glnG//cyoA//paaJ//fbaA//cas2//yaeQ//paaZ//marB//bcsC//prpR//
FhlA-Formate_pos	fucA//malS//napG//uidB//glpR//hdeD//aroP//atoB//caiE//malF//nuoA//ydhU//motB//ssb//dpiA//sufS//modC//gspO//dgcZ//envZ//sdhD//napH//bamA//codB//caiE//ampD//astE//znuB//ycjX//ybjG//
FucR-L-fuculose-1-phosphate_pos	cysI//ilvA//bcsA//fimG//casC//tyrB//yhjA//
Fur-Fe2+_neg	astD//yqjA//ykgO//edd//caiD//osmC//yibN//yfiP//hupA//arcZ//fucP//nanE//malG//asr//lpxB//chbB//gspD//melR//ampD//xylB//mlc//fecC//yeiP//cheB//galP//nuoE//nuoB//cysJ//dps//narG//yrbL//hcp//hyfA//cdd//bglF//entA//malS//rrsB//gspI//pstC//yccA//ygiA//preA//rbfA//gcvH//rrlC//hpt//rplC//borD//araG//srlE//yeiB//emrY//carB//iscA//ompX//cysB//nadC//yfaE//feoA//rprA//ppiA//ilvA//ydeP//rstB//znuC//fepB//glcE//xylH//fdnG//pstC//yfiP//yaiW//tdcF//malP//phnG//dgcZ//flhC//nlpD//cheW//narX//yhcH//rplW//sucC//lolB//tdcC//lpd//hpt//dsdX//deoA//hycB//xdhA//uidC//fadB//cyoC//yeiB//nanE//ccmG//rutA//caiC//pepT//aidB//copA//idnR//aceF//sufS//idnD//gadC//tauC//phnE_1//nanT//malE//mhpD//feaB//nuoE//metN//csgE//phoQ//nuoK//sbcC//nlpD//gabP//codA//rpsS//
Fur-Fe2+_pos	hyaC//tcyJ//rplI//ubiA//mipA//acrB//purL//astA//cysD//focB//dsdA//arcA//cysC//recF//uhpT//purF//ugpB//livH//phnL//gyrA//rrfG//ugpQ//sbcC//sucB//sufS//
Fur-Mn2+_neg	livK//yeaD//deoC//dcuC//rhaS//mtlR//rseB//yegR//csgF//tdcB//moaB//fucU//hlyE//fdhF//rpsF//nanS//uxuR//marA//uxuA//nuoL//lsrG//gntK//manY//pagP//appY//nuoM//cysC//ugpE//fecI//hdeB//paaH//psiF//metR//frc//rplI//cirA//abgT//hyfB//purA//phoR//gltU//hyfF//codB//lldP//sufD//malY//nanM//aroM//chbF//cas1//aaeR//cstA//hybE//guaB//ssuD//ccmF//phoQ//aceA//grxD//fixX//metN//glnD//creA//nirD//slt//micF//tam//hybD//metR//napH//napG//uxuA//melA//ada//ppdD//fimC//glcA//cynX//fepA//rybA//prs//sxy//ydeN//caiD//ysgA//glcE//sbcD//marR//hcp//fucI//phnL//cyoA//spy//cirA//fur//sohB//mltC//aldB//uhpB//hflX//idnT//osmC//rbsA//betA//fhlA//moaC//cysJ//sbcC//ssrS//treC//aaeX//aceB//ulaB//gnd//zraP//puuA//thrV//fepA//rbsA//glcE//argE//sufS//rpsS//ykgR//
Fur-Mn2+_pos	ilvE//lrp//xylA//glgS//oppA//aroG//phoQ//ileV//ompT//cspD//hofB//cyoA//kbl//creA//nirD//hycE//galP//mntP//frdD//napD//fimE//pstA//entC//adiC//cvpA//
GlcC-Acetate_neg	tyrA//
GlcC-Acetate_pos	dadA//dcuS//amiB//uxuA//nuoE//melR//
GlcC-Glycolate_neg	rrlG//
GlcC-Glycolate_pos	nrfC//ycdZ//tdcF//modC//pgaD//yoaG//
GlrR-Pasp56_pos	lsrB//
IclR-pyruvate_neg	hofC//phoE//betB//puuD//
IdnR-5-ketogluconate_neg	yibN//nuoI//narG//
IdnR-5-ketogluconate_pos	hisP//rrlB//dcuA//metK//narK//
IdnR-Idonate_neg	tdcB//melA//murQ//
IdnR-Idonate_pos	rpmI//lysO//ulaF//codB//ydeN//
IlvY-2-acetolactate_neg	rpsI//
IlvY-2-acetolactate_pos	dsbA//
IlvY-Alfa-acetohydroxybutirate_neg	fhlA//
IlvY-Alfa-acetohydroxybutirate_pos	yrbL//
IscR-[2Fe-2S]1+_neg	glnK//nagA//rimM//ydeM//marR//rplW//frdB//hcr//putP//ssuE//fhuD//ptsI//argH//chbC//gspJ//nrfF//rhaR//fepA//fdnH//cpxA//paaZ//galT//alaV//hlyE//actP//yhfA//iclR//zwf//tdcF//dnaN//
IscR-[2Fe-2S]1+_pos	arfB//rhaA//mntS//yhjC//gntT//xylR//rpsO//mcaS//ilvA//moaE//oxc//
LldR-L-lactate_neg	fdnG//gntR//rpsQ//
LldR-L-lactate_pos	hyfA//narQ//speC//
Lrp-Leucine_neg	rplM//nlpE//rplV//aceF//melA//yjeF//uraA//nuoB//secB//cysH//fepD//citF//puuR//nlpD//micF//yhjC//tdcA//spy//yeaD//rutE//lldR//amtB//actP//moaD//rpoE//uidA//bioB//citE//glcB//malF//tolC//fdhF//srlB//baeS//mglC//rutC//hyaC//hyaD//hupA//nanT//nrdG//sbcD//comR//iscS//ugpA//gltF//zraP//rstA//evgS//skp//hupB//glnD//rrsD//ydhX//aidB//purF//oppC//preA//hycG//trpL//lldD//udp//stpA//mgrB//ybfN//glgA//phnN//artP//nadC//acrA//gntT//tdcC//pdeF//rrsD//nikE//
Lrp-Leucine_pos	phnE_1//tsr//artP//srlE//argP//crr//skp//gspG//fucP//mhpR//casC//gspD//malF//nanE//gltD//nanS//hypB//rbsA//atoD//pdhR//rrfF//uraA//mepH//map//rrsC//baeR//ompW//napD//metK//tdcB//ygaC//glgS//tar//phoA//dcuB//
LsrR_neg	lsrR//cyaA//purD//aer//gltT//caiD//rrfG//priB//entF//
MalT-ADP-Maltotriose_pos	fnr//yojI//glpR//yjeV//glpD//ileV//aroM//lpxB//fucI//narH//
MalT-Maltotriose-ATP_pos	cyaR//osmC//alaA//fecE//glnB//yecR//yrbL//torR//rhaB//cysN//
MelR-Melibiose_neg	puuD//hcr//sdhB//
MelR-Melibiose_pos	bcsA//efeU_2//fimE//
MetJ-S-adenosylmethionine_neg	lysP//xylB//cspE//adhE//phnE_2//nrdH//nikR//mdh//cheB//iraM//gltA//entF//fhuC//ilvI//adhE//
MetR-L-homocysteine_neg	hybF//mdtD//
MetR-L-homocysteine_pos	nuoE//bglB//araJ//galS//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	psiE//fecD//ilvX//bdcA//fadE//dcuC//
MhpR-3HPP_pos	argG//fecR//galP//ccmG//nrfD//ebgA//
MntR-Cd2+_neg	nuoG//mglC//speC//ptsI//
MntR-Cd2+_pos	nrfF//
ModE-MoO42-_neg	cyoE//rbsB//nirC//entH//cydD//malE//sbcD//ivbL//folA//slyB//tadA//caiE//trg//treR//iscR//
ModE-MoO42-_pos	ldtB//srlE//amiB//fadI//rrsC//rbsA//thrV//pck//napB//torD//icd//gntU//metL//sufD//nrfE//ccmA//azuC//asr//uhpB//malT//artM//argR//ugpQ//gntR//acrA//fdnG//malG//bcsB//glpD//metF//ilvA//
NarL-Phosphorylated_neg	pck//rrlD//truB//paaA//dadX//ileV//glcA//malY//dpiB//nrdE//uidC//rplB//sufB//mgtL//glgX//gspO//argO//purB//phoH//hha//nuoH//ynfH//hofC//hybG//garP//artM//skp//rrfB//creB//yaiW//deoD//fecC//idnT//metQ//rmf//glrR//caiD//glpG//gabP//glpA//aer//fecC//hupB//rrlG//prmC//cpxA//galM//rbsK//osmY//ubiC//citF//grcA//yfdX//yqjI//mutL//rbsC//hyfC//phnI//caiB//ldtC//nikA//ssuE//ynfK//oppB//artQ//yaeP//rutG//ydeM//paaF//zwf//cyaA//carB//napB//rseA//uxaC//ileT//dsdC//argR//nrfF//nmpC//glcA//yqjH//ilvL//nagE//hofO//ebgC//
NarL-Phosphorylated_pos	mdtD//nagE//entF//malE//znuC//glpR//grxD//hypF//cysI//ydeJ//modC//gltT//hybE//mtr//exbB//casE//rof//abgA//ynfH//grpE//fldA//srlR//glnD//chbG//fur//hybB//ycjF//hyfE//argR//ynfE//bacA//rrlA//mdtD//rrsA//gcvT//rplI//tnaA//arcZ//gadB//yfeW//fimH//sxy//bglF//pgaD//hycD//glnK//
NarP-Phosphorylated_neg	frc//narQ//pstA//rpsJ//astD//crp//infC//rrfC//sdhD//dcuS//mltC//garL//nikC//galE//flhD//manA//feoB//argH//bglG//fimC//cyoD//epd//fucO//hupB//betT//citC//rrlA//citX//nuoM//slyB//hyfI//lamB//cysN//
NarP-Phosphorylated_pos	hpt//yjiY//sucA//gspK//paaA//iscR//rplT//rpoE//yegH//rrfE//torD//gspJ//trpD//avtA//srlD//paaG//rpsS//phoH//aceK//phnI//iraD//rpsO//bcsB//rutB//fdnG//tehB//cysA//rplW//nrdF//metA//nuoA//araJ//
NhaR-Na+_pos	nuoC//mgrB//fecE//fbaA//oxc//
NikR-Cd2+_neg	frc//yqjA//yiaJ//dmsA//sbmC//hycE//
NikR-Co2+_neg	baeR//mtr//yfdV//yhiD//casB//cspE//
NikR-Cu2+_neg	galT//araB//lsrD//abgT//araD//speC//
NikR-Ni2+_neg	lldR//tdcF//aroP//hycC//sodA//citG//
NikR-Zn2+_neg	rrfF//adiC//ygiA//manX//torD//dnaA//
NrdR-ATP_neg	torC//nagA//metH//tdcG//ansB//napF//cynX//tdcF//yegZ//
NrdR-Zn2+_neg	fecA//ilvX//puuR//fepD//ilvI//tsx//lsrF//yaiW//yhhY//
NrdR-dATP_neg	entS//phnN//ispE//dpiA//rpsR//marB//tnaB//gspH//glpE//
NsrR-[2Fe-2S]reduced_neg	citE//ebgC//fadD//pgpC//deoB//gspI//nikC//iscR//puuR//feoA//waaH//metE//ccmC//tdcB//eda//agaW//phnN//hypD//feoA//uof//atoA//sdhB//citD//puuD//glpQ//hcp//hupA//rrsB//csiD//evgS//hyaD//cyaR//adiC//yrbL//fadH//aaeB//pstS//metH//ydiU//cpxA//argG//rhaB//ssuE//asr//carA//cbl//bglB//ahpC//gntK//prmC//yeiP//appB//malX//ydeA//chbA//metN//livM//mtlD//iscU//mutY//ilvG_1//nanM//rrfG//rplP//thrS//deoB//yhiD//fes//mgrR//hybF//glpQ//gspJ//hyfA//
PhoB-Phosphorylated_neg	gcvP//rutD//cysU//rrlA//gltF//phnG//sucD//ilvD//fdhF//modC//cbl//ilvI//hyaD//
PhoB-Phosphorylated_pos	glmY//hisQ//napD//metB//dgcZ//hybE//hypB//cynS//lacY//phnJ//ccmA//ileV//paaH//sdhD//rutG//trmD//oppF//phnI//malE//rpsS//amtB//mlc//icd//evgA//rpsO//uhpA//rpoE//micF//phoA//mhpC//tyrA//cusB//metB//marB//fimH//ilvC//caiT//rpsF//yfdV//hyaE//argC//marR//livM//pgpC//fimE//paaB//dnaA//cysK//ptsI//nikR//moeB//tsaE//ilvM//
PhoP-Phosphorylated_neg	ykgR//ynfF//tap//acnA//creB//rbsA//yjiY//manY//mepH//glpE//bdcA//
PhoP-Phosphorylated_pos	hybO//glgB//cysK//glnD//rutF//lsrR//phnK//rpsR//tcyJ//casC//gpmA//yegR//fadL//uxaC//allE//nikB//amn//chbG//tyrB//astD//feaR//ivbL//slt//nirB//iscA//hisQ//paaI//hyfB//lsrG//caiC//yeaD//gltT//cspE//trpC//metL//hfq//cheZ//phnO//cysB//hybO//fhuF//ydeA//guaB//dapB//lysA//uidA//rpsF//acs//uxuA//
PrpR-2-methylcitrate_neg	cusC//
PrpR-2-methylcitrate_pos	pnp//nagB//uidB//mhpB//
PurR-Guanine_neg	ssuD//araC//rcnB//nrfA//lsrR//nikD//tsx//livM//cysH//paaH//dusB//yfdV//astE//tauB//hycI//cusR//pta//soxR//rplM//ubiX//trpL//malF//yfeW//ilvY//gltU//rrlH//prmC//yegH//csiE//entS//deoC//uidB//atoB//lpxB//
PurR-Hypoxanthine_neg	deoA//mhpD//paaI//entA//mhpR//aaeB//tfaQ//cas2//nfuA//sucA//hypA//aaeR//psiE//hofN//casA//gcvP//ykgR//mgtL//nrfE//norW//acrD//mdtB//nrfD//araC//ccmB//ysgA//marR//mltC//norR//glpK//lacI//nikD//agaA//ppiD//
QseB-Phosphorylated_pos	mhpF//atoB//metQ//preA//
RhaR-L-rhamnose_pos	yfeW//malP//
RhaS-L-rhamnose_pos	phoH//fecR//ilvB//
RstA-Phosphorylated_neg	cysC//hycG//yfdE//glpE//nuoL//
RstA-Phosphorylated_pos	melB//nanC//napA//nrdI//spf//
SoxR-[2Fe-2S]3+ oxydized_neg	cysJ//
SoxR-[2Fe-2S]3+ oxydized_pos	hycG//idnT//yedX//
TorR-Phosphorylated_neg	csiD//
TorR-Phosphorylated_pos	envY//araC//sufE//frdC//iraD//argH//glnA//rimM//lldD//
TrpR-Tryptophan_neg	gltV//metY//yfdV//mipA//zinT//frdA//nadC//ubiG//glcA//motA//mlc//phnC//
TyrR-L-tryptophan_neg	edd//yggX//paaJ//dctA//trg//hybD//erpA//chbG//rplW//fecR//livK//preA//
TyrR-L-tryptophan_pos	entB//citE//narL//
TyrR-Phenylalanine_neg	araH//pgpC//alaA//dadX//ompT//yhhY//envZ//hycI//cusR//ydiU//deoC//hycF//
TyrR-Phenylalanine_pos	nanM//galK//caiB//
TyrR-Tyrosine_neg	tyrR//rcnA//arfB//dps//pgpC//hha//ilvX//torC//frdD//ykgM//malG//nikC//
TyrR-Tyrosine_pos	aroP//srlR//iscA//
UhpA-Phosphorylated_pos	modA//
XapR-xanthosine_pos	caiF//sdhB//
XylR-Xylose_pos	casB//phnP//ilvG_2//tsx//feaR//hycH//
ZntR-Cd2+_pos	ileV//
ZntR-Hg_pos	grpE//
ZntR-Zn2+_pos	adhE//
ZraR-Phosphorylated_pos	dmsD//secB//glcA//
Zur-Zn2+_neg	yhfA//malZ//feoB//cspD//gntR//yfiP//
