#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	trxA//arcA//
PhoP-Phosphorylated_pos	envZ//miaA//citC//malX//gcvH//map//paaG//garL//chbC//garR//frc//nadC//astE//rnlA//gspK//lacZ//nuoK//agaW//yaiW//ubiX//rrfF//galE//cydD//tdcC//idnR//fixX//ascF//galP//uxaA//fimC//fecR//mhpD//moeB//ndh//aaeA//sucD//ynfE//artP//bhsA//fumA//sdhD//tauD//moeB//ynfH//fumC//hisM//yfiP//rbsA//pstB//
PrpR-2-methylcitrate_neg	ydhX//
PrpR-2-methylcitrate_pos	bdcA//manZ//csgD//argI//
PurR-Guanine_neg	casD//dsdX//metY//malF//sucC//fimE//caiC//bhsA//yegR//narQ//nuoI//entF//hofO//hofO//xdhC//envY//mntP//hypB//eda//citX//hdeB//qseC//caiE//prfA//glpR//ccmF//efeU_1//ysgA//yedX//rbsB//hemL//acrD//qseB//marB//
PurR-Hypoxanthine_neg	qseB//phnD//yeiL//napD//cueO//treB//argO//baeS//appY//dsbA//malZ//csgD//cysN//metY//flhD//rhaA//cytR//phoA//nrdD//ugpA//gpmA//malI//aroP//nrdD//rrfA//avtA//dsdC//xylB//ygiB//speC//glgX//ftnB//araA//rpsO//
QseB-Phosphorylated_pos	metF//aer//nikD//tpx//
RhaR-L-rhamnose_pos	rhaS//gspL//
RhaS-L-rhamnose_pos	gatB//fecC//sufS//
RstA-Phosphorylated_neg	rutD//modA//ccmA//ydeP//marA//
RstA-Phosphorylated_pos	gspK//metR//hypA//srlR//aroL//
SoxR-[2Fe-2S]3+ oxydized_neg	nrdI//
SoxR-[2Fe-2S]3+ oxydized_pos	rprA//safA//mlc//
TorR-Phosphorylated_neg	deoB//
TorR-Phosphorylated_pos	ydhV//pck//ydhT//garK//tehB//aldB//mhpA//moaE//tadA//
TrpR-Tryptophan_neg	appC//yaeP//glrR//yjjZ//speB//casD//sucB//prmC//pnp//fbaA//alaV//frdA//
TyrR-L-tryptophan_neg	gltD//treC//cynS//cytR//cusB//glgA//borD//nikC//aldA//hfq//hofO//acnB//
TyrR-L-tryptophan_pos	pncB//pheM//rcnB//
TyrR-Phenylalanine_neg	bioA//caiE//hofP//puuE//ydeP//csgD//feaB//feaR//ygiC//bioD//rrfG//metY//
TyrR-Phenylalanine_pos	ilvX//csgB//aceK//
TyrR-Tyrosine_neg	nrfD//cspD//ydhT//amiB//hybG//astD//rrsC//gnd//rrsA//lpxB//rutB//dmsC//
TyrR-Tyrosine_pos	feaR//norR//modC//
UhpA-Phosphorylated_pos	metK//
XapR-xanthosine_pos	fnr//aroF//
XylR-Xylose_pos	araB//glnA//frdA//astB//cusF//purH//
ZntR-Cd2+_pos	yeiB//
ZntR-Hg_pos	ydfH//
ZntR-Zn2+_pos	rrsA//
ZraR-Phosphorylated_pos	argA//nrdE//lsrC//
Zur-Zn2+_neg	tauD//evgS//mhpT//uraA//rbsR//lacI//
