#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	sucC//uxuA//
CRP-cAMP_pos	infC//sbmA//alkB//prpC//rrfA//ygiA//agaA//paaI//araA//argC//fadI//dps//hyaD//tfaQ//ybdN//edd//purR//tolC//creC//moaD//gntP//yhfA//ryhB//fucP//cynS//hybD//hycE//uof//ompR//gspE//hypD//ilvN//mhpF//nohA//yfdX//purM//tsaE//napH//srlB//allE//eda//sufA//ascF//atoE//borD//tehB//cheW//fhlA//alaU//tyrB//nrfG//gabP//mpl//tyrP//metQ//ydeA//cysJ//caiB//nrfB//phnM//cspD//csgB//entE//yedX//srlE//bcsA//srlR//argE//feoB//nagC//preT//fadE//nikD//gspI//bcsZ//mdh//tdh//ackA//ydeJ//ynfG//nikD//gpsA//glnL//stpA//araH//ccmE//rplW//fecA//csgF//nanE//rplC//metB//chbF//gcvH//osmC//codA//yjiY//napB//nanS//narH//hyfA//folA//map//gadC//mgtA//gltA//araJ//citE//rpsF//tyrR//ilvL//dppC//phoQ//baeR//ydeP//fau//rrsA//aldB//yciW//aspA//cpxA//grcA//malF//yaiW//atoD//livF//csgE//gatC//ubiA//rrlA//rrlH//cusR//ulaF//thrS//hycI//hyfJ//rbsC//yhfA//ubiG//ulaB//malP//cusR//fis//metA//tnaB//glpX//ilvB//fixA//envZ//xylH//gspL//kbaZ//mepH//nagE//fepA//glnD//narL//ychO//mgrB//fhuC//pgaD//treC//alaA//nohA//manZ//metR//aroA//tauB//exbD//gntR//cysU//acrD//lrp//mcaS//ssuC//sbcD//hofO//xseA//yaiA//glpB//malM//tauD//malZ//uxaB//malE//idnD//rstB//ilvA//cusS//lacI//fur//fucO//mhpR//ynfG//rbfA//ykgM//rimM//ebgC//mtlR//hyaF//hflD//gnd//malQ//rnlA//hflK//modB//aceK//ftnB//yrbL//oppB//cyaR//metK//hofM//gltA//yibN//tolC//hycB//fecR//ileV//rrsB//cvpA//hyfC//ogt//chbG//marA//rhaB//sbmA//manY//aroP//malM//pgaA//feaR//sroD//sufE//galP//dkgB//phoA//rpsI//cirA//recF//rimM//lsrK//ubiG//fhlA//yeaE//yaeP//cydB//rnhB//yegZ//nuoL//manX//trpA//rrfC//gltB//ybfN//qseC//yrbL//nrfA//phoA//gatD//hcr//nrfB//bcsA//baeR//oppF//rutA//rpsI//mdh//sucC//manZ//hfq//nanM//galM//gatD//fumB//malI//paaH//oppD//mtlR//glnK//mglC//dcuB//phoQ//sdaA//hycH//rplS//ytfE//zntA//puuR//aroH//gutQ//cysM//paaH//tonB//cysU//garR//fhuE//dnaE//srlD//astB//melB//gntT//sdhD//cyoC//rrsB//envZ//rplV//hcr//nanA//nrfE//phnC//astD//tdcG//rpsO//chbA//ccmG//srlE//hyaE//phoR//fadL//ssuB//baeR//gatD//leuE//yeaE//kbaZ//napD//puuR//rpsF//malQ//modB//rrfB//rmf//ssuB//ynfF//bioA//ulaC//bamE//astD//glpC//yoaC//ssuE//crl//tyrR//nuoK//phoR//artQ//rrfE//cynS//csgF//comR//talA//mhpT//puuD//evgS//rpsF//gpmA//yjcH//hypF//rseB//ahpC//ynfE//xylR//ulaD//acrB//rrfA//fadA//abgA//fumA//tdcD//ynfH//lsrB//lacY//fimH//rplM//ryhB//ileV//ydhW//ccmF//caiF//fepG//alaT//agaV//agp//rplC//mdtA//rpsS//yiaJ//cra//rrsH//hisQ//tam//gltT//hycE//phnC//ssrS//galE//uxuA//dcuB//argI//cadA//amiB//ftnB//ptsI//alkB//fepE//tyrB//atoD//cra//ynfK//ppiD//ygbA//gcvH//betI//mhpR//nmpC//psiF//fepE//entH//argB//malE//napH//rutE//ileV//nikE//phoE//ybfN//dadX//rbsA//
ChbR-Monoacetylchitobiose-6P_neg	napC//tdcF//livF//osmC//fepA//xdhB//
ChbR-Monoacetylchitobiose-6P_pos	ydiU//fucR//yeiW//yeiW//puuD//moaC//
CpxR-Phosphorylated_neg	napD//hflX//hypB//puuB//arcA//norW//hycC//ilvB//uxaB//tyrB//ydhY//pitA//glnD//mcaS//rdoA//grxD//entH//tnaA//bcsC//preA//safA//ynfG//ilvE//fhuC//
CpxR-Phosphorylated_pos	nanE//appY//gatD//gabP//fur//mglC//citC//araG//lsrR//rrlB//xylG//artQ//rbsD//cysM//ycjX//tcyJ//hofN//rpsI//hypA//putP//nikA//cvpA//chbG//tonB//cysC//rrfH//gabP//ihfA//miaA//hisM//acrE//pgk//cysA//ydfH//cysK//moaB//glpA//gdhA//nrfF//citF//phoR//ansB//rrfB//livJ//csiE//
CreB-Phosphorylated_neg	rbsB//aroF//hmp//
CreB-Phosphorylated_pos	hycI//metC//trpD//hybD//cysU//narI//
CueR-Ag_neg	ilvH//purR//phnN//cbl//paaZ//
CueR-Ag_pos	lacI//grpE//
CueR-Cu+_neg	serC//lldR//rrsB//xdhA//nrdE//
CueR-Cu+_pos	ilvX//guaB//
CuerR-Au_neg	zraP//mutY//nrfB//agaW//paaD//
CuerR-Au_pos	yfdV//gatA//
CusR-Pasp_pos	nrfB//paaJ//gspG//rpsC//mhpD//gatD//spy//fiu//sufC//lsrK//fepE//citX//
CynR-Cyanate_neg	rnlB//
CynR-Cyanate_pos	uof//prpC//tsr//
CysB-N-acetyl-L-serine_neg	deoB//yeaR//uidB//uidB//araG//nanE//thrV//
CysB-N-acetyl-L-serine_pos	hycF//hyfB//hyfE//ugpE//appY//caiF//rplT//degP//rseC//ytfE//trxA//prpD//gspK//lacI//yegR//glpD//hyfG//puuA//fimI//rimP//nikC//fhuB//hisP//
CysB-O-acetyl-L-serine_neg	ilvG_1//nuoM//frdA//rrfF//serC//tomB//paaH//
CysB-O-acetyl-L-serine_pos	ccmH//iscU//tdh//ulaF//rybA//putP//ybdZ//sbmA//rrlE//mglB//abgA//ompW//ygeH//rhaD//fixC//glcB//prpC//csgC//glpB//galT//focB//gltA//nanK//mhpD//
DcuR-Phosphorylated_pos	cra//ccmB//metK//mdtA//ansB//aroM//envZ//pdhR//cyaA//
DnaA-ATP_neg	argA//tar//fucR//cbl//nuoJ//dsdC//napD//purM//uidB//ydhU//rrsA//
DnaA-ATP_pos	ompC//yhcH//sroD//citD//acs//cysD//mtlD//
DpiA-Pasp_neg	yggX//
DpiA-Pasp_pos	ompA//yqjH//ydhU//tdcG//ssb//artQ//ulaC//ascF//gabP//garL//
DsdC-D-serine_neg	mpl//
DsdC-D-serine_pos	rpoS//dapD//
EvgA-Phosphorylated_pos	mdtB//entD//ilvA//tdcA//hypD//malZ//rpsP//narQ//glpR//cysW//glmY//fepE//hycC//cynT//dnaE//
FNR-[4Fe-4S]2+ reduced_neg	ydeP//nuoN//fecC//ydbD//fldA//xylB//rrfF//cusS//lsrC//abgA//araC//acnB//argI//narQ//sufA//appY//arcA//torD//oxyR//rnlA//fbaA//cysP//entE//ytfE//ulaC//purB//glcE//tam//xylF//tolC//rbsD//dpiB//ilvX//asr//moaC//xylG//tyrB//gadC//glcE//lsrK//fadE//hyaD//pagP//ychO//csgA//gntK//dppC//ahpF//acnB//pncB//sucC//pyrD//hdeD//livG//uxaB//ccmA//caiT//hyfG//yqjI//fepE//glgX//metN//nikD//nagA//ydfN//ilvG_1//appB//hfq//tsgA//rpoE//yjjZ//qseC//hyaF//glgA//moaB//yjiY//purF//xdhC//zwf//raiA//ulaD//cysP//artI//caiE//csgD//nrdA//aceK//cpxA//mdtD//rimM//speC//yeaE//moeA//paaF//gcvP//dpiB//yeaD//zntA//rrfG//tdcC//ydhX//cas2//moaE//galP//galE//frc//grcA//xylF//glpK//ydeM//chbC//rrlD//yrbL//phoR//yeaR//micF//sbcD//uraA//umpH//deoA//
FNR-[4Fe-4S]2+ reduced_pos	uvrA//gspK//fucK//lsrC//nuoG//ynfE//yeiW//malM//cheZ//nagB//aaeB//mhpC//yidQ//entS//cusF//fumA//phoP//dctA//uof//znuB//ftnB//casA//cspD//rutC//ilvE//nuoH//rplC//dcuR//rpsQ//entA//paaG//ynfH//hcr//moaE//ilvI//caiB//artJ//metR//bioB//ppiD//rrlA//uxuR//chbR//speC//oxyR//ydhT//alkA//gcvH//mntH//tnaB//mgrB//idnD//ung//ompT//yfdV//bdcA//rnlB//galK//moeB//mdtD//rplT//cytR//argO//folE//infC//yccA//glgS//cheR//bamE//chiP//phnL//fimC//tnaC//hofC//focB//uxaC//bcsC//iclR//metY//moeB//csgB//fepE//rutG//hdeD//mhpT//hyfF//hyfC//mgtL//mhpT//mglB//melA//cusF//pstA//rrlH//rplB//chbR//cra//casB//ubiG//ampD//fhuB//yaiA//cueO//rpmC//rnlA//nuoM//cysB//rprA//tdcF//bacA//dcuB//ompR//mhpC//ynfF//pheT//rnhB//yibN//pgaA//purD//ada//dapD//xapA//nanM//ascB//hybG//yedX//abgA//pagP//micF//borD//glyA//cysJ//rplT//rbsC//idnK//yfiP//nuoC//tdcE//modC//fhuE//ppiD//ycdZ//cheR//ebgC//paaE//deoB//pgaB//artM//speB//fecB//mglC//phoH//hpt//hycC//rbsR//manY//lldR//hypC//napG//gatD//glgB//melR//infC//ilvB//hypF//fecA//livF//trpL//galM//osmY//rplB//aidB//moaA//nupC//fhlA//gyrA//ccmE//efeU_2//gspF//ygeA//ubiX//fepB//hycG//uhpB//phnJ//fadA//ompR//purK//lsrC//fldA//marB//caiB//tomB//argG//metL//fdnG//nadC//amtB//agaA//gspL//psiE//rbsD//
FhlA-Formate_pos	icd//sdhD//ybfN//phoQ//malT//aaeR//fimG//creA//sodB//cadA//paaZ//rrfE//gadC//tdcE//dmsD//ybdN//paaB//nrdF//livG//gntP//mntP//cirA//narI//acrF//sucB//codB//hfq//sufC//hypE//glpF//
FucR-L-fuculose-1-phosphate_pos	srlE//uxaC//dcuB//ampE//norW//nikC//ascF//
Fur-Fe2+_neg	fdhF//glnB//hfq//oppF//lpxD//rbsK//phnP//rplC//glpT//rpsS//oppF//yjeV//stpA//entF//hfq//bioF//ydhY//evgA//hycB//xdhC//casB//ung//rplW//lsrF//yciW//betA//rrlG//bhsA//cysC//hflD//aceE//cydA//nadC//araJ//livJ//malT//uidB//bioF//prfA//emrY//gltF//glmY//caiA//fiu//murP//crl//hypF//moeA//napG//hyaA//acnB//uhpC//astD//mdtD//paaD//tdcF//hflC//rplV//grxD//cyaA//ilvL//rplB//serA//melR//rpsQ//hyfG//glpK//glrR//entH//yhjC//nuoE//puuA//copA//oxyR//malX//amn//ompR//priB//xylH//cusB//lldP//gcvP//deoC//zraR//xylA//rpsF//rrlE//kbaZ//cusR//modB//glpB//prs//paaE//rmf//sodA//sbmA//gltB//agp//yeiB//exbB//gatC//fdhF//hofC//tsx//agp//avtA//rmf//ileU//astE//zntA//argP//chbR//caiF//ascF//uhpB//degP//hyfC//yfdE//phoR//hofO//norW//iscA//qseC//feoB//
Fur-Fe2+_pos	ompA//rpoS//emrK//ompR//uhpT//garP//gpmA//hyaC//qseC//ssuA//rimP//rnlB//argC//yeaE//cysA//fixC//ydhY//grxD//ssuB//rrsC//gntK//torC//agaA//fepE//hha//
Fur-Mn2+_neg	hdeB//dnaA//aroL//truB//xapA//rcnA//pgk//glgC//yccA//rcnA//nusA//ihfA//uxaB//ydfH//fadL//narH//rseA//citF//bioD//malI//ybjG//hemL//iscS//envZ//entB//sufB//prs//uxuB//ybdZ//hyaE//hofO//mgrR//fadH//ivbL//idnD//ccmB//metQ//cheY//uxaC//mtlD//aroL//phnI//nrfF//yeiB//cysM//folE//yfdV//argC//ulaF//uvrA//aroG//cysM//lamB//mscM//glcG//nanE//ftnB//gadB//malG//pyrC//rrlD//hflK//hisQ//allE//ssuB//tnaC//dadX//oppB//fimI//phoH//sdhC//nikD//evgS//ompF//micF//aroM//argE//dcuR//dmsB//yjeV//alaU//argH//phnH//chiP//skp//aroP//hfq//glpK//glnA//fucK//yedX//sucD//thrS//sbmC//fimA//yaiA//fadI//napF//rpsO//ssrS//hybE//rrsC//nikA//ychH//lpxD//dcuA//exuT//speC//paaA//lrp//rpsO//sohB//purF//lysA//speA//tdcA//phnK//hyfF//nuoF//rutC//malS//pgaA//miaA//metC//
Fur-Mn2+_pos	crr//aceB//comR//hemL//rybB//narI//casE//nadC//ybjG//nac//tsgA//amtB//yegR//upp//nuoG//udp//yeiP//atoE//betI//leuE//guaB//ycjF//ygiC//srlE//waaH//
GlcC-Acetate_neg	fadB//
GlcC-Acetate_pos	alaV//aidB//motA//fepE//rrfB//tnaC//
GlcC-Glycolate_neg	nuoF//
GlcC-Glycolate_pos	cpdB//lysP//purD//garR//rrsE//glpQ//
GlrR-Pasp56_pos	purA//
IclR-pyruvate_neg	uxuA//trg//argD//trpD//
IdnR-5-ketogluconate_neg	mdtD//phoP//preT//
IdnR-5-ketogluconate_pos	argG//rplP//malE//nohA//nrdA//
IdnR-Idonate_neg	idnD//nirB//araE//
IdnR-Idonate_pos	astB//narQ//pyrD//artP//chbC//
IlvY-2-acetolactate_neg	nrfC//
IlvY-2-acetolactate_pos	mdtA//
IlvY-Alfa-acetohydroxybutirate_neg	acrA//
IlvY-Alfa-acetohydroxybutirate_pos	fadD//
IscR-[2Fe-2S]1+_neg	ilvA//fecI//degP//dadA//borD//tyrA//dppF//mutY//hyfR//aaeX//rpoS//uraA//uxuB//garP//glcA//nrdI//garL//caiT//malZ//mtlR//hyfR//ydhY//rpsJ//ftnA//ybfN//ycjX//deoA//fixX//yneM//ompR//
IscR-[2Fe-2S]1+_pos	gspC//tnaC//dsdA//nuoN//malG//sucA//rrsD//fdnH//yhcH//pgaA//exuT//
LldR-L-lactate_neg	ccmD//icd//phnE_2//
LldR-L-lactate_pos	bhsA//rrlB//cysC//
Lrp-Leucine_neg	glgA//umpH//agp//fhuA//chbF//dnaE//fumB//tomB//entS//gutQ//nuoB//hycG//cusS//patZ//ugpA//hemA//xylR//yaiA//gcvP//ybjG//yecR//puuE//cyoC//appC//chbG//ubiX//srlD//chbG//hcp//idnO//tauA//zraR//glgP//ssrS//lsrA//cysN//tcyJ//exbB//caiE//nikD//yhiD//ynfH//ebgC//ilvM//dapB//bglB//glcE//rhaA//ssuA//amiB//csgB//ygiC//hofO//hyfG//mhpA//lldR//psiF//marA//ygiC//uidC//argB//prs//rutF//ompW//rdoA//xylR//fucO//ssrS//tonB//livH//aroH//rrsD//fldA//bioD//nuoN//
Lrp-Leucine_pos	lsrR//bioC//ogt//aceA//ugpE//tar//tauD//gnd//fepE//glgB//fumB//melR//mntH//fhuE//degP//glcA//ydhW//entF//hflD//glpG//yjeV//pgpC//carA//gatC//caiC//mhpT//hemL//sodB//modA//ugpB//caiB//putP//rpoH//fecD//cytR//
LsrR_neg	borD//amn//hyfG//comR//mhpB//rrsA//ilvD//cynR//sodA//
MalT-ADP-Maltotriose_pos	aroM//gcvP//abgT//cyaA//ivbL//aroA//tolC//pgaC//entE//adiC//
MalT-Maltotriose-ATP_pos	idnT//cadB//mgtA//hyfE//rrsB//ilvG_2//gspD//argO//folE//acrE//
MelR-Melibiose_neg	agaW//bioF//manZ//
MelR-Melibiose_pos	cheY//fadI//fadD//
MetJ-S-adenosylmethionine_neg	dadA//trpR//glgS//fhuE//yeiB//sdhC//malF//entB//mhpB//torR//edd//argI//fixX//xylB//hlyE//
MetR-L-homocysteine_neg	hyfR//astB//
MetR-L-homocysteine_pos	nuoN//betA//rpsP//bioA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	hisP//tehA//uidC//citE//fixC//creB//
MhpR-3HPP_pos	gltA//degP//flhC//hyfH//purF//mipA//
MntR-Cd2+_neg	ycjF//citE//agp//talA//
MntR-Cd2+_pos	nagC//
ModE-MoO42-_neg	torA//melR//metL//creC//phnO//bcsA//agaW//hyfD//phnG//frc//edd//pyrD//cyoD//galT//cysJ//
ModE-MoO42-_pos	torD//emrY//rybA//fumA//ung//yhjC//phnD//rybB//yciW//rrlB//prpR//feaR//hisQ//rbsR//ansB//rnhB//guaA//tsaE//deoB//lldR//ycjF//dcuB//cusB//ivbL//gatC//bdcA//trpL//sdaA//sdhC//uxuB//gntR//
NarL-Phosphorylated_neg	artI//copA//ryhB//rrfE//ilvL//yccA//hyaE//gltB//cysP//azuC//nrdH//cvpA//yggX//mgrB//aroL//uraA//sucD//lysU//bioB//znuC//gntU//ybfN//nanE//hycF//iscR//uraA//ybdN//fumA//manX//emrY//ampD//glnA//ycjX//dnaE//speC//fepA//citG//gltA//pheS//ebgA//fimA//acnB//garP//puuB//metA//ygaC//gpmA//ygeA//manZ//rseC//cyaA//alkA//folE//xdhC//hupA//sufA//ileV//betA//gatB//gabD//micF//fimI//pitB//uhpB//tyrP//safA//nrdH//creB//fadB//dmsA//nlpD//ssuE//aaeX//hyfE//metF//phnP//nrdA//ugpE//cusC//dnaN//folA//hybC//gatZ//sodB//tdcF//yaeP//
NarL-Phosphorylated_pos	polA//ygiC//citG//frdB//cysD//phoH//exbB//astE//rplI//norW//narG//nuoH//pgk//caiC//aaeX//cyoD//idnO//ssuE//tauA//csgC//paaA//purA//rhaS//pstA//hycE//glnL//astB//nuoN//nagE//paaE//mltC//nuoA//fimE//metH//aceE//mtlR//bamE//appY//fimH//gspM//mcaS//rrlD//motA//narJ//hypF//acs//
NarP-Phosphorylated_neg	cheZ//lsrD//yegZ//aaeB//puuC//cydB//rpsI//purD//ybdZ//lpxB//nrdI//ompC//mhpC//cysM//lpxB//argR//pagP//fimI//oxc//pflB//soxR//malT//cstA//ygaC//ygiA//yaeP//oppC//gpsA//caiT//narH//rpmC//soxR//argP//
NarP-Phosphorylated_pos	zraS//degP//fecI//yjiY//ybfN//codB//yqjH//yoaG//malX//entF//nuoB//nuoN//ileV//ompW//phoQ//uidB//phnK//nrdG//narL//yhjC//speC//dgcZ//hisP//narK//xylG//cadC//umpH//phnF//cytR//narH//ileT//fucA//
NhaR-Na+_pos	rhaA//uvrA//metF//rrsB//mscM//
NikR-Cd2+_neg	hisJ//ydhX//ykgR//artM//nfuA//hypD//
NikR-Co2+_neg	gspD//uidC//sufA//phoH//gltT//tauB//
NikR-Cu2+_neg	fixA//tyrR//fimG//malY//murQ//livJ//
NikR-Ni2+_neg	cspD//cra//yhjC//caiT//gltD//hupA//
NikR-Zn2+_neg	garK//mhpA//glgP//rpoS//norW//cysA//
NrdR-ATP_neg	trpL//ampE//hyfR//rdoA//puuA//ilvM//tnaB//rnlA//fadB//
NrdR-Zn2+_neg	gltB//gpsA//hemA//casD//fhuF//sxy//ascF//lldD//rrlD//
NrdR-dATP_neg	lolB//xylB//phoU//yhiD//fumC//mglA//astB//dmsD//puuB//
NsrR-[2Fe-2S]reduced_neg	nuoK//yoaG//chbB//speA//cynX//fecR//nrdE//galM//ccmB//yedX//udp//tdh//chbR//livF//ybdZ//ndh//iraM//acs//nrdA//puuB//fur//exuT//sodB//entH//sucC//deoA//fimG//cydD//hdeA//lacI//fhuC//entA//yaiA//rpmC//ydeJ//yojI//rutB//argC//ydhW//evgS//phnC//ilvL//sbcC//zraP//rrsG//appY//ahpC//ssuA//lysO//ubiX//gltF//evgA//citF//livG//priB//hupA//fimI//ompC//argT//flhD//raiA//nuoM//hofB//csgA//dgcZ//paaC//aceF//phnN//rpsO//tnaC//fiu//prfA//rpsS//
PhoB-Phosphorylated_neg	chbA//tsr//tyrR//rutD//ulaF//hypD//rrsC//yeaE//ssb//allC//ilvG_1//mgrR//narG//
PhoB-Phosphorylated_pos	fadD//dsdA//csgD//nusA//leuE//cusB//kbaZ//ilvG_1//casB//glgS//tnaB//napH//hycE//sufB//amn//tehB//oppC//tdcB//oppA//ivbL//glnL//nirD//pstS//sufA//narG//rplB//tar//mhpE//ccmF//mntH//zraS//dsdC//casD//malX//citX//rpmI//ompF//fhuA//phnO//yjjZ//ubiG//pyrC//aaeR//ybfN//hypC//lsrD//gatB//ubiG//pheS//qseB//dsbA//fadB//evgS//
PhoP-Phosphorylated_neg	ansB//dmsC//glnK//sdhB//moaE//dadA//narH//ydhX//fepE//actP//hypA//
PhoP-Phosphorylated_pos	dmsA//caiA//ccmE//cspD//gabP//folA//lysA//idnK//cysJ//speC//pck//gspL//chbB//hybA//entA//malM//hofP//mhpB//sdhD//cyoB//fucO//tdh//phnO//nuoH//feoC//allC//ydhW//yibN//sucB//yeiW//rutA//ydeN//dmsA//cysB//serA//melB//lsrR//fepD//tsaE//rof//putP//hslJ//manX//argP//modC//nuoB//casD//livJ//galS//
PrpR-2-methylcitrate_neg	yeiW//
PrpR-2-methylcitrate_pos	trpE//yfaE//hflD//yqjA//
PurR-Guanine_neg	uxaA//ynfG//ygiB//sufD//rrsA//fumC//lsrR//sbmC//efeU_2//feaR//ccmF//hypC//tdcE//trpA//fucI//frdB//rrfD//tktB//yfdV//dppF//trpA//chbF//ydhW//srlB//iscR//hycG//ccmA//dcuC//trpE//idnK//arcZ//pgaC//yfdX//nuoA//
PurR-Hypoxanthine_neg	rhaT//ilvL//hyfE//deoA//nagC//ychH//fdnI//yggX//pstB//cydC//mgrB//acs//gatB//chbC//fumB//exuT//frdC//moeB//gntX//modB//puuC//hyfH//phoB//gadB//cysC//sbmA//ugpE//artM//astE//yiaJ//argB//zraR//sufC//lysA//
QseB-Phosphorylated_pos	ldtC//gcvT//gadC//yciW//
RhaR-L-rhamnose_pos	hofB//purB//
RhaS-L-rhamnose_pos	aroH//hyfI//fldA//
RstA-Phosphorylated_neg	lsrD//mtlD//yqaE//cheB//treC//
RstA-Phosphorylated_pos	cysK//yqjA//nuoE//entC//sdhB//
SoxR-[2Fe-2S]3+ oxydized_neg	ybiT//
SoxR-[2Fe-2S]3+ oxydized_pos	katE//dppB//bacA//
TorR-Phosphorylated_neg	hisP//
TorR-Phosphorylated_pos	hyfB//rybB//tdcB//uidA//agp//rrfE//ygiC//csiE//gntU//
TrpR-Tryptophan_neg	yfdE//nanT//ulaA//sbmC//dusB//mdtA//cydC//ompX//crl//cirA//phoH//fnr//
TyrR-L-tryptophan_neg	fucP//casC//aaeR//ynfE//dcuA//adhE//napG//yiaJ//znuA//rmf//narK//fhuA//
TyrR-L-tryptophan_pos	rrsC//rrfE//hcp//
TyrR-Phenylalanine_neg	rnlA//rrsH//yhcH//cyaR//hcr//rrfD//nlpD//cysI//csiD//gspF//lacA//phoP//
TyrR-Phenylalanine_pos	fimF//iscS//aaeX//
TyrR-Tyrosine_neg	alkA//rpsR//tdh//ygeH//glcF//copA//glmY//atoA//hofB//rbsD//purH//nrfB//
TyrR-Tyrosine_pos	guaA//bglB//metE//
UhpA-Phosphorylated_pos	phnE_2//
XapR-xanthosine_pos	yrbL//nagE//
XylR-Xylose_pos	fadL//lacA//modC//puuB//idnK//sodA//
ZntR-Cd2+_pos	erpA//
ZntR-Hg_pos	tyrB//
ZntR-Zn2+_pos	ydhU//
ZraR-Phosphorylated_pos	nrfF//ilvL//uhpT//
Zur-Zn2+_neg	hybD//bhsA//gpsA//prpR//dsdX//ilvM//
