#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	nrdE//pstS//
CpxR-Phosphorylated_pos	tdcD//pepT//ilvB//pgaB//ilvY//tyrR//ccmG//glpF//trpD//lamB//glpK//sufS//ahpF//ytfE//fis//rrlB//hslJ//ydeM//ompA//tauB//cyaA//csgA//rutG//ssrS//gspD//purM//ynfH//glmY//uhpA//cyaA//ulaC//aroA//glrR//ykgM//nagE//motB//upp//bacA//torD//bioB//rrsE//bioF//frc//ycjX//ydfH//
CreB-Phosphorylated_neg	lsrR//manY//oppF//
CreB-Phosphorylated_pos	dcuR//hybB//garR//cynR//glgB//rrfG//
CueR-Ag_neg	deoB//aldA//argG//nikD//nrfA//
CueR-Ag_pos	mglC//phnM//
CueR-Cu+_neg	exbB//hydN//hdeB//glcF//pstB//
CueR-Cu+_pos	lsrK//hyaF//
CuerR-Au_neg	atoD//trpB//ccmG//gspF//soxS//
CuerR-Au_pos	rhaB//evgS//
CusR-Pasp_pos	glpB//rutE//araF//katE//psiE//tehB//gpmA//yhjC//prs//dppC//guaB//rrsH//
CynR-Cyanate_neg	osmY//
CynR-Cyanate_pos	hcr//fecB//bamA//
CysB-N-acetyl-L-serine_neg	zraS//map//sroD//mlc//nagB//pflB//pgaC//
CysB-N-acetyl-L-serine_pos	yfbR//chbB//aroF//melR//glpR//yoaC//rbsB//xylR//psiE//fecE//csgG//waaH//malE//ihfA//aroP//ybdN//rhaS//argB//yhfA//cysJ//hisJ//katE//rrfB//
CysB-O-acetyl-L-serine_neg	umpH//lysC//preA//pgaC//lhgO//cpxR//ccmA//
CysB-O-acetyl-L-serine_pos	sbmC//nuoJ//uxaB//tnaB//ygiA//cyoE//argG//cydC//ccmH//rpsC//betA//hflD//ileT//mlc//hupB//cas1//nrdB//hmp//mutY//csgB//malE//chbG//cydA//ahpF//
DcuR-Phosphorylated_pos	hflC//appB//bglB//moaA//mhpT//bdcA//sbcC//marR//galT//
DnaA-ATP_neg	rpsI//paaZ//puuB//agaA//gatB//fdnI//ynfG//pagP//artP//moaB//yfeW//
DnaA-ATP_pos	rseC//yeiP//purA//purL//ahpC//ldtB//yfdV//
DpiA-Pasp_neg	ydfH//
DpiA-Pasp_pos	oppB//fecB//phoU//gntU//yegR//cyoA//artQ//modA//recF//fadA//
DsdC-D-serine_neg	ugpQ//
DsdC-D-serine_pos	purC//rpsP//
EvgA-Phosphorylated_pos	nikA//exbB//prpC//grcA//flhC//narH//hybB//feoC//glcA//ompA//caiA//tktB//tyrR//pyrD//hycC//
FNR-[4Fe-4S]2+ reduced_neg	malG//preT//tolC//ilvH//dmsC//efeU_2//tyrP//ilvG_1//cysB//hdeB//gatA//pflB//rrfF//katG//tehB//iscR//hyfA//cydB//dusB//hycC//ivbL//baeR//tsaE//hdeD//rplB//nuoC//talA//betT//paaA//paaC//yjeV//nuoF//ydhX//dusB//ompC//xseA//fhuF//mgtA//xdhB//map//tonB//fucO//rplC//exbD//allC//hybD//cysM//xapA//chbR//cbl//ssuA//tsgA//nanM//rrsG//ileT//rpsQ//araH//dpiB//phoU//livG//cyoB//malE//uxuB//ydhV//oxc//motB//fbaA//ilvE//rpmI//aroH//preT//alaA//folE//narG//sodA//fhuC//xdhB//gntT//cheW//gspH//nrfE//fimC//yeiP//pyrD//folE//glgA//yiaJ//glyA//lysC//fecI//glcE//prfA//cpxR//yhcH//gntK//tauD//hisM//tdcE//gspF//lacI//oppA//gutQ//gspE//citC//livF//yfdX//ygeH//qseC//srlD//gdhA//creA//soxR//argP//fixA//tyrR//hyfH//sdhA//acs//citG//metQ//
FNR-[4Fe-4S]2+ reduced_pos	malP//puuP//yqjI//sucC//mltC//gpsA//nrfC//hyaB//nuoJ//yaeP//yeiB//aaeX//ilvB//yecR//fdnI//cysM//purE//carA//ispE//putP//fixC//dnaE//ompX//focA//sxy//bcsA//fadJ//glnB//hyfG//tyrR//pstC//frdB//rplC//ycjF//fimE//nuoK//ssrS//deoD//dapB//psiE//ydiU//entC//dppF//mhpT//hypA//zraR//gatD//arfB//trpE//lysU//glpE//argT//cyoC//rpsQ//bioC//grpE//ompA//ilvG_2//puuE//aaeA//yeaD//bioB//ugpC//cydB//livM//napA//glpE//ssuA//focA//entB//ssb//borD//tdh//yciW//manA//dusB//argB//phoQ//ubiA//efeU_2//caiE//torD//dnaA//rrsE//pyrC//uof//amiB//ileU//nupC//hyfJ//hyfH//astC//ydfH//hdeA//rrlD//marB//dppB//gspC//yaeP//glgA//ubiC//glcG//ytfE//psd//rplM//stpA//oppA//allD//pitA//dcuC//arcZ//ygiA//aroP//fepD//glcA//gspO//xylF//amtB//galE//hybC//srlD//hupA//uxuA//ssuE//kbaZ//cpdB//oppD//narH//glpQ//glrR//gltF//cpxR//amiB//atoA//nrdF//sbmA//fumB//paaJ//puuD//ansB//araE//citE//gspF//appY//fecE//artJ//torC//astC//gspC//nfuA//emrK//fadI//yeiW//chbG//nrfG//purE//zraR//cysN//gspJ//glpC//nrdE//sucA//argP//ftnB//uxuR//trpC//nuoF//treB//malX//hycH//acrD//mhpA//rpmC//pyrC//moeA//znuA//astC//mntS//hycH//hha//mscM//gltD//lldP//chbG//napG//yhjC//ahpC//rutG//cyoC//nrfD//tdcD//rseA//bcsC//glgC//fucR//sucD//astE//uhpC//ulaC//prpD//glpD//glrR//
FhlA-Formate_pos	gnd//ydeM//psiE//ygiA//deoD//borD//sufD//malK//cynS//yoaG//ykgM//casE//araG//gltD//lsrF//cvpA//yeiP//ytfE//treC//gltF//hofM//ychO//purE//fecD//pitA//ileU//nrfB//phnO//bioD//malP//
FucR-L-fuculose-1-phosphate_pos	amn//gspK//amtB//tauD//cysA//sdhA//pta//
Fur-Fe2+_neg	tap//rseC//dnaA//lpxB//fliA//astA//nrfB//nagE//trpD//pstA//puuR//moeA//prs//borD//acrF//gatZ//hyaA//ssb//trg//hofB//rprA//nrdA//abgT//rhaB//rybA//dgcZ//malI//phnO//glyA//cueO//evgS//nlpE//alkB//aldA//gltB//nuoK//lsrC//glpF//galT//mgtL//ebgA//talA//nikD//atoB//narI//fimI//moaB//uxaC//rutC//trpL//trpA//tdcD//thrV//gltD//nikC//cysC//tauD//ompA//nupC//melR//yfeW//putP//argE//rpsS//nuoE//malE//puuD//malK//purE//rplM//melA//prmC//murQ//ulaD//gspJ//nlpD//marB//phnN//osmC//dcuA//ahpC//sufB//mntS//phoQ//hycI//hycC//acrB//katG//hemL//slt//ihfA//purD//tsr//azuC//nirB//gspH//metQ//hisM//waaH//ydeO//aceE//glgC//ilvL//ygiC//yoaG//malZ//sufC//prpR//gltV//trpD//sufB//sxy//uvrA//malK//avtA//kbl//ybiT//csgA//cyoA//cspD//phoR//rpsQ//garK//ssuB//
Fur-Fe2+_pos	fucI//cysG//hflK//fdnH//melB//chiP//acrF//lysU//iclR//znuA//idnO//appX//nanK//rpoH//dnaE//astE//yjiY//cysD//yciW//phnO//gdhA//caiC//pgpC//ascF//glnL//
Fur-Mn2+_neg	sufD//ychH//gatA//narG//ryhB//lacZ//rutE//cydA//cyaR//umpH//tyrB//srlR//speA//gltU//hlyE//nfuA//glcD//glcE//gltB//araF//mutY//serA//gspO//phnL//rrsA//mlc//hyfG//lysO//bioF//uraA//gyrA//leuE//puuE//glnL//gatA//hyfJ//malS//ilvM//glcG//trpR//purA//hofC//metN//gspM//sufS//fbaA//ampD//cspE//rrsE//hybD//lsrK//gadC//sufC//lacI//dcuC//rimP//pdhR//tdcC//zraP//galM//tcyJ//aldB//paaK//rimM//bioC//envZ//rbsR//crl//hofM//uhpC//artJ//purM//carA//rrfD//cyoA//livF//ilvA//narK//caiC//emrK//osmC//nirB//yeiL//ilvM//rrlA//uxuB//ysgA//nikE//dcuR//galP//ynfE//glcB//rplS//gspD//baeR//paaJ//ybfN//arcA//ilvM//rplM//rrlB//artM//atoE//bioF//prpD//rbsD//iscA//acnB//nrdA//glnG//galS//actP//fixA//lolB//tktB//metE//cysB//cyaA//ryhB//sdaA//acrD//gspC//livF//ydfN//
Fur-Mn2+_pos	hyaA//fucK//hyfC//efeU_2//yiaJ//fecR//rutC//rutD//cheW//ahpF//uxaC//dnaA//uidB//cysU//fhuF//nuoN//hofO//cysP//hybB//treR//mhpA//gatZ//dadX//fiu//hfq//
GlcC-Acetate_neg	lldP//
GlcC-Acetate_pos	upp//gadB//tehB//xdhA//prs//upp//
GlcC-Glycolate_neg	trpR//
GlcC-Glycolate_pos	chiP//ccmF//mtlA//qseC//psiF//mgrB//
GlrR-Pasp56_pos	raiA//
IclR-pyruvate_neg	truB//nrfG//raiA//glcD//
IdnR-5-ketogluconate_neg	cbl//rbsR//mglA//
IdnR-5-ketogluconate_pos	torR//fdnH//preT//citF//rrfG//
IdnR-Idonate_neg	hybG//nikC//feaR//
IdnR-Idonate_pos	miaA//rprA//ampE//grxD//alaA//
IlvY-2-acetolactate_neg	hyaD//
IlvY-2-acetolactate_pos	uidB//
IlvY-Alfa-acetohydroxybutirate_neg	fbaA//
IlvY-Alfa-acetohydroxybutirate_pos	fnrS//
IscR-[2Fe-2S]1+_neg	frdB//tsr//ileU//srlA//bcsC//agaV//murP//betA//oppC//malF//pheM//alaV//gabP//katG//degP//fadH//gatZ//araE//tap//waaH//fimH//ugpA//znuC//tap//alaS//zraP//mglC//atoE//rutG//yfaE//
IscR-[2Fe-2S]1+_pos	hcr//appY//nuoG//rnpB//ccmE//gntR//pgaB//livH//rbfA//livH//hypF//
LldR-L-lactate_neg	metY//cheY//preA//
LldR-L-lactate_pos	yjcH//nupG//betB//
Lrp-Leucine_neg	glcC//fecI//srlE//ung//aspA//yaeQ//trpA//mzrA//fadE//citF//ilvY//ptsH//napH//fecR//cstA//nrfF//nuoH//rhaR//fimA//yrbL//hcr//glpE//cydA//narX//ppiA//tcyJ//fimI//sdhD//fucO//dps//uxuR//carB//mtlA//acrE//galS//sbcD//argH//pitA//cra//oppD//dppD//fes//glpK//nikE//rutC//ugpA//yhjC//zraP//glpR//ompT//entF//treR//nanT//ampE//argI//fadE//agp//lamB//allE//cynT//hyfD//tsgA//xylG//nagA//gatA//araF//ftnB//yfdX//hmp//thrV//citG//cydC//norW//tsaE//glcG//
Lrp-Leucine_pos	sbmC//araG//dsbA//malI//ackA//yeaE//oppB//yccA//glpK//narJ//lamB//norW//envY//ulaD//fadH//dgcZ//casE//appY//mtr//ubiX//dkgB//trpR//tauC//yidQ//idnR//paaC//adhE//puuC//lsrG//dppC//nanT//galK//mhpF//pdeF//fhuE//
LsrR_neg	dppA//nuoB//tam//argA//hyfC//cysG//livF//astB//argO//
MalT-ADP-Maltotriose_pos	ilvN//glpT//oppD//nikR//dcuB//hycA//bioB//ivbL//glgB//ascF//
MalT-Maltotriose-ATP_pos	csiD//nrdG//ulaE//trpA//yneM//nanT//uxuA//pagP//malZ//fhuF//
MelR-Melibiose_neg	fnr//fdnI//dkgB//
MelR-Melibiose_pos	aceF//ileT//tktB//
MetJ-S-adenosylmethionine_neg	fimF//hofP//hisP//allD//spf//sucD//uidB//srlA//lysO//ada//ryhB//purC//pta//ilvE//fadB//
MetR-L-homocysteine_neg	acrA//citD//
MetR-L-homocysteine_pos	rrfC//ycjF//cysB//metB//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	hflC//gatB//citX//tktB//ysgA//borD//
MhpR-3HPP_pos	sodA//ompF//hyfC//evgA//glmY//phnO//
MntR-Cd2+_neg	nohA//csgF//cynS//srlR//
MntR-Cd2+_pos	xdhB//
ModE-MoO42-_neg	trpL//cas1//ilvB//tauC//idnO//lysO//nac//qseB//iraM//ytfE//recF//carB//oppF//nlpD//fixX//
ModE-MoO42-_pos	envZ//gdhA//yfiP//mzrA//ydhV//ccmH//sodA//gntR//bcsZ//nikD//melA//aceK//dcuB//znuB//rpmC//preT//phnP//cyoC//hha//entC//torC//ldtB//gadB//marA//prmC//nusA//degP//rplP//araJ//ydeJ//uraA//
NarL-Phosphorylated_neg	yjiY//osmY//hofB//yhjA//gspM//alkA//speA//fimC//rplW//rhaT//astA//cusR//puuD//cheY//gltB//uvrA//zraP//sucA//dppB//araF//icd//hyaC//trmD//ppiD//fimF//cysM//efeU_2//fepA//fadE//marB//ycjX//fixB//glcF//stpA//ftnA//envY//hofO//grpE//pheM//pgaD//artP//evgA//rpoE//hybD//cysH//uraA//dctA//iscS//lsrK//paaF//entA//gspC//zraR//ileV//puuD//malT//cheA//glpG//tyrR//grxC//glpR//gltF//mhpR//phnC//citE//nusA//cyaR//lpxA//hflX//tsr//uvrA//rhaR//bglG//glpE//ydfH//yhjA//rrfH//pgaB//mhpC//ydeP//tdcG//nagE//malP//marR//yoaC//melB//
NarL-Phosphorylated_pos	sxy//ynfH//ilvH//hypE//fadJ//rrfF//ydhW//fepD//argF//gatA//waaH//prfA//tdcF//modC//hflK//sucA//sbcD//gltW//malE//evgA//gltD//ssuB//ssuE//serA//fecE//nikA//cyoE//nanS//artQ//fdnH//fucI//dnaN//qseB//phnC//glnL//mcaS//oppC//ascB//tnaA//dpiB//nanC//rpsF//ccmC//paaZ//mgrB//ilvI//
NarP-Phosphorylated_neg	bglB//iscU//hyfG//entE//dps//yhjC//gspF//gcvH//hycD//nohA//purF//cyaR//argH//ychO//gltF//tyrB//nuoH//yjiY//tnaA//malG//fhuD//sodA//pstA//purA//napG//rbsB//hflC//rplI//rrlG//fecI//fhlA//ccmH//fadD//
NarP-Phosphorylated_pos	abgB//chbF//nrfD//guaB//malG//metI//rpsI//cadB//oxyR//trpL//rrlC//yqjI//srlB//aceA//galM//feaB//hisP//bglF//uxaC//idnK//purA//purR//nikD//nrdH//asr//gdhA//slt//aceB//tdcA//hypB//cyoB//dpiB//
NhaR-Na+_pos	hycD//fadJ//pck//ptsI//nikR//
NikR-Cd2+_neg	ugpC//gspL//evgA//citE//ilvN//fecB//
NikR-Co2+_neg	nanA//artP//nuoN//glpG//tyrR//gltW//
NikR-Cu2+_neg	ldtB//yqjH//ydeJ//rbsK//metL//ampE//
NikR-Ni2+_neg	aroG//cysH//gltD//hlyE//fepA//ampE//
NikR-Zn2+_neg	ugpQ//appX//gntP//rbfA//psiE//deoC//
NrdR-ATP_neg	gadC//dppC//fixA//katE//ybfN//aceF//hemA//rpsQ//dsdX//
NrdR-Zn2+_neg	tyrA//pgaD//rrlB//yegR//edd//nuoI//csiE//lacY//cyoD//
NrdR-dATP_neg	ulaA//chbA//crr//acnA//ykgO//fixC//lrp//phoQ//bcsB//
NsrR-[2Fe-2S]reduced_neg	dcuS//hyaF//raiA//moaA//paaJ//xdhA//tauB//ahpC//puuB//csgG//miaA//crr//metL//dnaN//argE//garK//sufD//araC//acrA//hofN//agp//gltV//yfbR//xapA//ydhY//ynfF//uxuR//crr//rpoH//iscA//sucA//glnD//hisP//sxy//frc//sdhC//nusA//nanS//rhaB//mlc//oppF//gadC//dsdX//appX//moaA//hyfI//pnp//cheR//fhuC//paaD//fecB//recF//nuoI//hofB//hybF//rbsD//trxA//trpL//fepD//prpE//mtr//borD//ilvA//gspL//gspF//pyrC//rplI//mglA//gabD//xylR//gcvT//yeaR//hflX//
PhoB-Phosphorylated_neg	cyoD//aspC//araH//cydB//edd//pgaC//metY//mgtL//prpR//mhpD//ilvD//rimP//amtB//
PhoB-Phosphorylated_pos	uxuR//aaeR//fecA//slt//nrdH//rdoA//hypE//agaW//rutB//yfdE//rplS//livG//artJ//rpsQ//phnG//bglB//rimP//hcr//cydD//cadA//ybdN//lacA//nuoL//rdoA//araB//yaeQ//galM//ygeA//hflD//fimA//dmsC//tauA//argC//hofM//dsdA//fecE//glcG//glgA//nikC//ydbD//ssrS//dadA//folE//fliZ//yeiB//purR//aceK//yfeW//mglC//copA//tauB//ydhV//csgD//
PhoP-Phosphorylated_neg	crr//marB//grpE//rpsO//sbmC//hcr//melR//bamE//rutG//glpX//gltW//
PhoP-Phosphorylated_pos	yccA//xylR//hybG//rbsK//rrlC//yfiP//cheA//argE//artJ//hybF//puuA//lacY//tdh//safA//rrlC//hybF//rybB//sohB//modB//yqjA//glpX//nrdF//rhaA//cynT//micF//acnB//cusR//uidB//uxaA//narJ//dnaN//fepA//copA//marA//tnaB//rhaD//yfdV//lpd//cpdB//phnN//treR//ugpQ//pheT//yeaE//narX//dppB//fbaA//spy//arcA//
PrpR-2-methylcitrate_neg	ilvN//
PrpR-2-methylcitrate_pos	uidA//tpx//betA//argH//
PurR-Guanine_neg	pstS//znuB//trpD//lsrC//dmsC//yiaJ//hdeA//casE//phnC//dctA//ccmG//metQ//focB//fepA//xylF//psd//rof//ssuA//alkB//ssuC//nikB//garL//puuA//katG//dppD//ilvG_1//nrfF//proP//malX//livJ//entE//ascF//nagE//betA//
PurR-Hypoxanthine_neg	glnG//cueO//nuoG//sufD//ydeP//prpE//rrlG//narH//folA//hyfR//hybO//artJ//purH//rpsR//tauC//allE//narH//astD//ygiA//focA//hybD//fadI//mhpR//hybF//ppdD//phnP//mtlR//psd//xdhC//fepA//nadC//guaA//hisP//phoP//
QseB-Phosphorylated_pos	nuoN//rpsO//ycjF//xylR//
RhaR-L-rhamnose_pos	artI//atoA//
RhaS-L-rhamnose_pos	modC//cysN//yfiP//
RstA-Phosphorylated_neg	chbA//murP//uxaB//gdhA//mglB//
RstA-Phosphorylated_pos	ygeH//lacA//araE//fadA//glpF//
SoxR-[2Fe-2S]3+ oxydized_neg	nanE//
SoxR-[2Fe-2S]3+ oxydized_pos	aceB//glcF//chiP//
TorR-Phosphorylated_neg	metR//
TorR-Phosphorylated_pos	bioD//hyfH//gltB//phnH//pgaC//mdtB//metQ//murP//rrsH//
TrpR-Tryptophan_neg	rhaS//ydeA//adiC//erpA//araB//fecC//araA//manY//purF//ssuC//xapB//manZ//
TyrR-L-tryptophan_neg	rplB//gatD//mglC//iscR//asr//qseC//glnA//dadX//caiD//malS//umpH//mcaS//
TyrR-L-tryptophan_pos	nohA//fes//sufB//
TyrR-Phenylalanine_neg	nuoC//rprA//dctA//paaI//ihfA//paaF//fadJ//feoA//ygiC//fimC//infB//pgaC//
TyrR-Phenylalanine_pos	fucR//ilvB//xylG//
TyrR-Tyrosine_neg	hybG//tnaC//rrlE//purL//ivbL//caiD//nikB//phoP//casD//carB//flhC//pstS//
TyrR-Tyrosine_pos	cynX//bcsA//yojI//
UhpA-Phosphorylated_pos	yojI//
XapR-xanthosine_pos	gutQ//fimG//
XylR-Xylose_pos	glgB//astE//phoE//caiB//glnA//pta//
ZntR-Cd2+_pos	fimC//
ZntR-Hg_pos	gntU//
ZntR-Zn2+_pos	glpR//
ZraR-Phosphorylated_pos	deoA//rseC//nuoE//
Zur-Zn2+_neg	evgS//hyfJ//dusB//araF//csiE//rplC//
