#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	glpG//lysP//
CRP-cAMP_pos	yfaE//grpE//raiA//tdcF//uhpB//hofB//pepT//napC//araB//hycA//nlpE//argH//rplV//frdA//puuE//nirC//pnp//lpxD//fimH//fumB//rplP//nohA//ydiU//rimM//hyfH//preA//cynX//deoA//eda//pgaC//csiE//fadL//tsx//ychH//nuoE//ydeJ//dppD//yqaE//yjiY//hyfH//sdhC//argH//purK//abgB//speC//ldtB//dps//yggX//rrsG//fumC//caiC//manZ//glyA//sdhB//nagE//murP//malG//cyoA//malF//citF//purB//sucD//cysM//ydhV//creB//metY//cysD//idnD//cadB//livH//zraP//hyfC//hfq//fhuD//speA//hlyE//prpR//ygiA//sdaA//gyrA//rpsO//yfeW//rhaB//norR//xapB//yfiP//fepG//ygiB//arfB//rimP//csgE//hyaD//nrdF//glgA//hmp//appA//ulaC//rplB//nanM//nanE//umpH//artQ//mscM//hofM//bcsC//dsbA//iraD//chbB//hofB//fis//caiC//phoB//hyaF//fadI//lacA//lysC//ulaF//malE//livG//hflC//ugpQ//amiB//ogt//fnrS//zntA//lhgO//frdA//ilvH//pncB//envZ//hybO//puuA//nrdE//puuP//bioA//glcF//thrV//cirA//sodA//marA//prpE//nusA//nrfA//fadI//fecE//deoC//ugpC//truB//leuE//trpB//tar//cusC//rbsK//patZ//tsgA//soxS//rrfH//metE//galP//livM//rpsP//fdnG//yciW//upp//manZ//ppiD//cydB//iclR//hemA//yeiB//artI//yccA//tdcG//rpsC//ytfE//moaA//lsrB//fepA//nrdH//hflC//entC//argI//alaU//agp//cynR//fumC//citG//dsdA//hypE//tktB//infB//hisQ//sufC//araH//uhpB//frc//puuR//argC//tsgA//yjeV//tdcD//rutE//mglC//aroM//purE//allC//fucO//phoB//gntK//rplS//focA//metE//tcyJ//rrfG//gatB//moeA//psiF//dmsD//aroA//nuoA//xapB//psiE//cysP//tpx//argR//mscM//ilvB//tauB//oxyR//uxuB//sucC//alkA//osmC//allD//nrdA//gspC//ahpF//cydD//fucA//mdtD//sdaA//hha//hupB//hypB//narJ//ydhT//argI//sufD//glyA//mltC//glnK//xdhA//fixA//aroM//glnD//micF//sufC//moaC//nrdH//norW//rbsA//nrdF//rrlB//nuoA//phnF//mtr//ydbD//lpxD//ssuD//xylG//rybA//mepH//melR//patZ//galK//nuoE//nuoF//ygeA//deoD//tolC//yciW//pepT//gspI//cusF//araB//bioA//cysU//narK//rimM//yhjA//cheA//rhaT//gspF//acrF//mgtA//dcuS//ykgR//ydeP//asr//osmC//bcsB//paaZ//napG//gatA//rbsR//ileU//fecE//mdtD//adhE//phoE//evgS//arfB//rbsB//rnlA//hcr//bioD//astA//deoD//murP//fdnI//trpR//narK//cyoE//cheA//psiF//cyaR//iclR//purH//ubiC//ycjX//acrD//garP//abgT//lacZ//hupB//mzrA//iscA//fdnG//gutM//glcD//purE//ilvX//gntT//rutG//dcuR//rbfA//cpxR//rutB//ugpE//hyfF//murQ//hyaB//grxD//ugpE//fucA//rstA//cheY//ileU//tnaC//ogt//nuoL//entE//cysP//patZ//rrlB//norR//creD//yaiA//thrV//cysK//aroP//ftnB//nrdE//sufE//aroA//soxS//acrB//yecR//cyoA//hemA//priB//adhE//livM//phnO//napD//nikE//nuoL//phnC//glmY//rrsC//fadH//dkgB//glpR//moaD//metR//ompT//entC//ydhX//marA//gatA//tnaA//grxD//ihfA//lacI//glgA//uxuA//lsrD//paaF//gltW//nrfC//chbF//fhuB//cueO//ampD//chbA//nupC//lsrR//nikE//hisQ//ileU//glpQ//nrdH//appY//entH//napB//mhpC//oppD//xylB//fecA//
ChbR-Monoacetylchitobiose-6P_neg	hofO//ysgA//moaC//moaA//cheW//hflC//
ChbR-Monoacetylchitobiose-6P_pos	fucR//epd//metH//hyaA//hisP//sroD//
CpxR-Phosphorylated_neg	torC//trg//lpxD//bioA//raiA//pgpC//paaJ//ldtB//hybE//fdnG//feoC//uxaC//purB//cheR//prpC//hycE//astB//fadD//paaA//phnJ//rpoE//gntX//pitB//gltB//
CpxR-Phosphorylated_pos	ynfK//ogt//ssuC//mgtA//sodA//bhsA//acrE//yegZ//phoP//melR//ygiA//yhjC//rbsC//qseC//ilvI//alaA//nuoN//dnaA//bioC//fnrS//hemL//glgS//allC//murP//nanA//acrE//nrfE//csgB//mdtA//mhpA//paaF//dadA//gcd//yggX//rplD//cysW//tfaQ//cadA//ydeM//paaK//hypF//rplS//spf//trpD//appA//
CreB-Phosphorylated_neg	sucD//uxuA//ydhX//
CreB-Phosphorylated_pos	bcsA//zraR//srlA//ileV//gspF//dmsC//
CueR-Ag_neg	glpX//araA//nagE//pheM//citG//
CueR-Ag_pos	znuC//phnF//
CueR-Cu+_neg	oppB//glnB//tsgA//rhaS//ccmG//
CueR-Cu+_pos	cusF//tauB//
CuerR-Au_neg	ydeM//yfdV//mtlR//deoB//emrY//
CuerR-Au_pos	cysJ//lsrG//
CusR-Pasp_pos	rrlB//paaA//bacA//mtr//nlpE//glcF//xapA//pyrC//deoA//iclR//mhpT//casE//
CynR-Cyanate_neg	dpiA//
CynR-Cyanate_pos	rutB//cysA//zntA//
CysB-N-acetyl-L-serine_neg	hemA//caiA//ccmE//yhfA//caiA//nmpC//ugpA//
CysB-N-acetyl-L-serine_pos	xseA//livF//ileU//abgT//csgD//rplT//rbfA//manY//metK//yeiW//znuC//mcaS//pdhR//rpsS//ubiA//copA//galE//dmsA//katG//hflD//focB//pstS//slyB//
CysB-O-acetyl-L-serine_neg	gpsA//gcvT//prfA//pdeF//hycB//modA//nanC//
CysB-O-acetyl-L-serine_pos	ynfF//qseB//metB//trpC//copA//cas2//pgaD//nikC//sufA//zraP//hyaF//fhuF//ydhT//aceE//ppdD//carA//chbB//ascB//nlpE//puuR//deoB//cydC//hfq//hycH//
DcuR-Phosphorylated_pos	hyfD//phoR//appC//evgS//umpH//zraS//cusC//dapD//bcsC//
DnaA-ATP_neg	rutA//fumA//katE//gdhA//grxD//rybA//glgP//ydeN//aroG//yaeQ//dcuD//
DnaA-ATP_pos	aer//uxuB//mntS//aceK//yjjZ//glrR//marR//
DpiA-Pasp_neg	thrS//
DpiA-Pasp_pos	ydeO//fdnH//frdC//phoH//narK//fepD//ilvB//aroG//moeB//hha//
DsdC-D-serine_neg	cpdB//
DsdC-D-serine_pos	cysA//fliA//
EvgA-Phosphorylated_pos	katG//malI//alaS//crp//gntT//cbl//pstA//malP//caiT//treB//motA//entA//manZ//idnT//ptsI//
FNR-[4Fe-4S]2+ reduced_neg	modA//appA//sxy//yjcH//ilvN//lysO//manA//hemA//entA//puuP//rplV//marA//alaA//grcA//paaF//tauB//yoaC//yhfA//fixX//rbsC//pdeF//artP//dcuS//rybA//metB//hofM//rseA//iscA//glcG//rrfA//ydhX//lldP//ssuB//argO//rpsQ//lysU//uhpA//cynT//lpxA//rseC//micF//glpG//hypE//casC//paaF//rpmC//csgA//gutM//gpsA//dadA//bioB//glgA//truB//moaC//hpt//idnR//fur//rpsP//dcuA//acrD//nrfB//ompA//ycjF//spy//exbD//nikD//ansB//fhuE//mgtA//ydeN//citE//lhgO//fhuE//glnB//casB//astB//metN//puuB//araC//bamE//ilvY//gcvP//argD//xylB//adiC//gspG//cas2//lrp//exbB//psiE//araC//treB//dctA//citG//nuoB//hybE//tyrB//hofO//phnK//mscM//ilvH//nlpE//fiu//yhhY//nanT//ybfN//cysK//nadC//araE//gatZ//serC//ompW//lsrK//puuD//aaeA//entS//flhD//soxR//fimF//arcZ//
FNR-[4Fe-4S]2+ reduced_pos	cusS//narG//tnaA//bglF//grcA//yfdV//puuD//rrfB//ilvA//ampE//rrfB//nuoN//lpxD//glgA//ssuA//cysH//oppD//pck//rrlC//ulaF//sdhC//xylR//rrfB//yegZ//fixB//prpE//glgS//qseC//dsbA//ykgR//ldtC//citD//nikA//garL//ilvN//oxyR//rrsG//tauB//iraM//phnE_2//treC//map//glpB//cysI//hycB//crl//emrY//ascB//dadA//purN//map//creB//ychH//tktB//fhuC//fhuE//kbl//nikC//ilvA//lysA//pstC//napD//yaiW//hyaC//rrsA//rybB//fixC//ugpC//proP//rutG//gutQ//oppB//araH//ubiC//guaA//fliZ//ebgA//phoQ//pflB//creB//hofC//hypF//dapD//manA//cusC//allC//nrfC//entS//cydA//fadI//ycdZ//iraD//paaA//hybB//arcA//artI//prpR//fixC//aldA//argF//fhlA//rbsB//dcuC//serA//idnK//rbsB//bhsA//nadC//map//cusS//nanC//yjiY//cpxA//glpR//rpsI//tam//trpB//sucD//csgF//cpxA//nanS//hmp//ccmH//caiC//cysI//trg//uof//glnK//hflC//yoaG//rpsS//ccmD//ycjF//uidC//tdcD//cpxR//rrlD//nuoM//phnJ//azuC//gapA//araJ//ykgM//uxaB//metE//malP//rstB//serC//ycjF//dcuA//marR//ilvE//lpd//creC//katG//betT//cynS//recF//phoR//cdd//pdeF//fadL//tehB//mgtA//paaB//hycB//fucK//arcA//flhC//paaA//purL//lsrR//ulaF//rhaR//stpA//arfB//cytR//glgS//ilvG_1//phnG//ndh//aceK//cvpA//hisP//hisP//sbcD//lysU//fecC//katE//mhpR//thrS//rnlA//ilvC//hybD//putP//yaiW//nac//fimF//pagP//cysU//hypF//yeaE//
FhlA-Formate_pos	hyfH//gntX//ilvD//allE//nagA//uraA//metQ//purC//cyoE//napG//cysP//envZ//pgpC//skp//araD//carA//yeiP//zraP//paaC//hofP//melR//mdtA//carA//feaB//uxaC//rrlB//argH//moaE//dadA//speC//
FucR-L-fuculose-1-phosphate_pos	pagP//paaK//napA//glgP//puuE//paaB//fhuC//
Fur-Fe2+_neg	cusF//hypC//gspO//dpiB//cysA//yhjA//ynfK//mipA//mhpR//artP//cynR//glpB//dcuR//mhpF//cyaR//glpT//uraA//murQ//sodB//pitB//ccmG//lsrD//napB//rpsI//tnaC//cydC//bcsC//dadA//araH//phoB//nlpE//trpL//rhaT//rutD//atoA//hdeD//xdhB//caiD//cadC//hha//phoA//glcC//hyaB//uidC//ilvN//comR//metY//yeiW//argC//malP//gntR//gntR//mdtD//metC//arcA//hisJ//manY//feaR//hyfB//crl//fecA//rrsE//fadH//casC//osmC//gabD//nanS//xylR//hypA//gabT//fepB//mntP//lysU//azuC//yfdX//nanE//glpX//phnJ//grpE//dppD//fiu//xylR//ssrS//hycG//rrfB//rutD//dadA//yaiA//manY//uxaB//hypF//fimH//alaU//tyrP//qseB//aroF//dppC//paaC//hyfH//rbsC//cusC//purK//argA//atoB//uxaC//citC//dppB//nikB//mutY//hyfB//rhaR//rhaR//betA//kbaZ//metY//paaC//rutE//fhlA//grpE//pstA//bacA//ybjG//grcA//rrlG//
Fur-Fe2+_pos	crl//rstB//tauD//nuoH//patZ//ynfE//adhE//entC//xseA//ydhX//cas1//rof//xseA//rrlH//mltC//slyB//astA//gltU//gatB//xseA//lsrB//nuoK//ccmH//ispE//trpE//
Fur-Mn2+_neg	agaW//feaR//rpsC//cynT//purB//ygeH//nikD//allE//lpd//dadX//prpB//gspM//argH//hyfC//atoD//rrfH//nuoN//paaZ//gadB//tktB//alaV//cspE//fimG//cysP//ytfE//zntA//envZ//gapA//fumB//citG//puuP//citC//bioC//alaV//metY//xdhC//lysC//manA//argT//nuoB//treC//ynfE//araD//uhpT//malX//csgG//sodB//glcC//yeiP//astD//uhpT//gntU//ykgO//purE//phnD//cysN//atoE//ygiA//emrK//argT//ydfH//marB//fimA//dnaA//cyoC//phoU//crp//malP//rplM//ubiC//rbsK//lpxD//tdcB//cueO//yeiB//hflX//fldA//tdcB//rpsC//xseA//ybdZ//mgtA//ebgA//pitA//sxy//lysC//hisP//torR//argC//rplB//hyfI//ygaC//rybA//uxuB//malE//gapA//galM//yjjZ//dcuD//feoB//entH//phoB//tyrR//nirB//tnaA//trpL//oppD//fhuA//puuR//mdh//hyaC//rybB//hdeB//sodA//malX//speB//napG//caiB//rplI//rplT//yhhY//cheR//ccmG//gspI//
Fur-Mn2+_pos	mzrA//pstB//fldA//speC//micF//napA//ahpF//chbR//ychO//rhaR//atoE//tyrR//puuE//mhpA//lsrG//tdcB//nrfG//hofB//torR//cysA//aceK//hofB//kbaZ//norW//rpsJ//
GlcC-Acetate_neg	yhcH//
GlcC-Acetate_pos	ygaC//dmsC//astC//sroD//caiB//astC//
GlcC-Glycolate_neg	ompW//
GlcC-Glycolate_pos	nikD//aceB//fucP//moeA//hybF//grxC//
GlrR-Pasp56_pos	ompT//
IclR-pyruvate_neg	rrsA//emrK//borD//umpH//
IdnR-5-ketogluconate_neg	araJ//dppD//ykgO//
IdnR-5-ketogluconate_pos	araF//melB//torA//fepC//mipA//
IdnR-Idonate_neg	yhcH//csgD//ubiA//
IdnR-Idonate_pos	hofC//cynT//xdhA//chbB//ahpC//
IlvY-2-acetolactate_neg	folE//
IlvY-2-acetolactate_pos	fdnH//
IlvY-Alfa-acetohydroxybutirate_neg	rbfA//
IlvY-Alfa-acetohydroxybutirate_pos	zwf//
IscR-[2Fe-2S]1+_neg	dcuC//rhaB//gadB//gltV//rseC//dmsB//rdoA//rstB//fhuE//ilvG_1//bioF//sucA//ygaC//artJ//uvrA//rplW//ung//dppB//uof//abgB//tsgA//lldR//rybA//phnG//hybG//glpT//feoB//gcvH//metC//gspG//
IscR-[2Fe-2S]1+_pos	agaV//csiE//glgS//tsx//cydA//serC//fdhF//csgD//rseB//lrp//chbC//
LldR-L-lactate_neg	ygeH//gntU//serC//
LldR-L-lactate_pos	narH//cydD//phnO//
Lrp-Leucine_neg	ydeM//prpR//infB//fucI//glnD//sodB//ybdZ//hofB//chbC//appC//fepB//ilvD//cysM//ilvG_2//cheZ//caiD//fhlA//phnP//ybjG//rcnA//pdhR//mglC//cheW//nanA//fimE//hyfI//bioC//dppC//rof//ppdD//creB//cpxR//proP//yedX//fixX//mdtB//xylG//dctA//dmsB//ung//tdcC//fau//folA//rhaD//mgtA//purR//ydeP//xylR//tsx//deoD//aceB//acrE//sxy//metB//fecA//mglA//hha//slyB//phnE_2//nuoB//hyfA//tktB//yeaR//caiA//nuoK//ubiG//dapB//phnH//arcZ//rseC//psiE//melB//uidB//gspH//cyaR//
Lrp-Leucine_pos	ygaC//ydhV//ssrS//qseC//hydN//phnL//chbR//nikD//fhuE//cueO//idnK//grxC//glgX//bglB//ydhT//gutM//pflB//gspF//ydfH//bdcA//cheW//cysD//xylB//pdeF//ygiA//gatZ//glnD//dmsC//polA//ccmE//phnP//ydbD//idnD//dps//rhaS//
LsrR_neg	caiD//phnO//psiE//citD//zraS//metL//upp//hdeB//avtA//
MalT-ADP-Maltotriose_pos	agaW//znuA//aaeX//csgD//araH//gatC//srlA//yoaG//rpmC//yfeW//
MalT-Maltotriose-ATP_pos	ptsH//glpR//sdhC//gyrA//ydeP//modA//trpB//bdcA//hycH//proP//
MelR-Melibiose_neg	prpE//lysO//nirB//
MelR-Melibiose_pos	cueO//tnaB//hdeB//
MetJ-S-adenosylmethionine_neg	cysW//argC//ugpC//phnJ//rhaT//citF//garK//betB//galP//lacI//sdhB//ygiB//nrfD//phnD//rplI//
MetR-L-homocysteine_neg	znuB//ssuD//
MetR-L-homocysteine_pos	rrsB//rrlB//paaK//ahpF//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	norV//ackA//yjcH//aer//cysP//yhiD//
MhpR-3HPP_pos	yqjA//dnaE//tauB//mdh//srlB//ydeA//
MntR-Cd2+_neg	envZ//rrsD//cynS//alkB//
MntR-Cd2+_pos	malZ//
ModE-MoO42-_neg	rhaD//rrlE//hdeA//xapA//oppF//codA//fepA//motB//priB//udp//ccmH//cydD//flhD//pdeF//fimE//
ModE-MoO42-_pos	eda//dmsD//murP//narQ//metN//fadL//narX//napA//trpE//narL//hycG//argP//metK//malY//alaA//phoH//mhpF//rpmI//glpD//nagC//hyaC//cynT//efeU_1//zraP//creC//guaA//actP//codB//safA//dapB//nadC//
NarL-Phosphorylated_neg	sucB//mntH//rstA//murQ//ygeA//sufE//marA//soxR//talA//sdhD//ykgR//rstB//exuT//dsbA//degP//mpl//nrfD//ilvC//hcr//tsr//mtlR//uxaC//uhpA//umpH//cysK//glpB//casB//mhpA//mglA//chbB//livH//secB//glgB//deoD//focB//napF//trxA//puuB//casA//yeiL//ccmD//paaH//ynfK//dps//bdcA//dcuR//oppF//moaD//glpB//pagP//aspC//betB//ycjF//pta//fiu//trxA//agp//entH//cheY//lacY//fecA//csiD//dcuB//tcyJ//fumA//tauD//feaB//yfiP//uhpC//gspD//glnB//yeaR//hcp//yhhY//ftnB//ynfF//prfA//fhuD//rplI//glyA//ptsH//ldtB//galP//ssuA//modA//gutM//
NarL-Phosphorylated_pos	rseC//bcsZ//cusB//ilvI//nupC//fepA//pheM//rrfH//spf//nanT//rcnB//nanM//fecB//yjjZ//lysU//hybB//yaiA//appC//acrA//hybA//dmsD//ulaE//hofP//soxS//yccA//hyfI//dusB//pitB//fdnI//trpC//umpH//feoB//oppC//citC//gntP//ptsI//mlc//recF//aer//acrA//mntP//gltU//feoC//tdcG//hyfR//lhgO//
NarP-Phosphorylated_neg	ihfA//citF//tdcC//gntT//norV//prpC//pstA//fimF//hybD//argT//rbsB//rnlB//atoA//cas1//dnaE//ydhT//hybC//ybfN//envZ//iscU//hycB//ulaA//abgT//cysC//rstB//narQ//rrlE//uxuR//focA//nrdF//preT//aldA//xseA//
NarP-Phosphorylated_pos	mdtA//feaR//ccmC//hyaC//cynX//agp//mdtD//yjjZ//cadC//rrsA//agaW//stpA//fucI//yeiB//hybD//nupC//fecD//nagA//dcuD//dmsD//glgX//slt//manX//fucU//actP//yedX//ascB//yqaE//ycjF//nuoA//fecE//cysJ//
NhaR-Na+_pos	trpC//nikD//eda//yqjA//kbl//
NikR-Cd2+_neg	nlpE//phnI//carA//pitA//metF//napB//
NikR-Co2+_neg	ychO//cydA//puuB//tyrA//ubiA//gatA//
NikR-Cu2+_neg	arcA//argI//pta//ilvH//abgA//fepB//
NikR-Ni2+_neg	mzrA//murP//citF//gspH//casE//xylR//
NikR-Zn2+_neg	deoB//glyA//ccmG//oppC//cysJ//feaR//
NrdR-ATP_neg	rrlE//aaeR//nikB//nuoI//xapA//treB//betT//gltB//lrp//
NrdR-Zn2+_neg	puuC//cspD//ompX//cpxR//paaJ//prmC//rplI//lsrF//galP//
NrdR-dATP_neg	csgA//tnaC//upp//lysP//entH//marR//hha//malK//rrfA//
NsrR-[2Fe-2S]reduced_neg	narH//fdnH//acrF//fadH//napD//aroH//rdoA//mpl//srlA//entC//umpH//cyoD//astD//csgC//zraR//pflB//acrB//mgrR//phoH//mglB//actP//entS//mntH//fadE//glpQ//codA//xylG//emrK//treC//narQ//yegH//folE//gntK//hyfC//ulaF//gspK//phnC//malE//yhjC//araJ//marR//citC//glmY//hyaD//ung//artJ//ugpB//agaW//cheR//hcr//araB//motA//narI//tomB//paaI//grcA//nrfA//metN//betA//bamE//rrfD//appY//yfdE//trxA//trpC//rplV//lsrB//nmpC//fecR//purH//fecB//ahpC//yfdE//
PhoB-Phosphorylated_neg	agaV//cvpA//hyfH//dadA//nrdA//narL//modC//rbsD//yfaE//araB//sdhB//mhpR//cpxA//
PhoB-Phosphorylated_pos	hdeB//gspK//uidB//entD//uhpA//ompF//glcA//frc//yhcH//phnE_2//hflC//sohB//yggX//ivbL//srlR//purC//amtB//arcZ//trpE//cvpA//mhpE//narQ//glcF//tauD//cas2//hflX//crp//artJ//flhC//yfdE//citE//entS//glpA//hyfG//yqaE//napG//tomB//yfaE//idnK//paaE//ccmG//fecE//aaeB//tauB//rplV//aaeR//ptsH//iclR//gapA//ulaD//hemL//phnD//pgaB//
PhoP-Phosphorylated_neg	yfaE//fau//fecB//phoR//cusF//pstC//tpx//nanS//yqjI//araJ//rrfG//
PhoP-Phosphorylated_pos	purB//cysI//nlpD//dgcZ//cysN//lacZ//entD//bhsA//phnO//entC//spf//dcuD//rrsG//sdhA//araB//lacZ//uxuB//eda//gspD//aidB//aroF//cynT//fucR//mntH//hybC//talA//iscU//norV//galE//ynfE//napA//puuP//glpF//paaD//araA//trg//hisP//fdnH//malQ//fadE//trpR//chbG//metY//ilvE//tsaE//nrfF//ilvN//hypA//priB//
PrpR-2-methylcitrate_neg	tdcB//
PrpR-2-methylcitrate_pos	yegH//ssuD//phnF//cirA//
PurR-Guanine_neg	purH//rutB//cirA//rrsH//rrlH//hyfJ//hisQ//moaA//tolC//znuB//modB//aroL//appA//tyrB//napD//lamB//gatZ//lsrK//metR//ilvA//gspH//cusR//tdcB//ompR//miaA//zraP//lsrF//narG//uxuB//speC//glpB//miaA//betA//uraA//
PurR-Hypoxanthine_neg	paaC//trpB//yqaE//chbC//lysA//gspC//deoC//rpsQ//cysH//narI//metK//argE//ydhX//putP//udp//rrlD//iclR//hybO//argA//argH//dcuS//yeaE//rrsB//rstB//csgE//narX//nfuA//lysP//xylH//hyaB//fucI//ompW//ubiG//gltU//
QseB-Phosphorylated_pos	crr//glpE//metL//rutD//
RhaR-L-rhamnose_pos	hofN//bdcA//
RhaS-L-rhamnose_pos	ychH//motA//rplS//
RstA-Phosphorylated_neg	fadE//hupB//ynfE//paaB//trpL//
RstA-Phosphorylated_pos	aceF//dsdX//cysU//hyfI//creA//
SoxR-[2Fe-2S]3+ oxydized_neg	ogt//
SoxR-[2Fe-2S]3+ oxydized_pos	yqaE//phnH//ynfF//
TorR-Phosphorylated_neg	pgaC//
TorR-Phosphorylated_pos	nikD//cynS//mdh//priB//cysB//csgG//narJ//chbA//avtA//
TrpR-Tryptophan_neg	pncB//tdcB//gltB//creD//fdnH//envY//rplV//galE//mdtD//hyaA//dgcZ//ynfE//
TyrR-L-tryptophan_neg	glnA//argT//purB//rplS//ldtB//fepE//hyfF//ebgC//ryhB//gadC//cusF//gltT//
TyrR-L-tryptophan_pos	rybB//fldA//aceF//
TyrR-Phenylalanine_neg	ilvE//torR//paaC//dmsC//znuC//ompA//oxyR//argB//rrlD//hupB//malK//hofC//
TyrR-Phenylalanine_pos	bioC//idnT//borD//
TyrR-Tyrosine_neg	nikB//ilvH//hslJ//garL//nfuA//lysC//cydD//metN//dcuC//amn//entH//cusA//
TyrR-Tyrosine_pos	paaH//dcuR//phnF//
UhpA-Phosphorylated_pos	lysO//
XapR-xanthosine_pos	yrbL//ykgM//
XylR-Xylose_pos	yggX//skp//gntR//ysgA//fucA//focA//
ZntR-Cd2+_pos	sodB//
ZntR-Hg_pos	epd//
ZntR-Zn2+_pos	citD//
ZraR-Phosphorylated_pos	cra//flhC//lhgO//
Zur-Zn2+_neg	gspL//sufD//preT//chiP//nlpE//gspI//
