#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	paaC//ilvD//
FNR-[4Fe-4S]2+ reduced_neg	hypD//csgF//prpB//aroA//trpE//gltT//leuE//ftnA//phnG//mcaS//carA//dnaA//astB//ulaB//nagA//ppdD//cyaR//ybiT//fhuE//fdnG//appY//malI//hemL//lamB//fucA//casA//dppD//glgC//ynfH//dppB//lsrF//truB//xseA//pitB//torR//rseA//glgB//xylA//fadA//hisQ//hdeD//hofP//aroG//rhaA//hdeA//gabT//cas2//glcE//fecE//yjeF//cas1//ydeJ//manZ//tnaA//safA//pncB//ydhU//fimC//nadC//argB//purB//ydeA//gatZ//fucA//chbR//gspC//melR//fliA//ydeO//ynfH//sdhC//hycC//deoB//ackA//ubiG//fhuB//deoB//hofC//dnaE//napB//lysO//nuoM//lrp//lolB//feaB//narJ//mdtC//gspG//ebgC//tdcC//tdcD//agaV//yfdX//entA//osmY//ytfE//recF//tolC//ydeO//moeB//hycF//ydhU//yneM//gltD//argI//tsx//metE//cdd//gatY//qseC//dnaE//ydhW//citE//amtB//yfdX//rplI//garL//pgaB//manA//iscA//
FNR-[4Fe-4S]2+ reduced_pos	nuoG//creC//nrfA//tehB//ccmG//yqaE//narJ//puuA//appX//cspD//adiC//spy//cynT//napG//ychO//hyaE//oppF//xylR//lldP//ygiA//pdhR//ugpQ//allE//manA//fecI//uxuR//aceB//livJ//nrdF//cydC//rrfA//uhpT//astC//ompX//rpsI//hypF//cusF//yneM//cyaR//rcnA//ppiA//ppiD//pgk//sdhC//torD//tehB//nuoL//glpA//dapB//dppA//gatD//ilvG_1//lacA//xylF//hofM//acrA//cpdB//frdB//sohB//fumC//fimC//dsdX//glcD//glcE//exbD//tam//ydbD//nrfG//astC//rrlG//lsrK//casA//metE//abgB//ynfF//nrfF//tdcG//rplD//rutG//rrlA//fixA//appX//oxyR//acrB//rhaD//moeA//hyfJ//paaF//phnD//moaA//glcE//dps//chbR//ftnA//dnaA//ugpQ//aceF//crr//fucA//tdcF//cysP//ompR//kbaZ//argO//entC//bioC//nagE//cysA//tsx//oppA//trpD//frdD//rrlB//hemL//alaA//nrdA//rutB//rpmC//psiE//dctA//fdhF//gltW//gpmA//nanS//phnD//livG//rplC//dapB//phnH//ftnB//rutF//nanC//adhE//pgaB//bioA//csiE//phoQ//hyaF//mhpT//cysA//speB//cueO//yedX//sucD//prpD//ynfH//baeR//acrF//arcA//acrA//yedX//mzrA//rbsK//tauB//nanM//nuoB//fucA//phnH//cydC//sucD//gltW//rseA//hypC//mlc//comR//ydeN//cysN//cvpA//lolB//amiB//paaA//rbsC//torA//cirA//pta//gatA//ybiT//hemL//purA//kbl//xdhB//fucO//gatB//sbcC//fnr//degP//guaB//ychH//ulaB//pck//phnJ//ppdD//trpD//trxA//fnr//nanE//fumC//purE//mgrB//ygbA//rrlA//appX//
FhlA-Formate_pos	rrfF//hycB//pgaC//fliZ//sufB//envZ//fecI//phoB//mgrB//hupB//mgrB//ykgO//hybC//ilvG_2//bdcA//yjeF//torR//cadA//hyfE//rrsD//baeR//ilvG_2//uxaB//torD//nikR//gatY//yfeW//gntT//nohA//yhcH//
FucR-L-fuculose-1-phosphate_pos	caiB//gspD//aceB//tadA//ogt//frdA//zraP//
Fur-Fe2+_neg	araE//tktB//ycjF//pitB//trpR//pck//mglC//cynT//creD//purN//malY//manX//malP//dnaN//metE//purA//caiT//cytR//phnC//entS//caiC//moeB//glnL//baeS//argE//uhpA//ileU//nuoM//malE//xylA//glgS//sdhA//hofC//nrdA//mglB//rplT//hdeA//prpC//ulaC//sroD//ilvX//focA//puuR//fliA//metE//mgrR//gspO//atoE//map//glcF//frdB//paaE//idnT//ompC//rrsE//citF//stpA//grpE//metI//ydeM//acrD//sxy//galP//csgC//dppB//gpmA//betT//fimE//hybE//hofC//oxyR//hyaB//moeA//mhpA//csgA//nlpE//ydiU//yaeQ//garK//nrfB//pheS//codB//sucB//glnL//ispE//nanE//glpE//cusF//tauC//stpA//ulaA//sodB//uraA//glnG//dppB//hyfB//sufA//tsr//nrdG//aceE//alaV//astA//entA//purD//cysG//cysJ//tyrR//iclR//ilvI//glgA//amn//yjjZ//hflD//aldA//map//crr//glpR//trpC//exbB//nupC//udp//araD//hyfH//tolC//
Fur-Fe2+_pos	sbcC//citC//oppA//uhpB//fes//yoaG//ychO//soxR//umpH//yhhY//yidQ//yaiW//glnA//grxC//baeS//agaA//purD//pepT//ileT//nagB//glgS//ydfN//exbD//fimC//hofM//
Fur-Mn2+_neg	araC//yjjZ//trg//aaeA//flhC//betT//dctA//rnhB//puuD//rpmC//nrfD//phnD//uidB//mhpD//fecE//ilvA//puuD//argA//rbsB//katE//rhaT//aspA//priB//tap//rpsQ//caiD//aceK//gcvT//guaB//malX//pyrC//entF//serC//mlc//sufB//gatB//rutE//hybA//cbl//hycH//pyrC//nrdE//srlD//ilvL//yibN//srlR//cusA//argO//phnL//gspO//alkA//rhaR//rrsA//nuoN//napF//csgC//rnhB//phnC//gabP//yeiL//glgB//araH//pnp//sdhD//tdcD//napD//cysK//appA//acs//mhpR//cydC//idnR//yhcH//cysA//cyoB//aidB//hycE//ubiA//mepH//tar//gabD//ykgO//sdhA//mtr//ulaE//garR//cheZ//sufC//moeA//ppiA//recF//glrR//guaB//amiB//glcA//glgS//acrB//alaS//mhpR//rrsB//hyaF//malF//purD//hofM//dcuA//xdhC//appC//bdcA//pstB//ftnA//cysC//cytR//cra//narG//acrA//puuC//hmp//narK//arcZ//alaS//hycB//lysA//gntX//abgB//
Fur-Mn2+_pos	ygiB//appB//ccmF//cysK//rof//tonB//ppiA//serA//stpA//fdnI//hisQ//glpF//malQ//idnT//sxy//sohB//fixA//argO//araD//gltD//pgaC//argF//bioF//argT//hdeA//
GlcC-Acetate_neg	xapA//
GlcC-Acetate_pos	cysA//prpE//garR//metH//dppC//rrlD//
GlcC-Glycolate_neg	cydC//
GlcC-Glycolate_pos	ahpC//mgrB//gltF//purL//iscR//ychO//
GlrR-Pasp56_pos	hypC//
IclR-pyruvate_neg	purR//paaD//sufB//pyrD//
IdnR-5-ketogluconate_neg	cyaA//aaeA//yhjC//
IdnR-5-ketogluconate_pos	ycjX//aroF//narX//tolC//malX//
IdnR-Idonate_neg	nanS//glcC//hyfE//
IdnR-Idonate_pos	dctA//fldA//arcA//bioF//gcvT//
IlvY-2-acetolactate_neg	abgB//
IlvY-2-acetolactate_pos	safA//
IlvY-Alfa-acetohydroxybutirate_neg	chbB//
IlvY-Alfa-acetohydroxybutirate_pos	pgpC//
IscR-[2Fe-2S]1+_neg	dpiB//araD//csgF//phnK//ygaC//xapB//ndh//ada//argD//rpsC//rpsO//ydbD//crr//cirA//folA//nrdA//purE//manX//bdcA//nrfB//gadC//lysC//prs//acrD//glcB//yhiD//nuoL//glpQ//adhE//fhuD//
IscR-[2Fe-2S]1+_pos	dapB//glrR//betA//aroH//iscU//cstA//cpxR//nikR//hyaD//glrR//ynfH//
LldR-L-lactate_neg	trpD//ilvA//ndh//
LldR-L-lactate_pos	trg//allE//ilvE//
Lrp-Leucine_neg	sroD//ompT//paaH//pdeF//phnO//yidQ//ilvY//nuoH//chbB//casA//purK//thrS//trpE//nuoA//glcD//avtA//hisQ//lpd//hyaE//ptsG//bglB//garP//rof//pflB//dppF//tcyJ//baeR//cyaA//ileU//ydhV//rnpB//oppC//rrfF//degP//prpC//pgk//paaG//zraP//hdeD//trg//nuoJ//pitB//gspG//tonB//manZ//yaiW//dmsD//feaR//napC//araB//puuB//grpE//phnP//rplS//yhjA//cyoB//hslJ//hofN//ptsH//ebgC//phnE_1//hycF//pitA//astC//exbB//yjjZ//galK//uhpT//ccmD//gcvT//feaR//malY//dppB//livG//tehA//
Lrp-Leucine_pos	hemL//cyoB//gatZ//mhpA//rrsG//fucR//gspE//manZ//phoR//yibN//rrsH//atoD//yciW//ynfE//rpsF//fucU//rbsC//glcA//chbG//dmsC//bioF//mtr//grxD//rrsG//abgT//serA//purR//tauA//rpoS//fabZ//deoB//truB//fixB//phnD//hypF//
LsrR_neg	chbG//glnB//dppC//cydC//amn//rplB//gatZ//rbfA//ompX//
MalT-ADP-Maltotriose_pos	modA//fepG//fnrS//napH//lpxB//ugpC//gntU//rrsG//acs//ilvG_2//
MalT-Maltotriose-ATP_pos	treC//cheA//mhpD//narH//rplS//fumB//hyfC//yfeW//gyrA//fliZ//
MelR-Melibiose_neg	epd//phoR//cheW//
MelR-Melibiose_pos	narI//phnF//lamB//
MetJ-S-adenosylmethionine_neg	icd//cusC//uof//nuoJ//citC//napA//hycG//znuB//ychO//sroD//tsgA//micF//yhcH//borD//nuoH//
MetR-L-homocysteine_neg	ygaC//mutY//
MetR-L-homocysteine_pos	torR//rplD//yhjA//prfA//
MhpR-3-(2,3-dihydroxyphenyl)propionate [DHPP]_pos	chbC//nrfB//nikB//upp//dcuS//argO//
MhpR-3HPP_pos	rybB//malF//hyaE//narG//fimD//crl//
MntR-Cd2+_neg	rof//psd//cadA//iclR//
MntR-Cd2+_pos	csgG//
ModE-MoO42-_neg	deoD//idnK//mdtA//phnH//nanK//yiaJ//soxR//crp//nikD//rhaD//ybiT//slt//qseC//ilvH//hlyE//
ModE-MoO42-_pos	cydB//ynfF//glgB//glpC//rutE//puuR//nrdI//speA//ompF//ilvG_2//degP//mhpC//tauC//ssuB//fliZ//miaA//cas2//gspI//galP//glnL//dppF//artP//marR//nuoH//alkB//adiC//ulaA//aspA//nanT//fadE//tauA//
NarL-Phosphorylated_neg	puuA//rpsQ//hcp//alaA//rhaB//tdh//narI//rrlH//rutE//lysO//emrK//xylH//malK//gcvH//ydfH//rutE//livM//metR//ulaE//tnaB//nlpE//sohB//fecE//manX//iscU//nlpE//fumA//upp//yfdV//dmsA//ccmC//phoQ//adiC//mntS//lldR//idnK//agaV//dpiA//allD//flhD//dnaA//yebE//entB//ahpF//csgD//hyfB//entH//abgT//livJ//znuA//fiu//trxA//abgT//creD//sufA//hybF//hdeD//fimC//rbsA//yrbL//mzrA//sdhC//evgS//yggX//cheZ//dmsB//napB//rpsC//pgpC//hcr//frc//cysC//rhaS//ispE//bamE//ebgC//icd//hisJ//rplW//yibN//hisQ//paaK//phnE_2//gntK//cysB//glgP//
NarL-Phosphorylated_pos	hyaD//nirD//yiaJ//cyoA//efeU_2//murQ//mtr//rnhB//mdtC//gspM//rstB//paaI//motB//bhsA//hybF//truB//sdhD//aroL//gltF//yeaE//nuoJ//fecD//nuoG//nuoL//cbl//envY//pyrC//rrfE//katE//phnP//alkB//puuP//carA//phnM//pgaB//leuE//cysU//yoaG//glnK//fucR//yccA//amtB//soxR//fixB//ppiD//metI//
NarP-Phosphorylated_neg	tauA//prpE//uxaB//nuoF//mipA//ulaF//amn//rrfD//rpsI//malY//motB//dkgB//nrfB//gatD//ydhV//dnaE//mltC//slyB//tauD//acrA//yhfA//tadA//arcZ//phoU//chbC//cadB//hypA//deoD//ileT//tnaB//lysU//malQ//cysK//
NarP-Phosphorylated_pos	phoB//agp//trpL//rof//abgT//motB//phoR//osmY//rpsS//fhuB//infC//ilvN//gspF//lhgO//dkgB//torR//glpK//oppD//paaH//yhfA//bcsB//puuA//tauA//hyfI//arfB//purR//yjeV//hycB//yeaE//artJ//lpxD//ssuD//
NhaR-Na+_pos	pagP//glcD//mhpT//modC//cheY//
NikR-Cd2+_neg	fimG//tfaQ//entB//yjeF//udp//glpA//
NikR-Co2+_neg	hofM//casD//narI//asr//glpK//nikE//
NikR-Cu2+_neg	gspM//aroA//ubiG//fixC//cheZ//gpsA//
NikR-Ni2+_neg	psiF//rplI//ftnA//leuE//tdcD//infB//
NikR-Zn2+_neg	frc//rrlC//fimC//tnaB//malQ//hofN//
NrdR-ATP_neg	baeR//phoH//trmD//ascF//moeA//ynfK//cheB//iscR//aldA//
NrdR-Zn2+_neg	acrB//paaC//rmf//aaeR//frc//ulaF//fhuD//gspE//hypB//
NrdR-dATP_neg	yhcH//mdh//rutG//yhcH//hfq//ybdZ//hisQ//uof//modB//
NsrR-[2Fe-2S]reduced_neg	tdcD//xylH//yoaG//slt//mutY//acnB//hybO//nanS//lrp//pyrC//fepE//glgC//bglB//cheW//ftnB//uidC//mtr//pstB//hybF//nuoA//cas2//ftnA//moaB//hofN//melA//dnaE//tcyJ//garR//ilvG_2//feoB//nrdA//narI//nrdF//mhpC//bacA//allC//xylG//nrfA//citC//ogt//pyrC//ampE//sufA//tdcB//bacA//rnlB//hdeD//tyrP//malY//rrfB//glpD//allE//aroH//ada//cheY//ssuB//narQ//yeaE//paaB//cysW//glpQ//paaD//fimG//iscA//pepT//csgB//hofC//uxuB//hisP//rutG//bcsB//fucK//gspM//
PhoB-Phosphorylated_neg	preA//citD//fixC//yfdE//phnH//moeA//acrD//tolC//hupB//rrsD//pitA//ycdZ//hyaB//
PhoB-Phosphorylated_pos	fadH//cas2//sufA//cysM//betT//agp//mdtB//dcuA//aroF//galE//araG//trpB//purR//pepT//rpsO//fixC//hpt//xseA//edd//lhgO//nrdI//yaiW//agaA//ydeJ//mtlD//entD//fucK//rplC//pheS//uxaC//hfq//nuoK//appY//rplP//mhpD//phnH//purB//sucA//glcD//skp//argA//cysP//proP//lacI//moaE//cusS//malZ//gspC//glpA//norV//gspG//grcA//uidB//
PhoP-Phosphorylated_neg	hofB//nrdB//dusB//torD//cynT//araF//fepC//ytfE//hybE//glcE//ugpA//
PhoP-Phosphorylated_pos	cusB//sufA//cheR//fhuB//paaA//csgC//ynfK//feoC//recF//nrdH//ansB//glpX//napA//fhuD//rrsD//cysK//lldD//yhfA//nikD//hflD//dcuC//rpoE//phoU//citD//marR//mntP//cadC//malI//hpt//nadC//ydhY//nfuA//rnhB//lysO//gpsA//puuR//fecB//spf//rpsP//fdnI//oppA//gatB//oppF//deoC//oppA//fecA//sufA//glpC//srlR//
PrpR-2-methylcitrate_neg	iraM//
PrpR-2-methylcitrate_pos	tar//actP//tsgA//rutE//
PurR-Guanine_neg	gadC//oppC//phoU//ftnB//araG//rpoH//nuoC//nmpC//lrp//paaI//appY//dpiB//entD//rrfD//fepG//pgaC//cusR//ansB//fepD//iclR//argD//rseC//yecR//fucR//cydA//rybB//ykgM//gcd//mglC//glpC//ykgR//crp//creA//dnaA//
PurR-Hypoxanthine_neg	mdtB//hycD//gspI//alaS//ftnB//srlA//tehA//uidC//cusF//katG//yibN//ydhW//yqjI//glpT//yfiP//ygeA//nohA//ydhT//araE//ileV//bcsB//mdh//gabP//appA//abgT//hypD//fadE//nac//yjeF//glnB//gdhA//artP//yegH//hypF//
QseB-Phosphorylated_pos	betI//artQ//paaF//citX//
RhaR-L-rhamnose_pos	nuoN//hybE//
RhaS-L-rhamnose_pos	nagB//fixX//uxuB//
RstA-Phosphorylated_neg	fliA//dctA//hyfG//purC//uhpC//
RstA-Phosphorylated_pos	gspH//sdhC//yeiP//gltA//dcuB//
SoxR-[2Fe-2S]3+ oxydized_neg	comR//
SoxR-[2Fe-2S]3+ oxydized_pos	yeiB//livJ//ssuE//
TorR-Phosphorylated_neg	bioA//
TorR-Phosphorylated_pos	glgC//csgB//cusS//mhpE//mutY//rrlE//purR//gcvH//sufC//
TrpR-Tryptophan_neg	dppD//dnaA//modC//ssb//actP//acrE//tauC//rrlA//yegR//uof//arcZ//phnC//
TyrR-L-tryptophan_neg	rrsG//atoD//creA//glcG//bioF//norV//sucC//caiD//rplC//alaU//fabZ//dapD//
TyrR-L-tryptophan_pos	nikB//paaZ//ssuD//
TyrR-Phenylalanine_neg	argO//phoQ//fliA//alaV//acrB//glgA//gntU//zraS//agp//hyfJ//aroA//tauA//
TyrR-Phenylalanine_pos	rhaS//ydiU//argF//
TyrR-Tyrosine_neg	nuoJ//fes//mltC//serA//mtlR//gspH//pitB//mipA//dapD//zinT//ampE//map//
TyrR-Tyrosine_pos	hybE//alaT//mhpF//
UhpA-Phosphorylated_pos	fucP//
XapR-xanthosine_pos	bhsA//phoA//
XylR-Xylose_pos	asr//lldP//ygbA//gltT//bioB//mhpB//
ZntR-Cd2+_pos	hflC//
ZntR-Hg_pos	nikA//
ZntR-Zn2+_pos	nrdI//
ZraR-Phosphorylated_pos	mglA//ugpQ//lamB//
Zur-Zn2+_neg	dppD//gapA//fecC//rrfC//manZ//tar//
