#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	cydB//psd//
CytR	umuC//dnaG//murD//mdtE//wecE//fecA//phnH//malI//rpmA//fliI//uvrD//yjhB//mlrA//
Dan	trpR//mioC//fliZ//phnO//
DcuR	evgA//rffG//murG//pgk//argA//dinD//fliG//pgaA//garD//
DeoR	ptrA//sfsB//mqsA//cusC//wecB//frc//
DhaR	nuoE//aroM//fepC//dctR//
DicA	ulaF//ubiC//sgrT//exbD//znuB//ybaT//ftsK//hycB//
DinJ-YafQ	flgK//rclA//umuC//
DnaA	cysC//murE//argD//tam//phnJ//paaF//paaD//fhlA//gabT//alkB//ycjG//ccmA//
DpiA	dtpA//cysA//ugpE//ada//nfo//fadI//csgB//mraY//yoeB//zraP//ynbB//
DsdC	fliA//glmY//cysJ//
EbgR	sgbH//idnO//
EnvR	garR//garK//
EnvY	fbaA//fliM//
EvgA	isrC//glgP//glcF//bioB//fliR//yhdZ//fepE//omrA//galE//dinD//agaV//hyaA//glgC//modC//puuP//yefM//cirA//entE//gor//
ExuR	hyaB//chiP//ddpB//ccmG//srlB//amtB//cas1//gspG//hemL//
FabR	nhaA//betT//
FadR	gutM//casA//tyrR//idnK//hcaE//artI//nhaA//hlyE//fliA//sufA//hypA//chbB//arsC//gspI//nuoC//glnP//ydfH//pspA//fdnG//ydfW//gntX//ompT//fixX//
FeaR	nrdF//prpB//
FhlA	ydfE//molR_1//flgN//fixC//kdpC//mzrA//malG//yhjX//fucR//fecC//flgN//ybfE//aroM//ddpF//ldtB//yccT//chbA//betI//nagC//yjbE//murQ//yeaD//rnpB//idnK//chbA//cysM//pqiA//flgM//metK//lsrR//
FlhDC	gltJ//bglG//yfaE//ompC//leuA//sufD//nuoK//dacC//tyrR//dicB//ynfF//dinF//mtlA//mntH//metJ//ftsK//cvpA//uidB//hcaF//idnD//yhjC//moaD//flu//yqjA//gadW//katE//gatD//hydN//crl//prs//yiaL//ulaE//ttdT//glnD//araH//appC//narJ//ydjM//murE//yfiB//aceB//yhjC//caiB//nuoI//omrB//gltK//tehB//flgJ//hyi//rutB//fliJ//ptsH//dsbC//gabD//flgF//hmp//gltF//cho//nikR//fliG//allC//yfaE//dnaA//hybC//pgpC//yjhC//glpA//oxc//mhpE//rimP//hmp//nuoL//kdpC//fepD//nhaR//yqhD//glnA//pgi//flgL//tehA//nanK//puuR//
FliZ	narI//uspE//paaZ//lsrB//flgA//rutR//nanC//rpiR//nrdF//patA//artQ//nikC//btuB//appA//yiaN//araA//nrfC//murR//moeB//nfsB//fecI//
FucR	ybfE//purD//tsx//allE//polB//aceA//yafN//
Fur	aroL//yagK//napH//mhpC//fimE//dps//ynbD//uxuR//cspE//glcF//htpG//rhaB//galE//stpA//nrfG//srlA//mtlA//truB//glpF//fliZ//rybB//rclC//fpr//sufD//alsC//truB//araG//yeaE//entH//dkgB//pyrD//uspE//phnC//ptsH//tolC//tolC//ymiA//nrfF//hybC//recF//mazE//prpR//hycD//cysH//hypA//entD//cynS//cadC//fucP//mazF//pheT//phnO//glpT//ybhL//yqhG//micF//dsrA//appC//cysK//cadB//pepA//lyxK//ptrA//caiB//puuR//sdhD//rutG//purL//acnA//hcaE//bglG//allS//gadY//creB//bdm//pdeL//yfiB//nirC//nfuA//ftsK//yjhB//pepA//glmS//nrfA//glpT//bluF//moeB//casB//dcuD//manX//tolC//ecpR//csgA//fucR//paaK//higA//sucB//nuoG//mprA//dinD//sdhA//idnT//sufB//gutQ//cysD//ldtB//kdpC//potH//ybaS//lacA//hipB//asnC//mtlD//dinG//ccmD//cytR//nanM//mraZ//entD//fau//cyoE//feoA//argI//mngB//dgcC//yjeV//aceK//cueO//gspI//hypD//
GadE	dkgA//yfiB//feoB//yfdV//ycjX//oppC//thiQ//norR//yciE//prpC//lhgO//nuoE//modC//pspB//trpL//puuP//codA//yeiB//yqhD//ecpA//hybG//caiD//alkA//paaE//nuoC//yhbS//ompF//nhaA//stpA//
GadE-RcsB	sufB//recX//nimT//nrdA//ygdB//fabI//lrp//frdB//skp//
GadW	sbcD//ftnA//moaD//ccmG//gspK//sbmC//ybaS//iraM//csgE//lpxA//yhjC//creC//araH//glpC//ybjN//
GadX	entH//udp//casB//tsr//csrC//glpT//yhjC//glgP//ppdC//yjbF//trxC//hybD//fhuD//nagE//phnI//ddpD//ssuB//uidB//fucU//fadA//fliD//nac//modC//btuB//bioA//yfiR//nuoG//frc//evgA//
GalR	pqiA//mraY//amtB//fecA//casE//aidB//ulaE//oppF//rimK//alsA//
GalS	mqsR//phoR//rplT//fepA//murG//araG//fimE//mdtD//gadA//emrA//
GatR	ompF//murG//galP//idnR//melA//glmS//
GcvA	mhpC//csgB//yfiR//cysM//zraS//
GlcC	tnaC//murC//ydfD//hypF//phoH//yfbR//tnaC//
GlpR	ynfH//hha//metH//pfkA//ubiC//gspK//ftnB//mngB//ptrA//
GlrR	gltI//ygbA//purA//lsrG//aidB//
GntR	casB//ecpR//cyoE//paaE//gatC//rhaT//nmpC//hha//gabD//hemL//yqaE//nirB//
GutM	ryhB//phoP//hcr//yncE//rpiR//gapA//pstC//
GutR	dnaN//murP//adhE//rtcA//yhiD//glk//dinQ//
HU	nrfF//ydfN//hisP//nrfA//hyfF//hyfR//ybjN//rcnR//putA//
HcaR	metR//ykgO//argT//mcbA//csgG//gdhA//
HdfR	rpoH//pck//hypF//tcyP//nuoL//
HigA	glgB//putA//
HigB-HigA	puuP//hcaE//
HipAB	tauC//csrC//entC//caiA//rutA//
HipB	kdpC//appC//aroF//ynfG//flhC//sufE//
HyfR	hybE//hybG//cadB//ppiA//cyoD//casC//mdtA//ydiV//dmsC//hyaD//treC//malE//
HypT	lysR//murF//paaC//yfdX//nagB//phnP//gltK//ssuA//fpr//fdhF//hdeD//aroH//rarA//
IclR	casA//flu//rybB//araG//
IdnR	galM//ydiV//malI//dkgB//csgD//nirB//agaD//
IlvY	appX//edd//
IscR	argB//nfsB//icd//cas2//accC//cysB//uxuB//soxS//glnK//cynS//nagC//tdcE//lysR//fdhF//ssrS//yhiD//gspC//potF//mscM//ftsK//bglB//dhaK//rseB//caiA//yqaE//ccmD//deoC//nuoJ//cra//mscM//trpE//mgtA//
KdgR	flgL//cysK//
KdpE	dpiA//lldD//rhaA//amtB//
LacI	sdhD//setA//rclB//
LeuO	yafO//lsrC//yjeV//glpF//malT//yhdY//csrB//ybfE//cydA//yegZ//phoU//treR//rybA//prpB//lgoR//carB//argC//chbG//murD//paaY//
LexA	ubiA//recN//gcvP//fixC//mgrR//yfdX//sgrT//cydB//csgA//osmY//csgA//spy//gspI//purD//murE//sutR//glpX//nuoN//mdtB//gltB//nimR//ydcU//nuoC//yhdZ//tolC//ubiX//alsC//chbF//nuoL//prs//mdtE//bioB//ydeN//gpmA//lysC//umpH//potF//mhpB//nuoG//idnO//artQ//fecE//uxuA//deoC//gspL//hipB//metH//leuL//purR//ybjC//asnA//caiA//sbcC//ccmG//pykF//purK//sucB//pgaB//fepE//
LldR	leuL//glnA//yciF//
LrhA	tcyP//argR//ompC//rffM//
LsrR	xapA//yhjC//rnlB//nanM//yjjQ//hcaB//yiaL//mscM//kbaZ//
LysR	pqiB//aroP//
MalI	cynR//ygiZ//sufE//
MalT	nuoC//caiC//nagA//gltJ//hcaE//uspD//rimK//lolA//ompF//dsdC//
MarA	kbaZ//lamB//rbsK//yagK//argR//nrdI//narK//ybiT//rutE//entB//uidB//nanS//folA//sucA//argE//paaI//hipB//gabP//ydfH//ydeO//glpD//ascB//rpoH//hycG//malI//sroC//ygaC//entA//fecA//glpX//fldA//citD//nuoE//nuoJ//ugpE//flhB//hcaD//folA//
MarR	znuA//gatB//ecnB//
MatA	citE//srlE//glgP//casC//ygdB//sra//ssuB//cyoB//
MazE	gpmM//fliP//focA//
MazE-MazF	atoE//ycgR//rutA//
McbR	yciW//ftsK//flhD//agaA//
MelR	cyoC//glpD//waaY//
MetJ	gudP//fecI//gudX//ppsA//glnL//pspB//pspD//infB//ppiA//nuoA//bioC//ung//galE//glgB//napH//
MetR	zraR//yecR//pstC//nrdH//phnF//
MhpR	rhaB//purH//gatD//rpoD//aldA//sgbU//
Mlc	rcsA//yfiR//pheS//mtlA//cydA//yhcH//mngB//hyi//creD//metK//
MlrA	glmY//tcyP//rpmI//flhB//cusC//rbsD//patA//pyrD//cysA//metJ//
MngR	rffG//fruA//mdtD//
MntR	gutQ//ydhX//purH//torD//fucU//
ModE	katE//agaD//rcnR//glgA//astB//astD//borD//iraM//fecE//uxaC//appY//yegR//narJ//ddpF//ebgC//ybfE//dps//purF//zwf//zwf//treB//ampC//glyA//sucD//gcvH//mraZ//feaB//cysG//hcaF//nagE//nirC//rutF//gltB//chbR//hyaD//gltD//srlB//manX//betB//nusA//fabG//paaG//nikE//ydeM//lgoR//fliG//
MprA	hyaF//mglC//malP//folE//mdh//cysE//
MqsA	kbaY//ftsL//yeaD//wecB//potH//argA//astE//chbG//
MraZ	hypA//ttdA//ccmH//yfbR//wecB//hisP//pspE//hybD//narI//psiF//ydeN//cyaR//glgX//pspD//yhdW//sufD//gspC//
MtlR	mpaA//yoaG//lamB//
MurR	cysM//ddpF//agaV//
Nac	fliG//frdA//tauA//cueO//moaA//rprA//recD//paaH//mdtB//flgN//ydhW//sdhD//ecnB//nemA//purB//motA//ubiX//araA//artJ//leuO//nuoG//
NadR	mdtB//yjbH//leuL//accC//
NagC	araH//ftsL//ydhT//glxR//srlD//chbR//rseA//dapD//tyrR//nrfD//csgB//mtr//rimK//nfo//fruB//mpaA//flgH//fhuA//flhC//glpC//glpK//bacA//aroH//mepH//ydcS//hcp//cysE//oppD//ybfE//ulaA//yafQ//puuB//ttdA//fucU//glgX//ilvY//casA//
NanR	hyfI//fdnH//ydiV//murF//yoeB//exbD//murD//entD//safA//paaY//aroL//
NarL	yqhD//nirD//bioA//moaC//argC//phnI//metQ//nrfA//csrC//fliO//evgA//fhuB//frc//dicB//feoA//cpxR//hflD//astD//tdcE//guaB//iscS//agaA//hyfR//gatZ//carB//cbl//cadB//artI//aroF//ribA//rcsA//rseA//argE//yiaM//glnG//recF//aroM//fdhF//nupC//garD//rcsA//yidQ//cyoC//phoU//paaZ//gcvP//galS//ccmB//yhdY//cas1//phnN//gadA//nanS//lacZ//ftsI//iraM//ddlB//paaY//fliH//phnG//ydiU//cpxP//narI//polB//fliL//paaK//cheA//yhdZ//nuoF//nikE//lacY//acrA//sodA//flhB//hyfR//treC//leuD//xylH//crr//flgC//ynbB//glmY//cyoE//dgcZ//arsC//gltK//zntA//citC//zraR//mdtB//fucA//mqsA//pepA//lsrK//glnH//gcl//cysU//flgC//casD//pepA//nuoE//micF//trxC//rffH//puuE//yqhG//yncE//norV//kdpC//metA//fadJ//ymjC//hemH//flu//gspD//uhpT//trpD//ygaC//ccmA//nrfF//leuO//artQ//dinF//
NarP	nikE//rimK//nrdB//ydhU//napC//yoaC//rhaT//glcC//ptsG//aceK//omrA//feaR//baeS//isrC//rstB//yiaJ//fliF//fucK//hisM//tyrR//nrdH//srlB//glpK//infB//yhjX//bhsA//ygeA//ydbD//sufE//alaS//dmsC//folA//astB//rpsO//purE//pncB//pheT//emrY//ydfW//glcE//gcl//paaA//mpaA//lsrB//rpmI//lyxK//potI//gadY//gadB//hcaE//
NemR	fliR//yhiM//dsbG//
NhaR	xylG//bioA//dinG//nuoM//yhjX//dhaM//dapD//
NikR	ugpC//narK//bdm//nfuA//cusS//cheA//
NimR	ftsZ//sufC//
NorR	lolA//modC//malG//
NrdR	ftsZ//yqjA//araF//puuD//malF//lgoR//dinD//ftsW//xylB//
NsrR	eda//yeaG//hydN//erpA//yhjX//fepB//ahpF//tauA//rbsD//dtpA//rimP//sbcD//dmsD//nikR//dcuB//bglF//phnP//cspD//acnA//sucA//xapB//citX//caiC//yidL//ftsQ//gadY//icd//yjhB//phnJ//alkA//polA//ecpA//iscR//polB//exbB//hemH//manX//purC//acnB//astC//feaB//bioB//fruB//arsB//puuP//casA//fucR//hyfC//ddpF//ccmC//xylF//ydbK//cysH//cysK//nanK//glnP//hdeD//paaE//zntA//yhdZ//appY//yhdX//rtcA//gatY//nrdB//glcE//gadX//cusB//cyoA//fliF//argI//yeaD//ulaF//gltF//tnaA//fadA//ahpC//prpD//iscS//ydeO//paaB//ftsZ//gadB//
NtrC	fadI//yeaH//hmp//araC//ydiV//ugpE//tyrP//soxS//hybB//hyfC//lolA//ompW//tpiA//flgK//dnaN//hslJ//gltJ//agaI//ruvA//nrfG//pheM//nhaR//lsrB//glnH//ompT//rbfA//safA//ydjM//guaA//nikE//flgG//yjjQ//yecT//csgB//mglB//glnL//yhhY//hypF//ydeN//dsbG//uxaC//aroH//ykiA//narK//aroG//yqhD//psiE//ddpA//oppC//
OmpR	hybE//putA//yiaN//cysG//yfdE//flgJ//artQ//mdtD//uxuA//purE//rybA//mazE//yegR//araE//hypD//appA//skp//isrC//dinB//xylF//yegH//
OxyR	dicC//glyA//ppiD//yeiL//oxyR//hybG//pgaC//ftsZ//ttdB//mazE//allA//crp//insK//wcaB//fabH//fepB//nanS//ugpB//mgrB//casB//alaC//fadL//manZ//feoA//higB//sfsB//glnP//modB//hycI//sbcD//cytR//entH//kbp//arsB//
PaaX	acrR//pyrC//bacA//acrZ//ddpB//cysA//polB//aidB//argB//cyoC//allA//cas1//dctA//ynjI//
PdeL	cyaR//
PdhR	phoR//mhpT//csgF//putA//oxc//bacA//seqA//cyoC//rob//purR//paaB//uvrA//hflD//ycjX//ycjY//ariR//metJ//gntT//idnD//cadA//argH//csgB//nuoA//trpD//ygeA//trpL//rutR//gltL//purN//modA//alaC//rarA//nirC//malG//fecI//fadI//wzyE//tpiA//bdcA//rsmH//nuoG//
PepA	cytR//amn//mipA//
PgrR	nagE//fruB//aspA//serA//sroC//malQ//wzc//nupC//
PhoB	phoU//melA//murF//purK//appX//norV//zntA//idnR//rob//ydbD//nrdH//pspF//paaA//focA//nimT//casC//cysW//dpiA//uidB//tbpA//ydcU//csgB//glcB//mqsR//slt//wrbA//fruA//ycdZ//yiaN//cvpA//sra//chbC//rcnR//entB//htpG//flgA//gltF//metR//yjeV//ssuA//norV//ynbB//cydB//nrdG//add//flgG//mhpT//fdhF//talA//mtr//qseC//pdeH//hyfE//malF//atoA//ycdZ//pspG//fadB//gfcA//uxuA//
PhoP	idnD//frdC//yjjZ//uxuB//nuoB//dinG//yiaM//dsbG//sroA//zntA//gspH//cbl//glnG//modB//ycjG//cpxP//cho//fur//entF//gspD//rybA//xylA//osmB//oppA//codB//ugpE//hflD//sdhD//cas1//araA//metR//gspE//mdtF//allE//malS//rffH//agaR//sdhD//folE//metJ//ogt//nfuA//mtlA//ugpA//gcvA//nagE//lsrB//mazG//ruvB//sra//mazF//moaB//melA//sufB//mglC//xylG//
PrpR	moaB//lhgO//cdd//cas2//hemH//
PspF	waaY//rpmA//dmsB//phnD//glpC//dmsC//argO//
PurR	hyaB//mdtC//nirC//pagP//artP//sgrT//trpE//lldR//hypF//mraY//ddlB//argR//argP//uvrC//ydhV//waaZ//allE//cysU//kbaY//phoA//glnP//gudP//aroG//ybhL//add//ccmB//fumB//glcC//yhiM//btuB//rutB//
PutA	gadY//ssuD//
PuuR	bioF//copA//ybhL//lsrA//uxuB//mdtE//yeiL//
QseB	fadM//polA//hcaC//add//
RbsR	napF//casB//gatC//ccmG//rarA//mipA//hisQ//fliO//flhD//
RcdA	leuL//yqjH//pstB//ebgA//hha//hisJ//rcnA//ycgR//cyoC//
RclR	ygbK//hyfC//deoA//
RcnR	idnD//ecpA//cysH//
RcsAB	sulA//uof//ddlB//umpH//ppiD//edd//iscA//gadF//tdcD//cusS//fpr//ynbC//pspC//ygdB//patA//sodB//
RcsB	fixB//gspD//mhpB//mdh//ftnB//umpH//ycgR//yiaO//fldA//cspE//yebE//alkA//araG//mglB//yafQ//glpD//aslB//fbaB//murE//puuC//wza//cadB//yhdW//relA//cbl//
RcsB-BglJ	mdtF//garD//potF//bdcA//gatZ//sgrR//qseB//betI//lrp//wrbA//pspC//cysK//cas1//ybhG//hisM//rutD//
RelB	znuA//fbaB//dsbC//
RelB-RelE	hybC//ubiX//frdC//
RhaR	tdcB//ulaB//
RhaS	mraY//puuR//fecD//tonB//argG//trpL//
Rob	udp//ccmD//recD//mraZ//potG//betT//yhcH//flhE//ccmB//osmB//cydB//flgH//csgD//relA//pspE//fepA//dsdX//ptsG//dapD//paaE//murG//iclR//htpG//fimE//agaD//gntX//
RstA	tomB//ddpX//sroA//rdoA//aroF//cysC//trpC//phnE_2//cusC//nohA//
RtcR	malM//speA//
RutR	lrhA//gapA//ybfN//hmp//purC//citC//ydhY//flgH//gspG//purE//paaA//fixA//yjbH//ycdZ//paaA//hypD//artM//
SdiA	hisP//garR//aroM//alaC//sufA//
SgrR	flgG//relA//wecC//ascF//allS//araG//pspF//aidB//recX//
SlyA	flgN//
SoxR	zraP//omrB//cydB//
SoxS	lsrR//pheT//csgG//ndh//ulaC//uspE//mraZ//ssrS//yafO//yciF//phoB//appX//tolC//rimK//yhdX//flhB//hlyE//cheA//yhhY//soxS//gspK//fhuF//wza//yiaJ//nupG//fhuE//melA//phnI//pheM//nemA//nupG//phnK//pspE//flgE//umuC//ldtC//lyxK//yidL//yecT//hyfG//
StpA	ydeM//carA//torC//metE//hdeA//putP//pgk//
SutR	rimP//fliR//nuoL//rffG//sbcC//
TdcA	agaC//aspC//hcaE//argP//napH//dpiA//yjeV//
TdcR	nmpC//mazG//fepD//manZ//accA//purB//hemH//
TorR	focA//ldtD//yhdZ//hyfI//hcp//phnN//manX//dpiB//pncB//paaA//mdtE//rutF//
TreR	iraM//lamB//
TrpR	rbsK//malF//zraP//yjhC//tauC//yebE//hflD//ydfH//metB//cyoD//cysC//flgD//
TyrR	nlpA//tyrA//rfe//nanC//allC//uspA//iscS//oppB//glgC//nuoG//pspF//fecI//
UhpA	phnJ//
UidR	cas2//tauB//appB//dpiA//
UlaR	atoB//oppD//nuoH//mtlR//sufD//cyoA//entA//
UvrY	wrbA//bhsA//narJ//flgB//sroA//
UxuR	napG//rhaA//paaK//psd//uspA//cadC//rybB//acrA//glcG//
XapR	ascF//exbB//
XylR	lsrB//carA//ascB//yccT//mazF//nikE//moaA//
YdeO	dinG//fpr//zraR//udp//yiaJ//nrdF//leuO//rbsA//katG//yqjA//rpoE//kdpA//argO//metJ//acrA//lhgO//cyoE//copA//gspJ//ddlB//ykiA//
YedW	yeaG//ulaG//entH//ydhU//hyfR//sgbU//gatA//dinB//yfdX//yeaD//hmp//cydB//
YefM	hdeA//recN//
YefM-YoeB	caiD//agaC//
YehT	recX//
YeiL	gltJ//
YiaJ	trpL//fliE//ydiV//betA//ygeA//cysG//cytR//bdm//cspD//aroF//
YjjQ	gatY//hcp//malI//dnaN//araE//gatD//fecR//hycF//dps//marB//
YpdB	fhuB//
YqhC	fepD//pqiA//
YqjI	cysC//napB//
ZntR	bioD//
ZraR	agaD//fliM//rnpB//
Zur	ulaB//entH//fecD//yqaE//infC//atoE//
