#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	fbaA//yciX//
CaiF	agaV//bamE//fumB//adiA//fldA//galR//fecB//gabP//fabD//casA//
Cbl	yhiD//gspI//citF//flgF//tnaC//bdm//moeB//phoU//entD//
CdaR	xylH//mglA//narJ//oppB//norR//fabA//pheS//nrfF//creA//pheM//
CecR	gfcA//yjjQ//gltF//znuA//xylB//
ChbR	mpl//hdeB//nrdE//cysC//ycjX//degP//
ComR	flgK//
CpxR	tbpA//frdA//lpd//mqsA//agaS//flgC//ssuD//fecE//exuT//pdeR//rpoH//aidB//copA//lhgO//paaK//cusB//fpr//pnuC//recC//cysN//ptsI//sodA//nuoF//glpX//phoP//purF//dhaK//accD//glgA//hycC//fadM//ulaC//accD//ykiA//narX//garK//fpr//nadA//speA//sutR//bdcA//rbsR//xylB//mngR//sbmC//aroH//chiP//narG//cysI//metR//dcuB//nrdA//nuoB//nuoM//casC//uof//ydiV//hyfE//mgtA//dmsA//bolA//nuoA//argC//flgB//ydcU//mngA//dnaA//ycgR//kdpB//galT//
Cra	amn//yfdV//fliQ//znuA//srlA//trpE//dcuR//bglG//tauD//puuB//melA//cheW//sbmA//araD//hyi//ybfE//ldtC//rclB//cusC//moeA//purA//rpoS//yjbG//gcvA//pqiA//lsrF//pepA//ygeA//trpB//fliK//yidL//ecnB//nhaA//tdcB//ydbK//uxuA//higB//csiD//insK//ybaS//ryhB//aldA//gatD//fdnI//yafO//gcvB//fepB//cysC//fdnI//lacZ//yhbE//cra//flgI//fecI//nrdG//lgoR//metB//hyaE//gcvH//oppA//yneM//ydeI//caiC//fixB//bluF//garP//fadD//fepE//ssuD//ribA//lpxA//leuB//exbD//paaB//phoB//fadB//yjhC//rnlA//yafP//
CreB	cspI//hycC//dgcZ//dkgA//ebgC//
CsgD	metR//napF//fucP//ynfG//araE//yjbG//cas2//xylB//argG//psiE//ptsG//omrA//wzxE//appC//yrbL//hlyE//ddpB//oxc//ompF//hypE//tbpA//rbfA//degP//pstB//galK//pfkA//hyfE//ryhB//
CsiR	oxyR//lysA//narH//gadY//alsC//
CspA	rsmH//gcvB//
CueR	wcaA//astA//rbsK//bioD//yjbG//gadY//mdtB//
CusR	ydbD//appY//flgJ//fliD//gspF//cusA//fliS//fpr//yneM//rcnR//torA//ybhF//
CynR	btuB//dmsD//yiiS//metC//
CysB	yqhD//marA//ddpA//rstB//glmY//mdtE//rhaA//cysH//sutR//cyoA//cecR//dapB//potF//glnL//rutR//ompC//ttdR//mdtC//adiA//rarA//metE//glgB//lexA//nhaA//gltK//entE//gspI//mqsR//sdhD//phnE_1//fumC//rplU//
CytR	murG//emrA//cynS//leuA//moaD//nusA//bioA//lsrB//allE//ccmB//bdcA//tynA//ompW//
Dan	wecE//yeaD//mqsA//tdcA//
DcuR	pagP//tomB//iscS//cyaR//motA//fliF//yefM//znuA//artQ//
DeoR	pnuC//dctA//aceA//frc//fucU//dps//
DhaR	wecB//dcuB//stpA//fecE//
DicA	yjhB//glnD//tdcA//cho//ftnA//yegR//nfsA//malT//
DinJ-YafQ	fucR//yqjH//fecI//
DnaA	csrC//baeS//recN//exbB//hcaC//glpD//hyfG//cvpA//artP//alsB//ydfD//insD//
DpiA	atoD//ugpB//lrp//ulaC//hipB//yneM//gspI//cysE//glpB//metK//gspM//
DsdC	wzb//csgE//yjbF//
EbgR	lsrD//paaK//
EnvR	ribA//puuR//
EnvY	thrS//ugpB//
EvgA	ubiC//exbD//allB//paaE//metQ//gcvA//chbR//pgaB//garR//kdpB//hipB//atoA//mhpD//ygiZ//hypB//umuC//yiaK//fucO//amn//
ExuR	mtr//gspL//yhbS//nagC//nrdI//cadC//mtlR//cadA//hcaD//
FabR	acrZ//gfcA//
FadR	motA//znuA//nrdA//glnH//dpiA//relA//yiaN//acrZ//rpmI//gapA//dps//yqhD//tauA//yhhY//wrbA//cysB//fbaA//leuB//hyaD//cas2//moeA//ugpQ//puuC//
FeaR	patD//nusA//
FhlA	phnL//yfiB//gcvP//bacA//yedX//ogt//ecpA//creC//mntP//osmC//dcuD//trpE//yiaN//ccmH//appX//rnlA//argA//malI//tdcB//uxaB//fhuA//tyrP//cas1//ftnA//ddpX//wza//ilvY//exbB//murG//ydhX//
FlhDC	glgA//hisJ//gltB//hycB//astC//flu//cas1//hybD//rcsA//pspA//creA//lamB//rarA//hcaC//glnD//cynX//fadM//lysA//ybjN//phoR//acnA//ldtC//ygbK//ybdN//tisB//ybfE//phnN//alkA//entH//amtB//ubiC//yjeV//yjhC//csgB//ynbC//lsrB//pgi//kbp//srlA//cheW//hyfG//stpA//flhC//uidR//pgaD//phoP//phr//phnJ//exbD//ydhU//glmU//dapD//yagK//oppC//pheT//pepD//fecA//galM//flgM//yiaO//rnlB//galT//dapD//fdhF//glnK//pepD//paaB//purM//adiC//fliL//cas1//dctA//nanE//kbaY//alsE//yhjA//mgrR//yjhC//cysJ//rpoD//csgC//sutR//
FliZ	yefM//hisM//citE//hdeB//htpG//mgtL//oppF//fur//paaY//dicB//yhdY//gspC//ygdB//lamB//polB//lysC//hypC//exbD//fixA//borD//rseB//
FucR	soxR//flgN//fruK//ulaG//dgcZ//yjjQ//mazE//
Fur	cynT//ykgO//flgH//cyoC//ycjF//dicB//rpoE//yhjC//fruK//fliO//acrB//uxaC//fixB//rffT//grxD//ydhU//bdcA//ddpA//chbB//cysI//zntA//fruB//purN//prpR//nuoI//ycjG//crr//fhuF//fhlA//fliG//lexA//fnr//katG//yidL//yccJ//paaK//osmY//purK//cdaR//glxR//nirD//yncE//tam//phoQ//manY//galS//agaV//focB//pheS//marA//dpiA//wecE//tomB//hemL//gatD//gadE//cecR//ptrA//artP//rutC//ugpA//rutA//yjhC//caiE//cydA//agaD//mzrA//yedX//osmB//flu//purC//paaG//micF//sgrS//yjjZ//srlB//fixA//gabD//emrA//ptsG//stpA//ssuA//tomB//chbC//yhdY//chbF//insK//lsrR//gntT//yhiD//accA//nuoK//fadL//pspB//phoR//dsdA//fucP//gcl//cynS//yqjI//gyrA//nrdD//prpD//ebgA//yqhG//cirA//argB//sroC//hcaR//ycjF//hyfH//iraM//hycG//mglC//prs//yhjC//melB//entA//dsbG//rybB//gntX//nikE//paaG//serA//ldtB//manX//infB//bdm//ycjY//galK//
GadE	rybB//rbsB//ydiU//rbsC//phnE_2//lysO//fepD//purB//rtcB//modC//exuT//nuoH//fucU//ugpA//ydeI//xapA//kbaY//ynfE//cheW//dsbA//rclC//purR//napF//yafP//hcr//ybhS//sra//flgI//paaK//
GadE-RcsB	rhaB//ulaC//yqhG//sufD//cpxQ//rpoE//fliK//glnP//aroG//
GadW	ydhX//feoB//agaI//fadH//allS//nrfD//eda//fadL//envC//fepA//ygiC//ydcU//nanC//mdtE//dcuR//
GadX	yfdX//hyfJ//sgbE//murE//caiA//araD//ulaD//aroG//hcaE//putA//torC//moeB//feaR//cheA//znuB//relA//yaiA//glcE//tomB//dpiA//dgkA//yfbR//znuA//ymgA//flhC//pgk//ddpF//osmB//bacA//
GalR	patD//lysO//yciG//gspG//motB//dsbG//metL//fliQ//artI//glgX//
GalS	malX//rutC//nimT//phnG//galP//yoaG//rutG//dhaL//ompW//srlE//
GatR	ruvB//sufD//cbl//lon//norW//nrdB//
GcvA	yqjA//hflD//araJ//cadC//gltI//
GlcC	alsE//creD//glmY//artJ//metY//nikD//allB//
GlpR	flgH//lysP//znuB//codB//citX//rclA//yaiA//ychF//flgI//
GlrR	yqjI//tdcA//aspC//nrdG//fhuA//
GntR	narX//tyrB//rdoA//ydfW//cpxP//dpiA//fimE//rffG//hypB//soxR//trpA//gltK//
GutM	yiaK//yfiR//relE//ada//moeB//evgA//dapB//
GutR	entD//entE//uhpT//mtlD//tynA//fadR//trpC//
HU	arsR//ccmB//dcuD//yfaE//atoA//malX//yhjA//pdeL//ecpR//
HcaR	sgrT//garR//mraY//feoB//gcvB//rutA//
HdfR	leuA//csgC//ygbA//ybhF//yedX//
HigA	glpT//yjhB//
HigB-HigA	nuoH//dhaM//
HipAB	yaiA//hlyE//glnP//metN//mtlA//
HipB	ymgC//cadC//creD//nrdA//hha//nirB//
HyfR	cueO//ascF//argI//purB//nikC//intQ//nikE//gspH//argP//mazG//ung//hyfH//
HypT	recN//leuB//ydcU//ftsZ//gspO//mpl//rutG//oppD//phnI//lacA//ssuA//glpA//yjbG//
IclR	cra//relA//modB//malQ//
IdnR	lsrF//ubiX//fumC//hyfG//tnaC//ftsL//frc//
IlvY	pagP//metH//
IscR	yebE//casC//frc//galR//rtcB//yeaE//pfkA//malT//cusR//ybhR//yhdX//murR//paaI//omrA//fadH//galR//tnaC//nrdB//hyaD//ygiA//trpB//dmsD//wcaB//psiF//gadX//paaD//hcaB//glnD//modB//yiaM//ccmB//phnJ//
KdgR	hycE//fliC//
KdpE	uof//zinT//baeR//cytR//
LacI	creB//gcl//lsrA//
LeuO	sbcC//araF//fadD//gadW//purF//argI//fepA//ttdT//ydbK//sroC//phnG//hcaF//moaE//exuR//phnE_2//mntP//hyi//tdcB//nrdH//gntU//
LexA	entE//yjhB//prs//ymiA//fucU//rbfA//betI//pstS//rstB//ybfN//tdcF//waaH//hdeD//gyrA//phoE//gcvB//ppdC//agaD//nemA//xylA//gspE//ytfE//arsB//lgoR//tehA//fdhF//pspA//garK//glcF//nrdH//recD//nikB//nimR//ydcV//tyrP//ulaG//pck//rnlA//yeaG//dhaR//rhaS//fadB//iclR//ynbC//narH//wza//fepA//eno//ssuA//yaiW//atoD//caiD//ybhS//pflB//wecB//gatZ//bglF//tdcE//xylA//
LldR	ynfG//yfiB//dinD//
LrhA	yhjX//fruB//ymjD//phnJ//
LsrR	sroA//eda//nemR//hycG//hyi//napG//nimT//hemL//murF//
LysR	ssb//ydfX//
MalI	ytfE//yhbT//mntP//
MalT	hycG//galT//oppD//pepD//glcB//entD//glmU//entC//ompC//ccmG//
MarA	hyfC//yccT//xapB//leuC//umuD//sucA//ccmE//lpd//aslB//cydC//yneM//mtr//hcaD//mdtB//pstB//yfiB//marR//fliR//copA//hisQ//ykgO//frdA//alkA//ymjD//fabG//flgM//phnC//luxS//betA//hyaB//aroL//aceA//accA//purD//metL//baeR//dsdX//hypD//
MarR	nohA//recF//ubiA//
MatA	ychF//tnaA//add//glnL//idnT//ycgR//gudX//fadA//
MazE	yccA//bluF//gcvB//
MazE-MazF	intQ//rffT//paaD//
McbR	araB//ddlB//pyrC//bglG//
MelR	dnaN//lpd//mngR//
MetJ	hokE//pheS//fixX//glnA//ruvA//sbcD//malK//cynS//hcaB//mazF//fdnH//murE//gspK//relE//yhbS//
MetR	casA//ygeH//ptsI//cysD//ybdZ//
MhpR	alsE//hyfE//trpA//glnQ//ybfN//dnaG//
Mlc	dinF//rstB//acrB//bglF//glk//sulA//metK//tdcA//frdD//yjjZ//
MlrA	pyrD//fliN//pykF//gpmA//caiB//wzc//srlA//fabI//cyaR//mtr//
MngR	garP//cusB//hisM//
MntR	gltK//cusC//yncE//yedX//yjiY//
ModE	sodA//purC//dinJ//hyfD//dctR//pstB//pfkA//ycjF//xylB//caiD//entA//dinD//arsC//safA//cysH//trpD//sucA//glgP//moaB//entE//sdhD//oxc//ybhR//gadC//rutA//fumC//argI//gspL//nrdE//ycgR//nusA//yciW//nagE//adhE//frdB//nrdF//tcyJ//ulaD//yegH//hdeD//rfe//bhsA//aceA//yagK//mazF//cytR//
MprA	phnM//araC//fepB//malI//atoB//rclB//
MqsA	murP//glnG//sodB//idnR//glyA//yeaR//pspA//gcvB//
MraZ	katG//ybhR//glnG//uidA//gcvP//putP//oxc//glnH//murD//hypE//ymgA//ydhY//pdeL//fliS//pstB//allE//trpA//
MtlR	puuD//glgX//ydbK//
MurR	xapA//focB//fliL//
Nac	caiT//iscU//flgL//relE//waaY//wza//cynS//yegH//napA//agaW//araA//hlyE//yhjC//alsA//yjeV//uxaB//dmsA//cra//xapB//pncB//dgcZ//
NadR	tam//mioC//fucI//gpmM//
NagC	ydfE//arsB//yqhD//iscS//slyB//dsrA//rclA//metR//ulaE//nanT//flgC//mhpF//glnQ//appB//copA//gspI//sucA//kbp//marR//tsgA//agaC//yjhB//deoB//bioF//cusA//nupC//yjiY//zraR//phnD//csrB//dhaK//flgG//cysN//manZ//ydfD//pqiB//efeU_2//
NanR	glpT//nrdD//gatD//srlA//uof//malP//agaI//yrbL//iscA//cysC//sodA//
NarL	tdcA//iscS//uspA//yegZ//wcaB//ccmF//gspD//cspD//mhpE//cpxP//rutB//fpr//cynX//eno//accA//rimP//gatZ//araC//copA//yciG//symE//nadB//gcvA//mhpD//feaB//dhaK//moaB//nupG//cysB//gspG//ugpC//gadC//lrhA//ynbD//sucD//allE//aceA//astD//gadY//malY//sgrR//sbcC//hyi//yecT//nanE//glgP//ydhW//iclR//yefM//yfiR//ybdN//putP//ppdB//uidC//carB//creA//mgtL//fliK//galK//gntU//torC//agaI//emrK//hypB//ydiU//mtlR//murE//recX//nuoB//sdhA//polA//araJ//glnP//aceK//sufC//accC//dsdC//rpoS//marR//citX//exbB//cdd//fecA//ahpC//yneM//nrdD//exuT//rfe//mtlA//uspA//ydhX//mlrA//alsC//paaK//creC//alsA//phnP//nirB//fdnH//cdaR//oppF//yaiW//nikA//ihfA//rnlA//gpmA//tadA//yhbT//mdtE//yiiS//potF//entC//purK//fhuA//ydhU//argG//nuoM//flhA//gor//pflB//sodA//mqsA//gltF//
NarP	ccmF//hyfD//purA//glnG//ydiV//gdhA//fhuD//ydiV//rclC//gcvP//rutB//dnaA//napB//hyfA//ung//fepC//nimR//manY//rhaA//recC//wza//murP//gadC//lpxD//lsrR//nuoN//emrB//hypD//gcvT//hyfH//phnM//ptsH//norV//yeiL//kbaZ//gor//yciF//waaZ//deoB//gudX//ydfH//alaS//rcnR//malX//astD//agaS//metB//gspF//csrB//wecC//
NemR	dicC//allB//ariR//
NhaR	insD//rfe//gor//yhcH//ppdC//hydN//flgE//
NikR	osmY//sgbE//ydhV//bglJ//cueO//gspC//
NimR	pyrD//allB//
NorR	flgF//rffC//pnuC//
NrdR	argB//aspC//focA//metB//mpaA//dkgB//gspJ//mepH//decR//
NsrR	fepB//garK//zraS//argO//uvrA//ppdA//accA//hycA//slt//yhbT//symE//fepE//malM//cbl//araJ//lsrD//pspF//flgG//fliA//fecI//chbB//galM//iraM//dsbA//purN//malQ//ygeA//sgrS//idnO//kbaY//gspF//melR//hyfI//fpr//idnK//zntA//mtr//yccT//thiP//ompW//baeS//gntP//ompC//ydfE//aroF//umpH//garP//dkgA//argG//recF//ydbK//nemA//purL//tnaA//mzrA//phoA//mtlR//ftsK//pepA//sbcD//yeaE//yaiA//ykgO//lysP//ecpR//paaZ//ydeI//moeB//prpC//gltB//recF//fliI//napH//rclA//yjbH//srlA//sgrT//moeA//cytR//idnD//rpmI//cyoA//tehA//
NtrC	dinB//oppF//relA//pheT//gutM//glpX//hcp//cho//ydfN//araH//ybiT//dctA//entC//idnT//cbl//csgD//caiE//rplT//fixA//rffC//feaB//yfbR//gadF//argP//accB//paaD//nirB//rpsU//oppA//ybbY//tisB//rffH//hisQ//argE//zwf//dinF//ybhS//qseC//leuA//alkA//fadH//murI//ydhV//gpmA//cydA//ybjC//sroA//yjbH//cusS//
OmpR	skp//glpB//garR//murR//gspF//pdeH//moaA//deoB//gltK//accB//xylG//xapB//tadA//pspB//manX//ftsA//hyaF//hyi//ddpB//ahpC//phnL//
OxyR	zraR//cysB//ebgC//dhaK//chbF//metN//mepH//gadB//moeB//ulaG//glpT//ybjC//ycjX//hcaR//fes//rhaR//hycI//glnG//ygdB//nrdB//cysW//cirA//moaC//ybjG//glpX//lysO//add//malT//gadC//accA//creD//fliR//hisQ//yhjC//
PaaX	glmY//yegZ//rutR//pgpC//pdeR//fhlA//lpxD//astC//nrdD//gadW//hcaF//ynfG//hyfE//chiP//
PdeL	folE//
PdhR	appB//pck//araD//fimE//ssuA//tdcC//ptsI//paaJ//fhuC//napC//cysE//ugpE//artI//sucD//chbB//rcnR//sroA//glcB//yegR//torR//gabD//slt//flhB//envC//omrA//ecnB//dicB//hycB//yhiD//dsdA//gspO//dgcZ//pdeL//nirB//wzyE//feoB//hyaF//sucD//galE//gudP//cas1//
PepA	dhaR//exbD//rclA//
PgrR	dmsB//rcnR//ydhW//rbsC//yhjX//flgG//patA//glgX//
PhoB	icd//uidA//alaC//yiaN//eda//ddpC//yafO//hcaR//tnaC//cydD//stpA//murI//soxR//feaR//relE//puuE//agaR//phnN//recX//zraS//phoR//hdeD//ung//gltJ//aidB//bglB//ubiX//glcF//csgF//gyrA//yoaG//pdeL//fiu//epd//obgE//sucC//ybaT//ynbC//uxuA//osmY//qseB//alkB//rcnB//sufE//yeaH//rutR//yciW//mipA//paaZ//lsrC//ygiA//deoA//ybfN//aroG//ydcS//murG//fadM//dinI//gntK//yebG//
PhoP	leuA//pspB//ygdB//ugpB//dgcC//bolA//treB//mglB//cysJ//ompF//treB//glgC//csgD//agaW//fhlA//srlA//chbC//ptrA//tynA//metR//caiD//hycG//sufS//treB//cpxQ//epd//cysP//pgaD//yaiW//argE//modB//glpB//mpl//nfo//cysI//napB//gadY//nrdG//sodA//ampC//ygiZ//entH//luxS//htpG//fruK//metN//ndh//udp//mioC//rybB//symE//galP//fixX//nfuA//nimR//rcsA//
PrpR	hyfE//infC//nikC//fepE//metI//
PspF	lrp//hyaF//cueO//tsr//artJ//ygiC//csgF//
PurR	folA//ruvA//pspC//glmY//ydeP//ybbY//ftsL//tauD//nusA//uof//ddpD//ulaG//fliT//fliG//araB//rpiB//rffC//gadA//srlA//fabH//fhuB//yjeV//napB//sbmC//araB//bglF//cdd//pheM//cadB//gatD//purE//
PutA	pyrC//ycjG//
PuuR	paaI//inaA//nirC//paaH//tauC//psiE//rffH//
QseB	appA//dctR//ddlB//yqhG//
RbsR	creD//ycdZ//yqjI//carB//fabH//ygiB//paaG//ccmG//hcaD//
RcdA	phoQ//sgbE//asr//pepA//purE//entB//prpD//manZ//ykiA//
RclR	ulaC//treR//cadC//
RcnR	fdnG//dsrA//nrdH//
RcsAB	bolA//appX//ydcT//mhpC//uxaA//yncE//mazE//ydfE//pqiA//gltJ//dtpA//oppF//phnK//oppC//glnG//ycgR//
RcsB	exuT//nanT//codB//cueO//pdeR//lon//purB//rdoA//nikR//hyfA//hcaC//flhB//ubiA//yiaL//fliN//baeR//hybA//efeU_2//soxR//udp//rhaA//hybF//rfe//ybiT//crr//
RcsB-BglJ	flhD//casC//ychF//sufS//lyxK//yqjA//gltK//soxS//wzzE//hycE//cysC//dsrA//phnD//mdtF//fecA//recC//
RelB	oppC//rutE//gabP//
RelB-RelE	speA//recD//trpC//
RhaR	citC//nimR//
RhaS	xylF//leuD//potF//lysC//fucO//argH//
Rob	yfdX//deoC//nhaR//folE//ymjD//argB//dacC//rcsA//nanS//rprA//glyA//hybA//lrp//pgaD//tnaC//ascB//luxS//rprA//pdhR//sufA//nrdH//phoU//allC//caiB//oppF//hokE//
RstA	pck//pspA//recA//norV//yafO//malE//yhcH//rutA//waaH//caiF//
RtcR	ynfF//mqsR//
RutR	dacC//norV//narJ//zraP//ftsQ//nrfD//ybdN//oppB//caiA//ilvY//yeiB//hdeA//tdcB//galP//tehB//nrdF//ygiB//
SdiA	ydhT//moeA//torD//envC//aroF//
SgrR	ssuB//gatB//flgC//gatY//casD//oppA//iclR//rseA//phnH//
SlyA	chbC//
SoxR	sbcC//speB//argO//
SoxS	btuB//leuD//hypF//ompW//osmC//ahpC//bioC//mdtF//cydC//mnmG//ygbK//flgA//phr//yiaJ//cspD//nemR//soxR//bioB//entD//fadR//treB//tam//gspI//gspI//fhuA//entH//citX//fixX//hdeB//ydcV//hisP//yhdY//ccmE//uxaC//metF//bamE//pheM//lpxA//rffM//ybdZ//
StpA	ydcS//ydeI//aroF//manX//ygiA//casA//glcD//
SutR	dtpA//nanK//ppsA//acnB//uxaA//
TdcA	yccJ//rnpB//glmY//ydfN//yeaR//mhpD//accB//
TdcR	flgM//carA//rutD//yjjZ//waaZ//fepG//rutA//
TorR	kdpC//gutM//napC//aroF//crp//deoB//codA//ddpX//aroP//ynfF//fepG//uspE//
TreR	phnC//carB//
TrpR	symE//fruB//mpaA//mazG//glpK//grcA//yagK//mlrA//pgaA//wzxE//fucO//acnB//
TyrR	deoA//sutR//rybA//ynbB//waaY//tcyJ//metJ//hisM//cspD//lpxC//cysD//ykgM//
UhpA	ubiX//
UidR	yoeB//lldR//dinI//alsE//
UlaR	hcaD//araG//sbcC//mngB//manZ//uxaB//bacA//
UvrY	nfsB//gcvB//fhuD//garD//metI//
UxuR	srlB//creB//trpR//icd//bhsA//hyaD//psiE//flgE//puuC//
XapR	recF//citX//
XylR	frdC//yecT//cusB//mtr//appX//dmsB//casD//
YdeO	exbD//uidR//aceF//tnaA//ppiA//moeB//hypF//pdhR//ftsQ//glxR//ybhG//fdnI//fecI//betI//lhgO//yhdY//dhaM//ssrS//rhaT//recA//caiF//
YedW	oppC//pnuC//glgB//acrZ//ytfE//glpQ//phr//cysN//csgD//tauB//phnJ//phnE_2//
YefM	fumB//ogt//
YefM-YoeB	znuA//ynbD//
YehT	rstB//
YeiL	rtcA//
YiaJ	wcaB//lsrR//lsrR//yeiB//aroH//nrfA//gadX//metJ//phr//metR//
YjjQ	fliI//cusF//rnlB//ompT//pck//pspF//purM//patD//yjjQ//glmU//
YpdB	phnL//
YqhC	casB//dicC//
YqjI	creD//nrdH//
ZntR	fepA//
ZraR	gadE//ydfD//purR//
Zur	ydeO//mdtF//gor//nac//murC//bioC//
