#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	recC//glnK//
CysB	hyfR//hyfF//cydC//purA//tsx//slp//codB//puuA//rseA//uxaC//fhuF//agaB//tyrP//ymiA//bamE//malK//pdeR//ubiX//nupC//potH//malG//yiaK//flgE//murQ//sroD//yhhY//gadE//gltK//crl//flgE//dinJ//yfaE//
CytR	sbmA//phnO//puuD//udp//aceF//hybB//glpT//uxuB//uidC//gatD//fliP//treC//emrY//
Dan	ydhV//uidA//purR//umuD//
DcuR	hisQ//deoC//dcuR//modB//ecpR//rstA//agaD//ptrA//cheA//
DeoR	fadM//asnA//paaF//nuoG//cydC//copA//
DhaR	aceB//kdpC//ymgC//aceA//
DicA	nrdG//qseC//appX//wzc//zraS//wcaB//fdnI//astB//
DinJ-YafQ	wza//tauA//malM//
DnaA	mioC//ariR//fumC//yjbF//fhuF//gltL//feaR//ilvY//murF//yjbE//tdcD//nfsA//
DpiA	cusB//phoQ//flgI//efeU_2//artJ//uxuA//napD//nrdB//argA//ftsZ//csgG//
DsdC	fepC//micF//soxS//
EbgR	cvpA//nuoB//
EnvR	yhhY//argG//
EnvY	mdtD//wzyE//
EvgA	cysW//ssuD//pagP//moaB//pepA//torC//rarA//rbsA//paaI//yncE//cysW//ykgM//nanC//cheW//pspB//tbpA//lsrA//ycdZ//garR//
ExuR	ybdZ//degP//gspF//xapB//glnK//cysH//aroG//rcnB//aslB//
FabR	gadF//ydeN//
FadR	deoD//hokE//fliP//wcaB//rybB//efeU_1//puuA//napB//rbsK//metF//tauB//pspE//cynX//sufB//alsE//lacY//fpr//cirA//nfo//creB//gadY//waaZ//nanK//
FeaR	intQ//gspE//
FhlA	nrdB//ldtB//evgA//arsC//amtB//envC//pqiA//rseC//xylH//hyaD//agaS//hcaF//fhuE//purE//hisQ//yncE//bdcA//iscA//purK//nrdB//sucA//exbD//tam//yegZ//nikC//poxB//pspG//flgJ//gudP//cyoA//
FlhDC	metL//rbfA//ung//chbR//mntS//uidB//pykF//yciX//metY//marB//aidB//fur//csgC//pdhR//yqaE//adiA//thiQ//tdcE//yhbE//nuoK//ubiX//ydfN//trpC//ddlB//ulaC//glmS//trpA//narG//arsR//entS//murR//pstA//sbcC//cho//purL//dinJ//csrC//hybE//purB//yiaO//purE//glcD//tfaQ//csgG//codB//hycH//yebE//yaiW//lysC//carA//glpC//appC//decR//hcaB//ogt//speA//oxyS//caiA//yiaJ//yeiB//idnD//accD//ung//pyrC//uidR//flhC//murR//edd//sufB//tsr//cysE//fliO//entE//flgM//glk//cyoA//psiE//rffH//dinF//aroF//glgP//bioA//
FliZ	uxaC//polA//ymgA//pgaA//aroF//fiu//norW//phnM//osmC//dmsC//yoaG//cyoB//glmU//nirB//manX//arsR//citF//icd//ynbA//norR//ddpX//
FucR	pstC//ydiU//add//fldA//flgN//cydC//serA//
Fur	entD//fruA//yccA//ynjI//hcaC//yecT//higB//atoB//ftsI//dhaL//fruB//fepA//ccmB//narH//aceA//glcB//yoaC//csgF//rclB//allA//cysH//nanM//srlD//lhgO//gpmM//cysI//pspC//cusF//polB//galP//glnH//ygiZ//fliR//murR//yqhD//pspC//wecC//nusA//rbfA//aidB//waaZ//nadA//tsgA//lldD//fruA//hyfC//fliZ//isrC//glcA//ibaG//sgrT//hdeB//idnD//hycI//prpD//yciW//soxR//mcbA//hycC//ydfN//mhpT//malQ//mgtL//recX//nimR//slt//recC//dmsC//tynA//relB//fixX//ydeP//pgaC//hcaD//rnpB//moeB//pfkA//citE//gcvB//nimT//hokD//sgrT//phnG//artJ//appA//rclA//fadI//cysB//umuD//ymiA//sra//hyfJ//pgpC//ynfE//tyrP//hyaB//emrB//csgF//oppF//hycF//micF//pstC//fldA//sra//uxuA//trpR//gcvB//casB//pdhR//dicC//chiP//ompF//araC//ppiA//nrdF//ytfE//hyaF//ccmH//dapB//efeU_2//btuB//chbF//fliQ//ldtB//hyfE//yegR//glnD//ydeM//mglA//dmsC//
GadE	cusR//yhiM//cadC//nanE//hflD//yidQ//rcsA//tauC//recB//glmU//argP//cysH//ynbC//wecB//nemA//entB//udp//ydfW//ycgR//dsdA//ugpC//araC//phnP//setA//gatA//yneM//ybaT//aceF//baeR//
GadE-RcsB	narK//ygiB//tdcD//yqhD//hmp//wzb//ydeI//caiF//tauC//
GadW	rnlA//oppC//asnC//flgG//purB//dgcC//manZ//rffH//mprA//cysP//rffT//hyfF//fixX//pqiA//slyB//
GadX	tsgA//araD//ecnB//cydC//ymgA//manY//yciF//lsrC//ynfF//atoD//leuO//argG//phoR//fadB//lldD//prs//sgrR//mdtC//gadA//mcbA//pheM//glnD//oppB//malM//cysE//srlE//malI//folA//sbcD//
GalR	bamE//zwf//lsrF//ydfD//folA//rpmI//higB//moaA//purN//purK//
GalS	acnB//aroH//ppdB//cysG//waaZ//fumC//yebE//ppdB//yiaO//nanK//
GatR	skp//osmY//accC//puuC//fecA//ynbC//
GcvA	narK//murQ//uxaC//mgtL//ssb//
GlcC	gatY//aroM//pdhR//uvrC//oppF//ugpA//yccT//
GlpR	ptsG//rcnB//mhpC//yqjH//yqjI//ibaG//ecnB//ydjM//ryhB//
GlrR	citD//napG//flgB//flgI//bioD//
GntR	hyfC//yciG//yqjH//cheA//allA//sucA//mhpB//rffC//nupC//metA//phnH//galS//
GutM	cueO//uidC//ybjN//ompC//gspM//relA//csgD//
GutR	tdcB//ebgA//sgbE//yfbR//malY//waaY//malF//
HU	sufE//rpoE//gspM//evgS//cusC//hdeD//rsmH//paaE//accB//
HcaR	cpxQ//hlyE//hokD//paaZ//ruvA//paaD//
HdfR	osmY//ppsA//ybjN//ynbA//lpxD//
HigA	ygiA//csgC//
HigB-HigA	wzxE//uxuB//
HipAB	paaG//glpA//bolA//ddpD//znuA//
HipB	ssrS//xylR//lysA//fur//crl//efeU_1//
HyfR	zwf//galS//rpoD//ybfN//idnK//dsrA//purK//ugpQ//rfe//fliR//entF//yafP//
HypT	adiC//atoB//murD//yafP//phnJ//nrdH//bglF//narK//lldD//iraM//lexA//yeiL//glpX//
IclR	gcvH//mglB//fixC//gadC//
IdnR	murQ//ppiD//hokE//murR//lpxA//ssuA//araE//
IlvY	ydfX//borD//
IscR	cydB//pyrC//hypC//ydfN//wcaA//flhA//chbC//citD//yfbR//moaA//gspL//gyrA//fnr//yaiA//yafP//gadC//malG//frdC//iclR//tnaA//fliP//sbmA//sufC//ynbD//cvpA//ftsI//ftnB//ugpA//yjiY//ydfD//rcnR//ttdR//
KdgR	dmsC//lsrA//
KdpE	treB//cysW//ftsQ//fliE//
LacI	prs//hipB//ygdB//
LeuO	rpoD//aceK//pgi//znuC//chbF//uxaA//phnE_1//prpE//waaH//sbmA//ygeH//flgC//glcG//tsgA//lysC//polA//omrB//leuB//asnA//lldR//
LexA	citE//hybG//caiT//fliD//cynT//araJ//ydfX//gltF//asnA//murD//galM//accB//fepG//yciW//folA//torR//nfsA//flgE//trpA//fucI//iscA//phnE_1//lsrR//motA//lgoR//phoB//agaD//gudP//crp//rutC//bglB//gutM//glmY//ydeP//tnaA//hha//argB//glnB//manY//leuO//fabB//araC//araE//alsA//phnJ//codB//rutC//hybA//gadB//nfsB//sufC//metK//uvrD//mgrR//soxS//phoP//mntH//uvrC//add//
LldR	lsrC//yidQ//ycjG//
LrhA	lon//fliO//dcuA//hyaB//
LsrR	ydfH//spy//yeaR//garP//higA//ydeP//tdcB//yhdW//purF//
LysR	cysI//napF//
MalI	nmpC//envC//aroM//
MalT	ugpB//metI//galS//metH//agaI//isrC//argE//ugpA//ybiT//sufS//
MarA	gutM//gspD//znuC//ybbY//recF//ccmE//kdpF//sroA//casC//crl//gspJ//moaE//ulaE//cysD//flu//relB//nanE//thiQ//pdeR//entE//rdoA//rimK//dsdX//kbaY//purN//hslJ//idnT//pstC//dmsA//purA//dhaL//ycjX//gltL//yjbE//kdpB//fepE//hmp//mhpD//
MarR	mntH//hdeA//hyi//
MatA	gnd//gspM//phnP//nfuA//uidA//entS//acnB//malT//
MazE	nuoF//ppc//murQ//
MazE-MazF	allE//ecpR//tsgA//
McbR	insD//cheW//iraP//gltF//
MelR	galK//adiC//osmY//
MetJ	moeB//ydcS//potI//stpA//citG//fliZ//arsB//fliN//caiE//katG//flhC//sgrS//serA//paaF//manZ//
MetR	galM//astE//setA//csgE//umpH//
MhpR	ddpA//potI//treC//melR//flgM//ydjM//
Mlc	yafO//frc//ftsW//hyfH//moaD//ydhV//ydhT//add//uvrC//gcvB//
MlrA	dinQ//oppF//mglA//tcyP//hyfH//glcA//fucA//uof//inaA//nagC//
MngR	mipA//btuB//fepB//
MntR	thiP//lsrC//fnr//fhlA//cysE//
ModE	tktB//malT//srlR//nikB//flhC//exuT//tdcG//dapD//lpd//baeR//ulaG//narL//bhsA//yhbS//trpB//arsR//metR//oxyS//nagC//ppiD//flgB//sroD//ybhG//icd//aceA//pgk//hdeB//acnA//yecR//caiA//phnC//zntA//mraZ//murE//dicC//rffG//mtlR//ubiX//appB//hslJ//sra//ydhT//murE//yecT//yhbS//yagK//
MprA	mhpA//nohA//manZ//pheM//mltF//trpA//
MqsA	ycjX//yccT//ybhF//fucI//recA//ykgO//sdhB//agaA//
MraZ	fucK//mzrA//ptsH//rcnA//lrhA//epd//lpd//ogt//narI//cysJ//pykF//bdcA//efeU_1//araJ//arsR//nuoK//phoQ//
MtlR	malX//ydbD//gltK//
MurR	nrdI//mhpC//glmY//
Nac	yibQ//lysP//ccmD//cysK//galE//ssuD//ddpX//puuD//phoA//galK//zwf//fliT//rsmH//evgA//rimP//dkgA//yiaO//pgaB//emrK//paaE//lldD//
NadR	aldA//manX//yjiY//nuoJ//
NagC	sbcD//cspE//zinT//agaV//hybO//pspG//bioC//zraS//glgB//napA//talA//glpD//sufS//fliI//cra//carA//murI//pgk//crr//degP//metF//cysH//ynjI//cheA//glgC//fliA//leuL//nikB//araE//dsdX//fhuC//wecE//pstA//purM//fliL//glcC//yegR//
NanR	agaS//gyrA//pdeH//lsrR//higA//mdtA//fhuE//moaA//mngB//hypB//pykF//
NarL	rdoA//cpxA//araD//mdtA//lrp//hipA//ynfG//cueO//pyrD//hycC//ssuB//paaB//garK//bolA//tyrB//trpB//exbB//hycE//ydhU//csgF//add//dgkA//glpK//araC//chbC//htpG//rffT//dmsC//mepH//folE//yhcH//ssuA//psd//cysC//cysG//recC//fdnI//dcuS//feaB//aroP//cysW//ydeP//tehA//cho//rpsO//glnQ//metL//hisJ//hybF//ulaG//phr//rpoD//leuD//sroD//uxaB//fucP//ynbB//yciG//recC//atoB//flgD//ccmD//srlA//rhaD//uidC//sgrT//yhiD//cpxQ//hyfC//malY//pspC//ycjG//fucR//cadC//hyaA//ycgR//ydhU//eda//waaY//gyrA//codB//fliJ//galK//gadA//cysI//purL//cytR//oppF//galM//paaF//sbcC//yiaK//dgcN//argP//sodA//ymiA//wzzE//csgG//chiP//idnD//flgE//treC//ptrA//hcaD//murE//flhE//gspI//norV//ybaT//folE//uxaA//lon//glcF//glnB//galP//xylA//nirD//pagP//ynbD//isrC//purR//nanE//gcvP//
NarP	nrfC//cyoC//cspI//pykF//frc//waaH//ytfE//wrbA//yciF//dmsA//ftsK//ybhS//alsB//fliZ//caiF//pheS//lpd//glpC//nupC//fpr//flgD//rbsB//ahpC//garP//pqiB//ttdB//fabA//ddpB//arsC//aroH//ynfF//hns//hdeD//yneM//yrbL//pgaB//yhbE//rbsD//cyoE//uvrC//ssrS//glpK//phnI//gor//srlB//nuoC//araF//osmB//gadB//rhaS//
NemR	melA//metB//ydfD//
NhaR	hyaC//uof//rutB//entB//phoQ//ynfE//fliD//
NikR	fliT//phnP//mglC//fliP//nrfB//gyrA//
NimR	dnaA//fumB//
NorR	alkA//csgD//galM//
NrdR	mipA//sufS//mngB//dmsC//nrfA//garD//murE//yiaM//mdh//
NsrR	argO//ndh//marA//mntH//chiP//potH//speB//mhpE//feaR//tsx//dhaK//mepH//dinG//tdcA//edd//pfkA//csgB//tolC//ygbA//dnaG//ccmE//fruB//metA//dmsA//metB//alaS//pqiB//hdeA//dkgA//malX//ybdZ//gntX//metB//ydhU//psd//recD//srlB//cynR//zraS//tyrP//cbl//hybB//ygiA//agaS//oppC//galP//accB//metQ//tyrB//flgM//hisM//zwf//metH//fixA//ttdA//gcvT//ilvC//cusB//tynA//hyfI//hybG//qseB//ycgR//murR//dhaL//yegH//nuoN//yciW//mgtL//entH//citX//tyrP//sgrT//fliL//yeaD//fliD//ftnB//sucC//citD//paaA//norW//ompT//focB//
NtrC	deoC//creD//cpxR//argC//ssuE//mgrB//sbmA//argG//ccmH//nuoN//yjjQ//ccmH//ygiB//rutA//ybhF//aldA//folE//insD//bdcA//glk//cydC//ppdA//ccmA//purD//phnD//yqjI//yegH//lldP//ybhR//nac//fepE//edd//ibaG//glxK//gspE//znuB//rhaA//allB//adiA//hcaC//arsR//fliI//fadE//bhsA//nuoJ//cysB//pheS//fepC//dpiB//
OmpR	mtlR//cyoE//hdeB//flhA//tam//mltF//gadA//yqhG//aspC//fliN//fliI//modC//mglB//tomB//ompC//bioB//chbF//ugpA//hyaE//setA//gor//
OxyR	osmC//speB//araA//rbsB//ebgC//hcr//galT//yfaE//nac//wecB//agaD//cspI//ynbD//ycjG//prpE//rutB//ccmC//fabG//metQ//rcnB//exuR//malS//tyrR//feaR//hyfR//nrfC//ahpC//nfsA//ubiC//gpmA//wzzE//srlA//yhdY//fliD//
PaaX	uvrY//mscM//hyfI//fliE//phnL//bglB//ftnA//aslB//polA//amn//folA//ybaS//grxD//uvrD//
PdeL	melB//
PdhR	cho//moaC//katE//ygbK//hybO//acnB//lexA//ftnB//prpB//frc//hcp//sfsB//htpG//phnO//oppD//araC//cysH//trpC//dtpA//fliA//nemR//waaY//yhbE//aspC//cysB//nohA//lpd//yiaN//fabD//acrA//hcaE//dinF//fadI//hypA//decR//lldD//flgC//mprA//mpaA//mnmG//glxK//
PepA	ccmH//aroL//ynfE//
PgrR	fabZ//entB//gapA//metR//ftsI//creB//puuR//flgE//
PhoB	galM//malP//pspD//hybE//bglJ//lysC//uxaA//gcvH//phnM//galP//hyaF//hyfH//rcnA//flgE//cdd//glnD//aceF//ygiZ//pstS//nanM//rbsD//serA//hyaD//fabI//gcvB//flgK//narI//fadI//paaX//paaK//emrY//araF//gadA//araE//ymgA//kbaZ//gatA//nrdE//thrS//hisM//pqiB//bdm//cysB//yhiD//mgrR//gadE//fliO//ahpF//leuC//galS//dcuB//betT//yciX//dapB//yeiB//zraP//ymgC//entD//ynbA//ompN//
PhoP	flu//pykF//lamB//argO//ilvC//cas1//alaS//ariR//cysD//pspA//ydcT//lsrR//yeiB//hyaC//gudD//gadE//metK//ruvA//fliN//ycjY//malE//gadA//gntP//gcvB//glk//fliI//agaC//wzxE//flgF//ascB//exuT//ung//yjeV//fucA//ybhS//rsmH//ycgR//pspC//malK//sodA//phnH//yecT//dsbC//argC//ykgM//srlA//pheM//nuoJ//mtr//phoP//gltI//gadF//cysI//nagC//murE//yibQ//
PrpR	malM//puuC//rutR//recN//aceF//
PspF	waaH//leuB//ttdR//ddpX//uof//sutR//ybhR//
PurR	purN//srlD//hcaF//moeB//ada//ycgZ//exbD//fhuF//argI//glcC//dinD//ccmH//sucB//mioC//hcaB//polA//zraP//modB//rffG//fdhF//asr//dsbG//fucR//gyrA//mgtA//fadI//citC//yhiD//cynS//tpiA//glxR//
PutA	mhpA//flgF//
PuuR	mhpB//rplT//cbl//uvrA//tyrB//nikA//aidB//
QseB	dmsD//osmY//dcuS//narX//
RbsR	ycjF//rffT//ldtC//relB//mngB//yhbT//ada//edd//focB//
RcdA	baeS//ydfN//yfdX//cysU//infB//cysH//yhbE//hdeA//dcuA//
RclR	accD//rnlB//cysH//
RcnR	yqhG//hycI//cyoE//
RcsAB	fixC//crr//nagE//galM//pheT//metE//erpA//ahpF//hybE//ygiA//patA//alkA//hyaF//rbsK//arsC//mngA//
RcsB	entE//ulaC//nuoF//ybbY//argH//ymjC//gspF//cueO//symE//glnG//betA//ccmG//nagC//yhjC//nrdF//cydC//fliZ//yncE//oppB//moaE//soxS//melA//garL//inaA//rprA//
RcsB-BglJ	ynbD//tnaA//ynfH//yidQ//mtlR//qseB//envC//relA//agaC//yidQ//pck//allC//uspD//yaiW//uxuA//treB//
RelB	luxS//ppiA//gadB//
RelB-RelE	fabD//dacC//puuE//
RhaR	flhD//ydjM//
RhaS	bdcA//alsA//ftnB//pyrD//cysM//rhaS//
Rob	waaH//hyfF//glk//yqhG//dps//hemL//ymgA//infC//csgE//lysC//alsA//degP//malT//tauA//araG//rffT//yjiY//dcuB//leuC//cbl//insK//tdcF//nupG//gfcA//hybC//agaW//
RstA	yiaL//dcuD//puuE//tbpA//phnE_1//rhaD//asnB//mngR//gntK//fabG//
RtcR	ynfE//malX//
RutR	ycdZ//tauB//yecT//yjhC//htpG//higA//umuD//putP//cbl//ccmA//glxR//tauA//murF//araE//sbmA//mqsA//acrB//
SdiA	dkgA//araE//tadA//hyaF//deoA//
SgrR	pykF//ydhV//yhcH//paaH//gcvH//fnr//pdeH//pgaA//wecB//
SlyA	hyfE//
SoxR	carB//fimB//bluF//
SoxS	yhdY//mcbA//exuR//glk//acrD//ybjC//hyaD//pgaB//tdcD//yeaG//moaA//marB//ybhR//gadC//araD//araC//atoE//dctA//ddpB//hyaF//narJ//mngR//kbaZ//slyB//rpiB//gspH//mhpC//feaR//fadJ//iscA//sra//nanE//gadW//nikD//yccT//fabZ//fdhF//ulaE//glpB//fepE//
StpA	fpr//fliP//ubiA//araA//grcA//cyoB//flgA//
SutR	psiF//fes//atoA//waaH//sbcC//
TdcA	purM//metY//yidQ//ygbK//uxuA//ybjG//fur//
TdcR	cheW//hslJ//motB//fepC//fhuF//yjjZ//symE//
TorR	hyfF//leuL//malF//pheS//lamB//rbsA//cysB//glpF//nirB//luxS//qseB//bioA//
TreR	gspC//cas1//
TrpR	wecE//hdeA//hypC//nohA//fumB//mdtB//cspE//glpX//yiaO//asnA//pepA//flgI//
TyrR	ydbK//udp//ccmC//rplU//xylR//ftsA//rutR//sulA//chiP//yhdW//yafP//puuP//
UhpA	metQ//
UidR	pitB//phoQ//kbaY//gadY//
UlaR	potF//pnuC//ppdB//sbcC//recB//yhjX//yhbT//
UvrY	argT//aspA//cysG//pgi//cadC//
UxuR	ybdN//uxuA//recX//oppA//erpA//treR//fabG//borD//tnaC//
XapR	aidB//fecR//
XylR	ykgM//feaR//wecB//glpT//flgN//emrA//fadL//
YdeO	aroL//dtpA//ubiX//dsbC//glxR//osmY//cusA//ydbD//nikC//metY//trpE//paaX//bamE//yhhY//evgA//eno//hyfC//sucB//dmsC//trpD//nuoK//
YedW	gspE//hydN//rsmH//mglA//ydhY//ppc//hybO//purM//glpD//csgE//rseB//symE//
YefM	ybbW//flgH//
YefM-YoeB	yneM//iraP//
YehT	dkgA//
YeiL	fucI//
YiaJ	ahpF//yfiR//flhA//nagB//yhdW//bioA//ybhS//gatB//yafQ//gatB//
YjjQ	yeaR//wecC//bioC//aldA//murR//dcuB//yiiS//narL//rpmI//trpR//
YpdB	ddpX//
YqhC	caiD//fbaB//
YqjI	xylG//kbp//
ZntR	gatB//
ZraR	nrfD//artQ//ccmG//
Zur	uidB//accD//rbsK//bglJ//nanM//agaC//
