#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	yoaG//recA//
CysB	gltF//mgrB//ubiX//tonB//lsrD//guaA//argT//sdhD//rimK//ygdB//ssuB//entA//htpG//hyfG//kdpC//tnaB//fadH//ptsI//motB//eda//cysJ//rprA//baeR//cadC//feoA//cysD//yhjA//thrS//kbaZ//nmpC//fldB//agaR//
CytR	cysG//tsr//csrB//lsrA//tdcD//pnp//yqhD//feaB//moaC//acnA//prpB//hyfC//hyfJ//
Dan	mntP//moaE//glgB//fadD//
DcuR	xylB//higB//purR//yqjA//leuB//rbsR//kbp//pstS//mpaA//
DeoR	flu//cysG//fabG//copA//dhaK//malY//
DhaR	ygiB//pheM//hyfH//gntX//
DicA	kdpA//emrK//lsrK//glcA//mdtE//yccT//hyfB//cbl//
DinJ-YafQ	cydC//ydeN//gspM//
DnaA	dicC//fdhF//moeB//napA//treC//rutG//guaB//pyrD//mdtB//fadR//hns//fhuF//
DpiA	ftsQ//araA//argE//pgpC//mdtE//cusB//ccmC//ubiX//psiF//dctA//grxD//
DsdC	feaB//uidR//oppC//
EbgR	ompN//dpiB//
EnvR	cytR//ldtC//
EnvY	gcl//dctR//
EvgA	yidL//glcB//napH//murP//ydjM//tpiA//obgE//nagA//srlD//aceA//tauA//hypE//fau//hcaF//lsrB//tnaC//lhgO//fecA//ftsK//
ExuR	pspC//argF//rarA//yhbS//htpG//grxD//ygeA//rpoE//hybA//
FabR	alsC//ttdR//
FadR	yfaE//pgk//sdhA//sdhD//sucD//insD//ssrS//yafO//sgbU//astE//ftnB//oppC//icd//glpF//flgI//dkgB//btuB//metQ//baeR//aceB//mscM//yiaL//ulaG//
FeaR	rhaD//flhC//
FhlA	hisJ//uvrB//fabD//mraY//cysK//flhE//ygbK//ubiX//tdcF//glgB//nagA//fhuC//narL//fadB//yeaG//uxuB//pyrD//molR_1//lpxA//uvrD//zraP//cydB//cadA//amn//uspA//osmY//narL//tauC//pspC//ynfH//
FlhDC	fliA//metN//seqA//ycdZ//tehA//sgbE//erpA//nrdD//napF//dhaK//rtcB//treB//rbsK//metY//intQ//nrfF//rutE//ldtB//fabG//mngA//sucC//tehA//malE//aceB//mglC//gatY//aroP//lacY//torC//ykgO//entF//malQ//phoU//dcuB//wzc//oxc//rffC//potH//yfdX//garL//yidL//yjjQ//fepC//agaS//allA//stpA//mglB//cueO//yjhB//casA//ydfN//tauC//nirB//hycH//wcaA//garK//yeiB//deoA//argB//narX//symE//eno//bioA//ssb//hyaB//ydiV//ompC//malP//fepD//murD//caiA//ugpC//tdcF//uidB//metQ//fepD//pfkA//tdcC//yhcH//gadY//ydeP//rutE//
FliZ	lsrD//fliA//xylR//csrB//flgA//agaS//bglG//cynT//gutM//agaC//yaiW//metJ//ccmA//cadB//hipA//chbR//rutE//ydcV//yhdX//glpA//manX//
FucR	sbcC//ftsW//metR//ihfA//galP//hcaB//nuoM//
Fur	nanC//ydcT//frdC//phoA//gor//ygaC//fixX//gatY//garL//potH//mhpA//ydeO//rhaA//iscR//galR//ybbY//gltK//ttdB//artQ//amtB//patD//ydfD//flhE//lolA//cynX//csrC//prpB//torR//alsE//nikA//ybhF//glcG//wzzE//flhA//dmsC//gor//gudX//uvrY//gspC//rpoE//hypB//ynfG//hisP//ubiC//bioC//ssuE//lsrG//nuoN//oxc//gudX//dapD//ldtB//citE//alaC//gspM//ybhG//gadF//gabT//dinD//phr//metI//ilvY//srlB//rob//ygdB//cynR//lysO//ydiV//fruA//yfdV//cysU//rclA//ssuE//pdeR//rffM//fucI//ydhT//metL//nikD//pagP//rstB//ascF//yciG//araF//dcuB//borD//umpH//zntA//chiP//dnaA//cynX//phnF//malX//dnaG//uvrB//cydD//ttdT//aceE//hybO//agaV//hcaC//ppsA//ydfE//mioC//rprA//purK//malQ//lacZ//moaA//yqjA//rpoE//emrA//hyaB//eda//prpC//seqA//nhaR//deoB//cspD//qseC//narG//cdd//glmU//ccmA//kbp//ftsI//sutR//ftsQ//rstB//flgA//
GadE	soxR//ftsZ//nrdH//norW//feaR//ddpF//bglB//puuA//purK//wzxE//mhpE//kbp//citD//mzrA//yiaN//sufE//nusA//fhlA//gspK//marB//uspA//motA//fabI//mzrA//flhB//pyrC//tomB//ygeH//ulaE//
GadE-RcsB	garL//bglB//yqhD//potH//cysH//tnaA//flgE//ycjY//pitB//
GadW	tpiA//purH//ptrA//tnaC//rseA//xylH//uvrB//ymjC//cspI//acrB//agaS//agaS//flgM//argB//lysO//
GadX	yfaE//argR//asnC//lon//psiE//gnd//citF//nrdF//gudP//lldD//tehA//stpA//exuT//hokD//yeaE//rcnB//fliH//mtlR//mhpT//sufA//hycD//tsx//ybdN//asnC//efeU_2//hyaA//ibaG//chbG//srlE//
GalR	glcG//argI//pitB//oppF//lacA//fliS//mqsA//rutE//fabB//cynT//
GalS	hcaC//lysA//rprA//speB//treB//deoA//fixB//rclA//paaE//idnR//
GatR	cysE//garR//purB//cusR//hyfA//paaZ//
GcvA	fliF//astA//rybA//nrfF//phoR//
GlcC	talA//appX//sucD//napD//hcaR//putP//glnH//
GlpR	phnG//ldtC//torD//cyoA//artI//dhaM//acnB//artJ//hcp//
GlrR	rbfA//ftsZ//dicC//phnO//epd//
GntR	yiaJ//glpT//fadD//sodA//zwf//glnK//fliK//psiE//ybhG//gcvT//grxD//ybdZ//
GutM	gpmM//pgi//nuoI//ugpC//recX//rpmA//gudD//
GutR	deoA//dsdA//appA//flgA//ynbB//gudD//metE//
HU	rutG//gadC//hybG//ibaG//gntP//mngB//srlD//phnD//rffC//
HcaR	ynjI//yccJ//nagA//glcC//allS//lpd//
HdfR	pheM//torA//glnB//purD//csrC//
HigA	fliQ//fliS//
HigB-HigA	ybdN//caiF//
HipAB	srlB//polA//focB//cspI//rnpB//
HipB	lsrB//lsrA//dnaG//recB//nirB//fhuC//
HyfR	appB//cysN//fecI//tonB//dinF//oppD//pheT//ariR//dtpA//hydN//uxuB//flhA//
HypT	nrdD//gudX//tnaA//fecI//dicC//ulaC//citC//cusC//rffG//arsR//cydA//appY//edd//
IclR	fliS//uvrD//rtcA//insD//
IdnR	nuoE//fixB//trpB//gnd//ychF//molR_1//csgC//
IlvY	relE//hycB//
IscR	bioD//hyaF//paaZ//galR//bioD//rpiB//paaF//pyrC//ilvY//fliS//dcuA//codB//speB//feaR//hisM//ssb//gudP//ugpE//glmY//aceE//sbcD//ddpC//lpxD//umuC//nirC//chbC//trpE//ygbK//xylB//cusB//hisP//metH//
KdgR	mgtA//nikD//
KdpE	qseC//acnB//creC//fdnG//
LacI	fdnG//ilvC//nfsA//
LeuO	gspO//glpA//fimB//gatY//chiP//ssuB//yhcH//astD//csgA//ascB//hycB//dsdC//fabH//aspA//ymiA//cyoC//ompF//puuE//pncB//gudD//
LexA	fruK//fhuF//yjhC//sutR//ulaD//fhuA//qseC//yfiB//tpiA//hcaD//omrA//gfcA//sgrR//rtcA//lhgO//zinT//nuoL//dctR//adiA//rhaB//malM//ccmA//ulaD//lacZ//lsrF//galK//agaS//mqsA//fepG//rhaA//ahpF//flgI//ebgA//glgB//puuP//glcA//codB//pspC//mntS//cpxP//fliC//efeU_1//lolA//cueO//gspI//iscS//mdtD//gatC//ynfK//frdA//lysO//araJ//nuoA//ryhB//mtlR//aroL//nohA//nemR//hyfG//
LldR	luxS//yiiS//lon//
LrhA	isrC//astC//yjbF//hybD//
LsrR	bioD//mgrR//yiaN//mtlR//yidL//efeU_2//codA//chbB//hcaC//
LysR	hybD//yafQ//
MalI	mglC//entB//pspE//
MalT	epd//nuoE//fadA//mioC//yiaM//ybfN//mhpE//aidB//tyrR//oxyS//
MarA	chbA//rbsB//pdeH//nikE//katE//carA//hslJ//tonB//garP//ccmD//tyrP//ccmG//fruB//znuB//creC//arsB//rob//paaX//tcyP//fepC//glcD//btuB//rbsA//hycE//ascF//flgJ//hcaR//ydhY//appY//yfbR//cusA//astC//atoA//ribA//fadA//mhpT//tsx//rseC//
MarR	trpL//folA//thiP//
MatA	allS//rcnA//aroH//mtlD//garP//rbsA//dkgA//gatZ//
MazE	relE//cynX//yeiL//
MazE-MazF	uxaA//ssuB//yqjI//
McbR	fruB//pstS//caiD//uxaA//
MelR	ybjG//yfiR//uidC//
MetJ	moaD//mcbA//appY//metJ//gpmM//hypB//araA//tcyP//hflD//asnB//mtlD//hyfG//murI//add//mqsR//
MetR	hcaB//rpiR//cas1//glnK//mazE//
MhpR	dhaR//prs//rpoD//cynX//tauB//glgA//
Mlc	recB//pitB//yciG//tam//glcF//galP//micF//fliT//ndh//metI//
MlrA	cydB//bacA//ftsA//fldB//entH//cysJ//wzc//aceA//kbaY//cheA//
MngR	pspD//entC//fabI//
MntR	hokD//oppD//lamB//pfkA//carB//
ModE	fucI//mntS//nuoC//mhpE//pstA//gntU//lysA//cusR//nrfE//appX//cspE//gcl//yoaC//cyoE//hycF//lacZ//phnL//rbsR//glnB//cyoC//galP//pspA//prpB//paaH//accD//yjeV//rcnA//yfdX//pspB//dpiA//idnK//ahpC//flgE//ykgM//bamE//metK//chiP//sucB//fadL//sgbH//cynX//yhdY//galT//paaC//ppdA//allA//
MprA	metN//nirD//gfcA//moeA//ulaF//nanS//
MqsA	agaB//dinD//exbB//fepC//infB//fruA//cysP//dhaL//
MraZ	fecE//dkgB//mgrR//thiP//hybO//moeB//rhaR//rtcA//ybhG//yiiS//feoC//glyA//spy//ygeA//fliC//glnQ//argG//
MtlR	garP//lpd//ynbD//
MurR	napB//nikA//yafO//
Nac	malP//alsE//glcC//argB//cas1//ynbA//dmsA//crr//nupC//gltK//mdtC//nrdI//gntP//hcaR//yoaG//nrfA//fixC//gapA//yfbR//ung//gpmM//
NadR	ycgZ//malZ//rplU//ydcT//
NagC	rbsC//atoD//cysU//wzyE//murE//add//ugpA//cysK//cyoC//narL//puuA//pgaC//hycF//dctR//kbaY//cysW//yccJ//nrdF//phoU//pncB//wecB//lacZ//caiF//gspK//ugpE//uidR//argG//ppsA//csgF//fliM//garD//entB//fliC//appA//fbaB//yjbF//pspE//
NanR	tehA//entF//ugpQ//dinQ//ada//sra//grxA//tbpA//feoA//chbC//infC//
NarL	gadB//ahpF//ftsA//uspD//potG//galP//trpB//cysG//polA//leuB//glgP//gltD//nanS//grcA//rtcA//cysA//xapA//fliP//nemA//focA//fabA//paaI//garR//lsrC//phoQ//dnaA//fimB//hisP//yqjA//narI//ddpA//gcl//cysU//polB//marR//cspI//lpd//nikC//cysN//fabB//xylG//ptsG//cpxA//gadW//fadA//gspK//cas2//fecB//hybO//bolA//gcvB//dinB//ompT//nrfE//paaZ//paaH//lolA//osmY//ycgZ//nfsB//rseC//lrhA//metA//galR//flgI//inaA//ddpD//cysH//mtlA//ulaB//mprA//ibaG//cusF//ynbA//pepD//hyfA//add//kdpC//tdcD//ttdA//malT//appB//ydfN//tsr//rpmA//kdpB//hisJ//bdcA//nirD//emrY//atoB//trpE//fhuA//yidL//ddpA//kdpB//hybB//ddpB//ymiA//metE//polA//nirC//metA//argH//rimK//yafQ//tyrA//paaH//cirA//aceB//ydbD//puuB//yhbS//potI//gspL//tdcF//csgD//gspJ//intQ//rcnA//feoB//ccmE//metL//
NarP	yagK//grcA//talA//yeiL//mdtF//ompN//gutQ//nagE//astD//nirB//araJ//mhpE//fabD//nanE//betA//dsbG//ygeA//fliL//dtpA//mpaA//frdA//nanK//trpB//alaS//ymjD//tauA//ubiA//ftsK//ugpE//sdhB//prpB//recN//leuB//evgA//cas2//yoaG//asnC//mdtC//hyfA//dgcN//betT//ulaF//yfiR//emrB//yfiR//talA//umuD//tbpA//bglB//relE//
NemR	omrB//cyoA//gcvP//
NhaR	hyfD//argF//sgbU//gntX//gutM//grcA//csrB//
NikR	phoA//rarA//pagP//fadH//ddpX//ftsW//
NimR	mdtE//mepH//
NorR	betB//bolA//fepE//
NrdR	ndh//potF//arsB//tdcB//hydN//hokD//gcl//hyaC//focA//
NsrR	ptsG//mazG//ftsQ//pgk//rhaS//tonB//argD//idnK//rplT//bioA//citX//frdA//srlD//mzrA//cpxR//lrp//nuoL//talA//mazG//hdeA//cpxP//metC//torD//umpH//asnC//feoC//mazF//fucO//tauB//mtlR//iscS//yiaO//amtB//ung//ybbW//gltD//alkA//yciG//emrY//epd//cusA//treB//pspF//gcvP//rarA//wza//dmsC//rbsB//argA//accA//pspF//phnI//yoeB//gspJ//fucK//hha//uxuA//fixX//metJ//fecB//malZ//ybhL//mscM//ssuC//lamB//yiaN//prpD//argO//fhlA//manX//sodA//fliP//yccJ//marB//ymgA//ybjN//csgE//entE//hypE//paaY//dctR//rseB//yhdW//
NtrC	mraY//ydcU//accD//emrK//argA//fucP//fucI//metL//cpxP//insK//pheM//ycgZ//aspC//hokE//gspG//nrfD//metB//fliC//gltB//psd//ppdA//murQ//dcuR//ybdZ//srlD//mraY//nrfE//purD//nikD//fixB//sucC//dcuD//garK//ybaS//hslJ//mglC//serA//ydeI//infB//paaB//modB//gnd//ydfD//ebgA//speB//ftnA//insK//manZ//nemA//
OmpR	yhhY//fadM//mngA//ompT//sodB//atoE//patD//alsA//ulaB//rutA//argD//lsrR//agaS//yjbE//ldtB//flgM//fadI//malK//glnP//fliA//ftsW//
OxyR	ydfE//nuoK//mtlD//carB//hyfI//degP//nrfF//tauB//sdhA//recC//ydbK//mngR//glpT//dicC//oxyR//pdhR//seqA//ompN//fliJ//cydA//malG//galM//dinG//glpX//puuD//hypF//ybjN//ulaD//pspA//phnK//hyi//argG//gatZ//yebE//
PaaX	ung//soxR//marR//hcp//gatD//iscU//ybdZ//atoB//flgI//paaE//bioF//araB//galK//polA//
PdeL	yhcH//
PdhR	artQ//narL//phnF//ydhX//aspC//hybO//entH//cysH//metY//rcnA//tcyJ//ybjN//ddpX//malK//cyoC//yafO//napF//araB//iscS//lsrG//ydhU//fixA//hemL//cynT//chbB//agaV//alsE//pgpC//rclB//nikA//ppiA//acrR//moaD//murE//qseC//yccA//araB//wza//ssuE//ycjX//ulaD//
PepA	narH//sgbE//yfiR//
PgrR	metH//alsB//cyoD//recX//alkB//fecC//paaC//cusF//
PhoB	glcG//ompW//atoE//ecnB//truB//dinG//gspH//rclB//zinT//ugpC//cytR//degP//ompW//oppB//argH//aroL//mpaA//fimE//paaG//citG//yjjZ//hha//mqsA//fabH//ybiT//dcuA//codA//pdeL//glnH//sufE//rpiB//ecpR//ogt//purM//oppB//uxaC//artP//nfo//rnpB//kbp//fadE//gcl//bluF//exuR//cspI//argG//hemH//ybdZ//phnL//pfkA//flgB//argD//safA//lldR//sroC//gdhA//fhuD//ygiZ//ssuD//argI//
PhoP	nohA//araG//yfiR//bolA//dctA//galP//hycC//chbC//ykgO//hcp//wcaA//kdpF//cydA//ssuE//uxaA//aroG//serA//codA//dnaA//wcaB//obgE//gloA//glyA//narG//ykgM//udp//guaB//rbfA//rffT//hmp//ecpA//rffC//grcA//dctA//sroD//stpA//ygbA//yegH//gadF//araE//glk//srlA//fliD//arsC//cho//ruvB//rplT//mqsA//gdhA//rpsU//metR//fumB//sdhC//glxR//mpaA//fepB//
PrpR	astE//gspH//pgk//betA//waaZ//
PspF	yeiL//rnlB//glpD//gadA//paaB//cysP//uxaA//
PurR	ddpA//rseB//rbsD//fepA//purA//uvrD//nupG//yhdX//cysU//cysK//chbB//mglB//omrA//mhpC//yeaD//rsmH//sgbU//phnL//lacZ//hcaC//frc//tcyP//dmsC//gudD//phnH//grxD//hycE//hypB//ygiZ//cysA//lexA//
PutA	tbpA//rnlA//
PuuR	ptsI//cysC//ybfE//tnaC//fpr//nusA//deoC//
QseB	uidA//fadJ//tyrR//arsR//
RbsR	lacA//glcD//cysJ//nuoN//nikD//sdhB//ydfD//yeaG//yjeV//
RcdA	fruA//mglA//cbl//fadA//amtB//pspB//ybjG//ydfN//nikB//
RclR	galM//hyaB//gltJ//
RcnR	kdpA//nrdG//sgrS//
RcsAB	aroF//cytR//focB//xylF//allB//gadA//hyfE//agaV//ycgZ//fliL//amtB//ybhF//sroA//ebgC//rcnB//frdD//
RcsB	malT//glmS//entE//tauC//purL//ybhL//betT//flgG//glxR//hypA//rhaT//yhiM//ftsL//ygeH//accD//gcvA//cheA//tnaA//cynS//norV//glpQ//dinB//pitB//cadA//fliR//
RcsB-BglJ	glgX//rutG//phnF//gudP//cbl//cysM//rybB//pykF//yiiS//cysU//caiT//glyA//xapB//ybbY//cysN//ydeN//
RelB	ybjC//fhlA//sgbE//
RelB-RelE	ybjG//omrB//dpiB//
RhaR	sroA//pgpC//
RhaS	gutM//nfsA//phnJ//nemR//hipB//nuoB//
Rob	allA//hflD//allD//dcuR//mazG//uxuB//glpC//wrbA//sodA//cynR//manX//glnG//garL//ttdB//fabZ//mipA//yaiA//bolA//rpmI//ynfK//astD//recA//cdd//entB//nikD//cyoD//
RstA	guaB//ynfE//chbA//dmsC//cheW//wzzE//oppA//zntA//ascB//yegZ//
RtcR	betA//nanS//
RutR	nfuA//alsA//fliE//cynX//lysR//hokE//cyoC//fruA//uvrY//dsrA//ykiA//dhaK//lolA//caiD//rutB//nikC//mdtF//
SdiA	flhB//garP//mhpF//alkB//ssuB//
SgrR	gor//melA//mdtF//rbsB//higB//ygiA//narX//ecnB//nrfD//
SlyA	pyrD//
SoxR	fliM//mdtF//gspK//
SoxS	purH//fumC//glmU//gspH//tfaQ//sbcD//cdd//napD//psiF//ynbC//phnI//nrfG//glgA//gspJ//fpr//pykF//nikA//rnpB//nagC//lsrR//kbaZ//hypB//cysG//phoR//gspG//mgtA//nrfD//cysP//kbp//nlpA//idnO//ycjG//rffM//fliA//gutQ//lpxC//cspI//ymgA//fecA//mglB//
StpA	rarA//pgaB//trpR//ybdN//accA//gcvH//mntP//
SutR	ydiU//arsB//grxA//alsE//appB//
TdcA	oppB//ygiC//rimK//csrC//bioF//argG//glnD//
TdcR	rtcB//oppC//glpK//idnD//cusA//gutQ//rpoS//
TorR	fbaB//ydcS//leuD//oppF//araC//oppA//phr//yiaL//nrfE//uidB//gabT//entB//
TreR	trpC//aspA//
TrpR	lpd//hipB//rpsU//moeA//murI//deoA//pepA//aceA//lysR//murD//ybbW//oxyR//
TyrR	gspL//cbl//pspF//flgC//gabT//cecR//edd//purB//cysN//ycjX//csgG//pqiB//
UhpA	artI//
UidR	chbG//argP//paaI//baeS//
UlaR	pfkA//narL//ogt//uhpT//sodB//hisQ//lsrD//
UvrY	metL//flgE//hyfR//codB//leuA//
UxuR	ompC//uspD//symE//dicC//glcF//fhuD//fumB//cyoB//gltB//
XapR	glxK//astA//
XylR	napC//yciG//cpxR//argE//rffC//osmB//sbmC//
YdeO	ydeN//mdh//malT//mgtL//yhiD//dgcC//fhuF//aceE//dhaK//pagP//nuoC//pqiB//qseB//pspC//fdnG//lolA//ydbK//tdcA//feoA//trxC//polA//
YedW	baeS//murE//ddpX//yeaH//bioC//marR//betT//rdoA//tynA//metY//ydeM//nikB//
YefM	fepA//nrdF//
YefM-YoeB	yfdV//argT//
YehT	cysB//
YeiL	fabA//
YiaJ	fliG//rpmI//csgD//grcA//yciF//idnO//rutR//hcaR//agaR//gor//
YjjQ	alsC//cecR//narG//aroL//dcuB//gltJ//yegH//lgoR//yhdX//tyrA//
YpdB	dmsD//
YqhC	gadW//chbA//
YqjI	dcuR//gspC//
ZntR	alkB//
ZraR	rfe//tam//argH//
Zur	guaB//bamE//paaB//accD//fliS//poxB//
