#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	ydcS//ubiA//
Cbl	lysC//aceE//potI//kbaY//ppsA//fadH//hycG//hcr//cyoE//
CdaR	thiP//uspA//ynbC//sfsB//uvrC//paaK//norV//agaC//argI//metF//
CecR	mglB//uxuA//phnH//rsmH//pncB//
ChbR	ydcS//rpmA//udp//higB//ccmB//citF//
ComR	caiT//
CpxR	gcvB//fliS//rutD//gspE//fadM//flgG//caiA//agaS//ycgR//fliQ//gudP//glpC//mqsA//yqhG//argT//metA//napD//waaZ//yjhB//glxR//epd//aspA//xylF//mtlR//glnD//fhuE//sufD//rcnA//ymjC//entH//dctR//phnE_1//fliZ//phnE_2//ccmE//dgcZ//murD//cysK//paaF//fiu//glcC//agaR//garK//entF//recC//dnaG//aceF//ptsH//araG//malE//glgB//uspA//mglB//allE//tauA//cdd//fecI//rdoA//hybO//hcaB//hycB//ptsG//gspC//ftsK//galS//ompC//mtlR//hypF//malK//agaV//
Cra	metY//rbsB//yqhD//nuoJ//yoaC//speB//purB//murF//nrfE//nohA//tnaB//fabI//nikC//csgB//nirD//flgN//nuoF//fixC//crp//yjbH//cusR//cvpA//ynfK//purB//yqhD//galP//znuC//moaE//znuA//fadH//chbG//trpR//dctR//ykgM//murF//fabH//yfdE//argD//umuC//waaZ//exbD//ugpE//ung//acnB//caiE//alkB//dinI//gapA//paaB//fepB//gntT//glnA//tisB//fecR//ssb//hcaD//ynfH//dcuB//agaW//wecE//hyi//higA//flgD//allS//nfuA//waaZ//hyaE//mhpT//fadH//bglG//yegZ//rutA//yaiA//zraS//yagK//puuC//ecnB//dinD//hybG//
CreB	gntX//cysM//baeR//dinD//xapA//
CsgD	rcnA//ycgZ//yhhY//putP//cpxP//cadA//flgE//mzrA//arsB//metR//yccJ//cadB//nimT//araD//tehB//ascF//ydhY//rpoH//narG//seqA//araA//malE//poxB//fadD//rtcA//yciX//ompW//ssuE//
CsiR	chbR//fur//nlpA//bacA//ykgM//
CspA	pheS//nikR//
CueR	psd//nikB//cpxQ//frc//ompF//crl//sucD//
CusR	crr//napH//yqjH//lpxA//yhbS//ymgA//omrB//metY//hisM//malX//fhuA//ybdN//
CynR	ynbA//ydcT//paaJ//aldA//
CysB	wcaB//ariR//yiaM//ogt//yhjX//ybfN//rpsU//lacY//ymjC//alsE//polB//fadD//ydjM//fliE//tdcB//rpoD//fecC//csgG//nanT//fabH//epd//flgB//glpF//wcaA//glcA//fdnH//ccmH//napD//puuE//ppdC//hyfR//dsbC//
CytR	hydN//leuA//ppiA//xylF//ygbA//torR//malI//napD//symE//flgA//caiT//argA//ybjG//
Dan	inaA//ychF//ssrS//rseC//
DcuR	emrK//yeaG//cbl//ptsG//srlD//phnC//crp//rhaA//marA//
DeoR	fliK//gudX//gadA//ybfN//yoeB//dsrA//
DhaR	nhaA//fliN//dcuR//dnaA//
DicA	accC//galM//dinI//codA//gspL//fixX//ybbY//murF//
DinJ-YafQ	tam//rplT//rplT//
DnaA	yjbF//pstC//lacA//csgD//feoC//iscA//wecE//astE//prpC//uof//ycjY//ftsL//
DpiA	ampC//setA//hycD//mgtA//rbsA//trpE//sfsB//cusA//fliJ//yqjH//recX//
DsdC	melR//ttdT//gntP//
EbgR	napH//treR//
EnvR	evgS//metL//
EnvY	rybA//mglB//
EvgA	gatZ//lrp//caiF//ynfG//fliN//hlyE//alsE//relE//oppA//lexA//zwf//caiE//gnd//soxR//bhsA//citE//wecE//nanE//tyrB//
ExuR	yfaE//ulaG//dmsB//ariR//ynbB//uof//gutM//cydA//wzc//
FabR	guaB//ddpA//
FadR	ycjG//rutF//talA//ddpF//ssb//pheM//torC//uxuR//napC//glcC//allB//iclR//rhaT//betA//psiF//cheA//flgE//rhaS//rhaD//mepH//phnG//yagK//cas2//
FeaR	hdeB//nagC//
FhlA	potH//uidA//hcr//gor//glnQ//fldA//chbA//fdhF//mnmG//hyaB//paaF//rimP//gltK//gcvB//ftsK//hycG//ydhV//pstS//sufC//cbl//nadB//flgM//qseB//csrC//hybA//rpiB//hdeD//ccmD//yafP//fhlA//
FlhDC	aspC//mgrR//yoeB//entS//lsrF//fliN//gspD//malS//allS//zinT//tfaQ//cpxR//hyaA//yfdX//mglC//cra//psiF//dmsD//fepC//idnO//dgcZ//yhjA//mhpD//aroP//ebgA//nrdE//malT//nanC//phnI//ftnA//hyfJ//puuA//tam//focA//ccmB//rffT//nfuA//treR//fabG//rutB//ccmE//ynbB//fepD//mgtL//flgJ//fhuF//pagP//ampC//citC//ryhB//nemR//degP//sgbU//fabD//lpxD//rsmH//argE//hycD//puuC//ugpC//nuoC//tyrA//fldA//yccT//srlE//fdnG//cysI//dacC//exbD//ydbD//gpmM//allB//yfdV//tdcG//lpxC//chbG//araC//gpmM//folE//tauD//fecC//dnaA//
FliZ	nupC//pgk//uidB//katG//narG//cydB//fadA//dmsD//accD//artM//uxuR//nanK//gspL//hlyE//ugpQ//pgaB//hycC//ftsK//rdoA//gspE//ftsZ//
FucR	hns//ybjG//ptsG//agaI//rseA//iscR//dinB//
Fur	acnB//ftsW//yefM//yiaJ//ycdZ//yafP//gor//cynT//dapB//fucR//rbsA//glgA//srlD//phnF//gadC//ynfF//glxR//aidB//pyrC//pgi//mngB//paaG//fecB//tolC//phnC//ydhX//dinG//xylR//phnH//fucI//fliK//aroP//ydeM//garP//caiC//mntP//flhB//yhiM//cspI//csgF//ydeP//glpQ//codA//flhA//dsdA//fadR//nuoE//cyoA//glnH//pykF//seqA//fnr//appC//tktB//recD//tyrB//dgcC//casA//lpd//ydhT//cusS//uspE//hycG//fliP//fdnG//agaB//gltJ//ulaF//ygiA//mqsA//cysP//hipA//ogt//ftsZ//hipB//lpxA//caiD//tyrP//pspC//psiE//wecE//argO//glcD//yciW//ompT//dsbG//ttdA//appX//narL//hyaA//tsgA//mdtB//yjbE//agaD//iscU//fruK//ttdA//citF//nrfG//xapB//hyaD//prpD//pykF//cueO//ptsI//fliT//rbsA//napH//moaC//fabD//csgE//ydhY//setA//narK//yeaR//oxyR//cpxP//ptsG//patA//fhuE//aroL//mntS//rclA//ddpF//purC//mtr//ydcU//phoQ//pdeL//pgaD//
GadE	emrA//dinF//ogt//ppdC//mdtB//glmY//creA//bhsA//kdpB//yjiY//yidL//bglB//tehB//yqaE//fliD//rcnR//idnT//uvrB//murG//sdhB//rfe//gatY//hipB//lhgO//phnK//rbsD//ftsQ//treR//betI//
GadE-RcsB	paaC//lldD//fpr//fecC//ptsI//rob//phnF//ymjD//cspI//
GadW	hha//tnaA//fhuB//purK//fadB//bdm//tcyP//mipA//trpL//glpX//puuD//lldD//rpiB//lysO//trpE//
GadX	cydC//torR//pdeR//nuoK//ybbW//fadB//nanA//fecC//murD//stpA//hyfC//phnI//kdpA//fruK//rseB//atoD//rclC//betB//gspC//hlyE//prpE//guaB//rbsR//purK//exbB//dnaN//leuC//astE//nemR//
GalR	zntA//cusR//mscM//yeaD//prpB//ydbD//ydfD//flhE//cyoE//ymjC//
GalS	osmC//sufD//fecR//ssb//phnL//ygdB//appY//purD//gspJ//exuR//
GatR	pnuC//cynX//cusC//mhpD//thiQ//paaB//
GcvA	paaB//hycG//lyxK//nuoJ//tisB//
GlcC	yoaG//pgk//trpD//xylA//malT//metF//ptrA//
GlpR	malS//yegZ//potG//mdtB//argA//ygiB//sbmC//gatC//marB//
GlrR	glgC//rybB//motA//hycH//flhB//
GntR	yiaL//fhuE//fhuC//xylH//ssrS//ptsG//tnaB//yiaL//tcyJ//nadA//slp//cusS//
GutM	baeR//nrfA//ftsZ//phnD//fucA//rpiR//ubiX//
GutR	gspH//mgtL//dpiB//gabP//pdeH//paaA//idnT//
HU	adiC//infB//mazE//putA//gspC//psd//yjjZ//setA//hyfB//
HcaR	rbfA//ynfF//nuoF//nfsB//ptrA//ttdT//
HdfR	acnB//csrC//rplT//gnd//rhaA//
HigA	hybO//flgM//
HigB-HigA	fadJ//ygiA//
HipAB	recF//ybjC//feaB//wzzE//fecR//
HipB	sbmC//glpF//srlA//argT//rnlB//sufS//
HyfR	tonB//uspE//motB//xylR//fliM//ccmH//glcD//mngR//argR//ykiA//nanE//oppC//
HypT	fpr//ynfE//mraY//puuR//mltF//appC//phnN//mhpD//modA//hybB//citX//puuP//pgaC//
IclR	cysB//cyaR//atoD//yiaO//
IdnR	hyfA//cecR//ybhS//nuoC//yiaM//potG//lysC//
IlvY	garK//citF//
IscR	psiF//galP//ftsA//fucI//astE//nfuA//sdhD//arsC//astC//yjjQ//hisM//nuoF//dsdX//recX//pnp//ykiA//fhuB//yfiR//efeU_2//dicB//gspF//yeaE//lrp//idnO//trpB//nadB//puuE//ykgO//lsrA//aspA//ebgA//gspC//
KdgR	alaC//fhuD//
KdpE	sutR//inaA//sgrR//sufC//
LacI	hyfH//hycC//caiT//
LeuO	aspC//ybaT//ygaC//ydeP//spy//ydeM//nrdH//ydbD//emrY//aroF//evgA//tyrA//rutC//nhaR//polB//katE//rpsO//cirA//aceB//fliM//
LexA	adiA//mgtL//fur//citD//fucO//nrdD//ung//nrdD//purC//gcvT//creA//puuE//uvrA//aceK//rimK//recD//citX//aceA//narK//dcuA//hslJ//recC//ynfF//ydcT//phnD//nrfC//polB//malQ//glcA//cusA//recA//dtpA//moaB//malE//uvrA//paaB//yciE//yhdW//argI//yjbG//oppF//fucR//dsbC//tauC//phnL//lldR//fepD//creA//ydfD//csrC//agaS//lysP//gadF//yiaM//tfaQ//purA//gudD//btuB//gadB//
LldR	lsrD//hcaR//tdcC//
LrhA	modC//ldtB//rimK//recB//
LsrR	fadI//metY//mhpD//caiF//yjbE//idnD//luxS//rpoH//citC//
LysR	sgbU//manX//
MalI	ygdB//fbaA//add//
MalT	yqjI//gspI//lyxK//astE//araH//phoE//ybhF//tisB//ybdN//garP//
MarA	yhbT//insD//tnaB//metR//oxyS//csiD//mgrB//nemR//galK//accA//fliL//codB//glnK//gspM//fabZ//nikE//recN//ymgA//mglB//nuoL//oppA//nfo//mhpA//bglF//galM//hybD//ybjN//gutQ//zwf//alsC//hdeD//ptsH//yhdX//tdcA//galM//wcaA//aslB//mscM//
MarR	tnaA//glpF//skp//
MatA	accA//lrhA//hycI//evgS//sufA//kdpB//nuoJ//ompC//
MazE	tdcF//nemA//hybO//
MazE-MazF	entD//glnK//lrp//
McbR	purF//ecpA//dpiA//pspD//
MelR	treB//rhaR//talA//
MetJ	flgN//creB//sutR//murF//csrB//purK//tdcD//mngB//torC//alkB//gabP//fepA//ygeA//nrdF//phnI//
MetR	nanS//caiD//ybhL//carA//phoE//
MhpR	hycA//araG//citE//ampC//sdhC//fbaA//
Mlc	intQ//lldR//caiE//yhcH//gdhA//ecpA//agaS//tktB//ybfE//hyaD//
MlrA	rcnR//inaA//copA//hemL//agaC//yebE//btuB//phr//araG//ftsL//
MngR	ddpA//acrD//hcr//
MntR	modB//metN//rffC//yaiW//glpA//
ModE	focA//phoA//ldtB//nuoK//dcuD//sbmA//gatC//yebE//hybB//ryhB//cheA//yiaK//metK//trxC//fliI//phnE_2//xylB//allC//oppC//murG//fecA//gpmA//hypC//gntK//paaG//sroA//cspI//gutQ//borD//puuR//sufS//ulaG//hycG//safA//argR//alsA//ssuC//serA//yqhD//trpL//ttdB//yjbE//bluF//rcnB//wcaB//yfdE//
MprA	patA//fdnI//sgbE//fepE//ygeH//sufB//
MqsA	cpxQ//ydjM//iscR//mdh//artQ//ychF//metH//pstA//
MraZ	cyoE//torR//uxaB//waaY//ynjI//mgrR//dcuS//iraP//epd//yeaR//rbsA//pepD//ada//mlc//betB//idnD//leuC//
MtlR	ydeP//rbsK//ynfF//
MurR	allS//uspE//putA//
Nac	astE//fucI//oxc//allC//ompT//fliF//purR//sdhC//chiP//torD//umuD//fadD//xylR//yhdZ//rclC//nikA//mpl//hybG//glmY//glpB//kdpF//
NadR	glpA//dhaK//yccJ//mraY//
NagC	soxS//mdtD//gltK//garR//purD//bhsA//pheM//rbsA//argC//ahpC//hybE//rutB//ydeM//aslB//nrdE//nanT//gutQ//lysR//ssb//sdhC//dtpA//asr//hdeB//uxaC//bolA//tauA//mscM//gltD//ygbK//glnK//hybD//hcaE//nuoJ//gltL//rclA//paaZ//nanM//
NanR	pepA//uxaA//xylF//ybfE//gabP//gadW//codB//yhdX//kbaY//yiaJ//rplT//
NarL	aslB//rpoS//phoH//narI//pspE//pspF//ymgA//argE//lacZ//spy//allB//tnaC//pck//gspD//gltL//spy//mazF//nuoM//oppA//trpL//glpB//pstC//iscS//sroA//tcyP//rcsA//recF//ldtB//gltJ//thrS//chbG//tsr//glcC//atoA//fimE//hyaD//sodB//ssrS//ugpQ//casD//fliL//fucU//dapB//degP//gspL//ymgA//recC//nanA//glcG//fumB//ygiC//atoB//uof//dnaN//xylG//ttdR//pgaD//kdpF//dps//glpT//bluF//ybbY//cysC//arsR//uxaC//phnK//bioA//ccmD//fliT//puuB//tdcE//ndh//phnE_2//entD//hemL//ycdZ//caiA//lldP//gcvH//dsrA//hycH//hipA//murE//gspG//phnP//melR//mcbA//gadF//cysD//tfaQ//gspE//malM//hcaR//lacY//asnB//gcvP//phnD//dsbC//sucC//fabA//ccmB//cpxR//uspE//srlA//ymjC//ygdB//ybdZ//glcE//murF//talA//phnC//ppiD//dsdC//yegH//nuoA//rcnR//puuR//nlpA//exuT//cusB//ptrA//wecE//wecC//
NarP	lacA//fliS//tynA//malS//paaC//glnQ//nuoF//glnH//gudP//nanK//hypB//tdcC//rffT//paaB//rffM//sgrR//murD//zwf//galM//gfcA//nrfC//rhaB//ccmA//araF//yhbS//yhiD//hlyE//fliT//setA//nagE//prpC//wecB//micF//glgA//purH//glgP//emrB//ynbB//ynfE//tsx//malZ//oppC//mzrA//ppc//argC//pnuC//yhbE//entE//prpB//nemA//
NemR	murP//ynbB//sufC//
NhaR	trpA//skp//fepG//nuoM//tyrA//lsrG//ychF//
NikR	fliL//malI//dinI//yfiR//ryhB//hyfE//
NimR	rpmA//iscS//
NorR	phnJ//infC//ulaC//
NrdR	norW//ydcS//dmsC//ubiX//inaA//glpB//fadI//cyoC//alaS//
NsrR	psiF//iraM//cadA//creD//ppiA//argC//cheA//atoA//ugpQ//nupG//fldA//ydhX//ybbY//yecR//cdaR//crr//galE//acrD//yafP//yqjA//srlE//metY//dsdA//mlrA//ascB//hisQ//lacA//ssuE//ybbW//ymjD//fliR//recN//deoA//fepA//nrfG//ydjM//rutR//paaI//purC//murI//treB//agaW//katG//yhjA//araD//ppdB//yqjI//glgX//mqsA//nrdG//nuoA//ycgZ//wzyE//agaW//oppF//allS//uxaA//yncE//cyoE//ymgC//efeU_1//hybC//nagA//pdeL//sucA//nrdA//paaJ//murC//yiiS//fadD//lysR//narJ//zraS//ttdR//ccmA//flgH//nupC//paaG//ihfA//araC//rtcA//narJ//uvrA//
NtrC	tynA//osmC//wecB//ulaA//hycD//hycI//gltB//phnP//psiE//dnaG//yhdZ//ybjG//ycjF//tyrP//entC//symE//murF//hisJ//csgE//hycG//yoaC//purN//grxD//ttdB//trpD//fucR//mazG//fabH//yccJ//fliJ//araA//fes//tdcD//pgaD//zntA//cho//treR//gadC//pstS//cyoB//fliZ//alaS//dpiB//trxC//rplT//gutQ//yebE//yjbG//phoR//
OmpR	hyfJ//rdoA//hybG//tauC//ilvC//bglB//gltL//ygbK//fur//gdhA//yiaK//sbcD//dicB//fliG//rpoH//motB//uvrD//paaJ//hyfH//dhaR//glpC//
OxyR	ibaG//metL//fldB//yhhY//frdB//lysC//qseB//nuoH//moaE//ubiX//rbsD//psd//mgtA//gudP//crp//phoU//narH//rpoS//nhaA//dinF//ttdR//gloA//paaJ//gspM//leuD//araC//emrB//ssb//dhaM//fecI//ydhY//rutA//rbfA//yeaE//
PaaX	fliG//gutQ//phnH//garL//crr//entS//skp//napB//fliN//lsrA//norR//aslB//ihfA//aspA//
PdeL	treC//
PdhR	hyaA//wzxE//ydcU//phnK//mpl//hybF//ariR//yefM//prpR//glgB//dnaG//accC//gadA//prpB//mnmG//ddlB//nagA//ftsA//yidL//glxR//narJ//galP//gltK//bioD//glnD//mazE//crr//fucO//hokE//ydfW//entE//metA//nuoL//gspM//accD//idnK//tehB//moeB//lgoR//alaS//hypA//
PepA	paaB//yhbS//ftsK//
PgrR	ydbK//yqaE//add//purN//feoC//hyfF//nac//gltB//
PhoB	ftsI//yqhD//arsC//cusS//feaR//nrdH//gspG//yccT//zwf//ycjX//arsB//glnP//ydcT//bioB//aroP//cynS//fliR//modB//chbC//yjjZ//rutF//yeaD//trpA//cusB//gntT//leuC//uxuR//pqiB//csgB//mepH//tsr//mdtF//argB//uxuA//sgrT//patD//potH//sfsB//paaH//iscR//ymiA//dsbC//iscA//entE//edd//argG//gatB//dinJ//ccmB//nanT//feaR//ydfN//yeiL//narG//marB//yiaK//pitB//nrdE//argP//metK//
PhoP	yccJ//tauB//ydfW//nuoJ//metK//ycdZ//sgrR//mhpE//gcvT//trpA//hydN//pyrD//dsbA//paaF//caiA//ydfW//betT//xapB//csrB//ydhT//gltK//hyfJ//dpiB//pstA//nanK//hyfA//asr//recF//znuB//gudP//pstA//gspC//kbp//glpK//ariR//ydcU//gpmA//paaA//ppdC//soxS//ykgO//fucP//gor//dsbA//flgB//ppiD//fucU//grxA//rybA//rbsA//torC//ydcS//mhpT//rybA//iscU//cydC//
PrpR	stpA//nrdI//fadD//flhA//nuoH//
PspF	gcvP//rimK//ung//bioF//gnd//moaB//gcvH//
PurR	mngB//acrD//trxC//ygdB//ykiA//argG//focA//agaS//ssuA//dsbA//polA//creB//waaH//fucR//hcr//hybG//hisM//gadW//alkB//yiaO//gntT//tsr//gltD//safA//ydeN//argP//zraR//nhaR//ycgZ//emrA//ccmA//
PutA	degP//gadF//
PuuR	phoP//lpxA//zwf//artQ//nuoN//ccmB//ugpA//
QseB	iraP//rseB//emrA//ydfE//
RbsR	araA//insD//glnQ//yoaG//treB//lsrA//ttdR//rtcB//putA//
RcdA	phnP//znuC//appA//ppdA//yhcH//yeaE//cysI//soxS//omrB//
RclR	yfiB//paaE//malX//
RcnR	hybO//hemL//srlD//
RcsAB	gcvH//agaB//bluF//ebgC//fadA//fliA//waaH//glcA//sufA//acrR//hokD//metJ//ascF//fucP//pspG//ykgO//
RcsB	purA//aspA//fecI//yeaE//rclB//tdcC//metK//dapD//hybA//pstS//lpxD//pheS//yjbF//puuA//uidR//hycH//fruK//yfiB//sodB//omrB//purB//ydeN//hycH//phoA//yeaD//
RcsB-BglJ	bdm//allE//dgcC//galR//argB//hisQ//mglC//lon//ydfH//frdA//cydA//lolA//lpd//pdeR//gspM//nuoH//
RelB	gadB//rffG//deoA//
RelB-RelE	psd//patD//tsx//
RhaR	ynfH//yfdE//
RhaS	yeiB//gspO//copA//feaB//arsC//hyfA//
Rob	speB//yecT//pgaD//uvrB//ybfN//recD//ccmH//htpG//glnG//ascF//paaB//tnaA//gudD//ebgC//rplT//cecR//ptsG//yagK//moeA//metH//ybjN//btuB//oxc//flgH//hokE//wcaA//
RstA	araH//rbfA//cheA//gspH//ygiC//tpiA//edd//tyrP//mgrR//appX//
RtcR	yeiL//chiP//
RutR	nrfD//fucU//galK//phnE_1//glnB//murR//hycA//hisM//nagE//treB//prpC//sbmC//fadH//paaZ//aceK//yoeB//ryhB//
SdiA	cspI//yeaE//xylB//napA//malG//
SgrR	appX//melR//sroA//paaX//aldA//efeU_1//dsbA//norV//motB//
SlyA	frdB//
SoxR	ynfK//nac//ykgO//
SoxS	malP//adiA//idnT//srlE//tnaA//cydA//glgP//ynfG//seqA//uof//gabT//ftsI//rpoH//fucK//nagC//srlA//ruvB//garR//mglC//rutE//speA//hdeB//hyfF//gltK//rprA//mdtC//flgA//aidB//mlc//glcF//astA//csgC//mtlA//dsbG//oxc//entA//fur//murC//fpr//cysU//
StpA	pqiA//cysE//acrZ//gatD//murE//creB//yhbE//
SutR	ccmA//ybhF//tdcA//gudD//exuT//
TdcA	rffT//moaB//kbaY//yjbH//ynfH//phoB//nrdB//
TdcR	gspO//sufB//sbmA//caiE//gadA//mepH//pitB//
TorR	rclA//araB//uidR//cpxQ//gntT//tbpA//nuoL//aroH//allB//glpT//evgA//sufE//
TreR	ydeP//hcp//
TrpR	gspM//yaiW//xylG//aroH//murR//uvrB//sufE//wecC//cyoE//moaD//yagK//mngA//
TyrR	prpE//hslJ//paaK//modB//dgkA//fhuA//ydeN//ycdZ//psiE//yhdW//glnK//wzc//
UhpA	alsC//
UidR	rbsD//mhpC//wzc//hyfR//
UlaR	gntP//garD//glpK//rpiR//hypC//aroM//amn//
UvrY	gspJ//rsmH//carA//dnaN//tyrA//
UxuR	dnaN//hybF//tdcG//cysJ//appA//umuD//nadA//motA//hyfB//
XapR	dpiB//ryhB//
XylR	betI//glcA//rplU//cytR//dhaM//metF//rstB//
YdeO	mhpB//fecB//ydiV//cyoB//mntH//ulaF//nmpC//tdcE//nfsA//hyfF//alkB//appX//aroH//mtlR//cpxR//fliA//rffM//torC//yhbS//purM//ydeN//
YedW	feoA//fldA//cirA//citD//ydfN//ugpE//fabZ//mraY//guaB//fimB//ygeH//mioC//
YefM	purF//purC//
YefM-YoeB	fabG//fdnH//
YehT	gor//
YeiL	rpiR//
YiaJ	dhaM//ldtB//wrbA//pqiA//htpG//bdm//ydjM//fabZ//appY//insK//
YjjQ	rcnA//mpl//psd//mioC//ydeI//hycF//rdoA//puuD//cbl//fepA//
YpdB	uvrY//
YqhC	marB//fpr//
YqjI	aldA//fepG//
ZntR	zntA//
ZraR	bioC//yibQ//yafQ//
Zur	casE//rimK//hyaA//cheA//fliI//yfiR//
